Accelerometer LUA^ accX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit RUA magneticX;Accelerometer BACK accX
?;-193.0;-1566.0;241.0;351.0;-134.0;100.0
-674.0;-137.0;-1276.0;?;350.0;-84.0;184.0
-741.0;-148.0;-708.0;152.0;355.0;-47.0;37.0
-811.0;-197.0;-148.0;133.0;362.0;-29.0;65.0
-818.0;24.0;-9.0;117.0;373.0;-18.0;?
-672.0;25.0;131.0;115.0;371.0;-24.0;136.0
-641.0;45.0;?;124.0;340.0;-38.0;66.0
-542.0;30.0;423.0;?;314.0;-51.0;122.0
-426.0;3.0;444.0;146.0;328.0;-62.0;118.0
-406.0;-23.0;505.0;162.0;?;-73.0;67.0
-413.0;-17.0;360.0;178.0;344.0;-83.0;71.0
-459.0;37.0;487.0;195.0;300.0;-92.0;122.0
-492.0;18.0;716.0;?;348.0;-101.0;99.0
-569.0;14.0;992.0;238.0;363.0;-116.0;95.0
-610.0;29.0;1374.0;271.0;371.0;-133.0;112.0
-370.0;-119.0;58.0;?;346.0;-47.0;-2.0
?;-138.0;50.0;256.0;332.0;-47.0;15.0
-422.0;-96.0;15.0;253.0;375.0;-44.0;-21.0
-417.0;-96.0;1.0;?;?;-42.0;-18.0
-343.0;-85.0;-146.0;244.0;345.0;-43.0;-43.0
-253.0;-151.0;-401.0;251.0;359.0;-45.0;-10.0
-91.0;-140.0;-656.0;270.0;377.0;-50.0;-6.0
46.0;-147.0;-1247.0;297.0;353.0;?;-16.0
95.0;-114.0;-1982.0;322.0;321.0;-87.0;-17.0
73.0;-148.0;-2533.0;350.0;351.0;-119.0;20.0
-3.0;-139.0;-2968.0;377.0;345.0;-156.0;-1.0
-162.0;-255.0;?;426.0;361.0;-200.0;67.0
-261.0;-255.0;-3955.0;472.0;346.0;-234.0;-20.0
?;-274.0;-3999.0;489.0;363.0;-246.0;38.0
-483.0;-237.0;?;483.0;353.0;-257.0;26.0
-594.0;-201.0;?;452.0;347.0;-252.0;3.0
-545.0;-272.0;-3716.0;?;364.0;-241.0;36.0
?;-354.0;-3192.0;333.0;348.0;-206.0;21.0
-761.0;-354.0;?;279.0;350.0;-160.0;197.0
-502.0;-342.0;-2216.0;218.0;346.0;-115.0;81.0
-644.0;-363.0;-1794.0;169.0;?;-65.0;-3.0
-521.0;?;-1327.0;?;354.0;-14.0;?
-498.0;-92.0;-934.0;95.0;361.0;23.0;157.0
-682.0;-105.0;-464.0;74.0;350.0;42.0;167.0
-652.0;-28.0;?;?;362.0;56.0;109.0
-570.0;-19.0;?;55.0;366.0;59.0;178.0
-604.0;-39.0;53.0;63.0;321.0;61.0;184.0
-524.0;-5.0;221.0;68.0;332.0;54.0;153.0
-390.0;-55.0;103.0;71.0;345.0;41.0;135.0
-369.0;-68.0;154.0;81.0;327.0;34.0;136.0
-317.0;-74.0;152.0;?;317.0;26.0;162.0
-324.0;-51.0;311.0;100.0;324.0;19.0;165.0
-395.0;-42.0;628.0;117.0;364.0;13.0;145.0
-462.0;1.0;868.0;133.0;352.0;7.0;142.0
-545.0;126.0;1061.0;157.0;349.0;-1.0;94.0
-674.0;295.0;1652.0;182.0;?;-9.0;145.0
-330.0;-82.0;92.0;264.0;359.0;-62.0;0.0
?;-102.0;156.0;263.0;?;-59.0;11.0
-320.0;-87.0;?;258.0;300.0;-56.0;18.0
-292.0;?;116.0;252.0;327.0;-53.0;8.0
?;-76.0;30.0;?;335.0;-51.0;1.0
?;-53.0;-109.0;256.0;337.0;-50.0;34.0
-202.0;-88.0;-411.0;262.0;318.0;-56.0;57.0
-114.0;-98.0;-847.0;278.0;309.0;-67.0;22.0
40.0;-116.0;-1371.0;301.0;351.0;?;17.0
125.0;-120.0;-1933.0;334.0;324.0;-117.0;56.0
102.0;?;-2527.0;370.0;320.0;-145.0;24.0
95.0;-173.0;?;?;334.0;-177.0;65.0
-33.0;?;-3497.0;455.0;329.0;-203.0;33.0
-205.0;-218.0;-4063.0;?;333.0;-237.0;70.0
?;-143.0;-4076.0;514.0;320.0;?;35.0
-476.0;-175.0;-4206.0;506.0;303.0;?;?
-599.0;-152.0;-4346.0;466.0;334.0;-222.0;57.0
-649.0;?;-4153.0;396.0;320.0;-185.0;119.0
-802.0;-242.0;-3742.0;304.0;318.0;-135.0;191.0
-734.0;-176.0;-3309.0;218.0;?;-74.0;113.0
-628.0;-193.0;-2732.0;146.0;335.0;-17.0;96.0
-482.0;-118.0;-2385.0;80.0;315.0;42.0;25.0
-625.0;17.0;-1845.0;29.0;340.0;98.0;120.0
-835.0;97.0;-1096.0;-11.0;400.0;143.0;246.0
-942.0;-59.0;-343.0;?;394.0;166.0;211.0
-912.0;-23.0;335.0;-44.0;370.0;164.0;125.0
?;62.0;714.0;-40.0;329.0;147.0;152.0
-554.0;85.0;824.0;-27.0;339.0;121.0;105.0
?;16.0;637.0;-8.0;334.0;98.0;123.0
-333.0;33.0;503.0;15.0;335.0;79.0;117.0
-256.0;20.0;?;33.0;?;63.0;107.0
-291.0;18.0;485.0;?;384.0;53.0;96.0
-327.0;?;?;66.0;350.0;43.0;106.0
-388.0;-10.0;624.0;92.0;344.0;32.0;128.0
-519.0;24.0;953.0;120.0;354.0;16.0;155.0
-620.0;?;1496.0;153.0;362.0;-4.0;140.0
?;29.0;2147.0;197.0;346.0;?;144.0
-296.0;-59.0;-55.0;?;363.0;-19.0;56.0
-240.0;-16.0;-126.0;251.0;343.0;-20.0;49.0
-181.0;-43.0;-217.0;254.0;382.0;-25.0;40.0
-166.0;?;-301.0;259.0;397.0;-26.0;0.0
-136.0;-33.0;-390.0;269.0;313.0;-31.0;40.0
-130.0;-35.0;-704.0;286.0;334.0;-40.0;?
?;-44.0;-1200.0;313.0;336.0;-58.0;?
-17.0;9.0;-1782.0;351.0;372.0;-82.0;34.0
-42.0;-19.0;?;397.0;?;-116.0;?
-32.0;-9.0;-2975.0;448.0;380.0;-156.0;79.0
?;-43.0;-3693.0;494.0;339.0;-188.0;44.0
-166.0;-31.0;-4030.0;523.0;345.0;-224.0;57.0
?;-109.0;-4089.0;532.0;338.0;-247.0;19.0
?;?;-4233.0;527.0;355.0;-260.0;35.0
-549.0;?;-4119.0;496.0;?;-253.0;88.0
-592.0;-408.0;-3870.0;447.0;325.0;?;105.0
-575.0;-396.0;-3816.0;370.0;302.0;-193.0;92.0
-645.0;-355.0;-3356.0;283.0;368.0;-139.0;12.0
-613.0;-278.0;-2858.0;185.0;371.0;-74.0;81.0
?;-242.0;-2497.0;107.0;359.0;?;164.0
-651.0;-59.0;-1939.0;49.0;?;45.0;225.0
-843.0;16.0;-1121.0;7.0;?;90.0;208.0
-973.0;-24.0;-577.0;-19.0;?;122.0;?
-994.0;69.0;25.0;-23.0;343.0;141.0;186.0
-822.0;97.0;?;-20.0;?;137.0;?
-533.0;69.0;666.0;-15.0;?;121.0;133.0
-361.0;80.0;544.0;-4.0;314.0;106.0;110.0
-256.0;?;522.0;5.0;371.0;91.0;96.0
-237.0;25.0;319.0;15.0;359.0;81.0;85.0
-307.0;4.0;164.0;21.0;373.0;76.0;127.0
-270.0;20.0;124.0;28.0;373.0;71.0;110.0
-274.0;9.0;14.0;31.0;329.0;66.0;111.0
-298.0;-6.0;-82.0;37.0;?;66.0;133.0
-284.0;-19.0;-77.0;?;368.0;60.0;143.0
-382.0;-29.0;49.0;50.0;386.0;58.0;144.0
-454.0;-35.0;410.0;65.0;375.0;55.0;145.0
-560.0;3.0;885.0;89.0;334.0;42.0;175.0
-249.0;-117.0;249.0;261.0;377.0;-75.0;?
-246.0;-121.0;252.0;256.0;336.0;-69.0;31.0
-271.0;-89.0;197.0;249.0;361.0;-59.0;39.0
-218.0;-87.0;90.0;240.0;373.0;-50.0;39.0
-206.0;-53.0;66.0;236.0;336.0;-47.0;37.0
-256.0;?;40.0;236.0;320.0;-46.0;39.0
-206.0;-53.0;-81.0;238.0;326.0;-45.0;-10.0
-133.0;-72.0;-244.0;237.0;?;-46.0;49.0
-114.0;-34.0;-526.0;245.0;349.0;-46.0;1.0
-53.0;-86.0;-748.0;258.0;345.0;-54.0;43.0
-68.0;-139.0;-969.0;271.0;318.0;-61.0;52.0
-64.0;-145.0;-1324.0;282.0;?;-69.0;19.0
-168.0;-115.0;?;294.0;324.0;-82.0;70.0
-186.0;-96.0;-1874.0;309.0;341.0;-100.0;33.0
-166.0;-109.0;-1914.0;327.0;327.0;-107.0;78.0
-261.0;-121.0;-2078.0;343.0;?;-107.0;67.0
-324.0;-125.0;-2242.0;353.0;345.0;-108.0;73.0
-327.0;-81.0;-2135.0;354.0;324.0;-104.0;38.0
?;-40.0;-1791.0;334.0;322.0;-97.0;46.0
-378.0;9.0;-1515.0;?;327.0;-76.0;62.0
-407.0;9.0;?;259.0;333.0;-51.0;86.0
-464.0;-23.0;-1751.0;217.0;325.0;-32.0;59.0
-356.0;-18.0;-1429.0;169.0;334.0;-17.0;68.0
-273.0;-23.0;?;106.0;331.0;7.0;75.0
-392.0;?;-836.0;56.0;301.0;19.0;71.0
-351.0;-37.0;-496.0;14.0;326.0;?;94.0
-252.0;-1.0;-244.0;-30.0;337.0;30.0;44.0
-310.0;-27.0;?;-70.0;342.0;34.0;67.0
-129.0;-41.0;?;-105.0;308.0;46.0;?
68.0;-91.0;201.0;-145.0;318.0;60.0;98.0
-45.0;-84.0;305.0;-187.0;308.0;75.0;85.0
-71.0;-63.0;300.0;-215.0;320.0;93.0;107.0
16.0;-82.0;202.0;-217.0;322.0;?;96.0
94.0;?;?;-197.0;?;131.0;92.0
169.0;-56.0;?;-154.0;343.0;150.0;82.0
53.0;-72.0;589.0;-102.0;347.0;168.0;91.0
-51.0;-31.0;?;-43.0;333.0;191.0;107.0
-41.0;-42.0;680.0;3.0;324.0;216.0;96.0
155.0;-59.0;?;48.0;?;242.0;127.0
109.0;-42.0;808.0;?;328.0;264.0;131.0
45.0;-25.0;709.0;85.0;327.0;280.0;?
150.0;?;738.0;97.0;327.0;299.0;?
161.0;-34.0;538.0;105.0;327.0;311.0;105.0
185.0;-34.0;554.0;103.0;318.0;327.0;135.0
141.0;-1.0;493.0;?;328.0;339.0;114.0
92.0;14.0;?;95.0;324.0;?;143.0
113.0;16.0;317.0;88.0;319.0;358.0;93.0
243.0;13.0;301.0;81.0;329.0;369.0;115.0
166.0;1.0;235.0;65.0;?;376.0;137.0
178.0;36.0;159.0;55.0;314.0;381.0;106.0
162.0;-14.0;49.0;51.0;306.0;385.0;108.0
76.0;-21.0;19.0;48.0;321.0;385.0;104.0
56.0;-18.0;-32.0;?;328.0;386.0;125.0
67.0;5.0;-73.0;?;321.0;387.0;115.0
57.0;-5.0;-80.0;?;322.0;387.0;134.0
44.0;-3.0;-51.0;?;345.0;386.0;115.0
?;-43.0;?;46.0;319.0;386.0;141.0
?;-21.0;-31.0;44.0;?;?;139.0
?;-44.0;-45.0;41.0;336.0;385.0;139.0
18.0;-38.0;?;?;335.0;385.0;141.0
26.0;-33.0;-102.0;38.0;317.0;?;139.0
44.0;?;-123.0;41.0;345.0;384.0;167.0
?;-43.0;-162.0;40.0;332.0;382.0;169.0
59.0;-34.0;?;43.0;322.0;381.0;?
?;-18.0;-220.0;43.0;300.0;378.0;161.0
136.0;-16.0;-294.0;45.0;317.0;376.0;135.0
33.0;-22.0;?;44.0;344.0;375.0;158.0
26.0;-14.0;-341.0;45.0;353.0;372.0;156.0
35.0;-17.0;-373.0;49.0;?;368.0;153.0
111.0;-6.0;-371.0;49.0;391.0;367.0;134.0
75.0;?;-345.0;53.0;393.0;368.0;107.0
83.0;33.0;-277.0;53.0;?;368.0;124.0
157.0;?;-296.0;51.0;301.0;366.0;117.0
172.0;24.0;-249.0;47.0;273.0;365.0;?
?;51.0;-307.0;44.0;?;364.0;105.0
132.0;59.0;-274.0;40.0;266.0;364.0;115.0
?;56.0;?;?;422.0;364.0;100.0
119.0;59.0;-314.0;34.0;405.0;364.0;93.0
106.0;33.0;-266.0;35.0;400.0;359.0;105.0
86.0;13.0;-215.0;32.0;405.0;360.0;92.0
?;8.0;-193.0;29.0;295.0;360.0;92.0
168.0;21.0;-163.0;31.0;251.0;359.0;90.0
186.0;-7.0;-108.0;28.0;285.0;?;78.0
176.0;?;-77.0;25.0;311.0;365.0;?
?;-69.0;-116.0;16.0;280.0;368.0;?
199.0;-97.0;-60.0;10.0;252.0;369.0;86.0
?;-115.0;15.0;?;217.0;373.0;87.0
237.0;-116.0;29.0;-2.0;197.0;374.0;95.0
229.0;-129.0;66.0;-10.0;244.0;381.0;99.0
237.0;-135.0;74.0;-14.0;209.0;?;117.0
225.0;-121.0;100.0;-15.0;198.0;387.0;97.0
199.0;-85.0;80.0;?;186.0;390.0;84.0
215.0;-67.0;73.0;?;231.0;391.0;?
?;-76.0;77.0;-34.0;193.0;395.0;65.0
130.0;16.0;?;-51.0;283.0;400.0;142.0
?;25.0;-8.0;-47.0;?;400.0;153.0
114.0;-3.0;-39.0;-46.0;245.0;399.0;163.0
123.0;12.0;-16.0;-44.0;240.0;399.0;162.0
133.0;3.0;-26.0;-43.0;300.0;398.0;?
?;14.0;-52.0;-38.0;286.0;398.0;151.0
163.0;25.0;-60.0;-37.0;281.0;399.0;171.0
135.0;-16.0;-91.0;-36.0;253.0;397.0;165.0
142.0;16.0;-100.0;-35.0;265.0;396.0;170.0
164.0;-1.0;-143.0;-32.0;207.0;396.0;167.0
159.0;78.0;-148.0;-32.0;350.0;394.0;169.0
117.0;45.0;-163.0;-31.0;488.0;?;168.0
77.0;74.0;-169.0;-29.0;250.0;396.0;164.0
109.0;113.0;-171.0;-29.0;227.0;393.0;144.0
140.0;89.0;-194.0;-29.0;272.0;391.0;139.0
?;128.0;-214.0;-27.0;298.0;390.0;118.0
107.0;102.0;-182.0;-28.0;294.0;387.0;107.0
112.0;133.0;-226.0;-34.0;275.0;387.0;87.0
123.0;89.0;-217.0;-38.0;318.0;385.0;67.0
132.0;105.0;?;-46.0;253.0;?;?
152.0;47.0;-214.0;-55.0;227.0;385.0;37.0
162.0;71.0;-206.0;-62.0;239.0;389.0;49.0
162.0;68.0;-207.0;-70.0;262.0;?;31.0
162.0;12.0;-166.0;-78.0;298.0;391.0;17.0
161.0;6.0;-148.0;-87.0;264.0;391.0;5.0
166.0;?;-109.0;-94.0;245.0;395.0;0.0
189.0;-41.0;?;-104.0;225.0;400.0;?
186.0;-47.0;-2.0;-118.0;?;402.0;10.0
209.0;-106.0;42.0;-127.0;?;407.0;28.0
?;?;81.0;-139.0;222.0;410.0;28.0
234.0;-98.0;132.0;-138.0;?;411.0;36.0
202.0;-102.0;149.0;-138.0;183.0;411.0;38.0
172.0;-91.0;152.0;-135.0;231.0;413.0;38.0
171.0;-76.0;163.0;-130.0;219.0;412.0;29.0
155.0;-76.0;197.0;-123.0;169.0;411.0;-12.0
169.0;-142.0;228.0;-120.0;231.0;413.0;-15.0
?;-262.0;285.0;-121.0;199.0;414.0;32.0
230.0;-205.0;401.0;-129.0;165.0;421.0;296.0
186.0;-306.0;400.0;-141.0;92.0;429.0;?
36.0;-390.0;332.0;?;104.0;429.0;256.0
412.0;-278.0;368.0;-108.0;-676.0;437.0;274.0
380.0;-189.0;?;-96.0;144.0;437.0;214.0
299.0;-121.0;85.0;-107.0;1332.0;438.0;215.0
126.0;-33.0;231.0;-120.0;67.0;439.0;209.0
-5.0;14.0;255.0;-127.0;894.0;?;214.0
75.0;-14.0;227.0;-118.0;530.0;443.0;202.0
236.0;19.0;110.0;-107.0;223.0;441.0;231.0
355.0;34.0;65.0;-96.0;194.0;439.0;207.0
237.0;61.0;65.0;-93.0;222.0;436.0;184.0
168.0;?;22.0;-93.0;97.0;434.0;183.0
126.0;89.0;-48.0;-92.0;167.0;430.0;193.0
178.0;125.0;-103.0;-93.0;273.0;428.0;188.0
180.0;127.0;?;-92.0;369.0;422.0;161.0
138.0;121.0;-149.0;-94.0;252.0;418.0;160.0
?;102.0;-190.0;-89.0;218.0;411.0;?
112.0;120.0;-154.0;-92.0;?;407.0;123.0
115.0;134.0;-176.0;-96.0;211.0;407.0;133.0
176.0;71.0;-170.0;-92.0;230.0;403.0;123.0
181.0;68.0;-197.0;-88.0;202.0;399.0;129.0
173.0;72.0;?;-86.0;188.0;396.0;148.0
161.0;37.0;-128.0;-85.0;260.0;396.0;150.0
153.0;50.0;-129.0;-83.0;264.0;395.0;128.0
135.0;69.0;-122.0;-77.0;230.0;397.0;?
122.0;?;-114.0;-72.0;216.0;392.0;114.0
92.0;71.0;-101.0;?;126.0;389.0;115.0
76.0;64.0;-119.0;?;?;389.0;125.0
101.0;56.0;-154.0;-69.0;288.0;388.0;143.0
150.0;52.0;-177.0;-63.0;260.0;385.0;124.0
151.0;44.0;-139.0;-59.0;496.0;384.0;125.0
93.0;35.0;-125.0;?;408.0;381.0;112.0
96.0;31.0;-137.0;-59.0;182.0;382.0;?
111.0;?;-124.0;-58.0;331.0;?;135.0
152.0;32.0;-159.0;-55.0;314.0;384.0;116.0
159.0;31.0;-167.0;-53.0;321.0;384.0;126.0
130.0;5.0;-150.0;-51.0;336.0;384.0;125.0
113.0;28.0;-166.0;-50.0;376.0;382.0;?
139.0;52.0;-215.0;-51.0;343.0;383.0;85.0
160.0;?;-215.0;-59.0;316.0;384.0;72.0
165.0;85.0;-169.0;-68.0;244.0;384.0;58.0
186.0;78.0;-116.0;-76.0;269.0;384.0;50.0
190.0;?;-128.0;?;218.0;386.0;30.0
198.0;31.0;?;-83.0;172.0;386.0;19.0
192.0;6.0;?;-84.0;326.0;387.0;17.0
129.0;-30.0;-13.0;-102.0;337.0;397.0;148.0
141.0;-5.0;?;-98.0;304.0;395.0;?
98.0;1.0;12.0;-97.0;237.0;395.0;142.0
112.0;-37.0;8.0;-94.0;264.0;393.0;143.0
126.0;-10.0;-2.0;-91.0;?;392.0;?
125.0;1.0;?;-91.0;288.0;393.0;155.0
148.0;?;-40.0;-86.0;301.0;389.0;153.0
141.0;-1.0;-54.0;?;268.0;390.0;146.0
?;4.0;-40.0;-78.0;255.0;385.0;143.0
?;40.0;-31.0;-80.0;242.0;385.0;163.0
134.0;?;-32.0;-80.0;270.0;384.0;124.0
125.0;-12.0;-62.0;-80.0;?;386.0;136.0
115.0;68.0;-20.0;-80.0;299.0;384.0;120.0
114.0;74.0;-28.0;-79.0;265.0;384.0;?
?;59.0;-49.0;?;291.0;?;120.0
145.0;70.0;-70.0;-76.0;228.0;385.0;105.0
150.0;57.0;-54.0;-77.0;292.0;381.0;?
111.0;102.0;-85.0;-73.0;?;381.0;118.0
82.0;?;-96.0;?;265.0;381.0;92.0
71.0;119.0;-126.0;-70.0;?;379.0;85.0
76.0;106.0;-96.0;-69.0;385.0;376.0;?
109.0;89.0;-151.0;-67.0;288.0;375.0;?
113.0;43.0;-145.0;-66.0;290.0;374.0;79.0
120.0;20.0;-104.0;?;360.0;372.0;67.0
125.0;25.0;-105.0;?;305.0;?;77.0
123.0;14.0;-46.0;-71.0;303.0;373.0;67.0
131.0;10.0;-54.0;-72.0;248.0;372.0;87.0
118.0;-33.0;-9.0;-72.0;297.0;372.0;74.0
112.0;-21.0;11.0;-74.0;245.0;377.0;68.0
142.0;?;41.0;-77.0;311.0;379.0;49.0
106.0;-52.0;39.0;-80.0;238.0;381.0;19.0
112.0;-83.0;8.0;-89.0;272.0;381.0;-60.0
119.0;-152.0;21.0;-97.0;226.0;383.0;28.0
52.0;-270.0;160.0;-107.0;149.0;386.0;225.0
175.0;-242.0;193.0;-122.0;242.0;391.0;436.0
491.0;-234.0;?;-128.0;-106.0;392.0;377.0
?;-281.0;358.0;-119.0;208.0;397.0;210.0
?;-115.0;51.0;?;-809.0;400.0;182.0
196.0;9.0;?;-91.0;777.0;400.0;141.0
278.0;40.0;?;-83.0;1247.0;401.0;74.0
93.0;40.0;107.0;?;1525.0;401.0;48.0
127.0;-1.0;?;-87.0;126.0;404.0;78.0
156.0;?;-1.0;-87.0;-300.0;401.0;128.0
203.0;-99.0;4.0;-85.0;401.0;403.0;145.0
246.0;-94.0;4.0;-88.0;-17.0;402.0;186.0
199.0;-68.0;82.0;-91.0;216.0;401.0;203.0
?;-93.0;106.0;-94.0;287.0;402.0;170.0
102.0;-69.0;73.0;?;246.0;?;185.0
141.0;-30.0;62.0;-96.0;228.0;399.0;163.0
112.0;27.0;?;-93.0;?;398.0;166.0
124.0;27.0;87.0;-90.0;301.0;396.0;151.0
102.0;26.0;109.0;-88.0;325.0;394.0;147.0
141.0;?;93.0;-91.0;265.0;395.0;153.0
126.0;45.0;61.0;-91.0;219.0;394.0;123.0
116.0;26.0;?;-91.0;266.0;393.0;144.0
131.0;-20.0;-33.0;-86.0;299.0;392.0;125.0
140.0;-15.0;-20.0;-76.0;305.0;390.0;163.0
?;?;-3.0;-72.0;299.0;387.0;145.0
71.0;-5.0;-23.0;-70.0;294.0;385.0;174.0
83.0;4.0;-56.0;-74.0;278.0;380.0;161.0
94.0;-9.0;-17.0;-73.0;253.0;?;?
114.0;6.0;?;-75.0;305.0;374.0;153.0
105.0;?;6.0;-73.0;?;369.0;165.0
102.0;14.0;-13.0;-70.0;?;367.0;127.0
90.0;1.0;-4.0;-71.0;258.0;367.0;143.0
135.0;-9.0;27.0;-69.0;292.0;?;147.0
137.0;-18.0;-10.0;-71.0;295.0;362.0;158.0
103.0;1.0;-11.0;-68.0;303.0;363.0;149.0
124.0;?;-11.0;?;282.0;364.0;177.0
?;-54.0;?;-65.0;305.0;362.0;176.0
117.0;-33.0;-27.0;-65.0;294.0;366.0;?
102.0;-3.0;-62.0;-63.0;292.0;365.0;210.0
88.0;10.0;?;?;308.0;365.0;?
82.0;46.0;?;-63.0;278.0;?;173.0
?;74.0;-121.0;-60.0;309.0;?;171.0
117.0;104.0;?;-58.0;?;363.0;162.0
78.0;132.0;-251.0;-62.0;464.0;361.0;130.0
19.0;126.0;-272.0;-63.0;548.0;360.0;?
41.0;108.0;-249.0;-60.0;399.0;360.0;76.0
80.0;130.0;-250.0;-62.0;269.0;363.0;55.0
124.0;66.0;-229.0;-69.0;247.0;362.0;57.0
169.0;21.0;-155.0;-77.0;251.0;360.0;63.0
149.0;?;-89.0;-88.0;212.0;365.0;38.0
156.0;-114.0;-47.0;-98.0;164.0;367.0;53.0
167.0;-163.0;?;-107.0;159.0;370.0;11.0
157.0;-208.0;83.0;-117.0;210.0;375.0;70.0
?;-290.0;216.0;-133.0;20.0;383.0;281.0
175.0;-196.0;194.0;-151.0;61.0;389.0;510.0
265.0;-186.0;419.0;-157.0;-174.0;392.0;270.0
184.0;-252.0;?;-134.0;79.0;391.0;379.0
295.0;-124.0;60.0;-108.0;-767.0;394.0;190.0
452.0;17.0;51.0;-104.0;1137.0;?;186.0
374.0;52.0;47.0;-104.0;1945.0;?;102.0
9.0;59.0;85.0;-108.0;1657.0;394.0;118.0
27.0;71.0;48.0;-116.0;-38.0;396.0;109.0
