InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX
1479.0;-825;-440.0;355;-1761.0;2080.0;1035.0
1711.0;-825;-382.0;355;-1949.0;2553.0;897.0
1871.0;-825;-427.0;355;-2001.0;3090.0;826.0
1925.0;-824;-288.0;354;-1912.0;3618.0;676.0
2009.0;-825;-264.0;356;-2071.0;4137.0;576.0
2036.0;-821;-79.0;357;-2312.0;4372.0;743.0
1898.0;-824;-224.0;?;?;4575.0;807.0
1807.0;-828;-213.0;357;-2374.0;4471.0;803.0
1540.0;-816;-224.0;354;?;4062.0;?
1127.0;-823;-281.0;353;-2083.0;3799.0;1086.0
723.0;-831;-84.0;356;-1685.0;3558.0;946.0
507.0;-824;-17.0;354;-1662.0;3504.0;521.0
?;?;21.0;353;-1696.0;3209.0;254.0
245.0;-828;17.0;353;-1572.0;3117.0;327.0
-62.0;-825;-44.0;354;-1274.0;3258.0;431.0
-38.0;-825;-9.0;356;-1048.0;3408.0;466.0
137.0;-825;38.0;357;-1018.0;3376.0;501.0
302.0;?;46.0;355;-1009.0;3020.0;52.0
619.0;-832;-11.0;355;-650.0;?;-657.0
933.0;-830;-45.0;354;-36.0;1969.0;-1314.0
1029.0;-824;-76.0;348;629.0;1526.0;-1987.0
1099.0;?;-73.0;347;1046.0;1340.0;-2538.0
?;-823;-116.0;347;1261.0;1168.0;-2614.0
1030.0;-823;-172.0;347;1278.0;871.0;-2197.0
?;-824;-131.0;347;1317.0;702.0;-1698.0
933.0;-823;-86.0;346;1399.0;645.0;?
961.0;-827;?;354;?;473.0;-1313.0
805.0;-829;-12.0;350;1443.0;?;-1097.0
663.0;-829;25.0;345;1388.0;274.0;-946.0
550.0;-832;1.0;352;1402.0;203.0;-620.0
367.0;-830;42.0;351;1465.0;100.0;-452.0
181.0;-823;?;350;1463.0;22.0;-291.0
296.0;-820;49.0;350;1308.0;?;-273.0
171.0;-827;77.0;343;1097.0;-294.0;77.0
?;?;30.0;349;905.0;-389.0;168.0
-9.0;-826;-2.0;357;711.0;-409.0;47.0
-61.0;-833;14.0;357;509.0;-410.0;26.0
-133.0;-833;49.0;360;237.0;-282.0;86.0
-128.0;-829;48.0;360;18.0;-169.0;?
-55.0;?;?;365;-66.0;-153.0;69.0
-33.0;-816;13.0;?;-72.0;-80.0;89.0
-2.0;-827;5.0;362;?;-43.0;?
12.0;-830;8.0;360;-22.0;-18.0;108.0
17.0;-811;-40.0;347;8.0;21.0;113.0
64.0;-876;-66.0;403;?;-4.0;51.0
101.0;-834;-107.0;347;157.0;12.0;-26.0
159.0;-960;-93.0;507;?;-69.0;-81.0
200.0;-1041;-76.0;581;255.0;-75.0;-123.0
266.0;-834;-149.0;431;329.0;-36.0;-120.0
306.0;-922;-213.0;596;373.0;-74.0;-94.0
381.0;-812;-194.0;205;478.0;-118.0;-40.0
?;-714;-275.0;-34;565.0;?;18.0
400.0;-880;-301.0;?;616.0;?;96.0
393.0;-780;?;-153;645.0;35.0;132.0
503.0;-801;-399.0;?;604.0;57.0;158.0
525.0;-883;-381.0;-30;534.0;143.0;182.0
526.0;-835;?;-143;?;?;229.0
482.0;-851;?;-135;297.0;411.0;300.0
443.0;?;-280.0;-152;206.0;541.0;320.0
422.0;-858;-276.0;-172;151.0;534.0;347.0
463.0;-825;-255.0;-183;127.0;?;321.0
418.0;-863;-226.0;-165;188.0;459.0;362.0
439.0;-848;-204.0;-211;248.0;361.0;467.0
?;-871;-230.0;-196;256.0;312.0;444.0
376.0;-949;-243.0;-127;311.0;266.0;439.0
338.0;?;-205.0;-145;300.0;247.0;436.0
285.0;-832;-203.0;?;301.0;?;340.0
223.0;-968;-139.0;?;299.0;174.0;331.0
204.0;-673;-45.0;-238;?;136.0;340.0
143.0;-1002;-17.0;-188;210.0;135.0;460.0
73.0;-701;-16.0;-254;156.0;110.0;474.0
38.0;-829;-21.0;-233;97.0;110.0;399.0
44.0;-160;10.0;-1375;91.0;109.0;338.0
-1.0;2375;2.0;-1969;118.0;94.0;289.0
29.0;-3506;-42.0;3559;?;43.0;245.0
?;-4426;31.0;5603;28.0;30.0;180.0
-12.0;?;27.0;?;37.0;?;162.0
-24.0;-650;48.0;267;28.0;31.0;146.0
-41.0;-1397;75.0;566;33.0;9.0;183.0
-49.0;-250;95.0;183;-1.0;-41.0;234.0
-24.0;-794;?;?;?;-40.0;-182.0
-9.0;-839;-13.0;35;6.0;-25.0;-130.0
8.0;-874;?;?;32.0;-15.0;-109.0
58.0;-840;?;?;64.0;?;-119.0
?;-857;-47.0;?;37.0;56.0;-100.0
94.0;-856;-85.0;-71;5.0;?;-95.0
81.0;-909;?;-104;28.0;128.0;-39.0
91.0;-928;-104.0;-114;2.0;167.0;?
169.0;-891;-118.0;-136;59.0;167.0;-1.0
143.0;-865;-149.0;-167;116.0;143.0;9.0
151.0;-863;-122.0;-183;112.0;137.0;71.0
183.0;-873;-100.0;-149;110.0;161.0;118.0
166.0;-862;-61.0;-166;147.0;214.0;141.0
160.0;-867;-37.0;-212;185.0;184.0;212.0
183.0;-878;-23.0;-180;?;140.0;?
?;-802;-51.0;?;321.0;170.0;330.0
221.0;-862;-58.0;-177;325.0;179.0;405.0
?;-963;-15.0;-59;336.0;193.0;530.0
210.0;-876;?;?;?;177.0;?
232.0;-893;-7.0;-186;335.0;119.0;592.0
230.0;?;-69.0;-70;330.0;136.0;600.0
252.0;-850;-55.0;-299;334.0;130.0;588.0
236.0;-778;-42.0;-108;312.0;160.0;609.0
?;-853;-63.0;-201;246.0;186.0;523.0
239.0;-841;-82.0;-206;194.0;181.0;451.0
200.0;-406;-22.0;-440;143.0;163.0;413.0
144.0;163;-34.0;-1144;128.0;169.0;427.0
106.0;231;-12.0;3091;17.0;150.0;336.0
25.0;200;-17.0;4003;?;118.0;223.0
-39.0;-69;-7.0;-604;-91.0;59.0;54.0
-30.0;-765;61.0;146;-119.0;-6.0;-80.0
-91.0;?;79.0;668;-155.0;4.0;-167.0
-142.0;-795;96.0;-34;-176.0;-61.0;-221.0
?;-846;124.0;525;-166.0;-51.0;-314.0
-178.0;-788;108.0;224;-206.0;-110.0;-349.0
-236.0;?;126.0;373;-240.0;-161.0;-312.0
-244.0;-839;1.0;372;?;-236.0;-50.0
?;-810;-370.0;310;-351.0;-284.0;231.0
-626.0;-812;574.0;368;-484.0;0.0;-926.0
-398.0;-816;198.0;336;-623.0;266.0;-850.0
-216.0;?;100.0;366;-208.0;8.0;-506.0
-234.0;-821;?;364;13.0;-199.0;?
-77.0;-815;-49.0;349;-17.0;-267.0;?
-128.0;-816;13.0;347;-169.0;-89.0;-48.0
-181.0;-815;114.0;341;-318.0;102.0;-486.0
-130.0;-819;30.0;347;-291.0;100.0;-735.0
-70.0;-821;16.0;339;?;-78.0;-562.0
-56.0;-822;96.0;344;?;-204.0;-267.0
-40.0;-832;57.0;?;192.0;-204.0;-40.0
-8.0;-881;14.0;392;?;-108.0;42.0
20.0;-971;0.0;551;30.0;-37.0;34.0
8.0;-959;?;?;29.0;?;65.0
38.0;-882;28.0;371;37.0;74.0;111.0
65.0;-883;-13.0;340;72.0;27.0;89.0
84.0;-845;28.0;230;56.0;13.0;200.0
83.0;-803;-39.0;187;111.0;7.0;224.0
88.0;-878;-84.0;198;164.0;-12.0;138.0
112.0;-811;-97.0;27;145.0;-26.0;?
136.0;-739;-54.0;-130;80.0;16.0;57.0
118.0;-867;?;-143;8.0;94.0;72.0
97.0;-867;-51.0;-133;-53.0;100.0;6.0
?;-811;-87.0;-157;7.0;82.0;-35.0
148.0;-824;-97.0;-159;43.0;7.0;-31.0
99.0;?;-118.0;?;32.0;19.0;8.0
80.0;-845;-28.0;-151;28.0;31.0;58.0
94.0;-899;-50.0;-31;?;76.0;47.0
144.0;-921;?;-94;63.0;?;-57.0
148.0;-1022;-139.0;-62;138.0;?;-168.0
142.0;-802;?;?;160.0;91.0;?
144.0;-935;-102.0;-23;?;135.0;46.0
167.0;-779;?;-247;139.0;200.0;40.0
?;-796;-119.0;-228;136.0;235.0;47.0
187.0;-1198;-111.0;210;171.0;220.0;26.0
173.0;-176;-113.0;-833;153.0;208.0;26.0
173.0;-1528;-114.0;543;157.0;188.0;78.0
210.0;?;-111.0;-1832;142.0;200.0;212.0
218.0;991;-123.0;-1586;178.0;192.0;242.0
172.0;-5883;-70.0;5444;233.0;188.0;349.0
149.0;-2383;-39.0;1321;232.0;132.0;427.0
133.0;691;-26.0;-1513;192.0;?;415.0
125.0;-1564;2.0;1212;151.0;67.0;320.0
58.0;-443;51.0;-74;?;58.0;327.0
34.0;-869;41.0;427;61.0;?;248.0
16.0;-855;-47.0;372;?;25.0;?
3.0;?;-14.0;411;-39.0;59.0;-127.0
44.0;-919;-38.0;389;-31.0;80.0;-82.0
19.0;-858;?;369;32.0;90.0;-71.0
40.0;?;?;397;31.0;135.0;?
42.0;?;-23.0;226;34.0;62.0;-76.0
?;-845;-49.0;229;9.0;60.0;-112.0
11.0;-868;-51.0;173;-2.0;26.0;-52.0
26.0;-728;-81.0;-148;39.0;29.0;2.0
27.0;-705;-73.0;-141;49.0;17.0;?
27.0;-705;26.0;-105;78.0;32.0;?
34.0;-753;-18.0;-183;?;69.0;26.0
19.0;-820;-19.0;-144;13.0;83.0;-18.0
34.0;-782;-39.0;-198;46.0;98.0;-33.0
46.0;-874;-40.0;?;64.0;62.0;-35.0
86.0;-988;?;?;109.0;41.0;-58.0
107.0;-856;-7.0;-81;89.0;22.0;-91.0
93.0;-885;-11.0;-290;104.0;66.0;-27.0
72.0;-775;-68.0;-23;56.0;119.0;-8.0
116.0;-934;-81.0;-332;74.0;124.0;47.0
112.0;-783;-77.0;-121;92.0;135.0;79.0
84.0;-706;-87.0;-55;111.0;107.0;75.0
127.0;-329;-61.0;-1479;109.0;74.0;134.0
?;2172;-59.0;-1575;109.0;117.0;146.0
112.0;-369;-49.0;-4689;94.0;120.0;?
100.0;-3583;-22.0;-4815;71.0;125.0;80.0
46.0;-955;-26.0;?;27.0;100.0;75.0
34.0;?;17.0;837;-4.0;61.0;30.0
9.0;-1094;52.0;-1;-23.0;45.0;48.0
-8.0;-603;74.0;704;-16.0;17.0;89.0
-24.0;-948;?;136;-53.0;-2.0;64.0
-30.0;-735;95.0;414;-73.0;-48.0;43.0
-139.0;?;125.0;351;?;20.0;178.0
-208.0;-869;-34.0;313;-272.0;137.0;366.0
-147.0;-846;168.0;373;-301.0;?;-7.0
-85.0;-887;377.0;317;-279.0;-187.0;-632.0
24.0;-857;191.0;354;-284.0;180.0;-152.0
132.0;-837;-82.0;350;-77.0;465.0;-450.0
?;-841;-203.0;349;?;318.0;-224.0
24.0;-843;-151.0;349;115.0;184.0;132.0
-34.0;-830;-42.0;343;-53.0;176.0;171.0
-95.0;-831;-29.0;342;-212.0;88.0;81.0
-129.0;-829;-80.0;345;-206.0;22.0;-96.0
-124.0;-834;110.0;345;-120.0;-41.0;-72.0
?;-844;108.0;347;4.0;?;-19.0
-95.0;-833;127.0;341;36.0;-142.0;-20.0
-62.0;-838;?;344;-7.0;?;-63.0
-83.0;-842;79.0;347;-29.0;-71.0;-47.0
-95.0;-832;14.0;345;1.0;-106.0;-158.0
-69.0;-836;65.0;344;-6.0;-100.0;-206.0
-95.0;-838;?;341;-13.0;?;-191.0
-75.0;?;34.0;344;9.0;?;-120.0
-74.0;-839;120.0;337;?;-84.0;-54.0
-51.0;-847;86.0;?;50.0;-51.0;-25.0
-31.0;-831;105.0;?;42.0;-68.0;-66.0
?;-840;?;345;24.0;-56.0;-70.0
-54.0;-841;-32.0;342;12.0;-67.0;-19.0
-45.0;-820;63.0;323;-42.0;-26.0;100.0
-50.0;-884;62.0;394;?;27.0;?
-21.0;-800;34.0;305;-1.0;-5.0;48.0
?;?;27.0;464;-4.0;-32.0;14.0
-36.0;?;-36.0;671;?;-62.0;-38.0
-12.0;-871;-7.0;321;15.0;-39.0;-21.0
5.0;-762;-35.0;159;32.0;14.0;-28.0
13.0;-853;17.0;113;-11.0;39.0;-23.0
22.0;?;-1.0;35;23.0;?;-1.0
26.0;-857;?;60;-7.0;27.0;12.0
7.0;-832;?;-85;?;61.0;-83.0
29.0;-848;-30.0;-114;-81.0;75.0;-85.0
56.0;?;-57.0;-32;12.0;58.0;-76.0
52.0;?;-98.0;-274;?;37.0;-62.0
75.0;?;-39.0;81;22.0;83.0;-64.0
85.0;-889;-38.0;-320;13.0;144.0;-56.0
122.0;-807;-61.0;-138;87.0;210.0;-22.0
175.0;-512;-136.0;-223;159.0;200.0;46.0
238.0;206;-133.0;-2087;?;233.0;32.0
261.0;1042;-110.0;558;245.0;211.0;53.0
276.0;118;-149.0;-1522;187.0;305.0;61.0
262.0;-1526;-188.0;-4555;142.0;?;158.0
254.0;-1494;-200.0;712;106.0;321.0;303.0
?;-953;-105.0;873;86.0;256.0;411.0
?;-855;-67.0;-176;47.0;140.0;497.0
?;-816;-67.0;816;54.0;175.0;559.0
?;-811;-70.0;113;79.0;136.0;484.0
57.0;-802;2.0;411;68.0;?;405.0
-47.0;-817;73.0;355;?;91.0;516.0
?;-848;-66.0;301;-157.0;85.0;637.0
-51.0;-846;-269.0;390;-192.0;-9.0;218.0
-125.0;-834;601.0;?;-157.0;71.0;-624.0
-74.0;-837;468.0;358;-161.0;283.0;141.0
-29.0;?;42.0;348;12.0;237.0;-31.0
-22.0;?;-14.0;349;178.0;-116.0;-10.0
?;-836;99.0;343;100.0;-149.0;-32.0
-115.0;-826;9.0;349;-77.0;-4.0;62.0
-86.0;-831;7.0;354;-147.0;90.0;11.0
-73.0;-834;-23.0;350;-78.0;37.0;-98.0
-31.0;-832;-9.0;354;56.0;-124.0;?
-34.0;-835;?;352;182.0;-233.0;-43.0
-37.0;-834;?;342;248.0;-297.0;-29.0
-74.0;?;?;341;203.0;-154.0;1.0
-82.0;-832;54.0;340;119.0;-121.0;-93.0
?;-834;92.0;343;22.0;-102.0;-191.0
-98.0;-835;114.0;349;-71.0;-91.0;?
-94.0;-831;83.0;347;-93.0;-20.0;-99.0
?;-839;51.0;346;?;-30.0;-22.0
-81.0;-840;64.0;?;-87.0;-19.0;-9.0
?;-840;76.0;344;-41.0;-52.0;-69.0
-40.0;-837;55.0;345;-16.0;-72.0;-115.0
-32.0;-836;59.0;345;?;-46.0;-73.0
-29.0;-845;45.0;348;11.0;-43.0;-25.0
-23.0;?;?;349;19.0;-3.0;1.0
-28.0;-834;13.0;340;26.0;19.0;18.0
?;-848;81.0;338;?;-18.0;9.0
-19.0;-842;17.0;344;-16.0;?;-43.0
-27.0;?;-18.0;345;-27.0;37.0;-36.0
-25.0;-835;42.0;347;-26.0;53.0;-8.0
-33.0;-836;13.0;347;-24.0;-3.0;-34.0
-9.0;-840;21.0;?;-10.0;-3.0;12.0
-25.0;-840;-16.0;342;-17.0;-22.0;-16.0
-17.0;-834;31.0;346;-12.0;-32.0;-22.0
0.0;-838;34.0;349;23.0;-11.0;-9.0
-1.0;?;28.0;343;-6.0;-17.0;-9.0
?;-839;105.0;344;-1.0;5.0;?
-1.0;-839;24.0;342;35.0;2.0;97.0
-11.0;-835;55.0;?;26.0;13.0;58.0
-26.0;-836;?;352;?;39.0;87.0
15.0;-842;61.0;347;-19.0;39.0;44.0
-31.0;-838;-28.0;339;-14.0;29.0;22.0
-11.0;-838;?;343;24.0;2.0;-42.0
?;?;17.0;349;23.0;-29.0;?
-10.0;-833;42.0;343;26.0;2.0;?
-19.0;-834;34.0;337;-35.0;7.0;-27.0
-31.0;-836;69.0;343;?;15.0;-90.0
