InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;Accelerometer RUA^ accX;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RLA gyroY
1;35;44.0;-243;22;-1;-540.0;-22;-359.0;-127.0;?;163.0
-32;22;-217.0;-269;4;8;-516.0;-4;-348.0;-105.0;?;614.0
-2;43;-613.0;-243;46;-1;-380.0;-46;-307.0;-106.0;43;875.0
-4;50;-925.0;-240;87;-4;-210.0;-87;-165.0;19.0;50;1140.0
?;-14;-974.0;-241;?;-5;-203.0;-45;-198.0;-149.0;?;1184.0
4;-12;-925.0;-235;-8;1;-207.0;8;-319.0;-173.0;?;1128.0
3;?;-806.0;-238;-11;8;-238.0;11;-309.0;-33.0;12;956.0
6;6;-634.0;-235;-18;5;-247.0;18;-362.0;-63.0;6;172.0
3;4;-394.0;-237;-10;?;-154.0;10;-452.0;-117.0;4;-141.0
-10;-22;-266.0;-244;16;7;?;?;-356.0;-152.0;-22;-176.0
-3;-6;-174.0;-238;-26;?;-63.0;26;-218.0;-96.0;-6;-142.0
6;16;-93.0;-230;-50;-1;-134.0;50;-174.0;-107.0;16;-112.0
-7;-2;51.0;-238;10;2;-169.0;-10;-230.0;-127.0;-2;-193.0
-12;15;-110.0;-247;?;10;?;-35;-246.0;-161.0;15;-341.0
-2;14;-219.0;-237;6;3;?;-6;-261.0;?;14;-242.0
0;-22;-160.0;-228;13;-7;81.0;-13;?;-299.0;-22;-322.0
-2;-4;-81.0;-235;31;0;393.0;-31;-519.0;122.0;-4;-536.0
2;8;-4.0;-231;22;-2;639.0;-22;-563.0;114.0;8;-799.0
6;-10;164.0;-224;64;-8;788.0;-64;-702.0;-36.0;-10;-1239.0
-7;-1;143.0;-242;96;0;1223.0;-96;-711.0;-60.0;-1;-1499.0
-13;-16;513.0;-252;55;?;1365.0;-55;-790.0;26.0;-16;-1767.0
4;-27;766.0;-244;45;6;1751.0;-45;-828.0;-165.0;?;-1832.0
4;14;536.0;-246;52;6;1307.0;?;-878.0;-224.0;14;-2194.0
?;27;-432.0;-249;39;7;841.0;-39;-790.0;-60.0;?;-2833.0
2;-7;?;-248;36;5;?;-36;-629.0;-16.0;?;-3721.0
-6;3;?;-249;7;0;253.0;-7;-325.0;-79.0;3;-4176.0
-4;16;-2752.0;-248;-23;0;-34.0;23;-129.0;-117.0;16;-4487.0
2;-4;-2361.0;-245;17;1;-53.0;-17;-216.0;-150.0;-4;?
2;23;-1836.0;-242;45;?;-243.0;-45;-477.0;-146.0;?;?
?;?;?;-252;12;7;-480.0;-12;-116.0;-85.0;?;-4681.0
-10;33;-1247.0;-253;-22;6;-409.0;22;-409.0;?;33;-4035.0
-1;25;-1366.0;?;-21;-13;?;21;-265.0;3.0;25;?
4;17;-1574.0;-230;?;?;-448.0;23;76.0;-138.0;17;?
-7;12;-1226.0;-248;?;3;-610.0;58;-279.0;-117.0;12;-2757.0
1;-21;-815.0;?;-50;8;-327.0;50;101.0;-57.0;?;-2024.0
?;-3;-195.0;-241;12;?;-39.0;-12;-4.0;-121.0;-3;-1254.0
-1;34;140.0;-246;9;5;130.0;-9;?;-62.0;34;-673.0
1;32;-30.0;?;22;?;0.0;-22;74.0;-90.0;32;91.0
7;-4;-69.0;-234;-10;0;54.0;10;-2.0;-75.0;-4;86.0
8;-30;-104.0;-233;-3;-3;104.0;3;-56.0;-90.0;-30;?
-7;-28;-303.0;-248;35;8;59.0;-35;-106.0;-122.0;-28;329.0
-7;2;-660.0;-253;59;?;15.0;-59;-207.0;-101.0;2;337.0
?;6;?;-244;47;3;15.0;-47;-327.0;-70.0;6;290.0
-4;6;-1016.0;-249;22;7;-78.0;?;-356.0;-85.0;6;463.0
0;8;-1261.0;-248;-6;8;-135.0;6;-293.0;-140.0;8;756.0
5;1;-1582.0;-235;?;-6;-315.0;16;-218.0;-104.0;1;920.0
3;-2;-1958.0;-244;-12;3;-452.0;12;-161.0;-101.0;-2;1022.0
2;23;?;-246;?;8;-648.0;15;-147.0;-82.0;23;1226.0
1;16;-2742.0;-239;-33;?;-855.0;33;-103.0;-86.0;16;?
-2;-24;-3221.0;?;?;?;-1188.0;53;?;-84.0;-24;983.0
2;9;-3684.0;-246;-47;6;-1483.0;47;-22.0;-90.0;9;804.0
4;30;-4080.0;-240;-40;1;-1826.0;40;18.0;-101.0;30;327.0
?;11;-4631.0;-239;-26;-1;-2043.0;26;20.0;-101.0;11;-277.0
-1;21;-4863.0;-234;-13;-5;-2048.0;13;177.0;-96.0;21;-685.0
-6;57;?;-240;-23;-4;-2071.0;23;-34.0;-105.0;?;-1054.0
-8;70;-4222.0;-241;?;-5;-1915.0;23;99.0;-78.0;70;-1598.0
6;-15;?;-237;-29;3;?;29;169.0;-102.0;-15;-1933.0
12;-43;-3320.0;?;-31;10;-1685.0;31;146.0;-42.0;-43;-2052.0
-3;-5;-2875.0;-248;-6;?;-1566.0;6;?;?;-5;-2107.0
?;-17;-2290.0;-249;-32;15;-1396.0;32;190.0;-68.0;-17;-1782.0
4;?;-1401.0;?;-55;5;-999.0;55;216.0;-97.0;-15;-1216.0
-6;-7;-784.0;-244;?;3;-510.0;8;380.0;-105.0;-7;-795.0
-3;?;-295.0;-251;-23;13;-58.0;23;288.0;-90.0;11;-282.0
2;3;94.0;-244;-21;3;194.0;21;182.0;-87.0;3;3.0
2;?;345.0;-231;12;-13;?;-12;201.0;-53.0;-49;-20.0
0;-27;457.0;-236;7;-8;296.0;-7;139.0;-30.0;-27;-98.0
-7;16;455.0;-246;8;-2;225.0;-8;91.0;-77.0;16;-70.0
1;-9;475.0;-246;?;4;228.0;28;?;-122.0;-9;20.0
-3;?;580.0;-248;-15;7;254.0;15;33.0;-162.0;-9;291.0
-1;-8;702.0;-241;15;-2;157.0;-15;76.0;-132.0;-8;393.0
?;-8;793.0;-234;5;?;193.0;-5;168.0;-138.0;-8;371.0
8;28;979.0;-241;30;6;238.0;-30;260.0;-151.0;28;304.0
1;2;1077.0;-239;39;-3;203.0;-39;274.0;-92.0;?;155.0
-1;3;-7.0;-245;?;-1;-74.0;-10;48.0;-16.0;3;91.0
2;26;-75.0;-240;33;?;-101.0;-33;74.0;-72.0;26;48.0
5;-26;-127.0;?;70;-6;-60.0;?;46.0;?;-26;125.0
-1;-47;-193.0;-256;23;10;-113.0;-23;45.0;-122.0;-47;114.0
-5;-17;-267.0;-262;-29;?;-126.0;?;5.0;-65.0;-17;220.0
5;-55;-456.0;?;-34;-4;-252.0;34;-124.0;-78.0;-55;?
7;6;-1111.0;-243;-28;-6;-277.0;?;-158.0;-117.0;6;131.0
10;44;?;-242;-60;-5;-305.0;60;-291.0;-83.0;44;279.0
6;3;-1583.0;-242;?;-5;?;43;-470.0;-63.0;3;?
-6;-20;-2061.0;-250;?;-1;-684.0;7;-414.0;-68.0;-20;421.0
-2;?;-2663.0;-248;-13;-2;-1125.0;13;-380.0;-121.0;-10;318.0
?;7;?;-244;5;-4;-1347.0;-5;-254.0;-88.0;7;450.0
1;-17;?;-245;4;-4;-1651.0;-4;-124.0;-77.0;-17;355.0
-3;13;-4792.0;?;-21;2;-1849.0;?;-19.0;-63.0;13;86.0
-3;-7;-5405.0;-256;-17;8;-1930.0;17;84.0;-112.0;-7;-261.0
-1;?;-5281.0;-252;2;2;-2070.0;-2;176.0;-98.0;-11;-475.0
?;47;-4962.0;-248;6;-3;-2050.0;-6;116.0;-97.0;47;-1192.0
2;-16;-4453.0;-248;-21;1;-2034.0;21;205.0;?;-16;-1874.0
2;-40;-3767.0;-249;-32;?;-1963.0;32;166.0;-53.0;?;-2192.0
?;9;?;-247;9;-2;-1797.0;-9;168.0;-66.0;9;-2574.0
4;16;-2371.0;-241;26;?;-1499.0;-26;234.0;-52.0;16;-2605.0
7;17;-1759.0;-239;?;-6;-1308.0;?;73.0;-92.0;17;-2321.0
1;-7;-1213.0;-250;2;3;-1063.0;-2;221.0;-100.0;-7;-1784.0
-4;-25;-691.0;-256;46;7;-670.0;-46;207.0;-109.0;-25;-1131.0
3;-11;-422.0;-250;10;4;-430.0;-10;198.0;?;-11;-756.0
1;-40;?;?;-1;7;-122.0;1;54.0;-59.0;-40;-500.0
-5;-49;160.0;-264;25;12;170.0;-25;-46.0;-80.0;-49;-270.0
1;-1;278.0;-257;12;6;281.0;-12;-19.0;-81.0;?;-177.0
5;28;343.0;-248;8;1;322.0;-8;-79.0;-102.0;28;?
5;30;350.0;-249;8;1;257.0;-8;-139.0;-82.0;?;-7.0
8;-10;404.0;-243;-3;-3;212.0;?;-76.0;-74.0;-10;-24.0
5;-29;407.0;-245;8;-3;160.0;-8;-44.0;-80.0;?;-31.0
1;-3;543.0;-247;41;-6;138.0;-41;23.0;-122.0;-3;30.0
7;-10;680.0;-243;43;-8;43.0;-43;111.0;-102.0;-10;220.0
-7;-24;895.0;-265;16;7;-67.0;-16;224.0;-82.0;-24;441.0
-23;1;?;-277;-9;12;-74.0;9;350.0;?;1;395.0
2;-2;41.0;-251;-4;5;-82.0;?;-63.0;-80.0;-2;-115.0
2;?;7.0;-246;-7;1;-65.0;7;-20.0;?;?;-114.0
-6;17;10.0;-255;23;5;-19.0;-23;-64.0;-47.0;17;-53.0
1;-14;-55.0;-249;4;0;?;?;-71.0;-111.0;-14;-75.0
4;1;-76.0;-246;-17;-3;12.0;17;-74.0;-115.0;1;-22.0
-5;-5;-100.0;-257;?;5;-56.0;-40;?;-96.0;-5;3.0
-5;-5;-229.0;-257;39;5;-54.0;-39;-179.0;-107.0;-5;-34.0
-4;-2;-425.0;-255;38;3;-144.0;-38;-304.0;-100.0;-2;-33.0
?;-11;-833.0;-258;?;7;-308.0;?;-379.0;-97.0;-11;-124.0
-1;-11;-1357.0;-253;-5;3;-492.0;5;-442.0;-112.0;-11;-129.0
2;?;-2025.0;-247;8;-2;-850.0;?;-439.0;?;13;-2.0
3;4;-2846.0;?;-15;-2;?;15;-392.0;-96.0;?;-96.0
-5;-16;?;?;-32;0;-1618.0;32;-301.0;?;-16;-180.0
-4;14;-4680.0;-258;-44;7;-1841.0;44;-144.0;-98.0;14;-51.0
7;1;?;-253;-25;7;-2043.0;25;0.0;-101.0;1;-1.0
7;10;-5689.0;-246;6;-1;-2227.0;-6;151.0;-100.0;10;-33.0
-4;35;-5674.0;?;-10;-4;-2265.0;10;12.0;-100.0;35;-79.0
-3;-16;-5512.0;-250;-23;-2;-2340.0;23;?;-101.0;-16;?
4;-12;-5115.0;-246;-14;-4;-2322.0;14;108.0;-97.0;?;-990.0
-4;21;-4455.0;?;-13;-1;-2167.0;13;210.0;-93.0;21;-1297.0
?;-4;?;-254;-12;?;-1994.0;12;63.0;-96.0;-4;-1550.0
4;-16;-2733.0;-247;-16;-3;-1859.0;16;-12.0;-77.0;-16;-1420.0
1;-29;-1842.0;-247;-9;-3;-1667.0;9;90.0;-83.0;-29;?
5;-24;-1204.0;?;6;1;-1202.0;-6;292.0;-102.0;-24;-965.0
4;0;-752.0;-246;-10;-4;?;10;347.0;-102.0;?;-906.0
0;-59;-166.0;-253;?;3;206.0;6;240.0;?;-59;-862.0
2;-55;254.0;-251;23;0;633.0;-23;102.0;-73.0;-55;-469.0
?;15;551.0;-249;23;-1;843.0;?;-84.0;-69.0;15;?
0;?;802.0;-254;17;5;736.0;-17;-207.0;-84.0;-15;47.0
?;-35;930.0;-250;27;-3;548.0;?;-256.0;-118.0;?;113.0
4;-6;774.0;-249;14;?;397.0;-14;-197.0;-111.0;-6;33.0
5;-11;571.0;-246;-8;-2;257.0;8;-160.0;-110.0;-11;67.0
-1;-7;696.0;-250;8;-1;244.0;-8;-197.0;-89.0;-7;316.0
0;8;918.0;?;1;3;323.0;-1;-58.0;-105.0;8;368.0
-1;-7;1176.0;-253;28;0;456.0;-28;105.0;?;-7;467.0
?;-14;1589.0;-256;67;2;562.0;-67;165.0;-83.0;-14;474.0
-4;-13;1859.0;-253;29;0;?;-29;273.0;-83.0;-13;428.0
-7;?;-13.0;-247;12;?;?;-12;16.0;-58.0;49;88.0
?;36;-123.0;-248;34;-1;57.0;-34;-44.0;-38.0;36;212.0
2;-27;?;-246;-3;1;10.0;?;-29.0;?;-27;214.0
5;-47;-429.0;-240;-23;-4;-105.0;?;-80.0;-141.0;-47;-53.0
3;7;-718.0;-247;?;1;-216.0;3;-123.0;-98.0;7;?
2;?;-888.0;-247;-1;3;?;1;-136.0;-94.0;-2;-290.0
-2;7;-866.0;-247;-14;2;-308.0;14;?;-124.0;7;-218.0
-4;-15;-1169.0;-245;-3;-5;-459.0;3;-356.0;-128.0;-15;-281.0
-3;-6;-1624.0;-249;6;0;-600.0;-6;-376.0;?;-6;?
-4;50;-2326.0;-249;-20;2;-862.0;20;-322.0;-66.0;50;-97.0
-4;-4;-3019.0;-246;-33;-3;-1205.0;33;-313.0;-76.0;-4;29.0
-2;-30;-3647.0;-260;-30;16;-1309.0;30;-226.0;-82.0;-30;-48.0
1;-8;-4293.0;-259;?;12;-1543.0;59;-35.0;?;-8;-284.0
-6;?;-4621.0;-252;-48;?;-1566.0;48;74.0;-99.0;-30;-627.0
-7;?;-4768.0;-251;-16;?;-1534.0;16;101.0;?;-7;-1009.0
2;27;?;-241;-13;-1;-1528.0;13;228.0;-68.0;27;-1273.0
0;-3;?;-240;-13;-7;-1682.0;13;243.0;-93.0;-3;-1541.0
1;-10;-4336.0;-248;-24;3;-1772.0;24;140.0;-128.0;-10;-1668.0
?;?;-3654.0;-248;-4;10;-1642.0;4;171.0;-113.0;10;-1907.0
-1;-10;-2973.0;-252;2;9;-1612.0;-2;196.0;-90.0;-10;-1758.0
?;-27;-2103.0;-258;-34;6;-1613.0;34;308.0;-99.0;-27;-1238.0
-7;-24;-1430.0;-256;-18;7;-1348.0;18;443.0;-91.0;-24;-696.0
3;-15;-732.0;-249;-3;5;?;?;339.0;-98.0;-15;?
0;-3;-172.0;-244;-24;-6;-350.0;24;255.0;-93.0;-3;?
0;-18;90.0;-247;3;-3;66.0;-3;211.0;-95.0;-18;-220.0
1;?;366.0;-248;12;-2;368.0;-12;1.0;-102.0;-21;-124.0
-4;-14;411.0;-246;-22;-7;410.0;22;-115.0;?;-14;128.0
-2;-12;?;?;-10;-6;352.0;10;-114.0;-56.0;-12;81.0
0;15;?;-244;-11;-9;282.0;11;-88.0;-95.0;15;72.0
-1;20;314.0;-245;?;-8;148.0;23;-176.0;-98.0;20;-11.0
?;7;285.0;-240;21;-12;159.0;-21;-108.0;-146.0;7;-50.0
-3;?;182.0;-246;9;-5;104.0;-9;-145.0;-128.0;-19;-51.0
?;-36;152.0;-255;-14;4;104.0;14;-125.0;-143.0;-36;-29.0
?;-36;205.0;-255;-16;3;123.0;?;-60.0;-154.0;-36;86.0
-9;-36;424.0;-255;-18;4;139.0;18;-32.0;-132.0;-36;272.0
-8;-3;670.0;-245;56;-7;164.0;-56;103.0;-80.0;-3;357.0
-15;6;1032.0;-251;50;?;265.0;-50;288.0;-62.0;6;380.0
-1;?;-102.0;-250;-4;-2;-189.0;4;67.0;-114.0;-7;-128.0
-2;?;-72.0;-249;-39;-3;-200.0;39;40.0;-54.0;41;-90.0
-10;18;-121.0;-253;-49;-2;-219.0;49;44.0;-89.0;?;-56.0
-2;-24;-123.0;-251;-5;-1;-153.0;5;4.0;-119.0;-24;30.0
2;-10;-108.0;-249;2;1;-152.0;-2;7.0;-75.0;-10;83.0
-5;1;-96.0;-247;-16;-5;-159.0;16;5.0;-77.0;1;?
-2;-14;-131.0;-247;-5;?;?;5;-50.0;-100.0;-14;59.0
0;-25;-238.0;-249;-10;?;-303.0;10;-113.0;?;-25;-62.0
-3;1;-476.0;-250;-35;2;-426.0;35;-93.0;-96.0;1;-168.0
-2;27;-697.0;-250;-25;2;-527.0;25;-189.0;-52.0;?;-235.0
0;9;-1060.0;-249;-11;0;-681.0;11;?;-81.0;9;-411.0
0;12;-1411.0;-248;?;0;?;22;-146.0;-89.0;12;-417.0
?;?;-1702.0;?;-13;0;?;13;-185.0;-120.0;13;-256.0
-4;6;-2027.0;-250;13;-2;-1272.0;-13;-122.0;-81.0;6;-92.0
-4;5;-2548.0;-250;5;-1;-1482.0;?;-132.0;-98.0;5;?
-5;-13;-3144.0;-250;14;-1;-1705.0;-14;-18.0;?;?;275.0
-5;?;-3598.0;-253;36;1;-1831.0;-36;-8.0;-91.0;-7;568.0
-6;-7;-4054.0;-256;-11;4;?;11;-4.0;-68.0;-7;856.0
-4;-15;?;-251;-3;-1;-2028.0;3;-4.0;-95.0;-15;?
-7;0;?;-252;58;0;-2235.0;-58;86.0;-132.0;0;749.0
?;-5;-5328.0;-249;44;?;-2120.0;-44;14.0;-105.0;?;911.0
3;11;-4960.0;?;19;-8;-1963.0;-19;-4.0;-99.0;11;1162.0
-5;33;-4626.0;-246;1;0;-1792.0;-1;-107.0;?;33;1167.0
-2;?;-4426.0;-247;?;1;-1426.0;-3;-152.0;-110.0;-37;?
2;-35;-3972.0;-246;26;-1;-789.0;-26;-160.0;-106.0;-35;1114.0
-4;8;-3701.0;-252;25;5;?;-25;-132.0;-72.0;8;1320.0
3;?;-3679.0;-244;?;-1;-221.0;-27;-90.0;-105.0;-26;1441.0
4;-25;-3347.0;-244;?;-2;-263.0;-29;-203.0;-109.0;-25;1335.0
1;-42;-2964.0;?;4;1;-435.0;?;-485.0;-107.0;-42;1145.0
0;-23;-2512.0;-249;-6;0;-519.0;?;-340.0;-80.0;?;953.0
-2;13;?;-250;-4;0;-571.0;4;-479.0;-90.0;13;823.0
0;-9;-1455.0;-251;-16;?;-662.0;16;-418.0;-105.0;-9;?
0;7;-768.0;?;-13;1;-578.0;13;-385.0;-114.0;7;1064.0
2;28;-223.0;-246;12;-1;-557.0;-12;-325.0;-93.0;28;1355.0
1;12;196.0;-252;33;7;-576.0;-33;?;-104.0;12;1717.0
-1;4;?;-255;39;11;-622.0;-39;-342.0;-97.0;4;1946.0
0;7;644.0;?;36;10;-598.0;-36;-316.0;?;?;1977.0
0;6;747.0;-254;?;?;?;-38;-348.0;-121.0;6;1795.0
0;6;758.0;-255;37;?;-310.0;-37;-500.0;-91.0;6;1514.0
0;6;580.0;-255;36;?;-313.0;-36;-420.0;-101.0;6;1297.0
0;12;529.0;-248;31;?;-159.0;-31;-479.0;-109.0;12;1115.0
5;21;587.0;-244;-4;-2;-35.0;4;-510.0;-102.0;21;904.0
8;8;551.0;-247;12;?;-23.0;-12;-482.0;-109.0;8;?
5;-17;508.0;-246;34;-2;-44.0;-34;-495.0;-99.0;-17;572.0
2;-15;446.0;-248;-2;0;-46.0;2;-424.0;-100.0;-15;455.0
-5;11;355.0;-258;2;9;-40.0;-2;-383.0;-104.0;11;377.0
-7;16;291.0;-262;22;12;-20.0;-22;-397.0;-110.0;?;252.0
6;-7;341.0;-256;60;?;?;-60;-447.0;-120.0;-7;151.0
5;8;267.0;-251;33;?;-129.0;-33;-419.0;-131.0;8;113.0
0;38;148.0;-247;?;-5;?;35;-331.0;-98.0;38;116.0
8;28;112.0;?;13;-8;?;-13;-322.0;-87.0;28;99.0
2;33;22.0;?;59;-5;?;-59;-350.0;-98.0;33;59.0
-2;44;-7.0;-253;56;0;-53.0;-56;-338.0;-117.0;44;34.0
?;23;-53.0;-246;51;-8;-53.0;-51;?;-123.0;23;16.0
-4;1;-48.0;-251;-20;0;?;20;-319.0;-100.0;1;-34.0
1;-3;?;?;-38;-5;-47.0;38;-306.0;-131.0;-3;-23.0
3;15;8.0;-247;-12;-4;-32.0;12;-292.0;-97.0;15;-30.0
-4;-1;31.0;-258;-34;13;-53.0;?;?;-93.0;-1;-68.0
5;-86;23.0;-229;10;-46;-43.0;-10;-302.0;-99.0;-86;-45.0
22;?;57.0;?;-83;-3;-49.0;83;-302.0;-101.0;-116;-26.0
-22;-260;98.0;?;-175;-122;-63.0;175;-313.0;-80.0;?;5.0
-28;-578;77.0;-222;-565;-185;-99.0;565;-336.0;?;-578;69.0
-132;-854;87.0;?;?;-31;-160.0;1500;-344.0;-112.0;-854;65.0
-293;-934;24.0;?;-2011;-181;-198.0;?;-332.0;-86.0;-934;67.0
-40;?;-37.0;-376;-2000;11;?;2000;-354.0;?;-649;66.0
18;-556;-56.0;-420;-1650;168;-331.0;?;-369.0;-114.0;-556;71.0
-64;-602;-79.0;-408;?;-15;-366.0;1279;-395.0;-103.0;-602;60.0
145;-314;-108.0;-301;-1220;91;-446.0;1220;-391.0;?;-314;89.0
82;-127;-170.0;-327;-1035;53;-509.0;1035;-383.0;-96.0;-127;?
16;-89;-150.0;-360;-915;-10;-486.0;915;-401.0;-111.0;-89;98.0
63;-71;-243.0;?;-862;63;-517.0;?;-418.0;-90.0;?;96.0
31;-65;-319.0;-386;-684;40;?;684;-443.0;-110.0;-65;107.0
57;34;-356.0;?;-660;-2;-472.0;660;-433.0;-109.0;34;62.0
60;76;-462.0;-358;-621;20;-453.0;621;-478.0;-101.0;76;56.0
9;-1;-502.0;-434;-384;73;-433.0;384;-481.0;-111.0;-1;29.0
-32;-91;-465.0;-479;-252;63;-428.0;252;-502.0;-90.0;-91;-40.0
?;-178;-474.0;?;-182;59;?;182;-504.0;-129.0;-178;-71.0
10;-75;-481.0;-437;-69;30;-408.0;69;-469.0;-322.0;-75;-112.0
-35;1;-496.0;-453;-190;-29;-402.0;190;-476.0;-83.0;?;-116.0
-23;-24;-494.0;-433;-162;?;-368.0;162;-481.0;-42.0;-24;-56.0
-14;99;-422.0;-443;-24;27;-341.0;24;-504.0;-75.0;99;-54.0
22;-36;-350.0;-460;-380;7;-323.0;380;-538.0;-56.0;?;4.0
-48;253;-308.0;-420;439;46;-295.0;-439;-549.0;-149.0;?;-16.0
64;-242;?;?;-497;94;-277.0;497;-536.0;-214.0;-242;-39.0
-29;?;-209.0;-428;618;49;-311.0;-618;-522.0;-148.0;202;-51.0
18;19;-192.0;-460;?;61;-246.0;?;-511.0;-136.0;19;-20.0
1247;335;-163.0;-128;328;919;-269.0;-328;-509.0;-161.0;335;21.0
1025;4518;?;631;10055;1100;-204.0;-10055;-507.0;-171.0;4518;36.0
-1834;178;-64.0;-974;2039;-1825;-171.0;?;-534.0;?;?;?
-3139;-968;-2.0;-1090;-5283;-2826;?;5283;-530.0;-205.0;?;33.0
-1371;?;22.0;812;3849;-699;-60.0;-3849;-528.0;-107.0;4391;?
58;282;43.0;24;491;-296;-69.0;?;-547.0;-163.0;282;31.0
-33;-686;81.0;-420;-750;?;-67.0;750;-538.0;-146.0;-686;-13.0
-102;542;58.0;-160;986;-21;?;-986;-537.0;-187.0;542;-78.0
71;-439;?;-317;-1296;-61;42.0;1296;-433.0;-86.0;-439;17.0
-11;-385;41.0;-377;-1203;-91;30.0;1203;-433.0;-41.0;-385;42.0
?;?;61.0;-412;-1122;-109;-4.0;1122;-461.0;?;-311;36.0
2;-235;93.0;-411;-891;-58;24.0;891;-435.0;?;-235;92.0
-56;-296;71.0;-464;-847;-51;-1.0;?;-435.0;-191.0;-296;29.0
?;-257;21.0;-422;?;-67;5.0;827;-445.0;-181.0;-257;6.0
56;-220;4.0;-302;-699;-175;-36.0;?;-442.0;-143.0;-220;50.0
61;?;-56.0;-276;-528;-211;-69.0;528;-435.0;-118.0;-146;22.0
11;33;-108.0;-367;-436;-136;-102.0;436;-442.0;-162.0;33;25.0
?;67;-163.0;-402;-467;-93;-96.0;467;-442.0;-151.0;67;9.0
11;-52;-158.0;-410;-316;-86;?;316;-435.0;-143.0;?;-42.0
-35;-141;-156.0;-432;-166;-105;-91.0;?;-457.0;-163.0;-141;-58.0
7;-363;-179.0;-378;-108;-126;-103.0;108;-487.0;-140.0;-363;-61.0
61;-402;-155.0;-350;-44;-126;-106.0;44;?;-43.0;-402;?
2;109;-219.0;-405;-320;-124;-139.0;320;-492.0;-192.0;109;-141.0
45;?;-268.0;?;-242;-36;-174.0;242;?;-298.0;361;-177.0
-39;137;-286.0;-468;?;-81;-141.0;-106;-489.0;-174.0;137;?
-131;-3;-297.0;-477;-172;?;?;172;-514.0;-142.0;-3;-210.0
3;21;-333.0;-443;-84;-92;-217.0;?;?;?;21;-230.0
?;32;-357.0;-469;302;-85;-288.0;-302;?;-136.0;32;-221.0
-64;-257;-380.0;-373;-214;-241;?;214;-508.0;?;?;-178.0
46;179;-424.0;-526;669;57;-343.0;-669;-489.0;?;179;-63.0
-48;-482;-347.0;-362;-246;-125;-305.0;?;-506.0;-236.0;-482;-157.0
-3;-37;?;-478;766;?;?;-766;-518.0;-216.0;?;-136.0
?;-72;-353.0;-359;544;-83;-277.0;-544;-528.0;-184.0;-72;-101.0
?;-745;-314.0;212;-1153;-127;?;1153;-528.0;-115.0;-745;-42.0
736;?;-279.0;-407;?;1001;-268.0;-8231;-517.0;-148.0;?;-15.0
?;-186;-225.0;1899;1506;-3090;-262.0;-1506;-502.0;-163.0;-186;28.0
-2364;-5298;?;2567;-9269;-4123;-194.0;9269;-505.0;-152.0;-5298;87.0
261;524;-98.0;-672;-387;843;-118.0;387;-493.0;-211.0;524;128.0
128;497;-12.0;-371;420;26;-20.0;-420;-509.0;-244.0;497;188.0
-100;-385;113.0;?;-584;-556;74.0;584;-502.0;-141.0;-385;141.0
253;521;269.0;-463;967;194;133.0;-967;-527.0;-141.0;521;?
-50;-265;398.0;-145;-396;-371;201.0;396;-528.0;-158.0;-265;110.0
