InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameX
-17;-9;20;109.0;90;138.0;-9
-24;-40;20;36.0;79;214.0;-40
-24;-21;20;22.0;70;207.0;-21
-24;-27;20;30.0;69;201.0;-27
-24;25;20;48.0;68;226.0;25
-22;-9;19;213.0;85;365.0;-9
-23;-15;15;173.0;19;358.0;-15
-23;-34;16;154.0;71;351.0;-34
-23;-62;16;140.0;71;348.0;-62
-23;25;16;129.0;64;345.0;25
-24;-19;21;139.0;75;370.0;-19
-24;-83;21;130.0;71;286.0;-83
-17;37;20;130.0;65;175.0;37
-24;-25;21;70.0;72;179.0;-25
-24;21;21;71.0;67;173.0;21
-17;-9;21;57.0;81;131.0;-9
-24;32;21;74.0;69;171.0;32
-24;28;21;77.0;71;170.0;28
-24;37;21;80.0;70;169.0;37
-24;22;21;85.0;72;169.0;22
-24;31;21;85.0;72;170.0;31
-24;18;21;86.0;73;170.0;18
-24;0;21;78.0;71;173.0;0
-24;11;21;76.0;74;172.0;11
-24;6;21;67.0;76;172.0;6
-24;-13;21;66.0;74;172.0;-13
-24;-32;21;67.0;72;171.0;-32
-24;5;21;68.0;73;171.0;5
-24;35;21;67.0;69;171.0;35
-24;-14;21;66.0;74;169.0;-14
-24;-10;21;66.0;74;169.0;-10
-24;-10;21;66.0;74;170.0;-10
-24;29;21;65.0;71;171.0;29
-24;18;21;66.0;77;172.0;18
-24;8;21;65.0;77;173.0;8
-24;28;21;63.0;72;173.0;28
-24;1;21;60.0;72;174.0;1
-24;-1;21;53.0;74;177.0;-1
-24;0;21;51.0;72;177.0;0
-24;9;21;50.0;74;176.0;9
-24;-18;21;51.0;73;176.0;-18
-24;-10;21;49.0;69;176.0;-10
-24;4;21;45.0;71;178.0;4
-25;9;15;146.0;70;139.0;9
-25;11;14;151.0;68;147.0;11
-25;14;14;154.0;71;153.0;14
-25;1;14;155.0;71;159.0;1
-25;-7;14;155.0;68;164.0;-7
-25;-21;14;165.0;73;179.0;-21
-24;-21;21;34.0;73;184.0;-21
-24;13;21;30.0;73;186.0;13
-24;14;21;25.0;70;188.0;14
-24;-18;21;23.0;75;188.0;-18
-24;-63;20;146.0;69;329.0;-63
-23;40;16;142.0;66;329.0;40
-23;46;16;145.0;67;327.0;46
-23;32;16;148.0;73;327.0;32
-23;38;16;149.0;73;327.0;38
-23;33;16;133.0;63;323.0;33
-23;-77;16;121.0;68;319.0;-77
-25;-48;14;161.0;72;166.0;-48
-25;-13;14;162.0;71;169.0;-13
-25;1;15;173.0;75;176.0;1
-25;-70;20;52.0;73;219.0;-70
-38;-15;15;39.0;67;114.0;-15
-29;11;21;110.0;86;426.0;11
-29;4;21;110.0;84;425.0;4
-29;15;21;109.0;84;425.0;15
-29;17;21;109.0;87;425.0;17
-26;-24;18;-6.0;70;247.0;-24
-29;-16;21;108.0;87;424.0;-16
-29;-21;21;107.0;87;424.0;-21
-29;23;21;102.0;83;424.0;23
-29;-2;21;101.0;89;422.0;-2
-29;-43;21;98.0;88;421.0;-43
-29;13;21;96.0;86;421.0;13
-29;0;21;94.0;89;422.0;0
-29;-12;21;94.0;89;422.0;-12
-29;-30;21;94.0;84;422.0;-30
-29;-39;21;95.0;87;421.0;-39
-29;-49;21;99.0;86;421.0;-49
-29;8;21;94.0;84;428.0;8
-26;-20;18;-16.0;70;253.0;-20
-26;-12;18;-3.0;76;284.0;-12
-26;34;18;29.0;73;332.0;34
-26;18;18;36.0;70;352.0;18
-26;39;18;187.0;70;218.0;39
-29;21;21;111.0;87;427.0;21
-25;40;14;167.0;71;171.0;40
-22;37;19;213.0;74;370.0;37
-29;-88;21;185.0;82;367.0;-88
-29;-62;21;185.0;85;368.0;-62
-22;11;19;215.0;75;369.0;11
-22;38;20;211.0;65;362.0;38
-26;-15;21;85.0;75;433.0;-15
-26;-19;21;88.0;79;433.0;-19
-26;-16;21;121.0;78;434.0;-16
-29;-74;21;165.0;85;373.0;-74
-29;-65;21;169.0;87;379.0;-65
-29;-51;21;177.0;85;384.0;-51
-28;19;21;244.0;82;396.0;19
-26;-23;21;70.0;76;410.0;-23
-26;32;21;73.0;74;365.0;32
-28;10;22;140.0;86;435.0;10
-25;42;21;84.0;68;345.0;42
-53;4;18;106.0;156;346.0;4
-24;42;20;47.0;75;293.0;42
-24;34;20;31.0;69;274.0;34
-24;42;20;38.0;73;273.0;42
-24;27;20;84.0;72;372.0;27
-24;-3;20;67.0;71;388.0;-3
-24;-7;20;65.0;70;388.0;-7
-25;-34;15;145.0;77;69.0;-34
-24;-27;20;62.0;71;380.0;-27
-24;-2;20;60.0;69;374.0;-2
-24;21;20;42.0;71;369.0;21
-24;0;20;38.0;73;359.0;0
-24;-16;20;27.0;66;344.0;-16
-24;13;20;25.0;68;337.0;13
-24;-5;20;26.0;68;333.0;-5
-24;28;20;25.0;70;343.0;28
-24;13;20;27.0;73;347.0;13
-24;-21;20;27.0;70;341.0;-21
-24;9;20;38.0;69;352.0;9
-24;2;20;49.0;67;355.0;2
-24;17;20;62.0;67;358.0;17
-25;-37;15;194.0;73;104.0;-37
-25;-36;15;179.0;75;114.0;-36
-25;-18;15;171.0;76;128.0;-18
-25;-24;15;172.0;79;120.0;-24
-25;-19;15;176.0;71;118.0;-19
-25;-52;15;180.0;75;115.0;-52
-25;-30;15;185.0;75;113.0;-30
-25;-6;15;189.0;73;107.0;-6
-24;21;20;76.0;70;358.0;21
-21;1;26;230.0;76;180.0;1
-20;-36;26;230.0;75;205.0;-36
-30;1;22;121.0;109;432.0;1
-28;-18;21;115.0;86;430.0;-18
-20;-34;26;231.0;77;231.0;-34
-28;-11;21;117.0;83;430.0;-11
-28;-11;21;122.0;89;429.0;-11
-27;-10;21;131.0;87;428.0;-10
-27;-50;21;136.0;83;427.0;-50
-24;32;21;21.0;77;311.0;32
-24;39;21;19.0;71;316.0;39
-28;19;21;242.0;83;361.0;19
-29;-18;21;229.0;83;369.0;-18
-30;17;18;18.0;61;358.0;17
-30;-40;18;23.0;93;361.0;-40
-30;-12;18;42.0;67;361.0;-12
-30;-38;18;46.0;72;360.0;-38
-22;9;19;214.0;74;369.0;9
-28;-30;18;34.0;62;356.0;-30
-82;-54;-29;433.0;1592;661.0;-54
-43;46;0;9.0;76;249.0;46
-49;-152;38;483.0;648;524.0;-152
-43;16;0;215.0;137;373.0;16
-30;11;21;85.0;92;429.0;11
-30;-2;21;85.0;86;429.0;-2
-20;-40;19;223.0;80;385.0;-40
-28;-37;20;76.0;83;371.0;-37
-29;6;21;85.0;78;428.0;6
-20;-21;19;216.0;71;388.0;-21
-28;-48;20;70.0;78;371.0;-48
-20;21;19;207.0;74;391.0;21
-29;-6;21;91.0;85;428.0;-6
-29;-1;21;92.0;88;428.0;-1
-29;-16;21;92.0;89;428.0;-16
-29;4;21;93.0;85;427.0;4
-29;-9;21;96.0;85;427.0;-9
-29;-24;21;96.0;81;427.0;-24
-29;-19;21;98.0;85;425.0;-19
-29;-21;21;98.0;84;427.0;-21
-29;8;21;98.0;82;427.0;8
-29;9;21;98.0;83;427.0;9
-29;13;21;98.0;91;428.0;13
-29;-11;21;91.0;87;433.0;-11
-29;-3;21;89.0;84;434.0;-3
-28;1;20;68.0;79;374.0;1
-28;15;20;68.0;80;372.0;15
-28;54;20;67.0;83;371.0;54
-28;-21;20;67.0;83;367.0;-21
-28;31;20;78.0;80;360.0;31
-20;16;19;246.0;69;394.0;16
-20;11;19;236.0;63;395.0;11
-20;6;19;212.0;63;393.0;6
-20;37;19;223.0;67;390.0;37
-20;21;19;237.0;75;388.0;21
-28;-19;20;66.0;79;376.0;-19
-28;11;20;58.0;85;376.0;11
-28;30;20;49.0;85;373.0;30
-28;14;20;54.0;81;372.0;14
-38;-52;15;73.0;69;59.0;-52
-28;-56;20;122.0;87;371.0;-56
-21;-51;16;256.0;71;231.0;-51
-38;-52;15;90.0;72;85.0;-52
-28;33;20;115.0;83;370.0;33
-28;43;20;113.0;80;374.0;43
-28;-47;20;99.0;80;377.0;-47
-28;-93;19;92.0;72;385.0;-93
-29;-41;20;126.0;80;403.0;-41
-29;-31;20;128.0;78;405.0;-31
-29;-20;20;181.0;83;411.0;-20
-29;11;20;180.0;85;413.0;11
-29;-42;20;174.0;82;419.0;-42
-29;31;20;168.0;83;415.0;31
-29;2;20;172.0;89;411.0;2
-29;-14;20;198.0;85;394.0;-14
-29;51;20;202.0;80;387.0;51
-30;18;20;204.0;83;380.0;18
-30;31;20;221.0;86;366.0;31
-22;-22;19;216.0;73;369.0;-22
-30;-21;21;170.0;94;442.0;-21
-30;-34;21;168.0;91;410.0;-34
-23;-4;18;248.0;74;324.0;-4
-38;-61;15;93.0;71;99.0;-61
-29;-71;20;138.0;94;376.0;-71
-23;-129;25;-21.0;67;13.0;-129
-25;-35;19;158.0;84;410.0;-35
-25;-40;19;169.0;73;435.0;-40
-35;-61;16;12.0;89;302.0;-61
-23;31;19;-8.0;69;108.0;31
-23;-62;20;45.0;72;124.0;-62
-21;66;26;126.0;79;300.0;66
-24;19;20;152.0;73;113.0;19
-24;7;21;158.0;73;111.0;7
-24;31;20;166.0;70;101.0;31
-24;7;20;164.0;66;93.0;7
-27;-15;21;138.0;89;427.0;-15
-24;25;21;152.0;74;79.0;25
-24;3;21;142.0;70;76.0;3
-23;51;16;130.0;60;321.0;51
-27;0;21;141.0;79;427.0;0
-27;-32;21;135.0;86;429.0;-32
-27;1;21;133.0;85;430.0;1
-27;10;21;126.0;80;432.0;10
-27;17;21;128.0;84;438.0;17
-36;25;15;162.0;79;388.0;25
-35;58;15;154.0;80;358.0;58
-25;-18;21;207.0;70;421.0;-18
-27;20;21;121.0;79;439.0;20
-26;57;20;206.0;76;321.0;57
-26;-10;18;154.0;72;443.0;-10
-38;5;15;79.0;74;103.0;5
-26;-26;18;140.0;69;439.0;-26
-25;20;18;100.0;67;432.0;20
-25;0;18;96.0;66;430.0;0
-25;-30;18;78.0;68;426.0;-30
-25;-10;18;63.0;71;415.0;-10
-25;-3;18;61.0;73;412.0;-3
-25;-2;18;60.0;67;413.0;-2
-38;-3;15;61.0;73;106.0;-3
-23;53;16;119.0;75;334.0;53
-25;3;18;62.0;71;410.0;3
-25;0;18;62.0;69;405.0;0
-25;-21;18;60.0;66;404.0;-21
-25;9;18;56.0;69;405.0;9
-23;54;16;117.0;71;335.0;54
-25;-21;18;54.0;75;405.0;-21
-25;23;18;24.0;68;361.0;23
-25;10;18;33.0;62;370.0;10
-25;-14;18;34.0;69;367.0;-14
-25;-18;18;34.0;67;369.0;-18
-31;3;21;150.0;86;437.0;3
-31;25;21;151.0;90;437.0;25
-31;6;21;151.0;81;437.0;6
-25;-20;18;28.0;70;363.0;-20
-25;-2;18;28.0;71;365.0;-2
-31;17;21;149.0;85;438.0;17
-31;18;21;149.0;86;437.0;18
-31;-28;21;149.0;83;437.0;-28
-31;6;21;150.0;82;437.0;6
-31;-3;21;150.0;81;436.0;-3
-31;0;21;150.0;81;436.0;0
-25;4;18;30.0;72;366.0;4
-25;24;18;46.0;73;390.0;24
-25;25;18;53.0;74;382.0;25
-31;20;21;146.0;86;436.0;20
-31;-16;21;145.0;84;436.0;-16
-25;54;18;65.0;71;358.0;54
-23;-102;20;56.0;66;125.0;-102
-31;6;21;145.0;84;437.0;6
-31;-37;21;144.0;83;438.0;-37
-27;19;21;93.0;86;425.0;19
-31;16;21;136.0;89;437.0;16
-27;-21;21;94.0;85;424.0;-21
-34;-26;37;120.0;127;461.0;-26
-27;-26;21;95.0;81;424.0;-26
-27;15;21;132.0;83;440.0;15
-24;53;20;166.0;73;374.0;53
-27;-38;21;157.0;85;440.0;-38
-28;27;21;94.0;80;424.0;27
-29;23;21;95.0;86;426.0;23
-29;2;21;95.0;87;426.0;2
-25;2;18;145.0;72;414.0;2
-29;18;21;95.0;89;425.0;18
-25;-10;18;128.0;74;402.0;-10
-25;-8;18;119.0;74;435.0;-8
-24;-66;21;20.0;70;224.0;-66
-26;59;20;154.0;79;310.0;59
-29;0;21;92.0;87;423.0;0
-29;21;21;86.0;86;425.0;21
-27;-21;21;154.0;85;441.0;-21
-27;17;17;120.0;75;438.0;17
-26;-10;17;117.0;81;443.0;-10
-29;-23;21;87.0;85;426.0;-23
-42;-17;32;264.0;130;241.0;-17
-37;-365;29;10.0;322;206.0;-365
-24;-60;21;13.0;72;220.0;-60
-24;20;21;-11.0;73;209.0;20
-24;16;21;-16.0;74;205.0;16
-24;8;21;-15.0;69;202.0;8
-24;12;21;-12.0;66;200.0;12
-24;21;21;-7.0;71;198.0;21
-24;26;21;-3.0;76;197.0;26
-24;39;21;3.0;75;195.0;39
-42;-7;31;221.0;142;194.0;-7
-42;28;31;213.0;125;179.0;28
-25;-4;20;-1.0;75;342.0;-4
-25;-9;20;23.0;75;342.0;-9
-24;39;21;44.0;75;179.0;39
-25;0;20;36.0;68;341.0;0
-25;62;20;118.0;75;277.0;62
-29;21;21;111.0;90;425.0;21
-25;62;20;116.0;72;266.0;62
-26;67;21;106.0;82;260.0;67
-25;77;20;95.0;80;244.0;77
-25;-22;17;186.0;65;440.0;-22
-25;-46;17;117.0;66;425.0;-46
-25;16;17;96.0;67;419.0;16
-25;11;17;81.0;68;416.0;11
-25;-15;17;76.0;65;421.0;-15
-25;-23;17;131.0;70;446.0;-23
-29;-17;21;88.0;84;426.0;-17
-29;18;21;96.0;91;426.0;18
-23;-67;44;177.0;119;395.0;-67
-33;-23;31;94.0;127;383.0;-23
-33;-59;31;93.0;81;360.0;-59
-34;75;32;118.0;101;264.0;75
-22;-21;25;-1.0;72;124.0;-21
-22;-7;25;12.0;85;121.0;-7
-24;41;21;66.0;71;173.0;41
-22;-5;25;25.0;68;113.0;-5
-22;-20;25;49.0;107;89.0;-20
-29;-7;21;103.0;89;417.0;-7
-29;-18;21;104.0;86;417.0;-18
-24;5;20;0.0;74;267.0;5
-24;-3;20;6.0;72;267.0;-3
-24;-20;20;12.0;72;267.0;-20
-24;8;20;15.0;70;267.0;8
-25;10;15;138.0;70;131.0;10
-25;33;14;125.0;71;122.0;33
-25;-12;14;93.0;70;100.0;-12
-29;-15;21;102.0;87;417.0;-15
-18;-1732;17;-264.0;-312;-554.0;-1732
-18;193;15;185.0;59;82.0;193
-29;7;21;93.0;88;417.0;7
-29;-40;21;101.0;85;417.0;-40
-29;5;21;108.0;87;418.0;5
-29;-3;21;113.0;83;419.0;-3
-24;-40;20;256.0;74;287.0;-40
-23;74;25;148.0;76;352.0;74
-28;-82;31;177.0;85;268.0;-82
-23;94;15;179.0;-30;361.0;94
-38;16;15;12.0;90;36.0;16
-22;44;22;218.0;81;311.0;44
-28;-6;32;156.0;84;414.0;-6
-38;-9;15;32.0;66;111.0;-9
-28;-12;32;157.0;86;434.0;-12
-25;-37;20;253.0;76;246.0;-37
-35;-94;38;169.0;73;366.0;-94
-25;27;20;241.0;78;245.0;27
-22;-21;24;217.0;99;127.0;-21
-38;7;15;8.0;69;100.0;7
-24;2;21;138.0;76;404.0;2
-38;-2;15;22.0;73;115.0;-2
-26;674;16;242.0;-146;104.0;674
-11;-21;21;13.0;140;317.0;-21
-38;2;15;28.0;77;116.0;2
-22;63;23;224.0;86;295.0;63
-23;-78;16;146.0;77;349.0;-78
-24;-47;20;8.0;70;197.0;-47
-23;-470;31;-325.0;86;-94.0;-470
-24;-45;20;-7.0;69;191.0;-45
-24;-17;20;-9.0;64;192.0;-17
-24;-10;20;-8.0;70;194.0;-10
-24;-9;20;-8.0;72;199.0;-9
-24;-10;20;-8.0;68;204.0;-10
-24;18;20;-10.0;74;207.0;18
-24;-49;20;-6.0;64;204.0;-49
-24;9;20;-3.0;71;202.0;9
-24;26;20;1.0;69;200.0;26
-22;-3;23;262.0;58;237.0;-3
-29;-142;21;185.0;87;373.0;-142
-24;4;20;4.0;68;199.0;4
-24;-1;20;9.0;72;197.0;-1
-82;-456;-35;250.0;-681;381.0;-456
-24;-67;19;211.0;76;361.0;-67
-22;44;23;231.0;71;281.0;44
-24;0;20;13.0;70;197.0;0
-17;39;19;121.0;94;154.0;39
-38;63;15;43.0;69;115.0;63
-25;-9;17;155.0;65;445.0;-9
-25;-14;17;156.0;62;447.0;-14
-31;-22;20;-28.0;81;-252.0;-22
-29;56;20;133.0;84;403.0;56
-27;64;21;161.0;77;435.0;64
-26;-8;21;78.0;75;433.0;-8
-25;14;17;117.0;74;463.0;14
-25;13;17;135.0;73;457.0;13
-25;7;17;155.0;69;449.0;7
-39;-545;26;-402.0;1213;-75.0;-545
-22;-136;23;273.0;62;224.0;-136
-25;37;21;156.0;72;457.0;37
-42;-43;23;240.0;115;504.0;-43
-13;1187;21;-342.0;-882;-666.0;1187
-29;-14;21;265.0;81;438.0;-14
-30;5;20;229.0;94;438.0;5
-29;37;21;109.0;84;424.0;37
-25;92;21;199.0;66;379.0;92
-26;72;20;-15.0;75;251.0;72
-22;51;23;252.0;68;252.0;51
-29;-52;21;75.0;87;436.0;-52
-29;37;29;-14.0;85;265.0;37
-22;-65;24;218.0;69;125.0;-65
-27;3;21;132.0;77;468.0;3
-29;-43;21;67.0;84;441.0;-43
-22;126;18;409.0;77;312.0;126
-30;-91;21;162.0;105;378.0;-91
-58;-150;11;157.0;236;402.0;-150
-29;32;29;-17.0;79;271.0;32
-29;51;21;110.0;82;428.0;51
-29;-56;21;109.0;88;427.0;-56
-44;111;31;-34.0;167;276.0;111
-26;-13;21;67.0;79;435.0;-13
-21;-3;18;-61.0;68;107.0;-3
-28;-27;21;79.0;84;451.0;-27
-29;4;21;77.0;86;451.0;4
-29;-7;21;72.0;83;451.0;-7
-51;-34;3;96.0;198;455.0;-34
-28;57;20;66.0;85;370.0;57
-20;51;19;219.0;74;392.0;51
-26;15;21;143.0;81;454.0;15
-29;22;21;90.0;86;428.0;22
-29;25;21;87.0;87;428.0;25
-29;31;21;85.0;80;428.0;31
-11;-14;21;-22.0;134;269.0;-14
-27;-10;21;199.0;74;468.0;-10
-30;-47;21;84.0;81;428.0;-47
-30;-42;21;85.0;88;428.0;-42
-30;-385;20;604.0;18;716.0;-385
-19;-160;21;191.0;56;336.0;-160
-30;41;21;85.0;93;429.0;41
-28;79;31;141.0;127;315.0;79
-28;-28;21;330.0;78;457.0;-28
-25;-45;20;279.0;74;249.0;-45
-25;6;20;304.0;75;254.0;6
-25;48;20;320.0;70;283.0;48
-29;18;21;255.0;86;438.0;18
-26;-32;21;-89.0;72;302.0;-32
-28;-50;18;13.0;84;354.0;-50
-29;22;29;-14.0;86;332.0;22
-26;66;20;224.0;81;357.0;66
-25;90;21;185.0;66;339.0;90
-29;-4;18;-68.0;76;244.0;-4
-25;-10;20;63.0;74;448.0;-10
-24;-45;20;105.0;64;445.0;-45
-28;-31;32;163.0;80;456.0;-31
-26;2;21;-14.0;66;339.0;2
-24;33;20;114.0;73;443.0;33
-28;30;19;134.0;80;441.0;30
-28;-10;19;152.0;72;451.0;-10
-28;10;19;161.0;82;450.0;10
-22;19;26;265.0;106;357.0;19
-28;19;19;162.0;77;450.0;19
-27;31;21;115.0;77;456.0;31
-28;-20;19;118.0;80;449.0;-20
-28;23;21;62.0;84;429.0;23
-20;-56;16;399.0;78;275.0;-56
-24;-20;20;301.0;69;284.0;-20
