InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1
706.0;506.0;62.0;-536.0;709.0
704.0;509.0;72.0;-531.0;?
701.0;513.0;82.0;-526.0;717.0
699.0;?;92.0;-521.0;721.0
697.0;517.0;102.0;-517.0;725.0
694.0;520.0;111.0;-513.0;727.0
692.0;521.0;118.0;-510.0;?
689.0;522.0;124.0;-509.0;731.0
687.0;522.0;?;-508.0;732.0
686.0;?;126.0;-509.0;732.0
686.0;521.0;124.0;-511.0;731.0
686.0;521.0;120.0;?;?
?;520.0;115.0;-517.0;727.0
689.0;521.0;110.0;-520.0;724.0
691.0;520.0;?;-524.0;722.0
692.0;518.0;101.0;?;718.0
?;513.0;97.0;-532.0;717.0
686.0;505.0;84.0;-540.0;720.0
688.0;?;65.0;-553.0;711.0
688.0;499.0;60.0;-561.0;707.0
687.0;495.0;52.0;-568.0;703.0
684.0;492.0;48.0;-569.0;702.0
682.0;488.0;42.0;-570.0;702.0
681.0;487.0;36.0;-576.0;701.0
683.0;487.0;32.0;-582.0;700.0
685.0;486.0;31.0;-587.0;699.0
688.0;486.0;31.0;-590.0;697.0
?;486.0;28.0;-592.0;695.0
689.0;487.0;25.0;-593.0;694.0
689.0;487.0;?;?;693.0
691.0;487.0;?;-591.0;692.0
?;488.0;16.0;-589.0;691.0
694.0;?;14.0;-586.0;691.0
695.0;491.0;13.0;-583.0;691.0
696.0;?;13.0;-580.0;690.0
697.0;494.0;14.0;-577.0;691.0
698.0;494.0;17.0;-574.0;691.0
700.0;494.0;?;?;692.0
701.0;494.0;?;-570.0;691.0
?;493.0;19.0;-569.0;?
703.0;493.0;16.0;-568.0;690.0
704.0;492.0;13.0;-567.0;?
705.0;492.0;12.0;-566.0;690.0
706.0;492.0;11.0;-565.0;691.0
707.0;493.0;10.0;-563.0;690.0
709.0;493.0;10.0;-562.0;690.0
711.0;492.0;?;-560.0;690.0
713.0;491.0;12.0;-559.0;691.0
714.0;490.0;12.0;-558.0;?
714.0;490.0;?;-557.0;693.0
714.0;490.0;16.0;-556.0;695.0
714.0;490.0;20.0;?;698.0
715.0;491.0;25.0;?;700.0
?;491.0;?;-552.0;703.0
714.0;491.0;33.0;-550.0;706.0
713.0;492.0;39.0;-548.0;708.0
713.0;492.0;?;-544.0;711.0
?;494.0;?;-540.0;713.0
710.0;496.0;60.0;-536.0;715.0
?;498.0;65.0;-533.0;716.0
708.0;499.0;69.0;-529.0;716.0
?;501.0;71.0;?;716.0
706.0;502.0;72.0;-524.0;716.0
700.0;513.0;3.0;-561.0;673.0
700.0;512.0;1.0;-563.0;672.0
?;511.0;0.0;-564.0;672.0
700.0;510.0;-1.0;-565.0;673.0
?;509.0;?;-565.0;673.0
700.0;509.0;0.0;-566.0;674.0
700.0;508.0;0.0;-567.0;674.0
701.0;507.0;-1.0;-567.0;674.0
701.0;?;-1.0;-567.0;676.0
701.0;507.0;-1.0;-567.0;677.0
701.0;507.0;-1.0;-567.0;676.0
701.0;507.0;-1.0;-566.0;677.0
702.0;508.0;-1.0;-566.0;677.0
702.0;508.0;-1.0;-566.0;?
703.0;508.0;0.0;-566.0;677.0
705.0;509.0;0.0;-565.0;677.0
706.0;509.0;0.0;-565.0;677.0
707.0;510.0;0.0;-564.0;?
709.0;511.0;-1.0;?;677.0
?;512.0;?;-560.0;678.0
711.0;513.0;3.0;-559.0;678.0
?;513.0;5.0;?;679.0
713.0;513.0;8.0;-554.0;680.0
713.0;513.0;10.0;-552.0;681.0
713.0;513.0;13.0;-551.0;681.0
712.0;513.0;15.0;?;681.0
712.0;513.0;16.0;-549.0;682.0
711.0;?;17.0;-549.0;682.0
710.0;514.0;17.0;-549.0;682.0
709.0;515.0;17.0;-549.0;681.0
709.0;516.0;16.0;-549.0;680.0
709.0;516.0;17.0;-548.0;681.0
707.0;516.0;?;-547.0;681.0
703.0;511.0;21.0;-548.0;681.0
?;509.0;19.0;-553.0;676.0
702.0;508.0;0.0;-563.0;?
699.0;507.0;-10.0;-568.0;672.0
?;507.0;-4.0;-571.0;675.0
701.0;506.0;3.0;-573.0;678.0
699.0;505.0;11.0;-575.0;680.0
698.0;506.0;18.0;-576.0;682.0
698.0;506.0;20.0;-575.0;682.0
?;504.0;19.0;-575.0;682.0
?;?;16.0;-575.0;677.0
701.0;502.0;10.0;-576.0;674.0
701.0;501.0;3.0;-577.0;670.0
701.0;499.0;?;-579.0;668.0
701.0;498.0;-9.0;-580.0;665.0
702.0;497.0;-13.0;?;664.0
703.0;498.0;-16.0;-582.0;663.0
703.0;?;-18.0;-584.0;662.0
703.0;499.0;-19.0;-586.0;661.0
703.0;501.0;-21.0;-587.0;659.0
703.0;502.0;-23.0;-588.0;658.0
704.0;503.0;-24.0;-588.0;656.0
705.0;503.0;-26.0;-588.0;654.0
?;502.0;-29.0;-588.0;654.0
705.0;502.0;-34.0;-587.0;652.0
?;502.0;-38.0;-586.0;651.0
706.0;503.0;-39.0;-585.0;?
707.0;502.0;-40.0;-585.0;650.0
708.0;502.0;-41.0;-585.0;650.0
708.0;502.0;-41.0;?;650.0
709.0;502.0;-42.0;-584.0;650.0
710.0;502.0;-42.0;-584.0;650.0
709.0;?;-43.0;-585.0;650.0
710.0;?;-43.0;-585.0;649.0
710.0;501.0;-44.0;?;649.0
710.0;500.0;-45.0;-586.0;649.0
711.0;498.0;-46.0;?;649.0
711.0;496.0;-47.0;-587.0;650.0
711.0;?;-48.0;-587.0;649.0
711.0;495.0;-48.0;?;650.0
712.0;496.0;-47.0;-587.0;651.0
713.0;496.0;-46.0;-586.0;?
714.0;497.0;-44.0;-584.0;654.0
715.0;499.0;-42.0;-581.0;656.0
717.0;500.0;-38.0;-578.0;660.0
718.0;501.0;-30.0;-574.0;664.0
718.0;503.0;-22.0;-570.0;668.0
717.0;506.0;-14.0;-566.0;672.0
?;508.0;-9.0;-562.0;676.0
?;509.0;-3.0;-558.0;679.0
708.0;509.0;2.0;-556.0;682.0
?;510.0;6.0;-553.0;686.0
699.0;510.0;9.0;-553.0;688.0
?;505.0;16.0;?;692.0
688.0;502.0;16.0;-558.0;694.0
689.0;504.0;10.0;-568.0;688.0
685.0;506.0;11.0;-571.0;681.0
685.0;?;16.0;-571.0;683.0
685.0;507.0;?;-572.0;685.0
684.0;510.0;14.0;?;685.0
683.0;511.0;13.0;-575.0;686.0
685.0;513.0;14.0;-574.0;686.0
687.0;513.0;17.0;?;686.0
688.0;513.0;?;-572.0;685.0
?;512.0;20.0;-572.0;?
689.0;513.0;?;?;?
689.0;513.0;16.0;-574.0;682.0
689.0;513.0;13.0;?;680.0
690.0;513.0;?;?;678.0
691.0;?;5.0;?;676.0
692.0;515.0;1.0;-579.0;674.0
692.0;516.0;-2.0;-579.0;673.0
692.0;516.0;?;-580.0;671.0
693.0;517.0;-7.0;-580.0;670.0
?;518.0;-9.0;-580.0;668.0
695.0;?;-12.0;-580.0;666.0
695.0;519.0;-14.0;-580.0;665.0
695.0;518.0;-16.0;-580.0;?
?;518.0;-18.0;-580.0;662.0
695.0;518.0;-20.0;-580.0;661.0
695.0;?;-22.0;-581.0;660.0
695.0;517.0;-24.0;?;660.0
?;?;-26.0;-582.0;659.0
695.0;517.0;-27.0;-583.0;658.0
695.0;517.0;-27.0;-583.0;?
695.0;517.0;-28.0;-583.0;658.0
695.0;517.0;?;-584.0;?
695.0;518.0;-29.0;-584.0;?
695.0;518.0;-30.0;-584.0;656.0
695.0;519.0;?;-583.0;654.0
695.0;519.0;-33.0;-583.0;653.0
695.0;520.0;-34.0;-582.0;653.0
694.0;520.0;-35.0;-582.0;651.0
694.0;?;-36.0;-582.0;649.0
695.0;520.0;-37.0;-582.0;649.0
696.0;521.0;-38.0;-582.0;649.0
696.0;?;-39.0;-582.0;648.0
697.0;520.0;-41.0;-582.0;646.0
697.0;520.0;-43.0;-583.0;645.0
?;520.0;-44.0;-584.0;643.0
697.0;519.0;-46.0;-586.0;643.0
697.0;519.0;-48.0;-587.0;642.0
697.0;518.0;-50.0;-588.0;?
697.0;518.0;-52.0;-588.0;642.0
696.0;518.0;-53.0;-589.0;642.0
696.0;518.0;-54.0;-589.0;642.0
695.0;519.0;?;-590.0;643.0
694.0;519.0;-54.0;?;642.0
694.0;521.0;-55.0;-589.0;?
693.0;521.0;-56.0;-589.0;640.0
693.0;522.0;-58.0;-588.0;?
693.0;?;-58.0;-588.0;639.0
693.0;523.0;-58.0;-587.0;638.0
694.0;?;-59.0;-587.0;637.0
694.0;524.0;-60.0;-587.0;635.0
694.0;524.0;-61.0;-586.0;635.0
694.0;524.0;-62.0;-587.0;634.0
692.0;524.0;-61.0;-589.0;634.0
?;523.0;-59.0;-590.0;?
693.0;520.0;-60.0;-590.0;636.0
694.0;?;-62.0;-591.0;638.0
694.0;513.0;-65.0;-592.0;639.0
694.0;512.0;-66.0;-594.0;?
?;511.0;-69.0;-595.0;637.0
693.0;511.0;-71.0;-594.0;635.0
693.0;512.0;-72.0;-594.0;634.0
693.0;511.0;?;-593.0;633.0
693.0;511.0;-77.0;-593.0;632.0
693.0;510.0;-80.0;-593.0;631.0
693.0;509.0;-84.0;-594.0;630.0
?;509.0;-87.0;-595.0;628.0
694.0;509.0;-89.0;-597.0;626.0
694.0;?;-91.0;-598.0;624.0
694.0;507.0;?;-600.0;622.0
693.0;507.0;-95.0;-602.0;620.0
692.0;508.0;-97.0;-603.0;617.0
691.0;?;-99.0;-604.0;616.0
690.0;509.0;?;-604.0;615.0
689.0;511.0;-104.0;-604.0;614.0
?;512.0;-106.0;-605.0;?
686.0;514.0;-108.0;-604.0;611.0
?;516.0;-110.0;-603.0;610.0
684.0;518.0;-112.0;-602.0;609.0
682.0;521.0;?;-601.0;608.0
682.0;?;-115.0;?;606.0
681.0;525.0;?;-600.0;604.0
681.0;526.0;-115.0;-599.0;604.0
682.0;526.0;-113.0;-598.0;604.0
683.0;525.0;-111.0;-598.0;603.0
684.0;525.0;-111.0;-597.0;603.0
685.0;?;-111.0;-597.0;602.0
685.0;524.0;-114.0;-598.0;600.0
685.0;525.0;-117.0;?;?
684.0;527.0;-122.0;-598.0;595.0
683.0;529.0;-127.0;-598.0;?
682.0;?;-131.0;-599.0;591.0
681.0;?;-134.0;-598.0;589.0
681.0;534.0;-135.0;-598.0;588.0
680.0;535.0;-137.0;-598.0;584.0
680.0;537.0;-140.0;-597.0;584.0
681.0;538.0;-142.0;-598.0;580.0
682.0;539.0;-142.0;-598.0;?
?;540.0;-142.0;-599.0;580.0
684.0;?;-142.0;-600.0;578.0
685.0;540.0;-142.0;-600.0;578.0
684.0;540.0;-142.0;-601.0;577.0
685.0;539.0;-142.0;-601.0;576.0
684.0;539.0;-144.0;-601.0;573.0
683.0;538.0;-146.0;-601.0;570.0
683.0;538.0;-147.0;-601.0;569.0
684.0;540.0;-147.0;-602.0;?
687.0;540.0;-143.0;-602.0;571.0
690.0;540.0;-139.0;?;?
692.0;540.0;-137.0;-603.0;572.0
692.0;539.0;-137.0;-604.0;573.0
691.0;539.0;-139.0;-604.0;573.0
689.0;538.0;-141.0;-604.0;574.0
?;537.0;-143.0;?;575.0
690.0;?;-143.0;-604.0;577.0
691.0;535.0;?;-605.0;578.0
691.0;533.0;-145.0;-606.0;579.0
689.0;532.0;-145.0;?;580.0
687.0;529.0;-147.0;-608.0;580.0
687.0;529.0;-147.0;-608.0;581.0
688.0;528.0;?;-609.0;583.0
689.0;527.0;-144.0;-609.0;581.0
689.0;526.0;-145.0;-610.0;581.0
690.0;524.0;?;?;?
691.0;523.0;-145.0;-611.0;581.0
692.0;522.0;?;-610.0;581.0
693.0;521.0;?;-610.0;581.0
693.0;520.0;-148.0;-610.0;?
692.0;521.0;-149.0;-610.0;583.0
692.0;?;-149.0;-609.0;583.0
691.0;520.0;-149.0;-609.0;583.0
691.0;520.0;?;-608.0;583.0
691.0;520.0;-147.0;-608.0;584.0
691.0;520.0;-146.0;-608.0;585.0
689.0;517.0;?;-607.0;579.0
687.0;517.0;-145.0;-607.0;?
687.0;519.0;-145.0;-607.0;575.0
687.0;518.0;-146.0;-607.0;573.0
688.0;?;?;-607.0;570.0
688.0;518.0;-146.0;-607.0;571.0
688.0;518.0;-145.0;-607.0;571.0
688.0;519.0;-145.0;-607.0;572.0
689.0;520.0;-144.0;-606.0;575.0
690.0;521.0;-144.0;-606.0;577.0
691.0;522.0;-143.0;-605.0;580.0
689.0;522.0;-141.0;-604.0;575.0
689.0;522.0;-139.0;-604.0;574.0
689.0;521.0;?;-604.0;574.0
?;522.0;?;-605.0;577.0
695.0;522.0;-140.0;-606.0;579.0
698.0;522.0;-139.0;-608.0;578.0
699.0;521.0;-141.0;-611.0;578.0
699.0;522.0;-142.0;-612.0;578.0
698.0;522.0;-142.0;-613.0;579.0
?;523.0;-142.0;-613.0;580.0
696.0;525.0;?;-613.0;581.0
696.0;527.0;-137.0;-614.0;581.0
696.0;530.0;-135.0;-612.0;583.0
694.0;531.0;-131.0;-611.0;585.0
696.0;532.0;-126.0;-608.0;586.0
698.0;532.0;-122.0;-607.0;588.0
700.0;533.0;-118.0;-606.0;589.0
700.0;?;-115.0;-605.0;591.0
700.0;532.0;-115.0;-605.0;591.0
700.0;532.0;-116.0;-605.0;590.0
?;?;-116.0;-605.0;590.0
698.0;532.0;-115.0;-607.0;591.0
699.0;532.0;-113.0;-607.0;?
701.0;532.0;-112.0;-608.0;591.0
702.0;534.0;-113.0;-603.0;?
702.0;536.0;-113.0;-602.0;593.0
701.0;537.0;-114.0;-601.0;595.0
700.0;539.0;-116.0;?;596.0
699.0;540.0;-115.0;-600.0;597.0
696.0;542.0;-112.0;-599.0;598.0
?;542.0;-110.0;-600.0;599.0
695.0;542.0;-108.0;-600.0;599.0
695.0;?;-107.0;-601.0;599.0
694.0;541.0;-107.0;-602.0;599.0
693.0;540.0;-108.0;-602.0;599.0
692.0;538.0;-109.0;-602.0;598.0
?;536.0;-110.0;-602.0;598.0
694.0;534.0;-111.0;?;?
695.0;531.0;-113.0;-602.0;?
696.0;530.0;-116.0;-603.0;596.0
697.0;529.0;-118.0;-604.0;594.0
697.0;528.0;-121.0;-604.0;593.0
697.0;527.0;-124.0;-605.0;593.0
?;527.0;-125.0;-606.0;591.0
700.0;527.0;-127.0;-606.0;589.0
701.0;527.0;-130.0;-607.0;588.0
703.0;527.0;-132.0;-607.0;586.0
?;528.0;?;?;585.0
703.0;528.0;-131.0;-609.0;?
