InertialMeasurementUnit RLA Quaternion1;Accelerometer RWR accZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit RLA accY;Accelerometer RUA_ accZ
-138.0;-40.0;269.0;26.0;335.0;292.0;347.0
386.0;39.0;113.0;457.0;244.0;469.0;385.0
-778.0;-236.0;113.0;117.0;375.0;701.0;467.0
-33.0;-52.0;187.0;91.0;293.0;305.0;375.0
193.0;-741.0;441.0;-725.0;10.0;59.0;-117.0
-47.0;120.0;185.0;-655.0;294.0;373.0;322.0
80.0;108.0;223.0;-19.0;383.0;381.0;341.0
353.0;-332.0;464.0;11.0;783.0;544.0;906.0
425.0;217.0;125.0;188.0;143.0;259.0;211.0
-13.0;38.0;211.0;40.0;362.0;337.0;325.0
-22.0;51.0;230.0;89.0;344.0;321.0;349.0
-16.0;37.0;206.0;66.0;350.0;340.0;316.0
-304.0;173.0;92.0;122.0;327.0;325.0;612.0
-10.0;-58.0;204.0;0.0;308.0;301.0;322.0
-408.0;-11.0;374.0;186.0;380.0;265.0;421.0
-151.0;-5.0;188.0;-77.0;350.0;347.0;370.0
-40.0;8.0;207.0;66.0;322.0;356.0;304.0
-126.0;10.0;253.0;4.0;326.0;300.0;328.0
-153.0;35.0;266.0;-56.0;337.0;255.0;323.0
-158.0;-43.0;252.0;-17.0;339.0;307.0;330.0
-438.0;65.0;467.0;-188.0;422.0;316.0;303.0
-157.0;-12.0;254.0;16.0;343.0;312.0;302.0
-155.0;10.0;260.0;51.0;343.0;309.0;312.0
308.0;138.0;133.0;-157.0;207.0;285.0;582.0
-148.0;0.0;252.0;13.0;325.0;261.0;360.0
-79.0;76.0;160.0;-4.0;287.0;339.0;318.0
-182.0;99.0;254.0;-7.0;335.0;274.0;333.0
-148.0;38.0;246.0;30.0;336.0;314.0;321.0
-154.0;58.0;245.0;-41.0;330.0;319.0;321.0
-157.0;-12.0;258.0;-99.0;334.0;282.0;339.0
-181.0;-61.0;260.0;6.0;339.0;266.0;352.0
-126.0;-53.0;256.0;44.0;336.0;285.0;326.0
-127.0;60.0;255.0;42.0;321.0;265.0;331.0
-131.0;21.0;254.0;-81.0;340.0;278.0;332.0
-131.0;15.0;264.0;-7.0;334.0;282.0;321.0
-130.0;-31.0;265.0;-3.0;333.0;274.0;328.0
-751.0;-579.0;84.0;-30.0;402.0;539.0;418.0
-110.0;-22.0;223.0;56.0;305.0;286.0;321.0
-138.0;-1.0;269.0;23.0;337.0;301.0;328.0
-138.0;-28.0;265.0;42.0;334.0;291.0;327.0
-108.0;-77.0;228.0;2.0;318.0;304.0;311.0
-137.0;-29.0;265.0;20.0;345.0;270.0;346.0
-16.0;-40.0;116.0;-101.0;318.0;395.0;330.0
182.0;311.0;17.0;-21.0;-77.0;903.0;103.0
-42.0;38.0;183.0;337.0;311.0;319.0;392.0
24.0;-2.0;334.0;-84.0;286.0;204.0;246.0
-178.0;42.0;232.0;-34.0;360.0;365.0;325.0
-116.0;-12.0;279.0;33.0;319.0;272.0;323.0
-184.0;-1.0;255.0;1.0;335.0;276.0;364.0
-179.0;23.0;264.0;-3.0;355.0;309.0;336.0
-134.0;-14.0;265.0;41.0;337.0;270.0;340.0
-136.0;-4.0;265.0;-14.0;330.0;286.0;320.0
-230.0;266.0;258.0;102.0;208.0;221.0;436.0
-136.0;-92.0;184.0;5.0;293.0;302.0;387.0
-367.0;260.0;373.0;-44.0;736.0;712.0;701.0
-133.0;12.0;256.0;-14.0;331.0;298.0;334.0
-127.0;-21.0;275.0;13.0;338.0;296.0;307.0
-689.0;116.0;260.0;51.0;517.0;537.0;530.0
-292.0;-623.0;219.0;-10.0;508.0;699.0;709.0
-739.0;352.0;167.0;314.0;166.0;623.0;288.0
-282.0;145.0;264.0;-58.0;290.0;838.0;570.0
-157.0;32.0;258.0;28.0;341.0;284.0;339.0
-100.0;13.0;234.0;72.0;308.0;267.0;341.0
-295.0;-41.0;421.0;59.0;322.0;493.0;336.0
-118.0;63.0;197.0;36.0;302.0;278.0;311.0
-116.0;-20.0;219.0;30.0;312.0;290.0;351.0
294.0;99.0;161.0;-348.0;260.0;311.0;347.0
-145.0;-18.0;250.0;40.0;335.0;309.0;295.0
-180.0;-31.0;239.0;-13.0;333.0;272.0;350.0
-39.0;57.0;178.0;-290.0;229.0;273.0;215.0
628.0;-356.0;255.0;14.0;616.0;79.0;760.0
-134.0;-8.0;259.0;-58.0;333.0;300.0;330.0
-111.0;20.0;180.0;8.0;306.0;332.0;317.0
-105.0;39.0;150.0;-113.0;261.0;291.0;313.0
-8.0;124.0;198.0;-26.0;322.0;317.0;311.0
-122.0;15.0;257.0;44.0;321.0;259.0;364.0
-10.0;44.0;213.0;5.0;358.0;331.0;285.0
73.0;33.0;286.0;16.0;252.0;185.0;235.0
-127.0;-24.0;275.0;7.0;338.0;294.0;307.0
-123.0;1.0;267.0;3.0;334.0;286.0;330.0
-182.0;60.0;217.0;240.0;347.0;476.0;309.0
-124.0;38.0;273.0;5.0;337.0;291.0;328.0
16.0;48.0;343.0;54.0;270.0;224.0;235.0
-32.0;135.0;255.0;53.0;264.0;115.0;259.0
-141.0;42.0;275.0;44.0;339.0;294.0;319.0
-18.0;50.0;210.0;80.0;345.0;325.0;303.0
-187.0;14.0;253.0;-25.0;335.0;282.0;330.0
-159.0;4.0;250.0;-41.0;299.0;278.0;457.0
-165.0;-34.0;248.0;-3.0;336.0;274.0;342.0
-124.0;-2.0;266.0;8.0;325.0;292.0;331.0
138.0;46.0;277.0;-161.0;242.0;262.0;207.0
124.0;83.0;203.0;-23.0;221.0;282.0;224.0
-100.0;32.0;263.0;7.0;385.0;267.0;352.0
-106.0;-61.0;261.0;49.0;315.0;258.0;375.0
-195.0;32.0;229.0;-25.0;362.0;363.0;331.0
71.0;37.0;258.0;-4.0;235.0;212.0;202.0
-125.0;58.0;257.0;-14.0;323.0;296.0;307.0
-105.0;-6.0;238.0;-50.0;296.0;359.0;217.0
4.0;63.0;204.0;-5.0;298.0;322.0;328.0
510.0;66.0;339.0;-872.0;229.0;408.0;214.0
290.0;-44.0;551.0;-61.0;644.0;807.0;793.0
-124.0;-18.0;259.0;-16.0;326.0;291.0;320.0
-247.0;48.0;262.0;-317.0;364.0;213.0;220.0
132.0;113.0;110.0;99.0;239.0;409.0;258.0
-190.0;21.0;233.0;-19.0;329.0;297.0;329.0
-111.0;79.0;182.0;-5.0;310.0;331.0;315.0
-130.0;-6.0;233.0;13.0;305.0;355.0;306.0
-37.0;65.0;203.0;30.0;319.0;355.0;325.0
-87.0;400.0;137.0;278.0;77.0;719.0;244.0
-625.0;87.0;197.0;-281.0;247.0;535.0;218.0
-101.0;33.0;181.0;3.0;319.0;341.0;323.0
-126.0;69.0;251.0;40.0;323.0;340.0;340.0
-124.0;9.0;263.0;0.0;327.0;299.0;320.0
-104.0;-8.0;275.0;-31.0;383.0;262.0;316.0
-2.0;63.0;206.0;-44.0;330.0;316.0;301.0
-59.0;118.0;499.0;-78.0;366.0;62.0;344.0
-109.0;50.0;179.0;-9.0;316.0;326.0;310.0
-15.0;53.0;200.0;49.0;309.0;309.0;333.0
-106.0;-98.0;256.0;-29.0;342.0;259.0;306.0
-107.0;-57.0;177.0;-11.0;319.0;343.0;313.0
-145.0;52.0;183.0;48.0;342.0;348.0;311.0
-272.0;280.0;247.0;-263.0;37.0;46.0;-48.0
-105.0;6.0;186.0;-18.0;323.0;320.0;296.0
-73.0;-57.0;326.0;66.0;321.0;284.0;430.0
-120.0;24.0;235.0;16.0;353.0;246.0;372.0
-113.0;14.0;170.0;3.0;298.0;326.0;323.0
-381.0;347.0;91.0;-85.0;-101.0;885.0;145.0
-129.0;132.0;203.0;-161.0;245.0;304.0;278.0
-125.0;-13.0;253.0;-8.0;318.0;293.0;331.0
-121.0;-15.0;171.0;-7.0;294.0;335.0;318.0
-143.0;26.0;264.0;-1.0;335.0;346.0;319.0
172.0;168.0;142.0;5.0;270.0;354.0;264.0
-111.0;19.0;179.0;10.0;303.0;328.0;316.0
-144.0;11.0;253.0;7.0;331.0;331.0;288.0
-125.0;7.0;260.0;-4.0;331.0;293.0;326.0
-177.0;207.0;200.0;765.0;311.0;728.0;451.0
-122.0;70.0;225.0;-149.0;339.0;297.0;300.0
-154.0;120.0;202.0;-48.0;348.0;276.0;377.0
-27.0;44.0;222.0;196.0;306.0;302.0;351.0
119.0;199.0;127.0;124.0;193.0;261.0;482.0
-704.0;51.0;141.0;-446.0;322.0;197.0;236.0
-141.0;13.0;246.0;29.0;330.0;321.0;313.0
-252.0;-6.0;352.0;116.0;494.0;207.0;351.0
-553.0;-349.0;173.0;8.0;574.0;64.0;752.0
-139.0;-33.0;243.0;5.0;336.0;316.0;306.0
-134.0;-10.0;248.0;19.0;321.0;299.0;323.0
3.0;48.0;196.0;88.0;308.0;312.0;314.0
-106.0;11.0;257.0;42.0;339.0;257.0;373.0
-182.0;42.0;255.0;26.0;343.0;279.0;349.0
-215.0;159.0;304.0;-1.0;86.0;99.0;2.0
-127.0;-6.0;246.0;16.0;317.0;289.0;292.0
-181.0;-18.0;251.0;18.0;331.0;269.0;340.0
-183.0;-23.0;251.0;-9.0;340.0;274.0;340.0
-129.0;-137.0;277.0;72.0;320.0;282.0;310.0
-147.0;3.0;162.0;18.0;298.0;358.0;318.0
-182.0;65.0;256.0;-4.0;334.0;271.0;319.0
14.0;145.0;204.0;-88.0;310.0;309.0;301.0
-146.0;19.0;178.0;-36.0;301.0;331.0;333.0
-118.0;-71.0;273.0;59.0;316.0;250.0;289.0
-135.0;-19.0;245.0;138.0;331.0;298.0;330.0
-134.0;-35.0;278.0;-24.0;334.0;247.0;330.0
-63.0;196.0;121.0;-24.0;290.0;374.0;298.0
-293.0;288.0;291.0;172.0;-32.0;5.0;-99.0
-117.0;-37.0;181.0;-7.0;302.0;314.0;301.0
-132.0;7.0;181.0;43.0;290.0;314.0;255.0
-409.0;833.0;65.0;28.0;-202.0;823.0;158.0
-135.0;22.0;268.0;9.0;328.0;277.0;323.0
-183.0;57.0;252.0;-5.0;334.0;272.0;338.0
-18.0;101.0;230.0;82.0;294.0;285.0;320.0
-131.0;-86.0;173.0;35.0;275.0;277.0;371.0
-107.0;16.0;238.0;-50.0;368.0;257.0;323.0
-110.0;65.0;179.0;3.0;300.0;328.0;304.0
-95.0;11.0;230.0;138.0;303.0;245.0;329.0
-199.0;137.0;302.0;-78.0;90.0;66.0;49.0
793.0;99.0;237.0;-59.0;271.0;279.0;345.0
73.0;126.0;278.0;-49.0;263.0;260.0;199.0
206.0;485.0;126.0;-139.0;96.0;737.0;530.0
722.0;571.0;144.0;146.0;295.0;686.0;220.0
-186.0;-19.0;249.0;12.0;333.0;276.0;323.0
-170.0;77.0;256.0;-61.0;325.0;280.0;291.0
-490.0;-139.0;431.0;-25.0;720.0;171.0;883.0
181.0;-562.0;351.0;27.0;270.0;284.0;220.0
-194.0;129.0;292.0;-164.0;104.0;109.0;30.0
-106.0;73.0;186.0;8.0;299.0;319.0;295.0
-236.0;181.0;246.0;405.0;156.0;246.0;229.0
-277.0;522.0;236.0;64.0;159.0;896.0;383.0
-129.0;-6.0;261.0;65.0;331.0;271.0;317.0
-210.0;141.0;129.0;38.0;130.0;314.0;316.0
-632.0;-12.0;376.0;-181.0;218.0;146.0;159.0
-106.0;77.0;267.0;72.0;325.0;257.0;302.0
-447.0;255.0;-145.0;76.0;-99.0;555.0;11.0
-109.0;27.0;177.0;-24.0;291.0;342.0;306.0
-542.0;-178.0;202.0;-737.0;463.0;879.0;557.0
-108.0;15.0;179.0;-3.0;303.0;324.0;300.0
-11.0;-953.0;719.0;-20.0;971.0;-40.0;928.0
179.0;302.0;128.0;-24.0;273.0;380.0;274.0
-687.0;-121.0;223.0;523.0;338.0;474.0;293.0
-106.0;130.0;186.0;-8.0;297.0;317.0;288.0
-127.0;33.0;173.0;34.0;299.0;354.0;274.0
103.0;172.0;202.0;26.0;207.0;310.0;199.0
-701.0;117.0;186.0;313.0;154.0;295.0;130.0
-185.0;17.0;251.0;-3.0;340.0;274.0;333.0
197.0;171.0;92.0;477.0;150.0;283.0;234.0
-181.0;-53.0;244.0;-11.0;328.0;266.0;341.0
-108.0;91.0;178.0;-16.0;289.0;318.0;285.0
-182.0;4.0;259.0;-5.0;331.0;263.0;341.0
158.0;100.0;125.0;-4.0;263.0;383.0;261.0
-636.0;223.0;74.0;-143.0;229.0;416.0;185.0
-9.0;133.0;111.0;257.0;162.0;277.0;219.0
-185.0;38.0;250.0;23.0;337.0;280.0;334.0
-173.0;210.0;254.0;-242.0;228.0;252.0;114.0
