InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
571;0;1;1;19;901.0;-8;1;1004.0;-34;-833;19;1
569;-1;1;1;3;904.0;-22;-7;1003.0;-33;-846;3;-7
570;-2;1;-1;-2;891.0;-21;4;1000.0;-33;-850;-2;4
594;3;3;2;5;920.0;-3;12;988.0;-35;-827;5;12
570;-8;1;10;25;892.0;-33;-5;966.0;-33;-845;25;-5
579;5;1;-2;23;902.0;-16;0;992.0;-33;-841;23;0
565;-7;1;-7;12;889.0;-18;9;1005.0;-33;-846;12;9
570;-5;1;-1;-8;925.0;-26;-11;972.0;-33;-843;-8;-11
590;-1;3;-1;3;913.0;-3;7;1005.0;-35;-833;3;7
579;-3;1;-1;4;883.0;-10;7;943.0;-34;-839;4;7
579;-4;2;4;6;901.0;-29;-6;977.0;-35;-837;6;-6
594;3;3;6;1;910.0;-7;7;999.0;-35;-828;1;7
627;2;-4;6;-5;934.0;20;-1;996.0;-37;-807;-5;-1
579;-3;1;1;15;886.0;-12;-15;947.0;-34;-839;15;-15
580;1;1;3;2;878.0;-13;4;983.0;-33;-842;2;4
582;-1;2;4;6;897.0;-26;18;985.0;-35;-844;6;18
583;1;1;6;-4;989.0;-11;8;956.0;-34;-835;-4;8
592;6;1;5;-32;850.0;-1;-11;964.0;-34;-839;-32;-11
584;-3;4;-1;-8;923.0;-10;-6;1001.0;-35;-841;-8;-6
586;-2;4;2;8;907.0;-9;5;995.0;-35;-835;8;5
593;0;4;-1;-5;906.0;-9;-5;996.0;-35;-839;-5;-5
491;6;4;14;-38;1130.0;-66;-49;925.0;-28;-899;-38;-49
601;4;1;1;-13;918.0;-18;19;929.0;-35;-822;-13;19
590;6;2;0;1;905.0;-17;11;990.0;-35;-831;1;11
577;0;1;5;6;886.0;-15;8;937.0;-33;-843;6;8
583;1;1;1;-3;888.0;-4;1;942.0;-34;-838;-3;1
590;-1;0;0;5;889.0;4;4;980.0;-34;-835;5;4
592;5;2;0;-10;907.0;-21;14;984.0;-35;-829;-10;14
588;-1;4;-2;0;918.0;-8;2;996.0;-35;-835;0;2
594;3;2;-5;-10;911.0;-18;0;987.0;-35;-837;-10;0
591;1;4;-1;10;920.0;-7;4;993.0;-35;-833;10;4
574;-2;1;0;7;888.0;-11;-4;980.0;-33;-849;7;-4
589;1;2;-2;-11;926.0;-23;-1;979.0;-35;-834;-11;-1
589;-2;4;4;7;922.0;-13;28;983.0;-35;-835;7;28
585;-5;4;-8;6;908.0;-3;18;983.0;-35;-841;6;18
590;3;4;0;21;930.0;-9;9;996.0;-35;-832;21;9
591;6;3;-3;14;923.0;-19;-3;981.0;-35;-835;14;-3
593;5;4;-2;-3;911.0;-7;7;994.0;-35;-833;-3;7
591;-1;4;5;7;904.0;-14;6;998.0;-35;-831;7;6
473;2;6;-1;-1;915.0;-121;9;940.0;-27;-897;-1;9
589;2;3;9;-14;907.0;-28;3;976.0;-35;-833;-14;3
579;-5;3;-1;-8;925.0;-21;-3;984.0;-35;-837;-8;-3
572;-7;2;-2;-5;904.0;-23;18;957.0;-35;-843;-5;18
579;3;2;-1;-22;906.0;-22;11;982.0;-35;-837;-22;11
478;-8;8;8;-124;950.0;-130;-83;934.0;-22;-887;-124;-83
589;-2;4;4;17;907.0;-14;-16;993.0;-35;-831;17;-16
575;-4;2;3;37;937.0;-17;2;971.0;-34;-845;37;2
590;-1;4;2;2;909.0;-12;0;993.0;-35;-834;2;0
582;2;2;4;-7;910.0;-27;1;963.0;-35;-841;-7;1
581;3;2;4;16;913.0;-28;8;976.0;-35;-839;16;8
592;0;4;3;0;924.0;-20;14;995.0;-35;-837;0;14
584;-8;4;2;7;923.0;-22;-12;991.0;-35;-839;7;-12
591;2;4;-1;19;917.0;-9;5;986.0;-35;-833;19;5
587;-1;4;-2;-5;923.0;-10;10;1001.0;-35;-833;-5;10
593;3;4;3;12;913.0;-13;-7;993.0;-35;-832;12;-7
587;-2;4;-2;9;919.0;-11;18;993.0;-35;-835;9;18
590;1;4;-1;20;896.0;-12;4;995.0;-35;-836;20;4
595;6;4;1;15;919.0;-11;17;984.0;-35;-834;15;17
589;-2;4;3;8;914.0;-16;0;989.0;-35;-837;8;0
594;6;4;2;5;911.0;-10;-4;1005.0;-35;-833;5;-4
585;5;1;0;6;882.0;-3;9;945.0;-34;-835;6;9
585;9;1;1;-4;879.0;-5;18;981.0;-33;-839;-4;18
595;6;4;0;9;925.0;-9;19;1003.0;-35;-834;9;19
604;-4;2;2;-31;937.0;-22;-16;985.0;-35;-827;-31;-16
599;5;1;0;-2;886.0;-19;-9;955.0;-35;-828;-2;-9
602;-9;0;7;-21;893.0;-1;-20;983.0;-35;-823;-21;-20
591;1;1;4;15;915.0;-3;8;1008.0;-35;-835;15;8
620;0;-4;0;15;934.0;19;5;1008.0;-37;-814;15;5
584;-2;4;-3;6;916.0;-17;9;1014.0;-35;-837;6;9
585;-4;1;-3;-5;917.0;2;-5;1006.0;-35;-831;-5;-5
587;-8;1;-8;26;923.0;6;-10;1021.0;-35;-824;26;-10
581;1;1;-5;-18;913.0;1;5;990.0;-34;-834;-18;5
584;2;1;-5;-1;877.0;2;17;972.0;-34;-839;-1;17
493;-7;3;21;-48;1469.0;-15;6;1219.0;-29;-880;-48;6
580;3;1;-5;24;914.0;1;23;996.0;-34;-836;24;23
481;-6;6;5;77;931.0;-81;51;1110.0;-29;-883;77;51
170;64;-42;20;-301;579.0;617;-117;742.0;-8;-778;-301;-117
500;29;4;24;94;1202.0;-65;53;916.0;-27;-891;94;53
573;1;1;-1;-15;884.0;-15;9;997.0;-33;-847;-15;9
601;1;0;5;33;893.0;5;4;970.0;-34;-825;33;4
618;4;-4;5;8;942.0;16;-6;1007.0;-37;-808;8;-6
588;-9;1;-2;-21;898.0;-14;-1;986.0;-35;-835;-21;-1
582;-1;3;-2;33;907.0;-19;17;996.0;-35;-834;33;17
593;-2;3;2;24;910.0;-3;1;997.0;-35;-835;24;1
573;2;1;-1;-20;896.0;-20;-5;1023.0;-33;-847;-20;-5
597;2;3;7;10;916.0;-7;-1;1002.0;-35;-829;10;-1
590;1;0;-2;14;899.0;7;16;955.0;-34;-832;14;16
579;1;1;5;34;906.0;-26;7;1003.0;-33;-845;34;7
599;2;0;1;-8;878.0;10;-18;984.0;-34;-826;-8;-18
601;7;2;-9;-14;959.0;-8;40;994.0;-35;-828;-14;40
574;-2;1;-1;-5;886.0;-22;18;1006.0;-33;-847;-5;18
593;0;3;-1;-1;916.0;-3;-5;1005.0;-35;-831;-1;-5
588;-3;4;4;-3;915.0;-13;-3;1012.0;-35;-833;-3;-3
582;-11;0;3;-6;909.0;-10;-19;992.0;-34;-846;-6;-19
580;1;1;3;-15;878.0;-10;11;980.0;-33;-843;-15;11
589;1;3;-1;10;914.0;-2;5;1006.0;-35;-830;10;5
605;-8;1;3;28;906.0;5;6;1005.0;-36;-821;28;6
580;1;1;3;37;869.0;-15;38;928.0;-34;-837;37;38
590;-10;3;8;-13;923.0;-12;-7;992.0;-35;-831;-13;-7
588;0;4;-1;-9;914.0;-8;-2;1003.0;-35;-835;-9;-2
602;-4;2;3;-12;914.0;-21;14;967.0;-35;-827;-12;14
587;0;4;-3;-13;906.0;-7;8;1003.0;-35;-841;-13;8
589;5;4;-1;-6;907.0;-8;0;1007.0;-35;-833;-6;0
588;1;4;1;2;909.0;-10;26;995.0;-35;-837;2;26
595;6;4;5;12;899.0;-15;23;986.0;-35;-832;12;23
575;3;1;-3;18;877.0;-6;-12;956.0;-33;-838;18;-12
582;-5;3;-6;20;931.0;-20;-22;985.0;-35;-842;20;-22
586;-3;4;0;-6;910.0;-9;-26;983.0;-35;-835;-6;-26
586;4;2;-14;-5;923.0;-7;-16;976.0;-35;-822;-5;-16
592;6;2;-7;-33;922.0;-15;7;978.0;-35;-829;-33;7
585;-1;1;4;3;869.0;-6;0;932.0;-34;-839;3;0
581;1;1;4;-16;881.0;-11;2;950.0;-34;-834;-16;2
591;1;4;-2;6;910.0;-7;10;1011.0;-35;-836;6;10
585;-2;4;-1;-4;915.0;-8;22;1005.0;-35;-831;-4;22
589;-1;4;2;26;914.0;-9;-2;1002.0;-35;-833;26;-2
588;1;1;11;-16;893.0;-13;17;963.0;-34;-840;-16;17
592;3;4;2;8;925.0;-10;16;1003.0;-35;-831;8;16
589;0;4;8;-1;905.0;-16;20;1002.0;-35;-830;-1;20
588;0;4;-3;13;913.0;-6;19;1005.0;-35;-833;13;19
583;-9;4;-5;-15;915.0;-9;10;1005.0;-35;-842;-15;10
574;1;0;8;4;873.0;-20;21;1005.0;-33;-847;4;21
618;2;-4;4;26;938.0;13;32;1014.0;-37;-813;26;32
505;-9;4;-12;36;731.0;-48;12;774.0;-34;-885;36;12
577;-2;1;-1;4;896.0;-10;9;1022.0;-33;-842;4;9
589;0;4;3;29;916.0;-12;18;1005.0;-35;-833;29;18
594;-5;1;-2;37;907.0;-18;15;988.0;-35;-835;37;15
587;-2;4;2;8;906.0;-10;21;1021.0;-35;-834;8;21
576;-2;1;-9;27;885.0;-1;13;996.0;-33;-846;27;13
500;121;-1;76;-38;715.0;-97;25;817.0;-19;-898;-38;25
563;91;-1;78;692;383.0;-108;674;761.0;-24;-1105;692;674
798;365;10;-100;-666;841.0;-567;-284;981.0;-36;-1075;-666;-284
582;-3;1;-4;-72;969.0;-2;-41;971.0;-35;-838;-72;-41
596;3;4;-2;39;912.0;-5;-13;1001.0;-35;-832;39;-13
592;0;3;1;30;929.0;-4;7;1019.0;-35;-833;30;7
508;8;8;-13;54;772.0;-54;131;874.0;-30;-893;54;131
611;1;0;0;5;881.0;16;15;983.0;-35;-821;5;15
743;10;-17;23;76;886.0;181;104;1009.0;-43;-671;76;104
590;0;4;8;-12;906.0;-17;17;1016.0;-35;-833;-12;17
585;1;1;-2;-16;877.0;-1;19;930.0;-34;-843;-16;19
584;-5;4;-3;3;902.0;-9;-15;1013.0;-35;-838;3;-15
587;2;2;-5;-37;911.0;-18;-6;986.0;-35;-831;-37;-6
588;-4;1;0;23;919.0;-1;4;1028.0;-35;-838;23;4
614;-4;-1;4;32;858.0;18;-3;1009.0;-37;-813;32;-3
596;6;2;-1;-6;933.0;-15;-12;987.0;-35;-824;-6;-12
619;1;-4;6;-9;942.0;11;2;1001.0;-37;-816;-9;2
530;-31;2;-47;-491;836.0;0;-343;998.0;-33;-902;-491;-343
592;2;4;2;16;914.0;-12;17;1011.0;-35;-832;16;17
587;3;4;5;15;914.0;-12;-37;996.0;-35;-832;15;-37
593;1;0;0;24;898.0;7;-7;988.0;-34;-827;24;-7
600;-2;2;-6;-3;929.0;-12;-19;958.0;-35;-831;-3;-19
492;1;3;2;-56;924.0;-58;-47;772.0;-28;-890;-56;-47
481;4;5;7;4;926.0;-91;0;1006.0;-29;-893;4;0
541;639;67;766;83;977.0;-121;76;956.0;25;-856;83;76
591;4;4;6;-13;923.0;-12;-3;1004.0;-35;-830;-13;-3
591;-1;3;1;-4;919.0;-1;-34;1006.0;-35;-828;-4;-34
392;226;9;-201;1786;922.0;110;-2373;971.0;-35;-879;1786;-2373
619;10;0;1;-4;879.0;20;9;1014.0;-35;-815;-4;9
628;15;1;1;-94;865.0;16;-84;1028.0;-37;-804;-94;-84
593;-1;0;1;-13;885.0;3;27;994.0;-34;-835;-13;27
582;4;1;4;37;882.0;-11;7;957.0;-33;-841;37;7
589;-3;3;-3;-29;906.0;1;-12;1019.0;-35;-832;-29;-12
591;5;3;-8;-6;914.0;-20;-39;983.0;-35;-835;-6;-39
724;4;11;-315;53;893.0;-29;-13;963.0;-24;-882;53;-13
593;9;4;-1;-18;914.0;-7;15;990.0;-35;-827;-18;15
481;-18;8;-34;361;960.0;-134;219;1296.0;-26;-887;361;219
594;-2;1;8;65;915.0;-27;36;1015.0;-35;-831;65;36
628;4;-4;3;-26;924.0;27;-20;1006.0;-37;-807;-26;-20
619;6;0;5;9;879.0;12;-17;986.0;-35;-812;9;-17
711;4;-12;4;-23;900.0;144;-10;1003.0;-43;-710;-23;-10
504;-36;8;-79;-1300;965.0;-57;-476;1038.0;-31;-937;-1300;-476
605;10;1;5;7;895.0;-17;5;1004.0;-36;-816;7;5
495;-48;4;76;36;877.0;-90;-66;1051.0;-24;-879;36;-66
591;-1;0;-2;8;880.0;7;21;955.0;-34;-831;8;21
608;2;0;-1;-3;881.0;18;32;966.0;-35;-819;-3;32
615;-2;-4;2;6;924.0;16;-21;1004.0;-37;-814;6;-21
621;4;-4;-1;-7;922.0;18;16;1008.0;-37;-813;-7;16
709;-1;-4;6;24;905.0;110;24;1007.0;-42;-717;24;24
593;0;3;4;18;907.0;-9;26;1003.0;-35;-833;18;26
709;-24;7;61;-638;934.0;-108;406;920.0;-39;-712;-638;406
481;16;13;-2;-138;578.0;-147;-65;965.0;-27;-910;-138;-65
399;-9;2;-106;265;830.0;-4;401;704.0;-34;-895;265;401
487;1;6;-11;-12;843.0;-65;-33;965.0;-29;-895;-12;-33
581;-1;2;0;38;906.0;-24;6;1009.0;-35;-838;38;6
594;5;3;7;18;909.0;-8;-3;1015.0;-35;-827;18;-3
541;-3;7;1;-113;886.0;-54;-121;829.0;-32;-847;-113;-121
588;0;4;2;-20;919.0;-7;8;995.0;-35;-831;-20;8
1685;1109;-4;-199;135;887.0;514;-1044;923.0;-28;-886;135;-1044
504;93;2;19;128;1845.0;-95;73;1167.0;-26;-866;128;73
458;107;2;-87;168;957.0;-4;597;939.0;-21;-782;168;597
617;-2;-4;-2;-4;942.0;19;6;1015.0;-37;-820;-4;6
514;-57;2;53;228;1561.0;-103;152;1074.0;-24;-873;228;152
595;4;3;-3;31;913.0;1;-1;994.0;-35;-833;31;-1
620;0;-1;2;9;844.0;29;-12;986.0;-36;-818;9;-12
591;1;4;-5;8;907.0;-8;30;1000.0;-35;-836;8;30
597;0;1;-7;-16;950.0;13;7;1014.0;-36;-824;-16;7
615;1;-4;0;14;913.0;16;10;1010.0;-37;-813;14;10
575;12;0;-10;25;838.0;7;6;1037.0;-33;-840;25;6
618;-2;-4;7;-7;943.0;12;-20;1014.0;-37;-812;-7;-20
588;-1;1;-7;15;917.0;5;13;1011.0;-35;-840;15;13
579;-3;1;0;-25;882.0;-25;-28;1008.0;-33;-851;-25;-28
520;-24;-5;110;255;508.0;-52;204;787.0;-30;-872;255;204
590;1;4;5;41;909.0;-20;6;998.0;-35;-831;41;6
618;1;-4;10;6;918.0;11;-34;988.0;-37;-811;6;-34
615;-2;-4;8;12;924.0;6;-1;1017.0;-37;-815;12;-1
611;9;0;5;35;884.0;18;-3;981.0;-35;-807;35;-3
581;-3;4;-5;-17;906.0;-18;32;993.0;-35;-834;-17;32
588;-4;3;0;-4;895.0;-5;-3;1016.0;-35;-834;-4;-3
612;-4;-4;-3;-26;933.0;18;6;1003.0;-37;-815;-26;6
589;-3;4;0;-14;924.0;-9;13;1002.0;-35;-835;-14;13
668;44;-3;25;67;921.0;31;69;1002.0;-37;-795;67;69
586;-2;4;3;-34;907.0;-13;6;995.0;-35;-830;-34;6
540;-7;7;22;916;881.0;-113;-1057;1028.0;-31;-866;916;-1057
621;4;-4;0;-14;929.0;22;10;1010.0;-37;-814;-14;10
583;14;0;1;29;915.0;-9;37;1023.0;-33;-844;29;37
584;-5;1;1;7;922.0;-1;30;994.0;-35;-836;7;30
602;5;0;1;-19;895.0;11;6;998.0;-34;-826;-19;6
500;-24;5;40;75;1501.0;-96;32;952.0;-26;-864;75;32
488;-27;12;-68;135;557.0;-82;46;937.0;-27;-897;135;46
618;0;-4;4;-5;921.0;13;-1;1011.0;-37;-812;-5;-1
615;-1;-4;5;-13;933.0;13;11;994.0;-37;-812;-13;11
601;0;1;5;15;926.0;-24;-9;999.0;-35;-829;15;-9
595;3;4;6;1;923.0;-14;23;1009.0;-35;-833;1;23
807;-328;-13;-233;1870;701.0;179;1428;963.0;-55;-1078;1870;1428
594;-1;4;6;27;897.0;-13;43;1004.0;-35;-834;27;43
488;-24;5;55;7;862.0;-94;28;1402.0;-26;-857;7;28
1052;749;-3;-24;-3519;949.0;2;1290;899.0;-24;-508;-3519;1290
496;160;-3;66;16;909.0;-55;-30;1206.0;-36;-911;16;-30
567;3;1;4;0;911.0;-35;11;1024.0;-33;-853;0;11
486;-40;3;4;40;846.0;-88;22;1075.0;-28;-894;40;22
602;4;0;3;-16;881.0;4;-36;957.0;-34;-834;-16;-36
865;-21;7;468;443;1071.0;2;-350;1010.0;-64;-910;443;-350
476;-15;3;8;60;944.0;-76;25;891.0;-24;-901;60;25
710;6;-3;0;-4;869.0;78;5;933.0;-44;-727;-4;5
593;-4;1;2;-5;880.0;-21;6;998.0;-35;-826;-5;6
492;-4;5;4;-79;927.0;-78;-37;990.0;-29;-890;-79;-37
572;-4;1;4;-10;885.0;-26;2;1013.0;-33;-851;-10;2
719;-1;-16;2;-72;886.0;178;-125;977.0;-43;-691;-72;-125
569;-2;1;-6;5;900.0;-16;23;1020.0;-33;-849;5;23
595;1;3;5;0;901.0;-8;39;1014.0;-35;-832;0;39
589;-3;4;-1;55;931.0;-13;9;991.0;-35;-838;55;9
616;-1;-4;-2;-11;984.0;23;-4;998.0;-37;-813;-11;-4
581;-4;1;4;-14;875.0;-7;30;949.0;-34;-839;-14;30
599;3;3;2;14;907.0;2;26;1022.0;-35;-827;14;26
623;-1;-4;5;7;941.0;20;18;1007.0;-37;-810;7;18
592;0;0;0;11;869.0;6;-24;951.0;-34;-828;11;-24
491;-65;5;62;-589;857.0;-133;1705;880.0;-26;-851;-589;1705
587;1;1;4;16;868.0;-2;-5;976.0;-34;-837;16;-5
567;0;1;4;1;901.0;-25;-16;1019.0;-33;-846;1;-16
490;12;9;156;34;928.0;5;-109;1234.0;-26;-967;34;-109
630;-8;-1;0;-15;869.0;34;-53;987.0;-37;-813;-15;-53
578;-24;11;34;41;941.0;-123;38;905.0;-37;-838;41;38
620;6;-4;5;29;941.0;16;-5;993.0;-37;-807;29;-5
574;6;1;-6;21;874.0;-13;13;1005.0;-33;-839;21;13
493;-2;1;-10;-16;928.0;-60;-8;895.0;-23;-897;-16;-8
599;-1;1;3;-13;931.0;-22;18;967.0;-35;-830;-13;18
422;0;6;6;278;885.0;-107;-364;985.0;-25;-908;278;-364
483;-24;2;12;171;963.0;-31;110;1153.0;-27;-949;171;110
-296;703;2;-1385;-1462;918.0;1226;419;1097.0;-29;-1117;-1462;419
504;-2;3;-4;9;925.0;-58;7;743.0;-28;-888;9;7
473;-18;3;28;6;993.0;-57;53;1259.0;-30;-899;6;53
506;-45;9;24;271;933.0;-88;149;903.0;-29;-883;271;149
597;-3;0;3;46;877.0;7;-2;1000.0;-34;-828;46;-2
585;6;1;-2;16;897.0;-3;-3;1013.0;-34;-837;16;-3
1180;406;-9;131;1739;894.0;180;-312;868.0;-28;-1097;1739;-312
595;10;4;-1;-7;898.0;-17;-21;997.0;-35;-833;-7;-21
565;2;1;1;14;882.0;-33;17;1017.0;-33;-851;14;17
423;300;-29;-196;-2526;662.0;206;-1679;950.0;-7;-589;-2526;-1679
578;0;1;2;10;841.0;-8;3;1005.0;-33;-840;10;3
728;-3;-15;5;13;882.0;164;0;990.0;-45;-695;13;0
495;-17;7;14;46;394.0;-84;21;872.0;-14;-885;46;21
602;10;3;3;-5;915.0;-2;25;1010.0;-35;-830;-5;25
311;211;8;-240;-2684;865.0;-319;4915;1004.0;-35;-758;-2684;4915
519;44;9;-7;12;845.0;-159;-1756;977.0;-31;-912;12;-1756
