InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit RLA gyroX
-369.0;-103.0;-537.0;543.0;537.0;165;653.0;-42.0;388.0;-167.0;-112.0;52.0;192.0
282.0;-298.0;149.0;210.0;692.0;55;640.0;99.0;744.0;-143.0;264.0;38.0;494.0
-60.0;-57.0;269.0;585.0;153.0;-7;87.0;-122.0;540.0;-724.0;-508.0;-30.0;-966.0
-445.0;-353.0;-358.0;208.0;-44.0;-89;890.0;-818.0;789.0;-1322.0;-1414.0;324.0;-990.0
79.0;-331.0;-272.0;554.0;381.0;-159;531.0;200.0;458.0;-302.0;-190.0;273.0;-90.0
-52.0;-308.0;-68.0;401.0;-24.0;-171;400.0;78.0;274.0;789.0;427.0;249.0;-434.0
-561.0;-293.0;-837.0;362.0;253.0;41;768.0;-124.0;543.0;-157.0;-418.0;144.0;136.0
251.0;-330.0;481.0;474.0;-409.0;50;-85.0;687.0;164.0;-38.0;585.0;520.0;-286.0
81.0;-266.0;-149.0;982.0;-431.0;-102;595.0;-22.0;-325.0;-63.0;-75.0;178.0;-380.0
57.0;-312.0;-189.0;998.0;-422.0;-103;553.0;-21.0;-312.0;-64.0;-11.0;199.0;84.0
-553.0;-51.0;-429.0;354.0;-32.0;-68;901.0;47.0;830.0;-72.0;-50.0;29.0;85.0
66.0;-447.0;168.0;477.0;433.0;-77;279.0;-487.0;345.0;-174.0;-335.0;361.0;90.0
-395.0;-315.0;-212.0;478.0;263.0;-47;436.0;-273.0;507.0;-90.0;-207.0;229.0;-1918.0
-419.0;-176.0;-512.0;489.0;112.0;114;614.0;-808.0;468.0;156.0;-835.0;-44.0;620.0
-593.0;-287.0;-798.0;455.0;25.0;-33;642.0;-323.0;506.0;-1165.0;-728.0;449.0;-45.0
-286.0;-277.0;-282.0;679.0;120.0;-61;456.0;13.0;467.0;-115.0;-48.0;287.0;43.0
-292.0;-269.0;-271.0;723.0;193.0;-59;460.0;778.0;449.0;371.0;801.0;240.0;92.0
-266.0;-377.0;-96.0;444.0;135.0;51;427.0;-473.0;891.0;46.0;-450.0;188.0;-499.0
-450.0;-353.0;-75.0;667.0;197.0;-47;351.0;-62.0;464.0;-113.0;-103.0;302.0;-341.0
-491.0;-123.0;-277.0;397.0;369.0;57;-78.0;165.0;596.0;168.0;162.0;59.0;311.0
-492.0;-154.0;-267.0;339.0;367.0;57;-125.0;76.0;596.0;-276.0;-69.0;83.0;255.0
283.0;-262.0;437.0;311.0;-126.0;-90;312.0;1790.0;275.0;1527.0;1755.0;9.0;1848.0
-176.0;-58.0;-103.0;411.0;-136.0;-158;411.0;142.0;270.0;-1584.0;-48.0;17.0;561.0
-216.0;-240.0;-856.0;750.0;-336.0;-90;530.0;-3.0;136.0;330.0;-282.0;120.0;-6.0
-202.0;-334.0;172.0;192.0;-340.0;-149;409.0;-92.0;307.0;659.0;-894.0;-24.0;1101.0
50.0;-321.0;-234.0;931.0;-512.0;-107;651.0;104.0;86.0;-299.0;-135.0;87.0;-33.0
-113.0;-131.0;-429.0;947.0;-671.0;-106;641.0;-388.0;47.0;-239.0;-46.0;32.0;-77.0
135.0;-200.0;-164.0;1008.0;-353.0;-102;625.0;49.0;-3.0;-22.0;-29.0;41.0;16.0
196.0;-275.0;-233.0;942.0;-394.0;-101;512.0;31.0;-263.0;356.0;33.0;165.0;-269.0
159.0;-226.0;-99.0;999.0;-418.0;-102;615.0;118.0;-43.0;-89.0;-99.0;42.0;517.0
232.0;-345.0;-125.0;963.0;-427.0;-101;491.0;246.0;-295.0;816.0;317.0;215.0;-309.0
287.0;-275.0;-77.0;990.0;-431.0;-103;573.0;-31.0;-12.0;-69.0;-7.0;77.0;4.0
74.0;-281.0;-180.0;1000.0;-380.0;-103;607.0;-45.0;-357.0;55.0;-260.0;156.0;-479.0
337.0;-214.0;-27.0;998.0;-450.0;-102;658.0;-19.0;-101.0;-93.0;-17.0;9.0;-96.0
-51.0;-255.0;-489.0;563.0;626.0;-174;577.0;292.0;597.0;42.0;313.0;232.0;369.0
-110.0;-320.0;-730.0;434.0;547.0;-98;663.0;81.0;620.0;205.0;15.0;240.0;-144.0
22.0;-246.0;-766.0;525.0;655.0;-98;524.0;75.0;489.0;84.0;151.0;63.0;86.0
74.0;-206.0;-118.0;971.0;-376.0;-101;530.0;26.0;-173.0;-111.0;36.0;80.0;1028.0
-114.0;-147.0;-61.0;877.0;-825.0;-109;717.0;-3.0;80.0;-71.0;23.0;216.0;81.0
110.0;-295.0;-200.0;929.0;-512.0;-109;657.0;-2.0;66.0;-69.0;1.0;115.0;7.0
326.0;-195.0;-127.0;929.0;-592.0;-107;640.0;-28.0;66.0;-65.0;-5.0;78.0;42.0
-394.0;-299.0;119.0;441.0;-38.0;10;547.0;-24.0;520.0;-116.0;-64.0;156.0;21.0
-570.0;-221.0;-858.0;329.0;330.0;56;636.0;290.0;489.0;283.0;315.0;128.0;326.0
-66.0;-136.0;-332.0;955.0;-679.0;-106;687.0;-328.0;13.0;-187.0;-54.0;-29.0;401.0
210.0;-321.0;-95.0;931.0;-464.0;-108;651.0;13.0;88.0;-67.0;-25.0;124.0;-8.0
-381.0;-86.0;-583.0;490.0;511.0;165;654.0;62.0;370.0;-149.0;1.0;24.0;-280.0
-55.0;-270.0;-803.0;331.0;621.0;-90;521.0;-81.0;468.0;-118.0;-117.0;83.0;-76.0
109.0;-296.0;-199.0;961.0;-499.0;-109;653.0;-1.0;64.0;-66.0;-46.0;129.0;-23.0
-383.0;-105.0;-618.0;468.0;485.0;165;660.0;-220.0;404.0;1047.0;-89.0;150.0;92.0
181.0;-181.0;-234.0;930.0;-620.0;-107;669.0;-1.0;16.0;-44.0;-6.0;23.0;-180.0
276.0;-286.0;-51.0;1001.0;-468.0;-103;626.0;24.0;-32.0;-74.0;-32.0;69.0;-47.0
-485.0;-285.0;-859.0;304.0;293.0;42;669.0;-86.0;445.0;-94.0;-70.0;13.0;-82.0
66.0;-397.0;182.0;517.0;417.0;-77;285.0;-343.0;344.0;-235.0;-466.0;416.0;595.0
-342.0;15.0;-577.0;482.0;211.0;-163;657.0;-212.0;93.0;8.0;-151.0;-82.0;-21.0
-166.0;-175.0;-323.0;917.0;-677.0;-105;665.0;37.0;-16.0;-125.0;-47.0;32.0;413.0
-181.0;-80.0;-339.0;917.0;-733.0;-107;700.0;64.0;-23.0;-2.0;-21.0;-100.0;-139.0
-265.0;-26.0;-6.0;491.0;468.0;-30;433.0;9.0;837.0;49.0;24.0;-176.0;-17.0
-117.0;-209.0;-336.0;928.0;-651.0;-132;584.0;-48.0;-43.0;-203.0;-177.0;199.0;113.0
-34.0;-355.0;-250.0;1024.0;-235.0;-102;490.0;-74.0;-360.0;999.0;-115.0;357.0;589.0
-25.0;-244.0;-772.0;355.0;635.0;-90;506.0;-7.0;452.0;-41.0;-15.0;47.0;-8.0
104.0;-298.0;-202.0;965.0;-502.0;-109;654.0;-21.0;64.0;-62.0;-18.0;126.0;3.0
197.0;-181.0;-229.0;939.0;-621.0;-107;668.0;44.0;39.0;-39.0;3.0;-23.0;-435.0
-263.0;-85.0;-473.0;231.0;1013.0;-89;769.0;-465.0;760.0;-214.0;-657.0;111.0;-725.0
-332.0;-271.0;-623.0;452.0;472.0;133;754.0;752.0;572.0;672.0;911.0;237.0;665.0
291.0;-190.0;-157.0;960.0;-603.0;-107;643.0;-15.0;63.0;-10.0;-20.0;67.0;225.0
88.0;-263.0;-150.0;999.0;-445.0;-102;594.0;11.0;-325.0;-494.0;-68.0;154.0;-29.0
40.0;-173.0;-109.0;895.0;-596.0;-156;608.0;-19.0;287.0;-5.0;-53.0;417.0;4.0
109.0;-290.0;-201.0;953.0;-514.0;-109;654.0;-18.0;63.0;-82.0;-38.0;112.0;-12.0
