InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
493;4;5;?;-25;914.0;?;-11;1032.0;-29;?;?;-11
492;-1;5;-1;-7;897.0;-91;?;1053.0;-29;-884;-7;-6
?;-2;5;-4;17;915.0;-91;-17;1060.0;-29;-884;17;?
494;-1;5;-6;-12;905.0;-91;-16;1032.0;-29;-879;-12;-16
489;-11;5;1;15;916.0;-81;11;1017.0;-29;-884;15;11
?;-1;5;-3;60;?;-90;4;982.0;-29;-887;60;4
495;4;5;-8;5;918.0;-96;1;1018.0;-29;-882;5;1
?;-1;5;-6;20;921.0;-90;24;1008.0;-29;-889;20;24
493;?;5;-1;56;911.0;-88;11;974.0;-29;-894;56;?
489;?;5;0;7;903.0;-85;3;1068.0;-29;-889;?;3
493;4;5;-5;14;909.0;-93;30;1074.0;-29;-888;14;30
493;7;5;-6;21;888.0;-96;34;992.0;-29;-887;21;34
491;-7;5;0;-2;883.0;-80;13;992.0;-29;?;-2;13
483;?;5;9;21;913.0;-80;-15;1042.0;-29;?;21;-15
480;5;5;7;?;?;-89;-13;1035.0;-29;-890;14;-13
486;-1;5;0;-18;905.0;-84;25;?;-29;-885;-18;25
486;0;5;0;-16;913.0;-85;22;1022.0;-29;?;-16;22
488;3;5;0;-32;924.0;-89;-15;1024.0;-29;?;-32;-15
489;2;5;-2;-29;895.0;-90;-26;1032.0;-29;-894;-29;-26
?;11;5;0;-7;899.0;-98;-33;980.0;-29;?;-7;-33
479;?;5;1;-24;914.0;-97;-8;982.0;-29;-886;-24;-8
482;1;?;1;-23;932.0;-91;-4;1007.0;-29;-891;-23;?
480;5;5;3;?;929.0;-95;-30;1016.0;-29;?;12;-30
477;4;5;2;25;911.0;-94;11;1008.0;-29;-886;25;11
482;2;5;-1;24;895.0;-92;?;1031.0;-29;-891;24;13
485;-6;5;1;20;898.0;-83;?;1040.0;-29;-898;?;0
482;-9;5;2;-6;915.0;-79;8;975.0;-29;-893;-6;?
?;?;5;6;-28;922.0;-83;-34;1006.0;-29;-890;-28;-34
?;-6;5;6;-27;908.0;?;-34;1022.0;-29;-890;-27;-34
485;-7;5;2;18;903.0;?;-19;1020.0;-29;-883;18;?
483;-9;5;?;-3;933.0;-89;14;982.0;-29;-893;-3;14
487;9;5;0;5;904.0;-107;19;1029.0;-29;-890;5;19
487;6;5;-2;31;901.0;-105;-16;?;-29;-885;31;-16
?;0;5;-2;21;?;-99;-26;?;-29;-886;21;-26
487;9;5;-3;14;904.0;-108;0;1008.0;-29;-886;?;0
491;-10;?;?;3;897.0;-90;-24;976.0;-29;-889;3;-24
486;-4;5;0;-26;919.0;?;-23;962.0;-29;-887;-26;-23
?;4;5;0;17;924.0;-103;?;?;-29;-886;17;0
485;-8;5;0;22;919.0;-91;0;1046.0;-29;-887;22;0
483;1;?;0;-14;898.0;-99;0;1077.0;-29;-886;?;?
489;7;5;-5;50;911.0;-104;-9;?;-29;?;50;-9
491;7;5;-6;67;916.0;-105;-10;1014.0;-29;-890;67;-10
483;0;?;0;?;896.0;-94;-15;?;-29;-888;?;-15
482;-9;5;1;13;916.0;-84;-22;966.0;-29;-887;13;-22
479;-4;5;4;?;?;-89;?;1035.0;-29;-889;14;-20
476;-2;5;7;1;896.0;?;-19;1035.0;-29;-890;1;?
487;-1;5;-4;-7;?;-93;7;1107.0;-29;-888;-7;7
484;1;5;1;27;912.0;-96;20;1046.0;-29;-895;27;20
479;-9;5;8;34;903.0;-83;-22;964.0;-29;-900;34;-22
484;-11;5;2;13;915.0;-81;-14;1061.0;-29;-895;13;-14
484;1;?;-1;-14;937.0;-94;27;990.0;-29;-891;-14;27
481;1;5;2;-2;895.0;-93;?;1005.0;-29;-890;-2;8
485;1;5;-2;26;908.0;-92;-1;1027.0;-29;-888;26;-1
488;7;5;?;-14;923.0;-99;?;1020.0;-29;-886;-14;11
483;5;5;-1;14;905.0;-96;0;1007.0;-29;-886;?;0
?;1;5;0;25;913.0;-92;-14;961.0;-29;-889;25;-14
489;1;5;-5;-8;?;-93;-6;1032.0;-29;-892;?;-6
481;1;5;3;15;906.0;-91;?;994.0;-29;-892;15;0
475;2;5;7;?;915.0;-91;8;1009.0;-29;-892;14;8
481;2;5;2;32;897.0;?;12;1006.0;?;-894;?;12
478;1;5;4;14;926.0;-90;-31;1006.0;-29;-894;14;-31
482;-2;5;3;-4;909.0;-87;-22;1024.0;-29;-897;-4;-22
484;-6;5;1;29;914.0;-82;41;1009.0;-29;-894;29;41
480;-4;?;0;3;931.0;-81;30;983.0;-29;-886;3;30
492;3;5;-13;-10;923.0;?;?;1003.0;-29;-884;-10;9
487;-3;5;1;-7;912.0;-91;3;1010.0;-29;-892;-7;3
489;0;5;-5;-6;920.0;-94;-10;1009.0;-29;-883;-6;-10
489;2;5;-4;?;925.0;-96;-9;1023.0;-29;-886;1;-9
489;-1;5;-2;0;915.0;?;-10;?;-29;-889;0;-10
489;-4;?;0;-5;924.0;-90;-10;986.0;-29;-889;-5;-10
489;-2;5;2;4;922.0;-92;3;?;-29;-896;4;3
488;4;5;-1;-4;?;?;20;967.0;-29;-889;-4;20
485;0;5;2;-13;935.0;-92;6;1020.0;-29;-888;-13;6
?;-1;?;-1;-24;?;-93;?;987.0;-29;-891;-24;-6
488;4;5;?;-22;917.0;-99;-16;975.0;-29;-885;-22;-16
485;-2;5;-1;?;918.0;-93;-17;1064.0;-29;-887;-15;?
490;-5;5;-2;6;919.0;-92;0;1011.0;-29;-892;6;0
492;1;5;-6;26;919.0;-97;-16;1020.0;-29;-889;26;-16
485;-1;5;-2;-4;912.0;-94;-20;1046.0;-29;-887;-4;-20
481;-8;5;3;13;?;-86;10;1013.0;-29;-888;13;10
482;-7;5;1;12;925.0;-87;-1;1033.0;-29;-887;12;?
484;6;5;-2;-32;915.0;-101;-21;1002.0;-29;-889;-32;-21
?;5;5;-2;-4;915.0;-101;-9;1038.0;-29;-892;-4;-9
484;-8;5;1;-1;906.0;-88;0;1087.0;-29;-891;-1;0
481;-1;5;2;-29;924.0;-94;13;1031.0;?;-890;-29;?
481;2;5;?;-6;923.0;-97;24;1013.0;-29;-894;-6;24
478;-2;?;5;-2;?;-92;-5;1024.0;-29;?;?;-5
483;1;5;?;-31;921.0;-96;-17;1015.0;-29;-890;?;-17
485;3;5;?;-26;913.0;-99;11;1020.0;-29;-897;-26;?
?;5;5;8;0;899.0;-100;21;996.0;-29;-889;0;21
484;-4;5;1;10;899.0;-93;?;999.0;-29;-892;10;15
494;-6;5;-8;-14;907.0;-92;0;995.0;-29;-891;-14;?
485;3;?;-2;-28;924.0;-100;-10;1037.0;-29;-888;-28;-10
484;1;?;1;-26;909.0;-98;4;999.0;-29;-892;-26;?
489;-5;5;-5;-7;919.0;-93;21;994.0;-29;-888;-7;21
488;-3;5;-2;48;911.0;-93;31;1003.0;-29;-891;48;?
485;0;5;1;46;912.0;-95;?;1012.0;-29;-892;46;15
486;4;5;-3;25;?;-98;-18;998.0;-29;-886;25;-18
486;-5;5;-2;2;892.0;-88;?;1022.0;-29;-883;2;-12
481;-5;5;5;-28;?;-87;12;?;?;-887;-28;12
485;5;5;1;-17;888.0;-97;11;1007.0;-29;-889;-17;11
485;1;5;?;7;?;?;10;994.0;-29;-884;7;10
487;9;5;1;0;905.0;-105;-32;1002.0;-29;-890;?;-32
488;1;5;-1;12;920.0;?;-10;1005.0;-29;-884;12;-10
495;2;5;-8;-9;891.0;-99;19;1004.0;-29;-883;-9;19
496;2;5;-7;-9;900.0;-99;3;1000.0;-29;-887;-9;3
489;?;?;0;24;922.0;-89;-20;986.0;?;-888;?;-20
489;4;5;-5;9;?;-98;-11;980.0;-29;-882;9;-11
488;-1;5;2;-5;906.0;-94;-7;964.0;-29;-891;-5;-7
488;2;5;2;-10;916.0;-97;21;1002.0;-29;-895;-10;21
488;18;5;-5;6;911.0;-113;25;1058.0;-29;-885;6;25
485;3;5;?;23;887.0;-97;10;1028.0;-29;-890;23;10
485;-5;5;4;?;913.0;-89;?;985.0;-29;-892;4;0
481;14;5;3;12;921.0;-107;-22;1013.0;-29;-889;12;-22
476;12;5;9;10;912.0;-105;7;1009.0;-29;-896;10;7
481;-10;5;?;1;901.0;-83;-11;1028.0;-29;?;1;-11
485;-4;5;-3;3;917.0;-89;-21;1013.0;-29;-885;3;-21
480;7;5;?;?;920.0;-101;23;1049.0;-29;-893;-7;23
474;-4;5;11;?;935.0;-89;-8;996.0;-29;-895;-6;-8
473;-6;5;11;-6;904.0;?;-16;1054.0;-29;?;-6;?
474;-2;5;8;-1;902.0;-93;2;1000.0;-29;-894;-1;2
478;-7;5;1;6;897.0;-89;-3;1035.0;-29;-889;6;-3
485;3;5;-6;-16;912.0;-99;5;950.0;-29;-888;-16;5
484;5;5;-4;-23;898.0;-102;10;1022.0;-29;-890;-23;?
480;-5;5;1;12;896.0;-91;1;1038.0;-29;-888;12;1
484;?;5;?;27;897.0;-100;-8;1006.0;-29;?;27;-8
?;1;5;-8;15;927.0;-99;?;1016.0;?;-884;15;-11
488;-3;5;-5;18;931.0;-94;-6;1006.0;-29;-889;18;-6
481;-2;5;1;9;918.0;-91;6;976.0;-29;-888;9;6
482;-6;5;?;5;890.0;-86;21;1024.0;-29;-887;5;21
?;7;5;-2;5;922.0;?;-5;1013.0;-29;-894;?;-5
480;10;5;0;-11;918.0;-101;-44;1023.0;-29;-885;?;-44
486;4;5;-4;23;889.0;-97;-10;1004.0;-29;-886;23;-10
495;-1;5;-12;22;?;?;-12;1031.0;?;-884;?;-12
486;1;5;-4;-9;924.0;?;-26;1010.0;-29;-883;-9;-26
484;14;5;3;16;909.0;-104;12;992.0;?;-897;16;?
484;14;5;2;16;912.0;-104;12;997.0;-29;-897;16;12
?;2;5;6;10;915.0;-92;?;1015.0;?;-895;10;6
490;-1;?;?;30;923.0;-90;-14;1025.0;-29;-888;30;?
492;-3;5;-2;?;908.0;-90;?;996.0;-29;?;?;27
493;6;5;-6;?;931.0;?;3;1013.0;-29;-881;-3;3
489;6;?;1;?;904.0;-98;-15;1007.0;?;-887;13;?
487;-3;5;?;-15;911.0;-89;11;1024.0;-29;-888;-15;11
487;1;5;1;-4;917.0;-93;-19;1008.0;-29;-885;-4;-19
489;-1;5;0;11;915.0;-92;16;1001.0;-29;-888;11;16
491;6;5;-3;-5;944.0;-99;13;993.0;-29;-886;-5;13
488;?;5;2;-4;893.0;-94;-19;991.0;-29;-890;-4;-19
492;-10;5;3;5;918.0;-81;22;992.0;-29;-896;5;22
494;?;5;-3;14;933.0;-94;-25;1043.0;-29;-891;14;?
484;2;5;5;6;915.0;-91;-45;?;-29;-888;6;-45
488;-7;5;?;?;906.0;-83;7;1025.0;-29;?;3;7
489;2;5;-3;5;914.0;-92;-4;1028.0;-29;-884;5;-4
485;0;5;4;20;907.0;-89;?;991.0;-29;-889;20;-19
?;0;5;-2;22;?;-90;-10;973.0;-29;-888;22;-10
488;?;5;1;?;904.0;-95;?;1053.0;-29;-889;4;-19
484;-1;5;9;20;918.0;-88;-12;1014.0;-29;-896;20;-12
486;0;?;3;28;929.0;-89;?;1044.0;-29;-890;28;-15
?;0;5;1;45;?;-89;-18;1033.0;-29;-889;45;-18
489;-7;5;2;36;929.0;-82;-7;1041.0;-29;-891;36;-7
487;0;5;0;15;922.0;?;2;1019.0;-29;-886;15;2
?;4;5;-3;34;?;?;20;?;-29;-888;34;20
493;-2;5;-4;9;900.0;-86;?;999.0;-29;-888;?;7
486;-3;5;3;?;901.0;?;-3;1033.0;-29;-888;12;-3
487;-2;?;2;-2;940.0;-85;4;1033.0;?;-889;-2;4
488;-2;5;?;-23;907.0;?;14;1021.0;-29;-885;-23;14
486;1;5;3;15;907.0;-87;20;1020.0;?;-888;15;20
491;4;5;-3;?;934.0;?;3;?;-29;-887;-10;3
?;?;5;2;-17;929.0;-86;3;993.0;-29;-883;-17;3
487;-7;5;?;2;914.0;-80;18;1003.0;-29;-893;2;18
493;-1;5;-2;-12;926.0;-87;0;1022.0;-29;-894;-12;0
?;?;5;1;-2;921.0;-93;-7;1024.0;-29;-887;-2;-7
481;4;5;7;4;926.0;-91;0;1006.0;-29;-893;4;0
477;4;5;10;-7;913.0;-91;-17;1031.0;-29;-893;-7;-17
?;0;5;3;18;911.0;-88;-9;1018.0;-29;?;18;-9
488;-3;5;1;48;933.0;-86;8;1035.0;-29;-895;48;8
487;-1;5;0;14;925.0;-87;?;993.0;-29;-892;14;-6
492;-1;?;-5;-18;919.0;-87;-8;1034.0;-29;-890;-18;-8
491;-1;5;-5;-16;904.0;-87;-10;1013.0;-29;-890;-16;?
491;-2;5;?;-18;922.0;-87;-13;1023.0;-29;-889;-18;-13
491;1;?;?;1;915.0;-89;13;1030.0;-29;?;1;13
485;0;5;3;?;924.0;?;?;986.0;-29;-894;-8;13
484;2;5;1;-26;?;-92;-21;1011.0;-29;-888;-26;-21
488;3;5;?;11;925.0;-95;-16;1023.0;-29;-888;11;-16
487;-2;5;-1;25;912.0;?;?;1040.0;-29;-890;25;?
?;1;5;-1;5;920.0;-92;-7;1019.0;-29;-889;?;-7
486;1;5;-2;11;932.0;-92;-16;1013.0;-29;-885;11;-16
485;3;5;0;9;917.0;-93;?;996.0;-29;-887;9;-21
489;2;5;-3;-15;?;-94;0;985.0;?;-886;-15;0
489;-10;?;-1;-28;923.0;?;-5;?;-29;-884;?;-5
485;-10;5;5;-46;928.0;-82;-39;1014.0;-29;-888;-46;-39
490;-6;5;2;-66;930.0;-88;-16;1014.0;-29;-889;-66;-16
?;-9;5;1;-67;909.0;?;-9;1011.0;-29;-891;-67;-9
492;2;5;-1;-59;915.0;-98;3;1005.0;?;-885;-59;3
496;?;?;?;-6;936.0;-118;21;?;?;-881;-6;21
500;12;5;-6;-3;907.0;-113;-1;1013.0;-29;-884;-3;-1
499;7;5;-5;-55;923.0;-108;9;1001.0;-29;-884;-55;9
498;11;5;?;27;?;-111;35;1015.0;-29;-886;27;35
502;0;5;-10;110;932.0;-99;48;1019.0;-29;-879;110;48
494;-10;5;-3;69;?;-84;25;1014.0;-29;-876;69;25
482;1;5;9;78;927.0;?;15;987.0;?;-883;78;15
490;3;5;2;104;918.0;-92;53;978.0;-29;-884;?;53
490;-14;4;5;69;917.0;-70;?;?;-29;-891;69;36
488;-12;4;4;56;926.0;-68;?;1003.0;-29;?;56;11
500;1;4;-12;44;933.0;-80;51;1024.0;-29;-880;44;51
500;1;4;-8;31;907.0;-78;27;1023.0;-29;-886;?;27
494;-5;4;3;18;898.0;?;-10;1010.0;-29;-895;18;-10
495;3;4;-2;-6;?;-77;21;967.0;-29;-892;-6;21
492;1;4;-1;2;916.0;-74;-10;950.0;?;-886;?;-10
492;-20;4;?;-10;?;-52;-54;?;-29;-887;-10;-54
498;6;4;-6;-16;894.0;-81;-27;1002.0;-29;-890;-16;-27
497;19;4;-13;?;904.0;-95;-5;1062.0;-29;-878;-2;-5
491;-10;4;-4;-26;931.0;?;-13;1061.0;-29;-876;-26;-13
485;-16;4;13;-69;942.0;-62;-30;1017.0;-29;-897;-69;-30
486;?;4;11;-80;944.0;-70;-32;999.0;-29;-897;-80;-32
495;9;4;-7;-48;990.0;-94;-13;964.0;-29;-882;-48;-13
500;11;4;?;-36;909.0;-100;-19;930.0;-29;-885;-36;-19
486;-8;4;6;-73;917.0;?;-52;983.0;-29;-885;?;-52
484;?;?;4;-56;951.0;-90;-44;999.0;-29;-879;-56;-44
498;8;4;-9;?;837.0;-102;-20;975.0;-29;-878;-16;-20
496;12;5;?;26;941.0;-106;?;1005.0;?;-879;?;-6
498;36;5;-5;133;?;-131;?;964.0;-29;-890;133;33
496;-2;4;-6;116;921.0;-85;39;947.0;-29;?;116;39
489;5;4;5;87;944.0;-84;47;946.0;-29;-898;87;47
486;-19;4;2;?;938.0;-58;35;949.0;-29;-883;77;35
487;-9;4;4;74;938.0;?;?;?;-29;-893;?;40
491;31;4;13;?;?;-105;136;966.0;-29;-928;144;136
?;-102;3;-13;-100;?;35;46;947.0;-29;-804;-100;46
458;188;?;2;-253;907.0;-257;-103;982.0;-29;-873;-253;-103
472;239;4;42;23;942.0;-314;-8;?;?;-988;23;-8
512;-104;4;-8;17;969.0;27;29;959.0;-30;-873;?;29
543;72;4;-52;-145;950.0;-160;-67;971.0;-30;-869;-145;-67
505;71;4;?;26;958.0;-156;-9;974.0;-30;-891;26;-9
480;-68;4;22;93;975.0;-8;55;946.0;-30;-881;?;55
488;-3;5;?;56;946.0;-91;18;1013.0;-30;-880;56;18
494;-2;?;1;66;943.0;-89;-27;981.0;-30;-883;66;?
497;2;5;-1;44;938.0;-92;-4;989.0;-30;-885;44;-4
497;9;5;-2;28;954.0;-97;?;994.0;-30;-886;28;21
491;2;5;2;41;939.0;-88;22;?;-30;-884;?;22
484;-17;?;12;25;931.0;-68;?;1021.0;-30;-887;25;16
489;-10;5;8;-17;933.0;-75;-10;1083.0;-30;-890;-17;-10
490;-6;5;1;?;952.0;-79;14;1046.0;-30;-882;-3;14
484;-13;5;9;16;932.0;?;24;978.0;-30;-886;?;24
?;?;4;1;-27;958.0;-80;-14;?;-30;-885;-27;-14
491;-3;?;-1;?;976.0;-78;?;923.0;-30;-882;-21;-12
?;6;4;7;?;940.0;-87;15;1007.0;-30;-891;47;?
487;15;5;1;75;930.0;-95;41;1011.0;-30;-890;75;41
?;?;5;1;60;984.0;-78;62;1004.0;-30;-891;60;62
493;20;4;-7;48;917.0;-99;36;986.0;-30;-891;?;36
486;-3;4;-3;73;921.0;-73;14;985.0;-29;-884;73;14
473;-36;4;16;60;930.0;-36;24;?;-29;-891;60;24
489;7;4;-5;?;944.0;-80;?;985.0;-29;-890;23;20
?;3;?;-12;44;?;-76;21;974.0;-29;-886;44;21
476;-23;4;14;40;934.0;-46;30;974.0;-29;-899;40;30
485;1;4;?;6;928.0;-71;24;948.0;-29;-899;?;24
492;-11;?;-9;-37;947.0;-61;-8;967.0;-29;-887;-37;-8
473;-1;4;13;-14;961.0;-68;-21;964.0;-29;-899;-14;-21
480;-5;4;5;-48;941.0;-66;-33;945.0;-29;?;-48;-33
489;-1;?;-6;-43;934.0;-73;-31;965.0;?;?;-43;-31
486;38;4;-3;0;929.0;-113;-5;966.0;-29;-898;0;-5
484;-81;4;7;-196;945.0;7;-36;994.0;-29;-883;-196;-36
423;-70;4;82;41;961.0;0;15;985.0;-29;-924;41;15
459;-57;4;57;143;966.0;?;49;?;-30;-931;143;49
?;?;4;-54;-250;950.0;21;-70;988.0;-30;-858;-250;-70
509;153;5;?;-77;936.0;-242;-59;?;-30;-876;-77;?
485;189;5;0;?;984.0;-278;43;985.0;-30;-909;143;43
496;-40;5;5;99;962.0;-40;27;944.0;-30;-888;99;27
481;-40;5;16;34;941.0;-35;-10;920.0;-30;-886;34;-10
491;28;5;0;-33;970.0;-105;8;868.0;-30;-889;-33;8
488;8;5;1;18;951.0;-85;9;773.0;-30;-886;18;9
?;-1;5;10;26;985.0;-75;8;408.0;-30;-890;26;8
488;-11;?;4;18;889.0;-65;21;1458.0;-30;-887;18;21
493;-7;5;-2;-8;936.0;-69;-23;1741.0;-30;-884;-8;-23
484;9;5;5;-1;925.0;?;-9;?;-30;-886;-1;-9
486;10;5;1;58;667.0;?;35;1149.0;-29;-883;58;?
495;0;5;-2;75;1204.0;-75;?;?;-29;-889;75;9
489;-12;5;5;51;2011.0;?;9;809.0;-29;-892;51;9
497;24;4;-10;8;448.0;?;7;991.0;-29;-886;8;?
490;16;4;-1;16;1379.0;-87;-3;1076.0;-29;?;?;-3
470;-23;4;?;19;?;-43;3;994.0;-29;-897;19;3
493;11;4;-3;21;939.0;-80;-1;1017.0;-29;?;21;-1
502;1;4;-11;54;833.0;-72;-10;1023.0;-29;-892;?;?
?;-37;4;18;-2;1103.0;-30;?;1012.0;-29;-884;-2;-20
476;24;4;7;-40;917.0;-94;-7;965.0;-29;-887;-40;-7
498;40;4;-13;59;993.0;-112;17;951.0;?;-890;59;17
493;4;4;?;155;937.0;?;63;959.0;-29;-883;?;63
489;8;4;-2;160;939.0;-70;91;?;-29;-885;160;91
?;3;3;-1;95;957.0;-58;61;994.0;-29;-890;95;61
491;12;3;-4;68;961.0;-64;80;983.0;-29;-887;68;80
?;17;3;-5;?;960.0;-68;113;995.0;-29;-884;97;113
492;15;3;-5;?;955.0;-65;27;1020.0;-29;-888;?;27
?;9;3;1;-30;963.0;-58;-46;1000.0;-29;-884;-30;-46
473;-14;3;13;-16;937.0;-34;-65;1008.0;-29;-882;-16;-65
483;-6;3;8;-97;971.0;-47;?;1021.0;-29;-892;-97;-71
500;21;3;-8;-70;929.0;-79;-24;978.0;-29;-897;-70;?
501;8;3;-6;-65;960.0;-69;-49;1009.0;-29;-899;?;-49
490;-7;3;3;-98;964.0;-57;-78;980.0;-29;-893;-98;-78
489;18;4;-3;-40;992.0;-85;-65;?;-29;-886;-40;?
500;?;4;-16;?;1000.0;-117;-3;1014.0;-29;-884;38;-3
494;9;4;-4;132;?;-76;?;982.0;-29;-886;132;80
483;-35;3;14;167;943.0;-24;45;959.0;-29;-891;167;45
495;23;3;-5;172;978.0;-77;79;997.0;-29;-890;172;79
492;29;3;-2;215;792.0;?;95;1000.0;-29;-896;215;95
473;-40;2;22;229;935.0;3;71;1041.0;?;-899;?;71
499;2;2;-9;123;1035.0;-37;?;1004.0;-29;-896;123;80
501;27;2;-12;146;846.0;-59;?;982.0;-29;-904;146;88
479;?;1;?;259;883.0;?;146;988.0;-29;-910;259;?
517;48;1;-30;157;953.0;-61;121;999.0;-29;-919;157;121
424;-55;0;50;252;935.0;60;222;979.0;-29;?;252;?
293;-194;0;150;5;908.0;217;?;982.0;-28;-831;5;94
438;?;0;7;-445;930.0;-38;-239;983.0;-29;-846;-445;-239
594;196;1;-103;-81;943.0;-224;-45;1002.0;-29;-921;-81;-45
?;8;1;-26;150;904.0;-29;117;996.0;-29;?;150;117
478;-27;?;12;0;?;15;-16;995.0;-29;-887;0;-16
499;25;1;-11;-18;948.0;-40;-24;985.0;-30;-888;-18;-24
498;-16;1;-7;-79;946.0;-1;-18;961.0;-30;?;-79;-18
