InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit RLA gyroX
-606.0;-144.0;-681.0;278.0;-384.0;55;705.0;39.0;?;-40.0;-72.0;-85.0;73.0
?;-141.0;-675.0;220.0;-374.0;?;705.0;-14.0;-102.0;202.0;-109.0;-71.0;79.0
-599.0;-136.0;-676.0;209.0;-364.0;55;707.0;-20.0;-95.0;212.0;-17.0;-63.0;97.0
-606.0;-138.0;-681.0;204.0;-361.0;55;708.0;?;-93.0;195.0;?;12.0;62.0
-608.0;-129.0;-681.0;218.0;-352.0;55;707.0;89.0;-83.0;170.0;-72.0;125.0;-78.0
-607.0;-135.0;-681.0;207.0;-332.0;55;710.0;46.0;-65.0;624.0;-41.0;259.0;-399.0
?;-159.0;-670.0;238.0;-299.0;55;705.0;50.0;-32.0;1114.0;90.0;384.0;-823.0
-600.0;-156.0;-657.0;228.0;-253.0;55;697.0;380.0;13.0;1673.0;168.0;391.0;-1399.0
-594.0;-214.0;-644.0;204.0;-198.0;55;?;382.0;68.0;2467.0;99.0;280.0;-1449.0
-579.0;-158.0;-628.0;265.0;?;55;673.0;-84.0;146.0;2839.0;-353.0;164.0;-1553.0
-554.0;?;-606.0;247.0;-21.0;55;653.0;-116.0;?;2201.0;-653.0;54.0;-2005.0
-514.0;?;-568.0;247.0;96.0;55;640.0;-12.0;?;2151.0;-1205.0;-60.0;-3296.0
-468.0;-168.0;-516.0;236.0;210.0;55;636.0;?;466.0;2755.0;-1662.0;-109.0;-3620.0
-415.0;-211.0;-465.0;225.0;?;55;633.0;196.0;?;3420.0;-2098.0;-285.0;-3290.0
?;-173.0;-410.0;220.0;445.0;55;634.0;246.0;634.0;3841.0;-2309.0;-369.0;-3440.0
-273.0;-237.0;-358.0;245.0;537.0;55;636.0;414.0;696.0;2071.0;-2932.0;-316.0;-2871.0
-188.0;-238.0;-304.0;245.0;600.0;55;?;-67.0;744.0;1936.0;-3119.0;-395.0;-2209.0
-104.0;-234.0;-251.0;249.0;653.0;55;646.0;-24.0;765.0;?;-2914.0;-416.0;-2507.0
-27.0;-247.0;-191.0;?;683.0;55;651.0;-295.0;774.0;2780.0;-3631.0;?;-2665.0
50.0;-352.0;-118.0;261.0;?;55;657.0;-404.0;771.0;2135.0;-3905.0;?;-2077.0
122.0;-196.0;-49.0;257.0;695.0;55;662.0;?;?;1166.0;-3554.0;-59.0;-1313.0
191.0;-163.0;22.0;?;689.0;55;665.0;-518.0;746.0;-330.0;-3218.0;58.0;-679.0
238.0;-218.0;73.0;220.0;686.0;55;668.0;-539.0;739.0;466.0;-2001.0;-71.0;-557.0
?;-311.0;102.0;210.0;?;55;668.0;-541.0;?;770.0;-933.0;-63.0;-752.0
278.0;-205.0;123.0;223.0;686.0;55;664.0;-437.0;736.0;187.0;?;-82.0;?
284.0;-278.0;139.0;267.0;686.0;55;661.0;-153.0;737.0;359.0;-42.0;-183.0;-14.0
?;-366.0;146.0;207.0;690.0;55;661.0;-93.0;731.0;405.0;15.0;-120.0;135.0
279.0;-272.0;150.0;211.0;691.0;55;660.0;43.0;732.0;-507.0;?;-18.0;?
286.0;-315.0;155.0;241.0;693.0;55;659.0;91.0;740.0;-519.0;-106.0;30.0;97.0
285.0;-299.0;155.0;244.0;694.0;55;659.0;-1.0;744.0;237.0;76.0;52.0;202.0
284.0;-287.0;155.0;241.0;693.0;55;658.0;37.0;746.0;302.0;67.0;-8.0;201.0
278.0;?;153.0;243.0;694.0;55;662.0;?;742.0;-247.0;3.0;-64.0;555.0
277.0;-295.0;149.0;245.0;697.0;55;664.0;62.0;743.0;?;50.0;-102.0;1244.0
278.0;-225.0;?;250.0;?;55;665.0;274.0;750.0;-1243.0;216.0;-159.0;1650.0
267.0;-185.0;126.0;207.0;700.0;55;666.0;564.0;755.0;-1203.0;595.0;-299.0;1565.0
248.0;-237.0;108.0;200.0;704.0;55;662.0;628.0;764.0;-1058.0;1106.0;-528.0;1786.0
?;-185.0;-670.0;265.0;-254.0;55;700.0;-80.0;-5.0;52.0;-72.0;76.0;93.0
-642.0;?;-673.0;237.0;?;55;700.0;-96.0;-4.0;68.0;-69.0;74.0;?
-644.0;-188.0;-673.0;241.0;-250.0;55;701.0;-99.0;0.0;-41.0;?;?;128.0
?;-195.0;-675.0;255.0;-245.0;55;699.0;-128.0;1.0;114.0;-18.0;103.0;77.0
-648.0;-193.0;-674.0;213.0;-238.0;55;700.0;-58.0;7.0;252.0;-9.0;113.0;31.0
-646.0;-189.0;-675.0;182.0;-235.0;55;701.0;-48.0;11.0;266.0;8.0;198.0;-35.0
-645.0;-200.0;-673.0;181.0;-224.0;55;700.0;-9.0;20.0;593.0;-152.0;234.0;-451.0
-638.0;-213.0;-666.0;218.0;-211.0;55;699.0;62.0;34.0;947.0;-308.0;328.0;-840.0
-630.0;-180.0;-655.0;245.0;-187.0;55;695.0;63.0;62.0;1289.0;-769.0;?;-1191.0
-612.0;-214.0;-638.0;247.0;-147.0;55;690.0;138.0;108.0;1926.0;-1319.0;378.0;-1599.0
-587.0;-215.0;-615.0;240.0;-100.0;55;686.0;64.0;175.0;2209.0;-1491.0;345.0;-2068.0
-550.0;-225.0;-582.0;249.0;-24.0;55;675.0;73.0;261.0;2752.0;-1983.0;144.0;-2620.0
-501.0;-243.0;-537.0;?;77.0;55;666.0;-8.0;360.0;3761.0;-2200.0;26.0;-3300.0
-432.0;-214.0;-475.0;210.0;205.0;?;657.0;?;480.0;3695.0;?;-103.0;-4034.0
-361.0;-262.0;-401.0;226.0;323.0;55;655.0;59.0;577.0;3557.0;-2895.0;?;-4497.0
-288.0;-187.0;-325.0;218.0;434.0;55;653.0;228.0;646.0;3644.0;-3140.0;-487.0;-4912.0
-203.0;-275.0;-249.0;248.0;524.0;55;654.0;327.0;709.0;2677.0;-3832.0;-443.0;-4562.0
-114.0;-289.0;-189.0;254.0;589.0;55;?;-60.0;751.0;3076.0;-4095.0;?;-3595.0
-23.0;?;-129.0;226.0;652.0;55;655.0;-289.0;774.0;4621.0;-3570.0;-456.0;-3333.0
59.0;-333.0;-72.0;234.0;?;55;655.0;-700.0;778.0;4215.0;-3916.0;-274.0;-3647.0
130.0;-247.0;-21.0;263.0;708.0;55;653.0;-797.0;771.0;3152.0;-3740.0;-109.0;-3141.0
191.0;-170.0;25.0;264.0;709.0;55;653.0;-1145.0;759.0;2200.0;-2828.0;-69.0;-2094.0
236.0;-156.0;58.0;251.0;701.0;55;649.0;-224.0;747.0;1844.0;-1601.0;-176.0;-1378.0
258.0;?;89.0;223.0;683.0;55;?;226.0;727.0;1233.0;-606.0;-413.0;-1166.0
279.0;-229.0;110.0;196.0;680.0;?;641.0;-80.0;722.0;-342.0;?;-360.0;?
298.0;-311.0;129.0;176.0;686.0;55;640.0;-298.0;730.0;-718.0;-304.0;-184.0;?
306.0;-253.0;?;158.0;688.0;55;641.0;-89.0;733.0;-592.0;127.0;21.0;731.0
307.0;-302.0;153.0;175.0;688.0;55;639.0;80.0;737.0;?;522.0;85.0;490.0
300.0;-284.0;?;243.0;688.0;55;640.0;108.0;736.0;?;?;5.0;350.0
289.0;?;153.0;263.0;690.0;55;640.0;222.0;738.0;288.0;447.0;34.0;446.0
282.0;-298.0;149.0;210.0;692.0;55;640.0;99.0;744.0;-143.0;264.0;38.0;494.0
277.0;-273.0;147.0;?;696.0;55;?;56.0;745.0;-510.0;89.0;14.0;775.0
268.0;-238.0;139.0;197.0;695.0;55;640.0;?;747.0;?;41.0;7.0;1232.0
254.0;-261.0;127.0;199.0;698.0;55;640.0;39.0;746.0;-908.0;?;-100.0;1368.0
237.0;-248.0;112.0;227.0;699.0;55;641.0;172.0;749.0;-1174.0;495.0;-197.0;1492.0
219.0;?;90.0;265.0;704.0;55;642.0;317.0;758.0;-1507.0;817.0;-207.0;2103.0
187.0;-275.0;67.0;213.0;704.0;55;643.0;445.0;765.0;-1478.0;1271.0;?;2673.0
-634.0;-218.0;?;236.0;-242.0;55;705.0;107.0;?;-355.0;?;124.0;-140.0
-635.0;-213.0;-679.0;171.0;-239.0;55;703.0;92.0;?;-207.0;-110.0;139.0;-160.0
-638.0;-216.0;-677.0;159.0;-235.0;?;700.0;101.0;34.0;254.0;-105.0;153.0;-163.0
-638.0;-207.0;-675.0;168.0;?;55;695.0;200.0;46.0;488.0;-223.0;?;-374.0
-636.0;-204.0;-670.0;177.0;-205.0;55;689.0;129.0;62.0;763.0;-310.0;192.0;-517.0
-630.0;-215.0;-663.0;173.0;-185.0;?;686.0;140.0;86.0;1139.0;-465.0;262.0;-846.0
-623.0;-212.0;-650.0;235.0;-157.0;55;677.0;144.0;117.0;1349.0;-850.0;256.0;-1540.0
-606.0;-203.0;-628.0;231.0;-123.0;55;671.0;24.0;?;1846.0;-1159.0;275.0;-2037.0
-586.0;?;-596.0;200.0;-73.0;55;663.0;?;240.0;2325.0;-1410.0;312.0;-2482.0
-550.0;-229.0;-554.0;206.0;?;55;657.0;56.0;317.0;2779.0;-1671.0;241.0;-3233.0
-506.0;-230.0;-500.0;212.0;56.0;55;652.0;13.0;396.0;3336.0;-1653.0;114.0;-3547.0
-441.0;-246.0;-443.0;190.0;149.0;55;652.0;140.0;483.0;4053.0;-1861.0;22.0;-3261.0
-365.0;-268.0;-382.0;189.0;258.0;55;652.0;167.0;567.0;4244.0;-2199.0;-126.0;-3524.0
-273.0;-267.0;-305.0;?;374.0;55;650.0;-1.0;651.0;4246.0;-2467.0;-316.0;-3950.0
-172.0;-287.0;-223.0;242.0;485.0;55;652.0;330.0;710.0;4902.0;-2416.0;-434.0;-4224.0
-76.0;-365.0;-142.0;231.0;581.0;55;657.0;?;747.0;4340.0;?;-477.0;-4616.0
26.0;-252.0;-57.0;?;641.0;55;?;217.0;?;3363.0;-4521.0;-576.0;?
123.0;-205.0;?;223.0;?;55;666.0;?;781.0;2506.0;-4688.0;-405.0;-3323.0
215.0;-135.0;94.0;256.0;689.0;55;?;?;775.0;1285.0;-4855.0;-154.0;-2817.0
287.0;-204.0;151.0;228.0;690.0;55;677.0;?;?;1082.0;-3568.0;-11.0;-2272.0
338.0;?;185.0;187.0;692.0;55;676.0;-1314.0;754.0;1241.0;-1744.0;-270.0;-1512.0
358.0;-504.0;209.0;179.0;692.0;55;668.0;226.0;740.0;1496.0;-184.0;-315.0;-830.0
?;-182.0;216.0;188.0;688.0;55;665.0;-124.0;732.0;763.0;?;?;-85.0
?;-259.0;218.0;192.0;?;55;662.0;-54.0;721.0;-355.0;560.0;-334.0;?
352.0;-321.0;220.0;212.0;680.0;55;661.0;-56.0;721.0;-725.0;424.0;-140.0;359.0
358.0;?;224.0;231.0;680.0;55;660.0;-50.0;737.0;-385.0;429.0;-8.0;115.0
353.0;-220.0;?;313.0;682.0;55;660.0;?;?;-240.0;434.0;78.0;528.0
348.0;-320.0;221.0;?;686.0;55;659.0;?;?;-177.0;335.0;69.0;?
343.0;-263.0;?;246.0;687.0;55;658.0;32.0;?;292.0;348.0;-17.0;-65.0
341.0;-251.0;?;183.0;690.0;55;660.0;88.0;743.0;?;175.0;29.0;87.0
341.0;?;220.0;158.0;692.0;55;659.0;?;748.0;-123.0;12.0;?;143.0
341.0;-251.0;221.0;?;693.0;55;658.0;-36.0;750.0;?;-36.0;34.0;91.0
338.0;-282.0;222.0;192.0;691.0;55;659.0;-69.0;750.0;167.0;-21.0;74.0;-26.0
338.0;-280.0;223.0;216.0;696.0;55;?;-126.0;747.0;?;-43.0;-19.0;25.0
332.0;-293.0;?;237.0;694.0;55;661.0;-52.0;749.0;20.0;47.0;-53.0;717.0
328.0;-282.0;205.0;228.0;694.0;55;?;23.0;752.0;-344.0;300.0;-128.0;?
319.0;-252.0;194.0;218.0;697.0;55;665.0;34.0;755.0;-118.0;727.0;-237.0;1275.0
-638.0;-208.0;?;227.0;-264.0;55;683.0;?;-26.0;-191.0;-159.0;121.0;209.0
-640.0;-205.0;-676.0;154.0;-258.0;?;682.0;-63.0;-22.0;?;-121.0;125.0;319.0
-640.0;-200.0;-679.0;190.0;-254.0;55;683.0;-108.0;-16.0;-161.0;-68.0;161.0;210.0
-645.0;-215.0;-681.0;185.0;?;55;684.0;-51.0;-12.0;-58.0;-80.0;163.0;?
-646.0;-208.0;-683.0;?;-242.0;55;681.0;?;?;9.0;-23.0;139.0;200.0
-644.0;-214.0;-683.0;164.0;-238.0;55;683.0;-1.0;0.0;-32.0;16.0;151.0;61.0
-644.0;-206.0;-683.0;216.0;-231.0;55;677.0;-16.0;8.0;-17.0;-64.0;220.0;15.0
-642.0;-198.0;-685.0;228.0;-223.0;55;673.0;-94.0;21.0;253.0;-237.0;209.0;-139.0
-640.0;-234.0;-681.0;?;-210.0;55;668.0;-56.0;38.0;416.0;-308.0;257.0;-559.0
?;-203.0;-675.0;166.0;-190.0;55;662.0;-136.0;59.0;571.0;-555.0;230.0;-616.0
-621.0;-210.0;-668.0;209.0;-167.0;55;655.0;-211.0;86.0;520.0;-875.0;227.0;-509.0
-607.0;-212.0;-660.0;212.0;-135.0;?;650.0;-297.0;124.0;789.0;-1402.0;132.0;-674.0
-590.0;-221.0;-651.0;249.0;-91.0;55;642.0;-233.0;175.0;?;-1320.0;189.0;-939.0
-568.0;-234.0;-638.0;?;-34.0;55;640.0;-74.0;244.0;?;-1430.0;149.0;-1311.0
-550.0;-226.0;-621.0;212.0;25.0;55;638.0;137.0;307.0;?;-1530.0;52.0;?
-527.0;-265.0;-605.0;191.0;97.0;?;635.0;359.0;364.0;1940.0;-1603.0;-1.0;-1665.0
-511.0;-262.0;-587.0;195.0;?;55;634.0;373.0;433.0;?;-1641.0;15.0;-1801.0
-493.0;-223.0;-574.0;?;302.0;55;635.0;237.0;501.0;2797.0;-1670.0;44.0;-1573.0
-478.0;-200.0;-569.0;218.0;408.0;55;632.0;397.0;?;1957.0;-1709.0;-51.0;-974.0
-464.0;-227.0;-568.0;235.0;492.0;55;632.0;?;?;1513.0;-1604.0;-87.0;-897.0
-449.0;-272.0;-567.0;206.0;560.0;55;629.0;158.0;654.0;1415.0;-1762.0;-71.0;-1225.0
-431.0;-236.0;-572.0;245.0;602.0;55;627.0;40.0;684.0;639.0;-1631.0;-19.0;-1123.0
?;-244.0;-587.0;210.0;617.0;55;627.0;118.0;703.0;662.0;-1971.0;?;-300.0
-388.0;?;-604.0;208.0;616.0;55;627.0;32.0;708.0;1317.0;-1737.0;80.0;185.0
-368.0;-225.0;-619.0;220.0;606.0;55;626.0;-221.0;711.0;763.0;-1289.0;84.0;28.0
-353.0;-256.0;-638.0;247.0;579.0;55;627.0;21.0;722.0;-676.0;-875.0;?;130.0
-346.0;-245.0;-654.0;237.0;531.0;55;625.0;36.0;722.0;-87.0;-717.0;62.0;348.0
-338.0;-200.0;?;234.0;486.0;55;?;-14.0;721.0;1041.0;-516.0;109.0;?
-332.0;-259.0;-689.0;217.0;421.0;55;623.0;-38.0;712.0;540.0;-755.0;232.0;564.0
-323.0;-284.0;-701.0;233.0;349.0;55;623.0;67.0;711.0;-957.0;-937.0;198.0;1149.0
-309.0;?;?;243.0;272.0;55;625.0;99.0;715.0;-1718.0;-635.0;235.0;1166.0
?;-235.0;-712.0;243.0;?;55;627.0;36.0;710.0;-1024.0;-244.0;189.0;420.0
?;-280.0;-727.0;?;117.0;55;627.0;156.0;706.0;-320.0;-96.0;229.0;-543.0
-335.0;-263.0;-741.0;232.0;41.0;55;626.0;55.0;?;352.0;156.0;302.0;-1291.0
-374.0;-246.0;-763.0;216.0;0.0;55;?;70.0;687.0;1177.0;783.0;290.0;-1972.0
-417.0;-230.0;-783.0;182.0;-19.0;55;629.0;63.0;675.0;1865.0;911.0;?;-2339.0
-470.0;-241.0;-797.0;193.0;-40.0;55;629.0;104.0;660.0;2278.0;?;65.0;-2255.0
-507.0;-265.0;-807.0;208.0;-48.0;55;626.0;?;642.0;2226.0;1419.0;101.0;-1924.0
-543.0;-285.0;?;?;-51.0;55;628.0;-44.0;626.0;1630.0;697.0;212.0;-1503.0
-563.0;-272.0;?;199.0;?;55;628.0;-110.0;607.0;1076.0;1206.0;197.0;-1080.0
-576.0;-282.0;-815.0;228.0;-57.0;55;627.0;-137.0;590.0;1077.0;1592.0;185.0;?
-585.0;?;-813.0;?;-55.0;55;629.0;-150.0;571.0;1125.0;1502.0;154.0;?
-593.0;-259.0;-815.0;229.0;-48.0;55;629.0;-188.0;551.0;963.0;1339.0;179.0;-589.0
-598.0;-276.0;-815.0;211.0;-37.0;55;630.0;-189.0;527.0;1054.0;1275.0;155.0;-300.0
-599.0;-279.0;?;198.0;-18.0;55;631.0;-170.0;509.0;1451.0;1057.0;138.0;-127.0
-600.0;-286.0;-816.0;217.0;6.0;55;632.0;-121.0;496.0;1867.0;?;95.0;-93.0
-598.0;-287.0;-819.0;229.0;42.0;55;632.0;-183.0;?;1799.0;1071.0;54.0;?
-595.0;-255.0;-821.0;228.0;82.0;55;634.0;-236.0;470.0;1686.0;484.0;126.0;113.0
-590.0;-271.0;-825.0;222.0;123.0;55;633.0;-89.0;456.0;1427.0;289.0;85.0;239.0
