Accelerometer HIP accZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az
-94.0;-11;-714.0;-963.0;-940.0;11;-23
-140.0;-34;-888.0;-887.0;-875.0;34;-16
-106.0;5;-932.0;-867.0;-881.0;-5;-18
132.0;-28;-858.0;-986.0;-948.0;28;-21
198.0;119;-968.0;-981.0;-982.0;-119;-37
39.0;3;-942.0;-956.0;-895.0;-3;-21
-35.0;-5171;-1098.0;-1071.0;-1031.0;5171;-109
-69.0;-12;-970.0;-919.0;-822.0;12;-20
0.0;-2;-954.0;-889.0;-971.0;2;-24
-49.0;-56;-917.0;-804.0;-763.0;56;-22
-202.0;-33;-190.0;-881.0;-886.0;33;-17
38.0;-8;-903.0;-932.0;-951.0;8;-22
68.0;149;-822.0;-866.0;-850.0;-149;5
-69.0;11;-953.0;-795.0;-717.0;-11;-16
36.0;-9;-703.0;-829.0;-924.0;9;-8
150.0;15;-843.0;-985.0;-944.0;-15;-20
22.0;1;-959.0;-682.0;-609.0;-1;-21
-78.0;-1830;-875.0;-915.0;-974.0;1830;171
-7.0;-90;-864.0;-831.0;-956.0;90;-16
-2.0;1;-958.0;-859.0;-743.0;-1;-16
68.0;-31;-944.0;-872.0;-859.0;31;-19
-144.0;-877;-868.0;-975.0;-982.0;877;119
48.0;-20;-964.0;-990.0;-982.0;20;-19
