InertialMeasurementUnit RLA Quaternion1;Accelerometer RWR accZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit RLA accY;Accelerometer RUA_ accZ
440.0;-188.0;174.0;-626.0;557.0;454.0;476.0
418.0;?;?;-400.0;?;146.0;?
407.0;18.0;526.0;-145.0;218.0;-103.0;430.0
388.0;367.0;72.0;-262.0;?;-98.0;?
363.0;-154.0;317.0;-59.0;5.0;-455.0;292.0
351.0;295.0;157.0;?;65.0;-210.0;191.0
339.0;630.0;222.0;122.0;-60.0;-79.0;238.0
338.0;703.0;210.0;266.0;-46.0;-167.0;239.0
347.0;432.0;187.0;475.0;84.0;-238.0;250.0
841.0;-540.0;67.0;-45.0;554.0;-192.0;?
843.0;-612.0;118.0;-144.0;635.0;-219.0;633.0
847.0;-644.0;198.0;-306.0;673.0;-232.0;663.0
852.0;-669.0;302.0;?;763.0;-218.0;717.0
855.0;-766.0;405.0;?;923.0;-227.0;779.0
856.0;-1045.0;490.0;-1507.0;956.0;-216.0;?
856.0;-784.0;?;-2113.0;858.0;-178.0;920.0
854.0;-813.0;376.0;-2766.0;768.0;?;887.0
?;-823.0;?;-2944.0;?;-168.0;825.0
841.0;-651.0;230.0;?;766.0;-154.0;811.0
826.0;-712.0;183.0;?;729.0;-87.0;?
805.0;-871.0;105.0;-3501.0;862.0;-61.0;783.0
774.0;-994.0;31.0;-3497.0;923.0;-24.0;?
732.0;?;-14.0;-3546.0;947.0;78.0;?
679.0;-1219.0;-84.0;-3376.0;1018.0;138.0;823.0
612.0;-1248.0;?;-3222.0;1003.0;220.0;?
534.0;-1131.0;-81.0;-3016.0;936.0;459.0;864.0
456.0;-759.0;-124.0;-2652.0;917.0;614.0;899.0
382.0;-519.0;-157.0;-2339.0;870.0;?;913.0
308.0;-205.0;-115.0;-2081.0;687.0;971.0;881.0
237.0;-64.0;-133.0;-1750.0;583.0;843.0;833.0
175.0;34.0;-144.0;-1216.0;396.0;793.0;744.0
129.0;265.0;-118.0;?;34.0;798.0;671.0
106.0;?;-181.0;-726.0;-98.0;?;482.0
95.0;1062.0;?;-262.0;?;755.0;415.0
90.0;787.0;-127.0;79.0;35.0;797.0;491.0
93.0;427.0;?;384.0;213.0;?;520.0
101.0;153.0;-150.0;534.0;318.0;587.0;538.0
111.0;59.0;-106.0;414.0;343.0;512.0;548.0
121.0;47.0;?;291.0;343.0;472.0;562.0
?;91.0;-15.0;249.0;289.0;468.0;585.0
152.0;242.0;-7.0;241.0;297.0;497.0;603.0
171.0;295.0;-118.0;318.0;274.0;517.0;?
193.0;296.0;-221.0;322.0;241.0;522.0;522.0
219.0;278.0;-255.0;474.0;192.0;561.0;458.0
?;270.0;-341.0;676.0;177.0;616.0;442.0
?;-399.0;16.0;-242.0;504.0;-155.0;?
798.0;-456.0;44.0;-292.0;496.0;-142.0;?
801.0;-439.0;63.0;-290.0;507.0;-136.0;?
804.0;?;69.0;-379.0;520.0;-113.0;575.0
808.0;-444.0;?;-635.0;?;-108.0;596.0
?;-536.0;219.0;-1062.0;728.0;-205.0;696.0
815.0;-840.0;308.0;-1731.0;865.0;-204.0;754.0
815.0;-879.0;560.0;-2352.0;896.0;-145.0;852.0
816.0;-1029.0;533.0;-2907.0;915.0;?;935.0
811.0;-1051.0;444.0;?;1089.0;-160.0;883.0
797.0;-966.0;336.0;-3777.0;1065.0;96.0;899.0
770.0;-1003.0;182.0;-4192.0;945.0;182.0;870.0
?;-957.0;?;?;979.0;158.0;?
674.0;-928.0;-168.0;-4165.0;1010.0;352.0;931.0
600.0;-934.0;-266.0;-3943.0;932.0;704.0;940.0
520.0;-781.0;-174.0;-3879.0;934.0;948.0;911.0
436.0;-351.0;?;-3273.0;?;1236.0;959.0
351.0;?;-265.0;?;762.0;1496.0;954.0
274.0;121.0;-252.0;-2359.0;635.0;1373.0;819.0
204.0;205.0;?;-1924.0;?;1232.0;761.0
150.0;502.0;-136.0;-1612.0;223.0;1097.0;?
110.0;771.0;-131.0;-1092.0;58.0;961.0;544.0
?;971.0;-138.0;?;-91.0;913.0;512.0
66.0;898.0;?;?;-97.0;788.0;401.0
58.0;580.0;-98.0;-355.0;107.0;661.0;391.0
57.0;345.0;63.0;-15.0;244.0;635.0;478.0
61.0;319.0;34.0;164.0;331.0;571.0;593.0
66.0;182.0;47.0;119.0;382.0;602.0;590.0
73.0;113.0;119.0;65.0;?;564.0;642.0
80.0;61.0;66.0;23.0;?;564.0;638.0
89.0;22.0;?;2.0;361.0;519.0;638.0
100.0;109.0;?;38.0;237.0;539.0;?
118.0;286.0;-103.0;287.0;?;591.0;500.0
142.0;549.0;-163.0;608.0;54.0;717.0;441.0
170.0;683.0;-303.0;1082.0;-13.0;798.0;387.0
201.0;613.0;-495.0;1840.0;?;?;309.0
?;-392.0;129.0;62.0;598.0;-81.0;681.0
844.0;-372.0;153.0;?;?;-84.0;621.0
845.0;-440.0;168.0;-81.0;598.0;-78.0;641.0
845.0;-423.0;185.0;-108.0;604.0;-82.0;662.0
846.0;-431.0;220.0;-169.0;589.0;-87.0;682.0
848.0;-367.0;259.0;-301.0;743.0;-92.0;712.0
849.0;-515.0;381.0;-561.0;817.0;-84.0;776.0
850.0;-732.0;466.0;-804.0;916.0;-107.0;850.0
847.0;-876.0;484.0;-1475.0;940.0;-149.0;911.0
841.0;-979.0;511.0;-2591.0;915.0;-176.0;909.0
830.0;-1148.0;452.0;-3312.0;927.0;-143.0;896.0
809.0;-947.0;289.0;-3644.0;?;-100.0;884.0
772.0;-894.0;130.0;-4137.0;946.0;71.0;952.0
717.0;-850.0;-24.0;-4433.0;845.0;242.0;892.0
644.0;-979.0;-181.0;-4440.0;996.0;454.0;848.0
555.0;-947.0;-191.0;-4259.0;1005.0;826.0;889.0
458.0;-817.0;-203.0;-4155.0;1164.0;986.0;?
360.0;-680.0;-265.0;-3802.0;1120.0;1234.0;1109.0
265.0;-453.0;-327.0;-3123.0;956.0;1462.0;1086.0
175.0;-127.0;?;-2772.0;?;1561.0;1017.0
100.0;40.0;-134.0;?;669.0;1373.0;974.0
45.0;281.0;?;-1963.0;443.0;?;?
?;565.0;-121.0;-1431.0;260.0;1017.0;?
-13.0;695.0;-358.0;-777.0;122.0;870.0;644.0
-28.0;466.0;-350.0;-150.0;102.0;?;458.0
-29.0;504.0;-97.0;170.0;173.0;544.0;472.0
-18.0;585.0;52.0;343.0;288.0;549.0;601.0
-5.0;343.0;154.0;279.0;528.0;630.0;731.0
10.0;-25.0;?;275.0;586.0;555.0;822.0
27.0;-413.0;194.0;203.0;671.0;385.0;839.0
43.0;-370.0;126.0;123.0;647.0;263.0;803.0
57.0;-310.0;161.0;118.0;511.0;285.0;768.0
78.0;18.0;166.0;137.0;465.0;421.0;763.0
104.0;273.0;-38.0;?;428.0;587.0;710.0
136.0;218.0;-130.0;786.0;273.0;679.0;664.0
176.0;347.0;-262.0;1176.0;273.0;?;569.0
223.0;423.0;-302.0;1685.0;215.0;811.0;559.0
857.0;?;179.0;-80.0;595.0;-20.0;734.0
?;-386.0;178.0;-210.0;623.0;-25.0;748.0
861.0;?;174.0;-372.0;731.0;-29.0;756.0
861.0;-683.0;201.0;?;822.0;-40.0;777.0
858.0;-959.0;?;-788.0;796.0;-48.0;798.0
853.0;-568.0;387.0;-1234.0;798.0;53.0;820.0
847.0;-808.0;?;?;969.0;55.0;875.0
838.0;-916.0;494.0;-2467.0;1030.0;-78.0;?
823.0;-825.0;446.0;-3133.0;981.0;-69.0;1012.0
800.0;-927.0;347.0;?;?;-31.0;1002.0
766.0;-1006.0;240.0;?;963.0;?;981.0
721.0;-1138.0;58.0;-3965.0;1004.0;158.0;1001.0
660.0;-1117.0;-103.0;-4312.0;1036.0;412.0;965.0
584.0;-976.0;-193.0;-4170.0;1087.0;727.0;993.0
496.0;-856.0;-285.0;-3619.0;?;933.0;992.0
399.0;-755.0;-334.0;-3221.0;910.0;1092.0;924.0
299.0;-466.0;?;-3318.0;870.0;1166.0;941.0
209.0;-319.0;-211.0;?;?;1225.0;923.0
130.0;19.0;-243.0;-2405.0;557.0;1318.0;803.0
66.0;323.0;-207.0;-1867.0;156.0;1167.0;?
?;712.0;-290.0;-1280.0;?;1057.0;546.0
-2.0;?;?;-939.0;?;897.0;?
-9.0;854.0;?;-252.0;-124.0;780.0;291.0
?;613.0;-276.0;361.0;265.0;649.0;365.0
-1.0;500.0;-117.0;561.0;369.0;617.0;535.0
?;133.0;87.0;449.0;412.0;584.0;635.0
17.0;78.0;?;284.0;505.0;460.0;745.0
25.0;-193.0;?;149.0;?;531.0;758.0
29.0;-166.0;154.0;86.0;597.0;493.0;716.0
34.0;-265.0;105.0;54.0;616.0;396.0;808.0
?;-298.0;?;-93.0;559.0;371.0;774.0
42.0;-168.0;136.0;-79.0;570.0;357.0;755.0
45.0;-76.0;99.0;-162.0;492.0;384.0;777.0
49.0;-114.0;74.0;-158.0;?;427.0;681.0
?;227.0;-26.0;17.0;240.0;525.0;?
85.0;536.0;-215.0;274.0;186.0;680.0;559.0
113.0;498.0;-362.0;771.0;33.0;829.0;466.0
821.0;-256.0;148.0;-37.0;587.0;54.0;698.0
821.0;-288.0;155.0;-30.0;585.0;39.0;708.0
822.0;-337.0;186.0;-63.0;592.0;69.0;724.0
823.0;-227.0;198.0;-84.0;572.0;69.0;741.0
825.0;-330.0;168.0;-117.0;604.0;?;708.0
827.0;-319.0;187.0;-150.0;638.0;105.0;732.0
829.0;-358.0;251.0;-207.0;?;75.0;761.0
830.0;-401.0;247.0;-327.0;734.0;48.0;799.0
829.0;-559.0;313.0;-513.0;776.0;25.0;780.0
827.0;-618.0;287.0;-723.0;769.0;-21.0;810.0
821.0;-615.0;239.0;-1028.0;770.0;13.0;791.0
?;-414.0;300.0;?;691.0;33.0;831.0
802.0;-394.0;279.0;-2011.0;627.0;119.0;788.0
789.0;-377.0;213.0;-2215.0;583.0;166.0;763.0
772.0;-307.0;125.0;-2099.0;580.0;143.0;764.0
749.0;-404.0;74.0;-2246.0;556.0;195.0;725.0
720.0;-534.0;96.0;-2529.0;489.0;304.0;689.0
686.0;-611.0;44.0;-2650.0;535.0;238.0;697.0
641.0;-510.0;-43.0;-2509.0;662.0;292.0;?
582.0;-425.0;-20.0;?;708.0;518.0;769.0
518.0;-412.0;102.0;-2114.0;655.0;?;747.0
456.0;-409.0;?;?;766.0;784.0;899.0
395.0;-228.0;154.0;-1797.0;865.0;840.0;?
334.0;-262.0;126.0;-1412.0;786.0;853.0;984.0
281.0;-255.0;242.0;-1214.0;726.0;?;911.0
231.0;-165.0;?;-830.0;662.0;820.0;869.0
181.0;-238.0;149.0;-485.0;635.0;?;865.0
134.0;-265.0;248.0;?;676.0;866.0;764.0
92.0;-213.0;272.0;-93.0;706.0;786.0;740.0
52.0;-22.0;305.0;-80.0;670.0;699.0;751.0
21.0;109.0;349.0;73.0;644.0;739.0;687.0
4.0;174.0;362.0;182.0;?;?;611.0
6.0;279.0;333.0;226.0;430.0;720.0;578.0
22.0;275.0;311.0;127.0;349.0;602.0;445.0
50.0;244.0;286.0;77.0;346.0;599.0;416.0
85.0;33.0;?;267.0;?;476.0;398.0
119.0;-25.0;179.0;?;?;348.0;428.0
150.0;-135.0;230.0;538.0;622.0;294.0;496.0
176.0;-179.0;268.0;707.0;608.0;200.0;529.0
194.0;-196.0;255.0;?;581.0;173.0;506.0
210.0;-174.0;?;886.0;558.0;225.0;445.0
225.0;-39.0;283.0;?;495.0;180.0;371.0
?;6.0;294.0;959.0;442.0;142.0;319.0
242.0;4.0;?;940.0;390.0;153.0;322.0
247.0;87.0;193.0;837.0;384.0;?;312.0
250.0;91.0;159.0;792.0;368.0;?;278.0
252.0;101.0;207.0;?;360.0;236.0;274.0
252.0;49.0;242.0;539.0;352.0;214.0;245.0
250.0;94.0;181.0;479.0;356.0;218.0;275.0
249.0;-35.0;153.0;239.0;362.0;?;293.0
248.0;31.0;164.0;45.0;354.0;285.0;?
245.0;33.0;158.0;-4.0;338.0;252.0;292.0
242.0;80.0;150.0;-23.0;325.0;303.0;293.0
?;72.0;136.0;-29.0;299.0;327.0;247.0
237.0;?;131.0;-46.0;278.0;347.0;238.0
236.0;109.0;106.0;-48.0;274.0;350.0;241.0
234.0;175.0;111.0;-57.0;266.0;346.0;239.0
233.0;176.0;116.0;-66.0;257.0;357.0;240.0
232.0;160.0;120.0;-42.0;255.0;361.0;?
232.0;?;135.0;?;255.0;351.0;?
232.0;129.0;145.0;-78.0;248.0;329.0;219.0
232.0;?;146.0;?;243.0;?;219.0
232.0;105.0;148.0;-149.0;234.0;282.0;206.0
230.0;181.0;147.0;-167.0;230.0;272.0;196.0
?;114.0;159.0;-254.0;228.0;275.0;190.0
225.0;139.0;173.0;-278.0;230.0;293.0;?
?;?;175.0;-253.0;225.0;?;168.0
218.0;86.0;185.0;-208.0;229.0;294.0;199.0
214.0;75.0;192.0;-213.0;234.0;292.0;189.0
210.0;159.0;199.0;-181.0;239.0;274.0;207.0
205.0;62.0;209.0;-142.0;247.0;272.0;201.0
198.0;?;227.0;-167.0;267.0;275.0;218.0
189.0;?;245.0;-234.0;289.0;284.0;219.0
178.0;79.0;268.0;?;306.0;281.0;259.0
167.0;10.0;299.0;?;305.0;275.0;250.0
157.0;13.0;290.0;-195.0;?;?;248.0
147.0;52.0;269.0;-199.0;269.0;268.0;216.0
138.0;46.0;277.0;-161.0;242.0;262.0;207.0
129.0;138.0;284.0;-120.0;?;236.0;186.0
118.0;107.0;305.0;?;232.0;245.0;192.0
111.0;?;328.0;-81.0;227.0;257.0;186.0
?;?;338.0;?;225.0;227.0;175.0
98.0;103.0;336.0;-134.0;237.0;209.0;168.0
90.0;62.0;329.0;-133.0;235.0;?;171.0
84.0;17.0;323.0;-138.0;233.0;196.0;163.0
78.0;108.0;?;-129.0;239.0;196.0;164.0
73.0;93.0;326.0;-121.0;239.0;221.0;?
69.0;84.0;329.0;-125.0;239.0;225.0;182.0
?;96.0;332.0;-117.0;231.0;215.0;179.0
65.0;126.0;333.0;-113.0;242.0;224.0;180.0
65.0;59.0;333.0;-82.0;255.0;215.0;170.0
65.0;10.0;342.0;-74.0;269.0;?;?
?;-43.0;340.0;-66.0;279.0;182.0;174.0
62.0;7.0;334.0;-50.0;279.0;?;205.0
113.0;74.0;240.0;15.0;209.0;267.0;177.0
114.0;74.0;?;12.0;214.0;?;177.0
116.0;118.0;251.0;19.0;215.0;251.0;?
119.0;122.0;?;-23.0;?;252.0;188.0
120.0;?;?;-11.0;224.0;237.0;181.0
121.0;65.0;246.0;-38.0;227.0;230.0;189.0
120.0;38.0;247.0;?;223.0;230.0;?
119.0;63.0;244.0;-32.0;234.0;252.0;199.0
117.0;-36.0;249.0;-38.0;226.0;235.0;199.0
114.0;119.0;244.0;-53.0;224.0;228.0;179.0
111.0;?;246.0;-59.0;223.0;213.0;167.0
108.0;66.0;259.0;-30.0;218.0;214.0;161.0
?;9.0;280.0;-24.0;?;205.0;158.0
101.0;117.0;289.0;?;224.0;197.0;181.0
96.0;44.0;290.0;-10.0;222.0;181.0;161.0
89.0;39.0;288.0;-3.0;?;162.0;?
82.0;36.0;297.0;29.0;230.0;152.0;183.0
73.0;?;311.0;3.0;228.0;154.0;202.0
?;40.0;314.0;-12.0;226.0;155.0;172.0
54.0;-10.0;319.0;-62.0;231.0;167.0;162.0
43.0;63.0;319.0;-68.0;205.0;?;196.0
32.0;-61.0;321.0;-101.0;260.0;?;185.0
24.0;-2.0;334.0;-84.0;286.0;204.0;246.0
15.0;50.0;359.0;-107.0;281.0;195.0;240.0
8.0;-12.0;361.0;-107.0;272.0;192.0;?
-1.0;-1.0;?;?;259.0;173.0;256.0
-8.0;-3.0;337.0;-70.0;277.0;211.0;230.0
-14.0;?;347.0;-34.0;297.0;237.0;244.0
-17.0;-1.0;357.0;-54.0;311.0;246.0;269.0
-17.0;?;354.0;-75.0;315.0;270.0;294.0
-14.0;?;344.0;-50.0;313.0;284.0;284.0
-9.0;-20.0;354.0;-25.0;322.0;267.0;280.0
0.0;21.0;379.0;2.0;318.0;249.0;?
11.0;33.0;366.0;32.0;314.0;216.0;254.0
22.0;24.0;337.0;36.0;283.0;201.0;227.0
31.0;?;307.0;76.0;212.0;172.0;230.0
34.0;-9.0;213.0;14.0;127.0;-2.0;170.0
16.0;-44.0;?;-184.0;115.0;-244.0;119.0
4.0;60.0;163.0;89.0;222.0;421.0;104.0
9.0;315.0;?;120.0;136.0;558.0;?
19.0;513.0;459.0;?;44.0;-61.0;-32.0
27.0;298.0;377.0;-240.0;196.0;?;20.0
38.0;70.0;149.0;-278.0;155.0;242.0;91.0
47.0;?;35.0;?;137.0;210.0;122.0
56.0;-6.0;152.0;100.0;156.0;273.0;?
?;?;319.0;200.0;190.0;237.0;154.0
82.0;161.0;318.0;?;195.0;100.0;126.0
91.0;132.0;243.0;117.0;215.0;99.0;117.0
?;-29.0;184.0;79.0;199.0;119.0;107.0
94.0;?;212.0;143.0;?;152.0;124.0
94.0;?;233.0;137.0;223.0;162.0;165.0
92.0;74.0;230.0;104.0;221.0;178.0;176.0
90.0;39.0;223.0;70.0;200.0;203.0;170.0
?;51.0;?;33.0;195.0;231.0;153.0
85.0;113.0;239.0;62.0;?;214.0;159.0
81.0;66.0;233.0;68.0;208.0;228.0;170.0
79.0;91.0;?;20.0;217.0;240.0;211.0
78.0;137.0;242.0;?;224.0;250.0;?
77.0;77.0;225.0;26.0;224.0;233.0;208.0
74.0;119.0;216.0;14.0;230.0;255.0;186.0
72.0;168.0;244.0;22.0;232.0;276.0;197.0
72.0;142.0;275.0;?;234.0;273.0;209.0
73.0;126.0;278.0;-49.0;263.0;260.0;199.0
74.0;31.0;?;-17.0;267.0;240.0;223.0
74.0;37.0;269.0;?;271.0;225.0;?
73.0;-16.0;271.0;?;278.0;234.0;243.0
75.0;46.0;278.0;53.0;260.0;226.0;246.0
76.0;61.0;285.0;-11.0;249.0;?;?
75.0;86.0;278.0;-16.0;242.0;172.0;?
73.0;68.0;289.0;1.0;227.0;186.0;168.0
?;82.0;311.0;-34.0;219.0;186.0;180.0
70.0;44.0;316.0;-55.0;233.0;171.0;189.0
67.0;35.0;310.0;-92.0;240.0;147.0;219.0
65.0;12.0;314.0;-100.0;236.0;135.0;188.0
61.0;80.0;?;-102.0;244.0;141.0;?
55.0;43.0;339.0;-77.0;248.0;122.0;176.0
48.0;80.0;340.0;?;255.0;100.0;185.0
39.0;-17.0;331.0;?;279.0;137.0;187.0
30.0;87.0;325.0;-25.0;287.0;194.0;204.0
22.0;20.0;346.0;26.0;280.0;213.0;245.0
18.0;72.0;361.0;75.0;270.0;215.0;242.0
16.0;40.0;351.0;66.0;273.0;225.0;218.0
16.0;48.0;343.0;54.0;270.0;224.0;235.0
69.0;108.0;244.0;?;244.0;224.0;210.0
70.0;35.0;252.0;?;235.0;216.0;?
71.0;37.0;258.0;-4.0;235.0;212.0;202.0
72.0;136.0;252.0;-31.0;240.0;211.0;206.0
73.0;?;248.0;-27.0;235.0;211.0;176.0
74.0;?;245.0;-14.0;231.0;228.0;203.0
75.0;51.0;258.0;-33.0;235.0;230.0;214.0
76.0;105.0;250.0;-24.0;230.0;211.0;199.0
76.0;170.0;240.0;-54.0;?;211.0;194.0
75.0;56.0;242.0;-52.0;232.0;231.0;203.0
75.0;115.0;249.0;-25.0;246.0;244.0;?
74.0;28.0;259.0;-18.0;244.0;236.0;210.0
75.0;108.0;265.0;-6.0;252.0;240.0;217.0
76.0;18.0;270.0;?;264.0;239.0;228.0
77.0;21.0;268.0;29.0;267.0;234.0;231.0
78.0;114.0;?;37.0;267.0;232.0;230.0
79.0;21.0;286.0;10.0;270.0;220.0;220.0
80.0;79.0;285.0;35.0;280.0;201.0;211.0
80.0;88.0;?;56.0;278.0;190.0;?
80.0;-7.0;?;37.0;279.0;179.0;233.0
78.0;43.0;298.0;18.0;?;178.0;247.0
76.0;29.0;290.0;?;263.0;176.0;230.0
73.0;33.0;286.0;16.0;252.0;185.0;235.0
70.0;112.0;?;16.0;242.0;?;200.0
?;42.0;297.0;2.0;235.0;215.0;207.0
66.0;?;301.0;-19.0;249.0;211.0;235.0
64.0;?;297.0;-11.0;262.0;221.0;227.0
63.0;41.0;302.0;-41.0;268.0;232.0;230.0
64.0;68.0;311.0;-16.0;280.0;212.0;244.0
64.0;34.0;312.0;-68.0;285.0;222.0;236.0
66.0;74.0;325.0;-13.0;278.0;211.0;259.0
69.0;?;349.0;-60.0;251.0;210.0;242.0
72.0;77.0;281.0;-23.0;208.0;126.0;201.0
71.0;-35.0;123.0;117.0;?;80.0;160.0
68.0;106.0;70.0;?;94.0;209.0;156.0
66.0;309.0;164.0;6.0;213.0;552.0;161.0
72.0;480.0;400.0;43.0;230.0;577.0;187.0
81.0;393.0;419.0;-47.0;131.0;199.0;115.0
89.0;115.0;260.0;-335.0;244.0;196.0;185.0
96.0;-97.0;116.0;-298.0;299.0;195.0;199.0
95.0;-172.0;126.0;-104.0;258.0;146.0;199.0
91.0;-39.0;?;48.0;?;224.0;220.0
91.0;125.0;313.0;?;289.0;?;284.0
91.0;?;256.0;127.0;266.0;274.0;?
92.0;155.0;?;90.0;218.0;?;?
93.0;?;197.0;47.0;194.0;304.0;173.0
95.0;219.0;207.0;67.0;?;301.0;188.0
97.0;205.0;222.0;57.0;189.0;293.0;181.0
102.0;198.0;232.0;35.0;178.0;289.0;180.0
108.0;151.0;?;34.0;184.0;263.0;151.0
?;118.0;234.0;16.0;187.0;?;181.0
115.0;130.0;221.0;24.0;195.0;216.0;?
116.0;56.0;212.0;67.0;?;229.0;174.0
117.0;109.0;217.0;51.0;229.0;244.0;197.0
117.0;127.0;230.0;59.0;252.0;256.0;211.0
118.0;81.0;217.0;52.0;277.0;269.0;235.0
117.0;131.0;205.0;41.0;266.0;283.0;236.0
116.0;?;?;42.0;258.0;295.0;203.0
115.0;65.0;214.0;52.0;259.0;313.0;250.0
115.0;158.0;226.0;12.0;254.0;335.0;255.0
117.0;178.0;211.0;2.0;237.0;?;237.0
119.0;123.0;205.0;-10.0;229.0;306.0;211.0
120.0;147.0;213.0;?;220.0;288.0;227.0
122.0;153.0;215.0;11.0;217.0;296.0;213.0
124.0;104.0;211.0;5.0;211.0;293.0;200.0
125.0;160.0;216.0;-4.0;225.0;?;210.0
124.0;83.0;203.0;-23.0;221.0;282.0;224.0
125.0;149.0;196.0;?;227.0;300.0;261.0
126.0;149.0;206.0;-60.0;235.0;?;230.0
127.0;101.0;211.0;?;232.0;299.0;?
129.0;120.0;202.0;-60.0;?;302.0;?
129.0;143.0;198.0;-21.0;233.0;299.0;222.0
129.0;?;202.0;-18.0;237.0;310.0;217.0
129.0;122.0;?;-6.0;?;315.0;227.0
?;?;256.0;-38.0;255.0;292.0;227.0
129.0;81.0;252.0;-90.0;251.0;263.0;240.0
128.0;16.0;237.0;-102.0;260.0;235.0;224.0
125.0;116.0;240.0;-94.0;?;213.0;228.0
119.0;87.0;261.0;?;244.0;196.0;214.0
111.0;71.0;287.0;-99.0;241.0;198.0;209.0
103.0;100.0;?;-76.0;239.0;227.0;210.0
94.0;?;293.0;?;226.0;252.0;210.0
87.0;67.0;282.0;-133.0;224.0;279.0;212.0
82.0;137.0;284.0;-167.0;207.0;285.0;?
79.0;162.0;292.0;-203.0;186.0;256.0;202.0
75.0;86.0;154.0;-126.0;179.0;155.0;186.0
63.0;-28.0;95.0;-50.0;?;?;126.0
51.0;100.0;112.0;-80.0;52.0;233.0;124.0
44.0;274.0;175.0;121.0;208.0;559.0;182.0
47.0;408.0;447.0;123.0;295.0;604.0;188.0
50.0;289.0;418.0;-4.0;293.0;262.0;235.0
54.0;63.0;274.0;-257.0;213.0;303.0;232.0
61.0;-64.0;110.0;-228.0;219.0;276.0;167.0
64.0;7.0;151.0;18.0;232.0;189.0;173.0
63.0;133.0;277.0;204.0;202.0;208.0;?
65.0;218.0;320.0;214.0;?;268.0;209.0
69.0;170.0;255.0;144.0;193.0;242.0;181.0
73.0;79.0;200.0;79.0;172.0;229.0;180.0
76.0;113.0;185.0;82.0;168.0;249.0;?
78.0;138.0;198.0;93.0;171.0;?;?
81.0;218.0;?;113.0;193.0;274.0;179.0
85.0;130.0;230.0;68.0;?;292.0;214.0
89.0;98.0;230.0;26.0;205.0;276.0;205.0
92.0;112.0;222.0;29.0;214.0;247.0;178.0
94.0;66.0;?;29.0;221.0;257.0;199.0
95.0;168.0;213.0;29.0;?;265.0;197.0
97.0;189.0;213.0;69.0;222.0;280.0;213.0
99.0;189.0;216.0;32.0;228.0;?;223.0
100.0;122.0;208.0;84.0;219.0;276.0;?
101.0;99.0;202.0;64.0;218.0;287.0;213.0
102.0;169.0;193.0;60.0;208.0;?;192.0
102.0;221.0;198.0;63.0;207.0;307.0;180.0
