InertialMeasurementUnit LUA accY;InertialMeasurementUnit LLA Quaternion2;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit RUA accY;Accelerometer LUA^ accZ;Accelerometer LWR accY;InertialMeasurementUnit LLA accX;Accelerometer RUA^ accZ
-823.0;?;-553.0;-613.0;825.0;892.0;-519.0;701.0;886.0
?;-544.0;-522.0;-593.0;812.0;?;-564.0;674.0;870.0
-836.0;-548.0;-549.0;?;857.0;802.0;-561.0;667.0;918.0
-766.0;-549.0;-524.0;-615.0;?;780.0;?;701.0;860.0
-776.0;-549.0;-455.0;-703.0;737.0;663.0;-575.0;696.0;811.0
-772.0;-553.0;-446.0;-818.0;749.0;664.0;-564.0;712.0;826.0
-724.0;-555.0;-420.0;-779.0;662.0;718.0;-582.0;677.0;747.0
?;-553.0;-388.0;-813.0;712.0;574.0;-531.0;668.0;617.0
-679.0;-552.0;-287.0;-958.0;810.0;?;-564.0;632.0;842.0
-752.0;-556.0;-331.0;-929.0;833.0;571.0;-544.0;628.0;711.0
-747.0;-570.0;-356.0;-648.0;808.0;530.0;-552.0;604.0;726.0
-762.0;?;?;-608.0;761.0;573.0;-515.0;640.0;742.0
-763.0;-617.0;-422.0;-541.0;835.0;594.0;-515.0;751.0;821.0
-763.0;-648.0;-486.0;-537.0;831.0;570.0;-623.0;940.0;789.0
?;-675.0;-549.0;-625.0;937.0;606.0;-843.0;1020.0;885.0
-812.0;-678.0;?;-954.0;1087.0;637.0;-1038.0;946.0;968.0
-807.0;-676.0;-649.0;-778.0;1017.0;638.0;-1009.0;1019.0;1006.0
-794.0;-685.0;?;-986.0;874.0;615.0;-1067.0;?;972.0
-729.0;-696.0;-698.0;-914.0;743.0;711.0;-999.0;890.0;860.0
-657.0;?;-582.0;-877.0;678.0;?;?;796.0;?
-626.0;?;?;-935.0;637.0;651.0;-864.0;?;731.0
-614.0;-688.0;-421.0;?;644.0;677.0;-730.0;682.0;740.0
-610.0;-683.0;-389.0;-824.0;672.0;683.0;-680.0;690.0;739.0
-631.0;-687.0;-389.0;-732.0;706.0;661.0;-671.0;735.0;800.0
-710.0;-694.0;-441.0;-710.0;701.0;661.0;?;827.0;780.0
-780.0;-699.0;-481.0;-762.0;?;?;-811.0;846.0;767.0
-735.0;-701.0;-541.0;-808.0;730.0;724.0;-896.0;852.0;780.0
-747.0;-700.0;-532.0;-796.0;683.0;661.0;-846.0;859.0;751.0
-932.0;-599.0;-812.0;-869.0;938.0;883.0;-857.0;953.0;950.0
-941.0;?;-819.0;-868.0;943.0;884.0;-862.0;951.0;922.0
-924.0;-592.0;-830.0;-908.0;932.0;894.0;-871.0;?;943.0
-910.0;-587.0;-824.0;-879.0;908.0;881.0;-834.0;?;933.0
-924.0;-577.0;-781.0;-856.0;906.0;892.0;-825.0;832.0;905.0
-836.0;-563.0;-785.0;-819.0;759.0;?;-797.0;634.0;?
-824.0;-545.0;-671.0;-754.0;753.0;918.0;-638.0;509.0;805.0
-755.0;-527.0;-490.0;?;821.0;916.0;-412.0;408.0;879.0
-680.0;-513.0;-388.0;?;762.0;852.0;-346.0;378.0;900.0
-637.0;-503.0;-334.0;-379.0;690.0;778.0;-264.0;365.0;867.0
-643.0;-498.0;-238.0;-372.0;624.0;727.0;-257.0;322.0;?
-711.0;-499.0;-217.0;-391.0;732.0;?;-159.0;261.0;674.0
-681.0;-507.0;-169.0;-394.0;694.0;?;-38.0;307.0;744.0
-678.0;-517.0;-111.0;-328.0;623.0;621.0;-136.0;282.0;686.0
-717.0;-530.0;-99.0;?;789.0;557.0;-178.0;?;670.0
-707.0;?;-35.0;-358.0;790.0;558.0;-73.0;279.0;?
-672.0;-584.0;?;-316.0;611.0;?;-70.0;245.0;657.0
-721.0;-601.0;-5.0;?;605.0;451.0;-112.0;175.0;?
-716.0;-621.0;90.0;-372.0;688.0;455.0;-83.0;250.0;613.0
-682.0;-641.0;26.0;-213.0;705.0;523.0;-77.0;314.0;650.0
-818.0;-663.0;-2.0;-360.0;809.0;500.0;-211.0;463.0;761.0
-802.0;-691.0;?;?;811.0;706.0;?;?;798.0
-853.0;-699.0;-322.0;-364.0;949.0;691.0;-499.0;869.0;885.0
?;-698.0;-409.0;-871.0;910.0;749.0;-809.0;966.0;967.0
-763.0;-698.0;-500.0;-894.0;767.0;792.0;-979.0;910.0;885.0
-711.0;-693.0;-590.0;-934.0;795.0;728.0;-966.0;836.0;811.0
-683.0;-687.0;-488.0;-981.0;746.0;666.0;?;802.0;886.0
-630.0;-690.0;-440.0;-956.0;663.0;715.0;-804.0;725.0;789.0
-627.0;-693.0;-431.0;-841.0;608.0;751.0;-723.0;683.0;767.0
-591.0;-688.0;-339.0;-884.0;551.0;691.0;-661.0;634.0;699.0
-555.0;-682.0;-346.0;-798.0;593.0;700.0;-673.0;610.0;676.0
-576.0;-683.0;-299.0;-799.0;605.0;647.0;-569.0;653.0;693.0
-649.0;-691.0;-317.0;-745.0;637.0;645.0;-623.0;743.0;694.0
-690.0;-702.0;-354.0;-721.0;?;645.0;-699.0;801.0;725.0
-683.0;-710.0;-449.0;-782.0;679.0;655.0;-805.0;822.0;701.0
-743.0;-714.0;-437.0;-846.0;684.0;535.0;-819.0;886.0;727.0
-891.0;-532.0;-714.0;-979.0;910.0;940.0;-762.0;849.0;967.0
-902.0;-531.0;-670.0;-910.0;924.0;898.0;-782.0;854.0;925.0
-909.0;-529.0;-685.0;?;933.0;942.0;?;?;936.0
-904.0;-527.0;-689.0;-925.0;899.0;?;?;?;?
-890.0;-524.0;?;-919.0;912.0;918.0;-765.0;838.0;919.0
-864.0;-519.0;-687.0;-929.0;844.0;916.0;-762.0;756.0;958.0
-770.0;-513.0;-647.0;-923.0;814.0;928.0;-687.0;615.0;895.0
-677.0;-511.0;-550.0;-871.0;729.0;892.0;-582.0;486.0;878.0
-666.0;-512.0;-397.0;-855.0;658.0;879.0;-396.0;?;782.0
-703.0;-514.0;-337.0;-731.0;618.0;839.0;-308.0;363.0;752.0
-644.0;-516.0;-266.0;-627.0;?;878.0;?;317.0;737.0
-582.0;-524.0;?;-409.0;571.0;772.0;?;304.0;685.0
-629.0;-532.0;-138.0;-535.0;599.0;732.0;?;290.0;685.0
-598.0;?;-105.0;-512.0;719.0;665.0;-210.0;284.0;661.0
-598.0;-558.0;?;-314.0;745.0;578.0;-187.0;235.0;708.0
-569.0;-578.0;-16.0;-390.0;728.0;452.0;-200.0;122.0;?
-658.0;-609.0;108.0;-399.0;724.0;361.0;-32.0;228.0;645.0
-679.0;-635.0;177.0;-290.0;?;420.0;-4.0;196.0;624.0
-670.0;-644.0;71.0;-330.0;601.0;332.0;-96.0;135.0;522.0
-606.0;-649.0;218.0;-515.0;551.0;315.0;-10.0;166.0;559.0
-601.0;-650.0;211.0;-329.0;558.0;443.0;-114.0;352.0;487.0
-803.0;?;110.0;-268.0;773.0;483.0;-200.0;792.0;?
-903.0;-638.0;-185.0;-404.0;904.0;584.0;-537.0;?;829.0
-908.0;-630.0;-541.0;-848.0;847.0;705.0;?;1101.0;853.0
-886.0;-638.0;-684.0;-924.0;930.0;653.0;-1130.0;1091.0;888.0
-830.0;-650.0;-721.0;-960.0;994.0;736.0;-1074.0;1032.0;?
-791.0;-657.0;-678.0;-944.0;835.0;790.0;?;898.0;986.0
?;-663.0;-641.0;-1044.0;577.0;814.0;-944.0;705.0;802.0
-493.0;-660.0;-409.0;-840.0;498.0;716.0;-690.0;?;639.0
-461.0;-652.0;-264.0;-881.0;446.0;612.0;-534.0;549.0;570.0
-539.0;-649.0;-171.0;?;491.0;632.0;-489.0;593.0;586.0
-597.0;-651.0;-255.0;-800.0;611.0;676.0;?;?;678.0
-654.0;-657.0;?;-764.0;665.0;717.0;-607.0;755.0;761.0
-684.0;-665.0;-423.0;-809.0;715.0;743.0;-695.0;810.0;?
-698.0;-676.0;-455.0;?;737.0;688.0;-771.0;856.0;786.0
-726.0;-687.0;-435.0;-870.0;717.0;?;-801.0;911.0;779.0
-754.0;-695.0;-483.0;-849.0;748.0;616.0;-906.0;881.0;751.0
-886.0;-449.0;?;-941.0;936.0;902.0;-746.0;778.0;918.0
-851.0;-444.0;-637.0;-921.0;901.0;?;-694.0;737.0;968.0
-816.0;-441.0;-595.0;-875.0;?;905.0;-694.0;669.0;?
-781.0;-439.0;-532.0;-921.0;744.0;863.0;-611.0;647.0;844.0
-776.0;-441.0;-490.0;-902.0;737.0;852.0;-548.0;606.0;810.0
-817.0;-445.0;-450.0;-919.0;827.0;869.0;-499.0;?;853.0
-765.0;-453.0;-417.0;-867.0;718.0;945.0;-503.0;?;?
?;-462.0;?;-873.0;682.0;895.0;-494.0;519.0;797.0
-754.0;?;-316.0;?;?;912.0;-423.0;464.0;845.0
-708.0;-480.0;-282.0;-824.0;659.0;887.0;-391.0;462.0;789.0
-670.0;?;-233.0;-778.0;?;808.0;-455.0;427.0;754.0
-644.0;-503.0;-184.0;-748.0;616.0;715.0;-371.0;433.0;650.0
-636.0;-516.0;-160.0;-707.0;651.0;674.0;-391.0;383.0;638.0
-594.0;-532.0;-92.0;-653.0;604.0;631.0;-360.0;295.0;586.0
-543.0;-551.0;-50.0;-582.0;580.0;431.0;-288.0;144.0;516.0
-489.0;-572.0;70.0;-523.0;?;398.0;-195.0;-26.0;546.0
-546.0;-602.0;94.0;-120.0;597.0;307.0;11.0;-69.0;?
-672.0;-641.0;251.0;-142.0;598.0;264.0;153.0;7.0;602.0
-722.0;-679.0;206.0;?;555.0;?;157.0;243.0;552.0
-850.0;-699.0;91.0;101.0;690.0;514.0;5.0;618.0;600.0
-840.0;-705.0;-139.0;54.0;881.0;569.0;?;878.0;768.0
-936.0;-699.0;?;-328.0;896.0;563.0;-896.0;1137.0;803.0
-920.0;-695.0;-530.0;-488.0;903.0;724.0;-1193.0;1186.0;896.0
-821.0;-700.0;-786.0;-555.0;?;738.0;-1221.0;1077.0;916.0
-669.0;-706.0;-698.0;-881.0;731.0;744.0;-1096.0;866.0;874.0
?;-707.0;-492.0;-968.0;737.0;720.0;-877.0;679.0;808.0
-512.0;-705.0;-279.0;?;586.0;706.0;-696.0;598.0;789.0
-489.0;-702.0;-200.0;?;523.0;701.0;-580.0;537.0;678.0
-465.0;-694.0;-202.0;?;510.0;?;-532.0;528.0;?
-483.0;-686.0;-177.0;?;569.0;608.0;-504.0;546.0;648.0
-512.0;?;-198.0;-757.0;616.0;650.0;-510.0;574.0;729.0
-529.0;-681.0;-217.0;-695.0;625.0;712.0;-536.0;594.0;754.0
-570.0;-677.0;?;-747.0;617.0;684.0;-561.0;?;745.0
-599.0;-673.0;-289.0;-759.0;648.0;710.0;-587.0;698.0;723.0
-650.0;-673.0;-338.0;-772.0;650.0;711.0;-675.0;788.0;745.0
-722.0;-677.0;-396.0;-785.0;690.0;709.0;-773.0;849.0;727.0
-691.0;-675.0;-478.0;-741.0;712.0;723.0;-827.0;?;700.0
-907.0;-487.0;-708.0;?;?;922.0;-696.0;799.0;948.0
-920.0;?;-644.0;-923.0;940.0;937.0;-698.0;822.0;975.0
-915.0;-482.0;-697.0;-960.0;906.0;923.0;-723.0;805.0;943.0
-880.0;-480.0;-679.0;?;906.0;962.0;-681.0;799.0;925.0
-903.0;-476.0;-648.0;?;879.0;931.0;-689.0;789.0;926.0
?;-473.0;-638.0;-949.0;850.0;906.0;-700.0;724.0;894.0
-798.0;-470.0;-631.0;-904.0;815.0;875.0;-681.0;666.0;888.0
-783.0;-467.0;-545.0;-871.0;767.0;885.0;-575.0;615.0;864.0
-743.0;-466.0;-496.0;-841.0;770.0;861.0;-537.0;554.0;839.0
-704.0;-468.0;-453.0;-782.0;744.0;837.0;-453.0;529.0;?
-672.0;-472.0;-411.0;?;742.0;778.0;-457.0;502.0;810.0
-758.0;-480.0;-370.0;-716.0;713.0;770.0;-429.0;558.0;843.0
-806.0;?;-407.0;-758.0;?;828.0;-488.0;528.0;817.0
-716.0;?;-393.0;-716.0;678.0;842.0;-507.0;489.0;747.0
?;-501.0;-328.0;-564.0;667.0;733.0;-401.0;500.0;715.0
-720.0;-507.0;-321.0;-593.0;718.0;701.0;-409.0;435.0;713.0
-718.0;?;-290.0;-667.0;?;685.0;-443.0;379.0;721.0
-685.0;-500.0;-265.0;-460.0;715.0;691.0;-304.0;336.0;699.0
-696.0;-494.0;-195.0;-271.0;656.0;673.0;-250.0;257.0;711.0
-688.0;-490.0;-182.0;-311.0;739.0;?;-148.0;210.0;?
-754.0;-484.0;-123.0;-266.0;799.0;672.0;-48.0;186.0;792.0
-697.0;-482.0;-79.0;-192.0;734.0;789.0;-53.0;75.0;744.0
-629.0;-480.0;29.0;-108.0;639.0;747.0;134.0;63.0;693.0
-718.0;-470.0;179.0;-240.0;710.0;584.0;137.0;135.0;711.0
-734.0;-462.0;152.0;-334.0;671.0;751.0;36.0;36.0;799.0
-637.0;-470.0;121.0;-205.0;635.0;761.0;117.0;?;692.0
-591.0;-468.0;?;-44.0;619.0;624.0;131.0;-201.0;730.0
-545.0;-449.0;297.0;?;381.0;620.0;262.0;-229.0;576.0
-572.0;-434.0;?;-25.0;349.0;690.0;383.0;-358.0;438.0
-558.0;-435.0;433.0;122.0;349.0;776.0;462.0;-503.0;508.0
-463.0;-445.0;486.0;339.0;348.0;591.0;580.0;-671.0;500.0
-396.0;-447.0;591.0;512.0;362.0;484.0;756.0;-726.0;449.0
-282.0;-443.0;?;642.0;322.0;406.0;820.0;-676.0;428.0
-269.0;-432.0;?;785.0;351.0;268.0;?;-649.0;411.0
-361.0;-412.0;708.0;853.0;316.0;280.0;810.0;-700.0;439.0
-521.0;-383.0;731.0;828.0;331.0;362.0;818.0;-664.0;387.0
-354.0;?;760.0;768.0;?;453.0;805.0;-701.0;478.0
-220.0;-317.0;740.0;767.0;191.0;410.0;809.0;-743.0;433.0
?;-293.0;811.0;946.0;225.0;357.0;904.0;-765.0;342.0
-338.0;-277.0;777.0;1046.0;258.0;418.0;879.0;-856.0;437.0
-218.0;-260.0;848.0;1064.0;58.0;?;1028.0;-887.0;360.0
-198.0;-243.0;899.0;?;45.0;232.0;1038.0;-871.0;209.0
-145.0;?;886.0;1028.0;28.0;261.0;1007.0;-879.0;207.0
-153.0;?;853.0;985.0;54.0;167.0;967.0;-905.0;200.0
-145.0;-194.0;885.0;1039.0;33.0;181.0;990.0;-932.0;225.0
-86.0;-168.0;938.0;1086.0;32.0;128.0;1023.0;-1001.0;149.0
-51.0;-144.0;987.0;1042.0;0.0;31.0;1059.0;-978.0;138.0
-41.0;-124.0;1022.0;?;8.0;21.0;1117.0;-940.0;140.0
-72.0;-107.0;?;?;89.0;108.0;1057.0;-1006.0;200.0
-138.0;-95.0;1009.0;1187.0;101.0;27.0;1093.0;-989.0;?
-84.0;-87.0;1021.0;1220.0;68.0;21.0;?;-993.0;163.0
-67.0;-83.0;990.0;1132.0;80.0;4.0;1057.0;-976.0;192.0
-33.0;-83.0;970.0;1092.0;?;?;1051.0;-960.0;174.0
-34.0;-86.0;962.0;1093.0;54.0;-49.0;1016.0;-954.0;152.0
-75.0;-91.0;971.0;1098.0;54.0;-60.0;997.0;-943.0;160.0
-78.0;-97.0;956.0;1065.0;46.0;-21.0;991.0;-938.0;180.0
-79.0;-102.0;958.0;?;39.0;-42.0;980.0;-928.0;159.0
-105.0;?;?;1003.0;50.0;-29.0;?;?;167.0
-87.0;-104.0;936.0;985.0;60.0;-32.0;969.0;-920.0;188.0
-77.0;-101.0;949.0;986.0;?;-31.0;952.0;-924.0;?
-61.0;-99.0;947.0;988.0;28.0;-28.0;975.0;-929.0;128.0
-56.0;-96.0;939.0;991.0;8.0;-42.0;987.0;-939.0;137.0
-74.0;-92.0;956.0;1040.0;-1.0;-42.0;993.0;-929.0;127.0
-58.0;?;?;1009.0;-26.0;-34.0;992.0;-923.0;89.0
?;-83.0;949.0;1015.0;-37.0;-39.0;976.0;-922.0;85.0
-72.0;-77.0;961.0;991.0;-57.0;-20.0;960.0;-933.0;96.0
-59.0;-69.0;969.0;?;-46.0;-34.0;977.0;-933.0;69.0
-31.0;-59.0;981.0;1006.0;-49.0;-67.0;975.0;?;79.0
16.0;-49.0;931.0;996.0;-50.0;-80.0;950.0;-892.0;99.0
6.0;?;924.0;978.0;-54.0;-101.0;940.0;?;92.0
47.0;-27.0;912.0;987.0;-60.0;-112.0;921.0;-949.0;75.0
83.0;-19.0;934.0;990.0;-47.0;-137.0;961.0;-971.0;81.0
116.0;-12.0;969.0;1028.0;-78.0;-171.0;1014.0;-1019.0;70.0
138.0;-8.0;1026.0;1079.0;-70.0;-171.0;1044.0;-1022.0;59.0
137.0;-4.0;1070.0;1102.0;-71.0;-237.0;1051.0;-970.0;79.0
?;1.0;1019.0;1066.0;-102.0;-222.0;973.0;-939.0;89.0
?;6.0;991.0;984.0;-104.0;-220.0;955.0;-939.0;75.0
?;10.0;985.0;1005.0;-106.0;-211.0;?;-914.0;46.0
133.0;13.0;966.0;986.0;?;-190.0;926.0;-939.0;39.0
167.0;18.0;965.0;960.0;?;-230.0;?;-992.0;42.0
196.0;24.0;1002.0;?;?;-252.0;1004.0;-999.0;30.0
203.0;30.0;?;1078.0;-157.0;?;1029.0;-995.0;5.0
214.0;36.0;1038.0;1056.0;-180.0;-280.0;1026.0;-997.0;11.0
217.0;43.0;1029.0;1063.0;-170.0;-287.0;1046.0;-985.0;-18.0
253.0;50.0;1009.0;?;-144.0;-283.0;979.0;-983.0;-1.0
280.0;?;1012.0;1042.0;-125.0;?;?;-1000.0;16.0
?;?;1029.0;1028.0;-133.0;-346.0;997.0;-996.0;31.0
281.0;67.0;?;1067.0;-151.0;-334.0;1014.0;-1008.0;5.0
287.0;71.0;1025.0;?;-160.0;-318.0;1018.0;-1003.0;0.0
263.0;73.0;1020.0;1071.0;-171.0;-338.0;998.0;-995.0;-10.0
250.0;75.0;1013.0;1045.0;?;-332.0;998.0;-987.0;0.0
241.0;77.0;1014.0;1043.0;-162.0;-304.0;996.0;-972.0;-9.0
259.0;79.0;1007.0;1039.0;-157.0;-308.0;?;-970.0;33.0
289.0;80.0;?;993.0;-145.0;-345.0;970.0;-998.0;27.0
114.0;-5.0;972.0;?;?;-191.0;971.0;?;22.0
96.0;-8.0;1010.0;1016.0;-137.0;-211.0;964.0;-956.0;-5.0
87.0;-9.0;979.0;?;-114.0;-197.0;969.0;-949.0;11.0
?;-10.0;980.0;1034.0;-119.0;-164.0;985.0;-941.0;30.0
?;-10.0;960.0;1019.0;-121.0;-163.0;?;-959.0;27.0
104.0;-11.0;990.0;1009.0;-124.0;-176.0;969.0;-960.0;41.0
90.0;-11.0;998.0;1042.0;-118.0;-189.0;961.0;-979.0;29.0
94.0;-10.0;1007.0;1026.0;-132.0;-176.0;999.0;-1014.0;49.0
76.0;-10.0;1045.0;1059.0;-125.0;?;1022.0;-957.0;21.0
78.0;-9.0;1021.0;1064.0;-137.0;-140.0;?;-908.0;18.0
60.0;?;961.0;980.0;-155.0;?;?;-898.0;-38.0
40.0;-7.0;939.0;973.0;?;-140.0;882.0;-918.0;14.0
76.0;?;?;981.0;-170.0;-140.0;928.0;-936.0;-8.0
87.0;-1.0;961.0;1010.0;?;-155.0;955.0;-948.0;-22.0
94.0;4.0;?;1017.0;-180.0;-161.0;979.0;-929.0;-30.0
95.0;11.0;990.0;1007.0;-169.0;-184.0;944.0;-928.0;-17.0
109.0;?;972.0;?;-184.0;-202.0;942.0;?;-21.0
134.0;26.0;953.0;997.0;-184.0;-221.0;944.0;-952.0;-16.0
183.0;34.0;993.0;978.0;-155.0;?;972.0;-978.0;?
210.0;?;1011.0;1002.0;-148.0;-273.0;975.0;-990.0;11.0
222.0;?;1020.0;1042.0;-112.0;-296.0;965.0;-980.0;21.0
229.0;60.0;1014.0;1048.0;-121.0;-325.0;998.0;-980.0;35.0
245.0;68.0;?;1036.0;-111.0;-304.0;962.0;-997.0;10.0
261.0;76.0;1011.0;1039.0;-100.0;-334.0;1009.0;?;?
286.0;83.0;1035.0;1042.0;-89.0;-343.0;1013.0;?;68.0
314.0;?;1035.0;1051.0;-96.0;-356.0;987.0;-995.0;89.0
334.0;96.0;1022.0;1045.0;-92.0;-398.0;993.0;-1027.0;57.0
342.0;99.0;1055.0;1056.0;-70.0;-390.0;1026.0;-1046.0;63.0
359.0;?;?;1061.0;-35.0;-417.0;1048.0;-1047.0;96.0
319.0;?;1086.0;1107.0;-39.0;-407.0;1036.0;-1022.0;?
301.0;98.0;?;1087.0;-74.0;-369.0;1020.0;-1012.0;88.0
298.0;95.0;1029.0;1072.0;-101.0;-358.0;1011.0;-999.0;?
265.0;91.0;1029.0;?;-100.0;-356.0;1001.0;-969.0;70.0
259.0;87.0;1018.0;1053.0;-90.0;-339.0;?;-949.0;76.0
299.0;82.0;977.0;1013.0;-91.0;?;963.0;-951.0;83.0
309.0;76.0;989.0;1019.0;-108.0;-376.0;963.0;-955.0;52.0
?;70.0;991.0;?;?;-376.0;950.0;-863.0;74.0
108.0;64.0;947.0;1008.0;122.0;-272.0;929.0;-679.0;?
135.0;43.0;680.0;769.0;-135.0;-123.0;700.0;-1413.0;?
166.0;36.0;1168.0;987.0;-768.0;-254.0;1241.0;-1382.0;-579.0
24.0;40.0;1565.0;1557.0;-440.0;-265.0;1484.0;-1081.0;-215.0
145.0;?;1121.0;1414.0;-398.0;-33.0;1213.0;-834.0;-267.0
69.0;48.0;913.0;1039.0;-179.0;-172.0;930.0;-741.0;-113.0
50.0;46.0;752.0;827.0;-34.0;-121.0;770.0;-714.0;-15.0
131.0;42.0;?;810.0;-91.0;-131.0;685.0;-915.0;?
158.0;38.0;880.0;?;-206.0;-216.0;859.0;-1003.0;-72.0
156.0;?;1045.0;1041.0;-247.0;-233.0;1016.0;-980.0;-51.0
154.0;34.0;1012.0;1058.0;-284.0;-195.0;1038.0;-961.0;-95.0
?;31.0;990.0;969.0;-213.0;-170.0;?;-959.0;-95.0
?;29.0;971.0;1001.0;-139.0;-185.0;965.0;-947.0;-17.0
60.0;26.0;966.0;1077.0;-114.0;-146.0;952.0;-925.0;31.0
58.0;24.0;935.0;1071.0;-131.0;-132.0;959.0;-930.0;-5.0
73.0;22.0;966.0;993.0;-148.0;?;954.0;-941.0;5.0
101.0;21.0;975.0;1011.0;-159.0;-177.0;951.0;-954.0;-17.0
110.0;20.0;?;1014.0;-144.0;-191.0;?;-928.0;-7.0
111.0;19.0;966.0;?;-112.0;?;940.0;-940.0;27.0
144.0;20.0;971.0;1020.0;-78.0;-189.0;936.0;-964.0;47.0
