InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LUA Quaternion1
237.0;61.0;558.0;233.0;-783.0;-24.0;516.0;223.0;732.0
228.0;48.0;579.0;222.0;-775.0;-14.0;?;211.0;728.0
217.0;36.0;599.0;211.0;-768.0;-8.0;554.0;202.0;723.0
206.0;22.0;617.0;?;-762.0;-6.0;573.0;195.0;717.0
194.0;2.0;631.0;200.0;-758.0;-7.0;591.0;190.0;712.0
183.0;-23.0;644.0;197.0;-754.0;-8.0;?;187.0;707.0
172.0;-48.0;657.0;194.0;-752.0;-9.0;620.0;184.0;703.0
?;?;665.0;195.0;-751.0;-13.0;628.0;187.0;699.0
161.0;-97.0;671.0;197.0;-751.0;-18.0;?;190.0;696.0
155.0;-117.0;673.0;?;-751.0;-22.0;636.0;189.0;695.0
150.0;-132.0;674.0;199.0;-751.0;-24.0;?;190.0;696.0
145.0;-141.0;675.0;200.0;-752.0;-25.0;636.0;191.0;698.0
142.0;-144.0;674.0;200.0;-754.0;-26.0;635.0;192.0;698.0
142.0;-144.0;674.0;200.0;-755.0;-27.0;633.0;194.0;699.0
143.0;-142.0;673.0;201.0;-756.0;-29.0;633.0;195.0;699.0
143.0;-138.0;673.0;202.0;-757.0;-30.0;632.0;197.0;699.0
144.0;-136.0;672.0;203.0;-757.0;-32.0;632.0;198.0;700.0
144.0;-135.0;?;203.0;-758.0;?;632.0;200.0;700.0
143.0;-137.0;?;204.0;-759.0;-37.0;632.0;201.0;?
142.0;-140.0;671.0;203.0;-759.0;-39.0;633.0;201.0;702.0
141.0;-144.0;671.0;201.0;-759.0;-39.0;635.0;202.0;704.0
140.0;-149.0;671.0;198.0;-759.0;-39.0;?;203.0;706.0
140.0;-154.0;670.0;194.0;-758.0;-39.0;639.0;204.0;709.0
139.0;-160.0;670.0;190.0;-758.0;?;642.0;207.0;711.0
140.0;-167.0;668.0;?;?;-39.0;646.0;211.0;714.0
141.0;-175.0;666.0;181.0;-758.0;-38.0;651.0;218.0;718.0
140.0;-183.0;665.0;177.0;-758.0;-38.0;657.0;225.0;721.0
?;-191.0;665.0;173.0;-757.0;-38.0;662.0;233.0;723.0
137.0;-198.0;665.0;168.0;-758.0;-36.0;667.0;242.0;726.0
136.0;-203.0;666.0;164.0;-758.0;-35.0;670.0;251.0;727.0
135.0;-205.0;667.0;160.0;-758.0;?;672.0;261.0;728.0
134.0;-203.0;667.0;158.0;-759.0;-33.0;?;?;?
135.0;?;?;?;?;-33.0;676.0;280.0;732.0
136.0;-188.0;664.0;156.0;-761.0;-34.0;678.0;289.0;733.0
139.0;-183.0;663.0;154.0;-763.0;-34.0;679.0;298.0;735.0
142.0;-180.0;661.0;?;-766.0;-34.0;681.0;307.0;736.0
144.0;-178.0;660.0;154.0;-768.0;-35.0;684.0;317.0;737.0
145.0;-176.0;660.0;154.0;-770.0;-34.0;686.0;327.0;737.0
145.0;?;660.0;155.0;-773.0;-33.0;689.0;336.0;737.0
144.0;-177.0;661.0;156.0;-774.0;-34.0;692.0;345.0;737.0
141.0;-179.0;661.0;156.0;-775.0;-33.0;694.0;353.0;737.0
?;?;661.0;157.0;-776.0;-33.0;695.0;360.0;738.0
135.0;-186.0;660.0;158.0;-776.0;-34.0;696.0;368.0;738.0
130.0;-191.0;660.0;161.0;-777.0;-36.0;?;376.0;?
125.0;-196.0;659.0;163.0;-778.0;-40.0;696.0;384.0;740.0
121.0;-199.0;659.0;166.0;-778.0;-43.0;695.0;390.0;741.0
?;-202.0;658.0;168.0;-778.0;-47.0;695.0;395.0;742.0
112.0;-205.0;657.0;171.0;-778.0;-50.0;694.0;400.0;743.0
109.0;?;656.0;173.0;?;?;694.0;403.0;744.0
107.0;-211.0;654.0;175.0;-778.0;-56.0;693.0;406.0;745.0
?;-213.0;654.0;177.0;-777.0;-58.0;692.0;407.0;746.0
102.0;-215.0;653.0;?;?;-60.0;691.0;409.0;747.0
99.0;-218.0;652.0;182.0;?;-63.0;691.0;410.0;747.0
97.0;-220.0;652.0;185.0;-779.0;-68.0;690.0;412.0;748.0
100.0;-204.0;667.0;?;?;-80.0;?;344.0;738.0
101.0;-204.0;667.0;207.0;-777.0;-79.0;679.0;343.0;738.0
102.0;?;668.0;206.0;-776.0;-78.0;679.0;342.0;737.0
103.0;-203.0;667.0;204.0;?;-76.0;679.0;341.0;?
104.0;-202.0;667.0;203.0;-775.0;?;680.0;340.0;738.0
105.0;-202.0;667.0;?;-776.0;-74.0;?;339.0;738.0
106.0;-200.0;666.0;200.0;-775.0;?;680.0;339.0;738.0
107.0;-198.0;666.0;198.0;-775.0;-72.0;679.0;340.0;738.0
109.0;-196.0;665.0;?;-775.0;-70.0;680.0;341.0;?
110.0;-196.0;665.0;?;-776.0;-68.0;?;343.0;739.0
111.0;-195.0;664.0;193.0;-776.0;-67.0;?;346.0;739.0
112.0;-194.0;665.0;192.0;-777.0;-65.0;682.0;349.0;739.0
110.0;-194.0;665.0;192.0;-778.0;-64.0;683.0;353.0;739.0
108.0;-196.0;665.0;192.0;-780.0;-63.0;685.0;357.0;739.0
106.0;-199.0;666.0;193.0;-781.0;-62.0;?;363.0;739.0
102.0;-203.0;667.0;194.0;-783.0;-61.0;?;?;738.0
98.0;-206.0;669.0;196.0;-786.0;-61.0;691.0;376.0;737.0
93.0;-210.0;670.0;?;-788.0;-62.0;693.0;385.0;736.0
88.0;-214.0;671.0;?;-790.0;-64.0;695.0;394.0;735.0
83.0;-220.0;671.0;205.0;-792.0;?;697.0;403.0;735.0
78.0;-224.0;671.0;208.0;-793.0;-70.0;699.0;413.0;735.0
74.0;-229.0;670.0;211.0;-793.0;-73.0;700.0;422.0;735.0
?;-232.0;670.0;215.0;-795.0;-76.0;702.0;431.0;734.0
67.0;?;669.0;217.0;-796.0;-79.0;703.0;440.0;734.0
64.0;-237.0;668.0;220.0;?;-81.0;703.0;447.0;735.0
62.0;-240.0;666.0;222.0;-796.0;-85.0;703.0;453.0;735.0
60.0;?;666.0;224.0;-796.0;-89.0;702.0;?;735.0
58.0;-241.0;665.0;?;-796.0;-94.0;701.0;464.0;734.0
?;-241.0;664.0;229.0;-795.0;-99.0;700.0;466.0;735.0
57.0;-240.0;662.0;231.0;-794.0;-101.0;699.0;466.0;?
59.0;-240.0;662.0;232.0;-793.0;?;697.0;463.0;737.0
60.0;-239.0;661.0;232.0;-792.0;-102.0;696.0;459.0;738.0
61.0;-238.0;661.0;232.0;-792.0;-101.0;695.0;454.0;739.0
62.0;-237.0;662.0;232.0;-792.0;-100.0;695.0;448.0;739.0
63.0;-236.0;663.0;?;-793.0;-99.0;694.0;441.0;?
64.0;-236.0;664.0;232.0;-792.0;-99.0;692.0;434.0;739.0
63.0;-238.0;663.0;234.0;-790.0;-102.0;689.0;?;740.0
65.0;-236.0;660.0;241.0;-788.0;-102.0;685.0;?;743.0
?;-219.0;663.0;?;-784.0;?;684.0;407.0;?
59.0;?;663.0;228.0;-783.0;-93.0;678.0;399.0;744.0
59.0;-221.0;661.0;225.0;?;-82.0;672.0;?;746.0
56.0;-232.0;656.0;223.0;-776.0;-82.0;668.0;398.0;751.0
58.0;-240.0;653.0;224.0;-774.0;-93.0;666.0;399.0;754.0
59.0;-240.0;653.0;227.0;-772.0;-100.0;664.0;392.0;754.0
58.0;-236.0;656.0;226.0;-771.0;-99.0;662.0;?;752.0
56.0;-233.0;?;?;-770.0;-93.0;661.0;370.0;750.0
55.0;?;658.0;218.0;-768.0;-86.0;662.0;363.0;750.0
56.0;-236.0;?;217.0;?;-83.0;665.0;359.0;749.0
?;-238.0;660.0;218.0;-769.0;-85.0;668.0;357.0;?
59.0;-238.0;662.0;220.0;-770.0;-87.0;668.0;355.0;747.0
60.0;-238.0;663.0;221.0;-772.0;-87.0;668.0;354.0;746.0
62.0;-235.0;664.0;222.0;-774.0;?;668.0;354.0;?
64.0;-234.0;665.0;223.0;-776.0;-86.0;669.0;355.0;744.0
66.0;-233.0;666.0;223.0;-778.0;?;?;356.0;743.0
67.0;-233.0;667.0;224.0;-779.0;-87.0;?;358.0;742.0
67.0;-234.0;668.0;226.0;-781.0;-90.0;673.0;361.0;741.0
67.0;-235.0;668.0;225.0;?;-91.0;675.0;363.0;741.0
68.0;?;669.0;225.0;-782.0;?;677.0;364.0;?
?;-231.0;669.0;223.0;-783.0;-88.0;678.0;365.0;740.0
?;-227.0;669.0;222.0;-783.0;-86.0;679.0;366.0;739.0
78.0;-223.0;669.0;220.0;-784.0;-85.0;679.0;367.0;739.0
82.0;-220.0;668.0;218.0;-784.0;-84.0;679.0;368.0;740.0
85.0;-219.0;667.0;217.0;-784.0;-81.0;681.0;368.0;740.0
87.0;-218.0;668.0;216.0;-785.0;?;681.0;368.0;739.0
89.0;-218.0;669.0;216.0;-785.0;-81.0;682.0;368.0;738.0
91.0;-217.0;670.0;216.0;-787.0;-80.0;682.0;368.0;?
92.0;-215.0;670.0;?;-787.0;-77.0;683.0;367.0;736.0
