InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;Accelerometer RUA^ accX;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RLA gyroY
-11;-744;156.0;-291;247;5;-78.0;-247;-370.0;-161.0;-744;108.0
-33;224;106.0;-399;-333;-49;-236.0;333;-557.0;-150.0;224;198.0
4;-28;-53.0;-290;-11;-2;-39.0;11;-388.0;-174.0;-28;9.0
-2;-5;-54.0;-260;-74;1;-48.0;74;-585.0;3.0;-5;86.0
-1;-20;-14.0;-252;8;9;-10.0;-8;-290.0;-193.0;-20;57.0
1;45;33.0;-276;-47;-6;-11.0;47;-317.0;-130.0;45;-68.0
-1;8;33.0;-247;-4;0;-140.0;4;-431.0;-133.0;8;-154.0
0;15;5.0;-266;-32;6;-11.0;32;-319.0;-145.0;15;-32.0
7;-36;336.0;-282;28;-8;-127.0;-28;-402.0;-132.0;-36;-119.0
-2;-4;35.0;-234;-32;9;-2.0;32;-356.0;-214.0;-4;28.0
1;36;18.0;-274;-43;-4;-40.0;43;-301.0;-145.0;36;-44.0
-46;2206;-61.0;-237;-871;72;104.0;871;-448.0;-340.0;2206;-387.0
-3;11;53.0;-276;-13;-4;-26.0;13;-353.0;-153.0;11;8.0
2;16;17.0;-268;6;1;-7.0;-6;-404.0;88.0;16;-17.0
1;106;18.0;-270;39;22;-29.0;-39;-319.0;-273.0;106;-93.0
6;-3;221.0;-238;-14;-2;75.0;14;-105.0;-135.0;-3;320.0
-3;16;-45.0;-260;11;0;0.0;-11;-306.0;-174.0;16;-58.0
-4;-4;7.0;-265;-6;-3;-16.0;6;-319.0;-161.0;-4;30.0
4;-114;-175.0;-404;-69;-29;131.0;69;-219.0;-352.0;-114;50.0
-3;-4;43.0;-258;-7;-5;47.0;7;-424.0;-18.0;-4;27.0
-3;-2;44.0;-258;-23;-1;61.0;23;-658.0;52.0;-2;-22.0
-6;-8;41.0;-265;-18;-4;19.0;18;-330.0;-160.0;-8;16.0
27;8;42.0;-265;24;11;26.0;-24;-339.0;-181.0;8;-81.0
1;-4;-4.0;-251;-35;-6;-40.0;35;-312.0;-31.0;-4;86.0
-3;-15;-207.0;-250;22;-4;-169.0;-22;-304.0;-8.0;-15;35.0
-2;-13;13.0;-253;53;-7;-11.0;-53;-315.0;-11.0;-13;-27.0
-1;8;-4.0;-248;-23;-3;45.0;23;-311.0;-35.0;8;-56.0
89;1105;-207.0;-280;-470;-99;-188.0;470;-724.0;-324.0;1105;-82.0
1;11;-90.0;-249;7;3;-61.0;-7;-300.0;8.0;11;110.0
-12;-25;7.0;-278;-57;4;-27.0;57;-309.0;-179.0;-25;33.0
4;3;-11.0;-249;-2;-2;-39.0;2;-311.0;-20.0;3;12.0
-4;6;-38.0;-256;14;-3;-47.0;-14;-325.0;-14.0;6;32.0
4;-6;10.0;-249;-12;-5;-11.0;12;-296.0;6.0;-6;16.0
2;-7;18.0;-283;-17;-1;-64.0;17;-285.0;-171.0;-7;10.0
1;-17;20.0;-287;-9;-7;-6.0;9;-280.0;-172.0;-17;46.0
-6;-318;-21.0;-246;-238;24;-1.0;238;-347.0;-253.0;-318;13.0
15;-47;-7.0;-248;-74;17;-27.0;74;-340.0;-270.0;-47;-45.0
0;6;-30.0;-278;-26;0;-18.0;26;-282.0;-181.0;6;-16.0
6;-14;-23.0;-250;33;1;-84.0;-33;-283.0;-222.0;-14;26.0
8;4;-1.0;-280;7;1;15.0;-7;-292.0;-180.0;4;64.0
7;-37;-6.0;-287;24;-5;1.0;-24;-292.0;-181.0;-37;34.0
31;41;-4.0;-282;62;-16;-8.0;-62;-334.0;-241.0;41;34.0
7;16;32.0;-254;47;-4;101.0;-47;-294.0;-27.0;16;-61.0
2;17;24.0;-283;5;-1;-29.0;-5;-303.0;-182.0;17;34.0
9;17;10.0;-258;17;10;-40.0;-17;-431.0;-139.0;17;-9.0
4;-16;62.0;-234;-14;5;56.0;14;-365.0;-139.0;-16;-18.0
-10;-23;-30.0;-247;-51;-5;-46.0;51;-426.0;-130.0;-23;-117.0
-2;18;1.0;-272;-33;-4;73.0;33;-402.0;-150.0;18;-62.0
1;30;192.0;-268;26;2;146.0;-26;-339.0;-161.0;30;-54.0
4;21;2.0;-259;22;-1;-40.0;-22;-371.0;15.0;21;-62.0
-2;48;40.0;-228;60;2;-31.0;-60;-386.0;-137.0;48;44.0
-1;-13;-2.0;-234;26;0;-42.0;-26;-355.0;-155.0;-13;24.0
3;19;4.0;-234;6;-2;28.0;-6;-352.0;-96.0;19;48.0
1;16;-104.0;-249;-12;-3;-9.0;12;-294.0;10.0;16;-108.0
32;-4;220.0;-282;-2;-1;128.0;2;-273.0;-200.0;-4;-29.0
77;-5;926.0;-308;19;-121;-856.0;-19;-392.0;-31.0;-5;420.0
2;-13;3.0;-280;-14;1;-28.0;14;-282.0;-177.0;-13;-36.0
7;-31;-27.0;-278;-12;6;-58.0;12;-286.0;-168.0;-31;-4.0
-2;-35;5.0;-257;-14;2;50.0;14;-298.0;0.0;-35;17.0
4;-2;-19.0;-249;-39;6;6.0;39;-282.0;2.0;-2;-11.0
0;7;-56.0;-255;22;-4;-32.0;-22;-291.0;-3.0;7;-38.0
5;10;-1.0;-250;-12;1;22.0;12;-274.0;-16.0;10;-52.0
1;-1;45.0;-253;-20;-1;9.0;20;-299.0;-10.0;-1;-10.0
-1;-16;70.0;-244;-23;2;72.0;23;-292.0;7.0;-16;-27.0
-1;12;13.0;-252;-1;2;12.0;1;-290.0;11.0;12;31.0
3;-23;4.0;-251;16;-3;-4.0;-16;-292.0;1.0;-23;14.0
0;6;93.0;-256;16;2;8.0;-16;-288.0;-11.0;6;39.0
1;13;-79.0;-251;5;-4;-73.0;-5;-307.0;11.0;13;34.0
15;-59;-13.0;-244;10;-2;2.0;-10;-333.0;-205.0;-59;8.0
2;-23;37.0;-262;-24;0;1.0;24;-321.0;-169.0;-23;16.0
12;15;32.0;-277;17;4;-68.0;-17;-282.0;-144.0;15;-231.0
2;-12;33.0;-263;14;2;0.0;-14;-198.0;-171.0;-12;14.0
6;-30;52.0;-247;0;-2;20.0;0;-335.0;-246.0;-30;25.0
-9;-29;27.0;-255;-36;0;-7.0;36;-283.0;-1.0;-29;18.0
-6;-1;27.0;-261;29;0;13.0;-29;-321.0;-183.0;-1;52.0
4;-19;24.0;-263;-12;0;-10.0;12;-319.0;-173.0;-19;-5.0
-4;19;22.0;-239;5;1;-52.0;-5;-340.0;-221.0;19;8.0
1;-4;60.0;-245;7;2;44.0;-7;-275.0;-21.0;-4;-23.0
2;-11;-34.0;-245;-20;-3;-25.0;20;-298.0;-11.0;-11;-9.0
-3;19;10.0;-242;17;-4;-17.0;-17;-328.0;-228.0;19;4.0
-6;-18;-22.0;-253;10;3;-6.0;-10;-275.0;2.0;-18;17.0
-39;452;-211.0;-103;-178;255;324.0;178;-388.0;-97.0;452;-259.0
-7;-18;5.0;-257;-37;-4;-31.0;37;-272.0;-16.0;-18;70.0
1;11;18.0;-263;-25;0;-14.0;25;-307.0;-162.0;11;-30.0
9;-33;2.0;-291;-212;1;-11.0;212;-228.0;-191.0;-33;0.0
-4;7;-1.0;-261;-17;-2;3.0;17;-394.0;-151.0;7;-13.0
2;-26;280.0;-291;-4;-4;536.0;4;-408.0;-227.0;-26;-89.0
1;3;-57.0;-240;45;1;132.0;-45;-510.0;-109.0;3;-122.0
-1;23;-28.0;-234;-47;-3;-71.0;47;-458.0;-270.0;23;317.0
-6;6;-11.0;-255;48;-5;-24.0;-48;-264.0;-7.0;6;55.0
-3;24;63.0;-232;-2;-4;4.0;2;-348.0;-228.0;24;-7.0
3;-5;38.0;-256;34;-11;159.0;-34;-445.0;-99.0;-5;-195.0
-36;-729;141.0;-379;-2096;132;86.0;2096;-378.0;-116.0;-729;-48.0
-91;-468;-8.0;-295;756;4;-23.0;-756;-300.0;-414.0;-468;25.0
72;677;80.0;-43;522;44;-8.0;-522;-486.0;-117.0;677;456.0
5;5;993.0;-279;36;-1;325.0;-36;-253.0;-171.0;5;-98.0
-6;0;5.0;-230;-18;1;100.0;18;-394.0;-221.0;0;-435.0
-6;-44;172.0;-243;-13;-4;-72.0;13;-288.0;-19.0;-44;-171.0
-1;-14;17.0;-248;-25;-3;3.0;25;-279.0;17.0;-14;-25.0
3;6;247.0;-246;-4;-3;95.0;4;-406.0;11.0;6;-280.0
-1;-12;77.0;-319;0;-5;-8.0;0;-130.0;-12.0;-12;-152.0
-7;8;250.0;-236;-24;-3;618.0;24;-142.0;-147.0;8;171.0
156;251;-482.0;-307;123;-25;-464.0;-123;-368.0;250.0;251;197.0
2;-11;47.0;-317;18;3;-52.0;-18;-170.0;-40.0;-11;-41.0
-91;3152;232.0;-787;6618;-269;219.0;-6618;-252.0;-7.0;3152;-135.0
-27;-31;166.0;-227;12;15;141.0;-12;-203.0;-80.0;-31;155.0
2;6;-111.0;-321;11;-1;-120.0;-11;-187.0;-17.0;6;-102.0
-5;-7;28.0;-232;22;6;-10.0;-22;-349.0;-231.0;-7;8.0
-13;4;-675.0;-258;40;0;-367.0;-40;-333.0;-83.0;4;-677.0
-4;16;15.0;-312;12;3;-165.0;-12;-246.0;-32.0;16;-179.0
-8;4;39.0;-245;45;8;28.0;-45;-582.0;-209.0;4;32.0
5;17;1439.0;-274;78;1;-294.0;-78;-255.0;-157.0;17;-604.0
-6;11;26.0;-244;-22;-7;-227.0;22;-185.0;-145.0;11;-567.0
-241;-2472;54.0;-357;-819;-185;135.0;819;-613.0;-161.0;-2472;182.0
0;-19;2374.0;-263;-37;2;1217.0;37;-538.0;-160.0;-19;930.0
-9;-13;-166.0;-250;-6;-2;-41.0;6;-121.0;-153.0;-13;-256.0
-5;3;347.0;-284;-22;-2;340.0;22;-432.0;-141.0;3;857.0
-1;-8;848.0;-239;-13;9;853.0;13;-259.0;-140.0;-8;-239.0
13;14;17.0;-333;-5;0;3.0;5;-260.0;-9.0;14;83.0
-1;8;43.0;-265;-16;0;-23.0;16;-206.0;-163.0;8;25.0
4;4;9.0;-259;-23;3;-41.0;23;-89.0;-152.0;4;-31.0
11;-11;17.0;-335;-1;-2;-13.0;1;-257.0;2.0;-11;21.0
11;-6;45.0;-219;8;9;1.0;-8;-346.0;-228.0;-6;-50.0
-2;-1;-68.0;-275;19;0;-73.0;-19;-151.0;-155.0;-1;-6.0
7;32;-294.0;-290;1;-1;36.0;-1;-322.0;19.0;32;32.0
0;-11;31.0;-260;16;2;1.0;-16;-75.0;-160.0;-11;-30.0
-18;-14;6.0;-267;54;-13;-180.0;-54;-708.0;-201.0;-14;73.0
0;10;73.0;-245;-23;-4;32.0;23;-225.0;11.0;10;42.0
2;5;38.0;-315;-13;3;7.0;13;-199.0;-13.0;5;56.0
4;-9;-95.0;-321;-21;-4;104.0;21;-187.0;-1.0;-9;-118.0
9;-4;-103.0;-314;255;2;-30.0;-255;-197.0;-37.0;-4;-141.0
5;-18;-1.0;-323;-7;1;-14.0;7;-227.0;-12.0;-18;42.0
-1;-7;-102.0;-259;25;0;-79.0;-25;-69.0;-175.0;-7;-10.0
-4;7;7.0;-227;-10;8;-9.0;10;-349.0;-240.0;7;13.0
3;6;-32.0;-268;6;0;-32.0;-6;-508.0;-151.0;6;194.0
-209;397;698.0;-430;1990;-177;214.0;-1990;-240.0;-56.0;397;-439.0
5;-5;67.0;-321;18;-1;41.0;-18;-71.0;-15.0;-5;-51.0
-8;26;-78.0;-250;-27;-7;142.0;27;-490.0;-120.0;26;-62.0
12;18;-2304.0;-278;26;2;-1676.0;-26;-500.0;-155.0;18;145.0
1;3;19.0;-336;11;-5;-32.0;-11;-171.0;-21.0;3;17.0
4;-17;476.0;-276;-36;-3;213.0;36;-151.0;-112.0;-17;-173.0
-1;5;199.0;-313;-6;5;-89.0;6;-267.0;-21.0;5;21.0
-4;38;-356.0;-262;4;0;127.0;-4;-299.0;-68.0;38;557.0
-1;20;-295.0;-263;-6;2;-205.0;6;-453.0;127.0;20;92.0
-4;-15;-5.0;-318;45;3;2.0;-45;-131.0;-26.0;-15;3.0
0;1;39.0;-249;-27;2;32.0;27;-304.0;20.0;1;44.0
-348;378;-29.0;-172;59;-44;200.0;-59;-346.0;236.0;378;313.0
1;39;-403.0;-246;-42;2;748.0;42;-367.0;-91.0;39;-484.0
1;26;20.0;-233;20;7;-15.0;-20;-356.0;-243.0;26;33.0
5;-28;14.0;-339;25;-7;-7.0;-25;-253.0;-7.0;-28;5.0
1;-8;235.0;-261;-16;0;-362.0;16;-253.0;143.0;-8;243.0
-2;34;78.0;-253;-32;-1;-28.0;32;-302.0;-10.0;34;32.0
0;-9;-28.0;-274;-21;-6;-40.0;21;-430.0;90.0;-9;10.0
-8;-11;146.0;-231;-13;16;16.0;13;-376.0;106.0;-11;217.0
-4;7;65.0;-252;-22;0;-93.0;22;-311.0;0.0;7;104.0
6;5;-326.0;-300;-13;-23;-205.0;13;-238.0;11.0;5;209.0
-1;5;-63.0;-318;-15;-3;-17.0;15;-125.0;-9.0;5;29.0
8;-26;66.0;-320;118;-7;50.0;-118;-255.0;-24.0;-26;94.0
7;23;52.0;-243;0;1;5.0;0;-321.0;-11.0;23;95.0
394;-1815;-349.0;-246;-4579;55;-110.0;4579;-468.0;-104.0;-1815;-233.0
1;21;254.0;-265;43;6;103.0;-43;-400.0;60.0;21;141.0
10;-5;168.0;-267;0;-4;2.0;0;-193.0;-153.0;-5;-43.0
-3;-8;46.0;-269;-41;6;16.0;41;-219.0;-153.0;-8;24.0
-5;38;-31.0;-265;9;-4;-41.0;-9;-415.0;54.0;38;-78.0
-3;7;78.0;-281;8;-4;92.0;-8;-164.0;-158.0;7;40.0
-2;5;141.0;-273;-24;1;-14.0;24;-145.0;-183.0;5;89.0
92;-2309;90.0;-558;1323;216;90.0;-1323;-548.0;-135.0;-2309;143.0
-3;1;-622.0;-300;22;-11;-730.0;-22;-502.0;29.0;1;128.0
2;26;43.0;-277;-3;-4;-4.0;3;-123.0;-171.0;26;-3.0
-6;29;214.0;-264;-15;-2;79.0;15;-86.0;-168.0;29;30.0
22;-2;172.0;-259;-3;13;-351.0;3;-251.0;-82.0;-2;438.0
-3;8;-1459.0;-262;2;-4;-441.0;-2;-275.0;-180.0;8;209.0
-5;34;-108.0;-275;-21;-6;-331.0;21;-102.0;-170.0;34;-13.0
-4;-14;-72.0;-267;-3;-3;95.0;3;-460.0;38.0;-14;81.0
-6;0;-442.0;-266;51;1;-21.0;-51;-294.0;-131.0;0;179.0
8;-8;-7.0;-318;-51;7;1.0;51;-143.0;-32.0;-8;74.0
-7;-27;-276.0;-266;-168;-13;244.0;168;-43.0;-162.0;-27;12.0
-3;-2;137.0;-253;-25;0;40.0;25;-670.0;121.0;-2;30.0
-355;-3229;-1237.0;-451;-4205;-206;-211.0;4205;-603.0;197.0;-3229;208.0
6;-12;-510.0;-236;10;-5;-445.0;-10;-360.0;-242.0;-12;978.0
-1;2;26.0;-256;-9;5;24.0;9;-411.0;98.0;2;0.0
3;-6;47.0;-235;3;-1;-164.0;-3;-402.0;-251.0;-6;-88.0
-2;-17;296.0;-205;-28;11;-84.0;28;-478.0;-294.0;-17;253.0
-3;-14;39.0;-312;0;5;254.0;0;-215.0;-16.0;-14;419.0
-2;-21;150.0;-237;39;0;-29.0;-39;-374.0;-253.0;-21;-121.0
5;9;38.0;-270;30;-1;6.0;-30;-342.0;-2.0;9;-100.0
-1;15;-53.0;-238;6;-1;-46.0;-6;-123.0;-152.0;15;212.0
-91;36;629.0;-291;50;-90;122.0;-50;-300.0;-590.0;36;288.0
-2;19;61.0;-258;41;-2;96.0;-41;-360.0;28.0;19;-364.0
1;-6;98.0;-259;-39;-7;69.0;39;-424.0;-25.0;-6;-28.0
-3;-27;-10.0;-248;52;3;-53.0;-52;-668.0;119.0;-27;-26.0
0;26;-261.0;-291;37;-6;-317.0;-37;-404.0;-131.0;26;155.0
-2;28;99.0;-244;-29;-4;-46.0;29;-376.0;-248.0;28;77.0
-2;5;45.0;-234;-2;0;13.0;2;-368.0;-244.0;5;-2.0
3;48;59.0;-255;-53;0;39.0;53;-577.0;-232.0;48;28.0
-4;-3;217.0;-265;-103;7;182.0;103;-485.0;-109.0;-3;102.0
-2;-36;-110.0;-264;77;-2;-32.0;-77;-58.0;-164.0;-36;74.0
-10;18;102.0;-231;-29;-2;-77.0;29;-404.0;-208.0;18;-501.0
1;-13;13.0;-259;5;-1;29.0;-5;-424.0;100.0;-13;33.0
3;-6;-130.0;-243;17;-4;-41.0;-17;-323.0;-250.0;-6;46.0
151;-30;-854.0;-330;-46;0;-275.0;46;-544.0;-855.0;-30;449.0
3;6;50.0;-235;-45;-5;-107.0;45;-488.0;-278.0;6;-41.0
-115;112;349.0;-272;523;53;323.0;-523;-435.0;21.0;112;-278.0
83;46;918.0;-303;31;-94;-364.0;-31;-246.0;10.0;46;924.0
-13;6;-584.0;-282;6;-9;-87.0;-6;-374.0;-193.0;6;-10.0
0;-95;65.0;-271;-22;-17;40.0;22;-318.0;-236.0;-95;23.0
-3;8;24.0;-273;11;-3;-21.0;-11;-636.0;-162.0;8;-59.0
10;64;-36.0;-245;-15;13;-89.0;15;-328.0;-295.0;64;70.0
-19;243;-145.0;-241;-31;17;-341.0;31;-548.0;-63.0;243;-511.0
3;18;-71.0;-232;14;-1;-142.0;-14;-364.0;-251.0;18;137.0
-6;-16;16.0;-254;33;6;-10.0;-33;-85.0;-132.0;-16;0.0
-4;4;641.0;-258;-9;2;-104.0;9;-411.0;1.0;4;-165.0
8;-9;48.0;-276;34;5;-8.0;-34;-143.0;-94.0;-9;165.0
3;-36;29.0;-257;-43;3;9.0;43;-54.0;-127.0;-36;-5.0
-2;-3;-114.0;-295;-5;-4;-77.0;5;-531.0;-185.0;-3;-344.0
30;-12;10.0;44;57;-13;50.0;-57;-457.0;-970.0;-12;-74.0
-1;-29;41.0;-195;-5;12;3.0;5;-337.0;-245.0;-29;-20.0
328;391;-24.0;-255;-17;-81;-1.0;17;-326.0;-287.0;391;-53.0
-7;-7;96.0;-257;-10;-11;109.0;10;-306.0;37.0;-7;-88.0
-19;4;-911.0;-280;2;-6;425.0;-2;-441.0;-181.0;4;141.0
1;-38;17.0;-331;-9;0;-33.0;9;-172.0;-15.0;-38;34.0
0;38;44.0;-236;-5;0;178.0;5;-389.0;-262.0;38;-3.0
8;34;-214.0;-324;-1;-9;-612.0;1;-210.0;-2.0;34;-1195.0
46;36;76.0;-256;93;49;44.0;-93;-465.0;-438.0;36;381.0
