Accelerometer HIP accZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az
30.0;-18;-973.0;-477.0;-390.0;18;-25
41.0;-17;-949.0;-512.0;?;17;-18
39.0;-23;-948.0;-591.0;-456.0;23;-16
42.0;-40;-950.0;-717.0;?;40;-20
37.0;-26;-937.0;-807.0;-579.0;26;-15
50.0;16;-953.0;-794.0;-668.0;-16;-16
72.0;?;-950.0;-872.0;-765.0;-38;-21
60.0;21;-933.0;-921.0;?;-21;-20
74.0;-21;-975.0;-899.0;-895.0;21;-16
52.0;-24;-965.0;?;-915.0;24;-14
109.0;-16;-1058.0;-969.0;-1008.0;16;-13
25.0;-15;-992.0;-918.0;-1080.0;?;-17
11.0;-6;-1014.0;-922.0;-1158.0;6;-20
25.0;1;-1067.0;-922.0;-1105.0;-1;-17
102.0;26;-988.0;-821.0;-960.0;-26;-16
67.0;13;-987.0;?;-865.0;?;-20
20.0;8;-940.0;-662.0;-841.0;-8;-13
1.0;-3;-948.0;?;-760.0;3;-17
56.0;-16;-866.0;-602.0;-670.0;16;-24
57.0;33;-899.0;-754.0;-617.0;-33;-12
69.0;14;-888.0;-669.0;-640.0;?;-19
74.0;19;-980.0;-747.0;-831.0;-19;-24
25.0;33;-955.0;-827.0;-839.0;-33;?
31.0;3;?;-865.0;-836.0;?;-20
63.0;16;-975.0;-839.0;-765.0;-16;-18
73.0;6;-952.0;?;-775.0;-6;-20
69.0;26;-965.0;-809.0;-786.0;-26;-20
76.0;30;-969.0;-766.0;-714.0;-30;-16
47.0;0;-958.0;-732.0;-705.0;0;-12
53.0;?;-954.0;-689.0;-715.0;-34;-13
65.0;39;-941.0;-666.0;-687.0;-39;-16
40.0;30;-965.0;-692.0;-733.0;-30;-12
0.0;-21;?;-500.0;-487.0;21;?
3.0;2;-958.0;-496.0;-486.0;?;?
-10.0;19;-956.0;-504.0;-471.0;-19;-17
10.0;14;-965.0;-544.0;-437.0;-14;-21
10.0;4;-953.0;-567.0;-484.0;-4;-17
47.0;-7;-930.0;-633.0;?;7;-13
35.0;5;-949.0;-661.0;-493.0;-5;-21
30.0;-9;?;-768.0;-613.0;9;-24
?;-10;-943.0;-734.0;?;10;-17
77.0;19;-961.0;-753.0;-840.0;-19;-18
?;5;?;-824.0;-862.0;-5;-19
39.0;-24;-974.0;-871.0;-852.0;24;-16
28.0;-33;-994.0;-925.0;-898.0;33;-20
-10.0;-14;-1001.0;?;-894.0;14;-16
-39.0;-10;-1004.0;?;-955.0;10;-14
6.0;-30;-1056.0;-980.0;-1064.0;30;-19
20.0;-28;-1015.0;-795.0;-943.0;28;-16
63.0;-27;-873.0;?;-858.0;27;-15
20.0;-30;-949.0;-621.0;-819.0;30;-16
8.0;-15;-1016.0;?;-754.0;15;-13
32.0;34;-1032.0;-762.0;?;-34;-17
32.0;31;-913.0;-834.0;-736.0;-31;-18
-28.0;-6;-834.0;-551.0;-653.0;6;-13
43.0;16;-856.0;-695.0;-645.0;-16;?
56.0;-13;-929.0;?;?;13;?
42.0;-19;-961.0;-925.0;-842.0;19;-18
-10.0;8;-1032.0;-888.0;-901.0;-8;-14
62.0;?;-963.0;-918.0;-822.0;6;?
25.0;23;-970.0;-850.0;-855.0;-23;?
26.0;34;-989.0;-897.0;-796.0;-34;-12
55.0;7;-979.0;-850.0;-813.0;-7;-15
42.0;-19;-983.0;?;-786.0;19;-18
56.0;-24;-955.0;?;?;24;-12
49.0;7;-930.0;-767.0;-721.0;-7;-24
7.0;7;-912.0;-751.0;-705.0;-7;-24
19.0;-3;-937.0;-713.0;-708.0;3;-20
12.0;?;-910.0;-631.0;-696.0;-38;-18
-29.0;-13;-976.0;-395.0;-392.0;13;-18
-11.0;5;-962.0;-400.0;-404.0;-5;-14
-47.0;12;-946.0;-410.0;-425.0;-12;-17
?;-26;-951.0;-428.0;-437.0;26;-17
-2.0;-24;?;?;-433.0;24;-15
-6.0;-5;-950.0;-441.0;-446.0;5;?
?;-5;-945.0;-473.0;-450.0;5;?
7.0;31;-965.0;-492.0;-459.0;-31;-20
10.0;32;-946.0;-552.0;-496.0;-32;-25
-14.0;-15;-949.0;-555.0;-531.0;15;-22
13.0;-4;-949.0;-584.0;-580.0;4;?
31.0;16;-984.0;-675.0;-593.0;-16;-14
70.0;13;-975.0;-700.0;-614.0;-13;?
51.0;-2;-926.0;-664.0;-664.0;2;-17
89.0;-16;?;-736.0;-769.0;16;-18
61.0;?;?;-793.0;-773.0;-3;-19
102.0;7;-978.0;-808.0;-778.0;?;-23
?;-4;?;-811.0;?;4;-19
74.0;-28;-974.0;-844.0;-751.0;28;?
83.0;-2;-1012.0;-837.0;-897.0;?;-20
92.0;12;-972.0;-884.0;-864.0;-12;-14
93.0;-28;-963.0;-824.0;-772.0;28;-18
101.0;16;-972.0;-798.0;-811.0;-16;-19
82.0;7;-962.0;-881.0;-843.0;-7;-16
99.0;-16;-967.0;-802.0;-783.0;16;-17
?;5;-991.0;-776.0;-787.0;-5;-14
115.0;-17;-958.0;-737.0;-820.0;17;-16
?;1;-959.0;-807.0;-744.0;-1;-18
133.0;?;-977.0;-876.0;-811.0;1;-11
104.0;2;?;-846.0;-844.0;?;-20
92.0;16;-963.0;-795.0;-839.0;-16;-24
90.0;-13;?;?;-854.0;13;-16
?;-17;-956.0;-869.0;-850.0;17;-18
?;-6;-975.0;-889.0;-872.0;6;-16
97.0;-12;-993.0;-929.0;-957.0;12;-19
91.0;-23;-980.0;-856.0;-916.0;23;?
146.0;-6;-971.0;-826.0;-938.0;6;-20
113.0;18;-945.0;-899.0;-953.0;-18;-20
124.0;16;-952.0;-911.0;-917.0;-16;-20
127.0;16;-955.0;-963.0;-959.0;?;-19
151.0;3;-964.0;-986.0;-953.0;-3;-24
152.0;-16;-944.0;-962.0;-995.0;16;-21
141.0;?;-948.0;-951.0;-995.0;?;-15
?;21;-952.0;-994.0;?;-21;-18
122.0;17;-958.0;-986.0;-996.0;-17;-18
136.0;-27;-957.0;-1029.0;-1031.0;27;-17
163.0;0;-970.0;-1040.0;?;0;-14
122.0;18;-963.0;-1023.0;-1000.0;-18;-15
142.0;23;-959.0;-1017.0;-988.0;-23;-17
118.0;49;-964.0;-1100.0;-990.0;-49;-13
103.0;28;?;-1019.0;?;-28;-15
124.0;24;-968.0;-1006.0;-987.0;-24;-19
115.0;28;-961.0;-996.0;-990.0;-28;-21
118.0;28;-966.0;-1008.0;-1001.0;-28;-18
?;20;-966.0;-1005.0;-996.0;-20;-18
95.0;-8;-962.0;-1000.0;-994.0;8;-21
?;3;-962.0;-1000.0;-992.0;-3;-20
110.0;4;-959.0;-985.0;-981.0;-4;-23
?;-33;-968.0;-1001.0;-991.0;33;-17
91.0;-28;-981.0;-1000.0;-1001.0;28;-9
119.0;-2;-980.0;-1007.0;?;2;?
115.0;-20;?;-1014.0;-997.0;20;-15
100.0;-30;-960.0;-1015.0;-992.0;30;-19
?;-2;-970.0;-1001.0;?;2;-16
101.0;13;-961.0;-1008.0;-1002.0;-13;-15
114.0;11;?;-1011.0;-1017.0;-11;-21
156.0;?;-969.0;-993.0;-1013.0;31;?
171.0;-35;-944.0;?;-987.0;35;-22
162.0;22;-936.0;-948.0;-967.0;-22;-16
179.0;?;-921.0;-944.0;-964.0;6;-16
214.0;-51;-941.0;-962.0;-968.0;51;-24
?;-44;?;-1000.0;-976.0;?;-14
211.0;-18;-989.0;-1040.0;-1014.0;18;-6
240.0;27;-989.0;-1038.0;-1027.0;-27;-21
250.0;13;-962.0;-996.0;-998.0;-13;-22
204.0;-21;-944.0;-970.0;-971.0;21;-16
205.0;7;-940.0;-964.0;-947.0;-7;-22
206.0;30;-930.0;-943.0;-916.0;-30;-13
210.0;10;-936.0;-961.0;-915.0;-10;-7
222.0;-6;-967.0;-1003.0;-933.0;6;-13
233.0;?;-975.0;-999.0;-950.0;?;-15
?;-32;-958.0;?;-942.0;32;-27
208.0;-53;-943.0;-985.0;-923.0;53;-16
175.0;?;-936.0;-968.0;-895.0;79;-26
220.0;-49;-936.0;-957.0;-887.0;49;-9
224.0;-6;-938.0;?;-895.0;6;-19
228.0;-11;-943.0;-967.0;-905.0;11;-55
192.0;46;-944.0;-969.0;-913.0;-46;74
221.0;122;-943.0;-963.0;-916.0;-122;-2
?;195;-942.0;-962.0;-929.0;?;-113
202.0;172;-956.0;-954.0;-931.0;-172;?
206.0;12;-936.0;-942.0;?;?;-33
185.0;-43;?;-933.0;?;43;-33
?;-34;-939.0;-951.0;-914.0;34;-1
150.0;48;-959.0;-987.0;-949.0;-48;-10
157.0;-5;-959.0;-996.0;-966.0;5;-15
180.0;?;-948.0;-991.0;-967.0;45;-19
159.0;-20;-950.0;-979.0;-958.0;20;-21
181.0;4;-954.0;-991.0;-967.0;-4;-16
173.0;14;-954.0;?;?;-14;-13
162.0;-18;-992.0;-1020.0;-986.0;18;-18
152.0;-40;-999.0;-1052.0;?;40;-12
151.0;-17;?;-1003.0;-1001.0;17;-12
190.0;-3;-919.0;-952.0;-955.0;3;-15
158.0;-27;-920.0;-940.0;-932.0;?;-13
204.0;-23;-945.0;-966.0;-949.0;23;-18
190.0;-17;-958.0;-983.0;-972.0;17;-19
180.0;-63;-964.0;-989.0;-986.0;63;-19
182.0;-68;-952.0;-973.0;-978.0;68;-23
192.0;-26;-944.0;-962.0;?;26;-12
205.0;-19;-943.0;-963.0;-939.0;19;-8
228.0;-13;-952.0;-976.0;-931.0;13;-19
182.0;15;?;-984.0;-936.0;-15;-17
221.0;12;-962.0;-988.0;-931.0;-12;-18
?;-16;-955.0;-972.0;-921.0;?;-24
222.0;-7;-953.0;-970.0;-910.0;7;-16
211.0;6;-963.0;-980.0;-916.0;-6;-18
244.0;5;-972.0;-979.0;-922.0;-5;-18
261.0;?;-957.0;-965.0;-909.0;-5;-18
205.0;7;-958.0;-958.0;-894.0;-7;?
212.0;52;-965.0;-977.0;-893.0;-52;-4
264.0;88;-977.0;-991.0;-899.0;-88;?
238.0;146;-968.0;-993.0;-902.0;-146;?
240.0;107;-965.0;-979.0;-910.0;?;-16
235.0;-61;-970.0;-973.0;-928.0;61;-30
223.0;-61;-964.0;-965.0;-934.0;61;-50
?;-22;-950.0;?;-918.0;22;-18
220.0;-54;-938.0;-924.0;-900.0;54;-8
218.0;-43;-922.0;-913.0;-879.0;43;-21
142.0;-27;-887.0;-908.0;-847.0;27;-15
-180.0;-8;-698.0;-789.0;-693.0;8;-14
338.0;-11;-900.0;?;-555.0;11;-14
333.0;-19;-1195.0;-1369.0;-1187.0;19;-15
-299.0;7;-1272.0;-1444.0;-1407.0;-7;-13
187.0;-4;-1049.0;-1134.0;?;4;-12
94.0;-27;-842.0;-842.0;-959.0;27;-19
116.0;-8;-741.0;-735.0;-793.0;8;-19
47.0;-20;-831.0;-742.0;-801.0;20;-20
100.0;-23;-917.0;-905.0;-950.0;23;-20
76.0;-2;-952.0;-1016.0;-1038.0;2;-13
69.0;-40;?;-1010.0;-999.0;40;-25
91.0;?;-925.0;-980.0;-968.0;37;-25
81.0;31;-942.0;-972.0;-979.0;-31;0
82.0;33;?;-962.0;-986.0;-33;-11
?;27;-922.0;-962.0;-966.0;-27;-25
120.0;14;-924.0;-973.0;-952.0;-14;-14
123.0;-36;-946.0;-986.0;-960.0;36;-13
104.0;-39;-952.0;-992.0;-964.0;?;-18
98.0;-28;?;?;-966.0;?;-15
75.0;?;-949.0;-968.0;-964.0;30;-13
116.0;-23;-955.0;-981.0;?;23;?
95.0;-10;-949.0;-1008.0;-955.0;10;-10
?;23;-970.0;-1019.0;-955.0;-23;-1
133.0;38;-969.0;-1021.0;-967.0;-38;-15
159.0;10;-950.0;-997.0;-966.0;-10;-30
155.0;8;-947.0;-979.0;-959.0;-8;-31
?;?;-956.0;-978.0;-967.0;-17;-20
172.0;?;-956.0;-974.0;-963.0;0;-15
100.0;21;-975.0;-993.0;-957.0;-21;-21
90.0;18;-972.0;?;-969.0;?;-16
205.0;-43;?;-983.0;-954.0;43;-13
159.0;-37;-938.0;-969.0;?;37;-22
132.0;-40;-963.0;?;-950.0;40;-25
151.0;-82;-984.0;-1020.0;?;?;-15
154.0;-70;-982.0;-1015.0;-969.0;70;-26
132.0;-90;-963.0;?;-954.0;90;-34
169.0;-113;-947.0;?;-935.0;113;-29
160.0;-108;-949.0;-965.0;-931.0;108;-54
159.0;-179;-945.0;-970.0;-952.0;179;9
186.0;39;-954.0;-969.0;-952.0;-39;128
176.0;288;-944.0;?;-940.0;-288;48
204.0;133;-949.0;?;?;-133;-96
?;80;-960.0;-982.0;-946.0;-80;?
170.0;21;-959.0;-984.0;-927.0;-21;-8
162.0;-41;-955.0;-979.0;-910.0;41;-19
183.0;47;-961.0;-987.0;-903.0;-47;-17
171.0;24;-938.0;-976.0;-885.0;?;-2
?;22;-955.0;-976.0;?;-22;?
129.0;20;-975.0;-1006.0;-980.0;-20;?
110.0;4;-953.0;-998.0;-967.0;-4;-15
63.0;5;-946.0;-973.0;-953.0;-5;-16
105.0;2;-954.0;-984.0;-962.0;-2;?
120.0;28;-942.0;-981.0;-961.0;-28;-17
104.0;33;?;?;-957.0;?;-19
133.0;8;-962.0;-1001.0;-967.0;?;-25
111.0;-9;-966.0;-991.0;-979.0;9;-23
142.0;?;-949.0;-980.0;-965.0;27;-18
101.0;-7;-948.0;-969.0;-956.0;7;-19
155.0;27;-955.0;-975.0;-962.0;-27;-18
?;19;-967.0;-985.0;-970.0;-19;-16
154.0;?;-979.0;-1009.0;?;-17;-19
151.0;1;?;-1011.0;-988.0;-1;-19
171.0;-8;-966.0;-983.0;-979.0;8;-16
183.0;18;-965.0;-978.0;-972.0;-18;-20
182.0;0;-961.0;-986.0;-968.0;0;-15
175.0;23;-967.0;-983.0;-961.0;-23;-24
153.0;?;-972.0;-986.0;-957.0;7;-12
183.0;-31;-969.0;-997.0;-959.0;31;-23
162.0;76;-971.0;-994.0;-937.0;-76;?
201.0;-59;-965.0;-996.0;-935.0;59;-34
200.0;-185;-969.0;-1001.0;-920.0;185;-39
173.0;51;-973.0;-1004.0;-936.0;-51;18
163.0;120;-971.0;-999.0;-932.0;-120;50
172.0;-79;-970.0;-1004.0;-950.0;79;-52
193.0;-87;?;-996.0;?;87;-49
189.0;-6;-954.0;-984.0;-926.0;6;-24
170.0;-29;-950.0;-969.0;-927.0;29;-28
132.0;-33;-944.0;-958.0;-908.0;33;5
201.0;-15;-891.0;?;-836.0;15;-7
102.0;-17;-765.0;-793.0;-644.0;17;-30
-176.0;-18;-703.0;?;-601.0;18;-21
17.0;-15;-908.0;-962.0;-811.0;15;?
-77.0;-20;-1298.0;?;?;?;-28
-20.0;-10;-1448.0;?;-1645.0;10;-21
235.0;7;-1157.0;-1175.0;-1323.0;-7;-17
42.0;5;-849.0;-835.0;-927.0;-5;?
59.0;3;-760.0;-767.0;-782.0;-3;-17
135.0;14;-853.0;?;-811.0;-14;-19
164.0;11;-926.0;-918.0;?;-11;-20
82.0;2;-961.0;-1017.0;-978.0;-2;-17
100.0;-7;-968.0;?;-989.0;7;-18
61.0;4;-975.0;-1025.0;-974.0;-4;-22
83.0;28;-953.0;-998.0;-969.0;-28;-22
102.0;-2;-941.0;-977.0;-970.0;2;-18
124.0;-19;-938.0;-964.0;-955.0;19;?
90.0;-2;-935.0;-973.0;-959.0;2;-15
91.0;-7;?;-975.0;-962.0;7;-21
88.0;-6;-935.0;-970.0;-971.0;6;-21
151.0;1;-956.0;-989.0;-979.0;-1;-16
?;?;?;-993.0;-981.0;-20;-18
103.0;?;-971.0;-999.0;-980.0;-26;-22
99.0;11;-964.0;-994.0;-973.0;-11;-20
95.0;5;-950.0;-995.0;?;-5;-19
111.0;5;-968.0;-1029.0;?;-5;-22
102.0;-10;-955.0;-1002.0;-961.0;10;-19
82.0;-23;-945.0;-980.0;-958.0;23;-13
92.0;27;-953.0;-994.0;-980.0;-27;-16
121.0;61;-956.0;-998.0;-998.0;-61;-15
109.0;36;-955.0;-979.0;-980.0;-36;-11
113.0;36;?;-999.0;-961.0;-36;-19
105.0;33;-955.0;-1000.0;-971.0;-33;-22
89.0;19;-961.0;-1004.0;-985.0;-19;-20
90.0;7;-964.0;-1004.0;-970.0;-7;-20
76.0;-25;-962.0;-1005.0;-973.0;25;-19
94.0;?;-950.0;-991.0;-978.0;14;-16
96.0;7;-951.0;-993.0;-979.0;-7;-14
95.0;-44;-951.0;-991.0;-978.0;44;-16
?;-57;-947.0;-987.0;-976.0;57;-22
113.0;-12;?;-996.0;?;12;-9
94.0;-36;-999.0;?;-1043.0;36;-20
90.0;22;?;?;-1075.0;-22;-17
110.0;92;-1008.0;-1045.0;?;-92;-23
?;-66;-958.0;-987.0;-992.0;66;-76
127.0;-43;-935.0;-955.0;-958.0;43;59
153.0;160;-941.0;-939.0;-957.0;-160;151
107.0;82;-941.0;-951.0;-944.0;-82;18
?;-84;-956.0;-992.0;-931.0;84;-31
145.0;-41;-974.0;-1024.0;-921.0;?;-14
168.0;65;-979.0;-1039.0;-915.0;-65;-20
125.0;28;?;-1027.0;-896.0;-28;-18
193.0;-50;-935.0;-963.0;-865.0;50;-15
168.0;-61;-870.0;-883.0;-779.0;61;-15
129.0;-61;-749.0;-779.0;-644.0;61;-25
-279.0;-44;-643.0;-690.0;-648.0;44;?
213.0;-30;-844.0;-760.0;-767.0;30;?
-111.0;-27;-1220.0;-1225.0;-1303.0;27;-18
-68.0;-29;-1417.0;-1594.0;-1563.0;29;-20
151.0;-27;-1195.0;-1315.0;-1448.0;27;?
20.0;-28;?;-907.0;-1051.0;28;-19
101.0;?;-810.0;-803.0;-860.0;40;-20
103.0;-23;?;-814.0;-823.0;23;-10
92.0;-23;-903.0;?;-887.0;23;?
48.0;-21;-913.0;-949.0;-915.0;21;-19
70.0;?;-934.0;-995.0;?;-20;?
103.0;18;?;-1014.0;-924.0;-18;-15
73.0;?;-953.0;-1011.0;-947.0;12;-16
48.0;-20;-943.0;-984.0;-969.0;20;?
?;?;-930.0;-962.0;-959.0;12;-17
?;-3;-933.0;-963.0;-975.0;3;-15
90.0;6;-951.0;-975.0;-982.0;-6;-14
79.0;6;-953.0;-988.0;-983.0;?;-18
73.0;-13;-966.0;-1002.0;-983.0;13;-18
79.0;-19;-955.0;-992.0;-975.0;19;-17
64.0;-16;-949.0;-984.0;-972.0;16;-17
51.0;-16;-955.0;-991.0;-972.0;16;-17
81.0;7;-967.0;-988.0;-970.0;-7;-16
?;17;?;-1000.0;-968.0;-17;-14
83.0;?;-964.0;-1012.0;-982.0;5;-20
87.0;2;-964.0;-1013.0;-982.0;-2;-23
50.0;?;-932.0;-989.0;-968.0;3;-19
48.0;-17;-949.0;-991.0;-978.0;17;-18
79.0;-6;-957.0;?;-980.0;6;-21
77.0;-7;?;-989.0;-978.0;7;-22
65.0;5;-956.0;-987.0;-983.0;-5;?
65.0;-13;-955.0;-991.0;-988.0;13;?
75.0;-23;-952.0;-988.0;-976.0;23;-20
55.0;28;?;-985.0;-974.0;-28;?
57.0;36;-951.0;-996.0;-974.0;-36;-14
63.0;-10;-952.0;?;-980.0;10;-22
60.0;-19;?;?;-992.0;19;?
80.0;21;-952.0;-986.0;?;?;-19
60.0;40;-940.0;-990.0;?;?;-13
40.0;36;-957.0;-1003.0;-977.0;-36;-18
28.0;16;-969.0;?;-973.0;-16;-26
?;-7;-954.0;-995.0;-969.0;7;-13
64.0;13;-954.0;-998.0;-980.0;-13;-16
40.0;4;-947.0;-999.0;-977.0;-4;-14
50.0;?;-952.0;-996.0;-976.0;2;-13
?;16;-962.0;-999.0;?;-16;-22
?;?;-951.0;-999.0;-989.0;-16;-13
43.0;51;-965.0;-1003.0;-1006.0;-51;-15
52.0;58;-957.0;-995.0;-986.0;-58;-15
54.0;46;-953.0;-994.0;-964.0;-46;-15
38.0;?;-948.0;-999.0;-980.0;-65;-23
75.0;42;-955.0;-1003.0;-993.0;-42;-23
?;16;-958.0;-994.0;?;?;-22
90.0;27;-960.0;?;-999.0;-27;-16
61.0;12;-945.0;-989.0;-985.0;-12;-12
61.0;?;-958.0;-996.0;-975.0;-6;-18
63.0;-2;-970.0;?;?;2;-16
?;-16;-973.0;-1012.0;-988.0;16;-10
53.0;?;?;-1000.0;-986.0;-13;-17
74.0;20;-957.0;?;-980.0;-20;-21
51.0;9;-950.0;?;-961.0;-9;-21
