InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX
13.0;-840;-2.0;350;18.0;17.0;58.0
5.0;-838;-23.0;350;15.0;35.0;-8.0
23.0;-785;13.0;428;31.0;16.0;71.0
17.0;-778;2.0;419;40.0;71.0;93.0
-12.0;-785;-17.0;425;-17.0;66.0;14.0
6.0;-751;-9.0;452;101.0;34.0;68.0
-14.0;-750;6.0;459;-5.0;45.0;-62.0
-34.0;-744;24.0;454;12.0;28.0;22.0
8.0;-740;5.0;466;30.0;44.0;-30.0
-18.0;-743;-16.0;457;29.0;32.0;16.0
10.0;-748;5.0;455;26.0;14.0;-26.0
-58.0;-755;19.0;417;-40.0;42.0;50.0
-1.0;-748;27.0;459;-2.0;-33.0;72.0
-26.0;-746;13.0;460;29.0;25.0;21.0
86.0;-749;-47.0;417;70.0;107.0;12.0
-16.0;-744;64.0;469;11.0;58.0;-25.0
-42.0;-735;25.0;473;-8.0;38.0;44.0
13.0;-779;-10.0;429;41.0;50.0;-38.0
9.0;-783;1.0;421;20.0;66.0;7.0
52.0;-748;3.0;424;21.0;13.0;34.0
50.0;-746;-30.0;430;47.0;49.0;29.0
30.0;-746;-42.0;433;55.0;47.0;31.0
39.0;-761;-21.0;413;1.0;35.0;23.0
43.0;-763;-25.0;406;-28.0;12.0;21.0
41.0;-741;-30.0;427;-13.0;27.0;19.0
117.0;-698;-58.0;516;-41.0;-24.0;3.0
25.0;-727;-13.0;443;21.0;7.0;47.0
4.0;-727;18.0;444;81.0;23.0;62.0
6.0;-781;-28.0;415;23.0;44.0;35.0
21.0;-784;12.0;419;4.0;21.0;-48.0
16.0;-797;-13.0;416;44.0;71.0;25.0
25.0;-790;-6.0;413;54.0;55.0;-8.0
17.0;-811;-40.0;347;8.0;21.0;113.0
48.0;-795;-17.0;416;-8.0;38.0;29.0
13.0;-764;31.0;440;-35.0;-20.0;-39.0
13.0;-844;-14.0;347;35.0;40.0;80.0
-12.0;-730;6.0;441;54.0;33.0;-25.0
-4.0;-735;25.0;439;1.0;29.0;75.0
11.0;-764;38.0;443;-25.0;-7.0;-68.0
24.0;-792;-14.0;413;-13.0;10.0;34.0
23.0;-796;-15.0;416;0.0;20.0;-52.0
58.0;-800;-38.0;412;52.0;-18.0;-82.0
64.0;-799;2.0;408;100.0;66.0;25.0
29.0;-787;-62.0;418;74.0;57.0;66.0
45.0;-805;-37.0;403;60.0;97.0;108.0
25.0;-805;-47.0;401;31.0;36.0;59.0
31.0;-801;-32.0;399;-2.0;9.0;-3.0
27.0;-801;-35.0;403;11.0;9.0;-1.0
17.0;-803;-10.0;405;24.0;40.0;-77.0
33.0;-806;-24.0;400;49.0;48.0;-20.0
74.0;-805;-37.0;407;9.0;57.0;46.0
50.0;-804;-27.0;397;47.0;65.0;-1.0
-6.0;-805;-39.0;400;23.0;19.0;-31.0
-3.0;-837;7.0;355;-4.0;15.0;65.0
21.0;-803;-4.0;402;-19.0;14.0;-28.0
20.0;-805;-12.0;401;17.0;0.0;-6.0
28.0;-803;-4.0;398;21.0;77.0;33.0
40.0;-808;-44.0;399;-10.0;1.0;23.0
33.0;-808;-49.0;400;-7.0;18.0;-22.0
54.0;-809;-20.0;402;25.0;30.0;-20.0
58.0;-833;-24.0;354;31.0;38.0;-8.0
15.0;-715;19.0;490;29.0;19.0;40.0
4.0;-717;-6.0;460;13.0;51.0;-39.0
2.0;-718;-27.0;459;14.0;57.0;43.0
22.0;-718;2.0;459;15.0;43.0;93.0
5.0;-717;0.0;489;13.0;6.0;60.0
43.0;-716;-9.0;463;45.0;31.0;82.0
5.0;-717;11.0;488;8.0;13.0;38.0
43.0;-713;8.0;494;43.0;41.0;35.0
23.0;-710;-3.0;499;24.0;70.0;48.0
-11.0;-710;2.0;495;6.0;24.0;12.0
64.0;-717;7.0;462;33.0;33.0;55.0
17.0;-707;21.0;497;20.0;52.0;7.0
24.0;-709;-2.0;493;12.0;26.0;-22.0
34.0;-808;-45.0;399;46.0;21.0;-4.0
19.0;-808;-66.0;400;85.0;-5.0;25.0
25.0;-802;-68.0;399;112.0;65.0;-8.0
37.0;-806;-83.0;401;89.0;44.0;-40.0
0.0;-809;-87.0;394;97.0;1.0;45.0
-17.0;-733;27.0;475;8.0;8.0;41.0
-20.0;-725;23.0;472;67.0;35.0;14.0
-5.0;-727;15.0;474;44.0;1.0;-8.0
17.0;-724;31.0;473;53.0;30.0;3.0
15.0;-723;21.0;475;37.0;42.0;11.0
-2.0;-717;18.0;464;29.0;21.0;79.0
-7.0;-725;21.0;472;46.0;8.0;12.0
48.0;-725;-14.0;479;41.0;38.0;-15.0
15.0;-725;-19.0;479;8.0;40.0;-5.0
18.0;-724;25.0;479;53.0;47.0;-10.0
20.0;-732;0.0;474;15.0;58.0;-13.0
19.0;-724;-27.0;480;7.0;48.0;-41.0
3.0;-728;-24.0;479;7.0;58.0;-43.0
12.0;-732;-45.0;475;10.0;21.0;-32.0
28.0;-728;-27.0;474;5.0;36.0;-41.0
23.0;-732;-10.0;475;33.0;42.0;-69.0
54.0;-721;-68.0;480;21.0;44.0;-46.0
11.0;-720;-41.0;479;20.0;69.0;-2.0
29.0;-740;-40.0;450;9.0;-6.0;-72.0
9.0;-744;2.0;449;31.0;25.0;-61.0
37.0;-744;-4.0;447;14.0;21.0;-47.0
19.0;-743;70.0;451;2.0;66.0;-53.0
-32.0;-837;-2.0;360;-55.0;28.0;58.0
30.0;-748;7.0;454;13.0;-35.0;-40.0
-23.0;-784;-36.0;415;-12.0;47.0;-12.0
29.0;-791;-54.0;415;-7.0;141.0;17.0
93.0;-784;-68.0;416;79.0;150.0;-20.0
7.0;-791;-5.0;407;0.0;58.0;-63.0
19.0;-784;-47.0;417;-11.0;28.0;-12.0
29.0;-783;-6.0;416;-36.0;12.0;-31.0
28.0;-739;-11.0;423;5.0;38.0;77.0
26.0;-702;-12.0;496;24.0;33.0;-1.0
73.0;-748;-50.0;426;-43.0;62.0;-51.0
27.0;-705;-18.0;497;39.0;33.0;17.0
0.0;-709;-11.0;497;13.0;29.0;32.0
21.0;-794;-26.0;411;41.0;81.0;-13.0
46.0;-794;-19.0;407;28.0;66.0;-10.0
46.0;-791;-19.0;410;-2.0;54.0;-20.0
-9.0;-748;27.0;447;-11.0;8.0;-62.0
85.0;-786;-2.0;414;-60.0;56.0;-14.0
50.0;-747;-27.0;442;64.0;-6.0;-44.0
54.0;-751;19.0;448;23.0;10.0;-80.0
-15.0;-735;62.0;457;44.0;84.0;4.0
45.0;-786;-23.0;409;-30.0;58.0;3.0
27.0;-790;-7.0;414;26.0;46.0;-10.0
27.0;-795;-3.0;411;46.0;66.0;-6.0
23.0;-791;12.0;414;-32.0;17.0;-10.0
13.0;-788;24.0;411;41.0;42.0;-19.0
31.0;-844;30.0;357;86.0;18.0;-3.0
57.0;-795;6.0;409;60.0;89.0;16.0
65.0;-796;-11.0;400;-52.0;56.0;1.0
8.0;-740;28.0;441;63.0;66.0;-20.0
13.0;-725;-27.0;439;-8.0;4.0;-37.0
0.0;-727;5.0;439;-6.0;47.0;-4.0
4.0;-729;-3.0;441;32.0;70.0;27.0
62.0;-793;-12.0;404;-60.0;83.0;-12.0
20.0;-726;-44.0;443;18.0;22.0;15.0
53.0;-789;-29.0;412;-4.0;119.0;20.0
24.0;-795;-12.0;410;5.0;137.0;0.0
40.0;-788;-31.0;410;-4.0;115.0;-36.0
17.0;-718;7.0;486;50.0;26.0;39.0
-12.0;-768;2.0;438;40.0;4.0;112.0
40.0;-821;-44.0;361;-18.0;-17.0;-42.0
4.0;-823;-32.0;363;-42.0;-3.0;-10.0
-28.0;-834;13.0;340;26.0;19.0;18.0
-25.0;-835;42.0;347;-26.0;53.0;-8.0
-33.0;-836;13.0;347;-24.0;-3.0;-34.0
-25.0;-840;-16.0;342;-17.0;-22.0;-16.0
-19.0;-825;35.0;361;-32.0;-10.0;44.0
0.0;-838;34.0;349;23.0;-11.0;-9.0
2.0;-813;29.0;344;24.0;-2.0;59.0
15.0;-842;61.0;347;-19.0;39.0;44.0
-31.0;-838;-28.0;339;-14.0;29.0;22.0
-16.0;-831;23.0;391;10.0;-3.0;16.0
-37.0;-842;24.0;351;40.0;-16.0;0.0
49.0;-791;67.0;371;14.0;111.0;-16.0
19.0;-835;-13.0;358;-26.0;57.0;3.0
34.0;-835;-2.0;361;10.0;49.0;39.0
-5.0;-829;6.0;356;-20.0;54.0;39.0
42.0;-831;-69.0;345;4.0;83.0;-67.0
51.0;-832;-43.0;344;3.0;95.0;4.0
66.0;-831;-70.0;345;0.0;61.0;10.0
47.0;-831;-38.0;346;38.0;48.0;6.0
24.0;-832;-42.0;349;28.0;50.0;-9.0
4.0;-829;-49.0;348;-2.0;24.0;-16.0
-4.0;-830;-28.0;345;22.0;16.0;-38.0
-13.0;-834;3.0;343;28.0;44.0;15.0
31.0;-829;24.0;351;10.0;16.0;1.0
12.0;-837;-46.0;346;-7.0;85.0;-1.0
22.0;-833;-7.0;345;3.0;52.0;-17.0
43.0;-827;-5.0;347;-3.0;66.0;-13.0
20.0;-828;-25.0;345;22.0;52.0;1.0
47.0;-830;-30.0;349;43.0;95.0;16.0
34.0;-829;-38.0;345;4.0;90.0;47.0
39.0;-828;-20.0;341;19.0;100.0;43.0
49.0;-832;-27.0;347;1.0;56.0;24.0
50.0;-832;-41.0;342;49.0;57.0;23.0
43.0;-829;-7.0;351;34.0;51.0;-5.0
16.0;-829;-3.0;350;18.0;42.0;8.0
33.0;-830;-15.0;345;37.0;28.0;12.0
27.0;-826;-3.0;346;41.0;50.0;7.0
16.0;-831;13.0;342;23.0;9.0;36.0
-6.0;-827;0.0;348;25.0;8.0;47.0
7.0;-833;-6.0;361;2.0;-49.0;-5.0
18.0;-829;21.0;341;32.0;57.0;18.0
-37.0;-807;22.0;376;-15.0;34.0;-19.0
17.0;-830;-1.0;361;11.0;-3.0;-3.0
41.0;-825;-13.0;345;30.0;26.0;-17.0
16.0;-830;-33.0;343;8.0;58.0;12.0
26.0;-832;-21.0;356;30.0;116.0;4.0
16.0;-833;-3.0;350;3.0;59.0;-18.0
30.0;-830;16.0;342;30.0;56.0;-18.0
3.0;-835;-21.0;342;-3.0;46.0;-29.0
37.0;-818;-51.0;367;55.0;-35.0;-57.0
32.0;-835;-9.0;343;-7.0;38.0;14.0
16.0;-831;-3.0;344;35.0;49.0;8.0
43.0;-829;-103.0;357;14.0;159.0;90.0
-14.0;-829;3.0;342;21.0;22.0;58.0
14.0;-832;8.0;345;21.0;3.0;40.0
11.0;-834;10.0;341;57.0;9.0;33.0
4.0;-826;5.0;344;19.0;25.0;34.0
53.0;-821;-67.0;369;27.0;108.0;-5.0
70.0;-818;-50.0;370;59.0;34.0;49.0
14.0;-823;65.0;364;16.0;68.0;-65.0
39.0;-818;-43.0;369;98.0;3.0;-36.0
59.0;-848;-74.0;339;134.0;-71.0;-36.0
16.0;-829;7.0;343;7.0;52.0;1.0
33.0;-827;-3.0;348;27.0;34.0;34.0
18.0;-832;13.0;351;27.0;80.0;44.0
26.0;-726;-32.0;439;-9.0;6.0;6.0
60.0;-728;-34.0;443;2.0;-6.0;4.0
22.0;-827;-24.0;338;10.0;42.0;35.0
12.0;-830;-38.0;353;-7.0;42.0;15.0
32.0;-828;-5.0;347;16.0;20.0;32.0
32.0;-826;-26.0;348;26.0;34.0;47.0
40.0;-811;-15.0;369;74.0;90.0;-14.0
15.0;-833;3.0;341;13.0;68.0;30.0
25.0;-824;-8.0;349;19.0;67.0;26.0
1.0;-826;6.0;342;26.0;36.0;12.0
9.0;-832;1.0;358;112.0;75.0;-19.0
0.0;-833;7.0;349;43.0;36.0;36.0
12.0;-835;31.0;339;3.0;49.0;13.0
-2.0;-829;-29.0;345;17.0;22.0;24.0
14.0;-833;3.0;348;9.0;50.0;13.0
16.0;-831;5.0;340;18.0;48.0;19.0
22.0;-832;-15.0;340;17.0;40.0;6.0
29.0;-831;-17.0;340;21.0;41.0;-20.0
24.0;-832;-4.0;339;17.0;56.0;-16.0
14.0;-834;-5.0;343;-3.0;37.0;-9.0
16.0;-834;-1.0;341;-21.0;14.0;9.0
28.0;-810;-65.0;377;44.0;5.0;96.0
53.0;-815;-15.0;371;-47.0;87.0;-3.0
-39.0;-799;-20.0;406;56.0;225.0;-56.0
49.0;-811;3.0;379;9.0;139.0;-38.0
52.0;-806;-11.0;383;10.0;156.0;-14.0
36.0;-814;14.0;379;5.0;153.0;27.0
13.0;-815;11.0;379;8.0;107.0;10.0
7.0;-831;-45.0;342;15.0;10.0;9.0
5.0;-814;22.0;373;3.0;7.0;10.0
12.0;-833;-17.0;340;57.0;40.0;28.0
38.0;-822;-52.0;370;81.0;44.0;-31.0
42.0;-819;4.0;366;25.0;64.0;-24.0
43.0;-831;14.0;343;31.0;36.0;26.0
-21.0;-824;14.0;367;15.0;78.0;98.0
8.0;-836;-13.0;340;-9.0;63.0;17.0
15.0;-832;12.0;340;38.0;64.0;22.0
10.0;-827;7.0;340;32.0;52.0;25.0
32.0;-831;-15.0;341;10.0;34.0;-7.0
10.0;-826;-49.0;364;21.0;-21.0;15.0
17.0;-821;-18.0;363;25.0;62.0;-12.0
27.0;-834;-36.0;345;44.0;33.0;-8.0
18.0;-833;-9.0;345;53.0;30.0;-5.0
22.0;-828;-19.0;344;22.0;40.0;4.0
-7.0;-820;54.0;369;24.0;70.0;-57.0
47.0;-833;-17.0;342;-1.0;40.0;-7.0
16.0;-834;6.0;344;13.0;65.0;-15.0
35.0;-830;-25.0;341;58.0;48.0;-8.0
41.0;-829;-16.0;340;45.0;46.0;-3.0
21.0;-829;-27.0;343;41.0;40.0;36.0
31.0;-830;-15.0;342;24.0;45.0;10.0
29.0;-829;1.0;343;33.0;42.0;34.0
16.0;-827;5.0;342;52.0;26.0;18.0
6.0;-832;4.0;345;0.0;60.0;10.0
25.0;-834;8.0;343;33.0;46.0;-3.0
8.0;-830;-1.0;343;-9.0;54.0;-30.0
-16.0;-831;-31.0;348;18.0;18.0;-12.0
16.0;-830;-16.0;337;3.0;58.0;-16.0
75.0;-722;-37.0;439;-12.0;35.0;6.0
38.0;-732;-25.0;445;36.0;62.0;60.0
63.0;-728;-28.0;439;23.0;75.0;41.0
-6.0;-833;9.0;341;13.0;56.0;-2.0
7.0;-836;-3.0;357;53.0;-1.0;-46.0
7.0;-831;4.0;362;7.0;90.0;79.0
4.0;-826;2.0;366;-21.0;122.0;62.0
23.0;-828;-2.0;365;-72.0;96.0;28.0
27.0;-835;-29.0;348;27.0;12.0;1.0
46.0;-825;15.0;369;-3.0;94.0;-54.0
29.0;-832;3.0;341;28.0;52.0;-16.0
0.0;-831;3.0;345;30.0;54.0;-21.0
7.0;-831;-4.0;343;29.0;46.0;39.0
11.0;-827;28.0;343;37.0;36.0;53.0
-11.0;-830;22.0;341;38.0;10.0;73.0
4.0;-834;5.0;338;38.0;32.0;62.0
7.0;-834;21.0;343;39.0;38.0;43.0
16.0;-832;14.0;345;30.0;18.0;51.0
19.0;-827;-7.0;341;54.0;42.0;47.0
7.0;-823;35.0;360;-25.0;37.0;-29.0
-1.0;-823;20.0;359;-18.0;9.0;-44.0
5.0;-823;33.0;359;23.0;46.0;-6.0
-13.0;-821;3.0;355;37.0;15.0;49.0
-29.0;-823;63.0;359;45.0;5.0;39.0
-23.0;-819;50.0;362;32.0;15.0;62.0
-16.0;-824;14.0;361;19.0;7.0;55.0
6.0;-824;33.0;348;82.0;-52.0;105.0
26.0;-827;17.0;343;51.0;63.0;36.0
10.0;-830;-2.0;343;9.0;54.0;-9.0
32.0;-825;3.0;345;24.0;58.0;10.0
3.0;-835;-15.0;340;22.0;48.0;7.0
24.0;-829;-5.0;345;14.0;64.0;-24.0
49.0;-830;-12.0;343;-4.0;94.0;6.0
18.0;-829;6.0;341;-2.0;62.0;0.0
57.0;-830;-15.0;342;14.0;42.0;-33.0
20.0;-833;-17.0;345;7.0;26.0;-11.0
24.0;-832;-15.0;339;-9.0;30.0;42.0
14.0;-828;-28.0;343;28.0;31.0;17.0
27.0;-825;-11.0;345;20.0;50.0;10.0
11.0;-833;-1.0;346;4.0;26.0;-22.0
2.0;-832;22.0;346;24.0;48.0;-3.0
8.0;-815;-55.0;359;62.0;-32.0;-11.0
-26.0;-814;-5.0;359;29.0;117.0;9.0
7.0;-823;13.0;344;26.0;54.0;1.0
10.0;-829;-13.0;346;4.0;20.0;-27.0
22.0;-829;17.0;347;3.0;50.0;-38.0
48.0;-830;9.0;342;-12.0;51.0;-42.0
-9.0;-830;-7.0;341;9.0;56.0;-35.0
33.0;-816;-38.0;363;-7.0;110.0;-19.0
18.0;-832;-5.0;343;-2.0;62.0;-42.0
17.0;-831;-46.0;340;-3.0;38.0;-17.0
2.0;-833;0.0;354;-31.0;49.0;94.0
35.0;-832;-15.0;343;37.0;41.0;-16.0
45.0;-830;1.0;344;80.0;14.0;-16.0
6.0;-833;-17.0;343;-11.0;24.0;37.0
12.0;-823;-24.0;344;5.0;64.0;2.0
31.0;-824;-7.0;346;36.0;54.0;24.0
17.0;-819;37.0;365;-18.0;53.0;105.0
28.0;-830;-21.0;345;54.0;30.0;-11.0
19.0;-826;-24.0;345;29.0;34.0;-7.0
19.0;-827;-15.0;343;39.0;48.0;1.0
16.0;-832;-25.0;343;18.0;34.0;7.0
37.0;-834;-28.0;341;4.0;24.0;-3.0
25.0;-835;-4.0;343;54.0;34.0;-13.0
46.0;-747;-58.0;458;34.0;-14.0;74.0
41.0;-757;-83.0;459;76.0;31.0;75.0
4.0;-836;17.0;342;37.0;38.0;5.0
16.0;-832;-35.0;342;-1.0;28.0;13.0
61.0;-822;-48.0;365;13.0;29.0;-74.0
14.0;-826;-40.0;367;29.0;56.0;-95.0
25.0;-823;-43.0;363;49.0;75.0;-65.0
33.0;-821;12.0;359;36.0;80.0;-79.0
28.0;-828;13.0;359;19.0;46.0;-19.0
13.0;-827;-23.0;355;25.0;29.0;-92.0
-12.0;-818;-11.0;360;22.0;39.0;-66.0
4.0;-819;-3.0;359;4.0;27.0;-36.0
-7.0;-818;32.0;359;11.0;60.0;59.0
34.0;-769;-77.0;435;76.0;50.0;66.0
6.0;-836;-15.0;341;29.0;19.0;2.0
73.0;-781;-14.0;416;11.0;116.0;-29.0
60.0;-785;-34.0;407;58.0;94.0;-38.0
41.0;-794;3.0;407;-8.0;99.0;50.0
69.0;-789;-44.0;396;-7.0;93.0;18.0
54.0;-793;-28.0;401;-10.0;69.0;96.0
59.0;-796;-56.0;414;-8.0;51.0;-73.0
77.0;-786;-56.0;411;9.0;55.0;-61.0
49.0;-781;-17.0;409;-20.0;36.0;127.0
33.0;-783;-8.0;425;23.0;14.0;-4.0
0.0;-783;-22.0;424;-12.0;39.0;101.0
55.0;-824;-48.0;363;38.0;81.0;-80.0
49.0;-823;-64.0;363;45.0;86.0;-53.0
41.0;-820;-53.0;353;50.0;54.0;-46.0
-6.0;-780;-11.0;424;-6.0;28.0;48.0
18.0;-783;-7.0;423;27.0;29.0;66.0
29.0;-778;-33.0;422;21.0;66.0;65.0
43.0;-776;-11.0;423;33.0;53.0;101.0
33.0;-786;-30.0;413;17.0;69.0;40.0
1.0;-821;47.0;359;-39.0;70.0;26.0
35.0;-800;-27.0;389;-58.0;30.0;69.0
-18.0;-821;-85.0;358;-31.0;9.0;37.0
16.0;-767;13.0;444;-2.0;39.0;75.0
39.0;-824;-60.0;360;30.0;103.0;32.0
11.0;-825;-19.0;370;-7.0;104.0;32.0
17.0;-824;-8.0;366;-24.0;106.0;6.0
8.0;-757;38.0;447;24.0;34.0;81.0
33.0;-830;-32.0;358;46.0;100.0;24.0
-5.0;-821;-8.0;356;-12.0;19.0;12.0
-23.0;-825;5.0;357;9.0;13.0;46.0
-39.0;-821;-8.0;358;2.0;-35.0;65.0
-5.0;-832;-19.0;342;13.0;17.0;2.0
31.0;-822;-41.0;365;52.0;47.0;56.0
26.0;-823;-55.0;356;82.0;68.0;43.0
19.0;-833;11.0;343;13.0;52.0;-18.0
54.0;-729;-22.0;441;-6.0;67.0;21.0
29.0;-732;-33.0;442;-11.0;41.0;24.0
38.0;-726;-44.0;444;20.0;39.0;23.0
45.0;-733;-11.0;441;-2.0;27.0;24.0
25.0;-728;-19.0;445;-20.0;10.0;4.0
-2.0;-729;-10.0;439;15.0;63.0;55.0
-19.0;-730;32.0;440;10.0;73.0;66.0
4.0;-731;32.0;440;11.0;39.0;48.0
16.0;-727;23.0;443;14.0;13.0;50.0
19.0;-730;24.0;449;82.0;10.0;39.0
12.0;-728;-11.0;442;8.0;8.0;52.0
0.0;-790;5.0;417;18.0;-15.0;48.0
17.0;-803;6.0;384;14.0;17.0;105.0
35.0;-802;-13.0;385;12.0;35.0;123.0
61.0;-815;-39.0;373;31.0;100.0;34.0
79.0;-823;-31.0;367;15.0;47.0;64.0
-21.0;-750;18.0;417;102.0;-15.0;-11.0
-9.0;-757;-9.0;420;85.0;-7.0;-55.0
93.0;-819;-50.0;361;66.0;82.0;-22.0
39.0;-821;-40.0;364;-17.0;42.0;-25.0
80.0;-829;-22.0;369;4.0;77.0;-47.0
36.0;-831;-50.0;344;-6.0;67.0;-39.0
65.0;-749;14.0;419;-36.0;2.0;90.0
42.0;-745;5.0;419;-11.0;-15.0;32.0
32.0;-832;-19.0;342;39.0;68.0;-2.0
24.0;-830;-36.0;341;29.0;80.0;-47.0
41.0;-826;-9.0;347;33.0;70.0;56.0
57.0;-827;-40.0;368;-4.0;63.0;-4.0
41.0;-818;-25.0;366;20.0;73.0;67.0
-36.0;-751;16.0;422;-22.0;40.0;-50.0
-17.0;-750;-6.0;425;7.0;87.0;-55.0
44.0;-823;-1.0;368;49.0;43.0;104.0
-9.0;-819;-6.0;361;50.0;71.0;110.0
43.0;-823;24.0;366;-6.0;57.0;64.0
16.0;-820;0.0;346;81.0;28.0;90.0
38.0;-821;-1.0;376;42.0;45.0;40.0
