InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
-17.0;55.0;-10.0;-21;-23.0;652;-21;10.0;12.0
20.0;35.0;18.0;-8;-55.0;649;-8;-9.0;-10.0
2.0;17.0;2.0;18;-43.0;642;18;31.0;20.0
-21.0;-18.0;-23.0;-10;-28.0;648;-10;37.0;30.0
-11.0;-17.0;1.0;-2;-33.0;647;-2;-1.0;33.0
-3.0;2.0;-23.0;8;-43.0;641;8;21.0;-6.0
-6.0;17.0;6.0;13;0.0;643;13;5.0;-33.0
-10.0;-8.0;-35.0;10;-2.0;646;10;48.0;13.0
-21.0;-11.0;-15.0;-17;5.0;646;-17;20.0;-14.0
30.0;17.0;-24.0;6;-16.0;653;6;3.0;-32.0
-15.0;19.0;-2.0;5;-5.0;648;5;10.0;-15.0
-1.0;3.0;-22.0;-1;13.0;644;-1;3.0;-8.0
-13.0;37.0;-9.0;1;-10.0;643;1;-4.0;29.0
15.0;24.0;-15.0;1;16.0;640;1;-1.0;-28.0
-7.0;19.0;-9.0;-11;-23.0;644;-11;-10.0;-9.0
6.0;15.0;-27.0;-9;-25.0;643;-9;34.0;3.0
0.0;25.0;6.0;15;6.0;639;15;27.0;25.0
-3.0;0.0;-20.0;2;20.0;636;2;18.0;-20.0
20.0;15.0;-1.0;-5;-36.0;639;-5;20.0;-11.0
4.0;9.0;-11.0;-9;-46.0;642;-9;-6.0;-19.0
-11.0;36.0;-40.0;-2;-44.0;649;-2;27.0;-51.0
-3.0;-2.0;-17.0;-26;-27.0;647;-26;42.0;-16.0
-9.0;18.0;-34.0;1;-15.0;644;1;-16.0;16.0
-18.0;37.0;19.0;19;15.0;646;19;-42.0;-11.0
3.0;9.0;2.0;2;25.0;645;2;7.0;-7.0
1.0;-8.0;0.0;-4;10.0;645;-4;16.0;18.0
19.0;32.0;-36.0;-31;2.0;646;-31;12.0;-30.0
-25.0;7.0;33.0;10;-13.0;643;10;5.0;-1.0
-11.0;50.0;-27.0;-3;-1.0;633;-3;-16.0;-76.0
-10.0;15.0;13.0;38;20.0;732;38;-31.0;-54.0
-106.0;128.0;-209.0;3;-229.0;645;3;-52.0;105.0
33.0;45.0;-55.0;-14;-36.0;648;-14;-3.0;15.0
-9.0;18.0;-27.0;-10;-55.0;648;-10;-21.0;-4.0
-35.0;13.0;-18.0;-14;-15.0;735;-14;32.0;11.0
-42.0;-2.0;-33.0;-15;-40.0;652;-15;1.0;-9.0
-19.0;-2.0;-12.0;1;-18.0;654;1;9.0;0.0
32.0;-4.0;2.0;-10;-16.0;730;-10;-25.0;-31.0
-13.0;24.0;-23.0;1;-21.0;649;1;-10.0;-10.0
-27.0;32.0;2.0;33;-43.0;647;33;4.0;6.0
1.0;20.0;-21.0;-9;-15.0;648;-9;-7.0;-20.0
37.0;170.0;118.0;-10;49.0;732;-10;148.0;39.0
-13.0;-20.0;11.0;3;2.0;723;3;-2.0;28.0
-32.0;54.0;-16.0;11;-24.0;724;11;31.0;-19.0
-16.0;9.0;-48.0;-2;-39.0;725;-2;19.0;-11.0
-7.0;10.0;44.0;17;-49.0;714;17;-66.0;-40.0
4.0;81.0;21.0;21;-48.0;733;21;-45.0;-63.0
16.0;-40.0;2.0;-2;-20.0;719;-2;-62.0;-12.0
-17.0;79.0;-1.0;-16;-42.0;719;-16;-5.0;-36.0
-19.0;-21.0;-36.0;-8;-16.0;645;-8;16.0;-6.0
-12.0;40.0;-30.0;-4;20.0;648;-4;14.0;-20.0
-10.0;-3.0;-45.0;5;-12.0;649;5;22.0;38.0
-3.0;42.0;-14.0;10;8.0;647;10;-8.0;34.0
31.0;38.0;50.0;-37;-57.0;722;-37;-138.0;-62.0
27.0;34.0;5.0;-4;-41.0;722;-4;6.0;-10.0
-7.0;26.0;-32.0;9;31.0;652;9;-6.0;-3.0
-11.0;-36.0;-27.0;10;-26.0;648;10;30.0;-16.0
-1.0;21.0;8.0;29;-3.0;642;29;14.0;-20.0
-24.0;117.0;29.0;-8;-134.0;732;-8;-24.0;43.0
-8.0;-34.0;2.0;17;-18.0;645;17;21.0;16.0
-19.0;64.0;0.0;-34;-15.0;657;-34;-46.0;-55.0
122.0;-331.0;-157.0;-910;331.0;832;-910;154.0;78.0
-21.0;9.0;-21.0;12;-12.0;726;12;20.0;-31.0
10.0;28.0;-10.0;9;-36.0;727;9;5.0;15.0
4.0;15.0;-26.0;5;-19.0;730;5;10.0;-51.0
2.0;-19.0;-13.0;-19;-40.0;729;-19;4.0;-23.0
-31.0;48.0;19.0;32;-68.0;736;32;10.0;-51.0
-26.0;20.0;-19.0;-16;-27.0;720;-16;35.0;18.0
-12.0;29.0;24.0;41;-43.0;728;41;-12.0;14.0
10.0;9.0;6.0;-25;9.0;713;-25;19.0;20.0
36.0;12.0;-17.0;-26;6.0;712;-26;0.0;5.0
-27.0;16.0;-28.0;-18;13.0;719;-18;37.0;-51.0
27.0;30.0;-24.0;-15;-12.0;731;-15;52.0;11.0
10.0;23.0;-19.0;10;-29.0;730;10;-30.0;-15.0
-28.0;-7.0;-32.0;8;17.0;717;8;30.0;-64.0
47.0;4.0;30.0;-7;3.0;731;-7;7.0;14.0
-14.0;76.0;-23.0;10;-58.0;726;10;-41.0;-6.0
-19.0;-10.0;32.0;10;6.0;725;10;-2.0;-72.0
2.0;-8.0;-30.0;16;-30.0;723;16;-5.0;-1.0
32.0;-27.0;-21.0;-25;-59.0;727;-25;21.0;-11.0
12.0;19.0;-29.0;-25;-38.0;727;-25;15.0;-84.0
-3.0;9.0;-2.0;40;-51.0;724;40;24.0;2.0
-33.0;26.0;7.0;15;-17.0;732;15;26.0;23.0
32.0;62.0;9.0;-12;-56.0;724;-12;-42.0;15.0
-31.0;-44.0;-1.0;9;-14.0;729;9;36.0;-14.0
-17.0;-15.0;-7.0;3;-34.0;727;3;59.0;-27.0
-24.0;20.0;-25.0;2;-27.0;729;2;-54.0;-108.0
18.0;-19.0;15.0;-13;-2.0;729;-13;33.0;0.0
-28.0;23.0;-19.0;26;-78.0;730;26;-67.0;-46.0
-18.0;14.0;-43.0;33;-26.0;731;33;-12.0;13.0
-29.0;-35.0;-13.0;-8;13.0;726;-8;42.0;-61.0
5.0;37.0;-26.0;-23;-39.0;734;-23;-18.0;-25.0
-30.0;33.0;18.0;-26;-37.0;731;-26;-32.0;-75.0
48.0;-2.0;-4.0;26;-60.0;734;26;-4.0;33.0
3.0;-18.0;5.0;-3;-16.0;719;-3;39.0;48.0
7.0;-11.0;-16.0;5;10.0;724;5;9.0;43.0
11.0;-40.0;-46.0;-15;-12.0;725;-15;27.0;11.0
27.0;430.0;218.0;-1431;-105.0;1871;-1431;234.0;126.0
19.0;-40.0;-28.0;0;-39.0;638;0;40.0;-13.0
-1.0;99.0;-13.0;18;2.0;644;18;-49.0;-80.0
-115.0;568.0;48.0;-759;263.0;681;-759;340.0;14.0
-40.0;136.0;40.0;-3;-122.0;728;-3;-149.0;-108.0
-58.0;57.0;55.0;1;36.0;730;1;-18.0;-51.0
-131.0;123.0;-202.0;-1;-86.0;731;-1;143.0;97.0
-10.0;34.0;-66.0;30;20.0;647;30;28.0;-30.0
-11.0;-17.0;-20.0;-17;76.0;739;-17;19.0;44.0
25.0;9.0;8.0;-15;24.0;634;-15;27.0;2.0
-28.0;131.0;8.0;-2;-13.0;631;-2;-135.0;-326.0
12.0;-9.0;-11.0;-4;40.0;723;-4;84.0;34.0
2.0;-9.0;35.0;-15;21.0;717;-15;49.0;49.0
9.0;22.0;-1.0;2;-44.0;732;2;-74.0;-110.0
92.0;-219.0;-84.0;-5;-68.0;724;-5;-445.0;-41.0
8.0;-35.0;-46.0;29;24.0;646;29;26.0;-64.0
10.0;-5.0;-6.0;-19;41.0;633;-19;2.0;27.0
-2.0;-24.0;23.0;9;-48.0;727;9;-147.0;51.0
-32.0;-52.0;-8.0;2;-9.0;640;2;55.0;19.0
161.0;-272.0;-285.0;2113;356.0;763;2113;1265.0;1323.0
69.0;105.0;-8.0;1;18.0;732;1;132.0;-48.0
-23.0;19.0;-56.0;10;6.0;733;10;52.0;-83.0
-38.0;103.0;-14.0;28;-25.0;653;28;-53.0;-24.0
-27.0;208.0;435.0;1363;-453.0;637;1363;-775.0;-518.0
-37.0;43.0;-43.0;-23;-108.0;725;-23;-114.0;-128.0
-23.0;9.0;4.0;2;85.0;636;2;18.0;46.0
33.0;-5.0;-34.0;-20;11.0;723;-20;42.0;38.0
-70.0;27.0;-44.0;-12;-69.0;731;-12;-64.0;-85.0
23.0;-1.0;13.0;26;30.0;722;26;-20.0;-80.0
-35.0;10.0;7.0;17;-17.0;731;17;-53.0;64.0
-39.0;-33.0;15.0;-8;8.0;638;-8;44.0;-22.0
-773.0;292.0;518.0;-22;-419.0;652;-22;-248.0;530.0
-44.0;49.0;8.0;12;-209.0;692;12;-185.0;-108.0
47.0;-20.0;1.0;-1;30.0;649;-1;-8.0;12.0
27.0;-27.0;4.0;4;-37.0;729;4;-100.0;-67.0
-48.0;-295.0;-255.0;1085;-32.0;748;1085;401.0;-351.0
12.0;71.0;-281.0;-676;-366.0;2283;-676;106.0;215.0
-22.0;19.0;-55.0;2;-9.0;643;2;19.0;69.0
17.0;2.0;19.0;-4;-7.0;645;-4;16.0;86.0
-11.0;-34.0;14.0;-29;-2.0;640;-29;70.0;146.0
-20.0;-30.0;-43.0;-4;-30.0;731;-4;-97.0;-110.0
1.0;10.0;-19.0;-5;-45.0;725;-5;-103.0;-104.0
9.0;478.0;341.0;-173;240.0;710;-173;289.0;208.0
-32.0;28.0;63.0;-27;-7.0;627;-27;30.0;-191.0
-27.0;353.0;-108.0;-112;21.0;805;-112;101.0;-118.0
94.0;-21.0;11.0;155;-123.0;929;155;-45.0;-14.0
2.0;13.0;77.0;26;18.0;647;26;112.0;301.0
17.0;43.0;-19.0;1;-64.0;624;1;10.0;57.0
507.0;-660.0;0.0;-3719;689.0;696;-3719;651.0;238.0
23.0;17.0;-135.0;-24;-19.0;641;-24;91.0;-203.0
32.0;-79.0;-57.0;-25;105.0;643;-25;99.0;-111.0
3.0;17.0;-14.0;2;6.0;617;2;65.0;-38.0
11.0;32.0;-35.0;-28;18.0;641;-28;11.0;-60.0
2.0;46.0;18.0;19;-23.0;641;19;-13.0;78.0
0.0;92.0;-41.0;-15;-42.0;634;-15;-89.0;43.0
5.0;63.0;-19.0;21;25.0;647;21;-15.0;30.0
-12.0;-130.0;-85.0;0;13.0;727;0;-33.0;-67.0
16.0;119.0;1.0;491;-24.0;797;491;19.0;-37.0
-43.0;144.0;-89.0;-32;-115.0;716;-32;-59.0;-57.0
-61.0;171.0;130.0;-5;-120.0;734;-5;-62.0;-32.0
10.0;-3.0;-58.0;-8;-1.0;727;-8;74.0;-91.0
-2.0;-19.0;3.0;-23;-12.0;634;-23;154.0;-261.0
183.0;-77.0;-336.0;-10;147.0;739;-10;50.0;-152.0
-36.0;-32.0;33.0;6;19.0;645;6;48.0;-37.0
-35.0;-15.0;20.0;5;26.0;719;5;-13.0;54.0
102.0;-39.0;20.0;-5;52.0;730;-5;42.0;48.0
19.0;76.0;-128.0;-1;23.0;724;-1;-126.0;-205.0
-339.0;-43.0;-168.0;12;197.0;961;12;-53.0;-40.0
-186.0;11.0;-57.0;1902;555.0;-1514;1902;705.0;592.0
-546.0;185.0;123.0;-9;-58.0;728;-9;-31.0;187.0
-211.0;-8.0;-85.0;6;13.0;721;6;-203.0;-141.0
47.0;-32.0;23.0;-25;-38.0;727;-25;-6.0;-94.0
6.0;-1.0;-29.0;7;17.0;728;7;72.0;19.0
-48.0;12.0;-91.0;1;103.0;653;1;10.0;25.0
67.0;-11.0;34.0;8;-164.0;645;8;9.0;16.0
67.0;-367.0;28.0;-16;-49.0;735;-16;33.0;-77.0
-55.0;8.0;-20.0;4;-5.0;648;4;34.0;54.0
35.0;-12.0;61.0;13;224.0;723;13;98.0;-84.0
-10.0;0.0;211.0;-4;-2.0;723;-4;72.0;52.0
20.0;-14.0;16.0;37;-14.0;646;37;75.0;-7.0
-14.0;-9.0;-10.0;0;46.0;646;0;29.0;-67.0
20.0;9.0;10.0;-3;-6.0;646;-3;-5.0;71.0
44.0;-43.0;52.0;-1;-39.0;733;-1;42.0;27.0
13.0;-67.0;44.0;1;-18.0;731;1;25.0;17.0
29.0;7.0;11.0;-7;-108.0;733;-7;-58.0;-43.0
19.0;-57.0;-24.0;-7;-29.0;716;-7;96.0;-192.0
-17.0;84.0;-18.0;18;21.0;732;18;-47.0;-35.0
-6.0;72.0;9.0;9;-14.0;646;9;13.0;52.0
-18.0;-29.0;-60.0;11;9.0;721;11;54.0;-32.0
-20.0;-66.0;34.0;0;-26.0;690;0;127.0;152.0
-5.0;-142.0;-91.0;-4;528.0;720;-4;474.0;179.0
85.0;-109.0;-233.0;235;607.0;1005;235;325.0;229.0
51.0;-35.0;57.0;-27;-84.0;730;-27;77.0;-40.0
8.0;-50.0;-69.0;-1;149.0;730;-1;132.0;132.0
-173.0;266.0;54.0;1;-803.0;713;1;-1041.0;-946.0
89.0;142.0;-12.0;-734;544.0;682;-734;790.0;672.0
46.0;309.0;-127.0;-10;-10.0;721;-10;-299.0;-709.0
152.0;-75.0;50.0;-1323;614.0;734;-1323;452.0;149.0
-54.0;-21.0;78.0;7;53.0;644;7;106.0;975.0
172.0;116.0;-132.0;-2255;-80.0;741;-2255;-120.0;-171.0
-3.0;646.0;-132.0;-6;-98.0;651;-6;-254.0;230.0
-105.0;-270.0;41.0;-26;-115.0;723;-26;-40.0;-212.0
-276.0;404.0;-259.0;95;263.0;748;95;-160.0;115.0
7.0;352.0;-342.0;-48;-24.0;724;-48;-544.0;-433.0
-281.0;70.0;66.0;-63;-217.0;721;-63;-118.0;392.0
153.0;-8.0;-178.0;-57;-307.0;715;-57;-109.0;49.0
17.0;38.0;601.0;18;3.0;629;18;-52.0;-148.0
288.0;-86.0;112.0;-10;-377.0;724;-10;163.0;181.0
31.0;61.0;32.0;7;-21.0;644;7;-16.0;187.0
193.0;-500.0;-964.0;-1;210.0;717;-1;579.0;-1024.0
-82.0;20.0;-16.0;-9;120.0;700;-9;80.0;99.0
-422.0;-338.0;44.0;-59;-787.0;721;-59;86.0;212.0
179.0;-943.0;-542.0;64;1387.0;745;64;1420.0;916.0
23.0;-132.0;-130.0;-32;319.0;732;-32;106.0;63.0
-285.0;287.0;-76.0;-806;-1052.0;1057;-806;-1294.0;-1191.0
19.0;76.0;24.0;-12;68.0;705;-12;47.0;-219.0
7.0;-136.0;-1.0;-3;7.0;645;-3;155.0;-62.0
84.0;-49.0;17.0;-6;-95.0;723;-6;35.0;20.0
158.0;247.0;153.0;14;252.0;714;14;18.0;-87.0
-139.0;-383.0;-193.0;6;-187.0;731;6;-375.0;-312.0
121.0;-775.0;-337.0;12;83.0;732;12;-67.0;72.0
-69.0;-591.0;-182.0;-45;-551.0;730;-45;-842.0;-646.0
-19.0;295.0;123.0;22;38.0;752;22;224.0;202.0
-36.0;104.0;120.0;265;706.0;-1872;265;516.0;430.0
-86.0;3.0;26.0;-3;-296.0;736;-3;-356.0;-293.0
15.0;-9.0;-160.0;2;8.0;722;2;104.0;-392.0
-2.0;-203.0;-3.0;-6;-87.0;644;-6;194.0;329.0
629.0;-582.0;25.0;66;100.0;735;66;-287.0;-367.0
-1275.0;170.0;419.0;-54;-635.0;721;-54;-250.0;138.0
64.0;57.0;47.0;-20;207.0;710;-20;262.0;448.0
-568.0;1937.0;472.0;22;-509.0;653;22;-2379.0;-1988.0
-387.0;639.0;386.0;-25;-398.0;726;-25;-396.0;-309.0
6.0;5.0;-6.0;-19;-126.0;732;-19;105.0;-141.0
-101.0;258.0;105.0;25;-61.0;716;25;-277.0;146.0
57.0;-476.0;-415.0;-22;128.0;652;-22;444.0;363.0
-94.0;-22.0;-233.0;-3;-37.0;648;-3;28.0;71.0
10.0;391.0;-53.0;-10;-584.0;729;-10;-397.0;-980.0
8.0;73.0;-80.0;34;-23.0;642;34;-75.0;24.0
91.0;269.0;433.0;-67;64.0;720;-67;-238.0;-120.0
54.0;769.0;17.0;-301;-103.0;809;-301;-119.0;-348.0
-113.0;-454.0;170.0;-49;20.0;726;-49;415.0;365.0
-108.0;-65.0;-62.0;2410;305.0;1034;2410;526.0;379.0
-500.0;104.0;142.0;-44;190.0;714;-44;320.0;480.0
41.0;3.0;-670.0;1;37.0;635;1;296.0;99.0
21.0;-96.0;165.0;13;-551.0;726;13;-1362.0;-1503.0
29.0;-124.0;44.0;11;-110.0;736;11;353.0;-269.0
-100.0;-103.0;148.0;-922;-70.0;1131;-922;-373.0;-343.0
16.0;37.0;114.0;-11;-33.0;718;-11;-209.0;296.0
-360.0;306.0;252.0;5;-312.0;721;5;83.0;165.0
-79.0;998.0;598.0;-31;-340.0;630;-31;-1208.0;-483.0
41.0;886.0;-137.0;2744;-1005.0;648;2744;-1038.0;-561.0
100.0;-1223.0;-175.0;-18;209.0;639;-18;1100.0;290.0
-35.0;-313.0;232.0;3;227.0;706;3;744.0;2489.0
239.0;46.0;210.0;73;752.0;704;73;951.0;745.0
-34.0;-198.0;-424.0;-976;862.0;521;-976;900.0;597.0
