Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;Accelerometer BACK accZ;Accelerometer HIP accZ;InertialMeasurementUnit RLA accZ
?;-174.0;-178;?;425.0;?
?;-218.0;-178;?;422.0;?
-764.0;-228.0;-178;-70.0;?;?
?;-205.0;-178;-26.0;448.0;?
-586.0;?;-178;39.0;?;979.0
-542.0;8.0;-179;58.0;426.0;926.0
-420.0;82.0;-178;-91.0;405.0;?
-320.0;162.0;-178;-125.0;?;844.0
?;222.0;-178;-116.0;413.0;809.0
?;289.0;?;-183.0;?;763.0
25.0;357.0;-178;-270.0;?;706.0
37.0;383.0;-178;-289.0;356.0;651.0
193.0;387.0;-178;-284.0;377.0;542.0
235.0;402.0;-178;-308.0;379.0;416.0
187.0;408.0;?;-499.0;381.0;331.0
187.0;?;?;?;378.0;222.0
163.0;?;-178;-439.0;334.0;136.0
?;473.0;-178;-425.0;?;?
-144.0;439.0;?;-411.0;?;?
-166.0;?;-178;-408.0;339.0;202.0
-192.0;?;-178;?;355.0;?
-199.0;?;-178;-362.0;368.0;?
-187.0;78.0;-178;-383.0;354.0;537.0
-15.0;73.0;-178;?;347.0;501.0
-39.0;161.0;-178;-402.0;348.0;489.0
?;306.0;?;-403.0;327.0;384.0
?;?;-178;-373.0;349.0;274.0
-500.0;?;-178;-290.0;395.0;408.0
-378.0;-16.0;-178;?;428.0;504.0
-280.0;-55.0;-178;?;431.0;659.0
?;12.0;?;?;415.0;?
-244.0;110.0;-178;-216.0;410.0;532.0
-74.0;277.0;-178;-251.0;411.0;451.0
195.0;387.0;-178;-219.0;420.0;364.0
284.0;494.0;?;-207.0;404.0;437.0
284.0;?;-179;?;417.0;348.0
236.0;477.0;?;-199.0;391.0;?
30.0;?;-178;-322.0;?;387.0
?;276.0;-181;-339.0;407.0;?
?;169.0;-175;?;395.0;586.0
-32.0;104.0;-183;-405.0;426.0;675.0
?;45.0;-176;-476.0;389.0;789.0
-137.0;?;-176;-497.0;365.0;715.0
-163.0;-2.0;-190;-580.0;375.0;644.0
-190.0;?;-156;-559.0;413.0;708.0
-257.0;-10.0;-218;?;390.0;724.0
-284.0;-32.0;-104;-562.0;450.0;?
?;-50.0;?;-595.0;463.0;698.0
-389.0;-152.0;188;-566.0;499.0;728.0
-420.0;-209.0;152;?;487.0;688.0
?;-228.0;204;-517.0;?;694.0
-379.0;-230.0;148;-514.0;?;670.0
-348.0;-195.0;208;?;?;?
-325.0;-147.0;162;-534.0;?;611.0
-311.0;-114.0;-144;-512.0;489.0;548.0
-274.0;-101.0;-209;-512.0;447.0;514.0
-277.0;-60.0;-157;-483.0;?;492.0
-281.0;?;-192;-497.0;459.0;?
-328.0;-122.0;-173;-481.0;428.0;455.0
-316.0;?;?;-502.0;385.0;460.0
?;-131.0;?;-549.0;416.0;?
?;-106.0;-177;-513.0;411.0;492.0
-349.0;-71.0;-182;-507.0;397.0;?
-351.0;-84.0;-179;?;?;490.0
-372.0;-128.0;-180;-562.0;365.0;?
?;-156.0;-180;-554.0;355.0;?
-391.0;-144.0;-179;-554.0;369.0;522.0
-328.0;-144.0;?;-559.0;375.0;537.0
?;-130.0;?;-566.0;375.0;564.0
-336.0;?;?;?;381.0;557.0
-405.0;-135.0;?;-545.0;421.0;535.0
?;-159.0;-179;-568.0;?;553.0
-347.0;-137.0;-179;-554.0;?;560.0
?;-114.0;?;-540.0;?;543.0
-261.0;?;-179;-559.0;413.0;537.0
?;?;-179;-537.0;?;531.0
?;-58.0;-179;-526.0;385.0;520.0
?;-63.0;-179;-505.0;372.0;519.0
-350.0;-51.0;-179;-563.0;?;?
-348.0;-95.0;-179;-375.0;?;471.0
-388.0;-87.0;?;-571.0;?;515.0
-314.0;-167.0;-177;?;409.0;520.0
-391.0;-187.0;-178;-426.0;287.0;520.0
-342.0;?;-178;-570.0;317.0;465.0
-365.0;-64.0;?;-400.0;363.0;495.0
-331.0;-260.0;-178;-381.0;281.0;686.0
-246.0;-100.0;-178;-436.0;197.0;493.0
-223.0;-77.0;-178;-607.0;?;?
?;-14.0;?;-546.0;394.0;431.0
?;57.0;-178;?;?;?
-275.0;42.0;-178;-430.0;429.0;?
-287.0;?;-178;-431.0;361.0;376.0
?;-72.0;-178;-454.0;?;378.0
?;?;-178;-480.0;385.0;407.0
-398.0;-26.0;-178;?;?;469.0
-322.0;-20.0;-178;-433.0;?;504.0
-383.0;-30.0;-178;-455.0;355.0;499.0
-413.0;-49.0;-178;-442.0;365.0;528.0
-362.0;-66.0;-178;-440.0;361.0;562.0
-352.0;-51.0;-178;?;346.0;577.0
-329.0;-37.0;-178;-432.0;359.0;?
-345.0;?;?;-430.0;411.0;566.0
?;?;-177;-461.0;429.0;549.0
?;-14.0;-177;-449.0;410.0;529.0
-340.0;?;-177;-403.0;404.0;535.0
?;-33.0;-177;-399.0;385.0;?
-291.0;-29.0;-177;-471.0;329.0;526.0
?;-38.0;-177;?;341.0;501.0
-316.0;-8.0;-177;-478.0;384.0;?
-327.0;3.0;-177;-472.0;?;482.0
-349.0;?;-177;-494.0;364.0;478.0
-371.0;?;-177;-489.0;362.0;473.0
-382.0;-64.0;-177;-548.0;390.0;487.0
-412.0;-111.0;-177;-557.0;433.0;503.0
-413.0;-124.0;-177;-547.0;397.0;?
?;-143.0;-177;-558.0;408.0;?
?;-117.0;-178;-547.0;?;?
-360.0;?;-178;-545.0;378.0;?
?;?;-178;-537.0;365.0;?
?;-41.0;-178;-549.0;376.0;531.0
-352.0;-77.0;-177;?;341.0;?
-352.0;-110.0;?;-540.0;?;490.0
-356.0;-114.0;-176;-539.0;385.0;?
?;-94.0;-178;-519.0;394.0;500.0
-342.0;-105.0;-177;-521.0;?;?
-306.0;-112.0;-174;-517.0;?;483.0
-351.0;-88.0;-182;-510.0;391.0;484.0
-326.0;-63.0;-168;-509.0;?;484.0
-351.0;-57.0;-187;?;381.0;479.0
-334.0;-85.0;?;?;350.0;486.0
?;-44.0;-171;-478.0;379.0;483.0
-309.0;-84.0;?;-354.0;233.0;496.0
?;-45.0;38;-656.0;405.0;494.0
-391.0;-217.0;225;?;?;503.0
-408.0;253.0;159;-465.0;111.0;478.0
-284.0;31.0;?;-472.0;?;391.0
-222.0;-181.0;183;?;74.0;623.0
-255.0;8.0;173;-617.0;156.0;483.0
-202.0;?;185;?;?;?
-271.0;130.0;?;-560.0;?;364.0
?;?;181;?;369.0;356.0
-204.0;-18.0;179;-524.0;?;352.0
-215.0;-152.0;?;-504.0;233.0;372.0
-294.0;?;179;-530.0;280.0;360.0
-370.0;-122.0;182;-551.0;306.0;?
?;-76.0;176;-502.0;328.0;405.0
-328.0;-45.0;183;-509.0;315.0;409.0
-329.0;?;178;-532.0;265.0;399.0
-282.0;?;175;-496.0;285.0;424.0
-420.0;?;192;-467.0;324.0;?
-354.0;-25.0;155;-472.0;?;?
-357.0;-50.0;216;?;318.0;?
-376.0;?;122;-458.0;359.0;477.0
-390.0;?;-182;-470.0;?;?
-390.0;-68.0;-197;-429.0;360.0;?
-386.0;?;-161;-431.0;383.0;519.0
-349.0;?;?;-444.0;?;530.0
-381.0;-106.0;?;-461.0;395.0;542.0
-356.0;-97.0;-182;-481.0;375.0;534.0
?;?;-179;?;385.0;510.0
-316.0;-60.0;-177;-522.0;370.0;505.0
?;-71.0;-181;?;355.0;?
-318.0;-88.0;-178;?;384.0;489.0
-387.0;-85.0;-179;-540.0;372.0;?
?;-106.0;-179;?;?;496.0
-399.0;-114.0;-179;-525.0;391.0;490.0
?;-112.0;-179;-547.0;?;494.0
?;-120.0;-179;-576.0;389.0;?
-350.0;-119.0;-179;?;372.0;479.0
-390.0;?;-179;-571.0;409.0;473.0
?;-101.0;-179;-588.0;426.0;459.0
-402.0;-122.0;?;-573.0;384.0;471.0
?;-132.0;-178;-585.0;422.0;?
-374.0;?;?;-560.0;415.0;?
?;-130.0;-178;-562.0;425.0;497.0
-400.0;-109.0;?;?;395.0;505.0
?;-120.0;?;?;?;516.0
-352.0;-130.0;-178;?;439.0;525.0
?;-143.0;-178;-557.0;457.0;526.0
?;-156.0;?;-545.0;436.0;526.0
-311.0;?;-177;?;403.0;508.0
?;-69.0;?;-558.0;?;503.0
-313.0;-52.0;-177;-410.0;305.0;484.0
?;-55.0;-177;-734.0;372.0;?
?;-76.0;-178;?;322.0;468.0
?;-74.0;?;-585.0;305.0;483.0
?;?;-178;?;225.0;?
-279.0;-195.0;-178;-474.0;231.0;557.0
?;-95.0;-178;-512.0;?;608.0
-175.0;-42.0;-178;-673.0;?;418.0
-155.0;?;-178;-644.0;152.0;395.0
-204.0;?;-178;-557.0;283.0;397.0
-244.0;?;-178;-617.0;369.0;309.0
-225.0;1.0;-178;?;279.0;302.0
-242.0;-75.0;-178;?;240.0;338.0
-308.0;-118.0;-178;-595.0;274.0;321.0
-316.0;?;-178;-589.0;354.0;332.0
-353.0;-69.0;-178;?;?;?
?;?;-178;-558.0;337.0;399.0
-248.0;-50.0;?;?;?;400.0
?;?;-178;?;327.0;423.0
-306.0;-4.0;-178;-531.0;363.0;428.0
?;-27.0;?;-539.0;350.0;?
?;-44.0;-178;-513.0;334.0;?
-394.0;-66.0;-178;-489.0;349.0;?
-343.0;-29.0;?;-504.0;392.0;497.0
-350.0;-70.0;-178;-495.0;395.0;?
-318.0;-60.0;-178;-534.0;395.0;525.0
-380.0;?;?;?;407.0;522.0
-399.0;-55.0;-178;?;414.0;533.0
?;-68.0;?;-527.0;420.0;547.0
-361.0;-101.0;-178;-515.0;416.0;551.0
-281.0;-80.0;-178;-514.0;401.0;535.0
-375.0;-58.0;-177;?;443.0;?
?;-67.0;-177;-520.0;400.0;511.0
?;-88.0;-177;-529.0;377.0;506.0
-337.0;-104.0;-176;-530.0;?;503.0
-311.0;-83.0;-176;-541.0;367.0;510.0
-356.0;-58.0;-176;-550.0;371.0;500.0
-376.0;-72.0;-177;?;415.0;484.0
-396.0;-121.0;-177;-576.0;418.0;480.0
-407.0;-150.0;-177;?;?;479.0
-382.0;-132.0;?;-588.0;435.0;474.0
?;-130.0;-177;-595.0;434.0;?
?;-109.0;?;?;416.0;?
-374.0;-102.0;-177;?;407.0;473.0
-374.0;?;-177;-578.0;383.0;484.0
-405.0;-71.0;?;-597.0;422.0;?
-386.0;?;-177;-578.0;378.0;501.0
-377.0;-134.0;-177;-574.0;400.0;516.0
-312.0;?;-177;-591.0;399.0;526.0
?;-126.0;-177;-552.0;430.0;524.0
-424.0;-103.0;-177;-530.0;461.0;505.0
-386.0;-104.0;-176;-539.0;448.0;517.0
?;-119.0;-176;?;431.0;?
-308.0;-132.0;-176;-523.0;?;504.0
?;-96.0;?;-549.0;378.0;508.0
?;?;-176;?;299.0;?
-316.0;-49.0;-176;-692.0;?;469.0
-340.0;?;-177;-773.0;354.0;471.0
-391.0;5.0;-180;-500.0;189.0;470.0
-356.0;?;-180;-586.0;247.0;408.0
-255.0;-232.0;-179;?;250.0;507.0
-253.0;44.0;-180;-590.0;?;544.0
-157.0;20.0;-179;?;?;385.0
-235.0;93.0;-179;?;324.0;368.0
-211.0;118.0;-179;-570.0;459.0;361.0
-230.0;66.0;-179;-560.0;?;?
-197.0;-75.0;-179;-549.0;280.0;340.0
?;-96.0;?;-530.0;295.0;356.0
-339.0;?;-179;?;333.0;344.0
-376.0;20.0;-179;-518.0;391.0;375.0
-307.0;18.0;?;-485.0;367.0;414.0
?;9.0;-179;-465.0;284.0;447.0
-369.0;?;-180;-493.0;296.0;?
?;?;-178;-469.0;384.0;471.0
-363.0;-79.0;-181;?;?;487.0
-398.0;-38.0;?;-480.0;413.0;514.0
?;-72.0;-181;?;390.0;?
-351.0;-25.0;-180;-415.0;448.0;?
-346.0;11.0;-173;-432.0;405.0;496.0
?;?;-192;-443.0;447.0;479.0
-366.0;-14.0;-156;-420.0;499.0;468.0
?;-14.0;-207;-420.0;444.0;477.0
-344.0;-5.0;-146;-411.0;420.0;?
-360.0;-31.0;157;?;473.0;?
-394.0;-34.0;?;-468.0;415.0;503.0
-372.0;-2.0;155;-487.0;?;515.0
?;-17.0;?;-484.0;389.0;516.0
-403.0;-38.0;168;?;432.0;?
-397.0;?;?;-481.0;391.0;532.0
?;-50.0;177;-507.0;384.0;531.0
-392.0;-77.0;173;-544.0;415.0;?
-371.0;-94.0;?;?;403.0;513.0
-372.0;-124.0;175;?;398.0;499.0
?;-92.0;176;-565.0;414.0;481.0
?;-87.0;176;?;404.0;482.0
-409.0;-103.0;?;-591.0;399.0;483.0
-389.0;-116.0;?;?;366.0;455.0
-312.0;-107.0;176;-630.0;391.0;441.0
?;-97.0;176;-598.0;405.0;462.0
-423.0;-87.0;176;-602.0;414.0;473.0
-394.0;-97.0;176;-597.0;431.0;458.0
-368.0;-138.0;176;-606.0;403.0;489.0
-392.0;?;175;-601.0;380.0;497.0
-367.0;?;178;-591.0;356.0;?
?;-103.0;173;-580.0;371.0;?
-335.0;-83.0;179;-598.0;385.0;?
-324.0;?;176;-595.0;?;474.0
-376.0;-72.0;?;-575.0;392.0;478.0
-405.0;-100.0;190;-575.0;366.0;475.0
-392.0;?;153;-587.0;372.0;481.0
-366.0;?;?;-607.0;397.0;484.0
-377.0;-81.0;130;-621.0;337.0;479.0
?;-61.0;-175;?;348.0;472.0
-354.0;-111.0;-197;?;311.0;463.0
-378.0;-77.0;-157;-847.0;460.0;448.0
?;-212.0;-191;?;192.0;448.0
-405.0;?;-169;-648.0;111.0;469.0
-292.0;15.0;-179;-575.0;273.0;?
?;?;-177;-521.0;168.0;567.0
-242.0;-18.0;-175;-553.0;215.0;494.0
-180.0;?;-179;?;129.0;391.0
-130.0;63.0;-176;?;250.0;?
-108.0;152.0;-177;-500.0;?;314.0
?;146.0;?;?;374.0;267.0
?;77.0;-177;?;317.0;276.0
-340.0;-18.0;-177;-428.0;318.0;320.0
-425.0;-83.0;?;-470.0;406.0;344.0
-319.0;-74.0;-177;-478.0;429.0;385.0
?;-63.0;-177;-480.0;392.0;?
-361.0;-35.0;-177;-431.0;374.0;467.0
?;0.0;?;-460.0;355.0;472.0
-376.0;34.0;?;-451.0;334.0;498.0
-350.0;-2.0;-177;-470.0;459.0;508.0
-412.0;?;-177;-422.0;?;510.0
-382.0;-43.0;-177;?;411.0;530.0
-361.0;-74.0;-177;-384.0;430.0;540.0
-438.0;-75.0;-177;-390.0;438.0;563.0
-403.0;-105.0;-177;-420.0;406.0;560.0
-401.0;-90.0;-177;-396.0;?;544.0
-328.0;-74.0;?;-452.0;?;529.0
-292.0;-61.0;-177;-386.0;?;508.0
-286.0;-44.0;-177;-406.0;415.0;476.0
?;?;-177;-399.0;426.0;459.0
?;-9.0;?;?;391.0;440.0
-279.0;-40.0;-177;?;385.0;425.0
-340.0;-68.0;-177;-400.0;?;441.0
-313.0;-75.0;-177;-406.0;411.0;?
-313.0;-48.0;-177;?;?;442.0
-328.0;?;-177;-409.0;407.0;450.0
-314.0;-25.0;-177;-404.0;415.0;?
-341.0;?;?;-398.0;430.0;435.0
-382.0;-20.0;?;-378.0;438.0;?
-364.0;0.0;-177;-350.0;492.0;461.0
-382.0;8.0;-177;-396.0;394.0;479.0
-383.0;-23.0;-177;-425.0;421.0;492.0
-381.0;-38.0;-177;-423.0;?;508.0
?;-21.0;?;-428.0;?;508.0
-333.0;-14.0;-177;-399.0;394.0;?
-307.0;-46.0;?;-427.0;433.0;510.0
-360.0;-44.0;-177;-430.0;442.0;509.0
-368.0;-54.0;-177;-470.0;?;500.0
-344.0;-49.0;-177;-456.0;442.0;499.0
-382.0;-24.0;-177;-444.0;434.0;498.0
-400.0;-23.0;-177;?;429.0;503.0
?;?;-177;-438.0;403.0;499.0
-340.0;-50.0;-177;?;424.0;491.0
-378.0;-69.0;-177;-419.0;440.0;502.0
-358.0;-38.0;-177;-459.0;411.0;491.0
?;?;-177;-436.0;?;487.0
-295.0;-57.0;-177;-422.0;437.0;486.0
-327.0;?;-177;-436.0;?;?
?;-8.0;-177;-444.0;414.0;470.0
-271.0;-32.0;-177;-421.0;433.0;464.0
-336.0;?;?;-446.0;400.0;464.0
?;?;-177;-424.0;473.0;452.0
-310.0;-44.0;-177;-410.0;?;457.0
?;-14.0;-177;?;419.0;?
-317.0;?;-177;?;422.0;461.0
-354.0;-31.0;-177;-418.0;450.0;482.0
-343.0;?;?;?;414.0;483.0
?;1.0;-177;-457.0;423.0;?
-338.0;?;?;-432.0;452.0;498.0
?;0.0;-177;-416.0;428.0;518.0
-349.0;-17.0;-177;-459.0;425.0;517.0
-306.0;-28.0;-177;?;424.0;519.0
-294.0;3.0;-177;-493.0;418.0;533.0
?;77.0;-177;-471.0;412.0;512.0
?;62.0;-177;-455.0;455.0;494.0
-332.0;57.0;-177;-448.0;435.0;500.0
-298.0;37.0;?;-450.0;444.0;505.0
-348.0;-22.0;-177;-450.0;?;?
?;-68.0;-177;?;407.0;532.0
-349.0;-80.0;-177;-460.0;?;542.0
-332.0;?;?;-450.0;425.0;531.0
-363.0;-50.0;?;?;410.0;515.0
-360.0;-46.0;-177;-427.0;417.0;500.0
-336.0;-13.0;-177;-432.0;393.0;488.0
-321.0;-30.0;-177;-424.0;439.0;474.0
-253.0;-41.0;-177;?;398.0;?
-333.0;-20.0;-177;-432.0;?;462.0
-326.0;-19.0;-177;-427.0;?;446.0
-373.0;10.0;-177;-442.0;407.0;453.0
-332.0;36.0;-177;-452.0;422.0;?
-349.0;?;-177;-442.0;434.0;?
?;4.0;?;-439.0;?;463.0
-355.0;?;?;-432.0;415.0;476.0
-362.0;5.0;?;-411.0;425.0;486.0
-351.0;-4.0;-177;?;?;496.0
-359.0;-16.0;-177;-372.0;433.0;505.0
?;-32.0;-177;-426.0;?;?
-298.0;-14.0;-177;-453.0;398.0;523.0
?;21.0;-177;?;437.0;494.0
-350.0;?;-177;-468.0;422.0;481.0
-373.0;5.0;-177;-489.0;426.0;503.0
-353.0;?;?;?;466.0;?
-329.0;-22.0;-177;?;439.0;517.0
-332.0;-18.0;-177;-421.0;?;?
-373.0;?;-177;-375.0;456.0;503.0
-359.0;-27.0;-177;-431.0;437.0;494.0
-300.0;-28.0;-177;-432.0;444.0;472.0
-297.0;14.0;?;-445.0;435.0;468.0
?;42.0;-177;-451.0;447.0;455.0
-369.0;33.0;?;-431.0;462.0;445.0
-314.0;22.0;-177;-431.0;424.0;470.0
-318.0;-10.0;?;?;454.0;478.0
-383.0;-12.0;-177;?;?;496.0
-377.0;-56.0;-177;-461.0;427.0;505.0
-393.0;-51.0;-177;-428.0;449.0;?
-375.0;-24.0;-177;?;438.0;511.0
-336.0;5.0;-177;-428.0;413.0;511.0
-364.0;-26.0;?;?;437.0;?
?;?;-177;-432.0;410.0;503.0
-410.0;-18.0;-177;-453.0;408.0;503.0
-532.0;-28.0;-177;-476.0;490.0;495.0
-722.0;-18.0;-177;-453.0;429.0;?
-542.0;-36.0;-177;?;456.0;497.0
-37.0;-92.0;-177;-477.0;367.0;604.0
539.0;-174.0;-177;-490.0;?;627.0
?;-73.0;-177;-480.0;441.0;233.0
-71.0;185.0;?;-479.0;438.0;92.0
?;174.0;-177;-446.0;443.0;219.0
-57.0;74.0;-177;-432.0;432.0;?
?;-47.0;-177;-438.0;444.0;430.0
-43.0;-2.0;-177;-431.0;450.0;384.0
15.0;46.0;-177;-445.0;455.0;297.0
-30.0;?;-177;?;456.0;302.0
-5.0;?;-177;-452.0;452.0;317.0
67.0;62.0;-177;-449.0;466.0;286.0
?;92.0;-177;-465.0;453.0;?
-20.0;94.0;-177;-476.0;502.0;280.0
-36.0;74.0;-177;?;469.0;282.0
?;45.0;-177;?;?;333.0
-93.0;40.0;-177;-463.0;?;?
-103.0;47.0;-177;-469.0;456.0;342.0
-151.0;50.0;-177;-450.0;455.0;?
-120.0;74.0;-177;-480.0;445.0;398.0
-184.0;61.0;-177;?;443.0;413.0
-196.0;0.0;-177;-464.0;436.0;430.0
-340.0;-18.0;-177;?;446.0;446.0
-367.0;10.0;-177;-462.0;424.0;435.0
-396.0;?;-177;-490.0;398.0;?
-388.0;-102.0;-177;-474.0;?;501.0
-411.0;-62.0;-177;-463.0;417.0;518.0
-370.0;-76.0;-177;-464.0;?;?
?;-14.0;?;-478.0;?;?
-334.0;-55.0;-177;-519.0;?;564.0
-323.0;-17.0;-177;?;?;555.0
?;-13.0;-177;-494.0;402.0;532.0
?;-49.0;?;?;389.0;521.0
-339.0;?;-177;?;374.0;?
-322.0;-35.0;-177;-500.0;415.0;490.0
-299.0;?;-177;-499.0;393.0;482.0
-267.0;-27.0;-177;-478.0;?;469.0
?;-27.0;-177;-482.0;379.0;441.0
-274.0;-11.0;-177;-473.0;?;437.0
-288.0;?;-177;-464.0;392.0;438.0
-312.0;?;?;-495.0;387.0;423.0
?;0.0;-177;-438.0;?;?
-335.0;-60.0;-177;-469.0;?;449.0
?;-20.0;-177;-513.0;395.0;?
-363.0;-63.0;-177;-440.0;435.0;458.0
-362.0;?;?;-410.0;?;475.0
-322.0;19.0;-177;-463.0;?;?
-314.0;-4.0;-177;?;413.0;490.0
-348.0;-50.0;-177;-426.0;424.0;?
-374.0;-45.0;-177;-469.0;415.0;?
?;-15.0;-177;-470.0;425.0;494.0
-309.0;?;-177;-447.0;424.0;505.0
?;-8.0;-177;-450.0;415.0;513.0
-288.0;-13.0;?;-513.0;?;?
?;-33.0;-177;-446.0;444.0;506.0
-291.0;?;-177;-444.0;414.0;498.0
?;-6.0;-177;?;429.0;?
-300.0;?;?;-468.0;?;480.0
-300.0;?;-177;?;?;459.0
-351.0;15.0;-177;-461.0;?;455.0
-324.0;12.0;-177;-456.0;?;458.0
-311.0;8.0;-177;-464.0;406.0;?
-283.0;9.0;?;-462.0;?;454.0
-332.0;-17.0;?;-485.0;426.0;462.0
-273.0;7.0;?;-491.0;429.0;?
-366.0;-20.0;?;?;414.0;474.0
-318.0;5.0;-177;-440.0;425.0;?
-304.0;-4.0;-177;-451.0;404.0;481.0
-295.0;6.0;-177;-451.0;407.0;473.0
-324.0;5.0;-177;?;428.0;464.0
-253.0;1.0;-177;-452.0;419.0;454.0
-304.0;18.0;-177;-453.0;422.0;449.0
-300.0;7.0;-177;-427.0;431.0;453.0
-237.0;?;-177;?;430.0;?
-339.0;12.0;-177;?;426.0;451.0
?;?;-177;-432.0;441.0;450.0
-294.0;36.0;-177;-420.0;414.0;447.0
-352.0;12.0;-177;-435.0;?;?
-324.0;9.0;-177;-425.0;406.0;457.0
-317.0;?;-177;-418.0;414.0;?
-273.0;1.0;-177;?;?;470.0
-301.0;20.0;-177;-460.0;424.0;486.0
?;19.0;-177;-431.0;405.0;481.0
-275.0;15.0;-177;-463.0;424.0;484.0
-273.0;?;-177;?;393.0;478.0
?;22.0;-177;-428.0;397.0;472.0
-304.0;20.0;-177;-481.0;410.0;472.0
-304.0;6.0;-177;-431.0;439.0;456.0
-319.0;16.0;-177;-429.0;412.0;?
?;21.0;-177;-459.0;410.0;457.0
?;11.0;-177;?;411.0;455.0
-322.0;8.0;-177;-460.0;401.0;462.0
-314.0;?;-177;-443.0;389.0;462.0
-295.0;20.0;-177;-460.0;420.0;463.0
-327.0;?;?;-481.0;398.0;?
?;9.0;?;-470.0;?;478.0
-312.0;9.0;?;-452.0;407.0;?
-348.0;19.0;-177;-451.0;377.0;481.0
-319.0;-10.0;-177;-476.0;?;484.0
-328.0;?;-177;-458.0;405.0;480.0
?;18.0;?;-476.0;383.0;478.0
-329.0;-4.0;-177;-412.0;376.0;479.0
-315.0;20.0;-177;?;388.0;484.0
-310.0;7.0;?;-458.0;?;476.0
-357.0;?;-177;-460.0;368.0;478.0
-337.0;?;-177;-444.0;364.0;483.0
-292.0;0.0;-177;?;?;473.0
-281.0;34.0;-177;-457.0;388.0;474.0
-343.0;39.0;-177;-469.0;389.0;?
-292.0;?;-177;-449.0;395.0;476.0
-298.0;19.0;-177;-406.0;399.0;?
-301.0;28.0;-177;?;355.0;473.0
-306.0;38.0;?;-409.0;380.0;?
-263.0;?;-177;?;368.0;?
-266.0;63.0;-177;?;362.0;460.0
?;43.0;-177;-445.0;375.0;?
?;33.0;-177;-459.0;366.0;?
?;36.0;-177;-445.0;406.0;472.0
-205.0;65.0;?;-422.0;390.0;464.0
-308.0;?;-177;-423.0;388.0;461.0
-268.0;30.0;-177;-407.0;394.0;467.0
-246.0;51.0;-177;?;382.0;453.0
-266.0;59.0;-177;-446.0;412.0;457.0
-300.0;55.0;-177;?;412.0;455.0
-324.0;67.0;-177;-422.0;?;457.0
-326.0;41.0;-177;-449.0;405.0;467.0
-300.0;38.0;-177;-473.0;375.0;483.0
-258.0;47.0;?;-450.0;?;?
-341.0;46.0;-177;-470.0;?;491.0
-303.0;?;-177;?;405.0;497.0
-296.0;40.0;-177;?;406.0;488.0
-253.0;36.0;-177;-448.0;385.0;485.0
-292.0;40.0;-177;-439.0;395.0;475.0
-317.0;15.0;?;-442.0;385.0;?
-278.0;22.0;-177;-470.0;399.0;460.0
-281.0;35.0;-177;?;?;459.0
?;?;-177;-465.0;409.0;448.0
?;47.0;-177;-471.0;395.0;443.0
-292.0;26.0;-177;-457.0;426.0;?
-340.0;44.0;-177;-453.0;414.0;444.0
-323.0;41.0;-177;?;427.0;450.0
-318.0;37.0;?;-465.0;?;456.0
-337.0;39.0;-177;-465.0;431.0;464.0
?;38.0;-177;-491.0;?;?
?;43.0;-177;?;431.0;480.0
-287.0;14.0;-177;?;393.0;488.0
?;42.0;-177;-450.0;?;?
-296.0;10.0;-177;-448.0;427.0;477.0
