Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer LUA^ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit RLA magneticX;Accelerometer RKN^ accX;Accelerometer RWR accY;InertialMeasurementUnit LLA magneticY;Accelerometer BACK accY
961.0;-568.0;392.0;415.0;?;814.0;-432.0;?;?;173.0;1026.0
925.0;-537.0;352.0;419.0;?;806.0;-468.0;?;-703.0;245.0;?
858.0;-495.0;382.0;?;?;795.0;-499.0;172.0;-646.0;316.0;969.0
?;-530.0;403.0;380.0;?;?;-524.0;194.0;-768.0;379.0;882.0
?;?;354.0;417.0;-421.0;?;-540.0;185.0;-960.0;427.0;893.0
?;-517.0;261.0;333.0;-405.0;604.0;-555.0;?;-1070.0;?;823.0
1022.0;?;215.0;327.0;-487.0;781.0;-573.0;?;-1304.0;510.0;887.0
?;-353.0;113.0;359.0;?;978.0;-587.0;151.0;?;?;850.0
1192.0;-419.0;38.0;?;-817.0;?;?;144.0;-1173.0;?;950.0
1157.0;-253.0;?;?;-955.0;1316.0;-618.0;161.0;-974.0;579.0;959.0
1092.0;?;247.0;309.0;-1067.0;?;?;172.0;?;592.0;989.0
1059.0;-404.0;346.0;312.0;-954.0;?;?;180.0;-700.0;595.0;967.0
?;-525.0;360.0;273.0;-756.0;935.0;-618.0;193.0;-738.0;581.0;?
891.0;-512.0;318.0;276.0;-549.0;756.0;?;146.0;-813.0;570.0;931.0
955.0;-491.0;296.0;?;?;664.0;-620.0;?;-982.0;565.0;?
991.0;-472.0;?;409.0;-361.0;710.0;-621.0;?;-1093.0;549.0;894.0
1013.0;-424.0;146.0;?;-412.0;821.0;-618.0;?;-1083.0;536.0;924.0
1050.0;-354.0;164.0;554.0;-587.0;975.0;-612.0;161.0;-1051.0;519.0;919.0
?;-311.0;125.0;62.0;-641.0;953.0;-115.0;178.0;-858.0;-212.0;?
1036.0;-279.0;147.0;329.0;-629.0;?;-120.0;178.0;-833.0;-215.0;954.0
1063.0;?;?;?;-610.0;884.0;-117.0;195.0;-784.0;-216.0;976.0
?;-330.0;209.0;431.0;-580.0;?;-112.0;199.0;-672.0;-208.0;980.0
1064.0;-346.0;262.0;371.0;-523.0;817.0;-109.0;?;?;-203.0;972.0
?;-375.0;315.0;352.0;-428.0;732.0;-106.0;159.0;-671.0;-201.0;951.0
?;-394.0;?;?;-271.0;628.0;-105.0;174.0;?;-199.0;1008.0
1104.0;?;350.0;?;-163.0;611.0;-110.0;182.0;-720.0;-189.0;1074.0
1077.0;-463.0;347.0;586.0;-151.0;631.0;?;?;-745.0;-172.0;1074.0
1068.0;-458.0;342.0;655.0;-201.0;640.0;-134.0;151.0;?;-154.0;1053.0
1047.0;-473.0;353.0;779.0;-242.0;?;?;?;-763.0;-116.0;1017.0
987.0;-462.0;373.0;772.0;-304.0;694.0;-205.0;204.0;-756.0;?;1037.0
?;-468.0;397.0;751.0;?;?;-250.0;202.0;-735.0;-13.0;1004.0
?;-516.0;418.0;?;-367.0;700.0;-287.0;?;-752.0;?;994.0
?;-536.0;455.0;?;-388.0;686.0;-336.0;203.0;-692.0;118.0;992.0
?;-561.0;394.0;586.0;-385.0;?;-386.0;173.0;?;193.0;1018.0
836.0;-532.0;?;504.0;?;671.0;-445.0;171.0;-716.0;267.0;977.0
?;-523.0;?;?;-444.0;647.0;-489.0;?;-759.0;329.0;961.0
827.0;-539.0;391.0;402.0;-427.0;611.0;-517.0;200.0;?;386.0;838.0
905.0;-517.0;304.0;?;?;?;-548.0;?;?;431.0;836.0
1060.0;?;?;350.0;-531.0;740.0;-576.0;179.0;-1244.0;473.0;907.0
1169.0;-385.0;190.0;?;-624.0;940.0;-599.0;197.0;-1248.0;510.0;813.0
1257.0;?;162.0;352.0;-826.0;1108.0;-617.0;186.0;?;533.0;?
1173.0;?;164.0;316.0;-948.0;1258.0;-632.0;179.0;-987.0;?;906.0
1139.0;-327.0;264.0;293.0;-979.0;1247.0;-644.0;182.0;?;562.0;934.0
1040.0;-389.0;327.0;377.0;?;1123.0;-647.0;161.0;-798.0;576.0;915.0
1000.0;-467.0;346.0;375.0;-714.0;967.0;-641.0;192.0;?;569.0;906.0
958.0;?;296.0;370.0;-548.0;822.0;-637.0;?;-930.0;563.0;893.0
982.0;?;271.0;?;-459.0;774.0;?;181.0;-990.0;562.0;882.0
991.0;-433.0;?;386.0;-484.0;829.0;-636.0;197.0;?;?;931.0
1020.0;-431.0;?;489.0;-594.0;?;-630.0;210.0;-1078.0;541.0;901.0
809.0;-488.0;404.0;?;?;764.0;?;?;-341.0;-148.0;961.0
660.0;-517.0;453.0;364.0;?;?;-208.0;?;-364.0;-133.0;?
?;-534.0;502.0;507.0;-210.0;373.0;-203.0;157.0;-396.0;-107.0;983.0
709.0;-586.0;548.0;471.0;-8.0;267.0;-210.0;188.0;-407.0;-59.0;?
840.0;-631.0;644.0;527.0;17.0;278.0;-224.0;220.0;?;0.0;994.0
?;?;566.0;567.0;-41.0;293.0;-237.0;220.0;-174.0;65.0;1018.0
893.0;-798.0;596.0;?;-118.0;271.0;?;201.0;-26.0;164.0;995.0
?;-753.0;736.0;552.0;?;152.0;-284.0;198.0;251.0;285.0;1033.0
917.0;-756.0;679.0;?;-114.0;12.0;?;?;552.0;427.0;1020.0
694.0;-786.0;?;470.0;-80.0;-154.0;-330.0;165.0;579.0;546.0;1001.0
604.0;-785.0;903.0;?;-29.0;?;-299.0;170.0;759.0;?;980.0
721.0;-776.0;1025.0;293.0;402.0;-678.0;?;176.0;841.0;671.0;915.0
608.0;?;?;?;?;?;-238.0;177.0;888.0;?;921.0
449.0;-927.0;1139.0;357.0;?;?;-200.0;?;?;563.0;?
447.0;-975.0;1122.0;361.0;851.0;-971.0;?;156.0;910.0;459.0;907.0
415.0;?;1110.0;?;1000.0;-965.0;-130.0;183.0;?;347.0;860.0
465.0;?;1182.0;249.0;978.0;-975.0;-100.0;180.0;?;?;810.0
478.0;-995.0;1163.0;331.0;?;-941.0;-69.0;?;?;180.0;819.0
?;-1019.0;1114.0;705.0;?;-886.0;-31.0;189.0;683.0;124.0;796.0
409.0;-994.0;1083.0;786.0;1018.0;-813.0;-3.0;?;693.0;?;814.0
380.0;?;1071.0;640.0;979.0;-767.0;15.0;?;780.0;94.0;874.0
353.0;-928.0;1104.0;?;979.0;-757.0;33.0;171.0;?;85.0;875.0
?;-930.0;1140.0;375.0;?;-762.0;?;160.0;?;83.0;868.0
270.0;-973.0;1152.0;?;1003.0;?;?;175.0;818.0;102.0;837.0
218.0;-1017.0;1133.0;245.0;1043.0;-883.0;?;204.0;783.0;135.0;844.0
?;-1018.0;1065.0;228.0;1066.0;-902.0;?;211.0;772.0;176.0;?
271.0;-971.0;1022.0;242.0;?;-875.0;23.0;191.0;699.0;225.0;865.0
290.0;-943.0;1049.0;282.0;1002.0;-849.0;4.0;167.0;?;273.0;?
296.0;-933.0;1031.0;365.0;976.0;-815.0;-10.0;176.0;626.0;323.0;?
351.0;-926.0;1039.0;412.0;934.0;-781.0;-28.0;?;625.0;357.0;874.0
330.0;-930.0;?;429.0;911.0;-747.0;-50.0;193.0;639.0;380.0;911.0
306.0;-921.0;?;?;?;-722.0;-60.0;192.0;656.0;402.0;887.0
?;-909.0;1001.0;354.0;868.0;-708.0;-61.0;229.0;?;419.0;906.0
238.0;?;?;309.0;859.0;-723.0;-60.0;282.0;679.0;428.0;937.0
270.0;?;1024.0;305.0;875.0;?;?;306.0;713.0;?;?
250.0;-925.0;1065.0;301.0;905.0;-742.0;-51.0;254.0;?;449.0;882.0
251.0;-945.0;1072.0;321.0;915.0;-759.0;-39.0;?;?;451.0;832.0
220.0;-961.0;?;306.0;924.0;?;-29.0;1.0;739.0;?;810.0
239.0;-974.0;1086.0;313.0;966.0;-838.0;-17.0;191.0;744.0;440.0;843.0
229.0;-970.0;?;323.0;?;-848.0;-6.0;15.0;?;428.0;832.0
185.0;-963.0;1055.0;333.0;942.0;-844.0;5.0;-54.0;767.0;418.0;824.0
227.0;-942.0;1043.0;334.0;995.0;?;?;-10.0;?;403.0;817.0
219.0;-934.0;?;343.0;?;?;26.0;136.0;792.0;389.0;814.0
215.0;-947.0;1108.0;340.0;957.0;-819.0;?;?;?;?;?
232.0;-974.0;1103.0;329.0;978.0;-845.0;35.0;?;749.0;?;842.0
246.0;-977.0;?;340.0;1018.0;-855.0;38.0;241.0;?;332.0;840.0
247.0;?;1080.0;331.0;997.0;-829.0;38.0;129.0;?;?;847.0
266.0;-945.0;1070.0;332.0;982.0;?;38.0;70.0;699.0;312.0;866.0
305.0;-953.0;1049.0;338.0;964.0;-807.0;38.0;152.0;724.0;?;853.0
278.0;-948.0;?;?;953.0;-797.0;36.0;325.0;745.0;?;837.0
297.0;-940.0;1063.0;381.0;934.0;-786.0;37.0;255.0;766.0;?;766.0
288.0;-945.0;1029.0;353.0;943.0;?;38.0;238.0;751.0;283.0;813.0
176.0;?;1028.0;323.0;?;-795.0;?;276.0;754.0;286.0;503.0
238.0;-933.0;1068.0;333.0;967.0;-813.0;?;182.0;?;296.0;944.0
66.0;-934.0;940.0;?;961.0;-822.0;?;?;857.0;312.0;1394.0
351.0;-910.0;967.0;?;977.0;?;57.0;?;?;331.0;?
301.0;-748.0;1573.0;269.0;884.0;-681.0;56.0;?;?;?;1082.0
-33.0;-1337.0;1515.0;249.0;873.0;-1035.0;52.0;223.0;738.0;357.0;?
215.0;-1412.0;1085.0;326.0;?;-1281.0;?;306.0;752.0;365.0;849.0
91.0;-1086.0;1008.0;295.0;1389.0;-1034.0;45.0;?;?;364.0;868.0
124.0;-922.0;938.0;277.0;1019.0;-810.0;34.0;300.0;713.0;361.0;938.0
234.0;-861.0;?;292.0;917.0;-800.0;21.0;263.0;?;356.0;914.0
306.0;-850.0;1075.0;512.0;898.0;-753.0;3.0;236.0;726.0;?;?
287.0;-938.0;1112.0;?;850.0;-788.0;-18.0;215.0;695.0;392.0;895.0
306.0;-1027.0;?;529.0;960.0;-868.0;?;212.0;680.0;426.0;886.0
313.0;-971.0;1018.0;279.0;?;-806.0;?;268.0;682.0;442.0;916.0
273.0;-925.0;?;258.0;909.0;-756.0;?;270.0;?;440.0;?
270.0;-916.0;1035.0;252.0;895.0;?;-20.0;328.0;714.0;448.0;929.0
290.0;-928.0;1054.0;261.0;908.0;-785.0;?;304.0;724.0;456.0;910.0
296.0;-955.0;1072.0;267.0;954.0;-803.0;-8.0;10.0;734.0;460.0;930.0
?;-966.0;1069.0;284.0;963.0;?;3.0;?;?;?;909.0
?;-962.0;1091.0;?;981.0;-817.0;8.0;1488.0;755.0;?;938.0
?;-967.0;1096.0;?;?;-820.0;13.0;-791.0;749.0;?;933.0
?;-976.0;?;304.0;?;-829.0;19.0;-40.0;716.0;435.0;947.0
?;-981.0;1072.0;303.0;?;?;?;77.0;744.0;428.0;988.0
332.0;-974.0;1073.0;291.0;985.0;?;?;260.0;783.0;?;?
?;-971.0;1107.0;267.0;977.0;?;25.0;310.0;780.0;414.0;952.0
309.0;-996.0;1149.0;259.0;989.0;-840.0;27.0;317.0;?;406.0;915.0
?;-1040.0;1108.0;270.0;1024.0;?;25.0;185.0;?;394.0;914.0
?;-1025.0;1043.0;280.0;1048.0;-872.0;?;242.0;691.0;386.0;914.0
306.0;-958.0;1010.0;261.0;?;-810.0;26.0;233.0;727.0;380.0;903.0
286.0;-910.0;1030.0;272.0;?;-767.0;30.0;214.0;706.0;374.0;892.0
299.0;-925.0;1033.0;300.0;?;-785.0;?;265.0;735.0;376.0;873.0
301.0;-942.0;1075.0;?;?;?;32.0;267.0;?;?;843.0
?;-970.0;1075.0;306.0;?;-821.0;36.0;256.0;730.0;?;807.0
233.0;?;1069.0;296.0;975.0;-830.0;40.0;213.0;762.0;392.0;839.0
223.0;-966.0;1070.0;?;987.0;-827.0;47.0;?;773.0;400.0;830.0
232.0;-956.0;?;?;980.0;?;55.0;184.0;773.0;409.0;?
212.0;-961.0;?;275.0;977.0;-843.0;66.0;199.0;762.0;?;?
226.0;?;1090.0;?;991.0;-855.0;72.0;238.0;741.0;427.0;?
253.0;-982.0;?;315.0;1025.0;-859.0;75.0;224.0;?;435.0;?
238.0;?;1073.0;314.0;1001.0;-847.0;77.0;40.0;?;444.0;847.0
223.0;-960.0;1051.0;291.0;987.0;-825.0;79.0;?;?;?;850.0
230.0;?;?;261.0;982.0;-816.0;78.0;302.0;748.0;450.0;820.0
217.0;-950.0;?;275.0;955.0;-821.0;74.0;?;755.0;451.0;847.0
?;-965.0;1089.0;323.0;992.0;-845.0;77.0;221.0;784.0;452.0;848.0
188.0;-963.0;1080.0;340.0;992.0;-843.0;74.0;180.0;?;452.0;857.0
?;-966.0;?;335.0;997.0;?;?;185.0;754.0;?;846.0
215.0;-961.0;1089.0;341.0;990.0;-847.0;71.0;189.0;714.0;445.0;850.0
223.0;-962.0;?;308.0;999.0;?;67.0;223.0;712.0;440.0;858.0
266.0;?;1046.0;289.0;978.0;-829.0;65.0;263.0;?;437.0;?
287.0;-942.0;1040.0;275.0;960.0;-813.0;63.0;?;?;431.0;870.0
?;-937.0;1038.0;303.0;948.0;?;?;312.0;?;427.0;821.0
?;-926.0;1057.0;285.0;945.0;-791.0;?;281.0;767.0;421.0;822.0
237.0;?;1052.0;?;939.0;-806.0;64.0;255.0;658.0;?;595.0
170.0;?;1079.0;300.0;980.0;-828.0;65.0;192.0;716.0;409.0;1274.0
150.0;?;825.0;299.0;968.0;-841.0;63.0;158.0;1177.0;?;968.0
334.0;-813.0;?;329.0;?;-721.0;64.0;?;?;398.0;768.0
67.0;-940.0;1503.0;310.0;727.0;?;63.0;185.0;695.0;394.0;768.0
116.0;-1412.0;1020.0;318.0;1250.0;-1324.0;?;202.0;660.0;389.0;?
195.0;?;901.0;317.0;1456.0;-1020.0;64.0;248.0;701.0;384.0;?
126.0;?;921.0;?;?;?;61.0;216.0;804.0;385.0;901.0
177.0;-820.0;?;216.0;835.0;-725.0;55.0;246.0;922.0;?;823.0
156.0;-883.0;1222.0;334.0;834.0;-764.0;50.0;276.0;871.0;405.0;783.0
118.0;-1060.0;1189.0;?;?;-921.0;42.0;265.0;858.0;427.0;772.0
?;-1107.0;1105.0;?;1093.0;-1005.0;42.0;248.0;879.0;442.0;846.0
77.0;-1021.0;1116.0;447.0;1070.0;?;38.0;287.0;881.0;443.0;834.0
66.0;-976.0;1127.0;421.0;1004.0;-885.0;?;273.0;823.0;443.0;821.0
120.0;-1004.0;1116.0;372.0;1010.0;?;?;262.0;764.0;?;829.0
168.0;-1013.0;1099.0;428.0;1068.0;-940.0;51.0;?;745.0;453.0;831.0
174.0;-1000.0;1067.0;365.0;1029.0;-902.0;54.0;-17.0;732.0;459.0;848.0
220.0;-968.0;1054.0;332.0;999.0;-853.0;57.0;?;?;?;876.0
215.0;?;1051.0;323.0;967.0;-830.0;58.0;867.0;760.0;464.0;888.0
216.0;-954.0;1076.0;351.0;961.0;?;60.0;?;775.0;460.0;881.0
232.0;-973.0;1077.0;358.0;957.0;-832.0;65.0;-357.0;766.0;453.0;911.0
231.0;-993.0;1095.0;?;?;-851.0;71.0;458.0;775.0;?;914.0
?;-997.0;1107.0;395.0;984.0;-854.0;?;?;797.0;435.0;942.0
?;-998.0;1128.0;379.0;1006.0;-855.0;?;169.0;812.0;426.0;?
247.0;-1006.0;1130.0;?;1007.0;?;87.0;278.0;803.0;411.0;?
?;-1018.0;1150.0;?;1034.0;-876.0;93.0;128.0;?;399.0;872.0
197.0;?;1105.0;334.0;1045.0;-910.0;?;354.0;752.0;387.0;854.0
191.0;-1020.0;1080.0;324.0;1075.0;-895.0;100.0;?;753.0;374.0;?
?;?;1079.0;323.0;1034.0;-854.0;101.0;?;771.0;364.0;853.0
204.0;-977.0;1097.0;306.0;?;-848.0;94.0;203.0;765.0;354.0;842.0
206.0;-979.0;1089.0;304.0;991.0;-846.0;94.0;?;773.0;?;843.0
198.0;-975.0;1087.0;294.0;1011.0;?;90.0;211.0;781.0;351.0;?
?;-970.0;1091.0;286.0;1006.0;-848.0;86.0;210.0;?;351.0;856.0
218.0;-971.0;1079.0;294.0;990.0;-851.0;82.0;196.0;731.0;356.0;?
214.0;-967.0;1062.0;283.0;981.0;-847.0;77.0;?;724.0;362.0;869.0
222.0;-961.0;1048.0;287.0;988.0;-840.0;72.0;151.0;710.0;369.0;859.0
193.0;?;1035.0;?;967.0;?;68.0;158.0;711.0;374.0;?
214.0;-945.0;1042.0;321.0;953.0;-821.0;63.0;205.0;736.0;382.0;837.0
240.0;-921.0;1045.0;315.0;951.0;-799.0;60.0;149.0;749.0;393.0;829.0
218.0;-932.0;1029.0;298.0;?;-799.0;59.0;151.0;756.0;?;839.0
218.0;-931.0;?;289.0;948.0;-804.0;59.0;308.0;?;415.0;847.0
207.0;-942.0;?;287.0;969.0;-822.0;58.0;?;747.0;429.0;835.0
237.0;-950.0;1060.0;311.0;971.0;-834.0;60.0;197.0;728.0;442.0;843.0
?;-949.0;?;314.0;980.0;?;61.0;194.0;733.0;453.0;838.0
231.0;-951.0;1086.0;315.0;?;-828.0;64.0;168.0;727.0;464.0;?
221.0;-958.0;?;305.0;981.0;-832.0;?;?;744.0;470.0;831.0
221.0;-954.0;1055.0;313.0;989.0;-831.0;70.0;188.0;754.0;473.0;838.0
203.0;-938.0;1054.0;334.0;978.0;-818.0;69.0;221.0;?;476.0;797.0
200.0;-948.0;?;340.0;997.0;-837.0;72.0;192.0;725.0;?;?
?;-941.0;1058.0;?;?;-825.0;71.0;224.0;676.0;475.0;?
286.0;-952.0;1035.0;331.0;980.0;-826.0;?;244.0;694.0;?;832.0
245.0;-939.0;1008.0;309.0;968.0;-799.0;66.0;246.0;700.0;477.0;576.0
295.0;-915.0;1048.0;302.0;935.0;-770.0;?;233.0;654.0;472.0;?
?;-906.0;958.0;?;?;-762.0;69.0;237.0;914.0;?;778.0
?;-903.0;1111.0;331.0;?;-772.0;78.0;240.0;1051.0;457.0;910.0
52.0;-817.0;1475.0;?;?;-708.0;84.0;237.0;?;451.0;768.0
-29.0;-1330.0;?;351.0;980.0;-1169.0;88.0;198.0;?;443.0;769.0
20.0;-1227.0;1090.0;335.0;1344.0;-1164.0;94.0;217.0;783.0;434.0;743.0
-1.0;-1014.0;?;309.0;1179.0;-941.0;90.0;?;759.0;422.0;850.0
37.0;-965.0;1010.0;?;999.0;-903.0;79.0;252.0;868.0;416.0;?
177.0;-909.0;1100.0;407.0;976.0;-856.0;63.0;284.0;907.0;422.0;820.0
167.0;-929.0;1227.0;549.0;920.0;-829.0;45.0;279.0;?;435.0;769.0
152.0;?;1166.0;582.0;952.0;-940.0;28.0;348.0;811.0;458.0;754.0
108.0;-1105.0;1113.0;447.0;?;-990.0;17.0;153.0;820.0;?;806.0
?;?;1090.0;463.0;1072.0;?;?;216.0;809.0;482.0;813.0
41.0;-992.0;1122.0;?;998.0;-883.0;?;285.0;?;496.0;?
112.0;-990.0;1101.0;419.0;?;-904.0;7.0;156.0;762.0;?;810.0
169.0;-997.0;1087.0;465.0;1031.0;-906.0;9.0;?;?;?;810.0
205.0;-991.0;1080.0;?;1020.0;-878.0;14.0;?;735.0;?;?
224.0;-975.0;?;389.0;969.0;-845.0;16.0;1536.0;740.0;518.0;838.0
253.0;-961.0;1052.0;400.0;955.0;-820.0;19.0;1937.0;738.0;520.0;?
193.0;-957.0;1038.0;374.0;936.0;-810.0;25.0;-1465.0;745.0;?;898.0
223.0;-960.0;?;?;946.0;-820.0;31.0;606.0;756.0;513.0;?
227.0;-969.0;1091.0;404.0;969.0;-835.0;38.0;106.0;761.0;?;?
228.0;-983.0;1071.0;389.0;988.0;-850.0;46.0;269.0;742.0;502.0;897.0
?;-989.0;1092.0;?;1009.0;-856.0;?;216.0;769.0;492.0;910.0
269.0;-986.0;1097.0;365.0;1000.0;-852.0;61.0;249.0;790.0;480.0;921.0
262.0;-975.0;1094.0;353.0;1006.0;-835.0;68.0;218.0;811.0;466.0;884.0
244.0;-991.0;?;352.0;?;-853.0;74.0;?;781.0;?;873.0
230.0;-1008.0;1137.0;?;1010.0;?;80.0;?;773.0;435.0;850.0
215.0;-1030.0;1099.0;351.0;1030.0;-895.0;83.0;?;758.0;423.0;?
241.0;-995.0;1102.0;338.0;1065.0;-872.0;87.0;332.0;734.0;410.0;828.0
241.0;-977.0;1092.0;311.0;1013.0;?;85.0;273.0;748.0;400.0;861.0
?;?;1087.0;?;?;-853.0;84.0;174.0;739.0;393.0;843.0
223.0;-994.0;1062.0;327.0;1018.0;-861.0;?;203.0;734.0;384.0;846.0
216.0;-975.0;?;?;?;-845.0;78.0;202.0;713.0;383.0;867.0
222.0;-959.0;1041.0;309.0;987.0;-837.0;76.0;?;?;383.0;846.0
?;-951.0;1065.0;317.0;979.0;-824.0;71.0;168.0;744.0;383.0;827.0
?;-938.0;1053.0;305.0;?;-811.0;?;151.0;744.0;390.0;829.0
208.0;-941.0;?;311.0;957.0;-811.0;64.0;?;?;400.0;810.0
?;-941.0;1050.0;307.0;980.0;-821.0;60.0;212.0;752.0;410.0;?
182.0;-934.0;1063.0;309.0;961.0;-822.0;59.0;276.0;748.0;?;833.0
209.0;?;1091.0;323.0;?;-846.0;?;250.0;?;?;?
219.0;-976.0;1086.0;322.0;991.0;-863.0;57.0;?;707.0;457.0;834.0
249.0;-981.0;1045.0;?;997.0;-856.0;53.0;302.0;706.0;477.0;814.0
280.0;-953.0;?;286.0;972.0;?;?;?;710.0;495.0;825.0
275.0;-932.0;1044.0;313.0;946.0;-792.0;52.0;171.0;735.0;509.0;?
246.0;-923.0;1053.0;?;?;-783.0;56.0;102.0;725.0;519.0;831.0
203.0;-928.0;1065.0;348.0;958.0;?;63.0;76.0;?;525.0;?
221.0;-945.0;1071.0;?;985.0;-830.0;69.0;165.0;730.0;532.0;813.0
223.0;-948.0;?;368.0;1002.0;-838.0;72.0;99.0;725.0;535.0;800.0
202.0;-945.0;?;342.0;982.0;-824.0;74.0;227.0;733.0;538.0;819.0
209.0;?;1070.0;?;?;-818.0;79.0;285.0;?;?;831.0
230.0;?;?;320.0;970.0;-819.0;79.0;274.0;745.0;529.0;809.0
215.0;?;1094.0;?;962.0;-833.0;82.0;?;721.0;522.0;827.0
237.0;-949.0;?;287.0;984.0;?;?;325.0;716.0;516.0;718.0
207.0;-940.0;1040.0;?;992.0;-832.0;?;224.0;?;506.0;660.0
189.0;-922.0;1053.0;287.0;961.0;-812.0;76.0;253.0;?;496.0;933.0
134.0;?;964.0;324.0;940.0;-823.0;75.0;247.0;?;?;943.0
?;-911.0;?;343.0;960.0;-818.0;75.0;218.0;976.0;475.0;874.0
56.0;-842.0;?;?;850.0;-731.0;71.0;222.0;821.0;469.0;736.0
-5.0;-1393.0;?;305.0;?;?;74.0;203.0;?;466.0;738.0
80.0;-1183.0;?;321.0;?;-1097.0;75.0;171.0;723.0;461.0;793.0
51.0;-992.0;1010.0;304.0;1008.0;-902.0;68.0;201.0;776.0;461.0;861.0
134.0;-944.0;1031.0;303.0;996.0;-861.0;56.0;?;936.0;468.0;877.0
197.0;?;1178.0;415.0;920.0;-799.0;43.0;163.0;886.0;485.0;816.0
?;-993.0;1236.0;685.0;905.0;?;27.0;?;?;511.0;782.0
158.0;?;1137.0;625.0;?;-1007.0;17.0;291.0;810.0;?;811.0
?;?;1071.0;505.0;1125.0;-983.0;8.0;293.0;782.0;548.0;851.0
204.0;-986.0;1086.0;439.0;?;-883.0;0.0;228.0;764.0;573.0;866.0
217.0;-984.0;?;402.0;973.0;-865.0;1.0;312.0;739.0;?;?
?;-997.0;1070.0;446.0;986.0;-876.0;3.0;209.0;766.0;?;832.0
217.0;-972.0;?;420.0;999.0;-849.0;?;397.0;722.0;610.0;851.0
239.0;?;1085.0;398.0;971.0;?;10.0;-389.0;740.0;613.0;878.0
?;-983.0;1030.0;407.0;992.0;-844.0;?;1608.0;736.0;614.0;882.0
192.0;-949.0;?;417.0;993.0;-826.0;20.0;411.0;?;615.0;893.0
220.0;-943.0;?;418.0;963.0;-810.0;27.0;-802.0;734.0;610.0;883.0
250.0;-967.0;1093.0;398.0;995.0;?;?;104.0;?;604.0;?
244.0;-983.0;1083.0;370.0;999.0;?;36.0;238.0;719.0;597.0;900.0
259.0;-970.0;1077.0;371.0;992.0;-835.0;36.0;190.0;725.0;588.0;?
284.0;-969.0;1059.0;355.0;977.0;-829.0;?;249.0;759.0;578.0;?
286.0;-965.0;?;?;973.0;-818.0;32.0;?;765.0;565.0;950.0
289.0;?;1097.0;326.0;954.0;-816.0;31.0;?;752.0;549.0;961.0
306.0;-988.0;?;333.0;?;-840.0;32.0;298.0;?;534.0;962.0
309.0;?;1084.0;340.0;998.0;-854.0;36.0;?;?;519.0;956.0
338.0;?;1079.0;353.0;998.0;-840.0;40.0;286.0;706.0;?;921.0
291.0;-972.0;?;330.0;993.0;-821.0;?;279.0;714.0;?;906.0
295.0;-961.0;1079.0;386.0;964.0;?;51.0;187.0;721.0;482.0;?
248.0;-960.0;1080.0;?;969.0;-814.0;61.0;157.0;749.0;?;875.0
228.0;-964.0;?;329.0;?;-824.0;65.0;208.0;762.0;?;855.0
223.0;-964.0;1069.0;299.0;?;-832.0;?;217.0;781.0;?;846.0
196.0;?;1074.0;286.0;992.0;?;?;215.0;773.0;467.0;843.0
