Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass
-268.0;-715.0;271.0;-424.0;-78.0;74;-7
608.0;139.0;481.0;-401.0;385.0;?;-7
?;?;474.0;-402.0;?;74;-7
637.0;?;474.0;-406.0;431.0;74;-7
576.0;274.0;482.0;-407.0;515.0;74;-7
480.0;255.0;?;-410.0;572.0;74;-7
448.0;347.0;503.0;-407.0;678.0;74;-7
364.0;201.0;517.0;-406.0;724.0;74;?
?;164.0;535.0;?;784.0;74;-7
?;63.0;562.0;-404.0;851.0;?;-7
?;?;594.0;-402.0;791.0;?;-7
?;-202.0;616.0;-397.0;638.0;74;-7
-146.0;-328.0;639.0;?;537.0;74;-7
-221.0;-364.0;651.0;-395.0;416.0;74;-7
-209.0;-428.0;653.0;-390.0;?;74;-7
?;-529.0;643.0;-398.0;155.0;74;-7
-182.0;-491.0;614.0;-403.0;2.0;74;-7
-171.0;-484.0;567.0;?;-117.0;74;-7
?;?;?;-413.0;-237.0;74;?
-110.0;-481.0;465.0;-419.0;-347.0;74;-7
-43.0;-401.0;?;-415.0;?;?;-7
2.0;-437.0;344.0;?;-298.0;74;-7
100.0;-439.0;282.0;-411.0;-458.0;74;-7
138.0;-285.0;239.0;?;-408.0;74;-7
51.0;-200.0;212.0;?;-52.0;?;-7
-87.0;-122.0;192.0;?;-63.0;74;-7
-168.0;-106.0;182.0;-418.0;21.0;74;-7
-237.0;?;?;?;68.0;74;-7
-359.0;?;195.0;-422.0;?;74;?
-459.0;-303.0;?;-423.0;?;74;?
?;?;221.0;-424.0;81.0;?;?
-494.0;-744.0;237.0;-425.0;-54.0;?;?
?;176.0;416.0;-432.0;476.0;74;-7
-59.0;146.0;419.0;-431.0;432.0;74;-7
-152.0;104.0;425.0;-431.0;389.0;?;?
44.0;?;429.0;?;354.0;74;-7
?;2.0;?;?;311.0;74;-7
-203.0;-429.0;?;-430.0;218.0;74;-7
-282.0;-830.0;377.0;-432.0;48.0;?;?
-326.0;-1230.0;327.0;-433.0;?;?;-7
8.0;-1353.0;255.0;?;-128.0;74;?
110.0;?;174.0;-436.0;-342.0;74;-7
316.0;-1299.0;99.0;-438.0;?;74;-7
212.0;-1236.0;48.0;-439.0;-770.0;74;-7
113.0;-1295.0;22.0;-443.0;-563.0;74;-7
-9.0;?;-12.0;-450.0;?;74;-8
-41.0;-746.0;-51.0;?;?;74;-8
?;-646.0;-77.0;-457.0;-394.0;?;?
-76.0;-579.0;-113.0;-457.0;-233.0;74;-8
-53.0;-486.0;-148.0;-458.0;-26.0;74;-8
2.0;-491.0;?;-464.0;?;74;-8
84.0;-530.0;-180.0;-465.0;-30.0;74;?
?;-483.0;-181.0;-471.0;?;?;-8
107.0;-474.0;-166.0;-470.0;-14.0;74;-8
97.0;-379.0;-144.0;-471.0;20.0;74;-8
44.0;-341.0;-126.0;-472.0;20.0;74;-8
-28.0;-301.0;-114.0;-473.0;16.0;74;-8
-80.0;-276.0;-111.0;-471.0;11.0;74;?
-73.0;-299.0;-115.0;-472.0;4.0;74;-8
?;-315.0;-122.0;-471.0;?;74;-8
?;?;-135.0;-466.0;-16.0;74;-8
-66.0;-304.0;-143.0;-468.0;-23.0;74;-8
?;-278.0;-146.0;?;-48.0;?;-8
-42.0;-262.0;-142.0;?;-64.0;?;?
-50.0;-272.0;-135.0;?;?;73;-8
?;-272.0;-119.0;-470.0;-56.0;?;-8
-50.0;-283.0;?;-470.0;?;73;-8
-26.0;-292.0;-88.0;-470.0;-36.0;73;-8
23.0;-294.0;?;?;?;73;-8
67.0;-334.0;-63.0;?;-29.0;73;-8
58.0;-362.0;-52.0;-470.0;?;73;-8
59.0;-360.0;?;-471.0;0.0;73;-8
70.0;-358.0;?;-467.0;16.0;73;-8
76.0;-404.0;-27.0;?;15.0;?;-8
50.0;-449.0;?;-463.0;?;73;-8
?;?;?;-460.0;6.0;74;-8
5.0;-396.0;?;?;16.0;74;-8
-5.0;-408.0;-12.0;-456.0;21.0;74;-8
?;-408.0;-15.0;-455.0;7.0;74;-7
-56.0;-418.0;-18.0;-457.0;-14.0;74;-7
?;-409.0;-21.0;-455.0;-26.0;?;-7
14.0;?;-22.0;-459.0;-21.0;74;-7
64.0;-412.0;-26.0;-456.0;-29.0;?;-7
?;-345.0;-20.0;-460.0;?;74;-7
-213.0;-366.0;-13.0;?;?;74;-7
94.0;-270.0;-4.0;-464.0;-80.0;74;-7
310.0;-399.0;16.0;-470.0;?;74;?
224.0;-637.0;27.0;-473.0;-51.0;74;-7
75.0;-470.0;40.0;-479.0;-44.0;75;-7
-42.0;-297.0;41.0;-483.0;?;75;-7
-29.0;-255.0;56.0;-491.0;-129.0;?;-7
?;?;75.0;-493.0;-170.0;75;-7
6.0;-243.0;76.0;-492.0;-30.0;75;?
3.0;-112.0;67.0;-488.0;171.0;75;-7
28.0;-214.0;55.0;?;184.0;75;-7
29.0;-290.0;33.0;-484.0;88.0;75;-7
14.0;-283.0;19.0;-482.0;?;?;?
-13.0;-253.0;9.0;-485.0;?;75;-7
-6.0;-266.0;?;-481.0;94.0;?;?
-35.0;-312.0;7.0;-482.0;93.0;75;?
-46.0;-367.0;14.0;-479.0;?;?;?
-58.0;-382.0;17.0;-479.0;29.0;75;-7
-39.0;-389.0;13.0;-476.0;-7.0;75;-7
-46.0;-397.0;6.0;-474.0;-24.0;?;?
-19.0;-435.0;1.0;-473.0;?;?;-7
-27.0;-449.0;?;-470.0;-36.0;74;-8
8.0;?;?;-469.0;-64.0;74;-7
2.0;-459.0;-7.0;-464.0;-72.0;74;-8
?;-471.0;-15.0;?;-78.0;74;-7
8.0;-443.0;-16.0;-458.0;-76.0;?;-7
3.0;-437.0;-20.0;-459.0;-87.0;74;-7
13.0;-421.0;-25.0;?;-83.0;?;-7
41.0;-371.0;?;-449.0;-56.0;?;?
25.0;-360.0;-33.0;-450.0;?;?;-7
?;-359.0;-38.0;-444.0;-21.0;75;-7
-16.0;-348.0;?;-442.0;-7.0;75;-7
-20.0;-338.0;-43.0;-441.0;?;75;-7
-1.0;-329.0;-40.0;?;-1.0;75;-7
29.0;-333.0;-35.0;-442.0;?;75;-7
?;-325.0;-22.0;-444.0;?;75;-7
41.0;-327.0;?;-448.0;?;75;-7
?;-349.0;5.0;?;?;75;-7
?;-344.0;16.0;-456.0;-11.0;75;-7
-27.0;-333.0;17.0;-459.0;?;75;-7
-14.0;-324.0;18.0;?;-21.0;75;-7
-12.0;?;?;-462.0;-11.0;75;-7
?;-308.0;?;-465.0;-1.0;75;?
23.0;-330.0;33.0;-464.0;7.0;75;?
?;-340.0;38.0;-465.0;18.0;75;-7
1.0;-349.0;?;-465.0;24.0;?;-7
7.0;-330.0;?;-465.0;5.0;75;-7
24.0;-360.0;?;-467.0;?;75;-7
23.0;-373.0;36.0;-467.0;8.0;75;-7
35.0;?;33.0;-466.0;3.0;75;-7
?;-363.0;30.0;-469.0;3.0;75;-7
-226.0;?;29.0;-470.0;-6.0;75;-7
23.0;-312.0;?;-471.0;?;?;-7
184.0;-398.0;34.0;-470.0;-9.0;75;?
281.0;-519.0;39.0;-473.0;-21.0;?;-7
192.0;-502.0;42.0;-473.0;10.0;?;?
104.0;-376.0;47.0;-477.0;-62.0;75;?
?;-248.0;50.0;-480.0;-89.0;74;-7
?;-252.0;63.0;-478.0;?;74;-7
?;-253.0;63.0;-477.0;-13.0;75;?
34.0;?;64.0;-481.0;126.0;75;-7
24.0;-212.0;70.0;-477.0;?;75;-7
10.0;-181.0;77.0;-478.0;91.0;?;?
?;-182.0;80.0;-480.0;35.0;75;-7
34.0;-234.0;?;-480.0;109.0;75;?
85.0;?;84.0;-484.0;175.0;75;?
68.0;?;89.0;-487.0;158.0;75;-7
?;-281.0;94.0;-488.0;87.0;75;-7
28.0;-263.0;95.0;-490.0;60.0;75;-7
31.0;?;?;-491.0;55.0;75;-7
25.0;-340.0;75.0;-491.0;52.0;?;?
4.0;-353.0;66.0;-491.0;42.0;75;-7
?;-361.0;?;?;17.0;?;-7
?;-367.0;?;-493.0;?;74;-7
20.0;-387.0;66.0;?;?;74;-7
5.0;-408.0;65.0;-493.0;-9.0;74;-8
-31.0;-409.0;67.0;-494.0;-19.0;74;-8
-37.0;-408.0;71.0;-494.0;-19.0;74;-8
?;-398.0;74.0;-497.0;-39.0;?;-8
-4.0;-400.0;77.0;-493.0;-29.0;74;-8
27.0;?;77.0;-492.0;-16.0;?;-8
?;-402.0;72.0;-491.0;-19.0;74;-8
10.0;-411.0;69.0;-488.0;-22.0;74;-8
1.0;-401.0;69.0;?;?;?;-8
20.0;-384.0;?;-486.0;?;?;-8
17.0;-399.0;?;-483.0;-29.0;74;-8
6.0;-381.0;64.0;-486.0;-38.0;74;-8
4.0;-350.0;?;-485.0;-36.0;74;-8
22.0;-314.0;60.0;-482.0;-32.0;73;-8
?;-327.0;58.0;-481.0;-20.0;?;-8
32.0;-315.0;57.0;-481.0;-15.0;74;?
22.0;-283.0;56.0;?;?;74;-8
19.0;-272.0;58.0;?;6.0;?;?
15.0;?;?;-468.0;16.0;74;-8
-10.0;?;54.0;-465.0;23.0;?;-8
-39.0;-272.0;53.0;-462.0;?;?;-7
?;-302.0;49.0;-459.0;?;74;-7
26.0;-305.0;48.0;-457.0;23.0;?;-7
58.0;-313.0;46.0;-455.0;14.0;75;-8
?;-333.0;43.0;-455.0;0.0;75;-7
47.0;-339.0;40.0;-450.0;-1.0;75;-7
58.0;?;34.0;-451.0;-4.0;75;-7
-88.0;?;23.0;-449.0;?;75;-7
?;-322.0;15.0;-442.0;?;75;-7
?;?;9.0;-446.0;?;75;-7
173.0;-444.0;?;-446.0;-11.0;75;?
170.0;-464.0;14.0;-448.0;?;74;-7
168.0;-390.0;25.0;-455.0;?;74;-7
83.0;-348.0;36.0;-457.0;-86.0;74;-7
86.0;-308.0;?;-457.0;-53.0;?;-7
?;-263.0;67.0;-456.0;?;75;-7
?;-236.0;67.0;-450.0;?;75;-7
100.0;?;?;-446.0;193.0;75;-7
61.0;-190.0;47.0;?;?;75;-7
10.0;-162.0;29.0;-437.0;61.0;75;-7
41.0;-175.0;19.0;?;95.0;75;-7
71.0;-223.0;9.0;-433.0;145.0;75;?
86.0;-257.0;8.0;-436.0;170.0;75;-7
44.0;-266.0;15.0;-433.0;?;75;?
18.0;?;26.0;-437.0;?;75;-7
?;?;34.0;-437.0;52.0;75;-7
?;-279.0;33.0;?;40.0;?;-7
?;?;27.0;?;45.0;?;-7
38.0;?;20.0;-438.0;?;75;-7
?;-341.0;21.0;?;21.0;75;-7
2.0;?;26.0;-442.0;12.0;75;?
-12.0;-345.0;?;?;8.0;75;-7
?;?;31.0;-442.0;3.0;75;-8
13.0;-380.0;33.0;?;-1.0;75;-8
?;-392.0;?;-447.0;?;74;-8
0.0;?;40.0;?;3.0;74;?
1.0;-401.0;?;-449.0;-8.0;74;-7
-2.0;-399.0;47.0;-446.0;-13.0;74;-7
5.0;-386.0;50.0;-447.0;-13.0;?;-7
32.0;-390.0;51.0;-447.0;-10.0;74;-7
25.0;-395.0;50.0;-448.0;-10.0;?;-7
19.0;-401.0;?;-447.0;-16.0;75;-7
18.0;?;43.0;-442.0;-15.0;75;-7
20.0;-378.0;40.0;-446.0;-13.0;75;-7
14.0;-379.0;?;-439.0;-14.0;?;-7
9.0;-360.0;34.0;-442.0;-20.0;?;-7
14.0;-347.0;31.0;-439.0;-12.0;74;-7
35.0;-318.0;33.0;-438.0;-7.0;?;-7
40.0;-307.0;35.0;?;?;74;-7
31.0;?;40.0;-433.0;?;74;-7
19.0;-283.0;?;?;1.0;?;-7
10.0;-300.0;?;-429.0;2.0;?;-7
?;-284.0;?;-430.0;?;?;-7
?;-256.0;?;-425.0;-3.0;74;-7
-34.0;?;24.0;?;-7.0;74;-7
-23.0;-263.0;27.0;-424.0;3.0;74;?
-3.0;-276.0;35.0;-428.0;6.0;74;-7
42.0;-291.0;40.0;-423.0;8.0;74;-7
14.0;-292.0;?;-425.0;2.0;74;-7
54.0;-283.0;38.0;-421.0;-1.0;74;?
13.0;?;46.0;-421.0;12.0;?;?
106.0;-321.0;?;-419.0;14.0;?;-7
?;-344.0;?;?;14.0;?;-7
41.0;-316.0;32.0;-414.0;22.0;?;-7
273.0;?;?;-414.0;26.0;?;-7
226.0;-557.0;17.0;?;26.0;74;-7
?;-529.0;?;-412.0;40.0;74;-7
145.0;-440.0;14.0;-411.0;?;74;?
66.0;-319.0;?;-413.0;-47.0;74;-7
?;-283.0;28.0;-407.0;-60.0;74;-7
139.0;-288.0;?;?;-42.0;74;-7
102.0;-288.0;24.0;-399.0;108.0;74;?
91.0;-248.0;18.0;?;178.0;?;?
40.0;-183.0;7.0;-391.0;81.0;74;?
36.0;-173.0;-4.0;?;44.0;74;?
?;-194.0;-12.0;-378.0;?;?;?
26.0;-204.0;-25.0;-377.0;142.0;?;-7
?;-204.0;-32.0;-376.0;?;74;-7
2.0;?;-28.0;?;102.0;74;-7
-12.0;-218.0;?;-382.0;67.0;74;-7
?;-252.0;-20.0;-386.0;65.0;74;?
?;-278.0;-16.0;?;52.0;?;-7
10.0;-303.0;-13.0;-401.0;?;74;-7
48.0;-328.0;-11.0;-402.0;31.0;74;-7
57.0;-333.0;?;-408.0;19.0;74;?
61.0;-352.0;-1.0;-406.0;15.0;74;-7
?;-370.0;?;-408.0;26.0;74;-7
64.0;-396.0;-7.0;-408.0;29.0;74;-7
6.0;?;-9.0;-408.0;33.0;74;-7
?;-380.0;-13.0;-405.0;?;74;-7
-20.0;?;-14.0;-405.0;42.0;?;-7
?;-417.0;-16.0;-404.0;?;74;-7
19.0;-409.0;-16.0;-401.0;40.0;74;-8
35.0;-428.0;-22.0;-403.0;?;?;?
49.0;-404.0;-19.0;-402.0;?;?;-8
33.0;-389.0;?;-404.0;?;?;-8
29.0;-372.0;-11.0;-407.0;?;74;-8
19.0;-378.0;-5.0;-407.0;?;?;-7
20.0;?;1.0;-404.0;-25.0;?;-7
0.0;-336.0;7.0;-402.0;-18.0;74;?
-13.0;-305.0;11.0;-404.0;-16.0;?;-7
-29.0;-285.0;12.0;-400.0;-5.0;75;?
65.0;-319.0;?;-400.0;?;75;-7
59.0;-321.0;12.0;-399.0;?;?;-7
96.0;-314.0;13.0;-396.0;6.0;?;-7
?;?;?;?;-1.0;75;-7
11.0;-275.0;17.0;?;-5.0;75;-7
?;-244.0;20.0;-394.0;5.0;?;?
-2.0;-243.0;27.0;-395.0;14.0;75;-7
?;-253.0;31.0;?;20.0;75;-7
16.0;?;34.0;-393.0;25.0;75;?
28.0;-255.0;32.0;-394.0;50.0;75;-7
?;?;31.0;?;56.0;75;-7
?;-310.0;27.0;-388.0;48.0;75;-7
?;?;22.0;-387.0;42.0;76;-7
39.0;-335.0;19.0;?;41.0;75;-7
18.0;?;14.0;-386.0;23.0;75;-7
?;-333.0;14.0;-388.0;22.0;75;-7
?;-340.0;13.0;?;8.0;75;-7
36.0;-361.0;11.0;?;-1.0;75;-7
-42.0;-344.0;11.0;-383.0;3.0;75;-7
61.0;?;?;-380.0;2.0;75;-7
328.0;?;6.0;-384.0;1.0;75;?
?;-474.0;8.0;-384.0;3.0;75;-7
?;-530.0;17.0;-382.0;-4.0;75;-7
156.0;-378.0;26.0;-386.0;-33.0;?;-7
70.0;-326.0;?;-385.0;?;75;?
113.0;-267.0;?;-384.0;-37.0;75;-7
105.0;-221.0;26.0;-375.0;47.0;75;?
134.0;-170.0;14.0;-372.0;208.0;75;-7
?;-194.0;-6.0;-368.0;215.0;75;-7
78.0;-221.0;-34.0;-362.0;?;75;-7
?;-297.0;-53.0;-365.0;56.0;?;-7
-157.0;?;-63.0;-370.0;113.0;75;?
-181.0;?;?;?;148.0;?;-7
?;-773.0;-42.0;-385.0;155.0;?;-7
?;-799.0;-21.0;-395.0;78.0;75;-7
-298.0;-854.0;-8.0;-404.0;?;?;?
-298.0;-1050.0;-5.0;-412.0;-48.0;75;-7
-271.0;-1070.0;?;?;-82.0;?;?
-259.0;-1094.0;-12.0;-429.0;-133.0;75;-7
-147.0;-952.0;-14.0;?;-245.0;75;-7
-128.0;-936.0;?;-454.0;-363.0;75;-7
-149.0;-851.0;10.0;-460.0;?;75;?
-35.0;?;?;?;-383.0;75;-7
143.0;-793.0;43.0;?;-388.0;?;-7
52.0;-589.0;58.0;?;-441.0;?;-7
202.0;?;67.0;-485.0;-434.0;75;-7
?;-171.0;?;?;-421.0;75;-7
229.0;76.0;72.0;?;-413.0;75;-7
262.0;183.0;71.0;-491.0;-294.0;75;?
276.0;?;69.0;-496.0;?;75;-7
296.0;?;67.0;-497.0;140.0;75;-7
?;239.0;73.0;-500.0;132.0;?;-7
322.0;148.0;78.0;-498.0;?;?;-7
366.0;?;81.0;-502.0;208.0;75;?
?;37.0;87.0;-500.0;?;?;?
?;20.0;86.0;-499.0;241.0;75;-7
401.0;62.0;79.0;-496.0;?;75;-7
?;?;78.0;-496.0;?;75;-7
399.0;?;?;-497.0;240.0;75;-7
?;74.0;70.0;-494.0;305.0;75;-7
?;?;70.0;-495.0;274.0;75;?
?;-25.0;73.0;-493.0;323.0;75;-7
396.0;-63.0;74.0;-495.0;326.0;?;-7
367.0;?;76.0;-496.0;285.0;75;-7
?;-22.0;77.0;-493.0;296.0;75;?
358.0;-32.0;75.0;-491.0;243.0;75;-7
337.0;-87.0;72.0;-489.0;251.0;75;-7
?;-62.0;72.0;-493.0;261.0;75;-7
319.0;-40.0;73.0;-491.0;272.0;?;?
349.0;?;74.0;-497.0;222.0;?;-7
332.0;-10.0;74.0;-495.0;?;75;?
?;48.0;?;-495.0;?;75;-7
?;262.0;82.0;?;?;75;-7
?;441.0;83.0;-500.0;184.0;75;-7
?;345.0;87.0;-499.0;220.0;75;?
?;111.0;91.0;-502.0;?;75;-7
-63.0;127.0;?;-501.0;?;?;-7
-162.0;-75.0;?;-498.0;391.0;75;-7
-324.0;?;?;-498.0;320.0;?;-7
-224.0;?;81.0;?;187.0;?;-7
-666.0;-1028.0;?;?;-5.0;75;?
-229.0;-931.0;72.0;-485.0;-193.0;75;?
-406.0;-881.0;68.0;-475.0;-268.0;75;?
93.0;-888.0;60.0;-470.0;-443.0;75;?
?;-612.0;51.0;?;-280.0;?;-7
?;?;41.0;-459.0;-460.0;?;?
?;-910.0;34.0;-453.0;-369.0;?;-7
264.0;?;28.0;-449.0;-149.0;75;?
?;-440.0;23.0;-442.0;-61.0;75;-7
-18.0;-223.0;15.0;-437.0;?;75;-7
-54.0;?;7.0;-428.0;-28.0;75;-7
-56.0;-371.0;-1.0;-424.0;192.0;75;?
?;-440.0;-10.0;-422.0;329.0;75;?
87.0;?;-16.0;-421.0;257.0;75;-7
?;-345.0;-12.0;?;?;75;-7
58.0;?;-2.0;-431.0;168.0;75;-7
46.0;-260.0;13.0;-434.0;133.0;75;-7
15.0;?;31.0;-442.0;103.0;75;-7
?;-276.0;42.0;-443.0;87.0;75;-7
-31.0;-280.0;54.0;-447.0;68.0;75;-7
-74.0;?;56.0;?;35.0;75;-7
?;-322.0;55.0;-448.0;2.0;75;?
-50.0;-331.0;51.0;-451.0;-25.0;75;-7
?;-330.0;47.0;-453.0;-32.0;?;-7
4.0;-317.0;?;-451.0;-40.0;75;-7
57.0;-313.0;35.0;-452.0;-48.0;75;-7
?;-323.0;31.0;-452.0;-54.0;75;-7
35.0;-321.0;25.0;-450.0;-56.0;75;?
85.0;-340.0;21.0;-448.0;-46.0;75;-7
48.0;?;18.0;-449.0;-35.0;75;-7
60.0;-311.0;16.0;?;-20.0;75;?
74.0;-337.0;17.0;-446.0;-3.0;75;-7
16.0;?;16.0;-447.0;11.0;?;-7
-30.0;-296.0;15.0;-449.0;47.0;75;-7
2.0;-284.0;17.0;?;70.0;?;-7
20.0;-272.0;20.0;-448.0;77.0;75;?
-3.0;?;20.0;-449.0;86.0;75;-7
?;?;20.0;-447.0;78.0;75;-7
25.0;-333.0;17.0;?;?;?;-7
1.0;-366.0;20.0;-451.0;72.0;75;-7
-15.0;-389.0;27.0;-451.0;52.0;75;-7
2.0;-376.0;35.0;-451.0;36.0;?;-7
-17.0;-381.0;40.0;-450.0;5.0;75;-7
?;-354.0;41.0;?;-6.0;75;-7
-28.0;-340.0;?;-449.0;-23.0;?;-7
?;-335.0;36.0;?;?;75;-7
39.0;-366.0;30.0;?;-22.0;75;-7
50.0;-370.0;20.0;-444.0;-32.0;75;-7
29.0;-339.0;12.0;-447.0;?;75;-7
?;-311.0;9.0;-445.0;?;?;-7
40.0;-353.0;?;-449.0;-10.0;75;-7
?;-362.0;13.0;-445.0;-3.0;75;-7
-21.0;?;12.0;-446.0;-4.0;75;?
6.0;-280.0;15.0;?;17.0;75;?
27.0;-288.0;19.0;-450.0;27.0;?;-7
19.0;-333.0;23.0;-452.0;29.0;75;-7
-1.0;-313.0;20.0;-453.0;37.0;75;-7
1.0;-320.0;23.0;?;39.0;75;-7
14.0;-340.0;?;-456.0;35.0;75;-7
7.0;-328.0;25.0;-458.0;?;75;-7
38.0;-334.0;26.0;?;31.0;75;-7
19.0;-348.0;25.0;-454.0;?;75;-7
?;?;10.0;-455.0;16.0;75;-7
-20.0;-322.0;-44.0;-452.0;15.0;75;-7
-29.0;?;-157.0;-452.0;18.0;75;-7
?;-356.0;-336.0;-454.0;?;75;?
3.0;-343.0;-487.0;-452.0;10.0;?;-7
15.0;?;-550.0;-453.0;6.0;75;-7
11.0;-350.0;-548.0;?;-2.0;?;-7
?;-311.0;-550.0;-448.0;-4.0;75;-7
-21.0;-323.0;-549.0;?;0.0;75;-7
?;-332.0;-538.0;-440.0;-8.0;75;?
64.0;-342.0;?;-435.0;-11.0;75;-7
25.0;-332.0;?;?;-2.0;75;-7
28.0;-302.0;-549.0;-435.0;3.0;75;-7
12.0;-316.0;-549.0;-432.0;13.0;?;-7
19.0;-351.0;-536.0;-429.0;22.0;75;-7
-28.0;-333.0;?;-428.0;16.0;75;-7
-39.0;-316.0;-515.0;-426.0;18.0;75;?
-37.0;-331.0;-504.0;?;16.0;?;-7
10.0;-328.0;-488.0;-430.0;15.0;75;-7
39.0;-355.0;-468.0;?;8.0;75;?
24.0;-353.0;-444.0;?;?;75;?
2.0;-332.0;-419.0;-435.0;3.0;75;-7
-8.0;-321.0;-389.0;-435.0;5.0;?;-7
?;-333.0;-360.0;-440.0;1.0;75;-7
13.0;-346.0;-323.0;-446.0;-5.0;75;-7
-2.0;-305.0;?;?;1.0;75;-7
?;-305.0;-233.0;?;?;75;-7
-24.0;-295.0;-187.0;-466.0;0.0;75;?
?;?;-158.0;?;?;75;-7
?;-327.0;-135.0;-478.0;3.0;?;?
-11.0;-335.0;-123.0;-485.0;?;?;-7
10.0;-344.0;?;?;10.0;?;-7
11.0;?;-113.0;-495.0;18.0;75;?
26.0;-378.0;-108.0;-496.0;12.0;75;-7
-12.0;?;-102.0;-499.0;?;75;-7
4.0;-351.0;?;?;21.0;75;-7
-4.0;-357.0;-96.0;-502.0;10.0;?;-7
28.0;-343.0;-102.0;-504.0;27.0;75;-7
64.0;?;?;-505.0;?;?;-7
47.0;-337.0;-103.0;-504.0;23.0;75;-7
31.0;-295.0;-106.0;-502.0;?;75;-7
?;-328.0;?;-502.0;?;?;-7
1.0;-293.0;-105.0;?;9.0;?;-7
25.0;-336.0;-101.0;-503.0;?;75;-7
25.0;-282.0;-94.0;-502.0;61.0;75;-7
?;-295.0;-94.0;-499.0;64.0;75;-7
?;-327.0;-96.0;-500.0;60.0;?;-7
10.0;-343.0;-99.0;-498.0;42.0;75;-7
16.0;-335.0;-101.0;-495.0;?;75;-7
-27.0;-317.0;-102.0;-496.0;50.0;?;-7
?;-308.0;-100.0;-494.0;43.0;75;-7
?;?;-96.0;-491.0;?;75;-7
?;?;?;-492.0;?;75;?
-5.0;-331.0;-99.0;-492.0;10.0;75;-7
?;-351.0;-99.0;-490.0;5.0;?;-7
19.0;-344.0;-101.0;-490.0;18.0;75;-7
27.0;-292.0;?;-489.0;8.0;75;-7
9.0;-330.0;-110.0;-488.0;-1.0;75;-7
?;-320.0;-116.0;?;-1.0;75;?
59.0;-304.0;-118.0;-484.0;43.0;75;?
22.0;-323.0;-123.0;-481.0;49.0;75;-7
-26.0;-271.0;-128.0;?;44.0;75;?
-4.0;-268.0;-128.0;-481.0;35.0;75;?
39.0;-309.0;-129.0;-480.0;43.0;75;-7
19.0;-310.0;-132.0;-476.0;?;75;-7
31.0;-311.0;?;-476.0;39.0;?;-7
26.0;-305.0;-128.0;-477.0;30.0;75;?
22.0;-292.0;?;-477.0;?;75;?
26.0;-309.0;-126.0;-475.0;47.0;75;-7
4.0;-311.0;-129.0;-472.0;34.0;75;-7
20.0;-322.0;?;-472.0;35.0;75;?
26.0;-340.0;-133.0;?;23.0;?;-7
10.0;-316.0;?;-468.0;9.0;75;-7
?;-318.0;-132.0;-468.0;15.0;75;-7
24.0;?;-133.0;-467.0;?;75;-7
15.0;-335.0;?;-465.0;20.0;75;-7
16.0;?;-137.0;-464.0;15.0;75;-7
12.0;?;-140.0;-464.0;9.0;?;-7
10.0;-323.0;-141.0;-465.0;?;?;-7
19.0;?;-140.0;-463.0;?;75;-7
?;?;-137.0;?;21.0;75;-7
2.0;?;?;-465.0;14.0;75;-7
33.0;-328.0;?;?;13.0;75;-7
40.0;?;-140.0;-464.0;?;?;-7
