Accelerometer LUA^ accY;InertialMeasurementUnit LUA magneticX;Accelerometer RKN^ accY;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit R-SHOE EuY
749.0;594.0;?;22.0;551.0;?;?;203.0;-1015.0;-24
878.0;?;1026.0;?;546.0;?;?;-141.0;-1040.0;-24
905.0;?;1042.0;7.0;537.0;546.0;571.0;-211.0;-1052.0;-24
929.0;?;1022.0;40.0;538.0;389.0;381.0;-150.0;-998.0;-24
847.0;636.0;?;45.0;528.0;487.0;?;-75.0;-975.0;-24
885.0;637.0;1032.0;29.0;537.0;306.0;?;51.0;-938.0;-24
969.0;?;1049.0;40.0;559.0;210.0;41.0;154.0;-891.0;?
1013.0;644.0;1041.0;20.0;573.0;?;40.0;212.0;?;-24
999.0;641.0;1020.0;31.0;587.0;386.0;?;?;-848.0;?
948.0;629.0;1024.0;51.0;597.0;397.0;123.0;198.0;-928.0;-24
?;622.0;?;58.0;605.0;386.0;182.0;164.0;-1031.0;-24
?;627.0;1018.0;63.0;612.0;358.0;229.0;148.0;-1054.0;-24
912.0;621.0;1038.0;?;613.0;?;254.0;71.0;-1019.0;?
1010.0;614.0;1034.0;45.0;619.0;304.0;241.0;88.0;-988.0;-24
1043.0;599.0;1035.0;59.0;624.0;232.0;?;101.0;?;?
1021.0;594.0;1038.0;105.0;633.0;164.0;179.0;155.0;-979.0;-24
?;592.0;1050.0;143.0;643.0;?;150.0;167.0;-989.0;-24
933.0;?;1037.0;?;653.0;142.0;171.0;95.0;-1005.0;-24
960.0;575.0;1036.0;283.0;658.0;?;185.0;?;?;-24
948.0;564.0;979.0;355.0;660.0;134.0;?;?;?;?
?;556.0;?;474.0;662.0;?;179.0;56.0;-992.0;-24
957.0;552.0;989.0;446.0;663.0;?;180.0;38.0;-995.0;-24
923.0;549.0;1130.0;581.0;661.0;161.0;181.0;1.0;-988.0;-24
?;547.0;786.0;53.0;660.0;?;190.0;-10.0;-994.0;-24
?;552.0;1337.0;-32.0;661.0;225.0;191.0;1.0;-994.0;-24
911.0;?;?;-151.0;658.0;245.0;185.0;44.0;-960.0;-24
?;554.0;?;?;662.0;276.0;162.0;62.0;-971.0;-24
901.0;554.0;977.0;?;656.0;285.0;162.0;58.0;?;-24
?;558.0;?;172.0;646.0;271.0;188.0;36.0;-971.0;-24
?;563.0;945.0;217.0;?;267.0;226.0;30.0;-972.0;?
951.0;568.0;884.0;312.0;624.0;271.0;230.0;34.0;-987.0;-24
937.0;574.0;940.0;335.0;615.0;225.0;?;68.0;-975.0;-24
?;580.0;926.0;286.0;?;226.0;207.0;93.0;?;-24
942.0;585.0;920.0;?;602.0;245.0;185.0;108.0;-971.0;-24
982.0;589.0;1076.0;?;597.0;215.0;?;-1.0;?;-24
952.0;596.0;940.0;374.0;597.0;?;?;133.0;-963.0;-24
?;600.0;1027.0;232.0;?;221.0;170.0;159.0;-945.0;-24
?;602.0;1065.0;285.0;598.0;215.0;164.0;113.0;?;-24
958.0;?;1006.0;277.0;599.0;222.0;?;108.0;-905.0;-24
960.0;601.0;?;278.0;601.0;215.0;186.0;172.0;-880.0;?
940.0;?;1021.0;228.0;604.0;232.0;118.0;51.0;-841.0;-24
920.0;598.0;995.0;?;601.0;?;?;?;-781.0;-24
?;596.0;963.0;352.0;604.0;256.0;161.0;382.0;-597.0;-24
834.0;592.0;967.0;363.0;612.0;223.0;-47.0;191.0;-1134.0;-24
839.0;575.0;936.0;341.0;620.0;245.0;?;-97.0;-1461.0;?
633.0;?;948.0;312.0;?;?;?;-293.0;?;-24
779.0;544.0;970.0;259.0;634.0;226.0;475.0;-275.0;-865.0;-24
1470.0;527.0;987.0;229.0;658.0;493.0;429.0;-216.0;-889.0;-24
?;522.0;993.0;262.0;669.0;337.0;?;-54.0;?;?
?;517.0;998.0;253.0;669.0;292.0;27.0;-9.0;-955.0;-24
686.0;?;970.0;309.0;660.0;?;19.0;18.0;-1071.0;-24
797.0;506.0;1003.0;265.0;655.0;281.0;?;16.0;?;-24
811.0;499.0;?;391.0;?;206.0;152.0;60.0;?;-24
1037.0;494.0;898.0;327.0;653.0;363.0;?;97.0;?;?
?;494.0;832.0;425.0;641.0;403.0;143.0;139.0;?;?
?;494.0;911.0;179.0;?;?;137.0;152.0;-1013.0;-24
?;499.0;664.0;?;632.0;273.0;138.0;152.0;-1001.0;-24
?;504.0;1909.0;?;?;275.0;153.0;153.0;?;-24
?;514.0;1230.0;100.0;626.0;276.0;131.0;176.0;-952.0;?
946.0;517.0;761.0;0.0;632.0;273.0;?;178.0;-954.0;-24
925.0;527.0;1330.0;-18.0;624.0;294.0;?;?;?;-24
909.0;532.0;663.0;-18.0;?;294.0;99.0;166.0;-973.0;-24
912.0;541.0;968.0;135.0;611.0;266.0;103.0;150.0;?;-24
929.0;546.0;1039.0;355.0;602.0;290.0;?;115.0;-986.0;-24
?;551.0;1141.0;298.0;?;308.0;113.0;?;-1026.0;-24
913.0;557.0;938.0;200.0;595.0;325.0;?;?;?;-24
939.0;559.0;1018.0;220.0;592.0;?;157.0;?;?;-24
958.0;563.0;?;207.0;?;322.0;152.0;41.0;-940.0;-24
?;566.0;1000.0;225.0;593.0;329.0;134.0;13.0;-927.0;?
952.0;566.0;987.0;220.0;592.0;301.0;?;52.0;-919.0;-24
920.0;567.0;?;219.0;?;286.0;134.0;72.0;-929.0;-24
929.0;567.0;1020.0;208.0;590.0;267.0;153.0;51.0;-919.0;?
?;567.0;1011.0;208.0;590.0;254.0;159.0;31.0;?;-24
?;?;1033.0;200.0;590.0;244.0;163.0;?;-925.0;-24
?;562.0;?;?;593.0;?;?;149.0;-932.0;-24
899.0;?;1009.0;200.0;?;244.0;?;161.0;?;-24
901.0;560.0;1030.0;?;?;241.0;122.0;?;?;-24
891.0;556.0;1088.0;208.0;591.0;220.0;153.0;?;-1019.0;-24
926.0;554.0;1098.0;41.0;589.0;227.0;198.0;21.0;-1010.0;-24
?;?;?;55.0;?;220.0;220.0;?;-991.0;-24
988.0;?;1031.0;162.0;?;235.0;219.0;25.0;-980.0;?
983.0;547.0;995.0;225.0;596.0;243.0;?;29.0;-985.0;-24
962.0;548.0;989.0;206.0;597.0;?;146.0;51.0;-984.0;?
933.0;550.0;1007.0;260.0;602.0;221.0;128.0;50.0;?;-24
928.0;?;971.0;?;598.0;232.0;133.0;58.0;?;-24
?;?;957.0;375.0;?;249.0;141.0;79.0;-984.0;?
948.0;550.0;?;362.0;601.0;233.0;145.0;91.0;-976.0;-24
941.0;552.0;?;?;597.0;252.0;156.0;81.0;-970.0;-24
958.0;?;941.0;241.0;595.0;?;154.0;72.0;-969.0;?
958.0;554.0;982.0;250.0;593.0;254.0;156.0;78.0;-966.0;-24
921.0;557.0;?;?;590.0;256.0;165.0;83.0;?;-24
941.0;558.0;1024.0;255.0;591.0;?;169.0;?;-939.0;-24
938.0;559.0;?;238.0;594.0;?;165.0;280.0;-892.0;-25
925.0;?;?;264.0;?;252.0;179.0;?;-723.0;-25
933.0;?;987.0;246.0;601.0;226.0;?;203.0;-750.0;?
869.0;564.0;1002.0;242.0;605.0;?;?;-7.0;-1436.0;?
828.0;?;1000.0;240.0;604.0;239.0;288.0;-203.0;-1068.0;-24
?;552.0;996.0;224.0;602.0;165.0;?;?;-767.0;-24
1166.0;?;985.0;238.0;608.0;468.0;459.0;-94.0;-793.0;-24
?;?;?;263.0;606.0;?;237.0;?;-846.0;-24
794.0;538.0;993.0;261.0;606.0;154.0;194.0;-52.0;-1049.0;-24
697.0;?;961.0;?;612.0;249.0;231.0;-74.0;-1054.0;-24
720.0;534.0;939.0;?;619.0;189.0;248.0;?;-909.0;-24
909.0;534.0;?;277.0;626.0;158.0;?;81.0;?;-24
1061.0;531.0;951.0;?;625.0;?;156.0;100.0;-911.0;-24
926.0;529.0;?;263.0;622.0;294.0;?;?;?;-24
823.0;530.0;?;?;620.0;267.0;186.0;60.0;?;-24
839.0;?;558.0;560.0;614.0;298.0;220.0;64.0;-963.0;-24
929.0;534.0;?;156.0;607.0;?;?;?;-953.0;-24
913.0;?;1511.0;-324.0;601.0;305.0;201.0;?;-947.0;?
?;535.0;731.0;?;597.0;301.0;?;93.0;?;-24
910.0;539.0;1361.0;-161.0;595.0;249.0;190.0;111.0;-953.0;-24
904.0;?;739.0;90.0;593.0;228.0;?;144.0;-959.0;?
885.0;551.0;1242.0;74.0;592.0;256.0;171.0;171.0;?;-24
906.0;557.0;?;115.0;592.0;275.0;?;125.0;?;?
898.0;?;1043.0;183.0;589.0;269.0;136.0;87.0;-976.0;-24
895.0;565.0;1002.0;236.0;589.0;302.0;?;63.0;-994.0;-24
918.0;572.0;998.0;200.0;?;286.0;146.0;78.0;-965.0;?
921.0;575.0;964.0;136.0;?;350.0;150.0;91.0;-908.0;-24
928.0;580.0;1030.0;121.0;?;389.0;?;61.0;-911.0;-24
940.0;583.0;1031.0;117.0;587.0;347.0;114.0;?;?;?
891.0;586.0;1021.0;?;588.0;326.0;112.0;142.0;-917.0;-24
872.0;?;?;165.0;?;326.0;128.0;148.0;-917.0;-24
?;?;999.0;146.0;583.0;328.0;147.0;?;-923.0;?
905.0;?;1062.0;?;582.0;318.0;167.0;119.0;-945.0;-24
913.0;580.0;?;140.0;586.0;276.0;169.0;128.0;-982.0;-24
?;579.0;1056.0;?;?;241.0;171.0;58.0;-1011.0;-24
914.0;574.0;1026.0;210.0;592.0;243.0;?;40.0;-1005.0;-24
943.0;572.0;1051.0;?;595.0;224.0;174.0;2.0;?;-24
979.0;568.0;1065.0;98.0;594.0;?;172.0;4.0;-1020.0;?
998.0;564.0;?;99.0;597.0;262.0;171.0;39.0;-1000.0;-24
966.0;564.0;1014.0;154.0;594.0;260.0;170.0;54.0;-990.0;-24
984.0;561.0;1017.0;256.0;594.0;251.0;166.0;79.0;-999.0;-24
972.0;559.0;1029.0;?;592.0;?;178.0;89.0;-990.0;-24
?;555.0;995.0;181.0;?;?;187.0;92.0;-993.0;-24
970.0;555.0;973.0;232.0;?;203.0;192.0;?;?;-24
?;?;?;?;583.0;?;?;60.0;-990.0;-24
967.0;557.0;?;228.0;581.0;184.0;?;52.0;-980.0;-23
?;558.0;1010.0;209.0;578.0;206.0;?;73.0;-984.0;-24
965.0;?;992.0;252.0;574.0;226.0;163.0;?;-983.0;-24
922.0;562.0;1010.0;264.0;566.0;222.0;167.0;?;-989.0;-24
942.0;564.0;?;?;561.0;227.0;197.0;77.0;-978.0;?
955.0;?;994.0;?;559.0;215.0;211.0;?;?;-24
970.0;563.0;982.0;222.0;558.0;200.0;210.0;269.0;-913.0;-24
968.0;568.0;?;228.0;?;163.0;202.0;?;?;-24
946.0;571.0;980.0;?;564.0;161.0;162.0;302.0;-702.0;-24
?;573.0;993.0;260.0;?;160.0;?;68.0;?;?
894.0;571.0;983.0;256.0;?;203.0;264.0;-105.0;-1124.0;-24
701.0;566.0;?;253.0;576.0;136.0;?;-240.0;-810.0;?
1010.0;?;?;?;587.0;331.0;467.0;-194.0;-862.0;-23
1209.0;556.0;?;309.0;?;432.0;339.0;-33.0;?;-23
854.0;553.0;964.0;333.0;592.0;?;261.0;?;-853.0;-23
767.0;550.0;952.0;286.0;?;324.0;260.0;?;?;-23
794.0;547.0;1009.0;250.0;589.0;208.0;?;-20.0;-1011.0;-23
730.0;543.0;978.0;135.0;?;119.0;311.0;53.0;-888.0;-23
925.0;540.0;913.0;208.0;581.0;255.0;278.0;74.0;-861.0;-23
1015.0;540.0;920.0;?;?;260.0;223.0;?;-908.0;-23
891.0;538.0;928.0;216.0;576.0;168.0;215.0;90.0;-969.0;-23
820.0;539.0;944.0;308.0;575.0;197.0;236.0;59.0;?;-23
865.0;?;628.0;-88.0;575.0;184.0;267.0;53.0;-968.0;-23
909.0;535.0;1872.0;-1057.0;572.0;214.0;275.0;80.0;?;-23
944.0;?;1108.0;356.0;?;212.0;253.0;99.0;-941.0;-23
939.0;537.0;789.0;-221.0;566.0;211.0;227.0;121.0;-949.0;?
911.0;541.0;?;-189.0;565.0;193.0;212.0;139.0;-947.0;-23
885.0;545.0;?;-73.0;567.0;207.0;200.0;85.0;-963.0;-23
889.0;548.0;1138.0;16.0;564.0;224.0;205.0;108.0;?;?
892.0;?;?;126.0;566.0;215.0;209.0;111.0;?;-23
908.0;?;1022.0;191.0;565.0;240.0;209.0;91.0;?;?
930.0;560.0;1014.0;194.0;568.0;?;186.0;91.0;-961.0;-23
920.0;569.0;925.0;200.0;567.0;255.0;160.0;90.0;-984.0;-23
900.0;574.0;?;?;?;?;?;92.0;-1005.0;-23
906.0;577.0;999.0;168.0;565.0;289.0;159.0;85.0;-961.0;-23
948.0;579.0;1016.0;?;566.0;319.0;172.0;70.0;-930.0;-23
?;?;1011.0;?;?;316.0;166.0;91.0;-937.0;?
943.0;586.0;996.0;?;?;?;?;103.0;-947.0;-23
?;587.0;?;135.0;562.0;303.0;?;103.0;-943.0;-23
916.0;589.0;977.0;85.0;562.0;278.0;148.0;?;-940.0;-23
?;587.0;1026.0;95.0;562.0;297.0;159.0;74.0;-939.0;-23
917.0;586.0;1085.0;181.0;560.0;?;179.0;76.0;-942.0;?
924.0;582.0;1056.0;179.0;560.0;280.0;182.0;?;-959.0;-23
?;577.0;1017.0;193.0;?;258.0;173.0;71.0;-983.0;-23
926.0;?;?;?;558.0;240.0;180.0;100.0;?;?
922.0;573.0;1037.0;303.0;558.0;231.0;191.0;81.0;-982.0;-23
937.0;569.0;1059.0;289.0;554.0;220.0;186.0;?;-990.0;-23
967.0;?;1038.0;155.0;547.0;254.0;183.0;109.0;-1003.0;-23
?;557.0;973.0;204.0;545.0;193.0;196.0;110.0;?;-23
963.0;556.0;1021.0;208.0;?;205.0;213.0;64.0;-1004.0;-23
983.0;?;1021.0;?;544.0;?;235.0;33.0;-1012.0;-23
958.0;549.0;1016.0;100.0;546.0;179.0;227.0;?;-1012.0;?
968.0;546.0;1012.0;157.0;543.0;146.0;223.0;91.0;-999.0;-23
957.0;547.0;1034.0;189.0;542.0;162.0;?;57.0;-1007.0;-23
969.0;546.0;950.0;254.0;546.0;?;159.0;19.0;-1007.0;-23
948.0;547.0;979.0;291.0;548.0;145.0;167.0;52.0;-990.0;-23
?;549.0;969.0;299.0;547.0;164.0;185.0;?;-976.0;?
974.0;551.0;959.0;299.0;549.0;218.0;182.0;-4.0;-981.0;-23
971.0;554.0;944.0;303.0;544.0;230.0;179.0;?;-981.0;-23
929.0;557.0;?;218.0;542.0;229.0;185.0;44.0;?;-23
962.0;560.0;982.0;?;539.0;229.0;181.0;216.0;-906.0;-23
945.0;?;?;255.0;536.0;206.0;181.0;253.0;?;-23
923.0;?;?;250.0;532.0;204.0;202.0;?;-802.0;?
884.0;576.0;996.0;230.0;527.0;204.0;158.0;254.0;-661.0;-24
?;574.0;1010.0;219.0;521.0;215.0;158.0;46.0;-1355.0;-24
?;?;?;198.0;511.0;253.0;?;?;-1088.0;?
678.0;?;1012.0;210.0;510.0;?;510.0;?;-802.0;-23
922.0;553.0;?;238.0;510.0;342.0;495.0;-27.0;-828.0;-23
1278.0;546.0;1007.0;?;510.0;414.0;317.0;?;-783.0;-23
785.0;541.0;981.0;205.0;509.0;168.0;249.0;33.0;-921.0;-23
756.0;532.0;970.0;183.0;?;296.0;247.0;13.0;-1044.0;-23
749.0;523.0;?;223.0;513.0;156.0;284.0;10.0;-947.0;-23
833.0;512.0;?;295.0;509.0;131.0;302.0;63.0;-859.0;-23
1007.0;505.0;909.0;?;502.0;273.0;?;73.0;?;?
972.0;496.0;893.0;445.0;501.0;258.0;222.0;69.0;-949.0;-23
853.0;?;882.0;284.0;502.0;?;?;82.0;-984.0;-23
826.0;?;?;270.0;505.0;191.0;263.0;61.0;-969.0;-23
?;476.0;727.0;362.0;?;?;250.0;?;-961.0;?
911.0;475.0;?;-253.0;516.0;?;?;?;-940.0;-23
902.0;474.0;692.0;?;520.0;225.0;?;42.0;-926.0;-23
892.0;478.0;1421.0;-207.0;524.0;216.0;185.0;?;-950.0;-23
880.0;483.0;906.0;-197.0;527.0;255.0;171.0;49.0;-962.0;-23
853.0;491.0;?;-30.0;?;256.0;170.0;43.0;-954.0;-23
?;498.0;1041.0;41.0;525.0;295.0;163.0;52.0;-966.0;-23
912.0;500.0;999.0;125.0;525.0;335.0;172.0;76.0;-969.0;?
908.0;506.0;957.0;194.0;521.0;342.0;195.0;62.0;-958.0;?
897.0;?;1030.0;208.0;518.0;321.0;203.0;76.0;-981.0;-23
?;524.0;935.0;174.0;513.0;333.0;209.0;113.0;-986.0;-23
917.0;?;1043.0;166.0;507.0;320.0;186.0;123.0;?;-23
937.0;543.0;?;89.0;513.0;270.0;158.0;?;-983.0;-23
913.0;?;1044.0;119.0;515.0;312.0;125.0;157.0;?;?
917.0;560.0;1022.0;?;515.0;321.0;?;173.0;-954.0;-23
942.0;570.0;1032.0;?;510.0;?;126.0;143.0;-940.0;-23
931.0;574.0;?;?;508.0;334.0;150.0;121.0;-926.0;?
922.0;578.0;1023.0;41.0;?;355.0;?;80.0;-929.0;-23
921.0;579.0;1033.0;84.0;?;337.0;?;111.0;-931.0;-23
921.0;?;1029.0;?;?;293.0;209.0;?;-932.0;?
?;577.0;1041.0;?;506.0;?;?;90.0;-929.0;-23
914.0;577.0;?;218.0;507.0;?;177.0;82.0;-947.0;-23
914.0;577.0;1031.0;283.0;?;244.0;168.0;82.0;-941.0;-23
891.0;?;1018.0;300.0;506.0;219.0;?;?;-938.0;-23
?;572.0;1008.0;267.0;510.0;222.0;175.0;?;-949.0;-23
?;566.0;972.0;167.0;510.0;240.0;197.0;112.0;-983.0;-24
913.0;564.0;1003.0;22.0;?;?;227.0;82.0;-974.0;?
933.0;?;1041.0;?;?;196.0;256.0;18.0;-1000.0;?
?;?;1022.0;?;501.0;?;267.0;-31.0;-1043.0;-24
973.0;?;1007.0;207.0;503.0;166.0;?;5.0;-1033.0;-24
964.0;554.0;1075.0;233.0;509.0;?;254.0;?;-980.0;-24
983.0;556.0;?;?;515.0;149.0;?;40.0;-975.0;-24
?;557.0;965.0;255.0;518.0;180.0;177.0;72.0;-975.0;-24
?;558.0;1010.0;256.0;518.0;?;181.0;100.0;-958.0;-24
930.0;560.0;965.0;256.0;?;183.0;192.0;82.0;-961.0;-24
950.0;?;954.0;314.0;509.0;215.0;213.0;?;-974.0;-24
946.0;?;?;?;505.0;222.0;?;83.0;?;-24
931.0;562.0;982.0;287.0;500.0;203.0;?;65.0;-994.0;-24
950.0;565.0;?;?;?;202.0;231.0;45.0;-990.0;-24
934.0;569.0;975.0;272.0;497.0;?;?;36.0;-967.0;-24
?;574.0;967.0;295.0;496.0;191.0;226.0;42.0;-925.0;?
943.0;577.0;?;290.0;492.0;204.0;203.0;177.0;-880.0;-24
928.0;580.0;1041.0;292.0;?;228.0;173.0;318.0;-848.0;-24
911.0;580.0;991.0;?;483.0;192.0;183.0;316.0;-810.0;-24
922.0;580.0;972.0;256.0;478.0;174.0;152.0;195.0;-767.0;-24
?;570.0;987.0;285.0;474.0;159.0;236.0;?;-1309.0;-24
879.0;559.0;?;326.0;470.0;169.0;407.0;-203.0;?;?
715.0;?;974.0;340.0;474.0;112.0;567.0;-214.0;-923.0;-24
?;?;958.0;?;478.0;389.0;537.0;-55.0;-843.0;-24
1184.0;518.0;?;201.0;471.0;?;?;84.0;?;?
?;505.0;976.0;?;?;203.0;285.0;131.0;-922.0;?
793.0;494.0;988.0;202.0;448.0;199.0;257.0;51.0;-992.0;?
?;486.0;983.0;266.0;446.0;108.0;253.0;-14.0;?;-24
?;478.0;962.0;342.0;447.0;135.0;293.0;-132.0;?;-24
939.0;475.0;899.0;419.0;?;181.0;333.0;-83.0;-897.0;?
917.0;?;823.0;517.0;445.0;163.0;358.0;14.0;-942.0;-24
855.0;?;?;346.0;?;169.0;298.0;140.0;-951.0;-24
?;493.0;846.0;439.0;?;153.0;?;?;-935.0;-24
831.0;?;974.0;344.0;487.0;197.0;173.0;405.0;-934.0;-24
?;503.0;1610.0;-907.0;?;250.0;155.0;370.0;-926.0;-24
928.0;501.0;968.0;415.0;504.0;326.0;196.0;311.0;-899.0;-24
912.0;499.0;1007.0;?;503.0;470.0;200.0;344.0;-895.0;-24
911.0;494.0;1126.0;-60.0;493.0;516.0;179.0;?;-871.0;-24
865.0;484.0;977.0;48.0;480.0;523.0;?;385.0;-829.0;-24
868.0;474.0;?;124.0;?;489.0;108.0;305.0;-779.0;?
?;453.0;907.0;?;417.0;546.0;121.0;275.0;?;-24
