InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
-217.0;119.0;27;-203.0;-682.0;-65.0;-570.0;-852.0;-673.0
-270.0;578.0;27;?;?;?;-601.0;?;-447.0
-277.0;597.0;27;?;-664.0;70.0;-601.0;-376.0;-463.0
-278.0;600.0;27;-671.0;-664.0;59.0;-600.0;-377.0;-459.0
?;589.0;27;-672.0;?;-121.0;-599.0;-380.0;-442.0
?;589.0;27;?;-664.0;-281.0;-599.0;-389.0;-436.0
-291.0;593.0;27;-680.0;-664.0;-429.0;-599.0;-404.0;?
-316.0;?;27;-684.0;-663.0;-448.0;-600.0;-422.0;?
-338.0;615.0;27;-689.0;-661.0;-465.0;-602.0;-445.0;-436.0
-363.0;617.0;27;?;-659.0;-495.0;-605.0;-475.0;-437.0
-400.0;627.0;27;-702.0;-658.0;-496.0;-607.0;-511.0;-450.0
-435.0;?;27;-705.0;-658.0;-481.0;-609.0;-553.0;-463.0
-472.0;632.0;27;-699.0;-658.0;?;?;-599.0;-485.0
?;613.0;?;-685.0;-660.0;?;-606.0;-645.0;?
?;582.0;27;-669.0;-662.0;-254.0;-602.0;-690.0;-515.0
-509.0;536.0;27;-636.0;?;-61.0;?;?;-534.0
-499.0;482.0;27;-593.0;-664.0;232.0;-588.0;-771.0;?
-478.0;?;27;-533.0;-667.0;?;-581.0;-804.0;-576.0
-447.0;355.0;?;?;-671.0;786.0;?;-830.0;-593.0
-404.0;295.0;27;?;-676.0;1123.0;-567.0;-850.0;-604.0
-355.0;235.0;27;-371.0;-680.0;?;-563.0;-865.0;-620.0
-300.0;?;27;-311.0;-684.0;1573.0;-562.0;?;-634.0
-243.0;125.0;27;-254.0;-686.0;?;-565.0;-882.0;-649.0
-197.0;79.0;27;-209.0;-686.0;1040.0;?;?;-663.0
-163.0;38.0;?;-175.0;-686.0;750.0;?;-890.0;-675.0
?;16.0;27;-147.0;-683.0;434.0;-569.0;-892.0;-685.0
-139.0;7.0;27;-131.0;-682.0;220.0;?;-890.0;-688.0
?;13.0;27;-141.0;-680.0;84.0;-569.0;-886.0;?
-155.0;27.0;27;-150.0;-679.0;-124.0;-570.0;-880.0;-687.0
-168.0;38.0;?;-155.0;?;?;-570.0;-876.0;-684.0
-184.0;?;?;?;-678.0;-258.0;-570.0;-870.0;-684.0
-203.0;86.0;27;-184.0;-679.0;-64.0;?;-862.0;?
-176.0;597.0;27;?;-671.0;121.0;-577.0;-381.0;-496.0
-181.0;?;27;-707.0;-671.0;?;?;-397.0;-491.0
-183.0;597.0;27;-715.0;-670.0;478.0;-581.0;?;-488.0
?;588.0;27;?;-667.0;888.0;-585.0;?;-480.0
?;584.0;27;-726.0;-665.0;1348.0;-588.0;-485.0;-496.0
?;581.0;27;?;-664.0;1932.0;-589.0;-523.0;?
?;567.0;27;?;-666.0;2437.0;-586.0;-568.0;-554.0
-144.0;547.0;27;-697.0;-667.0;2892.0;?;?;-580.0
-122.0;514.0;27;?;-668.0;?;-582.0;-674.0;-599.0
-93.0;?;?;-481.0;-668.0;?;?;-722.0;-612.0
-65.0;477.0;27;-343.0;-670.0;3286.0;-578.0;-761.0;?
-30.0;470.0;27;-147.0;-671.0;?;-577.0;-796.0;-618.0
16.0;?;27;?;-672.0;2530.0;?;-821.0;-616.0
?;475.0;27;287.0;-674.0;?;-569.0;-834.0;-611.0
?;478.0;27;?;-677.0;?;-564.0;?;-608.0
?;472.0;27;551.0;-680.0;2336.0;-560.0;?;-602.0
194.0;?;?;613.0;-683.0;2096.0;-555.0;?;-605.0
229.0;439.0;27;636.0;-686.0;1664.0;-550.0;-837.0;-599.0
263.0;418.0;27;?;-689.0;1255.0;-545.0;-834.0;-591.0
287.0;402.0;27;?;-691.0;948.0;-539.0;-832.0;-585.0
300.0;?;27;624.0;?;697.0;-534.0;-829.0;-577.0
310.0;390.0;26;610.0;?;506.0;-530.0;-830.0;-568.0
313.0;398.0;24;596.0;-697.0;?;-530.0;?;-559.0
?;412.0;23;564.0;?;?;?;-835.0;-555.0
314.0;428.0;23;550.0;-699.0;-513.0;-533.0;-838.0;-551.0
308.0;444.0;22;550.0;-699.0;?;-536.0;?;-548.0
?;?;?;529.0;-700.0;-720.0;-539.0;?;-549.0
?;471.0;22;504.0;-700.0;-765.0;-543.0;-849.0;-551.0
285.0;487.0;21;454.0;-701.0;?;-547.0;-851.0;?
280.0;494.0;20;?;-701.0;-796.0;-551.0;-854.0;-559.0
274.0;504.0;19;393.0;-701.0;-738.0;?;-855.0;-563.0
?;514.0;19;357.0;-701.0;-690.0;?;-856.0;-565.0
?;521.0;18;323.0;-700.0;-535.0;-560.0;-857.0;?
?;526.0;18;291.0;-699.0;-388.0;-560.0;-858.0;?
260.0;532.0;18;271.0;-699.0;-296.0;-560.0;-859.0;-553.0
261.0;537.0;18;259.0;?;-171.0;?;-859.0;-548.0
262.0;540.0;17;?;-699.0;14.0;-557.0;-859.0;-545.0
?;541.0;?;259.0;?;176.0;?;-858.0;-541.0
269.0;?;17;279.0;-703.0;389.0;-551.0;-857.0;-537.0
?;539.0;?;299.0;?;?;-548.0;-856.0;-534.0
275.0;?;17;318.0;-708.0;?;-547.0;-855.0;?
280.0;535.0;17;349.0;-709.0;463.0;-546.0;-853.0;-534.0
?;?;17;?;-710.0;481.0;-544.0;-853.0;-536.0
288.0;531.0;?;421.0;-712.0;525.0;?;-852.0;-540.0
291.0;524.0;17;447.0;-713.0;457.0;-542.0;?;?
294.0;520.0;16;466.0;-713.0;?;-543.0;-852.0;-537.0
295.0;514.0;16;484.0;-712.0;231.0;-543.0;?;-541.0
296.0;506.0;16;500.0;?;158.0;-545.0;-852.0;-542.0
297.0;?;16;508.0;-709.0;70.0;-546.0;-853.0;?
297.0;492.0;15;?;-706.0;-12.0;-547.0;-853.0;?
?;487.0;15;519.0;-704.0;?;-547.0;?;-549.0
?;485.0;14;521.0;-701.0;-186.0;-548.0;-851.0;-547.0
?;485.0;15;?;-698.0;-257.0;-547.0;-849.0;?
292.0;482.0;15;505.0;?;?;-547.0;-847.0;-540.0
293.0;482.0;15;495.0;-694.0;-338.0;-545.0;-846.0;-532.0
?;489.0;15;490.0;-693.0;?;-543.0;-845.0;-525.0
287.0;492.0;?;477.0;-693.0;-276.0;-541.0;-845.0;-519.0
281.0;?;15;460.0;-690.0;-605.0;-539.0;-844.0;-519.0
276.0;522.0;15;448.0;-681.0;-396.0;-543.0;-846.0;-509.0
270.0;537.0;15;?;-678.0;81.0;-547.0;-848.0;-510.0
263.0;?;15;416.0;-675.0;382.0;-551.0;-850.0;-513.0
?;569.0;15;379.0;-675.0;516.0;-553.0;-854.0;-522.0
240.0;575.0;15;338.0;-678.0;151.0;-554.0;?;?
?;578.0;15;293.0;-682.0;-5.0;-552.0;?;-550.0
227.0;583.0;15;264.0;-685.0;-116.0;-553.0;-860.0;-561.0
229.0;584.0;?;248.0;-685.0;-137.0;-555.0;-859.0;-562.0
?;?;15;242.0;-684.0;?;-557.0;-858.0;-562.0
239.0;?;15;241.0;-683.0;-147.0;?;-856.0;?
244.0;?;15;250.0;-684.0;-209.0;-558.0;-855.0;-560.0
248.0;588.0;15;264.0;-685.0;-127.0;?;-854.0;-563.0
256.0;585.0;15;275.0;-686.0;-54.0;-559.0;-853.0;-564.0
263.0;583.0;15;?;-686.0;?;?;-852.0;?
268.0;577.0;15;311.0;?;?;-560.0;-852.0;?
275.0;569.0;15;340.0;-689.0;76.0;-560.0;-852.0;-571.0
276.0;563.0;?;359.0;-691.0;67.0;-559.0;-853.0;-571.0
278.0;?;15;378.0;-693.0;170.0;?;?;-575.0
278.0;552.0;15;?;-695.0;177.0;-558.0;-854.0;-575.0
281.0;?;14;419.0;-697.0;212.0;?;?;-579.0
281.0;541.0;14;436.0;-701.0;245.0;?;-854.0;-579.0
285.0;538.0;14;450.0;-703.0;292.0;-554.0;-854.0;-582.0
286.0;532.0;14;457.0;-706.0;?;?;?;-583.0
290.0;529.0;14;461.0;-709.0;280.0;-551.0;-854.0;?
294.0;525.0;14;?;-712.0;?;?;-853.0;-585.0
?;522.0;14;456.0;-715.0;109.0;-546.0;?;-582.0
303.0;521.0;14;?;-718.0;64.0;?;-851.0;-578.0
308.0;519.0;14;448.0;?;38.0;-540.0;-850.0;?
312.0;520.0;13;441.0;-721.0;-32.0;?;-849.0;-565.0
316.0;522.0;13;433.0;-721.0;?;?;-847.0;-555.0
318.0;521.0;13;420.0;?;-106.0;-534.0;-845.0;-545.0
321.0;522.0;13;413.0;-719.0;?;-533.0;-844.0;-537.0
?;524.0;13;408.0;?;-190.0;?;-844.0;-530.0
320.0;?;14;404.0;-717.0;-179.0;-532.0;-844.0;-528.0
319.0;528.0;14;400.0;-716.0;-109.0;?;?;?
321.0;531.0;14;397.0;-715.0;-79.0;-531.0;-845.0;-525.0
319.0;532.0;?;?;-714.0;?;?;-846.0;-523.0
318.0;533.0;14;?;-713.0;38.0;-531.0;-846.0;-521.0
?;531.0;?;?;-713.0;-1.0;-531.0;-847.0;-523.0
313.0;534.0;14;378.0;-711.0;31.0;-531.0;?;-523.0
311.0;533.0;?;380.0;-709.0;29.0;-532.0;-848.0;-526.0
?;533.0;14;385.0;?;33.0;-534.0;-849.0;-527.0
309.0;534.0;?;389.0;-705.0;0.0;-536.0;?;-530.0
307.0;532.0;?;397.0;-703.0;-5.0;-537.0;-849.0;-532.0
309.0;533.0;13;407.0;-700.0;?;?;-849.0;-537.0
308.0;?;14;414.0;-698.0;?;-539.0;-848.0;-537.0
?;527.0;15;421.0;-695.0;?;-540.0;-847.0;-536.0
310.0;526.0;?;424.0;?;-104.0;?;-846.0;-537.0
311.0;524.0;15;428.0;-690.0;-92.0;-539.0;-845.0;-531.0
311.0;524.0;15;427.0;-688.0;-52.0;?;-846.0;?
?;522.0;?;421.0;-686.0;-172.0;-537.0;-845.0;-534.0
303.0;526.0;15;?;-687.0;?;-538.0;-845.0;-531.0
299.0;528.0;15;?;-687.0;193.0;-532.0;-846.0;-528.0
?;535.0;?;425.0;-687.0;?;-528.0;-846.0;-529.0
296.0;543.0;15;411.0;-686.0;129.0;-524.0;-846.0;-525.0
?;544.0;15;386.0;?;-141.0;-520.0;-846.0;-525.0
282.0;546.0;15;359.0;-689.0;?;-516.0;-847.0;?
277.0;546.0;15;335.0;-689.0;-77.0;?;-848.0;-527.0
279.0;548.0;15;314.0;-688.0;96.0;-507.0;-847.0;-526.0
280.0;550.0;15;297.0;-685.0;-24.0;-505.0;-844.0;?
283.0;550.0;15;286.0;-683.0;-146.0;-506.0;-842.0;-516.0
281.0;549.0;15;285.0;-681.0;-209.0;-506.0;?;-509.0
284.0;549.0;15;?;-680.0;?;-506.0;-837.0;-508.0
?;550.0;?;297.0;-679.0;?;-508.0;-835.0;?
292.0;?;15;310.0;-678.0;-79.0;-509.0;-834.0;?
298.0;?;15;332.0;-677.0;-28.0;-510.0;-832.0;?
302.0;543.0;15;351.0;-676.0;14.0;?;-831.0;-509.0
309.0;541.0;15;363.0;?;?;-512.0;-831.0;-507.0
312.0;537.0;15;?;?;118.0;-513.0;-830.0;-504.0
317.0;533.0;?;398.0;-674.0;142.0;-514.0;-829.0;-502.0
321.0;526.0;15;416.0;-674.0;203.0;-514.0;-829.0;-497.0
324.0;?;14;431.0;-675.0;?;-514.0;-829.0;?
325.0;519.0;14;441.0;-676.0;314.0;-515.0;?;-495.0
326.0;512.0;14;452.0;?;362.0;-516.0;-831.0;-492.0
?;510.0;14;?;?;387.0;-516.0;?;-495.0
?;506.0;14;471.0;-682.0;358.0;-518.0;-835.0;-498.0
322.0;?;?;476.0;-685.0;332.0;-519.0;-837.0;-500.0
322.0;500.0;14;?;-689.0;279.0;-520.0;-838.0;-500.0
319.0;500.0;15;483.0;-692.0;215.0;?;-840.0;-505.0
?;501.0;15;482.0;-695.0;149.0;-523.0;-842.0;-507.0
311.0;504.0;15;480.0;?;110.0;-524.0;-844.0;-512.0
308.0;?;15;?;-701.0;79.0;?;-846.0;?
307.0;?;?;469.0;-705.0;55.0;-525.0;-847.0;?
304.0;516.0;15;458.0;?;15.0;-526.0;-848.0;-513.0
302.0;520.0;15;446.0;-711.0;?;?;?;-516.0
298.0;?;15;429.0;-714.0;?;-526.0;-851.0;?
297.0;522.0;15;415.0;?;-44.0;-526.0;-851.0;-514.0
299.0;524.0;15;?;-720.0;-93.0;-527.0;-851.0;-517.0
300.0;525.0;15;396.0;-722.0;-100.0;-527.0;-851.0;-517.0
300.0;524.0;15;386.0;-724.0;-132.0;-528.0;-851.0;?
300.0;524.0;15;?;-724.0;-143.0;-528.0;-850.0;-520.0
304.0;?;15;373.0;?;-123.0;-529.0;-850.0;-525.0
305.0;522.0;14;371.0;-725.0;?;-530.0;-849.0;-525.0
?;521.0;14;372.0;-725.0;-100.0;?;-849.0;-527.0
?;518.0;?;375.0;-726.0;?;-532.0;?;-528.0
314.0;516.0;?;382.0;-727.0;?;-532.0;?;-531.0
319.0;513.0;13;392.0;-727.0;?;-533.0;?;?
321.0;512.0;13;399.0;-727.0;-107.0;?;-849.0;-539.0
?;512.0;14;408.0;-724.0;-112.0;-534.0;-848.0;-541.0
330.0;?;13;412.0;-721.0;-101.0;?;-846.0;-540.0
?;507.0;12;?;-718.0;-95.0;-532.0;?;-533.0
334.0;507.0;12;?;-715.0;-130.0;-530.0;?;?
332.0;508.0;?;416.0;-710.0;-303.0;-533.0;-840.0;-522.0
331.0;511.0;12;421.0;-707.0;108.0;-531.0;-840.0;-514.0
327.0;513.0;?;421.0;-708.0;281.0;-529.0;-842.0;-514.0
321.0;524.0;13;413.0;-708.0;287.0;?;-844.0;-519.0
?;525.0;?;396.0;?;14.0;-527.0;-848.0;-526.0
301.0;527.0;?;377.0;-714.0;-22.0;-524.0;-851.0;?
?;529.0;14;?;-718.0;-134.0;-523.0;-853.0;-546.0
283.0;529.0;14;335.0;-722.0;-87.0;-522.0;?;-554.0
280.0;?;14;312.0;-725.0;-12.0;-519.0;?;-561.0
279.0;527.0;14;295.0;-726.0;-134.0;-518.0;-852.0;-557.0
279.0;?;?;?;-725.0;-231.0;?;-850.0;-551.0
278.0;527.0;15;276.0;?;-235.0;-520.0;-849.0;?
277.0;530.0;15;277.0;-724.0;-172.0;-521.0;-847.0;-543.0
278.0;526.0;15;281.0;-724.0;-120.0;-522.0;-847.0;-542.0
281.0;524.0;15;291.0;?;-50.0;-523.0;-846.0;?
284.0;?;15;300.0;-722.0;?;-524.0;-845.0;-545.0
289.0;?;15;?;-721.0;30.0;-526.0;-844.0;-545.0
292.0;525.0;15;?;-719.0;92.0;-527.0;-843.0;-541.0
294.0;526.0;?;345.0;-718.0;128.0;-528.0;-842.0;?
299.0;523.0;14;363.0;-716.0;193.0;-529.0;-842.0;-541.0
306.0;?;14;376.0;-715.0;252.0;-529.0;?;-540.0
?;519.0;14;392.0;-714.0;321.0;?;-841.0;?
?;515.0;15;408.0;-714.0;346.0;?;-840.0;-535.0
311.0;509.0;15;423.0;-715.0;352.0;-528.0;-840.0;-531.0
?;?;14;435.0;-715.0;352.0;-527.0;-841.0;-529.0
?;502.0;14;447.0;-716.0;408.0;-528.0;?;-525.0
?;499.0;14;459.0;-717.0;?;-527.0;-842.0;-525.0
311.0;497.0;14;465.0;-719.0;324.0;-528.0;?;-525.0
309.0;494.0;15;471.0;-721.0;285.0;-529.0;-845.0;-525.0
308.0;493.0;?;?;?;242.0;?;?;-526.0
308.0;493.0;15;477.0;-722.0;180.0;?;-847.0;-529.0
307.0;492.0;16;479.0;-724.0;95.0;-534.0;-849.0;-530.0
304.0;496.0;16;475.0;-726.0;52.0;-535.0;?;-530.0
?;499.0;?;466.0;?;-14.0;-534.0;-852.0;?
299.0;500.0;16;457.0;-731.0;?;-533.0;-852.0;-534.0
297.0;502.0;16;451.0;?;?;-533.0;-853.0;?
295.0;504.0;16;437.0;-736.0;-203.0;-534.0;-854.0;?
294.0;505.0;15;426.0;-738.0;-227.0;?;-854.0;-532.0
294.0;504.0;?;409.0;-740.0;-295.0;?;-855.0;-534.0
293.0;506.0;15;397.0;-741.0;-288.0;-538.0;-855.0;?
297.0;509.0;?;386.0;-742.0;-262.0;-538.0;-855.0;-542.0
298.0;?;15;373.0;?;?;-538.0;-854.0;-542.0
300.0;512.0;15;358.0;-742.0;?;?;-852.0;-539.0
303.0;512.0;16;345.0;-741.0;-146.0;-537.0;-852.0;-536.0
305.0;512.0;16;334.0;-741.0;?;-538.0;-851.0;-535.0
306.0;509.0;16;329.0;-740.0;-65.0;-538.0;-850.0;?
308.0;509.0;15;330.0;-739.0;8.0;-538.0;-849.0;-538.0
?;509.0;15;333.0;-737.0;36.0;-539.0;-848.0;-536.0
312.0;?;?;345.0;-735.0;16.0;-541.0;-848.0;?
314.0;502.0;14;360.0;?;?;-543.0;-848.0;-544.0
315.0;502.0;15;370.0;-731.0;82.0;-545.0;-848.0;-546.0
315.0;?;16;?;-729.0;69.0;?;-847.0;-553.0
316.0;499.0;16;400.0;-728.0;11.0;?;-846.0;-555.0
?;496.0;16;414.0;?;?;-548.0;-846.0;-559.0
317.0;493.0;16;423.0;-727.0;?;-547.0;-845.0;-556.0
313.0;493.0;16;435.0;?;-500.0;-551.0;-843.0;-556.0
310.0;494.0;16;?;-723.0;-44.0;-550.0;-844.0;-551.0
305.0;?;16;447.0;-723.0;111.0;-551.0;-846.0;-557.0
298.0;?;16;433.0;?;3.0;-553.0;?;-563.0
289.0;511.0;?;?;-725.0;-222.0;-554.0;-852.0;-571.0
282.0;514.0;?;376.0;-727.0;-291.0;-555.0;?;?
?;516.0;16;?;-728.0;-378.0;-558.0;-857.0;-590.0
268.0;518.0;16;?;-728.0;-315.0;-561.0;-858.0;-602.0
264.0;?;16;263.0;?;-322.0;-562.0;-857.0;-608.0
269.0;?;?;?;-728.0;-419.0;?;-856.0;-607.0
269.0;523.0;?;204.0;-726.0;-481.0;?;-854.0;-604.0
268.0;529.0;16;179.0;-722.0;-388.0;-569.0;-852.0;?
268.0;532.0;16;160.0;-720.0;-248.0;-570.0;-851.0;-600.0
271.0;?;16;147.0;-717.0;-130.0;-571.0;-850.0;?
?;540.0;16;144.0;-716.0;?;-571.0;-850.0;-598.0
?;542.0;16;147.0;-713.0;128.0;?;-850.0;-594.0
275.0;542.0;16;?;-712.0;241.0;-572.0;-850.0;-590.0
273.0;?;16;180.0;-711.0;?;?;-850.0;-586.0
273.0;?;?;216.0;?;352.0;-573.0;-851.0;?
272.0;541.0;?;248.0;-711.0;?;-574.0;?;-588.0
272.0;?;16;270.0;-711.0;410.0;-575.0;?;-590.0
273.0;539.0;16;306.0;-712.0;453.0;-575.0;-853.0;-592.0
276.0;?;16;338.0;-712.0;?;-576.0;-853.0;?
274.0;531.0;17;370.0;?;?;?;-853.0;-594.0
?;524.0;17;393.0;-712.0;356.0;-576.0;-852.0;-595.0
281.0;518.0;?;?;?;332.0;-575.0;?;-594.0
284.0;510.0;17;?;-714.0;283.0;-573.0;-850.0;?
292.0;504.0;18;439.0;-716.0;?;?;-849.0;-586.0
295.0;498.0;18;?;-718.0;193.0;-568.0;-848.0;-579.0
301.0;493.0;18;451.0;?;?;-565.0;-848.0;-574.0
304.0;?;18;?;-724.0;?;-561.0;?;-570.0
304.0;486.0;18;463.0;-728.0;?;-558.0;-847.0;-566.0
305.0;485.0;18;?;?;115.0;?;-848.0;-563.0
304.0;483.0;?;451.0;-736.0;?;-552.0;?;?
304.0;483.0;18;444.0;-739.0;13.0;-550.0;-849.0;-557.0
305.0;482.0;18;437.0;?;32.0;-547.0;-850.0;-553.0
?;480.0;?;?;?;?;-545.0;-850.0;-552.0
309.0;482.0;18;?;-750.0;-48.0;?;-850.0;?
309.0;484.0;18;405.0;-754.0;-41.0;?;-849.0;-546.0
311.0;482.0;18;397.0;-757.0;-90.0;?;-848.0;?
313.0;487.0;18;?;-758.0;-88.0;-532.0;-847.0;-536.0
318.0;487.0;18;?;-760.0;?;?;-846.0;-534.0
?;486.0;18;?;-760.0;50.0;-531.0;?;-534.0
320.0;?;18;357.0;-760.0;102.0;?;-844.0;-535.0
324.0;487.0;?;?;-760.0;71.0;-531.0;-844.0;-537.0
325.0;486.0;?;347.0;-760.0;?;-532.0;-844.0;-538.0
326.0;485.0;18;?;-760.0;62.0;-532.0;-844.0;?
328.0;485.0;17;353.0;?;21.0;-533.0;-844.0;-544.0
331.0;483.0;17;366.0;-759.0;21.0;-534.0;-844.0;-546.0
332.0;481.0;17;?;-759.0;14.0;?;-843.0;?
333.0;481.0;?;386.0;-758.0;28.0;?;-843.0;-546.0
336.0;479.0;15;398.0;-756.0;60.0;?;-842.0;-546.0
339.0;476.0;15;407.0;-756.0;74.0;-536.0;-841.0;-547.0
?;473.0;?;415.0;-755.0;78.0;-536.0;?;-548.0
341.0;470.0;16;422.0;-756.0;3.0;-534.0;-840.0;-549.0
340.0;466.0;15;?;-756.0;-97.0;-533.0;?;-546.0
339.0;?;16;432.0;-755.0;-222.0;-532.0;-838.0;-542.0
?;?;16;435.0;-750.0;?;-537.0;-838.0;?
329.0;475.0;16;437.0;?;-434.0;-541.0;-839.0;-543.0
322.0;484.0;16;435.0;-743.0;-114.0;-544.0;-842.0;-546.0
311.0;499.0;16;429.0;-740.0;?;-548.0;-846.0;-558.0
301.0;?;16;402.0;-737.0;-298.0;-552.0;?;-572.0
?;?;16;362.0;-736.0;?;-554.0;-855.0;-589.0
278.0;?;?;307.0;-736.0;?;-555.0;-858.0;-604.0
?;?;?;256.0;-734.0;-628.0;-555.0;-858.0;-611.0
?;506.0;16;217.0;-732.0;-531.0;-554.0;-857.0;-614.0
269.0;505.0;16;171.0;-729.0;-460.0;-553.0;-855.0;-608.0
269.0;?;16;127.0;-724.0;-327.0;-553.0;-852.0;-598.0
272.0;507.0;16;?;-719.0;-235.0;?;-849.0;-588.0
275.0;510.0;16;14.0;?;-245.0;?;-847.0;?
279.0;511.0;?;?;?;-420.0;?;-844.0;?
?;511.0;16;-104.0;-703.0;-604.0;-559.0;-842.0;-568.0
290.0;510.0;16;-174.0;-698.0;?;-559.0;-840.0;-565.0
294.0;510.0;16;-250.0;-695.0;-986.0;-554.0;-838.0;?
299.0;511.0;16;-326.0;?;?;?;?;?
305.0;512.0;16;-394.0;-686.0;-1323.0;-547.0;-835.0;?
?;519.0;16;?;-682.0;-1456.0;-546.0;-834.0;-529.0
307.0;533.0;16;?;-677.0;-1542.0;-544.0;-834.0;?
?;?;16;?;-673.0;-1612.0;-544.0;-835.0;-519.0
302.0;559.0;?;-646.0;-670.0;?;-545.0;?;-514.0
295.0;573.0;?;-679.0;-667.0;-1598.0;-545.0;-839.0;-515.0
288.0;586.0;16;-704.0;-665.0;?;-546.0;-842.0;-514.0
282.0;603.0;16;-720.0;-663.0;?;-547.0;?;-519.0
?;626.0;?;-724.0;?;-1415.0;-548.0;-846.0;?
272.0;651.0;16;?;-658.0;-1278.0;-548.0;?;-523.0
268.0;672.0;16;-709.0;-656.0;-1156.0;-547.0;-846.0;?
265.0;688.0;16;-700.0;-654.0;-985.0;-546.0;?;-521.0
263.0;700.0;16;?;-653.0;?;-545.0;-846.0;?
260.0;707.0;16;-665.0;-653.0;?;-544.0;-846.0;?
258.0;708.0;?;-661.0;?;-351.0;-544.0;-846.0;?
259.0;708.0;?;-671.0;?;-234.0;-544.0;-846.0;-522.0
?;706.0;16;?;-652.0;-137.0;-544.0;-845.0;-525.0
259.0;?;16;-672.0;-651.0;-70.0;-544.0;-844.0;-525.0
265.0;705.0;?;-667.0;-650.0;-24.0;?;-843.0;?
?;704.0;16;?;-649.0;-43.0;-544.0;-842.0;-525.0
272.0;706.0;16;-676.0;-648.0;4.0;-544.0;-841.0;-525.0
271.0;704.0;16;-676.0;-648.0;10.0;-544.0;-841.0;-524.0
272.0;703.0;16;-677.0;-649.0;?;?;-841.0;-523.0
273.0;701.0;?;?;-651.0;?;-544.0;-841.0;-524.0
275.0;699.0;16;-677.0;-652.0;?;-544.0;-841.0;-526.0
275.0;698.0;16;-683.0;-653.0;99.0;-544.0;-842.0;-526.0
274.0;698.0;?;?;-653.0;82.0;-545.0;-842.0;?
?;695.0;16;-684.0;-652.0;78.0;-545.0;-841.0;-523.0
273.0;694.0;16;-685.0;-653.0;?;-546.0;?;-522.0
