InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA_ accZ
-160;77.0;-621.0;105;-773.0;160.0;?;679.0;-717.0;800;37.0
-159;67.0;-619.0;105;-775.0;154.0;182.0;678.0;-717.0;794;69.0
-159;60.0;-617.0;105;-776.0;173.0;185.0;?;-718.0;795;50.0
-159;52.0;?;105;-778.0;185.0;187.0;679.0;-719.0;797;?
?;46.0;-614.0;105;-780.0;175.0;190.0;679.0;-720.0;795;31.0
-159;44.0;-614.0;105;-781.0;168.0;193.0;680.0;?;?;48.0
?;45.0;?;106;-782.0;170.0;198.0;?;-722.0;?;31.0
-159;?;-616.0;106;?;184.0;203.0;682.0;-724.0;786;?
-159;?;-618.0;107;-780.0;198.0;207.0;684.0;-725.0;788;58.0
-159;62.0;-621.0;107;-778.0;?;210.0;686.0;-726.0;793;80.0
?;?;-624.0;107;-776.0;224.0;?;?;?;?;52.0
-159;?;-628.0;107;-774.0;227.0;215.0;695.0;-729.0;796;105.0
-159;?;-631.0;107;-771.0;219.0;?;?;-731.0;801;110.0
-159;89.0;-633.0;107;-769.0;217.0;?;704.0;-732.0;796;92.0
?;?;-635.0;107;-768.0;213.0;222.0;708.0;-732.0;793;75.0
?;?;-636.0;?;?;226.0;224.0;711.0;-733.0;795;61.0
?;120.0;-637.0;107;-766.0;?;?;?;?;792;59.0
-159;131.0;?;107;-765.0;?;229.0;714.0;-731.0;798;88.0
-159;140.0;-638.0;106;-764.0;249.0;234.0;714.0;-730.0;803;90.0
-159;149.0;-637.0;106;-764.0;?;237.0;714.0;-729.0;?;100.0
?;152.0;-637.0;106;-764.0;237.0;238.0;713.0;-728.0;?;87.0
-160;157.0;-635.0;105;-765.0;232.0;240.0;711.0;-726.0;805;96.0
-160;158.0;-634.0;104;-766.0;237.0;?;?;-725.0;799;103.0
-160;160.0;?;103;?;218.0;247.0;706.0;-723.0;800;82.0
?;159.0;?;103;-769.0;250.0;249.0;702.0;-720.0;?;122.0
-160;162.0;-629.0;102;-770.0;232.0;250.0;697.0;-717.0;803;108.0
?;?;-627.0;102;-771.0;225.0;251.0;693.0;-715.0;798;76.0
-160;?;-625.0;?;-773.0;?;250.0;689.0;-714.0;798;?
-160;154.0;-623.0;98;?;198.0;248.0;687.0;?;809;81.0
-159;144.0;?;96;-776.0;?;242.0;686.0;-713.0;789;69.0
-159;136.0;?;97;-778.0;207.0;238.0;686.0;-713.0;775;?
-159;?;-620.0;97;-776.0;21.0;238.0;686.0;-714.0;766;30.0
-159;126.0;-621.0;97;?;70.0;240.0;685.0;-715.0;769;-185.0
-159;115.0;-622.0;97;-774.0;?;242.0;688.0;-713.0;811;25.0
-159;?;-623.0;97;-773.0;82.0;248.0;694.0;-715.0;803;-10.0
-159;122.0;-622.0;97;-775.0;49.0;251.0;698.0;?;?;?
-159;?;-623.0;97;-774.0;41.0;?;?;-715.0;798;-56.0
-159;135.0;?;97;-774.0;22.0;250.0;705.0;?;794;-110.0
-159;148.0;-624.0;97;-773.0;?;254.0;710.0;-716.0;799;-134.0
-159;158.0;-624.0;97;?;?;253.0;712.0;-716.0;799;-56.0
-159;165.0;?;97;-773.0;233.0;248.0;?;?;799;-26.0
-159;174.0;?;?;-773.0;183.0;251.0;712.0;-719.0;802;-14.0
-159;180.0;?;97;-772.0;139.0;250.0;711.0;?;799;-10.0
-159;183.0;-623.0;97;-771.0;138.0;252.0;709.0;-719.0;799;-6.0
?;187.0;-623.0;97;-770.0;141.0;?;706.0;-718.0;?;11.0
?;189.0;?;97;-770.0;143.0;252.0;703.0;?;793;32.0
?;187.0;-622.0;97;-771.0;149.0;254.0;699.0;?;797;13.0
-159;?;-622.0;?;-771.0;?;255.0;696.0;-713.0;802;25.0
-159;?;-622.0;?;-772.0;163.0;?;693.0;-712.0;799;?
-159;?;-622.0;?;-772.0;175.0;254.0;690.0;-711.0;?;49.0
-159;166.0;-621.0;98;-773.0;?;253.0;?;-709.0;?;70.0
-159;156.0;-621.0;99;?;?;250.0;685.0;?;812;69.0
-159;?;-619.0;?;-777.0;175.0;?;?;-708.0;810;?
-159;136.0;-618.0;99;-778.0;167.0;245.0;682.0;?;?;?
?;?;-616.0;?;-781.0;169.0;243.0;?;-709.0;800;65.0
-159;114.0;-615.0;?;-782.0;?;243.0;?;-710.0;807;73.0
-159;107.0;-614.0;102;-784.0;196.0;243.0;679.0;?;809;51.0
-159;99.0;-614.0;102;?;182.0;?;678.0;-713.0;811;?
-159;95.0;-613.0;103;-785.0;171.0;242.0;?;?;786;69.0
?;95.0;-614.0;?;-785.0;?;244.0;?;-715.0;782;?
-159;93.0;-614.0;104;-785.0;193.0;248.0;678.0;-716.0;798;69.0
-159;94.0;-616.0;105;-784.0;193.0;?;680.0;-717.0;797;91.0
-159;99.0;-618.0;106;-782.0;186.0;?;682.0;-719.0;797;82.0
-159;?;-620.0;107;-781.0;196.0;?;684.0;-720.0;791;80.0
-159;112.0;-622.0;107;-779.0;208.0;258.0;688.0;-722.0;799;72.0
?;121.0;-625.0;107;-776.0;217.0;258.0;?;-724.0;809;60.0
-159;?;-627.0;107;-774.0;?;?;695.0;?;796;80.0
?;146.0;?;107;?;235.0;?;?;?;?;80.0
-159;?;-629.0;106;-770.0;224.0;266.0;700.0;-727.0;796;?
?;?;?;106;-767.0;?;270.0;702.0;-725.0;805;72.0
?;191.0;-632.0;106;-765.0;236.0;273.0;703.0;-725.0;805;94.0
-159;204.0;-633.0;106;-763.0;?;275.0;705.0;-724.0;801;84.0
-159;209.0;-634.0;106;-762.0;?;272.0;708.0;-724.0;?;84.0
-159;216.0;-634.0;106;-761.0;231.0;273.0;?;-725.0;803;87.0
-159;?;-633.0;106;-761.0;?;271.0;712.0;?;801;80.0
?;219.0;-632.0;106;-762.0;244.0;273.0;712.0;-724.0;802;109.0
-159;?;-631.0;106;-763.0;269.0;?;711.0;-723.0;803;?
-159;216.0;-631.0;105;-764.0;238.0;?;710.0;-723.0;803;103.0
-159;214.0;-629.0;103;?;?;274.0;706.0;-722.0;805;?
?;209.0;-628.0;103;-767.0;197.0;?;701.0;-720.0;?;82.0
-159;205.0;-626.0;103;-769.0;?;279.0;?;-718.0;804;?
-159;199.0;?;?;?;223.0;282.0;690.0;-715.0;796;61.0
-159;191.0;-621.0;104;-774.0;?;?;684.0;-713.0;?;70.0
-159;184.0;?;?;-777.0;200.0;291.0;?;?;805;103.0
-159;177.0;-614.0;104;-780.0;?;292.0;672.0;-710.0;797;77.0
-159;173.0;-611.0;104;-782.0;198.0;292.0;?;?;765;69.0
-158;177.0;-614.0;104;-779.0;-35.0;298.0;662.0;?;?;-23.0
-158;188.0;-615.0;?;-777.0;86.0;306.0;658.0;-709.0;?;-183.0
-159;187.0;-618.0;104;?;73.0;313.0;661.0;?;809;20.0
-159;197.0;-618.0;?;?;25.0;324.0;667.0;-707.0;804;?
-159;?;-618.0;?;-773.0;-14.0;328.0;674.0;-706.0;803;-74.0
-159;?;-620.0;104;-770.0;-13.0;336.0;682.0;?;791;-118.0
-159;237.0;-622.0;104;-767.0;26.0;344.0;?;-704.0;794;-136.0
-159;253.0;-624.0;104;-762.0;147.0;350.0;699.0;-701.0;799;?
-159;267.0;-626.0;103;-759.0;238.0;350.0;704.0;-700.0;793;-12.0
?;?;-627.0;104;-756.0;203.0;?;707.0;-700.0;797;20.0
-159;296.0;-629.0;104;-752.0;116.0;?;710.0;-701.0;798;-14.0
-159;305.0;-632.0;104;-748.0;84.0;357.0;713.0;-701.0;?;-22.0
-159;?;-635.0;104;-745.0;92.0;?;715.0;-701.0;797;10.0
?;309.0;-637.0;104;-743.0;?;357.0;715.0;-700.0;?;?
?;306.0;-637.0;103;-743.0;?;354.0;715.0;-699.0;804;?
-159;?;-638.0;103;?;189.0;350.0;714.0;-700.0;801;?
?;293.0;?;?;?;134.0;352.0;?;-700.0;796;55.0
-159;283.0;-638.0;103;-746.0;?;350.0;708.0;-701.0;799;62.0
-159;273.0;-638.0;?;-748.0;128.0;348.0;703.0;-700.0;804;59.0
-159;266.0;-638.0;103;-749.0;111.0;349.0;695.0;-700.0;797;?
?;257.0;-638.0;104;-751.0;113.0;?;688.0;-699.0;801;?
-159;246.0;-636.0;104;?;122.0;349.0;680.0;-699.0;806;28.0
-159;239.0;?;104;-758.0;130.0;351.0;673.0;?;801;49.0
-159;229.0;-630.0;108;-762.0;?;351.0;666.0;-698.0;805;55.0
-159;?;-626.0;109;-766.0;155.0;349.0;661.0;?;799;55.0
-159;209.0;-622.0;110;-771.0;170.0;?;659.0;-698.0;797;69.0
?;198.0;?;111;?;165.0;342.0;658.0;-699.0;804;?
?;190.0;?;112;-778.0;150.0;338.0;658.0;-700.0;801;71.0
-159;186.0;-613.0;112;-781.0;131.0;334.0;656.0;-702.0;?;60.0
-159;186.0;-611.0;112;-782.0;142.0;329.0;656.0;-703.0;800;40.0
?;187.0;-610.0;112;-783.0;150.0;324.0;657.0;-705.0;796;63.0
-159;188.0;-610.0;112;-783.0;170.0;?;660.0;?;807;81.0
-159;191.0;-610.0;112;-782.0;176.0;315.0;665.0;?;809;91.0
?;?;-611.0;112;-782.0;197.0;309.0;670.0;-709.0;798;72.0
-159;?;-612.0;112;-780.0;218.0;?;676.0;?;792;81.0
-159;?;-613.0;112;-778.0;203.0;305.0;?;-711.0;787;78.0
-159;?;-615.0;?;-776.0;205.0;303.0;686.0;-712.0;?;63.0
-159;217.0;-617.0;111;-773.0;234.0;301.0;?;-713.0;?;98.0
-159;224.0;-620.0;112;-771.0;231.0;?;693.0;-714.0;801;121.0
?;234.0;-621.0;112;-768.0;221.0;?;695.0;-715.0;807;100.0
-159;245.0;?;112;-765.0;?;283.0;696.0;-716.0;805;?
-159;?;?;112;?;191.0;283.0;?;-716.0;799;44.0
?;256.0;?;112;-764.0;209.0;281.0;701.0;-715.0;794;63.0
-159;255.0;?;?;?;227.0;?;704.0;-714.0;793;90.0
-159;?;-622.0;112;-765.0;218.0;283.0;?;-712.0;807;?
-159;249.0;-622.0;112;-766.0;?;284.0;706.0;-711.0;811;70.0
-159;250.0;-621.0;111;-766.0;206.0;286.0;?;-710.0;799;72.0
-159;249.0;-621.0;109;-767.0;196.0;?;?;-709.0;799;78.0
-159;246.0;-619.0;109;-768.0;199.0;289.0;694.0;-708.0;?;70.0
-159;246.0;-618.0;108;-770.0;211.0;?;?;-707.0;797;66.0
?;246.0;-616.0;106;-772.0;220.0;292.0;?;-707.0;799;67.0
-159;243.0;-614.0;104;-774.0;208.0;292.0;?;-706.0;807;98.0
-159;?;-611.0;102;?;180.0;?;676.0;-705.0;797;76.0
?;232.0;-608.0;101;-780.0;187.0;294.0;674.0;?;793;?
?;230.0;?;?;-783.0;211.0;291.0;671.0;-704.0;802;52.0
-159;?;-604.0;97;-784.0;216.0;292.0;?;-705.0;?;72.0
-158;233.0;-604.0;?;-783.0;186.0;292.0;?;?;773;32.0
-158;?;?;99;-781.0;169.0;?;665.0;-706.0;?;?
-159;?;-612.0;99;-775.0;?;303.0;?;-706.0;800;-70.0
-159;249.0;?;99;-769.0;51.0;312.0;665.0;-704.0;?;?
-159;256.0;-626.0;?;-763.0;48.0;321.0;671.0;-703.0;801;-80.0
-159;266.0;?;99;?;41.0;333.0;679.0;-702.0;810;-58.0
-159;288.0;-627.0;99;-756.0;33.0;340.0;686.0;-700.0;805;-64.0
-159;308.0;-627.0;99;-752.0;30.0;345.0;?;-698.0;799;-80.0
-159;328.0;-628.0;99;-748.0;48.0;344.0;698.0;?;805;-98.0
-159;?;-630.0;?;?;105.0;341.0;705.0;-697.0;803;-105.0
-159;?;?;99;-742.0;158.0;?;711.0;-698.0;796;-64.0
