InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;Accelerometer BACK accX
42.0;-555.0;-537.0;?;281.0;-643.0;572.0;23.0;-263.0;243.0;187.0
112.0;-544.0;-535.0;?;290.0;-657.0;572.0;-26.0;-264.0;241.0;222.0
?;-526.0;-534.0;4;301.0;-678.0;574.0;-18.0;-267.0;236.0;?
?;-506.0;?;?;316.0;-701.0;573.0;-43.0;-273.0;?;144.0
-99.0;?;?;?;?;-721.0;567.0;?;-278.0;201.0;215.0
-188.0;?;-551.0;-1;363.0;-744.0;554.0;-56.0;-288.0;171.0;261.0
-272.0;-442.0;?;-5;395.0;?;535.0;?;-304.0;134.0;?
-416.0;-418.0;-577.0;-3;429.0;?;512.0;-103.0;-324.0;92.0;172.0
?;-393.0;-588.0;2;463.0;-810.0;484.0;-86.0;?;46.0;114.0
-669.0;-369.0;-598.0;2;494.0;-821.0;453.0;-58.0;-364.0;-3.0;?
?;-344.0;-608.0;1;524.0;-826.0;?;-41.0;?;-55.0;102.0
-951.0;-319.0;-616.0;2;549.0;-824.0;375.0;?;-406.0;-110.0;101.0
?;?;-621.0;0;?;-816.0;328.0;78.0;?;-166.0;63.0
?;-272.0;-624.0;-3;590.0;-800.0;?;78.0;?;-220.0;?
-1242.0;-253.0;-625.0;?;606.0;-777.0;222.0;?;-477.0;-272.0;47.0
-1329.0;-240.0;?;-3;621.0;-750.0;163.0;41.0;-501.0;-321.0;?
-1506.0;-229.0;-620.0;-3;636.0;-720.0;?;8.0;-527.0;-366.0;11.0
-1618.0;-224.0;?;4;648.0;?;?;15.0;-552.0;?;37.0
-1633.0;-226.0;-609.0;-3;653.0;?;-7.0;38.0;-575.0;?;113.0
-1417.0;-230.0;-603.0;?;649.0;-628.0;?;146.0;?;?;?
-1044.0;-231.0;-595.0;-5;?;-608.0;?;?;-595.0;?;51.0
-519.0;-233.0;-590.0;-5;638.0;?;-71.0;29.0;-595.0;-483.0;45.0
-67.0;?;-594.0;-1;?;-593.0;?;20.0;?;?;62.0
?;?;-600.0;-4;646.0;-594.0;?;?;-599.0;-470.0;38.0
295.0;-255.0;-605.0;0;649.0;-598.0;-69.0;37.0;-604.0;-461.0;48.0
?;-260.0;-608.0;1;653.0;-605.0;-59.0;?;-605.0;-451.0;?
440.0;-265.0;-613.0;-5;660.0;-611.0;?;?;-609.0;-439.0;59.0
562.0;-274.0;-621.0;?;672.0;-615.0;-40.0;-66.0;-619.0;-422.0;92.0
-125.0;-605.0;-524.0;?;257.0;?;551.0;?;-285.0;205.0;144.0
-240.0;-587.0;-517.0;0;259.0;-712.0;550.0;38.0;-279.0;198.0;208.0
-606.0;?;-506.0;1;?;-731.0;547.0;?;-269.0;184.0;238.0
-1081.0;?;-496.0;-1;255.0;-749.0;539.0;44.0;?;?;?
-1448.0;-526.0;-489.0;-3;249.0;-761.0;?;42.0;-234.0;122.0;144.0
?;?;-486.0;1;?;-765.0;499.0;-87.0;?;79.0;139.0
-1953.0;-492.0;-484.0;-2;223.0;-756.0;468.0;-25.0;?;32.0;167.0
-2209.0;-476.0;-474.0;?;205.0;-730.0;429.0;13.0;?;-12.0;136.0
-2437.0;-459.0;-460.0;0;?;-686.0;?;49.0;?;-53.0;73.0
-2185.0;-438.0;-447.0;2;166.0;?;343.0;92.0;-83.0;-89.0;89.0
-2014.0;-404.0;-432.0;0;154.0;-562.0;290.0;146.0;-47.0;-119.0;142.0
-2246.0;-355.0;-411.0;?;152.0;-480.0;232.0;?;?;-145.0;?
-2260.0;?;-393.0;2;153.0;-390.0;182.0;?;17.0;-172.0;77.0
?;?;-375.0;-1;144.0;?;134.0;157.0;34.0;-196.0;?
-1969.0;-232.0;-359.0;1;139.0;?;85.0;128.0;46.0;-220.0;?
?;-204.0;-351.0;5;132.0;-159.0;42.0;139.0;49.0;?;?
-1871.0;-185.0;-344.0;?;130.0;-110.0;1.0;144.0;45.0;-275.0;163.0
-1608.0;-171.0;-336.0;30;130.0;-80.0;?;113.0;40.0;-297.0;141.0
-1404.0;?;-329.0;28;132.0;-63.0;-58.0;98.0;35.0;-316.0;?
?;-146.0;-323.0;112;134.0;-55.0;-76.0;96.0;28.0;-330.0;81.0
-736.0;?;-317.0;342;136.0;?;-88.0;98.0;17.0;-337.0;63.0
-431.0;-123.0;-311.0;440;139.0;-45.0;?;92.0;4.0;-338.0;61.0
-102.0;-112.0;?;?;?;-49.0;?;132.0;?;?;82.0
129.0;-106.0;-304.0;143;137.0;-64.0;-83.0;112.0;-13.0;-329.0;64.0
289.0;-105.0;?;?;131.0;?;-64.0;119.0;-15.0;-322.0;?
315.0;?;-301.0;?;122.0;-114.0;-42.0;120.0;-15.0;?;0.0
320.0;?;-301.0;-361;115.0;-142.0;-20.0;103.0;?;?;?
321.0;?;-304.0;-463;109.0;?;?;132.0;-26.0;?;-26.0
336.0;?;-307.0;-637;105.0;-191.0;20.0;108.0;-36.0;-306.0;-30.0
?;-158.0;-311.0;-177;104.0;-210.0;36.0;?;?;-302.0;-28.0
288.0;?;-315.0;?;105.0;?;50.0;112.0;-63.0;-298.0;?
253.0;-167.0;-316.0;-38;107.0;-240.0;61.0;104.0;-74.0;-292.0;-20.0
199.0;?;-314.0;-13;109.0;-251.0;69.0;?;-81.0;-285.0;20.0
157.0;-157.0;-310.0;5;110.0;?;76.0;52.0;-84.0;-279.0;61.0
68.0;-147.0;-307.0;34;109.0;?;?;16.0;-83.0;-275.0;?
-19.0;-137.0;-305.0;29;107.0;-274.0;85.0;-19.0;-78.0;-274.0;95.0
?;?;-303.0;19;103.0;?;86.0;-32.0;?;-273.0;48.0
-119.0;-114.0;?;75;100.0;-270.0;85.0;-62.0;-61.0;?;11.0
-142.0;-101.0;-294.0;-38;94.0;-263.0;80.0;-85.0;-50.0;-271.0;55.0
-185.0;-89.0;-291.0;-46;88.0;-253.0;75.0;?;-38.0;-273.0;68.0
-167.0;?;-291.0;81;82.0;?;69.0;?;-25.0;-276.0;63.0
?;-70.0;-292.0;92;?;-230.0;62.0;-87.0;-11.0;-280.0;?
?;-65.0;?;73;75.0;-220.0;53.0;-100.0;2.0;?;?
-145.0;-62.0;?;57;74.0;-209.0;?;?;?;-286.0;44.0
-81.0;?;-295.0;35;?;?;36.0;-108.0;19.0;-287.0;42.0
-47.0;-58.0;?;27;71.0;-187.0;?;-74.0;22.0;?;29.0
?;?;-297.0;?;71.0;?;24.0;?;23.0;?;20.0
33.0;-64.0;-300.0;140;75.0;?;18.0;-57.0;20.0;-290.0;19.0
?;-68.0;?;-41;81.0;?;12.0;-50.0;13.0;-289.0;49.0
85.0;-71.0;-307.0;166;88.0;-168.0;6.0;-34.0;?;?;69.0
121.0;-71.0;-308.0;227;98.0;-167.0;2.0;-26.0;-11.0;-283.0;89.0
168.0;-71.0;-309.0;198;107.0;-167.0;0.0;-16.0;-23.0;-277.0;126.0
211.0;-69.0;-309.0;2048;116.0;-170.0;1.0;-20.0;-28.0;-270.0;?
230.0;-65.0;-305.0;195;120.0;-178.0;8.0;?;-29.0;?;56.0
223.0;-60.0;-301.0;?;119.0;?;17.0;?;?;-253.0;224.0
299.0;-58.0;-298.0;?;120.0;-200.0;23.0;75.0;-33.0;-244.0;454.0
228.0;-60.0;-296.0;39;122.0;?;28.0;141.0;-41.0;-243.0;?
532.0;?;-301.0;-240;131.0;?;?;126.0;-43.0;?;143.0
608.0;-56.0;?;-2;131.0;?;45.0;148.0;?;?;122.0
389.0;-52.0;-298.0;?;129.0;-218.0;45.0;-64.0;-39.0;?;80.0
376.0;-57.0;-301.0;58;?;-218.0;40.0;-40.0;-41.0;?;69.0
365.0;-64.0;-308.0;-28;122.0;-220.0;41.0;?;-42.0;-216.0;59.0
237.0;-77.0;-317.0;-26;?;-234.0;49.0;-18.0;-40.0;-221.0;48.0
248.0;-89.0;?;-9;103.0;-260.0;54.0;?;-33.0;-225.0;67.0
127.0;-96.0;-333.0;-33;100.0;?;60.0;9.0;?;-226.0;58.0
-58.0;-99.0;-335.0;-11;97.0;?;67.0;9.0;-18.0;-227.0;70.0
-95.0;-98.0;-335.0;-6;92.0;-283.0;74.0;25.0;?;?;?
-72.0;-93.0;-334.0;-9;?;-288.0;81.0;14.0;-11.0;-229.0;97.0
-107.0;-87.0;-335.0;?;86.0;-293.0;87.0;-6.0;-4.0;-231.0;93.0
-171.0;-83.0;-337.0;-12;86.0;?;89.0;-46.0;0.0;-235.0;86.0
-217.0;-81.0;-338.0;?;88.0;-289.0;?;-27.0;2.0;-239.0;104.0
-208.0;-79.0;?;6;91.0;-282.0;?;?;2.0;-243.0;?
-155.0;-78.0;?;?;93.0;-276.0;81.0;-42.0;2.0;-246.0;84.0
-140.0;-76.0;?;-189;95.0;-270.0;78.0;-78.0;4.0;-251.0;86.0
-132.0;-76.0;-345.0;-74;?;-264.0;75.0;-72.0;6.0;-255.0;?
?;?;?;?;97.0;-257.0;71.0;-76.0;10.0;-258.0;124.0
?;-77.0;-348.0;-60;97.0;-250.0;68.0;?;13.0;-261.0;110.0
-116.0;-78.0;?;?;?;-244.0;65.0;-89.0;17.0;-263.0;88.0
-126.0;?;?;56;93.0;-239.0;62.0;-79.0;?;-265.0;68.0
-158.0;-79.0;-350.0;?;90.0;-233.0;57.0;-46.0;23.0;-268.0;67.0
-202.0;-80.0;-349.0;108;?;-229.0;?;-89.0;25.0;-271.0;66.0
-212.0;-81.0;-348.0;7;83.0;-227.0;53.0;-79.0;27.0;-273.0;70.0
-206.0;-82.0;-346.0;?;?;?;54.0;-38.0;?;-275.0;74.0
-277.0;-83.0;?;258;74.0;-230.0;56.0;-22.0;31.0;?;?
-255.0;-82.0;-339.0;-34;70.0;-234.0;59.0;9.0;33.0;?;?
?;?;-333.0;21;65.0;-239.0;62.0;39.0;33.0;?;68.0
-276.0;-74.0;-325.0;27;62.0;-243.0;?;124.0;33.0;-277.0;56.0
-281.0;-68.0;-316.0;-28;59.0;-249.0;71.0;153.0;32.0;-276.0;64.0
?;-61.0;-308.0;3;58.0;-254.0;75.0;176.0;30.0;-274.0;97.0
-175.0;-56.0;?;-29;56.0;-259.0;79.0;?;30.0;-274.0;99.0
?;?;-298.0;-28;54.0;-264.0;85.0;107.0;30.0;-274.0;110.0
-98.0;-52.0;?;?;54.0;-268.0;88.0;?;31.0;-275.0;83.0
-88.0;-51.0;-295.0;53;54.0;-269.0;90.0;?;?;-274.0;74.0
-34.0;-49.0;-293.0;64;54.0;-270.0;91.0;?;29.0;-273.0;95.0
40.0;-45.0;-291.0;47;54.0;-271.0;92.0;1.0;28.0;-271.0;78.0
?;-43.0;-291.0;47;54.0;-271.0;91.0;-26.0;27.0;-270.0;67.0
73.0;-42.0;-291.0;32;55.0;?;90.0;?;26.0;-269.0;78.0
109.0;-42.0;-292.0;47;57.0;?;88.0;-35.0;26.0;-267.0;84.0
?;-42.0;?;60;59.0;-267.0;86.0;-35.0;24.0;-265.0;62.0
134.0;-44.0;-296.0;12;62.0;-264.0;83.0;?;23.0;-264.0;?
113.0;?;-299.0;151;65.0;-262.0;81.0;-24.0;22.0;-264.0;55.0
114.0;?;-302.0;7;68.0;-259.0;78.0;-67.0;21.0;?;?
?;-51.0;-304.0;657;72.0;?;75.0;-44.0;18.0;-259.0;108.0
95.0;-52.0;?;1568;78.0;-253.0;72.0;-98.0;13.0;?;?
76.0;-52.0;-306.0;335;84.0;-250.0;69.0;-79.0;8.0;-253.0;15.0
?;-52.0;?;?;?;-248.0;?;-64.0;1.0;-249.0;319.0
128.0;-51.0;?;-130;98.0;-245.0;61.0;-78.0;-7.0;-246.0;?
109.0;-51.0;-305.0;-118;106.0;-243.0;?;-54.0;-18.0;-245.0;219.0
133.0;-55.0;?;-29;?;-243.0;53.0;5.0;-26.0;-243.0;250.0
485.0;?;-306.0;?;122.0;-239.0;56.0;5.0;-24.0;-229.0;161.0
68.0;?;-306.0;-32;116.0;?;?;-145.0;-22.0;-232.0;277.0
-168.0;-47.0;-304.0;-9;113.0;?;57.0;-112.0;-22.0;-235.0;283.0
-2.0;-48.0;-300.0;-21;106.0;-245.0;63.0;-76.0;-17.0;?;203.0
83.0;-48.0;-299.0;-5;99.0;-259.0;70.0;-91.0;-14.0;-236.0;?
?;-45.0;-299.0;-17;?;?;72.0;-81.0;-11.0;-231.0;?
198.0;?;-298.0;-15;99.0;?;74.0;-68.0;-12.0;-226.0;?
18.0;-36.0;-295.0;-11;99.0;?;73.0;-5.0;-18.0;-226.0;236.0
-7.0;-37.0;-290.0;-10;100.0;?;74.0;?;?;-225.0;254.0
40.0;?;-285.0;-8;103.0;-293.0;76.0;59.0;?;-223.0;224.0
-32.0;?;-282.0;-3;106.0;-295.0;?;?;-23.0;-224.0;225.0
?;-42.0;-281.0;?;107.0;?;81.0;?;-20.0;?;?
?;-49.0;-282.0;-16;?;-295.0;?;35.0;-15.0;-228.0;197.0
-67.0;-55.0;-284.0;-8;105.0;-294.0;?;44.0;-9.0;-230.0;203.0
?;-58.0;?;-40;105.0;?;86.0;21.0;-4.0;?;208.0
-72.0;-58.0;?;-99;107.0;-285.0;83.0;59.0;-2.0;-230.0;212.0
-102.0;-56.0;-284.0;-269;110.0;-278.0;79.0;33.0;-1.0;-230.0;220.0
-112.0;-53.0;?;-315;113.0;-271.0;73.0;11.0;-2.0;-231.0;240.0
?;-50.0;?;-46;116.0;-263.0;67.0;29.0;-2.0;?;240.0
-146.0;?;-280.0;?;119.0;?;61.0;10.0;-3.0;-234.0;237.0
-146.0;-42.0;-279.0;-49;121.0;-248.0;55.0;26.0;-4.0;-235.0;208.0
-114.0;-37.0;?;?;122.0;-239.0;48.0;35.0;-3.0;-237.0;214.0
-125.0;-33.0;-278.0;88;121.0;?;?;16.0;-2.0;?;204.0
?;-32.0;-278.0;112;119.0;?;37.0;?;1.0;?;?
?;-32.0;?;80;115.0;-222.0;34.0;97.0;4.0;-250.0;118.0
-122.0;-32.0;?;?;110.0;?;?;69.0;9.0;?;124.0
-73.0;-31.0;-279.0;89;104.0;-219.0;32.0;91.0;14.0;-256.0;112.0
-54.0;-31.0;-280.0;77;96.0;-219.0;35.0;120.0;19.0;-260.0;105.0
?;-31.0;-281.0;72;88.0;-221.0;?;99.0;24.0;-262.0;58.0
?;-32.0;?;56;?;-225.0;42.0;144.0;?;-265.0;68.0
?;-33.0;-282.0;51;76.0;?;45.0;140.0;30.0;-267.0;72.0
-84.0;-34.0;-282.0;41;71.0;-232.0;?;?;31.0;-270.0;65.0
-98.0;-35.0;?;36;?;?;53.0;?;32.0;-273.0;59.0
-153.0;-36.0;-281.0;48;60.0;-243.0;59.0;-14.0;34.0;-276.0;29.0
?;-36.0;?;35;53.0;?;66.0;-23.0;37.0;?;39.0
-96.0;-35.0;-282.0;16;48.0;-255.0;72.0;-61.0;39.0;-281.0;36.0
-80.0;-35.0;-283.0;33;42.0;-262.0;?;-84.0;43.0;-283.0;43.0
?;-35.0;-284.0;66;36.0;-270.0;86.0;-91.0;46.0;-286.0;56.0
-99.0;-35.0;-285.0;31;32.0;-276.0;92.0;-72.0;48.0;?;51.0
-118.0;-35.0;-286.0;?;?;?;96.0;-78.0;49.0;-290.0;70.0
-75.0;-35.0;-288.0;40;30.0;-283.0;98.0;-82.0;49.0;-291.0;43.0
-71.0;-36.0;?;19;31.0;-285.0;100.0;-107.0;48.0;-292.0;45.0
?;-37.0;?;115;34.0;-285.0;100.0;-130.0;48.0;?;34.0
-109.0;-39.0;-294.0;-112;36.0;-285.0;101.0;-131.0;?;-295.0;2.0
?;-43.0;-297.0;430;36.0;-285.0;?;-163.0;51.0;-298.0;21.0
-51.0;?;-302.0;572;37.0;-285.0;103.0;-157.0;?;-301.0;89.0
-55.0;-53.0;-307.0;756;39.0;-284.0;103.0;?;52.0;-303.0;?
-29.0;-56.0;?;1668;44.0;-281.0;100.0;-149.0;?;?;139.0
?;-56.0;-309.0;?;51.0;-279.0;96.0;-125.0;?;-298.0;435.0
33.0;?;-307.0;-543;61.0;-276.0;90.0;-85.0;31.0;?;512.0
47.0;?;?;?;?;-274.0;?;-75.0;19.0;-288.0;318.0
?;-44.0;-303.0;-389;84.0;-269.0;82.0;-119.0;?;-273.0;272.0
375.0;?;-297.0;-274;87.0;-263.0;?;-135.0;11.0;?;266.0
240.0;-35.0;-300.0;?;89.0;-258.0;73.0;-255.0;9.0;-262.0;353.0
325.0;-40.0;?;-268;86.0;-257.0;75.0;?;10.0;-262.0;241.0
334.0;-49.0;?;?;78.0;-265.0;81.0;-157.0;16.0;?;210.0
279.0;?;-312.0;?;?;-280.0;85.0;-117.0;20.0;?;235.0
357.0;?;-318.0;-138;71.0;-292.0;92.0;-144.0;26.0;?;195.0
?;-78.0;-322.0;?;64.0;-299.0;?;-48.0;29.0;-262.0;191.0
152.0;-81.0;?;-115;?;-307.0;104.0;?;29.0;-261.0;210.0
99.0;?;-320.0;?;56.0;-317.0;110.0;45.0;30.0;-258.0;206.0
?;?;-315.0;-72;?;-324.0;116.0;78.0;29.0;-256.0;178.0
?;-76.0;-311.0;-75;55.0;?;?;66.0;28.0;?;?
-12.0;-75.0;-311.0;?;56.0;-328.0;122.0;69.0;29.0;-257.0;174.0
-27.0;-77.0;-312.0;-52;?;-327.0;124.0;25.0;?;-259.0;?
-99.0;-78.0;?;?;55.0;-326.0;125.0;61.0;32.0;-262.0;154.0
-95.0;-76.0;-315.0;-22;?;-324.0;125.0;60.0;36.0;?;166.0
-110.0;-71.0;?;-66;57.0;-320.0;123.0;68.0;39.0;?;168.0
-91.0;-65.0;-314.0;-7;?;-314.0;119.0;74.0;?;?;?
-141.0;-60.0;?;?;60.0;?;115.0;?;43.0;?;172.0
-153.0;-56.0;?;-292;60.0;-301.0;?;?;44.0;-269.0;163.0
-197.0;-52.0;-314.0;-34;62.0;-292.0;104.0;?;45.0;?;?
?;-49.0;-314.0;108;64.0;?;96.0;?;?;-275.0;177.0
-167.0;-46.0;-312.0;-35;?;?;?;46.0;45.0;-276.0;165.0
?;-43.0;-310.0;37;65.0;-267.0;83.0;54.0;46.0;-277.0;164.0
-77.0;-41.0;-309.0;51;?;-261.0;77.0;?;?;-277.0;157.0
-109.0;-40.0;-307.0;-40;62.0;?;72.0;46.0;51.0;-278.0;147.0
-84.0;-40.0;-305.0;?;61.0;?;67.0;?;53.0;-279.0;?
-67.0;-42.0;-305.0;89;57.0;-243.0;64.0;59.0;56.0;?;115.0
?;-44.0;-305.0;72;?;-240.0;63.0;61.0;60.0;-282.0;115.0
-38.0;-45.0;-305.0;?;50.0;-240.0;62.0;100.0;63.0;-282.0;96.0
-16.0;-46.0;-305.0;?;46.0;-240.0;63.0;?;65.0;-283.0;86.0
-23.0;-48.0;-306.0;123;41.0;-241.0;66.0;?;67.0;-285.0;84.0
?;-50.0;-306.0;94;37.0;-245.0;69.0;63.0;?;-287.0;?
-80.0;-50.0;-305.0;24;33.0;?;?;39.0;68.0;-288.0;?
?;-48.0;-302.0;85;29.0;-256.0;?;-14.0;69.0;-289.0;65.0
-58.0;?;-299.0;99;23.0;-263.0;88.0;?;70.0;-289.0;47.0
-49.0;-45.0;-297.0;?;18.0;-272.0;?;30.0;?;-292.0;23.0
-45.0;-45.0;-298.0;28;12.0;-282.0;107.0;-7.0;75.0;-294.0;13.0
-74.0;-47.0;-301.0;27;6.0;-292.0;118.0;-3.0;77.0;-298.0;18.0
-115.0;-49.0;-304.0;38;3.0;?;?;30.0;78.0;-301.0;44.0
-166.0;-49.0;-305.0;-5;1.0;-307.0;?;11.0;?;-304.0;33.0
-164.0;-46.0;-304.0;-32;?;?;135.0;-23.0;75.0;-304.0;2.0
-76.0;-41.0;?;87;1.0;-316.0;138.0;-18.0;72.0;-302.0;69.0
-4.0;-36.0;-301.0;111;2.0;-320.0;140.0;-77.0;70.0;-301.0;69.0
2.0;?;-302.0;9;4.0;-323.0;141.0;-95.0;68.0;-301.0;77.0
?;-34.0;-304.0;?;?;-324.0;140.0;?;67.0;-300.0;?
32.0;-34.0;-304.0;-60;8.0;?;137.0;-170.0;66.0;-298.0;93.0
70.0;-33.0;-304.0;228;?;?;135.0;-210.0;67.0;-295.0;59.0
139.0;-35.0;?;204;?;?;133.0;-210.0;68.0;-292.0;83.0
136.0;-40.0;-311.0;807;?;-312.0;130.0;-208.0;69.0;?;165.0
146.0;-46.0;-316.0;?;?;?;124.0;-226.0;69.0;-288.0;?
?;-53.0;-321.0;-3944;28.0;-299.0;119.0;?;67.0;-286.0;153.0
147.0;-58.0;-324.0;-4222;35.0;-294.0;115.0;?;64.0;-283.0;567.0
169.0;-63.0;-325.0;609;43.0;-291.0;111.0;-156.0;?;-279.0;446.0
121.0;?;-327.0;?;?;-290.0;109.0;-116.0;?;-278.0;339.0
?;?;-328.0;-249;61.0;-286.0;114.0;-146.0;53.0;-265.0;271.0
293.0;-63.0;-327.0;218;58.0;-284.0;117.0;-206.0;55.0;-261.0;?
?;-66.0;-331.0;-257;56.0;-285.0;119.0;-238.0;55.0;-264.0;326.0
?;-70.0;?;91;52.0;-293.0;126.0;?;59.0;?;205.0
238.0;-76.0;-341.0;?;44.0;-309.0;136.0;-122.0;62.0;-271.0;182.0
365.0;?;-350.0;?;42.0;-327.0;144.0;-150.0;64.0;-272.0;?
347.0;?;-358.0;-6;38.0;-340.0;155.0;-59.0;65.0;?;192.0
225.0;-87.0;-366.0;-41;?;-352.0;167.0;21.0;?;-276.0;179.0
-12.0;?;-368.0;?;25.0;-369.0;178.0;94.0;?;-280.0;168.0
-71.0;-92.0;-366.0;-24;22.0;-384.0;188.0;130.0;58.0;-282.0;189.0
?;-90.0;-363.0;-15;21.0;?;197.0;164.0;56.0;?;174.0
?;-86.0;-361.0;-8;22.0;-400.0;202.0;168.0;?;-280.0;200.0
?;?;?;-10;24.0;?;?;207.0;49.0;?;217.0
-89.0;-82.0;-358.0;-5;25.0;?;?;164.0;48.0;-278.0;186.0
?;-80.0;-358.0;-15;26.0;-403.0;?;119.0;49.0;-277.0;171.0
28.0;?;-356.0;?;27.0;-399.0;197.0;132.0;52.0;-276.0;202.0
42.0;-76.0;-354.0;-7;28.0;-391.0;192.0;74.0;57.0;-275.0;173.0
22.0;-76.0;-353.0;-24;28.0;-383.0;186.0;46.0;64.0;?;176.0
5.0;-79.0;?;-8;27.0;?;180.0;48.0;?;-276.0;149.0
12.0;-82.0;?;?;?;-363.0;174.0;12.0;82.0;?;?
25.0;-83.0;-360.0;-111;23.0;-352.0;167.0;17.0;91.0;-278.0;?
-3.0;-82.0;-361.0;48;?;?;161.0;10.0;99.0;-278.0;115.0
?;-82.0;-361.0;?;?;?;155.0;8.0;?;-279.0;?
-92.0;-81.0;-363.0;15;19.0;?;?;?;108.0;-281.0;118.0
-170.0;-80.0;-362.0;-17;20.0;-314.0;142.0;67.0;?;?;?
-249.0;-78.0;-360.0;?;?;-306.0;135.0;73.0;107.0;-285.0;153.0
-307.0;-75.0;?;31;?;-299.0;128.0;?;104.0;-287.0;155.0
-318.0;?;?;45;29.0;?;124.0;83.0;100.0;-288.0;?
-285.0;-65.0;-345.0;66;29.0;-291.0;122.0;75.0;?;?;128.0
