InertialMeasurementUnit BACK accY;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-32.0;-120.0;?;118;123;-145.0;518.0;?;-896.0;-17;?
-26.0;-53.0;?;-53;299;-208.0;519.0;72;-897.0;-22;-12
-28.0;-210.0;?;261;-38;-396.0;518.0;64;-898.0;-12;-12
?;-420.0;-76;-115;341;-506.0;?;?;-899.0;44;?
-27.0;-504.0;27;270;-49;-532.0;517.0;27;-899.0;?;-13
?;-527.0;143;?;-113;-539.0;517.0;143;?;?;-14
-38.0;-436.0;-21;324;82;-469.0;?;-21;-900.0;-67;-16
-59.0;-105.0;424;3042;-2890;-324.0;516.0;424;-898.0;-30;-17
-72.0;295.0;417;-709;1070;?;514.0;417;-900.0;?;-31
-97.0;?;81;?;4699;300.0;513.0;81;-901.0;345;?
-112.0;245.0;196;481;436;?;512.0;196;-901.0;37;-40
-21.0;66.0;-58;?;530;56.0;512.0;-58;-903.0;?;-41
?;-119.0;-59;-316;1049;-119.0;510.0;?;-904.0;51;-42
-508.0;-27.0;?;345;440;119.0;502.0;47;-905.0;4;?
-334.0;-141.0;-26;-206;914;-161.0;499.0;-26;-903.0;24;-42
-183.0;-437.0;44;131;522;-284.0;?;44;-899.0;-24;-41
-120.0;-298.0;36;-3;675;?;?;36;-892.0;-10;-41
-76.0;495.0;?;?;667;768.0;498.0;12;-888.0;-20;-41
-69.0;1213.0;-10;58;619;434.0;?;-10;?;-25;-41
?;?;13;8;672;?;500.0;?;-880.0;-15;-41
-66.0;119.0;27;?;646;362.0;?;?;-882.0;-16;-41
-72.0;?;-9;?;641;390.0;499.0;?;-886.0;-11;-41
?;315.0;2;14;655;420.0;495.0;2;-889.0;-16;-41
-69.0;466.0;12;?;666;?;500.0;?;-895.0;-16;-41
?;139.0;-10;41;642;-9.0;?;-10;-899.0;-19;-41
-95.0;-218.0;7;-19;688;?;500.0;?;-904.0;-24;-41
-97.0;?;16;55;623;-260.0;500.0;16;-909.0;?;-41
-92.0;?;-65;-145;826;?;?;-65;?;?;?
?;-188.0;-257;-435;1072;-245.0;503.0;-257;?;?;-40
-97.0;-137.0;?;-103;734;-183.0;505.0;-365;-921.0;35;?
-92.0;-133.0;-201;24;?;?;508.0;-201;?;72;?
?;-134.0;-42;?;588;?;510.0;-42;?;89;-29
-90.0;-68.0;22;161;309;-8.0;513.0;22;-920.0;73;-26
-105.0;-39.0;59;170;264;-45.0;516.0;59;-915.0;-15;-23
-115.0;?;9;?;213;?;520.0;9;-915.0;?;-20
-89.0;-81.0;-50;172;127;41.0;521.0;-50;?;-13;-17
-74.0;42.0;-83;118;219;211.0;?;-83;?;-31;-16
-60.0;151.0;-63;163;-25;311.0;526.0;-63;-910.0;25;?
?;?;-117;?;-36;?;?;-117;-909.0;126;-14
-63.0;205.0;?;17;294;301.0;531.0;-109;?;?;-14
-67.0;?;59;?;?;333.0;533.0;59;-903.0;64;-14
-63.0;?;101;13;?;311.0;535.0;101;?;36;-14
?;104.0;123;-25;276;241.0;533.0;123;-901.0;42;-14
-58.0;?;?;25;222;190.0;?;138;-898.0;7;-14
-40.0;102.0;72;9;243;?;531.0;72;-896.0;-53;-14
-38.0;?;-10;13;237;202.0;528.0;-10;-895.0;-60;-14
-72.0;68.0;-141;61;?;76.0;527.0;?;-894.0;-17;-13
-77.0;-68.0;-186;65;158;-37.0;527.0;?;-892.0;?;?
-71.0;-146.0;?;?;146;-41.0;527.0;-132;-892.0;?;-13
-69.0;-156.0;?;8;197;-23.0;?;-139;-891.0;96;-13
-56.0;-161.0;-145;113;127;?;529.0;-145;-889.0;69;-13
?;-165.0;-58;12;206;-116.0;528.0;-58;-887.0;78;?
-55.0;-182.0;?;51;172;?;528.0;-39;-886.0;?;-13
?;-272.0;-45;254;38;?;527.0;-45;?;?;-14
-42.0;-228.0;43;?;416;-268.0;528.0;43;-880.0;88;-15
-45.0;?;?;640;-284;-227.0;527.0;?;-880.0;?;-14
-36.0;-191.0;-7;-431;595;-306.0;526.0;-7;?;77;-17
-34.0;?;-8;?;-918;-350.0;525.0;-8;-879.0;?;-16
-44.0;?;96;2292;?;-385.0;524.0;96;-882.0;?;-18
-63.0;-333.0;710;-6144;?;-451.0;523.0;710;-881.0;1088;-37
-75.0;-413.0;399;-3905;3662;-480.0;523.0;399;-882.0;556;-43
-115.0;?;-159;1644;-371;?;?;-159;-884.0;-353;-39
?;-498.0;-16;-735;1212;-544.0;523.0;?;-884.0;?;?
?;?;-16;157;572;?;524.0;-16;-887.0;-21;-41
-502.0;-281.0;-7;?;563;-51.0;524.0;?;-888.0;?;?
-276.0;-74.0;-10;?;827;90.0;?;-10;-889.0;27;?
-201.0;46.0;-34;226;509;160.0;528.0;-34;-885.0;-27;?
-152.0;339.0;?;-106;740;?;530.0;30;-884.0;16;-41
-177.0;618.0;38;82;604;385.0;?;38;-877.0;?;-41
-295.0;510.0;30;14;?;-52.0;533.0;30;-873.0;-3;?
-184.0;-57.0;?;8;663;10.0;535.0;30;?;?;-41
-192.0;?;34;29;649;-62.0;536.0;34;-865.0;-2;-41
?;?;16;17;654;-47.0;536.0;16;-863.0;?;-41
-203.0;89.0;?;18;656;?;534.0;?;-863.0;-2;-41
?;36.0;33;18;653;-45.0;?;?;-861.0;-2;-41
-205.0;25.0;20;?;661;9.0;?;20;?;-7;?
-189.0;99.0;26;15;667;94.0;531.0;26;-866.0;-9;?
-162.0;131.0;?;-8;?;72.0;531.0;25;?;?;-41
-152.0;16.0;-50;-22;714;?;528.0;-50;-873.0;?;?
-157.0;-170.0;-96;-107;?;?;?;-96;?;?;-40
-139.0;?;-313;-362;?;-338.0;?;-313;-874.0;-378;-39
-133.0;-340.0;-455;-384;1074;?;529.0;-455;-878.0;-273;-39
-141.0;-367.0;-92;-37;644;-362.0;529.0;-92;-879.0;69;-34
-144.0;-336.0;115;?;440;-344.0;529.0;115;-882.0;40;-29
?;?;34;-33;?;?;529.0;34;-884.0;-74;-26
-171.0;-318.0;?;44;358;-237.0;526.0;20;-885.0;2;-23
-151.0;-249.0;-10;165;207;-128.0;?;-10;-887.0;?;-20
-125.0;-111.0;-58;165;150;-12.0;527.0;?;-887.0;-10;-18
-126.0;53.0;-101;93;171;156.0;528.0;-101;-886.0;-29;-17
-132.0;?;-104;93;154;263.0;527.0;-104;-886.0;-14;?
-113.0;?;-95;115;132;344.0;526.0;-95;-886.0;?;?
-80.0;269.0;-110;76;?;448.0;527.0;-110;?;59;-14
?;359.0;?;65;155;?;525.0;-87;-882.0;?;?
-66.0;282.0;-54;75;161;386.0;525.0;-54;-884.0;41;?
-66.0;171.0;-62;47;174;305.0;525.0;-62;-883.0;74;-13
-63.0;130.0;-41;?;?;?;?;-41;-884.0;61;-13
-41.0;181.0;?;55;163;?;525.0;-9;-884.0;?;-13
-41.0;?;?;55;148;466.0;526.0;?;-881.0;3;?
-37.0;262.0;-87;52;164;486.0;528.0;-87;-880.0;13;-13
-33.0;257.0;?;42;192;467.0;?;-93;?;?;-13
-15.0;?;-66;43;187;476.0;533.0;-66;-880.0;72;-13
-11.0;365.0;?;?;?;?;535.0;?;-878.0;?;-13
-18.0;263.0;-4;?;200;339.0;536.0;-4;-880.0;80;-13
-18.0;86.0;-10;110;120;169.0;?;-10;?;67;-13
-25.0;5.0;13;59;185;12.0;538.0;13;-881.0;68;-14
-28.0;-71.0;?;66;223;-57.0;538.0;118;-882.0;68;-15
-49.0;-74.0;99;?;?;?;539.0;99;-882.0;43;-15
?;-40.0;52;-73;390;-59.0;543.0;52;-884.0;-35;-15
?;23.0;-114;625;-345;13.0;541.0;-114;-885.0;?;-18
-7.0;26.0;?;824;-531;?;?;-307;-887.0;-206;?
?;-126.0;-258;1044;-783;-231.0;547.0;-258;-888.0;-132;-19
11.0;-312.0;-16;2151;-1987;-407.0;550.0;?;?;?;?
-36.0;-439.0;219;571;?;-569.0;551.0;219;?;73;-25
-94.0;-571.0;27;?;?;?;?;27;-898.0;?;-25
-15.0;-575.0;-102;261;435;-717.0;549.0;-102;?;?;?
-334.0;-564.0;26;-22;792;-690.0;547.0;26;-903.0;-21;-26
-526.0;-442.0;-2;88;643;-370.0;545.0;-2;-903.0;?;-26
-356.0;-408.0;13;?;632;-224.0;546.0;13;-899.0;2;?
-223.0;-74.0;18;5;707;302.0;?;18;?;-4;-26
-226.0;558.0;-14;?;625;551.0;551.0;-14;-890.0;7;-26
?;740.0;15;17;?;242.0;553.0;15;-884.0;-3;-26
-227.0;?;21;44;647;379.0;556.0;?;-880.0;-21;-26
-209.0;210.0;21;36;?;478.0;?;21;-874.0;-17;?
-207.0;?;22;25;?;355.0;560.0;22;-871.0;-7;-26
-169.0;287.0;25;15;662;324.0;559.0;25;?;?;-26
-159.0;?;37;20;660;189.0;?;37;-863.0;-3;-26
-185.0;?;0;?;675;28.0;557.0;?;-864.0;-27;-26
?;?;-14;26;663;-67.0;559.0;?;-865.0;?;-26
-168.0;-119.0;11;22;664;14.0;555.0;11;-869.0;-4;-26
-150.0;-13.0;31;-1;676;-23.0;553.0;31;-871.0;-40;?
-150.0;-32.0;51;34;635;-128.0;?;?;-874.0;?;-26
?;?;-57;-34;703;-221.0;552.0;-57;-879.0;-74;-26
-132.0;?;14;58;623;-262.0;?;14;-885.0;59;?
-137.0;-236.0;-210;?;762;?;550.0;?;?;-11;-28
-145.0;-278.0;-620;-416;?;-272.0;548.0;-620;-898.0;-290;-28
?;?;?;-58;677;-320.0;548.0;-350;-902.0;223;-26
?;-405.0;-263;88;526;-366.0;548.0;-263;?;511;?
-144.0;?;-186;?;578;-266.0;?;-186;-912.0;131;-25
-146.0;-260.0;-20;147;343;?;548.0;?;-916.0;11;?
-150.0;-149.0;-180;?;?;-103.0;548.0;-180;-917.0;-13;-19
-146.0;-131.0;?;39;368;-48.0;547.0;-163;?;-97;-18
-118.0;-96.0;?;73;?;?;?;-231;-919.0;-33;?
?;-5.0;-319;95;179;129.0;547.0;-319;-919.0;-5;-15
?;143.0;-285;?;160;214.0;?;-285;-918.0;0;-14
?;178.0;-301;?;154;201.0;547.0;?;-916.0;?;-13
-93.0;161.0;-184;88;139;252.0;?;?;-914.0;113;-12
-95.0;?;-14;76;104;?;550.0;-14;-909.0;123;-12
-73.0;?;?;71;124;333.0;547.0;35;-907.0;112;?
?;?;50;55;196;366.0;547.0;?;-902.0;?;-11
-77.0;273.0;57;71;133;402.0;?;?;-897.0;128;-11
-68.0;332.0;52;88;?;551.0;551.0;?;?;90;-11
-55.0;381.0;87;51;183;551.0;552.0;87;-894.0;46;-11
?;420.0;129;29;182;?;553.0;129;-890.0;?;-11
-27.0;421.0;150;39;178;?;549.0;150;-894.0;25;-12
-20.0;280.0;97;?;159;?;551.0;97;-894.0;-11;-12
?;101.0;20;?;213;153.0;552.0;20;-892.0;-11;-12
-10.0;-82.0;?;31;222;50.0;?;-39;-893.0;-74;-12
-28.0;-109.0;?;84;?;-8.0;552.0;?;-892.0;14;-12
-42.0;?;-153;87;133;-52.0;554.0;?;-891.0;157;?
-9.0;-93.0;-196;57;213;-136.0;554.0;-196;-891.0;69;-13
?;-190.0;-110;-18;?;?;556.0;-110;?;?;-13
-53.0;-275.0;-148;125;211;-295.0;558.0;-148;-890.0;?;-13
?;?;5;169;55;-278.0;557.0;5;?;195;-16
-51.0;-119.0;-66;410;-74;-215.0;557.0;?;-888.0;-119;-16
?;-123.0;99;?;-990;-315.0;557.0;99;-888.0;-387;-17
?;-281.0;461;1290;-1008;-449.0;557.0;?;?;?;-30
?;-360.0;?;?;2722;-472.0;?;-1574;-887.0;-4305;-38
-101.0;?;-1748;?;3047;-444.0;559.0;-1748;-884.0;-4964;-38
-128.0;-172.0;274;52;254;-441.0;560.0;274;-884.0;707;-40
?;?;?;-2;?;-409.0;561.0;-14;-882.0;-23;?
-379.0;-158.0;-102;8;784;?;562.0;?;-880.0;-265;-40
-511.0;?;68;26;505;160.0;?;68;?;282;-40
-319.0;?;?;6;?;109.0;559.0;?;-880.0;-259;-40
?;427.0;61;?;587;539.0;559.0;61;-879.0;?;-40
-239.0;733.0;-23;11;?;552.0;?;?;?;-55;-40
-285.0;646.0;-9;17;658;317.0;556.0;-9;-871.0;-16;-40
-203.0;284.0;19;19;644;519.0;558.0;19;-870.0;16;?
-177.0;200.0;-3;?;674;592.0;556.0;-3;-873.0;-14;?
-138.0;?;14;?;652;571.0;556.0;14;-874.0;10;?
?;372.0;41;?;661;?;556.0;?;-878.0;-17;-40
-168.0;106.0;?;?;661;195.0;?;12;-882.0;?;?
-165.0;-161.0;-19;20;658;?;547.0;-19;-882.0;-10;-40
-176.0;-234.0;15;13;665;-173.0;544.0;?;-881.0;-10;-40
-177.0;-200.0;5;19;660;-226.0;?;5;-882.0;2;-40
-184.0;?;-29;?;662;-221.0;540.0;-29;-885.0;?;-40
-165.0;-293.0;14;13;652;?;?;14;-887.0;?;?
?;?;-68;17;?;-287.0;537.0;-68;-892.0;-23;?
?;-232.0;-49;-9;?;-257.0;538.0;?;-894.0;-26;-40
-165.0;-177.0;-2;-70;725;-158.0;536.0;-2;-895.0;74;-39
-156.0;-57.0;-384;-104;806;-157.0;534.0;-384;-895.0;-142;?
-146.0;-67.0;-199;-40;722;-188.0;536.0;-199;-894.0;-13;-36
-150.0;?;153;36;581;-116.0;537.0;?;-894.0;278;?
?;-126.0;131;17;613;?;537.0;131;?;226;-35
?;-95.0;467;?;553;-172.0;?;467;-899.0;153;-31
?;-172.0;392;65;395;-271.0;538.0;392;?;-202;-27
-93.0;-330.0;31;56;368;-300.0;538.0;?;-902.0;-235;-24
-110.0;-363.0;-91;79;?;?;539.0;-91;-905.0;-49;?
-122.0;-288.0;?;126;232;-168.0;540.0;-223;-904.0;-107;-19
-151.0;-75.0;-177;?;?;24.0;543.0;-177;-905.0;-51;?
-134.0;62.0;-107;103;173;198.0;?;-107;-903.0;14;-16
-123.0;108.0;?;89;192;?;545.0;-119;?;35;-16
?;47.0;?;153;73;185.0;547.0;0;?;-31;-14
-105.0;-28.0;?;79;94;199.0;552.0;?;-898.0;-67;-14
-76.0;61.0;13;?;238;296.0;?;13;-892.0;-30;-14
-91.0;156.0;79;94;156;371.0;?;79;-892.0;-45;-14
-62.0;184.0;86;21;128;364.0;?;86;-890.0;-90;-14
-31.0;70.0;-52;-28;193;329.0;562.0;-52;-886.0;-170;?
-48.0;60.0;-103;36;191;357.0;564.0;-103;-884.0;?;?
-47.0;216.0;-61;30;165;402.0;567.0;-61;-882.0;-4;-13
-33.0;?;-52;25;169;?;569.0;-52;-879.0;-5;?
?;272.0;-48;57;186;437.0;570.0;-48;-878.0;-28;-13
?;157.0;-29;64;172;289.0;574.0;-29;-876.0;?;-13
-84.0;-112.0;-49;?;?;19.0;574.0;-49;-875.0;-108;-13
-77.0;-211.0;-98;9;185;-84.0;574.0;-98;-877.0;-44;-14
-57.0;-199.0;-99;85;128;-60.0;574.0;-99;-874.0;9;-14
?;-36.0;?;32;230;?;?;-45;-874.0;?;?
-68.0;-44.0;?;43;208;-64.0;575.0;?;-872.0;14;-15
-58.0;-59.0;2;107;?;-100.0;576.0;2;-874.0;-86;-15
-64.0;?;-28;-85;?;-115.0;577.0;-28;-874.0;-62;-15
-65.0;-44.0;-106;?;-144;?;578.0;?;-875.0;-155;-16
?;-140.0;-473;19;323;-190.0;577.0;-473;-872.0;144;-17
-82.0;-231.0;?;?;?;-283.0;?;-580;-869.0;?;-18
-87.0;-268.0;-301;1853;-1578;-315.0;579.0;-301;-868.0;-51;-25
-67.0;-256.0;-50;-1069;?;-309.0;580.0;-50;-866.0;?;-36
-64.0;-171.0;496;-1027;?;-217.0;580.0;496;-865.0;23;-41
-61.0;-48.0;523;355;-146;?;582.0;523;-863.0;-574;-41
-122.0;2.0;15;-238;1074;-162.0;583.0;15;-861.0;246;-41
-139.0;-62.0;-15;90;?;-286.0;?;-15;-860.0;-27;-41
-411.0;-172.0;53;40;636;-151.0;581.0;53;-857.0;-18;?
?;-93.0;?;-41;762;130.0;579.0;10;-858.0;?;-41
?;?;-15;65;581;243.0;577.0;-15;-856.0;-34;-41
-198.0;547.0;-3;-18;724;565.0;576.0;-3;-857.0;38;-41
-181.0;1020.0;43;34;631;601.0;575.0;43;-856.0;-17;-41
-185.0;1097.0;3;?;665;544.0;575.0;3;-854.0;-14;-41
-159.0;567.0;-29;27;?;?;575.0;?;-853.0;-16;-41
-183.0;108.0;26;?;657;159.0;?;26;-852.0;?;-41
-177.0;-76.0;?;22;653;-62.0;?;?;-854.0;6;?
-176.0;-49.0;?;26;652;-333.0;570.0;-26;-860.0;5;?
-176.0;?;1;19;662;?;567.0;1;-864.0;5;-41
?;?;?;?;659;-1251.0;563.0;14;?;-4;-41
-149.0;-1037.0;?;?;656;-1260.0;560.0;23;-869.0;-3;-41
-148.0;-707.0;7;13;?;-1072.0;554.0;?;-874.0;-12;?
-116.0;-450.0;?;17;662;-865.0;550.0;7;-878.0;-10;-41
-139.0;-586.0;13;21;655;-745.0;548.0;13;-880.0;?;-41
?;-674.0;16;19;657;-853.0;?;?;-882.0;-5;?
-147.0;-804.0;?;20;658;-1066.0;548.0;22;?;?;-41
?;?;4;18;656;-1405.0;543.0;4;-875.0;?;-41
-173.0;-234.0;11;15;659;-1281.0;540.0;?;-870.0;-6;-41
-175.0;114.0;2;18;656;-1312.0;537.0;?;-862.0;-2;-41
?;467.0;-6;22;653;-1384.0;?;-6;-857.0;-6;-41
-147.0;583.0;2;?;659;-1322.0;530.0;?;-851.0;?;-41
?;?;-18;17;?;-1140.0;529.0;-18;-850.0;-6;-41
-130.0;691.0;?;20;658;-1292.0;?;-19;-847.0;-6;-41
-104.0;522.0;2;18;657;-1733.0;525.0;2;?;0;?
?;1003.0;24;19;657;-2014.0;525.0;24;-840.0;?;-41
-108.0;?;-10;19;657;?;526.0;?;?;?;?
-157.0;477.0;-35;?;?;?;527.0;?;?;-8;-41
-186.0;420.0;4;22;660;?;527.0;?;-837.0;-12;-41
-144.0;557.0;5;21;660;-556.0;?;?;-838.0;-3;?
?;?;-5;?;655;-191.0;528.0;-5;-837.0;?;-41
-142.0;92.0;-15;24;654;-9.0;?;?;-837.0;-2;?
-172.0;?;-13;?;655;104.0;531.0;-13;-838.0;-4;-41
-175.0;?;5;?;653;198.0;531.0;5;?;-1;-41
-179.0;-90.0;?;21;?;144.0;533.0;13;-841.0;?;-41
-157.0;-70.0;24;?;657;101.0;532.0;24;-844.0;0;-41
-152.0;?;?;21;?;?;531.0;7;?;6;-41
-167.0;-139.0;11;19;?;153.0;530.0;11;-850.0;5;-41
?;-177.0;?;16;663;172.0;530.0;?;-851.0;-1;-41
-189.0;-153.0;1;19;662;229.0;531.0;1;-853.0;-2;?
-167.0;-224.0;22;26;?;224.0;532.0;?;-853.0;-3;?
-156.0;?;39;?;660;133.0;531.0;39;-852.0;?;?
?;-94.0;2;18;661;83.0;529.0;?;-853.0;-6;-41
