InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
?;-137.0;-2853.0;-22;12.0;739;?;745.0;?
-221.0;71.0;-2407.0;-18;?;746;?;529.0;-2046.0
115.0;250.0;-1713.0;-10;299.0;742;-10;169.0;-1266.0
160.0;423.0;-1171.0;-17;183.0;735;-17;-222.0;-884.0
111.0;593.0;-717.0;-26;-34.0;736;-26;-612.0;-751.0
118.0;?;-254.0;?;-248.0;738;-4;-559.0;-325.0
77.0;?;190.0;?;-198.0;740;24;-161.0;165.0
99.0;-153.0;447.0;8;-164.0;739;8;134.0;346.0
?;-195.0;537.0;8;-140.0;737;8;70.0;575.0
33.0;-158.0;552.0;16;-94.0;743;?;-2.0;469.0
-1.0;-109.0;?;-4;-10.0;?;?;-10.0;?
5.0;-83.0;823.0;15;?;739;15;2.0;?
-68.0;628.0;?;-3;-19.0;734;-3;?;-230.0
40.0;872.0;-471.0;-3;?;740;?;?;-535.0
?;829.0;-670.0;?;30.0;744;-10;?;?
246.0;?;-867.0;-1;115.0;?;?;-163.0;-564.0
196.0;702.0;-1174.0;?;?;?;?;379.0;-382.0
80.0;904.0;-1439.0;-26;8.0;741;-26;728.0;-237.0
-206.0;?;-1564.0;14;-102.0;?;14;939.0;44.0
-183.0;1385.0;-1519.0;-10;?;736;?;473.0;?
-182.0;?;-1301.0;-37;-138.0;?;?;274.0;560.0
-201.0;1806.0;-1219.0;-1;?;740;-1;279.0;656.0
-230.0;2075.0;-1058.0;-28;15.0;741;-28;9.0;?
-257.0;1747.0;-516.0;-8;-24.0;734;-8;?;?
-399.0;1616.0;?;-20;-159.0;741;-20;?;-787.0
-409.0;?;-129.0;-34;-150.0;741;-34;-98.0;-152.0
-386.0;1330.0;31.0;-25;-104.0;?;-25;91.0;295.0
?;940.0;235.0;-35;-88.0;748;-35;620.0;326.0
-447.0;836.0;92.0;?;-129.0;742;?;737.0;706.0
-438.0;709.0;-55.0;-72;-160.0;774;?;?;705.0
-407.0;517.0;-39.0;-65;-185.0;757;-65;461.0;344.0
-395.0;472.0;?;-515;-257.0;?;-515;261.0;192.0
-356.0;516.0;-199.0;-515;-230.0;992;-515;49.0;-79.0
-300.0;352.0;-101.0;649;-82.0;1020;649;-230.0;?
?;196.0;-31.0;812;41.0;946;?;-360.0;-652.0
-86.0;34.0;?;344;?;?;344;-478.0;-585.0
-4.0;?;37.0;186;201.0;?;?;-446.0;-403.0
-4.0;-240.0;-6.0;?;239.0;663;155;-320.0;-147.0
13.0;-382.0;?;531;342.0;708;531;-162.0;20.0
57.0;-481.0;-138.0;745;?;693;745;19.0;147.0
11.0;-495.0;-166.0;689;368.0;?;689;?;209.0
47.0;?;-94.0;452;290.0;787;452;?;200.0
47.0;?;?;?;?;1023;269;6.0;60.0
?;?;11.0;?;151.0;?;356;?;?
17.0;9.0;31.0;?;46.0;?;271;-370.0;-347.0
?;123.0;42.0;68;-13.0;980;68;-459.0;-500.0
-52.0;209.0;?;140;-78.0;924;?;-315.0;?
-99.0;240.0;24.0;221;-119.0;973;221;-178.0;-482.0
-189.0;328.0;28.0;274;-128.0;884;274;-162.0;-395.0
-195.0;419.0;59.0;336;-79.0;859;336;-284.0;?
-219.0;392.0;68.0;186;-3.0;966;186;-265.0;?
-193.0;391.0;17.0;-66;41.0;957;-66;-94.0;?
-152.0;?;41.0;-262;10.0;929;-262;?;-289.0
-89.0;?;96.0;-169;0.0;937;-169;151.0;-157.0
-106.0;267.0;48.0;69;-23.0;922;69;202.0;?
-72.0;198.0;51.0;?;-8.0;938;229;137.0;-31.0
-4.0;153.0;?;?;?;905;389;47.0;-66.0
42.0;98.0;57.0;392;-50.0;888;392;35.0;-36.0
93.0;61.0;48.0;299;?;984;?;138.0;63.0
131.0;-24.0;77.0;276;-116.0;815;276;143.0;138.0
141.0;-19.0;?;?;-163.0;1007;280;127.0;121.0
146.0;23.0;101.0;278;-197.0;?;278;51.0;40.0
148.0;100.0;113.0;259;-268.0;634;?;-77.0;-89.0
134.0;127.0;140.0;210;?;?;210;-190.0;-202.0
109.0;225.0;177.0;-15;-336.0;-923;-15;?;-345.0
117.0;262.0;171.0;-507;-329.0;854;-507;-505.0;?
81.0;166.0;222.0;-674;-306.0;2303;-674;?;-595.0
10.0;69.0;169.0;-249;?;288;-249;-545.0;-472.0
-105.0;?;?;52;-298.0;639;52;-210.0;-314.0
-164.0;-35.0;179.0;17;-374.0;853;17;-186.0;?
729.0;-194.0;259.0;?;-346.0;462;?;-900.0;?
530.0;-314.0;99.0;7;-18.0;817;7;-40.0;-409.0
356.0;-446.0;-177.0;10;?;691;10;163.0;107.0
160.0;-553.0;-290.0;18;165.0;745;18;?;261.0
-47.0;-636.0;-257.0;-8;270.0;742;-8;617.0;563.0
-278.0;-561.0;-226.0;-21;?;?;-21;660.0;647.0
-118.0;-333.0;-9.0;14;213.0;732;14;393.0;506.0
23.0;?;?;7;137.0;731;7;?;253.0
102.0;192.0;141.0;-13;?;728;?;-18.0;?
55.0;337.0;120.0;-1;54.0;737;-1;-10.0;-217.0
-35.0;272.0;72.0;-1;86.0;732;?;?;-211.0
?;264.0;?;11;85.0;712;?;?;42.0
-19.0;295.0;123.0;22;38.0;752;22;224.0;202.0
?;237.0;127.0;-5;?;709;?;200.0;201.0
-16.0;209.0;46.0;35;119.0;800;?;?;146.0
?;113.0;8.0;202;175.0;973;202;?;122.0
-111.0;65.0;?;239;142.0;826;239;283.0;146.0
-72.0;43.0;-71.0;?;142.0;774;63;272.0;171.0
?;12.0;-58.0;66;149.0;870;66;181.0;?
-177.0;11.0;-63.0;188;177.0;781;188;158.0;137.0
-264.0;25.0;-62.0;154;?;791;154;183.0;149.0
-209.0;28.0;-40.0;0;190.0;875;0;129.0;130.0
-169.0;57.0;-72.0;?;164.0;829;-114;126.0;138.0
?;86.0;?;?;165.0;857;-109;47.0;91.0
?;80.0;?;-173;?;870;-173;?;?
-326.0;107.0;-91.0;-16;111.0;872;-16;-50.0;31.0
-319.0;149.0;-57.0;240;29.0;?;240;-123.0;-34.0
-306.0;246.0;-47.0;137;-35.0;?;137;-304.0;-167.0
?;248.0;?;53;?;?;53;-416.0;-296.0
-163.0;302.0;-39.0;56;-124.0;?;?;-528.0;-471.0
-131.0;272.0;-67.0;-2;?;950;-2;-496.0;?
-89.0;?;-34.0;-56;-187.0;?;-56;-406.0;?
-49.0;?;-43.0;?;-172.0;?;-133;-174.0;-266.0
-52.0;113.0;?;?;-184.0;922;-236;-54.0;-52.0
-38.0;66.0;-69.0;-249;?;922;-249;-73.0;-53.0
23.0;1.0;?;-125;-159.0;?;-125;-117.0;-142.0
2.0;-6.0;-68.0;-124;-122.0;963;-124;?;-162.0
?;-4.0;-56.0;39;-113.0;?;39;-84.0;-125.0
?;14.0;?;130;-95.0;?;130;-50.0;-33.0
94.0;-21.0;11.0;155;-123.0;929;155;-45.0;-14.0
127.0;-71.0;?;250;-134.0;779;250;-21.0;-34.0
160.0;-84.0;54.0;?;?;?;-155;85.0;24.0
158.0;-30.0;?;?;-159.0;510;430;109.0;104.0
142.0;-8.0;118.0;-386;?;?;?;95.0;94.0
170.0;25.0;122.0;135;-191.0;-32;135;24.0;?
170.0;87.0;165.0;19;-198.0;-646;19;-62.0;?
176.0;69.0;159.0;?;-249.0;5292;-5439;?;-81.0
?;113.0;152.0;-3074;-319.0;3399;-3074;-131.0;-155.0
142.0;?;156.0;1037;-331.0;-579;1037;-174.0;-142.0
148.0;-35.0;?;-553;-341.0;1272;-553;?;-148.0
?;-39.0;2.0;102;?;616;102;40.0;15.0
182.0;72.0;222.0;?;177.0;636;80;?;?
-142.0;-118.0;9.0;-164;-346.0;917;-164;60.0;-225.0
-43.0;-136.0;-145.0;?;-356.0;575;159;-20.0;55.0
1.0;?;-312.0;-109;-337.0;827;?;-172.0;-158.0
-66.0;?;?;29;-276.0;689;29;?;?
?;-165.0;-180.0;2;-150.0;735;2;-122.0;-153.0
-135.0;-43.0;-7.0;-33;-342.0;739;?;-226.0;-214.0
-75.0;26.0;?;-44;-435.0;723;?;?;-71.0
66.0;136.0;131.0;-41;-408.0;734;?;-377.0;-37.0
?;?;64.0;-4;-233.0;730;-4;-408.0;-266.0
97.0;33.0;38.0;-10;-144.0;?;-10;-143.0;-245.0
?;?;50.0;-29;-76.0;733;-29;36.0;25.0
138.0;32.0;114.0;47;-43.0;?;47;83.0;273.0
109.0;75.0;134.0;?;-9.0;?;58;162.0;314.0
?;105.0;146.0;?;-13.0;733;-9;77.0;?
90.0;126.0;132.0;99;?;791;99;-21.0;-6.0
37.0;175.0;?;338;-41.0;932;338;-55.0;-75.0
22.0;208.0;67.0;322;-20.0;910;322;-2.0;-36.0
-2.0;?;53.0;80;-11.0;811;80;-7.0;?
-35.0;190.0;-7.0;44;20.0;827;44;?;?
-50.0;180.0;-47.0;44;133.0;?;44;9.0;?
?;136.0;-61.0;-144;192.0;890;?;39.0;-100.0
-132.0;45.0;?;-181;189.0;812;-181;128.0;?
-108.0;?;-210.0;-77;?;?;?;211.0;103.0
?;-60.0;?;-146;337.0;898;-146;211.0;164.0
-159.0;?;-236.0;-262;?;898;?;188.0;?
-163.0;-95.0;-229.0;-237;?;880;-237;132.0;12.0
?;-109.0;-228.0;?;419.0;912;-168;190.0;?
-192.0;?;-223.0;-170;399.0;?;-170;183.0;119.0
-236.0;?;-211.0;-139;364.0;912;-139;159.0;?
-222.0;-151.0;-205.0;?;372.0;936;?;114.0;?
-244.0;-109.0;-215.0;75;?;941;75;107.0;?
-215.0;?;-225.0;46;301.0;932;?;143.0;59.0
-224.0;-93.0;-218.0;?;?;936;18;?;?
-193.0;-87.0;-167.0;-21;330.0;935;?;158.0;85.0
-152.0;16.0;?;-72;?;939;-72;101.0;48.0
-138.0;63.0;-55.0;-51;268.0;?;-51;165.0;80.0
-70.0;104.0;-18.0;?;?;913;87;172.0;133.0
-84.0;101.0;-1.0;199;130.0;929;?;149.0;109.0
-20.0;128.0;?;159;98.0;888;?;141.0;99.0
39.0;115.0;60.0;193;?;919;193;126.0;?
27.0;146.0;85.0;304;32.0;903;304;143.0;102.0
?;111.0;?;?;?;819;?;104.0;111.0
39.0;?;?;471;?;987;?;227.0;127.0
30.0;-6.0;158.0;131;100.0;528;?;298.0;269.0
11.0;-4.0;94.0;?;4.0;353;-277;371.0;?
?;?;135.0;-206;-106.0;236;-206;?;?
114.0;?;160.0;-345;-315.0;-407;-345;?;130.0
?;194.0;217.0;-486;-411.0;512;-486;-118.0;-82.0
?;247.0;247.0;?;?;1036;?;?;-281.0
162.0;?;180.0;30;-608.0;607;30;-294.0;-397.0
?;304.0;398.0;-87;-289.0;?;-87;-598.0;-376.0
394.0;65.0;192.0;36;-351.0;703;36;-705.0;-578.0
136.0;-248.0;124.0;31;-57.0;712;?;44.0;-165.0
176.0;-405.0;-172.0;7;?;753;7;-20.0;90.0
10.0;-610.0;-251.0;14;91.0;708;14;324.0;293.0
-129.0;-673.0;?;-43;?;733;?;492.0;571.0
?;?;-243.0;?;?;717;?;?;?
?;-371.0;-43.0;?;194.0;?;?;145.0;308.0
?;?;73.0;-36;62.0;726;-36;-6.0;155.0
-55.0;-38.0;99.0;-16;26.0;733;?;-333.0;-110.0
56.0;?;?;?;-19.0;727;-39;-413.0;-359.0
81.0;54.0;-24.0;-28;?;?;?;-198.0;-416.0
89.0;?;-37.0;15;3.0;716;15;12.0;-160.0
75.0;53.0;-8.0;29;49.0;722;29;186.0;173.0
66.0;132.0;13.0;1;?;740;1;241.0;235.0
96.0;196.0;47.0;-36;-35.0;727;?;98.0;77.0
93.0;229.0;68.0;42;-46.0;760;42;?;-112.0
78.0;268.0;?;?;?;706;-8;68.0;-120.0
42.0;248.0;56.0;76;?;?;76;?;?
23.0;249.0;31.0;244;-101.0;?;244;135.0;49.0
?;231.0;-23.0;12;?;812;12;139.0;25.0
-68.0;200.0;-50.0;?;-76.0;?;-40;86.0;-39.0
-71.0;?;-74.0;-86;0.0;775;-86;22.0;?
-136.0;94.0;?;-22;15.0;784;-22;-4.0;-57.0
-119.0;49.0;?;160;?;890;?;-40.0;-52.0
-97.0;41.0;?;-82;133.0;891;-82;-50.0;-50.0
-142.0;-24.0;-167.0;-140;122.0;893;-140;46.0;?
-99.0;?;-174.0;-136;236.0;893;-136;86.0;75.0
-159.0;-107.0;?;?;275.0;?;?;94.0;96.0
-39.0;-109.0;-119.0;-338;289.0;895;-338;?;?
-52.0;-120.0;-142.0;?;?;900;-349;69.0;22.0
-95.0;-143.0;?;-313;?;919;?;?;77.0
?;-132.0;-214.0;-293;266.0;920;-293;134.0;?
-171.0;?;-171.0;-186;255.0;919;-186;17.0;?
-203.0;-61.0;-168.0;36;225.0;?;36;-97.0;-100.0
-141.0;-34.0;-154.0;236;263.0;907;236;-106.0;-113.0
-127.0;-72.0;-194.0;250;?;931;?;?;-57.0
?;?;-111.0;172;371.0;953;172;174.0;53.0
-35.0;-30.0;-80.0;130;315.0;?;?;314.0;254.0
?;?;?;?;185.0;937;35;282.0;?
-84.0;125.0;-39.0;113;54.0;962;?;?;113.0
-79.0;212.0;-23.0;-57;-87.0;944;-57;?;-84.0
-11.0;?;48.0;-284;-75.0;?;?;-167.0;-227.0
17.0;202.0;?;80;?;905;80;-86.0;-149.0
25.0;133.0;?;221;-71.0;897;221;?;-31.0
79.0;?;?;293;-148.0;1020;293;70.0;66.0
115.0;184.0;133.0;330;?;805;330;-94.0;-108.0
150.0;113.0;169.0;505;-169.0;891;505;-103.0;-186.0
230.0;81.0;?;-53;?;?;-53;-1.0;14.0
260.0;-33.0;285.0;-565;?;-12;-565;126.0;218.0
254.0;-27.0;292.0;84;-122.0;?;84;173.0;271.0
250.0;?;287.0;?;?;-942;-1767;164.0;256.0
211.0;19.0;280.0;-2011;-158.0;-820;-2011;29.0;142.0
?;1.0;?;305;-173.0;963;305;?;21.0
142.0;?;125.0;-19;-223.0;706;?;-14.0;?
528.0;102.0;385.0;-114;-40.0;655;-114;-369.0;-111.0
?;?;124.0;215;-50.0;?;215;-269.0;-226.0
221.0;?;-94.0;-31;125.0;650;-31;302.0;?
272.0;-398.0;-259.0;64;222.0;?;64;319.0;?
?;-506.0;-265.0;-1;232.0;716;-1;545.0;358.0
?;-519.0;-251.0;-1;243.0;731;?;?;?
205.0;-391.0;-135.0;14;397.0;738;14;475.0;372.0
170.0;-236.0;-39.0;7;203.0;?;7;522.0;403.0
52.0;-109.0;36.0;3;68.0;732;3;254.0;351.0
122.0;56.0;-10.0;-11;51.0;722;-11;-61.0;52.0
149.0;154.0;-31.0;18;-37.0;726;18;-138.0;-311.0
191.0;186.0;-15.0;59;-198.0;727;59;-190.0;-357.0
155.0;151.0;29.0;55;?;729;?;-104.0;?
72.0;?;?;50;-221.0;725;?;-63.0;?
16.0;104.0;111.0;?;-217.0;725;59;-7.0;-49.0
105.0;?;82.0;-4;-252.0;740;?;-178.0;-149.0
13.0;32.0;?;31;-12.0;733;31;-149.0;-133.0
31.0;?;-46.0;-4;-77.0;744;-4;?;?
?;-68.0;-41.0;0;35.0;?;0;153.0;?
34.0;-111.0;-39.0;?;79.0;766;349;211.0;253.0
2.0;-50.0;-27.0;-106;107.0;?;?;169.0;106.0
?;-9.0;-45.0;-706;115.0;760;-706;95.0;?
?;31.0;-74.0;?;113.0;768;?;?;?
-87.0;61.0;-18.0;-622;99.0;823;-622;156.0;110.0
-133.0;119.0;-63.0;-485;42.0;836;-485;112.0;102.0
-178.0;?;-74.0;-548;-33.0;856;-548;34.0;28.0
-266.0;250.0;?;?;-26.0;863;-493;-81.0;-93.0
-262.0;?;?;-240;-12.0;840;-240;-206.0;-204.0
-267.0;225.0;-123.0;-312;35.0;854;-312;?;-259.0
-333.0;?;?;-248;51.0;?;-248;-267.0;-251.0
-353.0;?;?;?;87.0;899;-233;?;-234.0
-355.0;98.0;-156.0;-93;?;854;-93;?;?
?;30.0;-187.0;21;188.0;923;?;-137.0;?
-339.0;-43.0;-168.0;12;197.0;961;12;-53.0;-40.0
-313.0;?;-119.0;166;251.0;894;166;?;9.0
-337.0;-53.0;-89.0;186;?;973;186;?;-24.0
-337.0;2.0;-72.0;105;162.0;1001;105;-52.0;-127.0
-380.0;32.0;-70.0;-131;135.0;939;-131;?;-139.0
-444.0;134.0;?;-293;107.0;959;-293;-147.0;-59.0
-284.0;173.0;-82.0;-98;11.0;963;-98;-204.0;-112.0
-206.0;222.0;-55.0;101;-6.0;926;101;-208.0;?
-126.0;226.0;?;86;-5.0;919;86;-130.0;-182.0
?;?;34.0;?;-23.0;937;-40;7.0;-9.0
-5.0;152.0;29.0;-47;-20.0;965;-47;?;101.0
23.0;87.0;52.0;39;37.0;926;39;136.0;79.0
12.0;24.0;3.0;223;10.0;931;?;131.0;108.0
27.0;41.0;?;425;5.0;939;425;179.0;175.0
48.0;33.0;75.0;547;13.0;905;547;118.0;99.0
27.0;62.0;117.0;595;12.0;?;595;?;63.0
56.0;104.0;?;?;-27.0;825;420;?;8.0
44.0;109.0;125.0;893;-126.0;808;893;-51.0;-20.0
76.0;119.0;124.0;959;-151.0;?;959;-89.0;?
?;54.0;122.0;99;-140.0;-216;99;?;-4.0
44.0;65.0;140.0;-108;-143.0;342;-108;-11.0;58.0
-15.0;101.0;141.0;-581;-176.0;1095;-581;-90.0;-3.0
?;?;205.0;-725;-248.0;958;-725;-322.0;-227.0
178.0;?;220.0;-7;-242.0;723;?;-407.0;-403.0
485.0;-64.0;?;37;-249.0;711;37;-88.0;-230.0
675.0;?;210.0;-121;-124.0;721;-121;?;-101.0
578.0;-393.0;32.0;-9;-71.0;723;-9;?;?
546.0;-595.0;-130.0;2;?;?;?;503.0;319.0
465.0;-694.0;-202.0;-30;39.0;723;-30;742.0;?
320.0;-753.0;-308.0;-15;20.0;731;-15;972.0;?
131.0;-621.0;-280.0;-20;-38.0;730;-20;?;865.0
97.0;-336.0;?;7;-213.0;719;?;471.0;613.0
43.0;-16.0;14.0;33;-441.0;?;33;3.0;92.0
?;232.0;?;16;?;728;16;-406.0;-396.0
65.0;?;170.0;9;?;724;9;?;?
138.0;359.0;?;?;?;724;13;?;-595.0
135.0;271.0;114.0;21;-475.0;730;21;-260.0;-329.0
?;261.0;100.0;?;?;733;12;-155.0;-60.0
?;?;88.0;-7;-421.0;731;?;-30.0;?
?;?;92.0;-11;-582.0;?;?;-96.0;-71.0
-188.0;322.0;48.0;-11;-721.0;728;-11;?;-245.0
-201.0;?;93.0;-8;-662.0;728;-8;?;-489.0
-74.0;?;133.0;0;-621.0;728;0;-683.0;-624.0
30.0;294.0;?;-9;-578.0;731;-9;-662.0;-637.0
?;123.0;-1.0;-6;-503.0;731;?;-519.0;-554.0
164.0;-8.0;?;13;-382.0;730;?;-415.0;-357.0
127.0;-145.0;-96.0;21;?;727;?;-245.0;-261.0
91.0;-259.0;-121.0;3;-164.0;?;3;-153.0;?
?;-288.0;-152.0;-10;-139.0;727;-10;4.0;-55.0
114.0;-301.0;?;0;-127.0;727;0;52.0;49.0
110.0;-275.0;-121.0;-3;?;729;-3;31.0;54.0
115.0;-155.0;-91.0;11;-307.0;?;11;-12.0;-26.0
7.0;-55.0;-28.0;?;-260.0;728;-3;-185.0;?
34.0;-37.0;?;-17;?;728;-17;?;-201.0
?;-23.0;16.0;10;-137.0;723;10;-137.0;-125.0
84.0;-49.0;17.0;-6;-95.0;723;-6;35.0;20.0
76.0;-40.0;27.0;-3;-69.0;723;-3;111.0;?
?;12.0;37.0;28;-36.0;724;28;124.0;?
32.0;85.0;80.0;21;-76.0;?;21;48.0;90.0
87.0;132.0;92.0;-18;-63.0;726;?;101.0;42.0
73.0;170.0;97.0;-20;-60.0;730;-20;?;80.0
60.0;?;?;?;-68.0;726;?;65.0;8.0
-33.0;172.0;71.0;?;-24.0;724;5;?;-76.0
?;143.0;49.0;4;-15.0;726;4;?;-47.0
-5.0;68.0;2.0;-15;92.0;727;-15;-35.0;-48.0
-14.0;8.0;-9.0;-37;?;?;?;27.0;14.0
-54.0;2.0;9.0;19;?;721;?;75.0;?
-84.0;?;-3.0;28;75.0;726;?;-23.0;?
12.0;-19.0;?;5;-15.0;727;5;-80.0;?
3.0;-11.0;-75.0;19;?;724;?;-103.0;-105.0
?;-61.0;-55.0;?;33.0;730;-2;-82.0;-44.0
-45.0;-111.0;-59.0;-7;4.0;733;-7;-82.0;-61.0
?;-76.0;-54.0;1;?;726;1;-79.0;-100.0
-1.0;?;-43.0;-38;-5.0;723;?;-99.0;-104.0
12.0;-61.0;-69.0;-17;-27.0;731;-17;?;-108.0
-12.0;-130.0;-85.0;0;13.0;727;0;-33.0;-67.0
18.0;-151.0;-89.0;-8;71.0;723;-8;-41.0;-77.0
30.0;?;-86.0;?;130.0;727;23;42.0;-24.0
?;-176.0;-86.0;21;193.0;725;21;170.0;106.0
?;?;-90.0;26;212.0;731;26;260.0;?
?;-110.0;-19.0;?;321.0;735;25;?;174.0
46.0;-116.0;0.0;-5;?;730;-5;?;181.0
-26.0;-51.0;?;-5;424.0;726;-5;178.0;?
-121.0;?;-6.0;?;?;730;22;?;203.0
-138.0;30.0;?;13;?;739;13;?;285.0
-21.0;45.0;56.0;-20;451.0;?;?;290.0;363.0
-11.0;?;29.0;-2;391.0;727;-2;330.0;283.0
-33.0;98.0;6.0;6;450.0;724;6;327.0;245.0
-65.0;82.0;-25.0;-13;500.0;726;-13;378.0;262.0
?;56.0;-24.0;1;486.0;730;1;355.0;267.0
-45.0;?;-73.0;?;?;732;1;415.0;334.0
?;7.0;-93.0;-10;583.0;726;-10;486.0;352.0
-142.0;?;?;-6;343.0;720;?;532.0;382.0
?;18.0;-151.0;?;107.0;?;0;?;365.0
-95.0;104.0;-154.0;-13;-148.0;?;-13;239.0;152.0
?;200.0;-103.0;12;?;727;12;-127.0;-168.0
-19.0;309.0;-71.0;18;?;728;18;-372.0;?
-17.0;329.0;?;-45;-403.0;734;-45;-413.0;-593.0
10.0;286.0;65.0;?;-362.0;727;18;?;?
47.0;171.0;115.0;50;?;722;?;-476.0;-438.0
28.0;2.0;?;-18;?;726;-18;-347.0;-318.0
-9.0;-96.0;41.0;?;-78.0;729;21;-234.0;-201.0
-7.0;?;34.0;29;-55.0;729;29;-178.0;-55.0
13.0;-237.0;4.0;-11;-35.0;730;-11;-112.0;80.0
?;?;12.0;10;35.0;725;10;-2.0;?
85.0;-287.0;?;34;50.0;?;?;-60.0;?
43.0;-304.0;27.0;-1;117.0;727;-1;-30.0;103.0
43.0;?;17.0;-31;?;725;-31;51.0;144.0
52.0;-161.0;25.0;-4;137.0;726;-4;58.0;151.0
84.0;-98.0;58.0;-1;102.0;731;-1;79.0;120.0
68.0;-38.0;?;9;139.0;730;9;97.0;68.0
156.0;28.0;?;?;?;728;-1;62.0;34.0
?;70.0;?;-19;?;727;-19;94.0;?
69.0;?;15.0;0;4.0;?;0;153.0;29.0
35.0;141.0;-23.0;-11;-2.0;737;-11;142.0;33.0
27.0;118.0;-10.0;16;-18.0;734;16;122.0;1.0
43.0;?;-3.0;25;-49.0;728;?;?;-15.0
-27.0;93.0;-62.0;-9;?;730;?;158.0;?
-154.0;91.0;-138.0;-9;-1.0;729;-9;222.0;91.0
