InertialMeasurementUnit BACK accY;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-197.0;-258.0;-4;20;654;-172.0;399.0;-4;-405.0;25;-41
-201.0;-6.0;1;20;659;9.0;401.0;1;-382.0;21;-40
-202.0;-35.0;-5;23;654;-15.0;400.0;-5;-377.0;24;-40
-257.0;-47.0;-26;20;660;8.0;447.0;-26;-257.0;17;-42
-199.0;-37.0;6;14;661;-17.0;399.0;6;-376.0;22;-40
-42.0;-222.0;-21;11;750;-109.0;604.0;-21;-211.0;21;-50
-154.0;-115.0;-82;17;656;-77.0;367.0;-82;-428.0;-4;-41
-207.0;-95.0;36;16;674;-30.0;521.0;36;-469.0;37;-40
-249.0;79.0;-762;-1099;2122;513.0;880.0;-762;-485.0;336;-84
-145.0;-115.0;57;18;723;50.0;475.0;57;-569.0;43;-46
-276.0;-181.0;8;17;655;-123.0;447.0;8;-263.0;12;-42
-62.0;-76.0;-10;17;747;-24.0;605.0;-10;-157.0;24;-50
-63.0;-43.0;-10;16;741;12.0;608.0;-10;-154.0;26;-50
-262.0;-161.0;5;19;657;-74.0;449.0;5;-403.0;11;-42
-163.0;-247.0;1;17;702;-144.0;837.0;1;-81.0;43;-46
-196.0;-212.0;28;20;658;-176.0;460.0;28;-390.0;36;-43
-177.0;-42.0;11;22;650;-6.0;357.0;11;-321.0;5;-45
-60.0;-58.0;-46;11;749;-90.0;615.0;-46;-220.0;25;-50
-151.0;56.0;-12;22;652;-25.0;360.0;-12;-337.0;6;-45
-167.0;-89.0;28;19;658;-47.0;363.0;28;-372.0;9;-45
-312.0;-339.0;73;30;650;-261.0;421.0;73;-410.0;-1;-55
-229.0;65.0;24;21;667;-43.0;480.0;24;-498.0;42;-43
-268.0;-108.0;0;13;660;-47.0;446.0;0;-409.0;14;-42
-9.0;-52.0;-682;2270;2637;241.0;902.0;-682;-123.0;-1294;-14
4.0;-182.0;1338;-1526;-1894;28.0;783.0;1338;-43.0;265;-22
78.0;-211.0;-12;12;755;-73.0;588.0;-12;-113.0;28;-50
28.0;-126.0;15;2;759;-234.0;591.0;15;-106.0;20;-50
80.0;-153.0;-13;13;747;-90.0;568.0;-13;-139.0;20;-50
-175.0;-32.0;28;17;669;-4.0;485.0;28;-514.0;17;-43
-163.0;-98.0;-4;20;664;-56.0;483.0;-4;-474.0;11;-43
-167.0;-64.0;-22;19;668;-93.0;484.0;-22;-469.0;11;-43
-168.0;-77.0;14;23;663;-18.0;481.0;14;-459.0;10;-43
-166.0;-56.0;16;16;671;-22.0;482.0;16;-456.0;9;-43
-161.0;-69.0;-16;18;669;-31.0;481.0;-16;-445.0;9;-43
-162.0;-42.0;-28;21;667;-55.0;480.0;-28;-438.0;11;-43
-159.0;-31.0;-9;17;678;52.0;485.0;-9;-450.0;18;-43
-174.0;-161.0;41;14;663;-115.0;492.0;41;-518.0;30;-43
-48.0;281.0;-646;31;665;60.0;639.0;-646;-425.0;-102;-44
-68.0;-280.0;-65;15;664;-221.0;501.0;-65;-486.0;8;-44
-6.0;-135.0;-41;875;599;-47.0;483.0;-41;-613.0;111;39
-97.0;-35.0;3;453;691;-10.0;472.0;3;-316.0;40;15
-222.0;-177.0;26;18;664;-162.0;428.0;26;-627.0;8;-55
-9.0;403.0;1070;-89;691;56.0;447.0;1070;-303.0;4;-45
-131.0;789.0;2084;752;428;699.0;278.0;2084;230.0;581;-70
-92.0;-42.0;31;21;731;31.0;597.0;31;-350.0;3;-51
-126.0;-98.0;426;7;674;-41.0;427.0;426;-167.0;-2;-47
-64.0;-54.0;31;17;741;-5.0;612.0;31;-424.0;22;-50
-276.0;-92.0;-8;12;665;-50.0;447.0;-8;-401.0;15;-42
-59.0;-14.0;31;18;739;-56.0;610.0;31;-427.0;21;-50
-62.0;-86.0;10;11;742;-39.0;611.0;10;-429.0;18;-50
-65.0;-78.0;-3;10;747;-34.0;611.0;-3;-432.0;18;-50
-63.0;-80.0;-8;17;743;-51.0;603.0;-8;-416.0;21;-50
-72.0;-27.0;-2;14;745;-38.0;602.0;-2;-421.0;22;-50
-70.0;-45.0;-1;14;743;-37.0;602.0;-1;-419.0;23;-50
-63.0;-59.0;-24;12;744;-24.0;602.0;-24;-420.0;22;-50
-95.0;-160.0;11;8;748;-58.0;613.0;11;-410.0;23;-50
-141.0;-178.0;28;64;663;-183.0;495.0;28;-463.0;19;39
-69.0;45.0;-8;15;680;29.0;940.0;-8;-424.0;34;-43
-100.0;-31.0;-15;12;744;-22.0;609.0;-15;-408.0;24;-50
-266.0;-42.0;-14;19;663;1.0;516.0;-14;-534.0;23;-43
-62.0;-77.0;2;14;741;-38.0;610.0;2;-371.0;21;-50
-245.0;-112.0;13;23;658;-68.0;512.0;13;-536.0;23;-43
-138.0;-157.0;-40;16;756;-135.0;484.0;-40;-111.0;9;-51
-7.0;765.0;-3128;-343;1019;480.0;683.0;-3128;-356.0;-643;-53
-264.0;-56.0;-14;17;657;-65.0;451.0;-14;-467.0;14;-42
-122.0;-199.0;16;7;766;-213.0;494.0;16;-299.0;5;-51
-74.0;-447.0;-43;15;756;117.0;500.0;-43;-284.0;8;-52
-286.0;-203.0;-27;19;656;-114.0;464.0;-27;-526.0;16;-42
-157.0;-295.0;-14;-17;682;-204.0;405.0;-14;-113.0;3;-46
-307.0;-6.0;-8;18;660;-8.0;486.0;-8;-492.0;13;-42
-249.0;-182.0;-13;25;661;-253.0;515.0;-13;-537.0;22;-43
-12.0;-23.0;22;11;749;-83.0;600.0;22;-262.0;23;-50
-140.0;-58.0;20;6;763;86.0;509.0;20;-349.0;0;-51
-147.0;12.0;-1;18;750;35.0;502.0;-1;-336.0;2;-51
-303.0;58.0;7;20;658;114.0;484.0;7;-481.0;14;-42
-16.0;-84.0;30;21;740;-100.0;583.0;30;-104.0;24;-50
-121.0;36.0;17;15;760;-232.0;486.0;17;-271.0;8;-52
35.0;-53.0;-7;10;745;-79.0;569.0;-7;-49.0;17;-50
-147.0;218.0;-396;-1242;3328;-83.0;1231.0;-396;-780.0;-1144;-20
-222.0;299.0;-29;22;688;-816.0;420.0;-29;-198.0;64;-43
-148.0;-61.0;9;10;765;-192.0;497.0;9;-262.0;14;-52
-39.0;-149.0;0;17;744;131.0;605.0;0;-272.0;20;-50
-6.0;-36.0;-32;14;747;-49.0;549.0;-32;-5.0;23;-50
-162.0;79.0;-7;10;764;-28.0;499.0;-7;-263.0;11;-52
-131.0;-198.0;-16;10;762;-143.0;489.0;-16;-216.0;11;-52
-40.0;118.0;10;12;750;-146.0;607.0;10;-272.0;17;-50
-63.0;106.0;81;6;730;31.0;594.0;81;-319.0;25;-51
-152.0;81.0;-53;12;762;29.0;492.0;-53;-230.0;17;-52
-154.0;93.0;-4;13;755;-18.0;492.0;-4;-238.0;4;-52
-20.0;-66.0;-18;16;739;-47.0;580.0;-18;-198.0;14;-50
-90.0;60.0;-33;14;757;113.0;485.0;-33;-263.0;9;-52
-21.0;-34.0;27;7;748;-21.0;585.0;27;-210.0;19;-50
-20.0;-24.0;25;20;756;106.0;494.0;25;-293.0;21;-52
-438.0;-304.0;71;23;687;341.0;734.0;71;-407.0;-11;-37
-328.0;-114.0;-16;20;663;-94.0;275.0;-16;-36.0;15;-43
-186.0;-225.0;-5;15;656;30.0;441.0;-5;40.0;2;-40
-56.0;31.0;-1432;230;741;276.0;476.0;-1432;-580.0;-221;-47
-23.0;-25.0;22;12;740;16.0;588.0;22;-219.0;20;-50
-47.0;-77.0;7;15;740;-27.0;590.0;7;-229.0;15;-50
-152.0;-76.0;1;15;754;-8.0;506.0;1;-120.0;4;-52
-118.0;9.0;-12;11;760;-5.0;502.0;-12;-124.0;13;-52
-129.0;219.0;12;16;751;85.0;486.0;12;-53.0;12;-52
-98.0;-15.0;18;16;752;28.0;516.0;18;-155.0;5;-52
-97.0;-50.0;4;15;759;-32.0;506.0;4;-168.0;11;-52
-87.0;26.0;-29;13;759;-26.0;506.0;-29;-141.0;11;-52
-35.0;-87.0;-18;17;736;-15.0;598.0;-18;-276.0;14;-50
-163.0;-205.0;18;13;767;-144.0;510.0;18;-40.0;-12;-52
-515.0;-56.0;-15;18;665;36.0;-130.0;-15;529.0;-32;-39
-57.0;-57.0;-21;22;733;-50.0;602.0;-21;-257.0;15;-50
-162.0;113.0;-22;19;669;-90.0;397.0;-22;-497.0;25;-46
-146.0;44.0;14;15;742;-162.0;577.0;14;-183.0;27;-50
-204.0;-98.0;-4;16;662;-121.0;436.0;-4;-564.0;31;-45
-35.0;-58.0;-12;20;729;16.0;601.0;-12;-232.0;11;-50
-193.0;53.0;-77;18;628;115.0;433.0;-77;-371.0;-5;-39
-236.0;-374.0;65;23;657;-225.0;484.0;65;31.0;27;-43
-192.0;-177.0;-12;18;649;-137.0;468.0;-12;-68.0;-3;-39
-32.0;-54.0;-13;13;736;-24.0;611.0;-13;-183.0;10;-50
-76.0;-60.0;13;17;745;-41.0;618.0;13;-208.0;21;-50
-66.0;-58.0;-39;20;662;-200.0;400.0;-39;-187.0;38;-40
-15.0;-43.0;-24;14;741;-27.0;608.0;-24;-189.0;22;-50
-104.0;-148.0;-15;15;669;-70.0;406.0;-15;-150.0;39;-40
-87.0;-52.0;-21;16;669;-59.0;415.0;-21;-147.0;38;-40
-216.0;-143.0;-19;20;657;-100.0;438.0;-19;-563.0;32;-45
-200.0;-33.0;-10;15;663;-69.0;443.0;-10;-566.0;28;-45
-461.0;256.0;-33;43;650;275.0;583.0;-33;-285.0;-7;-25
-245.0;-783.0;-417;152;575;-732.0;336.0;-417;84.0;59;-67
-158.0;-52.0;-7;6;677;-57.0;613.0;-7;-222.0;30;-44
78.0;49.0;-11;-14;693;410.0;681.0;-11;-251.0;123;-43
-146.0;-61.0;-10;19;660;-13.0;612.0;-10;-310.0;38;-44
-82.0;100.0;16;18;656;5.0;428.0;16;-540.0;19;-32
-112.0;-23.0;-21;22;659;58.0;422.0;-21;-578.0;11;-32
-115.0;-181.0;-17;14;672;-125.0;424.0;-17;-572.0;19;-32
-127.0;-21.0;-28;21;671;11.0;413.0;-28;-520.0;16;-32
-127.0;-6.0;-31;13;671;7.0;412.0;-31;-509.0;15;-32
-125.0;96.0;-73;14;682;106.0;412.0;-73;-523.0;9;-32
-338.0;-118.0;30;19;660;-45.0;467.0;30;-433.0;29;-17
-364.0;-225.0;25;16;667;-71.0;471.0;25;-458.0;27;-17
-31.0;-82.0;-19;11;741;-31.0;606.0;-19;-186.0;18;-50
-26.0;-86.0;-30;12;741;-53.0;606.0;-30;-182.0;17;-50
-74.0;-84.0;-31;13;741;-49.0;613.0;-31;-208.0;13;-50
-77.0;-48.0;-41;12;748;-35.0;617.0;-41;-208.0;17;-50
-76.0;-41.0;-6;6;752;-48.0;616.0;-6;-214.0;21;-50
-71.0;-132.0;-17;15;747;-47.0;619.0;-17;-216.0;28;-50
-74.0;-75.0;-14;12;748;-39.0;620.0;-14;-217.0;19;-50
-175.0;220.0;-4;17;656;165.0;440.0;-4;-182.0;22;-45
-19.0;-114.0;-42;12;742;-220.0;596.0;-42;-176.0;22;-50
-211.0;120.0;1;23;660;317.0;451.0;1;-121.0;14;-42
-71.0;-45.0;25;21;741;-19.0;619.0;25;-211.0;27;-50
-2.0;-76.0;-41;12;742;-126.0;596.0;-41;-175.0;22;-50
15.0;-12.0;-3;14;738;-89.0;581.0;-3;-340.0;14;-50
-164.0;107.0;-28;17;660;62.0;-265.0;-28;-87.0;22;-44
-20.0;-125.0;-13;13;739;-102.0;611.0;-13;-284.0;-7;-50
-183.0;0.0;10;18;656;54.0;364.0;10;-377.0;3;-45
-81.0;-252.0;-39;23;734;-69.0;618.0;-39;-210.0;22;-50
-63.0;-70.0;-1;14;744;-77.0;619.0;-1;-223.0;21;-50
-69.0;-87.0;0;13;747;-6.0;619.0;0;-242.0;17;-50
-174.0;-90.0;11;20;656;-55.0;364.0;11;-374.0;11;-45
-72.0;-9.0;-29;15;748;-68.0;621.0;-29;-226.0;19;-50
-66.0;-96.0;24;20;738;-26.0;619.0;24;-243.0;29;-50
-242.0;-84.0;42;28;667;61.0;520.0;42;7.0;-8;-39
-67.0;158.0;-442;1079;98;527.0;950.0;-442;-778.0;285;-75
39.0;-879.0;19;12;750;-26.0;577.0;19;-254.0;21;-50
-54.0;1934.0;-2036;-420;1140;1655.0;562.0;-2036;-21.0;-273;-52
-125.0;-46.0;7;13;755;-7.0;612.0;7;152.0;27;-50
-150.0;-269.0;59;45;664;-110.0;291.0;59;141.0;27;-42
-234.0;109.0;-32;15;656;110.0;543.0;-32;-537.0;13;-39
-194.0;366.0;-2;19;651;398.0;450.0;-2;-528.0;16;-42
-124.0;-1659.0;0;12;754;-113.0;615.0;0;155.0;22;-50
-94.0;165.0;-32;14;754;-290.0;601.0;-32;144.0;25;-50
-348.0;-352.0;-177;-4;735;946.0;619.0;-177;-373.0;-55;-44
-130.0;202.0;19;14;758;-52.0;612.0;19;156.0;32;-50
-137.0;68.0;-66;18;654;-539.0;534.0;-66;-691.0;8;-39
-34.0;-496.0;94;46;649;-480.0;483.0;94;-746.0;-38;-31
-309.0;248.0;783;-893;2124;393.0;779.0;783;-598.0;264;-71
-404.0;-143.0;25;20;659;-129.0;-430.0;25;66.0;-6;-38
-500.0;-647.0;-25;28;677;-59.0;-365.0;-25;44.0;68;-44
-126.0;511.0;-40;11;746;-46.0;583.0;-40;-184.0;20;-50
-424.0;14.0;6;25;670;86.0;-359.0;6;30.0;5;-39
6.0;253.0;-137;46;584;177.0;532.0;-137;-532.0;140;-37
-126.0;-58.0;-8;16;746;-37.0;618.0;-8;143.0;21;-50
-285.0;-363.0;-20;19;672;-461.0;511.0;-20;-606.0;51;-43
-238.0;-362.0;2;17;677;-155.0;637.0;2;-611.0;8;-41
-379.0;-513.0;39;22;661;-210.0;472.0;39;-457.0;36;-17
-142.0;224.0;-26;-1;672;34.0;525.0;-26;-537.0;13;-43
99.0;2369.0;-73;21;660;308.0;445.0;-73;-211.0;26;-43
-295.0;111.0;-8;16;669;156.0;-72.0;-8;-10.0;12;-46
44.0;-425.0;-4;18;743;-62.0;577.0;-4;-207.0;18;-50
-361.0;-808.0;-34;10;662;-910.0;504.0;-34;-490.0;23;-36
-407.0;-134.0;16;15;656;78.0;594.0;16;-577.0;11;-43
-282.0;-588.0;1352;-1578;2392;-618.0;905.0;1352;-217.0;-36;-71
-308.0;-417.0;-22;21;657;-447.0;291.0;-22;13.0;0;-42
-500.0;-139.0;-45;-12;687;55.0;488.0;-45;-403.0;-4;-44
-159.0;-323.0;-23;9;756;27.0;510.0;-23;111.0;7;-52
-384.0;134.0;0;19;668;634.0;493.0;0;-375.0;28;-43
-175.0;792.0;-70;45;656;-37.0;293.0;-70;77.0;44;-38
-292.0;-1102.0;786;12;570;-974.0;506.0;786;-533.0;101;-49
-419.0;-126.0;-1;24;655;1.0;496.0;-1;-627.0;30;-40
-155.0;364.0;14;19;655;351.0;544.0;14;-858.0;13;-41
-306.0;-808.0;-252;117;533;-696.0;1101.0;-252;-757.0;31;-42
-151.0;2085.0;-651;349;542;2016.0;1252.0;-651;-441.0;18;-67
-68.0;879.0;-44;21;665;206.0;592.0;-44;-532.0;28;-44
-150.0;-5.0;-15;16;654;40.0;512.0;-15;-863.0;10;-41
-321.0;241.0;-52;7;690;-290.0;554.0;-52;-690.0;25;-29
-493.0;-11.0;42;45;658;74.0;472.0;42;-160.0;-29;-24
-209.0;997.0;-87;28;674;1018.0;601.0;-87;-522.0;37;-36
-52.0;-133.0;-12;17;675;411.0;596.0;-12;-422.0;20;-44
-330.0;-1632.0;-96;33;695;-1485.0;819.0;-96;-492.0;7;-39
-138.0;-147.0;-14;21;651;-134.0;513.0;-14;-869.0;12;-41
