Accelerometer LUA^ accY;InertialMeasurementUnit LUA magneticX;Accelerometer RKN^ accY;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit R-SHOE EuY
307.0;286.0;1021.0;144.0;21.0;848.0;32.0;-143.0;-564.0;-24
825.0;448.0;1267.0;129.0;-115.0;195.0;297.0;36.0;-776.0;-16
798.0;481.0;942.0;24.0;-416.0;140.0;103.0;227.0;-837.0;-19
915.0;356.0;917.0;59.0;-19.0;241.0;68.0;172.0;-842.0;-47
1135.0;352.0;991.0;-28.0;257.0;223.0;122.0;122.0;-936.0;-33
933.0;263.0;970.0;87.0;-4.0;230.0;113.0;150.0;-931.0;-34
890.0;337.0;1051.0;104.0;105.0;245.0;198.0;40.0;-1018.0;-32
1067.0;502.0;1066.0;114.0;33.0;192.0;207.0;125.0;-726.0;-39
942.0;381.0;941.0;454.0;426.0;267.0;165.0;112.0;-969.0;-19
898.0;382.0;986.0;56.0;270.0;265.0;240.0;10.0;-942.0;-34
936.0;516.0;989.0;98.0;578.0;-18.0;421.0;77.0;-894.0;-35
937.0;880.0;1014.0;4.0;-50.0;192.0;185.0;30.0;-986.0;-28
937.0;277.0;1004.0;104.0;-452.0;151.0;47.0;186.0;-990.0;-21
884.0;382.0;1033.0;-13.0;-322.0;-39.0;78.0;243.0;-1018.0;-31
940.0;767.0;1019.0;-36.0;18.0;134.0;219.0;248.0;-936.0;-23
800.0;963.0;981.0;56.0;-494.0;9.0;340.0;67.0;-850.0;-19
949.0;868.0;1030.0;48.0;-30.0;183.0;151.0;58.0;-969.0;-28
957.0;780.0;2015.0;-56.0;-119.0;-11.0;648.0;104.0;-1044.0;-66
901.0;642.0;1004.0;16.0;-111.0;153.0;319.0;16.0;-950.0;-29
881.0;553.0;1025.0;111.0;-181.0;140.0;377.0;12.0;-893.0;-27
912.0;549.0;991.0;285.0;-189.0;220.0;245.0;186.0;-955.0;-3
1100.0;954.0;1046.0;321.0;18.0;60.0;207.0;-8.0;-1234.0;-28
887.0;593.0;1006.0;8.0;-221.0;224.0;294.0;46.0;-915.0;-28
899.0;484.0;1195.0;-87.0;-208.0;-90.0;367.0;363.0;-1184.0;-39
880.0;390.0;1016.0;-47.0;352.0;279.0;250.0;-56.0;-929.0;-29
806.0;545.0;1070.0;415.0;280.0;246.0;276.0;130.0;-934.0;-16
894.0;295.0;714.0;619.0;-548.0;313.0;241.0;55.0;-887.0;-8
793.0;741.0;836.0;380.0;414.0;145.0;305.0;-84.0;-868.0;-24
730.0;773.0;758.0;-355.0;-468.0;183.0;245.0;91.0;-679.0;-19
915.0;948.0;1175.0;-422.0;-235.0;-61.0;403.0;172.0;-954.0;-53
833.0;525.0;717.0;-398.0;387.0;-3.0;187.0;163.0;-786.0;-51
920.0;591.0;1023.0;70.0;198.0;399.0;253.0;41.0;-976.0;-12
875.0;396.0;993.0;180.0;-332.0;60.0;419.0;43.0;-907.0;-25
761.0;330.0;1021.0;56.0;-593.0;453.0;258.0;-572.0;-780.0;-22
712.0;-382.0;295.0;875.0;-618.0;611.0;86.0;-710.0;-768.0;-72
735.0;128.0;935.0;402.0;-216.0;-443.0;596.0;154.0;-707.0;-28
750.0;513.0;1023.0;230.0;-95.0;155.0;72.0;225.0;-784.0;-24
776.0;340.0;980.0;-101.0;-333.0;343.0;437.0;300.0;-813.0;-21
992.0;859.0;919.0;176.0;198.0;306.0;91.0;160.0;-922.0;-26
751.0;838.0;906.0;-253.0;29.0;154.0;226.0;100.0;-779.0;-59
1054.0;953.0;540.0;1404.0;165.0;232.0;246.0;136.0;-912.0;-13
890.0;539.0;1020.0;110.0;-334.0;103.0;354.0;151.0;-923.0;-25
904.0;407.0;1502.0;1199.0;-15.0;136.0;374.0;127.0;-901.0;-24
829.0;422.0;1020.0;-20.0;-575.0;226.0;223.0;-68.0;-879.0;-23
940.0;742.0;1018.0;662.0;-265.0;168.0;240.0;452.0;-915.0;-46
869.0;228.0;1033.0;-23.0;-221.0;360.0;136.0;68.0;-1002.0;-28
752.0;417.0;1022.0;-48.0;-396.0;382.0;377.0;28.0;-815.0;-26
772.0;314.0;1644.0;23.0;-167.0;392.0;461.0;37.0;-834.0;-24
875.0;506.0;1020.0;-19.0;-170.0;329.0;286.0;156.0;-906.0;-26
959.0;1023.0;1041.0;71.0;224.0;124.0;240.0;138.0;-934.0;-19
855.0;509.0;1007.0;-13.0;-148.0;304.0;261.0;207.0;-916.0;-26
1089.0;739.0;1216.0;-343.0;-341.0;349.0;338.0;273.0;-1112.0;-24
937.0;537.0;1017.0;99.0;524.0;261.0;181.0;90.0;-959.0;-24
808.0;420.0;951.0;435.0;322.0;-171.0;399.0;25.0;-966.0;-29
968.0;546.0;1012.0;157.0;543.0;146.0;223.0;91.0;-999.0;-23
