Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer LUA^ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit RLA magneticX;Accelerometer RKN^ accX;Accelerometer RWR accY;InertialMeasurementUnit LLA magneticY;Accelerometer BACK accY
617.0;-698.0;916.0;341.0;320.0;222.0;-369.0;190.0;-192.0;418.0;847.0
-5.0;-928.0;1046.0;420.0;1162.0;-656.0;626.0;-220.0;810.0;138.0;765.0
276.0;-934.0;996.0;360.0;914.0;-838.0;140.0;750.0;678.0;443.0;911.0
594.0;-788.0;999.0;474.0;494.0;-83.0;-441.0;261.0;320.0;554.0;866.0
487.0;-907.0;1226.0;469.0;868.0;-802.0;258.0;326.0;586.0;311.0;985.0
340.0;-984.0;1077.0;415.0;719.0;-411.0;51.0;231.0;293.0;332.0;829.0
439.0;-895.0;889.0;287.0;768.0;-729.0;691.0;174.0;321.0;694.0;902.0
489.0;-785.0;938.0;439.0;510.0;-135.0;-30.0;242.0;61.0;656.0;879.0
294.0;-957.0;1034.0;411.0;634.0;-385.0;89.0;234.0;264.0;331.0;810.0
51.0;-874.0;958.0;231.0;951.0;-461.0;448.0;311.0;795.0;154.0;870.0
237.0;-838.0;1077.0;243.0;931.0;-777.0;38.0;182.0;328.0;109.0;810.0
504.0;-826.0;878.0;276.0;690.0;106.0;185.0;103.0;139.0;4.0;746.0
341.0;-988.0;1046.0;409.0;626.0;-418.0;138.0;249.0;253.0;297.0;797.0
258.0;-828.0;979.0;332.0;850.0;-790.0;640.0;420.0;574.0;-319.0;822.0
546.0;-992.0;945.0;243.0;447.0;-360.0;282.0;391.0;15.0;312.0;872.0
252.0;-996.0;994.0;404.0;767.0;-506.0;173.0;212.0;292.0;299.0;790.0
178.0;-933.0;1121.0;474.0;732.0;-228.0;31.0;236.0;479.0;345.0;790.0
280.0;-938.0;1023.0;349.0;873.0;-792.0;102.0;275.0;574.0;472.0;787.0
263.0;-1014.0;1025.0;464.0;585.0;-634.0;166.0;223.0;350.0;303.0;789.0
211.0;-925.0;1124.0;421.0;751.0;-384.0;174.0;250.0;500.0;299.0;773.0
311.0;-993.0;1041.0;468.0;663.0;-521.0;170.0;229.0;476.0;302.0;796.0
339.0;-1010.0;981.0;441.0;784.0;-508.0;169.0;240.0;210.0;307.0;765.0
156.0;-936.0;1079.0;332.0;1027.0;-809.0;494.0;113.0;806.0;-332.0;753.0
270.0;-898.0;1058.0;272.0;886.0;-820.0;87.0;89.0;619.0;489.0;827.0
244.0;-894.0;1101.0;466.0;848.0;-297.0;159.0;254.0;339.0;306.0;783.0
114.0;-1006.0;1114.0;576.0;1022.0;-907.0;766.0;327.0;841.0;-289.0;744.0
72.0;-1051.0;963.0;482.0;1033.0;-1029.0;765.0;16.0;744.0;421.0;647.0
80.0;-967.0;1085.0;443.0;855.0;-406.0;248.0;341.0;430.0;253.0;-197.0
279.0;-1034.0;1083.0;449.0;540.0;-567.0;123.0;254.0;463.0;335.0;784.0
260.0;-961.0;1090.0;446.0;717.0;-293.0;-326.0;235.0;499.0;555.0;781.0
277.0;-871.0;1120.0;685.0;1030.0;-525.0;-288.0;403.0;593.0;527.0;382.0
302.0;-1008.0;1086.0;568.0;873.0;-637.0;-391.0;193.0;533.0;609.0;471.0
20.0;-785.0;1113.0;569.0;1182.0;-688.0;251.0;424.0;901.0;-84.0;793.0
352.0;-927.0;842.0;370.0;1024.0;-691.0;144.0;265.0;539.0;543.0;828.0
282.0;-869.0;937.0;523.0;1026.0;-686.0;182.0;-13.0;545.0;731.0;783.0
376.0;-966.0;990.0;274.0;785.0;-635.0;-239.0;86.0;517.0;569.0;874.0
286.0;-846.0;1019.0;189.0;897.0;-764.0;881.0;395.0;768.0;512.0;1120.0
256.0;-892.0;1037.0;287.0;851.0;-669.0;177.0;270.0;520.0;618.0;922.0
-74.0;-954.0;1083.0;434.0;1011.0;-875.0;953.0;341.0;852.0;-330.0;-406.0
706.0;-741.0;818.0;462.0;-87.0;490.0;-613.0;451.0;-498.0;-95.0;659.0
1000.0;-243.0;329.0;376.0;-433.0;715.0;-61.0;276.0;-777.0;612.0;870.0
681.0;-865.0;838.0;435.0;419.0;-113.0;813.0;281.0;-10.0;-314.0;809.0
334.0;-929.0;961.0;339.0;818.0;-885.0;-5.0;199.0;593.0;6.0;909.0
-2.0;-921.0;1142.0;178.0;779.0;-418.0;678.0;-107.0;561.0;-106.0;742.0
104.0;-943.0;992.0;190.0;941.0;-382.0;398.0;318.0;789.0;211.0;878.0
257.0;-866.0;1086.0;201.0;924.0;-782.0;6.0;153.0;254.0;91.0;819.0
65.0;-877.0;1257.0;411.0;1267.0;-740.0;403.0;329.0;781.0;266.0;607.0
250.0;-951.0;1068.0;311.0;959.0;-815.0;-26.0;216.0;726.0;442.0;880.0
315.0;-968.0;1063.0;414.0;836.0;-918.0;165.0;-333.0;578.0;188.0;900.0
177.0;-974.0;969.0;355.0;971.0;-885.0;871.0;-276.0;688.0;-256.0;827.0
357.0;-934.0;1052.0;446.0;978.0;-783.0;243.0;103.0;703.0;683.0;904.0
236.0;-985.0;991.0;355.0;896.0;-876.0;885.0;191.0;633.0;43.0;888.0
179.0;-1035.0;1089.0;353.0;1099.0;-932.0;163.0;262.0;708.0;650.0;786.0
290.0;-974.0;1073.0;322.0;980.0;-829.0;0.0;190.0;750.0;554.0;904.0
255.0;-968.0;1124.0;329.0;929.0;-873.0;68.0;-9.0;896.0;704.0;769.0
326.0;-854.0;939.0;336.0;830.0;-801.0;220.0;280.0;620.0;656.0;821.0
128.0;-830.0;916.0;254.0;872.0;-759.0;237.0;233.0;721.0;-164.0;802.0
341.0;-687.0;1011.0;274.0;716.0;-548.0;948.0;401.0;789.0;477.0;1100.0
157.0;-966.0;867.0;332.0;896.0;-802.0;211.0;350.0;655.0;605.0;747.0
232.0;-973.0;1077.0;358.0;957.0;-832.0;65.0;-357.0;766.0;453.0;911.0
243.0;-976.0;1081.0;323.0;996.0;-836.0;1.0;248.0;759.0;478.0;868.0
188.0;-945.0;1089.0;516.0;990.0;-827.0;92.0;110.0;791.0;344.0;917.0
52.0;-1178.0;1113.0;373.0;1167.0;-1120.0;249.0;372.0;895.0;471.0;766.0
140.0;-978.0;1111.0;456.0;905.0;-705.0;-575.0;240.0;616.0;595.0;783.0
51.0;-1315.0;1308.0;630.0;1190.0;-1176.0;767.0;624.0;862.0;458.0;686.0
34.0;-997.0;1027.0;256.0;1026.0;-725.0;-221.0;10.0;567.0;508.0;686.0
258.0;-979.0;1069.0;320.0;988.0;-847.0;14.0;206.0;752.0;533.0;906.0
207.0;-964.0;1071.0;306.0;978.0;-838.0;48.0;233.0;750.0;468.0;907.0
130.0;-909.0;1103.0;353.0;1007.0;-794.0;737.0;689.0;720.0;447.0;884.0
