Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass
-14.0;-564.0;-28.0;293.0;102.0;174;-94
87.0;-483.0;267.0;321.0;12.0;86;18
-352.0;-739.0;-324.0;151.0;-524.0;52;-14
126.0;-517.0;-11.0;-130.0;44.0;65;-9
7.0;-418.0;104.0;-85.0;24.0;44;-17
194.0;-311.0;-40.0;87.0;-8.0;13;-30
30.0;-295.0;-331.0;-342.0;3.0;74;-7
-2.0;-493.0;28.0;-26.0;84.0;83;18
13.0;-469.0;13.0;-26.0;76.0;83;18
11.0;-459.0;8.0;-30.0;114.0;83;18
5.0;-553.0;-160.0;-75.0;83.0;162;-9
-34.0;-171.0;-160.0;-107.0;-50.0;128;-1
88.0;-266.0;-88.0;146.0;30.0;-15;-88
-9.0;-261.0;17.0;96.0;37.0;-15;-69
182.0;-104.0;161.0;145.0;0.0;-11;-84
127.0;-299.0;-20.0;122.0;30.0;-15;-69
-14.0;-524.0;-223.0;39.0;-87.0;88;-6
50.0;-316.0;62.0;165.0;19.0;-26;-94
2.0;-107.0;2.0;127.0;25.0;61;-27
-120.0;-500.0;101.0;32.0;56.0;82;19
72.0;-402.0;-206.0;-252.0;-46.0;37;0
-47.0;-212.0;144.0;-16.0;-80.0;80;-51
-125.0;-150.0;79.0;-156.0;-178.0;29;21
197.0;39.0;-75.0;-55.0;-177.0;65;-27
37.0;-395.0;69.0;-32.0;-5.0;167;-55
10.0;-325.0;-182.0;-436.0;6.0;74;-7
110.0;-344.0;-7.0;-166.0;74.0;104;-30
193.0;-294.0;-190.0;214.0;323.0;83;1
134.0;-166.0;-134.0;360.0;42.0;-15;-70
92.0;-384.0;-297.0;90.0;43.0;141;3
-96.0;-585.0;-123.0;-254.0;-99.0;119;-8
-37.0;-376.0;-556.0;88.0;-71.0;139;-1
11.0;-272.0;195.0;59.0;212.0;84;18
98.0;-525.0;-235.0;-54.0;57.0;74;-20
77.0;-197.0;186.0;265.0;-4.0;-15;-70
-14.0;-303.0;235.0;211.0;244.0;56;-8
270.0;9.0;-406.0;79.0;212.0;93;9
159.0;-219.0;-572.0;599.0;120.0;-43;-164
-39.0;-405.0;-686.0;440.0;-102.0;9;-90
-5.0;-620.0;158.0;-215.0;102.0;9;-14
126.0;-188.0;-565.0;141.0;121.0;39;-72
-268.0;-761.0;-761.0;430.0;-418.0;-64;-147
374.0;10.0;150.0;146.0;386.0;45;-131
22.0;-314.0;60.0;-482.0;-32.0;73;-8
34.0;-438.0;-496.0;476.0;47.0;145;-32
112.0;-439.0;-113.0;99.0;74.0;126;-38
-455.0;-875.0;103.0;-164.0;-419.0;120;-1
126.0;-258.0;-66.0;394.0;76.0;-11;-97
-28.0;-451.0;539.0;68.0;75.0;83;19
