InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;Accelerometer RUA_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RUA magneticZ;Accelerometer LH accX;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA gyroZ;Accelerometer RKN_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4
-17;?;789.0;17;?;-467.0;660.0;4;851.0;-1078.0;?;392.0;-250.0
-10;-50.0;?;10;?;-428.0;783.0;4;848.0;-1468.0;-126.0;393.0;?
-4;-64.0;738.0;4;93.0;-371.0;600.0;-2;?;-1905.0;-144.0;396.0;-252.0
27;-22.0;?;?;222.0;?;385.0;-1;928.0;?;-136.0;397.0;-255.0
10;-100.0;865.0;-10;322.0;-220.0;346.0;-6;992.0;-2366.0;?;398.0;-256.0
-23;-110.0;930.0;?;500.0;?;270.0;-8;?;-2433.0;-102.0;401.0;-261.0
5;-54.0;?;-5;586.0;-80.0;367.0;3;981.0;-2297.0;-95.0;402.0;?
-1;15.0;980.0;1;593.0;-9.0;451.0;-3;917.0;-2103.0;-100.0;403.0;-273.0
-5;44.0;?;5;606.0;53.0;426.0;-6;?;-1928.0;-130.0;?;-279.0
8;67.0;944.0;?;523.0;120.0;?;?;823.0;-1874.0;-131.0;402.0;?
-32;?;889.0;32;519.0;173.0;-233.0;-3;791.0;-1869.0;-149.0;400.0;-286.0
?;47.0;845.0;22;489.0;224.0;-598.0;-1;759.0;-1948.0;?;?;-288.0
?;71.0;714.0;?;525.0;?;-226.0;1;779.0;-1874.0;-114.0;393.0;-291.0
-4;131.0;668.0;4;549.0;305.0;91.0;-2;843.0;-1578.0;-106.0;?;-289.0
-7;?;684.0;7;584.0;317.0;311.0;?;998.0;-1095.0;-87.0;377.0;-286.0
-1;145.0;712.0;1;407.0;307.0;184.0;12;?;?;-120.0;371.0;?
0;72.0;723.0;0;336.0;300.0;196.0;2;?;-458.0;?;372.0;-283.0
?;?;?;-20;?;292.0;?;?;1046.0;-263.0;-127.0;374.0;-284.0
9;76.0;739.0;-9;339.0;293.0;-42.0;-4;983.0;-88.0;?;375.0;-285.0
7;44.0;792.0;-7;357.0;286.0;-13.0;?;929.0;57.0;?;376.0;?
42;?;770.0;-42;316.0;279.0;-65.0;0;807.0;206.0;-145.0;377.0;-287.0
?;59.0;696.0;-14;275.0;277.0;41.0;-3;698.0;271.0;?;375.0;-285.0
-21;73.0;678.0;21;?;?;81.0;1;770.0;363.0;-139.0;371.0;-283.0
12;58.0;?;-12;178.0;265.0;305.0;-1;824.0;368.0;?;367.0;?
?;94.0;649.0;-25;227.0;255.0;?;2;917.0;314.0;-124.0;365.0;?
?;3.0;641.0;-11;11.0;-523.0;292.0;-5;1011.0;21.0;-137.0;369.0;-246.0
6;4.0;608.0;-6;-27.0;-508.0;465.0;-6;975.0;9.0;?;369.0;-248.0
0;?;573.0;0;-18.0;-510.0;496.0;-6;963.0;-95.0;-133.0;370.0;-249.0
0;?;?;0;-33.0;-526.0;?;-8;963.0;-117.0;-154.0;371.0;-251.0
-11;-1.0;627.0;?;?;-526.0;?;3;964.0;-109.0;-126.0;371.0;-251.0
-3;-12.0;698.0;3;?;-528.0;676.0;1;951.0;-144.0;-107.0;?;?
-1;-20.0;683.0;1;-136.0;-513.0;?;-6;843.0;?;-104.0;?;-249.0
4;-14.0;?;?;-120.0;-498.0;500.0;1;815.0;-554.0;?;373.0;-247.0
?;?;727.0;-10;-139.0;-479.0;697.0;0;878.0;-845.0;-95.0;373.0;-244.0
?;-59.0;726.0;0;-109.0;-438.0;?;0;896.0;?;-122.0;374.0;-241.0
10;?;732.0;?;-20.0;?;926.0;?;913.0;?;-125.0;375.0;?
?;-73.0;770.0;-4;?;?;744.0;-6;910.0;-1962.0;-148.0;375.0;-236.0
6;-137.0;?;?;180.0;?;685.0;-7;897.0;-2228.0;-122.0;376.0;-237.0
28;-84.0;860.0;?;287.0;-194.0;696.0;?;903.0;-2355.0;?;378.0;-240.0
18;-62.0;870.0;-18;394.0;?;507.0;-3;896.0;-2461.0;?;381.0;-248.0
0;-17.0;?;0;480.0;-36.0;460.0;-5;831.0;-2551.0;-125.0;?;-256.0
6;23.0;912.0;-6;561.0;49.0;?;-2;818.0;-2628.0;-126.0;385.0;?
?;89.0;871.0;-18;596.0;121.0;86.0;-3;?;-2609.0;-135.0;384.0;-273.0
-11;115.0;846.0;11;623.0;?;?;?;772.0;-2535.0;-128.0;381.0;?
-53;117.0;808.0;53;657.0;?;-45.0;1;807.0;-2355.0;-118.0;377.0;-279.0
-26;127.0;799.0;26;?;269.0;?;-3;869.0;-2176.0;?;371.0;-279.0
10;206.0;763.0;-10;?;290.0;223.0;?;971.0;?;?;366.0;-275.0
7;153.0;761.0;-7;581.0;297.0;104.0;5;1097.0;-1520.0;-129.0;361.0;-274.0
31;?;?;?;552.0;292.0;37.0;?;1166.0;-1035.0;-147.0;362.0;-274.0
12;74.0;872.0;-12;?;284.0;82.0;?;?;-599.0;-141.0;?;-275.0
-28;105.0;821.0;28;?;274.0;-22.0;?;952.0;-219.0;?;368.0;-276.0
-21;89.0;805.0;21;459.0;264.0;-50.0;-5;900.0;102.0;?;370.0;-277.0
-13;?;798.0;?;409.0;263.0;?;0;842.0;275.0;-118.0;371.0;-278.0
12;62.0;751.0;-12;346.0;269.0;?;-3;791.0;529.0;-129.0;?;-279.0
-7;?;690.0;7;290.0;266.0;173.0;-3;817.0;621.0;-123.0;372.0;-279.0
7;?;?;-7;305.0;260.0;333.0;0;872.0;648.0;-110.0;371.0;-277.0
2;?;?;?;118.0;-522.0;71.0;2;?;-286.0;-152.0;374.0;-276.0
-1;48.0;?;?;76.0;?;?;-3;763.0;-530.0;-105.0;373.0;-275.0
0;47.0;614.0;0;53.0;-533.0;?;-3;580.0;-884.0;-90.0;373.0;?
0;?;572.0;?;-15.0;-540.0;11.0;6;?;-1433.0;-96.0;372.0;-273.0
0;16.0;534.0;0;?;?;159.0;1;495.0;?;-125.0;?;?
?;?;605.0;6;11.0;-515.0;1122.0;-4;613.0;-2772.0;-125.0;374.0;?
-10;15.0;683.0;10;51.0;?;1630.0;?;781.0;-3779.0;-129.0;?;-272.0
24;25.0;?;?;?;-480.0;2102.0;-1;896.0;-4684.0;-121.0;373.0;-273.0
14;41.0;870.0;?;441.0;-474.0;1668.0;3;895.0;-5414.0;-118.0;373.0;-276.0
-32;27.0;921.0;32;731.0;-467.0;1696.0;3;907.0;-5993.0;-116.0;?;-280.0
-3;32.0;950.0;3;?;?;1738.0;?;832.0;-5894.0;-125.0;371.0;-282.0
-21;?;1109.0;21;1275.0;-473.0;1668.0;?;?;-5501.0;-121.0;?;?
-20;7.0;1149.0;20;1178.0;-480.0;1580.0;-1;566.0;-5130.0;?;366.0;-292.0
1;59.0;1002.0;?;1095.0;?;1395.0;-13;512.0;-4745.0;-118.0;365.0;-298.0
1;105.0;?;-1;1113.0;-487.0;1061.0;3;375.0;-4472.0;?;363.0;-302.0
-27;97.0;953.0;27;1026.0;?;?;-11;329.0;-4020.0;-127.0;360.0;-307.0
-13;121.0;806.0;13;937.0;-466.0;718.0;-16;?;-3568.0;-173.0;?;-312.0
?;167.0;777.0;-142;?;-455.0;?;?;338.0;-2965.0;-149.0;355.0;-318.0
-31;186.0;739.0;?;858.0;?;669.0;-54;?;-2324.0;-116.0;?;-323.0
?;194.0;688.0;-273;767.0;-439.0;602.0;123;354.0;-1841.0;-107.0;?;-328.0
?;?;657.0;?;721.0;-440.0;?;343;314.0;-1351.0;-110.0;352.0;-333.0
?;222.0;602.0;933;?;?;459.0;-38;248.0;-843.0;-90.0;350.0;-336.0
-1565;228.0;543.0;1565;?;-451.0;?;?;209.0;-359.0;-111.0;345.0;-339.0
-1731;216.0;?;1731;478.0;-456.0;?;-120;?;71.0;-138.0;341.0;-339.0
-2134;209.0;334.0;2134;387.0;?;?;-31;102.0;474.0;-142.0;?;-339.0
-2010;?;314.0;2010;345.0;-469.0;?;138;73.0;843.0;?;332.0;-338.0
-1877;177.0;272.0;1877;302.0;-475.0;200.0;84;69.0;1102.0;-138.0;326.0;?
-1530;171.0;265.0;1530;?;-476.0;195.0;43;109.0;1232.0;-135.0;321.0;-334.0
-785;176.0;278.0;?;231.0;-477.0;?;?;154.0;?;-130.0;314.0;-332.0
-671;174.0;317.0;671;240.0;?;128.0;?;199.0;?;?;309.0;?
-742;175.0;?;742;228.0;-476.0;?;?;241.0;892.0;?;303.0;?
-502;165.0;360.0;502;?;-478.0;?;-33;247.0;674.0;-127.0;299.0;-329.0
-519;157.0;?;?;207.0;-481.0;145.0;-45;232.0;430.0;-127.0;?;-330.0
-513;166.0;343.0;513;221.0;-491.0;187.0;9;?;?;-127.0;296.0;-331.0
-402;151.0;?;402;203.0;-496.0;231.0;40;?;69.0;-129.0;295.0;-332.0
-330;?;320.0;330;185.0;-500.0;268.0;-39;?;-105.0;-148.0;296.0;-334.0
-248;162.0;312.0;248;209.0;?;306.0;-68;189.0;-348.0;-138.0;297.0;-336.0
-106;174.0;351.0;106;249.0;-506.0;358.0;-72;167.0;-576.0;-130.0;?;-336.0
-2;180.0;332.0;2;?;?;420.0;-121;113.0;-677.0;-134.0;299.0;-336.0
-79;?;290.0;79;255.0;-512.0;469.0;-140;83.0;-628.0;-124.0;298.0;-335.0
?;207.0;288.0;34;240.0;-511.0;503.0;18;106.0;-653.0;-110.0;297.0;-335.0
63;217.0;293.0;-63;264.0;?;553.0;119;100.0;-578.0;-121.0;297.0;-334.0
108;225.0;286.0;-108;?;?;560.0;?;121.0;-487.0;-126.0;297.0;-334.0
?;234.0;299.0;-111;283.0;?;520.0;52;145.0;-399.0;-136.0;297.0;-332.0
181;237.0;288.0;-181;?;-497.0;508.0;-4;133.0;?;?;298.0;-331.0
259;230.0;287.0;-259;285.0;-499.0;489.0;-38;98.0;-69.0;-126.0;?;-330.0
83;227.0;273.0;-83;253.0;-496.0;454.0;-25;126.0;?;-110.0;299.0;-329.0
496;225.0;270.0;-496;249.0;-494.0;453.0;-53;162.0;183.0;-126.0;?;-328.0
?;217.0;286.0;?;?;-491.0;514.0;32;?;192.0;-89.0;?;-329.0
540;206.0;316.0;-540;260.0;?;444.0;-37;214.0;248.0;-46.0;306.0;-329.0
?;202.0;348.0;-960;?;?;385.0;?;227.0;?;-89.0;309.0;?
828;197.0;339.0;-828;276.0;-489.0;264.0;-137;213.0;?;-110.0;314.0;-333.0
4975;?;?;-4975;284.0;?;356.0;-447;223.0;295.0;?;318.0;?
?;203.0;328.0;-3266;?;?;236.0;127;169.0;435.0;-227.0;322.0;-337.0
-1480;216.0;?;1480;253.0;-507.0;395.0;599;113.0;509.0;-256.0;326.0;-339.0
233;?;278.0;-233;227.0;-513.0;?;58;61.0;600.0;-484.0;329.0;-342.0
327;238.0;119.0;-327;167.0;-520.0;532.0;43;-7.0;783.0;-372.0;?;-346.0
-58;?;289.0;58;258.0;-522.0;669.0;71;?;662.0;-203.0;332.0;-352.0
385;169.0;529.0;-385;342.0;-534.0;?;-2;39.0;71.0;-217.0;343.0;?
-106;?;?;106;237.0;?;269.0;29;-13.0;244.0;-179.0;349.0;-346.0
-48;?;148.0;?;?;-538.0;92.0;-56;10.0;373.0;-140.0;?;-342.0
-29;138.0;115.0;29;210.0;-535.0;183.0;-27;?;?;-220.0;352.0;?
-27;148.0;185.0;27;?;-526.0;355.0;-35;118.0;369.0;-270.0;348.0;-336.0
0;?;?;0;220.0;?;349.0;-38;?;177.0;-291.0;342.0;-335.0
6;157.0;332.0;?;266.0;-507.0;260.0;?;291.0;-34.0;-152.0;338.0;-334.0
10;133.0;349.0;-10;?;-504.0;263.0;-23;272.0;-109.0;-107.0;336.0;-333.0
?;128.0;331.0;?;279.0;-502.0;317.0;?;236.0;-76.0;?;?;-332.0
24;151.0;310.0;-24;251.0;-502.0;336.0;?;192.0;?;?;334.0;-331.0
0;146.0;320.0;?;219.0;-500.0;350.0;-10;?;-183.0;-138.0;333.0;-330.0
-62;?;310.0;62;224.0;-496.0;?;-13;228.0;?;-203.0;332.0;-329.0
53;141.0;323.0;-53;250.0;?;?;-16;?;-437.0;-172.0;?;-328.0
-62;135.0;345.0;62;267.0;-486.0;375.0;0;222.0;?;-67.0;332.0;-327.0
-200;144.0;342.0;200;294.0;-483.0;426.0;9;213.0;-393.0;-129.0;330.0;-325.0
-740;152.0;334.0;740;289.0;-476.0;445.0;16;221.0;-360.0;-93.0;329.0;-323.0
-1915;?;?;1915;290.0;-472.0;455.0;37;237.0;-282.0;-27.0;327.0;-321.0
-2128;137.0;339.0;2128;292.0;-468.0;463.0;60;254.0;-230.0;-48.0;326.0;-319.0
-1950;140.0;359.0;1950;281.0;-466.0;?;74;260.0;?;-96.0;324.0;-317.0
-1933;128.0;351.0;1933;305.0;-464.0;?;26;?;-142.0;-92.0;322.0;-316.0
?;140.0;354.0;1665;?;-461.0;443.0;-61;275.0;-179.0;-120.0;320.0;-314.0
-1361;?;356.0;1361;298.0;-457.0;422.0;-90;253.0;-188.0;-137.0;317.0;?
-1073;140.0;316.0;1073;287.0;-455.0;433.0;-71;248.0;-130.0;?;315.0;-312.0
-1019;152.0;309.0;?;285.0;-455.0;412.0;-66;228.0;-44.0;-86.0;313.0;-310.0
-369;178.0;?;?;281.0;-456.0;388.0;-68;233.0;?;-101.0;310.0;-310.0
288;195.0;320.0;-288;?;-456.0;358.0;?;?;?;-10.0;306.0;-311.0
83;199.0;321.0;-83;261.0;-458.0;303.0;91;?;-52.0;-293.0;304.0;-312.0
-56;208.0;317.0;56;273.0;-462.0;292.0;12;235.0;-68.0;-171.0;302.0;-315.0
-41;?;300.0;41;275.0;-470.0;292.0;-19;?;35.0;794.0;300.0;-319.0
?;?;294.0;66;255.0;?;?;?;166.0;104.0;-412.0;299.0;-322.0
?;242.0;266.0;?;218.0;-489.0;326.0;-34;132.0;177.0;-849.0;299.0;-327.0
-121;252.0;254.0;121;196.0;-494.0;325.0;-82;107.0;?;?;298.0;-330.0
?;238.0;223.0;129;170.0;-502.0;309.0;-85;?;191.0;-113.0;299.0;-334.0
-166;237.0;235.0;166;180.0;-503.0;293.0;-49;148.0;75.0;-111.0;300.0;-336.0
-94;227.0;275.0;94;212.0;-506.0;?;9;164.0;35.0;?;301.0;-338.0
?;221.0;300.0;48;226.0;-507.0;274.0;42;?;-9.0;?;?;-339.0
-81;223.0;289.0;81;206.0;-510.0;?;47;147.0;?;-173.0;304.0;-340.0
?;236.0;258.0;3;213.0;-512.0;333.0;?;128.0;-83.0;?;306.0;-341.0
150;227.0;243.0;-150;?;-512.0;360.0;?;?;-66.0;-145.0;306.0;-342.0
177;222.0;242.0;-177;?;?;392.0;?;119.0;-21.0;-137.0;309.0;?
199;218.0;234.0;-199;238.0;-514.0;387.0;-32;115.0;52.0;-143.0;311.0;-342.0
409;?;223.0;-409;226.0;-514.0;398.0;21;127.0;92.0;-141.0;313.0;-342.0
?;?;253.0;-341;221.0;?;407.0;-87;148.0;175.0;-164.0;316.0;-342.0
848;205.0;252.0;-848;223.0;-507.0;418.0;8;186.0;?;-174.0;318.0;-342.0
1235;208.0;278.0;?;?;-505.0;417.0;-284;204.0;144.0;-218.0;?;-342.0
2899;192.0;300.0;-2899;234.0;?;416.0;?;193.0;?;-196.0;324.0;?
?;182.0;269.0;-5425;230.0;-504.0;304.0;837;181.0;206.0;-141.0;?;?
2191;178.0;?;-2191;225.0;-503.0;248.0;576;173.0;210.0;-126.0;334.0;-343.0
-669;171.0;249.0;?;232.0;-507.0;391.0;-264;137.0;197.0;-304.0;340.0;-344.0
?;190.0;231.0;-402;202.0;-507.0;505.0;?;?;327.0;?;344.0;-345.0
-43;308.0;137.0;43;192.0;-507.0;611.0;?;238.0;381.0;-77.0;346.0;-348.0
-139;224.0;?;?;332.0;?;470.0;?;196.0;-117.0;-136.0;?;-344.0
89;203.0;286.0;-89;261.0;-516.0;255.0;34;-51.0;?;-167.0;?;-345.0
-54;181.0;63.0;54;180.0;-513.0;201.0;-13;?;150.0;-153.0;360.0;-347.0
51;204.0;231.0;-51;268.0;?;365.0;?;61.0;?;-190.0;364.0;-348.0
-22;249.0;?;?;240.0;-525.0;281.0;3;?;?;-162.0;368.0;-350.0
14;300.0;297.0;-14;287.0;-527.0;148.0;6;?;?;-116.0;370.0;-350.0
15;259.0;329.0;-15;?;-531.0;?;6;122.0;-380.0;?;373.0;-353.0
6;218.0;215.0;-6;?;-532.0;259.0;7;60.0;-265.0;-23.0;377.0;?
14;227.0;144.0;-14;296.0;-537.0;282.0;-2;18.0;71.0;-6.0;382.0;-359.0
23;?;158.0;-23;?;-543.0;321.0;8;-28.0;425.0;-69.0;385.0;-360.0
-12;?;148.0;?;?;?;301.0;?;-3.0;624.0;-116.0;387.0;-361.0
-10;?;158.0;10;169.0;?;353.0;?;?;579.0;?;388.0;-362.0
-2;?;207.0;2;180.0;-548.0;378.0;3;103.0;426.0;-172.0;389.0;-361.0
-49;198.0;240.0;?;206.0;-543.0;383.0;-18;135.0;290.0;-204.0;?;-361.0
-102;184.0;?;102;229.0;-541.0;387.0;21;163.0;191.0;-180.0;?;-360.0
?;177.0;276.0;?;215.0;-540.0;?;-85;168.0;114.0;-163.0;?;-360.0
-1134;168.0;277.0;1134;214.0;-540.0;?;?;157.0;?;?;389.0;-361.0
-1288;152.0;263.0;?;205.0;-540.0;382.0;-200;157.0;-58.0;-151.0;389.0;-361.0
-1836;146.0;266.0;1836;221.0;-539.0;?;69;162.0;?;-122.0;?;-362.0
?;?;281.0;1851;232.0;-540.0;418.0;17;165.0;-204.0;-100.0;388.0;?
-1539;134.0;279.0;1539;240.0;-542.0;?;-80;159.0;-268.0;?;386.0;-361.0
-1488;142.0;300.0;1488;239.0;?;430.0;-18;144.0;-284.0;?;384.0;-360.0
?;124.0;?;?;229.0;-542.0;427.0;-11;116.0;-355.0;-67.0;382.0;-360.0
-1002;139.0;?;1002;223.0;-542.0;438.0;-52;127.0;-281.0;-103.0;378.0;-359.0
?;162.0;247.0;?;251.0;-540.0;439.0;-67;140.0;?;-39.0;372.0;-358.0
-575;170.0;293.0;575;257.0;-539.0;477.0;-52;150.0;?;?;366.0;?
-456;183.0;275.0;456;233.0;-538.0;?;-20;142.0;?;-36.0;359.0;-355.0
-291;199.0;?;?;235.0;-536.0;362.0;20;128.0;-193.0;-647.0;351.0;-354.0
-192;?;260.0;192;231.0;-535.0;351.0;20;132.0;-184.0;936.0;344.0;-353.0
-168;208.0;261.0;168;227.0;-535.0;341.0;5;141.0;-155.0;?;336.0;?
-94;209.0;238.0;94;218.0;-535.0;316.0;39;141.0;?;-987.0;329.0;-352.0
-9;205.0;238.0;?;204.0;?;324.0;26;136.0;-31.0;?;322.0;-352.0
?;214.0;236.0;9;190.0;-535.0;313.0;-29;149.0;-22.0;-64.0;316.0;-351.0
?;204.0;245.0;-14;187.0;?;308.0;-39;145.0;-11.0;-225.0;310.0;?
54;230.0;240.0;-54;189.0;-536.0;285.0;-25;?;-84.0;-116.0;?;-346.0
52;?;251.0;-52;193.0;-533.0;284.0;-2;143.0;-167.0;-147.0;300.0;?
81;239.0;?;-81;?;-533.0;258.0;32;127.0;-177.0;?;296.0;?
178;245.0;224.0;-178;195.0;-529.0;260.0;47;132.0;-181.0;-36.0;293.0;?
171;245.0;?;-171;?;-527.0;255.0;?;136.0;?;?;291.0;-337.0
294;?;253.0;-294;209.0;?;252.0;11;144.0;-137.0;?;290.0;?
214;247.0;262.0;-214;208.0;-520.0;?;?;?;-129.0;-176.0;289.0;-333.0
363;243.0;260.0;-363;?;-518.0;343.0;27;144.0;-75.0;-156.0;289.0;?
642;?;?;-642;219.0;-516.0;361.0;-15;136.0;-43.0;-140.0;290.0;-329.0
?;261.0;?;-77;203.0;?;401.0;?;119.0;2.0;-145.0;289.0;-327.0
1406;254.0;229.0;-1406;194.0;-506.0;?;-193;106.0;62.0;?;289.0;-324.0
1165;247.0;242.0;-1165;?;-498.0;374.0;-348;130.0;96.0;-208.0;289.0;-322.0
1924;222.0;258.0;-1924;227.0;-490.0;348.0;-306;193.0;?;?;291.0;-321.0
5316;215.0;287.0;-5316;230.0;-487.0;217.0;-146;209.0;?;?;295.0;-321.0
1656;221.0;294.0;-1656;252.0;-484.0;310.0;-26;211.0;145.0;-268.0;302.0;-323.0
-781;217.0;331.0;781;261.0;-487.0;408.0;-25;?;165.0;?;309.0;?
656;314.0;?;-656;?;-490.0;531.0;-17;?;303.0;-83.0;315.0;-329.0
-216;298.0;323.0;216;298.0;-495.0;543.0;?;260.0;?;-105.0;325.0;?
-43;259.0;374.0;43;289.0;-507.0;376.0;18;-160.0;?;-182.0;337.0;-324.0
?;282.0;82.0;?;176.0;-507.0;?;?;-52.0;?;-161.0;342.0;-319.0
-80;242.0;?;?;221.0;-509.0;?;27;-90.0;307.0;?;345.0;-315.0
68;?;124.0;?;216.0;-508.0;342.0;26;-64.0;406.0;-189.0;346.0;-312.0
-56;?;126.0;56;?;-505.0;230.0;21;?;?;?;346.0;?
?;321.0;?;?;259.0;-499.0;169.0;-1;?;155.0;-156.0;343.0;-305.0
?;294.0;291.0;-11;300.0;-498.0;154.0;4;120.0;19.0;-153.0;340.0;-303.0
-9;289.0;195.0;9;?;-495.0;?;13;?;60.0;-148.0;338.0;?
-11;?;197.0;?;258.0;-498.0;?;6;64.0;?;?;?;-303.0
?;?;173.0;2;248.0;-504.0;275.0;16;8.0;443.0;-117.0;335.0;-304.0
-36;?;183.0;36;186.0;?;256.0;?;2.0;457.0;?;335.0;-304.0
-31;272.0;174.0;31;153.0;-510.0;277.0;11;57.0;326.0;-119.0;?;-304.0
-29;261.0;?;29;148.0;-513.0;307.0;18;105.0;73.0;-99.0;334.0;-303.0
?;237.0;251.0;75;206.0;-508.0;336.0;-18;?;-110.0;-124.0;333.0;?
-41;228.0;291.0;?;232.0;-504.0;334.0;?;?;?;-147.0;333.0;?
?;224.0;296.0;72;234.0;-504.0;335.0;-48;163.0;-298.0;-137.0;333.0;?
-6;211.0;280.0;?;230.0;-502.0;363.0;77;153.0;?;-100.0;333.0;-306.0
-497;198.0;282.0;497;226.0;-502.0;397.0;20;?;-401.0;?;?;-307.0
-1627;183.0;271.0;1627;249.0;-500.0;381.0;-233;167.0;?;?;335.0;-309.0
-2008;178.0;300.0;2008;?;-498.0;?;225;180.0;?;-81.0;335.0;-310.0
?;171.0;280.0;1986;271.0;-498.0;?;?;191.0;?;?;336.0;-312.0
-1943;170.0;297.0;1943;?;-498.0;412.0;129;?;-240.0;?;336.0;-313.0
-1596;182.0;310.0;1596;275.0;-502.0;452.0;?;184.0;-219.0;-164.0;334.0;-315.0
-1344;?;308.0;?;271.0;-502.0;450.0;-49;?;-160.0;-126.0;333.0;-315.0
-1249;175.0;?;1249;253.0;?;?;-118;138.0;-68.0;-137.0;?;-315.0
-1145;183.0;249.0;1145;234.0;-506.0;437.0;-74;139.0;35.0;-200.0;328.0;-316.0
-996;?;255.0;996;234.0;-506.0;?;-65;?;59.0;-318.0;324.0;?
-795;?;275.0;795;235.0;-503.0;458.0;-64;173.0;25.0;?;320.0;-314.0
-649;181.0;272.0;?;220.0;-503.0;?;9;?;75.0;444.0;?;-313.0
?;193.0;248.0;505;202.0;-502.0;?;36;?;92.0;-991.0;311.0;?
-237;?;232.0;237;194.0;-501.0;?;36;146.0;?;-605.0;306.0;-311.0
?;207.0;256.0;106;?;-499.0;353.0;34;175.0;?;66.0;301.0;-311.0
-167;?;263.0;167;200.0;?;350.0;52;179.0;-49.0;-242.0;297.0;-310.0
-95;239.0;262.0;95;206.0;-502.0;318.0;57;143.0;-27.0;?;293.0;-309.0
67;240.0;233.0;-67;175.0;-504.0;273.0;15;101.0;?;-124.0;?;?
100;263.0;183.0;-100;?;-506.0;272.0;?;67.0;?;-159.0;?;-305.0
99;260.0;186.0;-99;159.0;-506.0;?;?;?;?;-32.0;277.0;?
129;257.0;210.0;-129;?;?;268.0;-27;?;-132.0;-97.0;272.0;-299.0
122;?;?;?;195.0;-499.0;240.0;?;?;-183.0;-119.0;?;-299.0
153;274.0;265.0;?;?;-493.0;213.0;-51;211.0;-194.0;-110.0;266.0;-299.0
-36;249.0;?;36;221.0;-492.0;?;?;211.0;-166.0;-108.0;266.0;?
53;259.0;292.0;-53;?;-494.0;198.0;-48;163.0;-188.0;-167.0;266.0;-301.0
296;?;?;-296;?;-496.0;242.0;88;?;?;?;267.0;-300.0
50;259.0;?;?;195.0;-495.0;294.0;25;?;-198.0;-164.0;?;-300.0
581;249.0;234.0;-581;238.0;-492.0;296.0;243;150.0;-74.0;-170.0;?;?
-185;253.0;257.0;185;251.0;-493.0;333.0;-159;144.0;?;-179.0;274.0;-298.0
1175;?;250.0;-1175;222.0;-493.0;371.0;78;123.0;221.0;-211.0;278.0;?
855;?;240.0;-855;185.0;?;435.0;-214;115.0;189.0;-245.0;283.0;-294.0
1064;223.0;?;-1064;?;-486.0;416.0;-575;?;?;-167.0;287.0;-292.0
9111;215.0;232.0;-9111;?;-483.0;458.0;?;?;237.0;-100.0;291.0;?
3551;211.0;223.0;?;?;?;295.0;?;?;378.0;-109.0;294.0;-286.0
-3605;?;244.0;3605;216.0;-473.0;507.0;?;159.0;?;-134.0;299.0;-284.0
1075;229.0;245.0;-1075;206.0;-471.0;570.0;549;106.0;476.0;-76.0;?;-282.0
?;373.0;154.0;-75;160.0;-471.0;683.0;0;84.0;?;-38.0;304.0;?
-369;?;268.0;369;272.0;-472.0;?;-207;273.0;?;-185.0;310.0;-277.0
