InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
8;-4;-3;-25.0;-555.0;72;-9;373;?;-4
4;23;?;?;-589.0;67;6;372;-6;?
?;57;1;354.0;-449.0;63;-3;376;?;57
-1;1;?;358.0;?;69;-13;369;13;1
-2;?;5;323.0;-583.0;73;-17;367;17;-28
1;-32;-2;?;?;?;?;374;?;-32
0;21;-1;?;121.0;?;18;374;?;21
-4;-23;-7;?;91.0;?;4;378;-4;-23
-4;-67;-3;?;197.0;68;6;376;?;-67
2;-31;3;-237.0;335.0;66;?;?;1;-31
4;-18;0;?;503.0;66;-15;?;15;-18
-2;33;-2;-582.0;?;?;-44;375;44;33
1;45;-3;-818.0;?;?;-50;375;50;?
0;-23;?;-1197.0;946.0;69;-35;373;?;?
-6;-6;3;-1744.0;?;?;-64;372;64;-6
0;12;-4;-2151.0;?;72;-48;?;48;12
?;-9;-6;?;1663.0;63;3;380;-3;-9
4;34;2;-2586.0;?;68;-7;371;?;34
-2;14;1;-2772.0;?;72;-10;?;10;?
-8;-36;1;?;1769.0;64;?;377;7;-36
1;3;?;-3035.0;1741.0;67;-34;370;34;3
4;16;-3;-3049.0;1663.0;67;9;376;-9;16
1;25;-3;?;1574.0;69;35;?;-35;25
0;34;0;-2913.0;?;67;-36;374;36;34
2;8;-2;-2744.0;1483.0;65;-29;?;29;8
5;6;2;-2612.0;1460.0;69;-8;371;8;?
-3;?;5;-2063.0;1578.0;67;-25;371;25;15
-7;12;4;-844.0;1734.0;71;36;372;-36;12
0;-19;3;-400.0;?;67;?;372;-22;-19
0;-19;?;-180.0;1128.0;63;?;374;?;-19
-3;-4;4;?;?;66;17;372;-17;-4
3;8;2;49.0;-185.0;67;-28;372;28;?
?;43;-3;283.0;-385.0;?;-19;?;19;43
?;34;?;?;-394.0;67;?;?;-10;34
3;15;5;?;?;64;-9;?;?;15
1;?;?;?;-585.0;67;-14;369;14;?
-6;43;-3;-260.0;515.0;60;8;380;?;43
14;33;-6;?;834.0;74;?;372;29;?
-2;19;-2;-555.0;1348.0;65;16;376;-16;?
-7;45;3;-726.0;?;62;36;374;?;45
?;-5;0;-1057.0;?;66;26;374;-26;-5
?;-13;-1;-1520.0;3152.0;69;28;373;-28;-13
-6;-6;-3;-1971.0;4040.0;?;?;379;?;?
0;21;?;?;5050.0;69;1;367;-1;?
?;27;2;?;?;70;?;?;3;27
-7;-34;0;?;6278.0;?;6;375;-6;-34
8;-44;?;-3834.0;6430.0;73;43;360;?;-44
?;-117;-7;?;6524.0;55;59;380;-59;-117
25;-47;45;-3249.0;?;115;-53;302;53;-47
36;68;55;?;5497.0;?;-77;?;77;?
-2;-27;-1;-3091.0;4893.0;?;22;373;-22;-27
19;?;28;?;4013.0;53;1;340;-1;-40
?;-26;?;-1082.0;2848.0;70;17;?;-17;?
?;-41;-21;-199.0;1815.0;57;83;380;-83;-41
?;?;7;215.0;1093.0;70;?;354;22;43
-11;53;10;?;614.0;?;?;359;48;?
3;-19;-3;627.0;342.0;?;26;?;-26;-19
1;?;-4;699.0;?;?;-35;369;35;-9
-2;6;?;?;-136.0;58;-35;379;35;6
8;14;-11;742.0;-424.0;60;3;377;-3;14
-3;?;1;?;-694.0;65;-33;?;33;28
-8;9;5;?;?;59;-28;370;28;9
4;?;1;871.0;-1257.0;68;-26;?;26;-6
0;?;-5;?;-1423.0;69;-35;374;35;-40
-3;-75;-10;955.0;-1526.0;56;-15;?;15;-75
6;-66;-14;928.0;-1561.0;?;?;382;24;-66
-5;-57;-1;826.0;-1482.0;72;-32;371;32;?
?;-70;-4;695.0;-1296.0;?;-20;370;?;-70
29;-56;?;601.0;-1092.0;77;?;?;1;-56
8;?;3;?;?;68;26;365;-26;-29
1;-31;4;361.0;?;63;?;369;3;-31
7;-34;10;242.0;?;74;?;357;11;-34
-1;4;14;88.0;95.0;77;9;354;-9;?
8;40;-6;-49.0;431.0;69;-10;?;10;?
?;46;?;-173.0;690.0;?;-25;?;?;?
-15;30;5;-313.0;932.0;?;-35;?;35;30
-17;?;3;?;1135.0;?;?;?;13;21
3;?;6;-624.0;1278.0;62;?;369;-28;?
3;76;5;-705.0;1259.0;?;30;366;?;76
-2;30;?;-691.0;1152.0;69;27;372;-27;30
7;25;?;-639.0;?;60;54;?;-54;25
2;?;?;?;?;?;46;369;?;24
-9;47;4;-502.0;629.0;70;2;371;-2;47
-1;55;?;-415.0;?;68;30;371;-30;?
?;?;6;?;145.0;?;?;371;-43;44
?;44;?;-291.0;?;66;49;?;-49;44
11;26;?;-165.0;?;61;29;370;?;26
-3;4;7;-92.0;-307.0;68;-34;366;34;4
?;-21;-1;30.0;-264.0;70;54;?;?;?
-1;?;29;244.0;-269.0;74;-2;341;?;33
-121;40;14;?;-431.0;85;?;381;?;40
-29;-41;?;311.0;-447.0;72;-23;?;23;-41
60;?;-13;?;-586.0;55;-30;373;30;-1
-19;?;0;373.0;-466.0;64;-30;381;30;78
-12;82;?;183.0;-115.0;77;53;368;-53;?
?;41;21;384.0;-76.0;77;?;348;-28;41
?;9;0;1084.0;-244.0;?;-8;374;8;9
17;4;-6;1556.0;?;60;-18;377;18;?
7;?;2;1513.0;-418.0;64;-61;370;61;-4
-3;-5;7;1105.0;?;79;?;?;?;-5
7;-12;5;730.0;?;68;19;366;?;-12
2;?;1;476.0;-103.0;61;0;373;?;-12
5;9;1;205.0;35.0;72;-12;367;12;9
3;-10;5;-22.0;89.0;72;19;364;?;-10
?;-54;?;-241.0;167.0;?;29;365;?;?
4;-36;?;-409.0;197.0;72;2;363;-2;-36
-2;11;6;-493.0;297.0;65;-2;363;2;11
-4;-19;-5;?;352.0;58;?;375;-13;-19
-9;?;?;-550.0;410.0;63;14;372;-14;-47
-14;-36;7;?;?;65;-16;364;?;-36
?;-21;?;-613.0;516.0;61;-44;374;44;?
1;30;-4;-569.0;588.0;71;-28;369;?;30
-7;?;4;-495.0;605.0;70;-33;365;33;11
5;-14;-2;-431.0;591.0;64;-40;371;?;?
15;19;-3;-356.0;546.0;?;9;?;?;?
?;-18;?;-181.0;494.0;73;36;?;-36;-18
3;-49;7;0.0;?;72;10;361;-10;-49
?;-22;2;109.0;?;64;13;368;-13;-22
-9;?;2;252.0;227.0;72;43;368;-43;-15
-9;10;?;238.0;85.0;70;22;?;?;10
?;50;2;282.0;9.0;66;10;367;-10;50
-1;35;?;273.0;-85.0;72;46;368;-46;?
10;?;-6;?;-153.0;?;27;?;?;6
?;?;5;316.0;-238.0;70;-9;360;9;16
-6;34;9;261.0;-283.0;78;20;355;-20;34
?;26;0;234.0;-244.0;66;32;364;-32;26
4;-25;?;128.0;-176.0;70;-13;360;13;-25
-4;?;?;68.0;-125.0;72;?;?;44;-36
-4;?;?;44.0;-114.0;?;-31;357;31;3
?;?;1;?;-138.0;76;1;362;-1;-9
4;28;-9;143.0;-113.0;56;30;379;-30;28
7;66;-12;187.0;-95.0;54;35;?;?;66
?;19;-6;111.0;-30.0;?;38;?;-38;?
6;23;-6;-16.0;40.0;57;37;376;-37;23
5;?;-3;?;94.0;68;24;367;?;40
?;5;0;-196.0;159.0;63;38;365;?;5
?;-31;1;-266.0;191.0;64;23;366;-23;?
?;-17;-7;-324.0;201.0;58;18;373;-18;-17
2;-8;-9;-344.0;133.0;61;-25;?;?;?
-8;?;11;-420.0;79.0;79;-66;?;66;-17
17;35;14;-365.0;7.0;47;-25;356;25;35
3;?;?;-303.0;?;53;-159;?;159;30
-8;-24;-12;-217.0;-104.0;74;-203;384;203;-24
13;?;-13;-135.0;?;?;-131;389;131;?
-17;?;-19;-76.0;-289.0;?;?;399;44;-10
?;-40;-11;-169.0;192.0;73;?;?;-189;-40
16;23;16;-170.0;?;62;178;357;?;?
-8;41;?;319.0;70.0;?;?;358;?;41
-13;-26;-2;866.0;?;68;28;375;-28;-26
7;5;?;937.0;?;?;3;372;-3;?
-5;55;0;716.0;?;?;27;372;-27;55
-1;28;-3;631.0;-556.0;66;13;374;-13;28
1;40;?;562.0;-460.0;68;-26;374;26;40
-5;30;-1;?;-417.0;68;-6;372;6;30
-3;-4;2;194.0;-288.0;64;8;371;?;-4
4;24;?;-99.0;-50.0;71;7;368;?;24
7;22;1;-248.0;123.0;74;6;366;-6;?
-5;-29;2;-331.0;242.0;64;?;371;?;?
0;-35;1;-354.0;?;66;?;370;7;-35
-1;?;1;?;?;67;-19;370;19;16
-1;-10;-3;-454.0;?;66;44;?;-44;?
-4;-48;?;-447.0;423.0;68;65;379;-65;-48
-11;-26;-7;-442.0;405.0;65;-24;378;24;?
9;?;?;-391.0;420.0;66;-13;365;13;-19
5;?;?;-368.0;?;?;6;367;-6;16
0;3;-5;-314.0;?;61;-10;?;?;3
1;-71;-4;-218.0;502.0;68;17;?;-17;-71
-9;-58;-1;-150.0;532.0;71;?;370;2;?
-1;-37;-1;-45.0;?;66;-33;370;33;-37
0;-58;-2;22.0;458.0;66;-16;?;16;-58
?;-25;-5;88.0;437.0;60;-23;375;23;-25
?;-1;1;119.0;400.0;66;?;367;?;?
5;?;0;134.0;368.0;73;-44;364;?;-22
13;?;-4;183.0;?;66;-43;369;?;2
3;35;5;?;94.0;68;-25;364;25;35
1;?;6;343.0;-47.0;69;-23;363;23;35
2;51;7;400.0;?;66;-11;364;11;?
-6;79;5;465.0;-141.0;?;62;369;?;79
?;63;-4;487.0;-186.0;63;110;?;-110;?
?;20;-5;494.0;-186.0;68;68;?;-68;20
?;23;-7;?;-208.0;?;55;376;-55;23
1;?;-4;409.0;-175.0;72;74;?;-74;54
4;36;1;309.0;-198.0;?;22;366;-22;?
?;-1;-2;220.0;-197.0;62;20;372;-20;-1
-1;-5;-1;95.0;?;69;66;368;-66;?
-5;-7;?;8.0;-152.0;66;53;370;-53;-7
-11;-7;-2;-101.0;?;64;11;371;-11;?
-3;12;6;-113.0;?;?;-47;358;47;12
-8;?;1;?;97.0;70;-37;366;37;?
1;-22;-8;-288.0;173.0;60;-5;?;5;-22
?;-36;1;-381.0;172.0;64;-16;366;16;-36
0;?;2;-428.0;?;?;21;364;-21;-14
2;-12;1;-432.0;48.0;?;24;364;-24;-12
-32;-89;?;-395.0;?;?;-95;366;95;-89
?;-135;-10;-333.0;?;?;-159;?;?;-135
17;-64;-18;-267.0;-314.0;74;-78;382;78;-64
-11;-9;-33;-301.0;-8.0;82;-28;403;28;-9
-2;17;-34;-284.0;?;76;?;404;-33;17
-20;53;15;55.0;182.0;63;108;?;-108;53
-11;18;7;611.0;151.0;68;12;?;?;18
?;7;?;805.0;-2.0;69;-27;378;27;7
-4;36;-4;723.0;-400.0;65;43;?;?;36
-1;46;-7;?;-407.0;67;41;376;?;46
-6;?;-2;639.0;-347.0;66;36;374;-36;33
-7;-4;0;510.0;?;67;13;371;-13;-4
-2;12;-2;?;-446.0;65;-5;?;?;12
-3;-9;-1;270.0;-422.0;62;26;373;-26;-9
2;-41;2;75.0;-272.0;67;-6;?;6;-41
-1;?;4;-86.0;-79.0;69;-15;366;15;-21
-8;4;-3;?;?;69;57;374;-57;4
-2;26;-8;-238.0;147.0;72;23;375;-23;?
1;?;?;-277.0;248.0;69;-17;369;17;-2
?;18;-2;-262.0;?;62;47;372;-47;18
-3;38;-3;-285.0;388.0;67;?;372;?;38
-5;-41;-2;?;418.0;68;-12;370;12;?
?;-58;-1;-379.0;?;60;47;368;-47;-58
?;-26;6;-321.0;?;?;-35;364;35;-26
-9;-43;?;-262.0;523.0;56;-44;374;?;-43
10;-40;-6;-222.0;510.0;63;7;370;-7;-40
?;-42;0;-204.0;533.0;65;-14;367;14;-42
?;-54;-4;?;552.0;56;-27;379;27;-54
2;-27;-4;-143.0;585.0;51;-54;380;?;?
-10;-9;?;-123.0;569.0;56;-30;?;30;-9
-5;?;?;?;528.0;?;11;358;-11;12
-4;-5;?;22.0;455.0;?;-19;357;19;-5
-7;-60;6;81.0;327.0;72;?;?;45;-60
5;-41;?;136.0;275.0;71;-6;?;6;?
-2;-26;0;?;170.0;69;?;371;-44;-26
1;?;-3;263.0;24.0;74;53;370;?;?
4;?;-4;334.0;-110.0;64;25;373;?;?
?;?;0;393.0;-197.0;54;17;373;-17;27
12;4;?;407.0;-231.0;69;27;363;-27;4
9;39;-2;?;-282.0;77;2;363;-2;39
7;?;1;412.0;-337.0;71;-6;?;6;47
0;24;0;335.0;-396.0;61;11;370;-11;24
-3;1;1;293.0;-424.0;?;-18;370;?;1
?;19;2;263.0;?;67;-10;367;10;19
-7;17;1;263.0;-459.0;66;19;370;-19;17
-7;?;2;203.0;-408.0;68;6;370;-6;-4
0;23;0;166.0;-396.0;67;15;369;-15;23
-1;-3;?;64.0;-292.0;66;10;368;-10;-3
?;-22;3;-65.0;-135.0;66;6;366;-6;-22
?;-19;?;-187.0;41.0;66;5;369;-5;-19
-10;?;5;?;194.0;?;?;369;-23;-40
-5;-36;9;?;292.0;65;14;364;?;-36
?;-43;5;?;368.0;67;0;366;0;?
2;-68;?;-565.0;426.0;70;46;366;-46;-68
26;-100;15;-573.0;?;73;-76;346;76;-100
-8;-151;?;-587.0;396.0;72;-157;?;?;-151
5;-189;-3;-592.0;315.0;62;-98;377;98;-189
53;-91;?;-515.0;99.0;69;?;?;?;-91
?;79;-26;-588.0;?;84;-6;?;6;79
-26;76;6;?;370.0;67;225;378;-225;76
6;1;?;151.0;71.0;58;123;360;-123;1
-5;?;14;793.0;-151.0;68;-9;358;9;-21
3;-9;9;1011.0;?;64;22;362;-22;-9
8;35;-11;1003.0;?;67;?;380;-6;35
1;38;-2;974.0;?;?;-20;?;20;38
?;35;?;905.0;-910.0;66;-35;370;35;35
1;26;0;837.0;-1071.0;?;15;370;-15;26
-1;-11;4;?;?;71;?;367;-46;-11
-2;-39;2;518.0;-892.0;69;42;370;-42;-39
4;-18;?;345.0;-739.0;69;?;?;?;-18
4;3;-7;197.0;-524.0;63;35;377;?;3
-1;-48;5;94.0;-316.0;63;38;366;-38;-48
4;-3;7;-17.0;-99.0;62;30;361;-30;-3
2;43;4;-110.0;197.0;65;-8;363;8;43
1;-23;2;-193.0;478.0;71;32;362;-32;-23
6;?;-1;-293.0;710.0;66;28;365;?;0
?;42;8;-422.0;?;68;10;360;-10;?
-1;7;?;-512.0;1086.0;71;28;365;?;7
5;16;2;-555.0;1177.0;?;?;364;17;16
-5;-2;9;-560.0;?;67;?;360;42;-2
-3;-73;?;-570.0;1062.0;?;-11;368;11;-73
?;?;6;-507.0;921.0;64;5;362;-5;?
2;-68;3;-445.0;687.0;?;22;363;-22;-68
?;-22;-2;-298.0;572.0;64;?;367;18;?
1;-2;?;-281.0;433.0;?;-25;367;?;-2
4;?;3;-244.0;421.0;?;?;364;6;15
4;?;3;?;304.0;?;-36;366;36;47
?;?;-2;?;221.0;62;-9;372;9;36
8;52;1;22.0;159.0;66;?;366;2;52
1;47;-4;?;28.0;53;-37;?;37;47
6;39;?;311.0;?;50;-13;?;?;?
5;57;?;438.0;-152.0;70;50;364;-50;57
-11;?;?;454.0;-189.0;?;40;364;-40;?
?;12;?;487.0;-238.0;86;-21;360;21;12
3;?;8;463.0;-208.0;83;-2;360;2;40
?;5;4;418.0;-182.0;76;?;367;-35;5
-5;-14;-8;?;?;63;31;383;-31;-14
-7;?;-2;354.0;-135.0;61;?;380;-12;23
-11;24;?;338.0;-185.0;72;?;366;-28;24
-10;14;3;344.0;-196.0;75;42;370;-42;14
?;13;?;?;-195.0;?;-16;357;16;13
11;-16;5;299.0;?;78;-9;360;9;-16
?;-24;?;234.0;?;60;-43;378;43;?
?;-15;3;?;72.0;?;?;371;77;-15
0;-26;1;-87.0;162.0;73;-14;368;14;-26
-9;-19;?;-255.0;273.0;74;-14;371;14;-19
-1;-23;-4;-358.0;323.0;63;?;376;-19;-23
-5;-51;-13;-414.0;334.0;67;7;383;-7;?
-3;-17;-6;-437.0;?;?;20;?;-20;-17
1;-16;?;-417.0;302.0;?;77;?;-77;-16
?;-67;9;?;260.0;79;?;352;-28;?
23;-48;1;-365.0;195.0;73;-1;352;?;-48
5;-106;2;-281.0;?;67;-104;360;104;-106
?;-187;-18;-280.0;97.0;55;?;381;169;-187
77;?;-40;-284.0;7.0;49;-93;391;93;-57
21;?;-20;-235.0;?;67;-50;384;50;?
-28;117;2;-245.0;89.0;71;12;378;?;117
5;?;?;-32.0;66.0;66;69;367;?;115
0;57;14;547.0;-210.0;71;?;?;-22;57
-19;39;?;1050.0;-578.0;67;-14;364;14;39
?;51;3;1161.0;-1066.0;63;4;371;-4;51
2;-15;-2;1097.0;-1442.0;66;31;374;-31;-15
-2;-28;-4;?;-1504.0;60;?;?;-46;-28
-2;?;-4;?;-1461.0;62;15;?;-15;17
?;37;-5;611.0;-1486.0;69;-8;376;?;37
?;53;?;424.0;-1672.0;65;-20;379;?;?
?;34;-4;?;?;72;?;374;4;34
?;6;5;459.0;-2168.0;81;1;363;-1;6
-7;33;8;?;-2403.0;72;-51;365;51;33
0;29;?;?;-2558.0;65;-17;372;17;29
0;-25;-1;541.0;-2723.0;65;?;374;-27;-25
-6;-44;1;?;-2998.0;?;-26;372;26;-44
-8;33;0;873.0;-3247.0;74;-36;372;?;33
-8;50;-2;1238.0;-3434.0;70;8;376;?;?
-4;-14;-1;1493.0;-3554.0;70;?;374;-9;-14
0;21;?;1618.0;?;68;-4;373;4;21
0;-4;-1;1802.0;-3338.0;65;-2;376;2;-4
2;11;1;1952.0;-3150.0;65;?;?;9;11
?;50;1;?;?;71;-32;371;32;50
3;-39;-1;?;-2871.0;73;-54;374;54;-39
2;-34;?;2409.0;-2768.0;68;-30;376;30;-34
1;2;1;2345.0;-2635.0;71;-2;375;?;2
-1;15;3;?;-2469.0;69;-12;?;12;15
-7;21;6;1628.0;-2047.0;67;14;375;-14;?
-7;-12;4;1308.0;-1476.0;73;17;?;-17;-12
?;-5;1;1061.0;?;73;-45;376;45;-5
-1;6;3;?;-584.0;69;-33;376;33;?
-1;2;?;?;?;69;7;?;-7;2
-5;10;4;286.0;70.0;72;?;374;?;10
-2;-7;?;?;223.0;?;-14;376;14;?
5;-24;0;253.0;232.0;71;-15;?;15;-24
2;15;2;278.0;138.0;72;-14;374;14;15
-2;?;2;209.0;108.0;?;4;375;-4;31
-8;-8;2;150.0;178.0;72;-3;377;3;-8
-3;-16;-1;?;?;69;-26;380;26;?
2;-36;?;104.0;265.0;63;-37;385;37;?
2;-26;-3;24.0;?;67;-45;383;45;?
7;?;-2;2.0;229.0;69;?;?;44;?
2;-12;?;12.0;?;66;-30;?;?;-12
?;-36;1;9.0;161.0;?;0;378;0;-36
7;-10;9;-46.0;130.0;70;1;?;-1;-10
?;13;4;-92.0;86.0;65;-17;?;17;13
0;24;?;?;13.0;?;1;381;?;24
?;?;3;-120.0;23.0;72;17;?;-17;?
1;-10;3;-195.0;93.0;68;6;377;-6;-10
4;5;-1;-237.0;154.0;72;24;377;?;5
0;?;2;?;280.0;72;42;374;-42;1
-2;9;1;-609.0;493.0;62;32;380;?;9
3;?;2;-1163.0;1096.0;68;?;374;-14;14
3;?;11;?;1865.0;77;?;?;-15;5
-7;?;4;-2461.0;2534.0;69;?;372;?;19
-3;29;0;-3043.0;?;?;?;375;3;29
4;?;?;?;3921.0;74;34;367;-34;20
0;12;2;-3258.0;4682.0;?;13;371;-13;12
?;-7;3;-3137.0;5374.0;67;-52;369;52;?
9;-26;5;-2992.0;5452.0;70;?;365;-27;-26
-4;-13;3;-2912.0;5416.0;?;49;371;-49;?
7;5;?;-2503.0;5650.0;69;16;368;?;5
?;-2;2;-1760.0;6055.0;70;-3;366;3;-2
-3;-18;0;?;5973.0;?;8;371;?;?
?;-4;?;-1733.0;5679.0;75;57;367;-57;-4
10;6;0;?;4961.0;70;?;367;-24;6
2;-27;-3;-746.0;3847.0;66;-11;373;11;?
2;-36;-2;227.0;2298.0;68;-13;371;?;-36
1;-18;0;793.0;950.0;67;10;370;-10;-18
0;1;1;?;186.0;68;10;?;-10;1
?;37;?;958.0;-157.0;?;-14;364;14;37
-5;?;2;676.0;-437.0;?;-12;?;12;47
?;31;1;438.0;-619.0;67;-36;369;?;31
?;22;?;255.0;-716.0;71;0;360;0;22
?;?;0;150.0;-839.0;72;16;366;-16;28
?;22;?;112.0;-921.0;70;-58;370;58;22
0;-6;7;84.0;-983.0;66;-32;364;32;-6
5;-25;?;?;-957.0;?;19;372;-19;-25
7;-26;-4;?;-898.0;66;-18;372;18;-26
2;-26;?;?;-797.0;?;-6;363;6;-26
0;?;3;210.0;-604.0;66;1;365;?;-26
0;?;3;213.0;-410.0;68;-9;?;9;-26
?;-27;5;187.0;-180.0;67;?;364;-37;-27
0;-19;0;193.0;?;68;?;367;-18;-19
-1;-6;0;207.0;?;?;?;367;16;-6
3;-11;1;?;439.0;70;-7;364;7;-11
?;-18;?;222.0;475.0;70;-21;368;21;?
1;-27;-3;233.0;462.0;62;-21;371;21;-27
?;-17;3;?;453.0;65;-13;366;13;?
?;-7;2;283.0;417.0;70;-10;363;10;-7
?;?;5;262.0;?;?;?;364;-14;-45
-3;7;3;201.0;?;62;-18;?;?;?
4;23;0;?;132.0;66;-5;?;5;?
5;-27;4;76.0;61.0;?;49;363;-49;?
-3;12;4;?;?;?;28;?;-28;12
-3;?;?;-135.0;61.0;?;29;364;-29;-5
-2;-12;2;?;?;68;?;364;?;-12
1;10;0;?;136.0;63;-37;366;37;?
?;-10;3;?;?;68;?;?;19;-10
1;21;7;?;108.0;69;-11;358;11;21
4;37;2;-293.0;60.0;?;-2;363;2;?
0;1;0;-184.0;?;66;?;365;41;1
?;-2;?;-95.0;?;68;-12;366;12;-2
0;5;2;?;-9.0;66;24;?;-24;5
-1;?;6;55.0;64.0;65;?;361;-18;-11
-4;-16;5;76.0;97.0;67;37;?;-37;?
2;-33;1;83.0;95.0;63;3;365;-3;-33
0;?;-1;131.0;14.0;60;-15;367;15;-40
-1;12;4;198.0;12.0;66;28;360;-28;12
3;?;0;238.0;-1.0;69;30;362;?;12
-2;-18;-2;220.0;-7.0;65;16;?;?;-18
-2;6;2;?;-36.0;67;27;?;-27;6
2;7;?;263.0;-36.0;71;19;365;?;?
-1;6;-2;185.0;?;73;0;?;0;6
3;33;-1;?;?;72;-6;362;6;33
?;24;-5;45.0;?;?;1;368;?;24
-5;-12;?;31.0;90.0;64;6;?;-6;-12
?;-4;1;50.0;142.0;66;-4;364;?;?
-7;24;1;31.0;139.0;?;3;?;-3;24
-6;?;2;?;122.0;?;28;?;-28;10
?;7;2;?;68.0;?;44;?;?;7
-5;15;-1;-20.0;45.0;66;23;366;-23;?
0;2;-1;12.0;25.0;?;-8;?;8;2
-3;?;1;18.0;-31.0;?;-13;366;?;-6
3;-22;-7;?;-46.0;64;11;?;-11;-22
6;?;?;58.0;35.0;69;33;?;?;-28
?;5;-3;52.0;86.0;67;0;365;0;5
6;?;-5;87.0;107.0;65;-27;368;27;?
?;-23;0;97.0;72.0;?;-10;364;10;-23
3;?;5;123.0;?;66;-3;?;3;?
1;-31;1;88.0;?;68;-26;365;26;?
2;?;-1;41.0;159.0;69;-47;366;?;-34
?;-53;1;36.0;?;69;5;365;-5;-53
?;-62;?;32.0;123.0;70;37;366;-37;-62
5;-32;0;21.0;59.0;?;3;365;-3;-32
1;?;1;16.0;22.0;65;16;365;-16;2
2;49;-4;?;-88.0;?;15;367;-15;49
4;-4;4;36.0;?;?;-16;358;16;-4
2;?;4;4.0;-40.0;?;1;362;-1;-11
3;29;?;-2.0;4.0;66;3;?;?;29
?;?;?;?;9.0;72;10;363;-10;-10
-1;-7;?;-86.0;9.0;67;18;?;-18;?
4;-8;-7;-46.0;-39.0;?;-31;369;?;-8
4;-23;-4;-61.0;-155.0;67;2;369;-2;-23
-5;?;4;-12.0;-201.0;64;19;366;?;-1
-3;?;?;-15.0;-221.0;68;-34;366;?;17
3;2;2;1.0;-203.0;66;16;365;-16;2
1;-16;?;70.0;-119.0;66;58;361;-58;?
-1;7;-5;?;?;?;17;?;-17;7
2;9;?;20.0;87.0;70;?;369;1;9
-1;-42;2;-8.0;192.0;69;-7;364;?;-42
4;-34;?;-63.0;311.0;67;5;366;-5;-34
9;4;1;-78.0;?;66;?;363;-26;4
1;-5;5;-76.0;?;68;-8;361;8;-5
0;17;?;?;?;?;-15;365;15;?
-3;19;-2;-54.0;296.0;63;18;370;-18;?
-6;-1;?;-138.0;212.0;64;0;367;0;-1
3;7;?;-128.0;?;?;-41;?;?;7
1;?;-1;-83.0;98.0;?;-32;?;32;5
-3;5;3;-110.0;5.0;64;-14;366;14;5
7;14;2;-130.0;-28.0;?;-7;365;?;14
7;49;7;?;-104.0;65;27;360;-27;49
4;50;6;-79.0;-48.0;68;-34;?;34;50
?;50;?;?;-56.0;69;-64;366;64;50
-1;33;?;?;-63.0;69;-4;366;4;33
1;-32;-1;-13.0;-92.0;?;?;?;53;-32
