InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-1;17;-4;92.0;27.0;57;26;374;-26;17
2;-21;9;47.0;11.0;73;68;380;-68;-21
55;-13;29;-75.0;65.0;73;-20;385;20;-13
-1;16;3;-9.0;87.0;64;28;392;-28;16
-1;-9;3;23.0;-55.0;71;35;361;-35;-9
-2;5;1;83.0;106.0;70;-15;393;15;5
24;239;-18;-143.0;244.0;95;-51;502;51;239
9;5;1;-145.0;85.0;69;-54;401;54;5
-2;19;-4;39.0;48.0;63;58;394;-58;19
-2;-4;0;189.0;36.0;131;3;840;-3;-4
5;-4;1;-59.0;56.0;67;-4;379;4;-4
-2;19;0;-53.0;21.0;67;16;389;-16;19
-6;-1;2;57.0;0.0;136;23;836;-23;-1
-3;-29;-1;-27.0;78.0;70;56;388;-56;-29
-2;1;1;29.0;-66.0;70;14;389;-14;1
-2;-11;4;-55.0;132.0;75;14;382;-14;-11
0;-10;4;74.0;127.0;67;1;386;-1;-10
-1;-11;-2;74.0;62.0;66;29;389;-29;-11
-12;-11;5;109.0;-33.0;74;-12;381;12;-11
-7;24;9;-7.0;98.0;75;-25;375;25;24
1;-14;4;28.0;50.0;70;34;378;-34;-14
-3;-5;-1;-18.0;-24.0;70;-5;381;5;-5
-3;6;-1;10.0;-83.0;74;24;381;-24;6
28;-8;-1;-52.0;2.0;73;17;375;-17;-8
4;28;-9;143.0;-113.0;56;30;379;-30;28
-3;-19;-3;25.0;147.0;70;-34;390;34;-19
-7;-21;-3;-128.0;131.0;69;14;411;-14;-21
-11;-11;5;121.0;37.0;67;-41;401;41;-11
5;13;6;144.0;-20.0;76;-20;391;20;13
-5;-47;-1;2.0;78.0;58;-27;374;27;-47
6;3;7;114.0;63.0;74;29;389;-29;3
6;13;0;-6.0;84.0;63;26;368;-26;13
-11;-15;-2;21.0;104.0;63;-16;378;16;-15
4;10;-2;-33.0;275.0;77;-78;393;78;10
16;-6;-3;-73.0;12.0;71;-31;377;31;-6
0;3;1;217.0;-122.0;72;10;386;-10;3
-4;-15;-2;-83.0;18.0;69;10;381;-10;-15
0;-40;-10;61.0;-48.0;76;26;378;-26;-40
-12;-35;3;135.0;6.0;66;45;388;-45;-35
2;-19;7;38.0;109.0;68;27;362;-27;-19
-6;34;2;264.0;34.0;71;-17;379;17;34
4;14;0;135.0;-23.0;72;-18;378;18;14
14;30;30;-56.0;38.0;73;-23;377;23;30
18;20;22;-20.0;3.0;74;-25;380;25;20
10;55;3;17.0;59.0;68;-22;382;22;55
2;34;0;-2.0;59.0;68;26;386;-26;34
4;18;-4;-12.0;101.0;71;-41;381;41;18
3;-29;0;20.0;-26.0;71;14;384;-14;-29
7;3;-5;61.0;-130.0;72;15;389;-15;3
-4;13;-2;0.0;-39.0;69;17;386;-17;13
-1;22;4;77.0;38.0;65;19;372;-19;22
-18;135;-3;252.0;-29.0;81;-338;466;338;135
0;-17;-1;-19.0;-14.0;76;-32;388;32;-17
-31;13;-1;-18.0;-1.0;105;-74;385;74;13
-33;-64;17;185.0;76.0;52;16;390;-16;-64
6;23;-6;-16.0;40.0;57;37;376;-37;23
1;-17;2;-74.0;12.0;71;-21;393;21;-17
7;-14;-4;121.0;-77.0;74;-14;387;14;-14
0;21;2;51.0;118.0;80;-22;386;22;21
4;0;8;-13.0;-20.0;70;12;361;-12;0
3;-16;7;-58.0;-35.0;70;-3;362;3;-16
-3;-38;-2;38.0;80.0;74;-25;392;25;-38
0;5;4;39.0;53.0;71;48;372;-48;5
-1;-1;6;-70.0;73.0;68;1;395;-1;-1
-3;2;-1;2.0;158.0;74;-18;403;18;2
2;7;1;101.0;-7.0;71;-19;365;19;7
2;10;2;-31.0;92.0;69;-12;366;12;10
-5;6;3;-14.0;63.0;71;28;388;-28;6
2;-2;3;0.0;55.0;66;-33;367;33;-2
1;-25;-2;74.0;-16.0;70;0;368;0;-25
-2;-10;-2;80.0;-1.0;66;6;371;-6;-10
0;33;-6;-4.0;-2.0;70;46;368;-46;33
-1;-19;2;3.0;0.0;65;-21;370;21;-19
7;3;4;53.0;-76.0;71;32;362;-32;3
2;-17;-14;118.0;50.0;67;23;368;-23;-17
1;20;2;-59.0;48.0;71;-12;376;12;20
-1;32;3;-80.0;78.0;72;-54;376;54;32
-82;-27;171;-54.0;-33.0;94;-9;399;9;-27
-61;-23;-154;290.0;-236.0;91;279;456;-279;-23
-3;-3;-6;56.0;66.0;72;50;376;-50;-3
-58;328;96;169.0;139.0;73;170;455;-170;328
-11;-15;1;-3.0;132.0;73;7;366;-7;-15
-1;-34;-3;32.0;125.0;69;14;378;-14;-34
-4;-26;-2;19.0;118.0;69;0;368;0;-26
-37;921;-265;-177.0;76.0;169;-448;348;448;921
-4;29;1;57.0;138.0;71;-19;385;19;29
2;-3;1;-16.0;-315.0;71;1;396;-1;-3
6;-4;0;53.0;-105.0;68;29;403;-29;-4
2;1;-2;-40.0;78.0;71;2;406;-2;1
9;-11;1;2.0;34.0;67;40;383;-40;-11
5;-24;-5;27.0;-19.0;71;58;390;-58;-24
5;-23;2;138.0;-30.0;67;-40;374;40;-23
-2;5;-2;15.0;112.0;64;-1;378;1;5
5;-31;2;47.0;14.0;70;-9;375;9;-31
-248;201;-292;49.0;313.0;110;-861;761;861;201
2;5;1;-7.0;32.0;129;-7;842;7;5
-8;-5;-8;2.0;87.0;66;-23;383;23;-5
7;30;0;-1.0;153.0;64;4;366;-4;30
-1;9;4;-41.0;20.0;70;-15;381;15;9
0;3;0;127.0;64.0;69;-54;371;54;3
4;-23;4;47.0;76.0;75;2;376;-2;-23
0;24;-6;253.0;163.0;71;-16;370;16;24
0;-9;-1;-48.0;9.0;75;-20;391;20;-9
0;-26;1;-87.0;162.0;73;-14;368;14;-26
5;-23;7;-74.0;92.0;68;-14;403;14;-23
2;-8;-6;95.0;-20.0;65;42;386;-42;-8
1;-53;3;12.0;44.0;67;-9;380;9;-53
-1;-28;6;75.0;-53.0;64;10;380;-10;-28
2;18;2;-34.0;38.0;70;3;380;-3;18
-1;14;4;67.0;122.0;69;7;372;-7;14
0;-24;3;-5.0;42.0;70;36;379;-36;-24
1;-12;-5;2.0;94.0;70;3;385;-3;-12
6;-16;5;3.0;-19.0;65;23;379;-23;-16
4;-29;-1;151.0;-37.0;71;15;374;-15;-29
6;-15;2;23.0;86.0;72;35;401;-35;-15
-4;-32;23;-11.0;-84.0;72;-16;413;16;-32
2;-33;1;83.0;95.0;63;3;365;-3;-33
2;-103;13;70.0;-111.0;69;-172;432;172;-103
1;16;-3;72.0;136.0;75;2;396;-2;16
-19;-36;6;-55.0;84.0;68;37;407;-37;-36
10;-29;-1;35.0;44.0;67;-37;383;37;-29
-2;36;4;32.0;-122.0;65;-4;364;4;36
-68;-19;11;175.0;52.0;70;-25;385;25;-19
8;-24;-2;240.0;-158.0;72;-51;377;51;-24
9;-27;-1;44.0;153.0;73;-3;360;3;-27
1;-16;1;107.0;-159.0;76;8;370;-8;-16
1;-38;-4;-213.0;-99.0;73;-104;436;104;-38
24;-217;2;316.0;385.0;65;-213;372;213;-217
-4;0;13;8.0;91.0;69;60;353;-60;0
102;345;-92;-379.0;-460.0;135;-3638;443;3638;345
2;-8;-3;-117.0;35.0;77;-25;390;25;-8
480;-2296;-99;167.0;-520.0;147;1279;859;-1279;-2296
-3;5;3;-110.0;5.0;64;-14;366;14;5
4;-23;-4;-61.0;-155.0;67;2;369;-2;-23
-70;164;-277;309.0;-379.0;112;-26;386;26;164
-677;-687;-69;73.0;-955.0;-206;-8075;724;8075;-687
-2;10;-1;543.0;-408.0;67;-34;382;34;10
178;104;-61;167.0;182.0;73;33;397;-33;104
-2;5;4;142.0;165.0;70;49;386;-49;5
38;28;10;-320.0;9.0;65;-12;385;12;28
-16;-73;-84;695.0;-1623.0;97;-771;321;771;-73
3;-349;119;-204.0;60.0;116;780;541;-780;-349
4;-22;0;-172.0;-132.0;129;-23;843;23;-22
-5;314;-250;661.0;8.0;66;-38;439;38;314
-133;-559;41;-273.0;430.0;73;-347;343;347;-559
-199;-202;-33;-34.0;430.0;206;411;380;-411;-202
-102;-30;4;328.0;-1223.0;99;-109;361;109;-30
7;-2;16;61.0;-153.0;77;-27;369;27;-2
112;9;8;1289.0;-2162.0;112;-149;370;149;9
-1;13;0;-306.0;170.0;72;-14;392;14;13
8;-50;-4;83.0;-126.0;66;-10;385;10;-50
0;23;-24;323.0;-114.0;72;-26;386;26;23
-261;272;-581;356.0;-580.0;1406;-86;-221;86;272
-1602;117;1206;-238.0;199.0;298;267;1971;-267;117
-228;1377;-131;-382.0;621.0;13;-1051;817;1051;1377
6;-20;-3;0.0;194.0;131;14;839;-14;-20
-271;71;-348;114.0;368.0;168;-36;421;36;71
-8;1220;-337;-574.0;587.0;-200;5837;829;-5837;1220
-4;13;1;-60.0;245.0;72;-19;376;19;13
-67;-357;66;347.0;-317.0;69;-181;359;181;-357
-52;-18;22;-174.0;265.0;64;22;379;-22;-18
-32;-26;35;-115.0;60.0;75;-23;382;23;-26
-5;6;-1;-223.0;549.0;74;-34;381;34;6
1;12;44;555.0;188.0;51;-39;425;39;12
6;4;3;44.0;220.0;70;21;361;-21;4
-5;-36;-1;-217.0;18.0;67;12;402;-12;-36
-12;26;-17;-70.0;239.0;77;79;461;-79;26
-68;-8;-30;520.0;7.0;72;3;390;-3;-8
-228;-12;-56;-138.0;281.0;101;28;374;-28;-12
-1;5;3;242.0;-499.0;67;16;385;-16;5
59;15;0;-108.0;169.0;72;16;379;-16;15
-2;11;6;-493.0;297.0;65;-2;363;2;11
-978;-3094;-808;-743.0;562.0;683;-2650;-379;2650;-3094
-313;-622;-46;336.0;-439.0;-101;2545;862;-2545;-622
-12;-33;-6;-212.0;1014.0;66;-26;404;26;-33
1;-16;-6;272.0;262.0;70;-12;386;12;-16
-35;-19;-14;-512.0;203.0;80;-66;386;66;-19
352;1465;-196;-320.0;-97.0;-92;500;527;-500;1465
-7;-7;38;766.0;696.0;70;1;391;-1;-7
2;70;-3;-341.0;-611.0;78;-39;447;39;70
-67;28;-30;98.0;691.0;67;49;384;-49;28
9;-321;11;-132.0;-262.0;67;-1211;520;1211;-321
-30;22;-95;841.0;-991.0;73;-3;405;3;22
37;65;233;118.0;435.0;140;15;336;-15;65
-68;56;37;1104.0;-151.0;71;-37;401;37;56
-143;3;35;-1523.0;178.0;83;36;382;-36;3
-7;-28;3;-654.0;690.0;68;-50;399;50;-28
8;-96;23;-348.0;-266.0;73;-18;382;18;-96
-13;-1064;128;-101.0;257.0;22;250;515;-250;-1064
5;-125;-15;-201.0;382.0;65;-66;407;66;-125
-154;15;-96;-974.0;1619.0;82;-70;414;70;15
587;1046;74;-1126.0;1087.0;760;2820;480;-2820;1046
-49;286;-22;-425.0;-366.0;37;-70;385;70;286
