Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RWR accZ;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
947.0;-387.0;?;-484.0;-750.0;463.0;242.0;-890.0;1078.0
994.0;-413.0;-974.0;-494.0;-764.0;470.0;?;-943.0;?
?;-398.0;?;-493.0;-813.0;491.0;?;-984.0;1065.0
890.0;-379.0;-992.0;-524.0;-902.0;561.0;?;-1008.0;1062.0
?;-409.0;-1005.0;-564.0;-814.0;627.0;226.0;?;1019.0
796.0;-429.0;-1002.0;-529.0;?;650.0;263.0;-1018.0;?
735.0;-409.0;-926.0;-559.0;?;703.0;?;-1069.0;811.0
?;?;-900.0;?;-624.0;710.0;308.0;-1145.0;677.0
653.0;-568.0;-826.0;-526.0;?;649.0;277.0;?;492.0
656.0;-767.0;-756.0;-562.0;-674.0;635.0;316.0;-1045.0;400.0
709.0;-1093.0;-715.0;-686.0;-709.0;577.0;365.0;-961.0;?
774.0;?;-695.0;-755.0;-597.0;?;359.0;-867.0;193.0
790.0;-1121.0;-660.0;-1140.0;-987.0;493.0;387.0;-719.0;-68.0
?;-957.0;-700.0;-1311.0;-1475.0;?;497.0;?;111.0
830.0;?;-851.0;-1369.0;-1290.0;471.0;?;-636.0;334.0
816.0;-737.0;-1186.0;-1343.0;?;?;931.0;-486.0;518.0
762.0;-672.0;-1407.0;-1206.0;-1131.0;627.0;1270.0;?;689.0
690.0;-682.0;-1236.0;-1030.0;?;?;1225.0;?;?
?;-756.0;-1210.0;-914.0;-973.0;?;1277.0;-930.0;514.0
?;?;-1048.0;-836.0;-836.0;541.0;1128.0;-944.0;459.0
760.0;-978.0;-1034.0;-889.0;?;433.0;?;-855.0;332.0
855.0;-971.0;?;-1006.0;-1034.0;348.0;810.0;-754.0;342.0
923.0;-934.0;?;?;?;367.0;704.0;-730.0;321.0
922.0;-828.0;-850.0;?;-1174.0;457.0;737.0;?;305.0
947.0;-777.0;-814.0;-1277.0;-1157.0;644.0;845.0;-544.0;288.0
?;?;-940.0;45.0;90.0;392.0;356.0;-712.0;529.0
697.0;?;-852.0;?;?;360.0;157.0;-647.0;512.0
762.0;-224.0;-764.0;183.0;619.0;344.0;-24.0;-482.0;357.0
677.0;246.0;-592.0;269.0;784.0;270.0;?;?;?
886.0;?;-551.0;391.0;?;459.0;-226.0;-448.0;329.0
?;962.0;-534.0;?;1616.0;?;?;-406.0;530.0
970.0;?;-638.0;?;2014.0;?;-330.0;?;638.0
?;1489.0;-721.0;?;2099.0;974.0;?;-367.0;?
838.0;1447.0;-853.0;1562.0;?;1349.0;-567.0;-649.0;808.0
596.0;1384.0;-860.0;1710.0;2261.0;?;-823.0;-976.0;1039.0
546.0;?;-751.0;?;?;1306.0;-1204.0;-1087.0;764.0
507.0;1156.0;-789.0;?;?;1299.0;?;-1188.0;717.0
579.0;1115.0;-711.0;1316.0;1227.0;1203.0;-1691.0;-1314.0;?
554.0;1043.0;-479.0;971.0;1044.0;1097.0;-1824.0;-1287.0;867.0
568.0;986.0;-604.0;932.0;1144.0;?;-1627.0;-989.0;889.0
?;929.0;-518.0;853.0;1275.0;1154.0;-1409.0;-1028.0;?
502.0;919.0;-406.0;?;1246.0;994.0;?;-1076.0;711.0
469.0;973.0;?;765.0;1135.0;1010.0;-991.0;-888.0;?
440.0;1081.0;-429.0;748.0;1101.0;?;-975.0;-779.0;629.0
?;1120.0;?;791.0;1128.0;893.0;-955.0;?;?
?;1070.0;-352.0;?;?;820.0;?;-612.0;?
303.0;1067.0;-338.0;1006.0;1187.0;?;-871.0;-595.0;592.0
281.0;1019.0;-349.0;1025.0;1128.0;?;-860.0;-659.0;530.0
321.0;982.0;-330.0;1025.0;?;721.0;?;?;460.0
308.0;997.0;-260.0;1001.0;1135.0;582.0;-1062.0;-534.0;441.0
303.0;967.0;-170.0;965.0;1112.0;579.0;-1099.0;-441.0;412.0
314.0;956.0;-139.0;962.0;1143.0;?;-1073.0;-340.0;349.0
339.0;889.0;-107.0;?;1112.0;518.0;-1054.0;-281.0;?
367.0;875.0;?;?;1044.0;529.0;-1042.0;-249.0;259.0
383.0;892.0;-50.0;908.0;?;?;-1038.0;-250.0;258.0
370.0;861.0;-50.0;?;936.0;543.0;-1035.0;-254.0;222.0
385.0;?;-88.0;?;942.0;497.0;-1029.0;-240.0;248.0
?;900.0;?;820.0;936.0;523.0;-995.0;-222.0;304.0
?;872.0;?;?;940.0;552.0;?;-211.0;296.0
454.0;914.0;?;813.0;945.0;582.0;?;?;309.0
450.0;?;-163.0;816.0;942.0;607.0;-930.0;-248.0;346.0
413.0;957.0;-160.0;797.0;1017.0;606.0;-916.0;-241.0;380.0
397.0;962.0;-193.0;855.0;?;579.0;-925.0;-243.0;471.0
417.0;990.0;-218.0;896.0;1101.0;620.0;?;-272.0;479.0
395.0;1001.0;-217.0;899.0;1093.0;601.0;-923.0;-323.0;488.0
381.0;1019.0;-217.0;?;1099.0;597.0;?;-380.0;?
383.0;?;-164.0;921.0;?;576.0;?;-421.0;?
372.0;1011.0;-158.0;914.0;1069.0;?;?;-411.0;568.0
388.0;1005.0;-194.0;?;1050.0;609.0;-976.0;-379.0;556.0
378.0;980.0;-225.0;871.0;1051.0;582.0;-996.0;-399.0;505.0
388.0;963.0;-161.0;879.0;1016.0;576.0;?;-457.0;495.0
?;914.0;-130.0;?;?;610.0;-973.0;-451.0;501.0
315.0;?;-139.0;847.0;1000.0;580.0;-961.0;-397.0;454.0
326.0;863.0;?;?;995.0;575.0;-962.0;?;371.0
?;841.0;-158.0;?;901.0;571.0;?;-413.0;231.0
228.0;627.0;-187.0;787.0;803.0;546.0;-936.0;-404.0;422.0
524.0;?;?;?;775.0;582.0;-927.0;-382.0;408.0
414.0;1429.0;-245.0;626.0;548.0;571.0;?;?;396.0
422.0;?;-283.0;585.0;1186.0;483.0;-850.0;-361.0;306.0
272.0;905.0;-135.0;?;?;606.0;?;?;375.0
359.0;?;-157.0;1289.0;1135.0;793.0;-779.0;?;435.0
?;815.0;-131.0;947.0;770.0;612.0;?;-304.0;337.0
?;903.0;-347.0;779.0;?;?;-1006.0;?;301.0
539.0;956.0;-201.0;827.0;1007.0;488.0;-1507.0;?;527.0
459.0;940.0;?;810.0;?;469.0;?;-312.0;670.0
?;906.0;-372.0;900.0;1258.0;477.0;-798.0;-255.0;516.0
430.0;908.0;?;868.0;?;534.0;-842.0;-338.0;450.0
?;945.0;-185.0;820.0;1016.0;558.0;?;-620.0;?
422.0;958.0;-157.0;821.0;978.0;?;?;-524.0;457.0
387.0;952.0;?;839.0;?;?;-1047.0;-269.0;472.0
375.0;929.0;-241.0;868.0;?;?;?;?;483.0
393.0;893.0;-248.0;877.0;1029.0;582.0;?;?;456.0
407.0;917.0;?;?;1010.0;617.0;-936.0;-415.0;?
408.0;?;-175.0;834.0;953.0;613.0;-971.0;?;396.0
398.0;943.0;-156.0;833.0;958.0;628.0;-980.0;?;349.0
408.0;952.0;-185.0;841.0;1016.0;662.0;-964.0;?;389.0
?;964.0;-218.0;855.0;980.0;?;-941.0;?;387.0
418.0;1006.0;-226.0;851.0;951.0;638.0;-917.0;?;389.0
413.0;?;-228.0;858.0;990.0;?;-926.0;-362.0;393.0
396.0;950.0;-241.0;875.0;1050.0;659.0;-944.0;-358.0;?
?;930.0;-238.0;911.0;?;?;-943.0;-363.0;437.0
413.0;933.0;?;875.0;?;629.0;-935.0;-374.0;417.0
411.0;918.0;?;839.0;972.0;591.0;?;-382.0;421.0
383.0;956.0;-227.0;840.0;981.0;588.0;?;-376.0;432.0
359.0;?;-237.0;?;993.0;579.0;?;?;452.0
366.0;935.0;-260.0;830.0;996.0;608.0;-929.0;-411.0;453.0
367.0;917.0;-268.0;839.0;?;?;-914.0;?;463.0
378.0;926.0;-229.0;823.0;1005.0;599.0;-915.0;-424.0;439.0
?;?;-197.0;848.0;955.0;570.0;-908.0;-405.0;424.0
378.0;977.0;-211.0;828.0;983.0;580.0;?;?;420.0
361.0;990.0;-185.0;845.0;1016.0;?;-911.0;-367.0;399.0
349.0;1000.0;?;?;1056.0;570.0;-917.0;-347.0;391.0
339.0;1000.0;?;906.0;1059.0;559.0;-914.0;-336.0;379.0
345.0;986.0;-175.0;?;1018.0;561.0;?;-330.0;369.0
?;?;?;915.0;995.0;572.0;?;?;367.0
365.0;?;-157.0;892.0;?;575.0;-995.0;-326.0;383.0
376.0;926.0;?;876.0;986.0;541.0;-1004.0;-300.0;375.0
?;927.0;-152.0;880.0;1007.0;547.0;-991.0;-286.0;?
412.0;932.0;-180.0;853.0;1012.0;?;-975.0;?;412.0
410.0;936.0;-178.0;849.0;1007.0;555.0;-961.0;-310.0;406.0
391.0;?;-173.0;831.0;1022.0;539.0;-961.0;?;394.0
376.0;960.0;-176.0;?;989.0;523.0;?;-312.0;424.0
379.0;?;-188.0;?;?;540.0;-953.0;-313.0;?
386.0;?;-185.0;868.0;?;?;-949.0;-331.0;419.0
381.0;949.0;-207.0;?;?;?;-959.0;-355.0;436.0
395.0;?;?;870.0;988.0;533.0;-953.0;-360.0;408.0
337.0;779.0;-189.0;871.0;940.0;547.0;-950.0;-355.0;463.0
349.0;658.0;-187.0;812.0;895.0;550.0;-952.0;?;413.0
561.0;?;?;792.0;674.0;562.0;-949.0;-369.0;449.0
404.0;1150.0;-191.0;499.0;?;486.0;-948.0;?;344.0
334.0;877.0;-189.0;1048.0;1524.0;495.0;?;-357.0;273.0
364.0;790.0;-199.0;1271.0;?;857.0;-872.0;-346.0;?
368.0;898.0;?;759.0;741.0;579.0;-710.0;-365.0;408.0
433.0;?;-284.0;737.0;773.0;415.0;-722.0;?;?
441.0;1067.0;-400.0;760.0;1064.0;?;?;-372.0;560.0
400.0;896.0;-198.0;932.0;1359.0;458.0;-1111.0;-457.0;633.0
447.0;810.0;?;1034.0;1262.0;531.0;-723.0;-376.0;548.0
475.0;836.0;-366.0;904.0;1011.0;621.0;-757.0;-376.0;463.0
?;?;-89.0;772.0;934.0;547.0;-905.0;-471.0;484.0
425.0;911.0;-159.0;?;?;528.0;-1098.0;?;495.0
391.0;922.0;-231.0;776.0;1033.0;?;-1068.0;-283.0;?
?;?;-259.0;813.0;?;529.0;?;?;415.0
409.0;924.0;-278.0;848.0;986.0;?;?;-403.0;396.0
398.0;905.0;-270.0;858.0;962.0;509.0;-898.0;?;?
398.0;907.0;-267.0;856.0;1005.0;?;-934.0;-359.0;458.0
?;935.0;-266.0;842.0;974.0;?;-948.0;-331.0;427.0
419.0;?;?;?;992.0;?;-943.0;-334.0;429.0
407.0;926.0;-210.0;839.0;996.0;529.0;?;-342.0;434.0
452.0;934.0;-181.0;?;993.0;518.0;-935.0;-335.0;426.0
?;968.0;?;853.0;985.0;?;-937.0;-319.0;425.0
425.0;962.0;?;848.0;989.0;586.0;-936.0;?;391.0
413.0;894.0;?;848.0;1004.0;?;-938.0;-364.0;431.0
?;867.0;-253.0;868.0;954.0;622.0;-936.0;?;415.0
428.0;?;-267.0;821.0;?;602.0;-933.0;-372.0;414.0
420.0;920.0;-283.0;811.0;943.0;581.0;-949.0;-378.0;404.0
?;923.0;?;791.0;958.0;579.0;-962.0;-379.0;427.0
386.0;?;-306.0;808.0;950.0;?;-935.0;-405.0;432.0
?;978.0;-296.0;820.0;958.0;542.0;-878.0;?;439.0
337.0;999.0;-293.0;825.0;998.0;?;-886.0;-401.0;455.0
?;?;-259.0;847.0;1014.0;550.0;-899.0;-407.0;449.0
349.0;?;-246.0;867.0;?;557.0;-902.0;-399.0;?
358.0;999.0;-230.0;908.0;1058.0;?;?;-405.0;413.0
353.0;1012.0;-182.0;?;1035.0;557.0;-914.0;-390.0;?
379.0;1001.0;-152.0;906.0;1043.0;510.0;-934.0;-359.0;380.0
368.0;?;?;932.0;1048.0;526.0;-967.0;-337.0;393.0
361.0;971.0;-196.0;911.0;1030.0;?;-1000.0;-348.0;?
354.0;975.0;-192.0;?;1040.0;502.0;?;-353.0;423.0
?;?;?;905.0;?;513.0;-992.0;-325.0;414.0
319.0;992.0;-180.0;905.0;1057.0;?;-1004.0;?;424.0
339.0;976.0;-179.0;896.0;1038.0;553.0;-994.0;-323.0;404.0
349.0;934.0;-162.0;904.0;?;568.0;?;?;?
?;954.0;-136.0;885.0;1012.0;570.0;-991.0;-310.0;381.0
372.0;962.0;?;884.0;995.0;562.0;-989.0;-290.0;?
351.0;978.0;?;876.0;1006.0;567.0;?;?;?
?;972.0;?;875.0;?;?;?;-283.0;?
330.0;?;-143.0;?;1033.0;520.0;-978.0;?;396.0
332.0;930.0;-169.0;910.0;1030.0;592.0;-959.0;?;417.0
311.0;885.0;?;892.0;1006.0;528.0;-963.0;-295.0;420.0
?;?;-154.0;874.0;987.0;533.0;-970.0;-315.0;428.0
442.0;1006.0;-123.0;813.0;801.0;539.0;-983.0;-309.0;?
400.0;1244.0;-98.0;?;?;557.0;?;?;419.0
405.0;854.0;-100.0;759.0;1339.0;504.0;-957.0;-306.0;230.0
410.0;864.0;?;1184.0;1034.0;682.0;-911.0;?;374.0
407.0;860.0;-151.0;879.0;786.0;763.0;-847.0;-316.0;?
396.0;880.0;?;754.0;?;?;-688.0;-327.0;314.0
?;981.0;?;773.0;?;486.0;?;-268.0;494.0
374.0;1037.0;?;797.0;?;480.0;-1123.0;-385.0;701.0
408.0;932.0;?;868.0;1339.0;454.0;-799.0;-336.0;?
394.0;881.0;?;989.0;1197.0;507.0;-829.0;?;500.0
411.0;866.0;-189.0;?;1018.0;541.0;-852.0;-550.0;?
410.0;902.0;-161.0;?;?;?;-894.0;-443.0;500.0
?;933.0;?;?;996.0;509.0;-1030.0;-296.0;507.0
?;932.0;?;852.0;1054.0;507.0;-1046.0;-331.0;?
368.0;913.0;?;888.0;?;486.0;?;-364.0;364.0
371.0;912.0;-207.0;874.0;981.0;462.0;-893.0;-341.0;?
376.0;919.0;?;856.0;961.0;468.0;-918.0;-306.0;375.0
355.0;?;-167.0;838.0;964.0;526.0;?;-283.0;384.0
383.0;942.0;-195.0;849.0;?;?;-981.0;-284.0;399.0
400.0;961.0;-203.0;832.0;1000.0;548.0;-963.0;?;397.0
417.0;946.0;-179.0;?;?;562.0;-941.0;?;393.0
398.0;931.0;-166.0;868.0;1010.0;561.0;-936.0;-291.0;414.0
?;927.0;-183.0;?;993.0;593.0;-934.0;-290.0;413.0
433.0;938.0;-192.0;865.0;969.0;597.0;-935.0;-311.0;404.0
446.0;958.0;-204.0;849.0;983.0;587.0;?;-331.0;400.0
425.0;955.0;?;860.0;?;609.0;-960.0;-333.0;386.0
390.0;936.0;-221.0;873.0;1016.0;?;-946.0;-338.0;?
397.0;923.0;-247.0;882.0;985.0;622.0;-925.0;?;455.0
417.0;962.0;?;836.0;968.0;592.0;?;-369.0;432.0
417.0;951.0;-262.0;?;982.0;609.0;-960.0;-386.0;452.0
?;943.0;-264.0;845.0;995.0;579.0;-986.0;?;452.0
384.0;944.0;-258.0;828.0;986.0;589.0;-946.0;?;448.0
362.0;952.0;-268.0;844.0;1001.0;547.0;-912.0;-396.0;456.0
352.0;?;?;842.0;1004.0;524.0;-921.0;?;484.0
369.0;993.0;?;851.0;985.0;538.0;-931.0;?;435.0
330.0;993.0;-227.0;883.0;987.0;529.0;-927.0;-388.0;429.0
324.0;995.0;?;895.0;1028.0;550.0;-933.0;-402.0;443.0
?;998.0;-194.0;905.0;1039.0;536.0;-929.0;-403.0;424.0
336.0;1007.0;-192.0;913.0;1047.0;518.0;-931.0;-369.0;405.0
329.0;1001.0;-194.0;?;1039.0;497.0;-947.0;-371.0;411.0
?;1013.0;-193.0;927.0;1079.0;501.0;?;-360.0;411.0
314.0;1006.0;-177.0;917.0;1056.0;535.0;?;?;423.0
300.0;989.0;?;922.0;1073.0;552.0;?;-329.0;365.0
329.0;?;-153.0;943.0;1053.0;500.0;-990.0;-317.0;356.0
320.0;971.0;-99.0;944.0;1042.0;541.0;-1014.0;-299.0;334.0
330.0;?;-79.0;924.0;?;552.0;-1002.0;-269.0;343.0
?;?;-67.0;?;1024.0;581.0;?;-242.0;333.0
386.0;?;-97.0;896.0;1027.0;?;-1016.0;-245.0;332.0
371.0;929.0;-101.0;892.0;996.0;571.0;-1011.0;-254.0;346.0
?;979.0;-109.0;855.0;?;569.0;-994.0;-254.0;325.0
?;912.0;-117.0;855.0;?;544.0;-987.0;-239.0;364.0
393.0;909.0;-126.0;?;?;536.0;-987.0;-244.0;392.0
392.0;?;-148.0;878.0;974.0;547.0;-965.0;?;?
?;874.0;?;849.0;?;512.0;-949.0;-287.0;404.0
?;?;-171.0;796.0;?;533.0;-963.0;-308.0;421.0
?;1271.0;?;?;783.0;535.0;-970.0;-309.0;?
448.0;1279.0;-166.0;?;824.0;535.0;-941.0;-310.0;481.0
332.0;874.0;-197.0;824.0;?;444.0;-904.0;?;354.0
?;883.0;-207.0;1397.0;1012.0;?;-864.0;-385.0;?
?;891.0;-228.0;767.0;794.0;655.0;-808.0;-410.0;?
408.0;943.0;?;766.0;?;458.0;-652.0;-400.0;386.0
435.0;?;-392.0;764.0;1008.0;?;-1406.0;-367.0;566.0
395.0;996.0;-244.0;862.0;1313.0;472.0;-1114.0;-465.0;?
388.0;902.0;-339.0;1021.0;1350.0;497.0;-758.0;-397.0;479.0
386.0;882.0;?;1008.0;?;576.0;?;-413.0;485.0
394.0;921.0;-131.0;863.0;1020.0;566.0;-851.0;?;499.0
405.0;939.0;-202.0;853.0;1015.0;?;-987.0;-382.0;493.0
375.0;925.0;-267.0;868.0;1053.0;572.0;?;-310.0;458.0
?;?;-188.0;884.0;1065.0;587.0;-1010.0;-388.0;435.0
401.0;865.0;-209.0;904.0;993.0;543.0;-916.0;-358.0;373.0
408.0;827.0;-187.0;846.0;954.0;549.0;-936.0;-302.0;?
422.0;?;?;?;918.0;551.0;-975.0;-277.0;335.0
458.0;863.0;-157.0;781.0;891.0;590.0;-994.0;-264.0;348.0
444.0;888.0;-193.0;785.0;928.0;561.0;-960.0;?;353.0
490.0;920.0;-198.0;802.0;?;590.0;-938.0;-256.0;344.0
?;943.0;-220.0;821.0;989.0;560.0;-900.0;-263.0;391.0
466.0;933.0;-240.0;830.0;1034.0;558.0;-880.0;-286.0;455.0
?;973.0;-260.0;856.0;?;535.0;-899.0;-300.0;488.0
463.0;989.0;?;?;1082.0;?;?;-334.0;?
437.0;976.0;-287.0;891.0;?;573.0;?;-384.0;547.0
446.0;?;?;897.0;1098.0;583.0;-949.0;-407.0;?
?;969.0;?;888.0;1070.0;?;-973.0;-421.0;?
430.0;960.0;-293.0;885.0;1039.0;610.0;-972.0;-448.0;547.0
415.0;958.0;-276.0;878.0;?;605.0;-989.0;-465.0;516.0
409.0;949.0;?;859.0;985.0;603.0;?;-459.0;474.0
388.0;957.0;-253.0;?;990.0;621.0;-971.0;?;452.0
358.0;964.0;-274.0;831.0;970.0;?;?;-435.0;425.0
?;?;-281.0;?;?;601.0;-949.0;-442.0;431.0
341.0;941.0;-295.0;828.0;?;585.0;?;-442.0;?
?;943.0;?;?;968.0;562.0;-924.0;-431.0;407.0
329.0;943.0;-262.0;847.0;?;?;-914.0;-400.0;399.0
358.0;933.0;?;861.0;1005.0;560.0;?;?;403.0
330.0;952.0;-205.0;?;?;539.0;?;-343.0;366.0
?;991.0;-211.0;869.0;951.0;539.0;-925.0;?;376.0
310.0;998.0;-187.0;846.0;1009.0;482.0;-928.0;-346.0;343.0
323.0;995.0;-176.0;900.0;?;?;-948.0;-322.0;?
?;1050.0;-161.0;907.0;1032.0;489.0;-941.0;?;?
?;1041.0;?;931.0;1079.0;483.0;?;-296.0;364.0
?;965.0;-159.0;966.0;?;480.0;-946.0;-293.0;382.0
383.0;937.0;-156.0;989.0;1060.0;501.0;-983.0;-293.0;383.0
358.0;929.0;-122.0;917.0;1001.0;512.0;?;-286.0;404.0
362.0;937.0;-101.0;868.0;?;541.0;-1010.0;?;384.0
?;915.0;-72.0;869.0;1011.0;545.0;?;-246.0;394.0
370.0;943.0;-94.0;863.0;996.0;531.0;-1032.0;?;384.0
352.0;985.0;?;853.0;1022.0;526.0;?;?;380.0
358.0;?;-169.0;880.0;1044.0;549.0;-969.0;-301.0;384.0
?;972.0;-168.0;893.0;1044.0;540.0;?;-309.0;434.0
348.0;963.0;-161.0;917.0;?;?;?;-306.0;427.0
340.0;933.0;-164.0;918.0;1042.0;?;-950.0;-301.0;400.0
319.0;911.0;-156.0;927.0;976.0;520.0;-969.0;-310.0;401.0
?;888.0;?;843.0;972.0;506.0;-982.0;?;389.0
314.0;830.0;-144.0;827.0;906.0;?;-991.0;-308.0;403.0
355.0;849.0;-142.0;778.0;937.0;521.0;-985.0;-304.0;?
484.0;1223.0;-152.0;785.0;782.0;532.0;?;?;?
397.0;1239.0;-165.0;688.0;1142.0;512.0;-922.0;-321.0;406.0
369.0;1039.0;-165.0;1074.0;1381.0;?;-884.0;-342.0;305.0
384.0;898.0;?;1168.0;1062.0;658.0;-860.0;-358.0;?
333.0;932.0;-116.0;982.0;882.0;?;-823.0;-342.0;502.0
362.0;1011.0;-148.0;831.0;880.0;475.0;-779.0;-297.0;543.0
298.0;1004.0;?;?;1191.0;499.0;-1347.0;-311.0;641.0
307.0;?;-232.0;942.0;1365.0;450.0;-1140.0;-440.0;613.0
369.0;934.0;-353.0;1003.0;1369.0;482.0;-904.0;?;488.0
417.0;947.0;-342.0;1019.0;1190.0;547.0;-868.0;-498.0;468.0
506.0;980.0;?;948.0;1072.0;580.0;-944.0;?;465.0
?;971.0;-164.0;917.0;1043.0;557.0;?;-361.0;580.0
786.0;878.0;-125.0;907.0;1094.0;542.0;-1083.0;-229.0;651.0
?;742.0;-106.0;873.0;1116.0;?;-1040.0;-277.0;810.0
1008.0;678.0;?;?;1108.0;?;-995.0;?;881.0
1019.0;?;?;?;950.0;?;-976.0;-462.0;882.0
?;?;-178.0;515.0;?;594.0;-975.0;-513.0;964.0
1059.0;514.0;?;461.0;789.0;612.0;?;?;931.0
1008.0;334.0;-471.0;450.0;740.0;609.0;-869.0;-954.0;900.0
965.0;2.0;?;383.0;578.0;577.0;-744.0;-1099.0;?
?;?;-556.0;?;434.0;599.0;?;-1107.0;?
?;?;-536.0;150.0;358.0;?;-619.0;-1147.0;588.0
880.0;-270.0;-515.0;60.0;189.0;554.0;-601.0;?;?
876.0;-281.0;-550.0;-66.0;51.0;567.0;-520.0;-1180.0;345.0
740.0;?;-620.0;-183.0;-122.0;561.0;-391.0;-1135.0;?
728.0;?;?;?;-163.0;560.0;?;-1006.0;?
550.0;-634.0;-736.0;-409.0;?;539.0;-138.0;-927.0;253.0
466.0;-667.0;-769.0;-451.0;?;541.0;-7.0;-823.0;284.0
382.0;-672.0;-773.0;-499.0;-146.0;536.0;152.0;-843.0;337.0
328.0;-661.0;?;-539.0;-137.0;552.0;?;-776.0;?
277.0;?;-736.0;-581.0;-279.0;569.0;340.0;?;229.0
249.0;-749.0;-730.0;-656.0;-267.0;502.0;355.0;?;168.0
286.0;-811.0;-769.0;-706.0;-416.0;502.0;396.0;?;214.0
276.0;-835.0;-791.0;-736.0;-506.0;518.0;435.0;-365.0;206.0
?;-860.0;-855.0;?;-602.0;528.0;515.0;-301.0;?
?;-838.0;-815.0;-858.0;-595.0;545.0;551.0;?;276.0
309.0;?;-821.0;-879.0;-671.0;566.0;610.0;-288.0;335.0
?;-830.0;-814.0;-906.0;-627.0;549.0;669.0;-288.0;455.0
?;-806.0;-814.0;-890.0;-555.0;571.0;721.0;-403.0;432.0
348.0;?;-850.0;-862.0;-532.0;600.0;773.0;?;464.0
341.0;-803.0;?;-829.0;-551.0;592.0;781.0;-543.0;483.0
378.0;-809.0;?;-845.0;?;?;780.0;-578.0;445.0
427.0;-791.0;-902.0;-868.0;-550.0;571.0;760.0;?;450.0
