InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
-1.0;3.0;-22.0;-1;13.0;644;-1;3.0;-8.0
-15.0;19.0;-2.0;5;-5.0;648;5;10.0;-15.0
30.0;17.0;-24.0;6;-16.0;653;6;3.0;-32.0
-6.0;-15.0;-9.0;-22;-14.0;631;-22;27.0;-9.0
-45.0;-111.0;-59.0;-7;4.0;733;-7;-82.0;-61.0
-6.0;17.0;6.0;13;0.0;643;13;5.0;-33.0
-3.0;2.0;-23.0;8;-43.0;641;8;21.0;-6.0
19.0;34.0;-26.0;-12;-399.0;727;-12;-354.0;-179.0
-55.0;8.0;-20.0;4;-5.0;648;4;34.0;54.0
172.0;116.0;-132.0;-2255;-80.0;741;-2255;-120.0;-171.0
-7.0;7.0;71.0;-3;-48.0;639;-3;-50.0;158.0
-62.0;-68.0;89.0;29;78.0;715;29;108.0;134.0
-500.0;104.0;142.0;-44;190.0;714;-44;320.0;480.0
-2.0;15.0;0.0;-23;-40.0;635;-23;1.0;6.0
-48.0;102.0;178.0;-236;30.0;117;-236;-234.0;-18.0
10.0;302.0;62.0;1457;-126.0;551;1457;-211.0;-85.0
-31.0;681.0;379.0;-607;143.0;746;-607;10.0;-175.0
-10.0;34.0;-66.0;30;20.0;647;30;28.0;-30.0
-109.0;253.0;-4.0;1931;217.0;-1825;1931;251.0;120.0
-174.0;320.0;122.0;-396;196.0;469;-396;238.0;135.0
25.0;9.0;8.0;-15;24.0;634;-15;27.0;2.0
-44.0;-247.0;-345.0;-5;-137.0;729;-5;-327.0;-916.0
3.0;12.0;-64.0;12;-20.0;645;12;26.0;-91.0
16.0;23.0;-30.0;-2;-14.0;642;-2;65.0;-5.0
11.0;32.0;-35.0;-28;18.0;641;-28;11.0;-60.0
66.0;88.0;19.0;-22;160.0;707;-22;-12.0;-213.0
16.0;119.0;1.0;491;-24.0;797;491;19.0;-37.0
-35.0;-313.0;232.0;3;227.0;706;3;744.0;2489.0
116.0;254.0;-254.0;45;412.0;717;45;145.0;-323.0
29.0;-124.0;44.0;11;-110.0;736;11;353.0;-269.0
-18.0;-118.0;24.0;18;20.0;642;18;115.0;-179.0
-67.0;110.0;-70.0;2561;457.0;740;2561;799.0;651.0
200.0;-20.0;-434.0;-645;837.0;765;-645;635.0;-164.0
901.0;-93.0;-421.0;39;338.0;736;39;80.0;-158.0
320.0;-564.0;-218.0;-42;1343.0;731;-42;1379.0;1440.0
-75.0;236.0;194.0;-10;-222.0;734;-10;-216.0;79.0
162.0;-554.0;-413.0;16;265.0;649;16;645.0;198.0
-48.0;12.0;-91.0;1;103.0;653;1;10.0;25.0
55.0;377.0;77.0;-33;-324.0;678;-33;-512.0;-706.0
9.0;-21.0;129.0;20;242.0;631;20;59.0;13.0
-3.0;-58.0;-17.0;-3;1.0;640;-3;64.0;286.0
-9.0;-2.0;6.0;-22;25.0;642;-22;20.0;90.0
-96.0;328.0;-88.0;-15;49.0;727;-15;-258.0;326.0
-19.0;295.0;123.0;22;38.0;752;22;224.0;202.0
14.0;149.0;-37.0;-7;-26.0;656;-7;-93.0;82.0
-10.0;-23.0;-3.0;-1;39.0;644;-1;27.0;-48.0
-72.0;-332.0;-93.0;8;242.0;717;8;218.0;-239.0
40.0;-94.0;-15.0;-15;-4.0;687;-15;149.0;26.0
100.0;-1223.0;-175.0;-18;209.0;639;-18;1100.0;290.0
39.0;8.0;-154.0;20;-20.0;715;20;158.0;-281.0
207.0;532.0;379.0;-59;190.0;584;-59;533.0;323.0
-39.0;1066.0;68.0;-10;-139.0;652;-10;-993.0;-102.0
-19.0;-10.0;32.0;10;6.0;725;10;-2.0;-72.0
227.0;-97.0;-248.0;-2947;852.0;872;-2947;364.0;190.0
-206.0;159.0;144.0;17;-977.0;718;17;-1344.0;-1223.0
41.0;886.0;-137.0;2744;-1005.0;648;2744;-1038.0;-561.0
-32.0;-48.0;1.0;7;41.0;644;7;89.0;706.0
-11.0;-937.0;-247.0;-979;844.0;-545;-979;989.0;106.0
-468.0;229.0;151.0;35;-158.0;737;35;-268.0;-198.0
-422.0;-338.0;44.0;-59;-787.0;721;-59;86.0;212.0
-5.0;16.0;3.0;38;-9.0;636;38;27.0;33.0
-1.0;-364.0;65.0;4;-57.0;735;4;372.0;428.0
-8.0;168.0;-17.0;-6;28.0;642;-6;-176.0;-451.0
15.0;-9.0;-160.0;2;8.0;722;2;104.0;-392.0
-193.0;-132.0;-238.0;390;652.0;-2016;390;625.0;380.0
61.0;209.0;-95.0;-1094;184.0;1089;-1094;43.0;129.0
-6.0;-444.0;-139.0;-17;334.0;734;-17;509.0;968.0
