Accelerometer RKN_ accY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;Accelerometer HIP accX;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
1001.0;-1355.0;?;934.0;-5.0;310;?;374.0;-258.0;39.0;?;-331.0;-34
989.0;-1877.0;-8;928.0;23.0;312;-967.0;354.0;-267.0;56.0;702.0;-302.0;-8
972.0;?;8;937.0;30.0;309;-966.0;327.0;?;?;691.0;?;8
990.0;-2991.0;-21;936.0;13.0;303;?;295.0;-298.0;48.0;?;-217.0;-21
973.0;-3456.0;?;936.0;19.0;308;-1021.0;260.0;-315.0;?;?;-159.0;-27
983.0;-3827.0;-2;939.0;27.0;314;-1010.0;225.0;-331.0;38.0;614.0;-96.0;-2
964.0;-4085.0;-9;953.0;?;?;-1010.0;188.0;-346.0;40.0;572.0;-30.0;-9
?;-4220.0;-7;947.0;28.0;?;-1008.0;151.0;?;33.0;524.0;37.0;-7
992.0;-4270.0;-17;925.0;19.0;303;-1025.0;?;-372.0;27.0;472.0;103.0;-17
986.0;-4235.0;-51;940.0;51.0;310;?;?;-385.0;?;413.0;167.0;-51
996.0;?;-15;960.0;25.0;313;-973.0;45.0;-395.0;3.0;352.0;225.0;-15
?;?;18;969.0;28.0;309;-985.0;15.0;-403.0;-53.0;291.0;277.0;18
987.0;-3432.0;?;938.0;22.0;309;-1032.0;-9.0;?;-52.0;234.0;322.0;-10
980.0;-3104.0;-36;990.0;?;311;-972.0;-28.0;-407.0;-39.0;181.0;362.0;-36
?;-2766.0;-16;?;10.0;312;-1041.0;-40.0;?;?;136.0;402.0;-16
1002.0;-2417.0;9;955.0;?;?;-948.0;-45.0;-401.0;3.0;102.0;436.0;?
945.0;-1776.0;-15;?;4.0;299;?;-44.0;-395.0;1.0;78.0;455.0;-15
1017.0;-1026.0;-18;980.0;-17.0;307;-922.0;?;?;-60.0;63.0;471.0;?
993.0;-620.0;-10;?;19.0;?;-906.0;-35.0;-384.0;?;57.0;488.0;-10
977.0;-116.0;?;948.0;?;306;-927.0;-33.0;-384.0;-5.0;58.0;?;-8
966.0;299.0;10;958.0;?;311;-970.0;-32.0;-388.0;?;63.0;493.0;10
995.0;?;?;947.0;0.0;309;-980.0;?;-393.0;-55.0;?;?;1
1000.0;?;15;939.0;?;305;-955.0;-29.0;-398.0;-32.0;85.0;474.0;?
976.0;?;56;975.0;26.0;310;-942.0;-28.0;-404.0;-50.0;100.0;464.0;56
964.0;1239.0;33;994.0;41.0;308;?;-25.0;-410.0;-38.0;?;447.0;33
988.0;-529.0;-4;937.0;41.0;308;?;488.0;?;0.0;684.0;-292.0;-4
980.0;?;11;928.0;49.0;322;-980.0;?;-137.0;11.0;692.0;-271.0;11
989.0;-1305.0;-3;959.0;39.0;310;-973.0;?;-130.0;?;698.0;-239.0;-3
988.0;-1731.0;-20;965.0;38.0;306;-986.0;471.0;-118.0;15.0;698.0;?;-20
?;-2071.0;?;962.0;-5.0;309;?;469.0;-99.0;-12.0;?;?;-41
973.0;?;-24;923.0;4.0;308;-950.0;466.0;-71.0;7.0;680.0;-83.0;-24
989.0;-2369.0;?;927.0;?;?;-1043.0;464.0;-30.0;13.0;?;-6.0;2
992.0;-2205.0;32;?;-35.0;309;-1026.0;463.0;28.0;?;623.0;86.0;?
?;?;37;935.0;-15.0;308;-1008.0;466.0;97.0;22.0;571.0;192.0;?
992.0;-1470.0;19;952.0;24.0;308;-1015.0;?;?;14.0;?;303.0;19
989.0;-1199.0;?;959.0;60.0;319;?;470.0;?;34.0;441.0;?;79
974.0;-976.0;81;944.0;31.0;?;-1027.0;483.0;310.0;80.0;379.0;503.0;81
975.0;-575.0;28;977.0;?;320;-1021.0;499.0;?;29.0;321.0;584.0;28
?;?;?;?;33.0;322;?;511.0;?;-10.0;?;656.0;40
970.0;-192.0;49;?;10.0;326;-1004.0;525.0;445.0;-26.0;203.0;711.0;?
989.0;-457.0;23;994.0;10.0;343;?;537.0;474.0;-39.0;149.0;746.0;23
1007.0;-644.0;?;966.0;-9.0;349;-975.0;545.0;499.0;?;99.0;763.0;35
994.0;-775.0;66;?;9.0;349;?;550.0;517.0;-92.0;58.0;?;?
983.0;-704.0;-27;960.0;5.0;328;-966.0;554.0;528.0;-166.0;29.0;765.0;?
?;-505.0;-26;?;29.0;315;-951.0;555.0;536.0;-234.0;10.0;759.0;-26
?;-196.0;?;893.0;?;?;-948.0;?;542.0;-223.0;0.0;751.0;?
977.0;143.0;19;917.0;62.0;328;?;555.0;544.0;-165.0;0.0;742.0;19
?;346.0;-11;990.0;?;328;-946.0;556.0;543.0;-134.0;8.0;734.0;-11
990.0;488.0;-24;952.0;?;336;-998.0;556.0;540.0;-99.0;?;725.0;-24
?;551.0;-21;932.0;10.0;322;?;556.0;534.0;?;33.0;715.0;-21
?;572.0;-20;882.0;21.0;318;-1003.0;555.0;527.0;-78.0;47.0;704.0;-20
981.0;547.0;-49;858.0;?;327;?;?;517.0;-99.0;63.0;?;?
996.0;525.0;?;893.0;-23.0;323;-958.0;548.0;?;-148.0;78.0;677.0;37
1000.0;446.0;79;928.0;-14.0;326;?;543.0;495.0;-160.0;91.0;?;?
980.0;413.0;65;888.0;32.0;333;-975.0;539.0;486.0;-135.0;?;646.0;65
989.0;?;81;861.0;33.0;322;-992.0;536.0;479.0;?;110.0;631.0;?
961.0;412.0;113;858.0;10.0;338;-987.0;535.0;474.0;-61.0;119.0;618.0;113
979.0;375.0;133;917.0;19.0;?;?;535.0;472.0;?;125.0;607.0;133
972.0;352.0;?;?;24.0;345;-992.0;?;471.0;-140.0;130.0;?;67
998.0;278.0;-13;962.0;58.0;342;?;537.0;?;-188.0;133.0;593.0;-13
?;?;?;992.0;11.0;342;-1004.0;538.0;?;-196.0;133.0;591.0;-47
?;139.0;-25;942.0;16.0;?;?;?;?;-164.0;129.0;592.0;-25
?;51.0;?;920.0;19.0;346;-1017.0;542.0;486.0;-107.0;?;?;?
974.0;-40.0;-21;944.0;45.0;346;-993.0;545.0;?;?;117.0;604.0;-21
959.0;-67.0;-45;976.0;58.0;324;?;547.0;497.0;-205.0;111.0;614.0;?
978.0;-73.0;-38;932.0;51.0;322;-947.0;548.0;503.0;-252.0;104.0;625.0;-38
976.0;-95.0;-124;928.0;66.0;336;-951.0;549.0;507.0;-212.0;?;639.0;-124
986.0;-147.0;-140;955.0;43.0;329;?;549.0;510.0;-218.0;?;654.0;-140
988.0;-220.0;-92;916.0;47.0;?;-965.0;549.0;512.0;?;89.0;667.0;?
989.0;?;-123;925.0;56.0;?;-963.0;549.0;513.0;-148.0;?;679.0;-123
973.0;?;-117;926.0;87.0;?;-953.0;549.0;513.0;-140.0;88.0;689.0;-117
968.0;-392.0;-114;?;?;309;-956.0;549.0;513.0;-136.0;89.0;697.0;-114
?;-385.0;-66;938.0;178.0;314;?;?;511.0;?;92.0;702.0;-66
952.0;-349.0;-29;936.0;243.0;303;-972.0;548.0;?;-137.0;94.0;706.0;-29
971.0;-287.0;?;946.0;262.0;313;-971.0;548.0;?;-147.0;98.0;709.0;-28
973.0;-213.0;-30;873.0;273.0;323;-977.0;549.0;508.0;-139.0;103.0;709.0;?
1074.0;?;-60;879.0;?;306;?;550.0;508.0;?;110.0;708.0;?
1135.0;-41.0;60;848.0;38.0;?;-950.0;552.0;?;-134.0;119.0;706.0;?
1051.0;-54.0;22;855.0;-109.0;305;-918.0;555.0;511.0;-107.0;130.0;?;22
?;102.0;?;546.0;?;193;-890.0;559.0;511.0;-98.0;143.0;696.0;-60
949.0;248.0;?;?;-193.0;289;-803.0;562.0;509.0;-174.0;155.0;690.0;48
923.0;234.0;-12;1907.0;?;375;-657.0;561.0;504.0;?;?;683.0;-12
912.0;706.0;-72;833.0;-59.0;294;-1609.0;563.0;?;-14.0;176.0;676.0;-72
912.0;794.0;-27;671.0;-30.0;291;-1096.0;?;499.0;50.0;181.0;?;-27
941.0;866.0;3;687.0;?;310;-1049.0;569.0;494.0;-194.0;186.0;666.0;?
?;?;25;?;?;292;-1023.0;?;489.0;-204.0;?;652.0;25
863.0;702.0;31;1005.0;69.0;323;?;559.0;?;-138.0;?;?;?
921.0;287.0;14;1238.0;-5.0;312;-906.0;554.0;476.0;-72.0;185.0;618.0;14
923.0;199.0;?;975.0;250.0;296;?;548.0;?;-24.0;?;605.0;-23
989.0;245.0;?;795.0;?;309;-1045.0;546.0;?;19.0;?;?;6
963.0;320.0;?;869.0;222.0;308;?;547.0;473.0;-39.0;167.0;593.0;14
1030.0;275.0;2;1000.0;231.0;?;-971.0;548.0;?;-80.0;165.0;?;2
?;?;43;1006.0;292.0;?;-959.0;550.0;482.0;-87.0;166.0;?;43
?;-17.0;44;?;260.0;308;-992.0;?;485.0;?;163.0;604.0;?
942.0;?;?;928.0;264.0;311;-1006.0;554.0;489.0;-64.0;157.0;?;22
942.0;-214.0;20;912.0;?;309;?;555.0;494.0;-80.0;149.0;621.0;20
931.0;-285.0;25;965.0;331.0;?;-988.0;?;498.0;-79.0;141.0;?;25
911.0;-337.0;45;982.0;?;307;-983.0;557.0;500.0;-72.0;134.0;639.0;45
936.0;-364.0;17;944.0;?;?;-992.0;?;501.0;-54.0;128.0;648.0;17
914.0;-338.0;-30;954.0;344.0;322;-1004.0;?;?;?;123.0;657.0;-30
?;-325.0;0;?;284.0;318;-1009.0;554.0;502.0;?;119.0;?;0
935.0;-261.0;?;1076.0;280.0;?;-1010.0;?;502.0;-40.0;116.0;673.0;-6
939.0;?;?;1042.0;254.0;323;-1026.0;553.0;502.0;-30.0;114.0;679.0;-57
919.0;-211.0;?;?;?;331;-1073.0;552.0;?;-44.0;110.0;684.0;?
938.0;-244.0;-11;914.0;253.0;324;-1053.0;?;503.0;?;107.0;687.0;-11
952.0;-191.0;-23;918.0;262.0;318;-998.0;552.0;?;-125.0;?;?;-23
904.0;-137.0;-1;936.0;326.0;319;-970.0;552.0;504.0;-118.0;104.0;?;-1
886.0;-115.0;-13;966.0;331.0;307;-968.0;552.0;504.0;-130.0;105.0;684.0;?
850.0;?;3;949.0;394.0;308;-983.0;553.0;506.0;-169.0;105.0;?;3
815.0;-28.0;-1;895.0;97.0;314;-976.0;554.0;507.0;-178.0;?;677.0;-1
652.0;10.0;-62;897.0;987.0;315;-964.0;556.0;510.0;?;106.0;673.0;-62
1852.0;55.0;-7;890.0;777.0;330;-954.0;?;512.0;-120.0;109.0;?;-7
811.0;72.0;31;938.0;-705.0;315;-923.0;561.0;515.0;-81.0;115.0;664.0;31
?;44.0;8;?;153.0;?;-941.0;564.0;?;-104.0;123.0;660.0;8
1394.0;?;12;997.0;-346.0;324;-954.0;566.0;517.0;?;129.0;656.0;12
619.0;121.0;-4;?;-46.0;318;-962.0;566.0;517.0;-192.0;?;654.0;-4
?;135.0;-11;919.0;?;?;-980.0;566.0;517.0;-171.0;134.0;652.0;-11
1002.0;150.0;-8;947.0;247.0;307;-968.0;565.0;?;-173.0;134.0;651.0;-8
1082.0;?;-24;962.0;179.0;309;-964.0;565.0;?;-188.0;?;650.0;-24
965.0;64.0;-31;969.0;89.0;322;-959.0;565.0;514.0;?;135.0;648.0;-31
976.0;-6.0;-12;933.0;?;325;-969.0;564.0;513.0;-172.0;135.0;646.0;-12
952.0;-67.0;0;?;131.0;?;-969.0;563.0;513.0;-158.0;?;645.0;0
969.0;-49.0;?;947.0;131.0;321;-964.0;563.0;512.0;-129.0;134.0;646.0;0
973.0;-51.0;-7;918.0;131.0;?;?;563.0;511.0;?;135.0;?;-7
998.0;-80.0;-15;?;118.0;320;-968.0;?;509.0;-138.0;136.0;652.0;?
970.0;-89.0;1;939.0;110.0;308;-969.0;562.0;?;-158.0;138.0;656.0;?
949.0;-112.0;8;918.0;95.0;?;-969.0;562.0;508.0;-129.0;139.0;661.0;8
976.0;?;-12;932.0;101.0;317;?;562.0;?;-136.0;141.0;666.0;-12
1006.0;-147.0;7;?;145.0;300;-959.0;563.0;508.0;-108.0;144.0;671.0;7
959.0;?;3;?;164.0;333;-955.0;565.0;508.0;-92.0;147.0;675.0;3
993.0;-160.0;-82;615.0;244.0;319;-955.0;?;?;-80.0;151.0;678.0;-82
971.0;-151.0;-73;1087.0;158.0;301;-914.0;569.0;509.0;-305.0;155.0;?;-73
1098.0;-182.0;-70;1819.0;11.0;323;?;?;?;-168.0;160.0;679.0;-70
1035.0;-94.0;-26;1188.0;-16.0;292;-1190.0;568.0;506.0;64.0;164.0;678.0;-26
989.0;84.0;134;708.0;?;293;?;?;?;?;164.0;?;?
956.0;319.0;83;636.0;204.0;325;-984.0;574.0;506.0;?;165.0;682.0;?
?;518.0;1;997.0;?;300;-940.0;573.0;505.0;-308.0;165.0;?;?
970.0;307.0;13;1151.0;222.0;?;-774.0;?;503.0;?;170.0;668.0;?
923.0;87.0;-19;1148.0;294.0;314;-918.0;570.0;501.0;-164.0;173.0;658.0;-19
904.0;?;-9;?;317.0;304;-1091.0;570.0;501.0;-39.0;172.0;648.0;-9
886.0;113.0;-16;856.0;438.0;307;-986.0;571.0;?;-71.0;?;639.0;-16
899.0;?;-31;?;470.0;307;?;573.0;505.0;?;164.0;632.0;-31
907.0;104.0;5;1053.0;?;301;?;?;508.0;-144.0;166.0;?;?
921.0;15.0;-1;1090.0;?;304;-929.0;578.0;?;-109.0;174.0;626.0;?
?;?;-2;945.0;273.0;308;-963.0;?;511.0;-103.0;184.0;629.0;?
?;?;64;?;?;310;-963.0;582.0;512.0;-140.0;?;634.0;64
950.0;?;60;956.0;241.0;303;-955.0;584.0;?;-139.0;191.0;640.0;60
955.0;-91.0;23;997.0;257.0;307;?;586.0;515.0;-125.0;?;647.0;23
928.0;-120.0;60;980.0;247.0;307;?;588.0;?;-130.0;191.0;655.0;60
949.0;?;63;979.0;256.0;308;?;?;519.0;-118.0;191.0;662.0;63
950.0;-180.0;39;961.0;249.0;306;-991.0;591.0;521.0;-95.0;190.0;669.0;39
960.0;-209.0;30;1009.0;232.0;?;-993.0;592.0;523.0;-121.0;188.0;676.0;30
?;-251.0;-6;1033.0;?;?;-996.0;593.0;525.0;-136.0;185.0;682.0;-6
952.0;-253.0;?;1043.0;?;?;-1018.0;594.0;527.0;-139.0;182.0;687.0;-6
925.0;-293.0;2;965.0;291.0;316;-1020.0;593.0;528.0;-110.0;178.0;691.0;?
?;-256.0;26;908.0;?;?;-1034.0;593.0;529.0;-146.0;175.0;?;26
938.0;-211.0;66;936.0;257.0;307;?;591.0;?;-176.0;169.0;697.0;66
887.0;-205.0;?;918.0;323.0;?;-982.0;588.0;528.0;-156.0;?;699.0;82
970.0;-181.0;112;926.0;?;322;?;585.0;526.0;?;159.0;700.0;112
749.0;-143.0;84;917.0;367.0;328;-960.0;582.0;524.0;-118.0;156.0;699.0;?
1102.0;-82.0;44;915.0;11.0;?;?;579.0;?;-147.0;152.0;698.0;?
288.0;45.0;18;930.0;?;330;-958.0;575.0;520.0;-176.0;149.0;697.0;18
1804.0;?;-12;953.0;-1180.0;340;-965.0;572.0;518.0;?;145.0;695.0;-12
1278.0;184.0;-1;931.0;-978.0;329;-976.0;?;?;-178.0;142.0;691.0;?
812.0;203.0;?;?;711.0;327;-982.0;565.0;513.0;-154.0;141.0;686.0;1
?;222.0;-12;917.0;-271.0;328;-990.0;?;511.0;?;140.0;680.0;-12
?;236.0;-67;924.0;11.0;320;-987.0;559.0;510.0;?;139.0;674.0;-67
1085.0;208.0;-87;922.0;65.0;322;-982.0;556.0;508.0;-150.0;138.0;667.0;?
979.0;160.0;-35;914.0;23.0;317;-970.0;554.0;507.0;-182.0;135.0;660.0;-35
985.0;116.0;-20;935.0;62.0;?;-964.0;?;507.0;-187.0;?;654.0;-20
971.0;111.0;-41;920.0;?;315;-960.0;551.0;508.0;-186.0;129.0;648.0;?
?;96.0;-75;917.0;157.0;319;-965.0;?;?;-177.0;125.0;644.0;-75
969.0;31.0;-45;937.0;71.0;310;-961.0;?;510.0;?;?;641.0;-45
?;-2.0;-5;934.0;40.0;312;-963.0;550.0;512.0;-193.0;120.0;640.0;-5
984.0;?;-10;896.0;?;309;-968.0;550.0;513.0;-153.0;?;640.0;-10
?;-112.0;?;913.0;107.0;303;-969.0;551.0;?;?;117.0;641.0;0
972.0;?;-18;925.0;111.0;304;?;551.0;514.0;-154.0;116.0;?;-18
971.0;?;-10;916.0;58.0;300;-962.0;551.0;514.0;-111.0;115.0;646.0;-10
978.0;-167.0;-3;913.0;32.0;?;-964.0;552.0;514.0;-93.0;114.0;650.0;-3
?;-162.0;-7;?;36.0;?;-956.0;551.0;513.0;-164.0;113.0;655.0;-7
1015.0;?;22;829.0;97.0;308;-951.0;?;?;-190.0;?;661.0;22
965.0;-203.0;22;777.0;167.0;?;-928.0;551.0;?;-112.0;114.0;666.0;22
1016.0;-228.0;26;?;113.0;278;-901.0;554.0;517.0;-205.0;118.0;670.0;26
968.0;-234.0;?;1612.0;78.0;314;-806.0;559.0;518.0;-370.0;124.0;673.0;27
1073.0;-246.0;-8;1334.0;15.0;333;-905.0;562.0;?;?;133.0;674.0;?
951.0;-42.0;-16;900.0;102.0;308;-1294.0;569.0;523.0;31.0;?;676.0;-16
979.0;31.0;34;?;232.0;319;?;?;522.0;-40.0;142.0;679.0;?
966.0;321.0;64;?;?;298;-969.0;577.0;519.0;?;145.0;678.0;64
955.0;373.0;6;1014.0;144.0;304;?;?;514.0;-324.0;148.0;672.0;?
?;149.0;-45;1079.0;?;322;-849.0;571.0;507.0;-326.0;151.0;665.0;-45
934.0;129.0;-8;?;264.0;313;-958.0;566.0;500.0;-164.0;?;655.0;-8
928.0;124.0;5;944.0;245.0;315;-1044.0;562.0;497.0;-127.0;146.0;646.0;5
926.0;?;?;842.0;228.0;308;-967.0;561.0;?;-103.0;142.0;637.0;-21
932.0;184.0;-12;919.0;262.0;306;-916.0;?;?;-114.0;140.0;?;-12
?;45.0;-13;1057.0;257.0;310;-898.0;562.0;496.0;-114.0;144.0;626.0;-13
?;36.0;?;1058.0;282.0;310;-921.0;564.0;498.0;-107.0;152.0;622.0;1
?;34.0;-15;975.0;283.0;311;-953.0;566.0;499.0;-115.0;160.0;621.0;?
951.0;?;?;?;?;307;?;?;500.0;-138.0;163.0;623.0;-25
945.0;77.0;?;?;245.0;301;-951.0;?;502.0;?;160.0;627.0;20
939.0;27.0;5;965.0;270.0;306;-940.0;?;505.0;-114.0;155.0;632.0;?
959.0;-12.0;7;956.0;311.0;309;-950.0;567.0;508.0;-84.0;151.0;637.0;7
953.0;-38.0;29;?;285.0;313;-953.0;568.0;511.0;-99.0;?;?;29
942.0;-71.0;?;968.0;262.0;306;-972.0;?;515.0;-127.0;143.0;?;17
942.0;?;36;949.0;293.0;?;?;?;518.0;?;137.0;654.0;?
930.0;-106.0;51;927.0;?;?;-992.0;571.0;521.0;-137.0;131.0;660.0;51
928.0;-123.0;?;958.0;297.0;?;-991.0;570.0;523.0;-129.0;?;?;35
953.0;-171.0;?;1020.0;?;308;-995.0;570.0;525.0;-157.0;123.0;671.0;17
919.0;-202.0;0;1033.0;235.0;324;-1008.0;570.0;527.0;-132.0;?;?;0
966.0;-242.0;-16;948.0;144.0;?;-1022.0;570.0;526.0;-100.0;121.0;680.0;?
859.0;-198.0;-34;883.0;175.0;?;-1015.0;?;?;-65.0;120.0;684.0;-34
941.0;-165.0;-51;898.0;?;?;-980.0;568.0;525.0;-108.0;?;687.0;-51
?;-105.0;?;931.0;270.0;305;-979.0;567.0;524.0;-123.0;?;690.0;-81
1059.0;-77.0;?;891.0;279.0;296;-978.0;?;521.0;-103.0;123.0;?;-102
402.0;-59.0;-6;?;432.0;296;-959.0;?;?;-124.0;123.0;692.0;-6
1918.0;-13.0;51;898.0;124.0;300;-978.0;561.0;517.0;-180.0;124.0;692.0;?
?;62.0;8;914.0;93.0;311;-965.0;559.0;?;?;125.0;690.0;8
1295.0;119.0;47;920.0;56.0;307;-957.0;?;511.0;-240.0;125.0;687.0;47
?;137.0;57;939.0;?;308;-973.0;553.0;509.0;-213.0;125.0;683.0;57
902.0;?;-1;926.0;-155.0;314;-967.0;551.0;?;?;124.0;678.0;-1
979.0;201.0;-5;897.0;-50.0;319;-964.0;549.0;506.0;-72.0;124.0;672.0;-5
1070.0;179.0;-5;917.0;?;319;?;548.0;505.0;-96.0;?;665.0;?
963.0;164.0;-32;?;57.0;314;-955.0;546.0;?;-168.0;124.0;659.0;-32
?;152.0;-14;943.0;99.0;314;-957.0;544.0;503.0;-209.0;123.0;652.0;-14
933.0;175.0;1;921.0;102.0;?;-971.0;542.0;503.0;-225.0;?;645.0;1
978.0;157.0;-41;931.0;40.0;306;?;540.0;504.0;-215.0;113.0;639.0;-41
993.0;145.0;-23;911.0;63.0;?;-977.0;539.0;505.0;-197.0;109.0;?;-23
989.0;96.0;-19;939.0;93.0;300;-958.0;?;?;-176.0;?;629.0;-19
?;62.0;?;925.0;98.0;299;-955.0;541.0;510.0;?;?;625.0;?
978.0;-49.0;15;?;85.0;306;-959.0;?;512.0;-163.0;108.0;621.0;15
976.0;?;16;908.0;52.0;305;-972.0;543.0;513.0;-199.0;?;620.0;16
946.0;-138.0;12;900.0;7.0;304;-959.0;543.0;?;-183.0;?;620.0;12
960.0;-154.0;-7;?;13.0;302;?;544.0;516.0;-173.0;109.0;624.0;-7
988.0;-162.0;-29;905.0;52.0;?;-945.0;547.0;516.0;?;115.0;629.0;-29
1004.0;-179.0;0;835.0;126.0;303;?;549.0;516.0;?;118.0;636.0;0
990.0;-229.0;-1;?;131.0;301;?;551.0;?;-147.0;119.0;644.0;-1
?;-281.0;18;811.0;183.0;310;-940.0;553.0;514.0;-162.0;121.0;?;18
990.0;-296.0;5;742.0;201.0;329;?;554.0;?;-125.0;?;662.0;5
981.0;-328.0;21;831.0;243.0;297;-910.0;?;513.0;?;?;670.0;21
?;-309.0;74;1853.0;184.0;320;-752.0;558.0;513.0;?;135.0;678.0;74
?;-307.0;-3;1227.0;145.0;370;?;559.0;510.0;95.0;?;684.0;?
994.0;104.0;-40;886.0;267.0;?;-1076.0;565.0;?;12.0;146.0;?;-40
?;?;31;734.0;158.0;291;-980.0;568.0;511.0;-83.0;148.0;696.0;31
957.0;504.0;?;946.0;136.0;320;?;566.0;508.0;-215.0;146.0;?;?
969.0;386.0;?;1091.0;?;306;?;563.0;505.0;-235.0;144.0;682.0;-45
?;272.0;-24;1144.0;172.0;316;?;559.0;499.0;-121.0;139.0;668.0;-24
