InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;Accelerometer BACK accX
-204.0;-50.0;-329.0;146;20.0;-293.0;124.0;57.0;100.0;-292.0;109.0
243.0;-91.0;-361.0;-33;-6.0;-388.0;203.0;-42.0;109.0;-291.0;227.0
115.0;-99.0;-368.0;-33;-9.0;-409.0;216.0;-7.0;107.0;-292.0;211.0
-63.0;-44.0;-310.0;0;214.0;-566.0;225.0;128.0;-220.0;-257.0;266.0
295.0;-255.0;-605.0;0;649.0;-598.0;-69.0;37.0;-604.0;-461.0;48.0
-26.0;-385.0;-638.0;-5;-70.0;-458.0;290.0;4.0;201.0;-155.0;231.0
-145.0;-65.0;-345.0;1;174.0;-426.0;120.0;-65.0;-16.0;-250.0;113.0
-101.0;-67.0;-348.0;2;141.0;-368.0;110.0;-39.0;39.0;-254.0;33.0
-297.0;-76.0;-365.0;10;52.0;-224.0;10.0;3.0;125.0;-282.0;172.0
83.0;-30.0;-337.0;-3;99.0;-261.0;32.0;57.0;36.0;-258.0;184.0
-230.0;-54.0;-354.0;0;56.0;-297.0;87.0;-3.0;64.0;-254.0;188.0
-76.0;-42.0;-345.0;5;59.0;-295.0;89.0;4.0;56.0;-255.0;194.0
112.0;-51.0;-347.0;-2;66.0;-298.0;98.0;-39.0;55.0;-251.0;144.0
294.0;-372.0;-380.0;1;40.0;-315.0;121.0;-24.0;80.0;-268.0;115.0
5.0;-268.0;-368.0;4;42.0;-315.0;118.0;60.0;77.0;-246.0;76.0
-173.0;-152.0;-349.0;4;52.0;-314.0;115.0;127.0;63.0;-233.0;176.0
-236.0;-98.0;-328.0;-2;64.0;-308.0;104.0;125.0;47.0;-234.0;198.0
-17.0;-107.0;-318.0;6;91.0;-297.0;79.0;-20.0;38.0;-222.0;147.0
10.0;-133.0;-341.0;-2;65.0;-315.0;110.0;13.0;79.0;-229.0;192.0
-20.0;-129.0;-341.0;6;66.0;-316.0;108.0;38.0;80.0;-233.0;183.0
-15.0;-133.0;-349.0;2;49.0;-326.0;121.0;-11.0;95.0;-238.0;129.0
-30.0;-134.0;-350.0;7;47.0;-327.0;121.0;1.0;98.0;-240.0;136.0
-3.0;-131.0;-349.0;5;45.0;-325.0;119.0;4.0;101.0;-239.0;159.0
83.0;-130.0;-346.0;-3;45.0;-324.0;119.0;-39.0;100.0;-232.0;164.0
5.0;-140.0;-358.0;-1;37.0;-326.0;122.0;21.0;104.0;-238.0;158.0
7.0;-144.0;-359.0;0;42.0;-324.0;120.0;34.0;98.0;-234.0;113.0
6.0;-145.0;-359.0;1;40.0;-325.0;122.0;27.0;100.0;-234.0;148.0
14.0;-135.0;-350.0;6;43.0;-314.0;108.0;12.0;95.0;-230.0;152.0
96.0;-145.0;-356.0;1;37.0;-322.0;121.0;-7.0;98.0;-240.0;84.0
121.0;-154.0;-365.0;-1;31.0;-326.0;126.0;-58.0;105.0;-246.0;94.0
-41.0;-165.0;-382.0;-1;17.0;-340.0;144.0;-51.0;119.0;-261.0;128.0
-43.0;-186.0;-408.0;7;-11.0;-370.0;177.0;0.0;155.0;-291.0;112.0
16.0;-195.0;-421.0;5;-21.0;-389.0;197.0;21.0;163.0;-306.0;142.0
-22.0;-184.0;-403.0;-9;5.0;-372.0;174.0;-9.0;151.0;-281.0;208.0
-12.0;-173.0;-390.0;9;17.0;-375.0;173.0;-13.0;135.0;-274.0;179.0
43.0;-160.0;-380.0;0;22.0;-362.0;160.0;36.0;127.0;-258.0;172.0
59.0;-160.0;-380.0;3;23.0;-360.0;159.0;4.0;126.0;-257.0;146.0
46.0;-159.0;-378.0;-4;24.0;-351.0;150.0;-16.0;125.0;-254.0;163.0
56.0;-164.0;-388.0;-1;37.0;-355.0;152.0;-42.0;111.0;-253.0;160.0
-33.0;-172.0;-394.0;-4;33.0;-359.0;160.0;-16.0;116.0;-253.0;164.0
5.0;-170.0;-394.0;2;34.0;-358.0;158.0;-26.0;115.0;-254.0;176.0
37.0;-170.0;-394.0;-2;34.0;-358.0;158.0;-15.0;115.0;-253.0;154.0
-7.0;-168.0;-391.0;0;36.0;-354.0;152.0;33.0;114.0;-250.0;159.0
-16.0;-165.0;-388.0;-1;38.0;-349.0;146.0;27.0;110.0;-247.0;184.0
-15.0;-165.0;-387.0;-2;40.0;-343.0;142.0;-25.0;107.0;-246.0;175.0
25.0;-159.0;-383.0;1;24.0;-352.0;157.0;-15.0;120.0;-255.0;163.0
43.0;-170.0;-390.0;3;-23.0;-372.0;185.0;-25.0;175.0;-304.0;113.0
-28.0;-190.0;-414.0;-1;-40.0;-402.0;216.0;30.0;191.0;-304.0;178.0
-26.0;-187.0;-411.0;6;-37.0;-398.0;210.0;17.0;189.0;-302.0;158.0
12.0;-188.0;-410.0;1;-33.0;-394.0;207.0;-102.0;187.0;-301.0;165.0
-25.0;-185.0;-410.0;1;-36.0;-395.0;208.0;40.0;187.0;-301.0;161.0
1.0;-186.0;-411.0;0;-34.0;-392.0;205.0;5.0;186.0;-303.0;173.0
-16.0;-137.0;-356.0;-3;26.0;-330.0;133.0;13.0;114.0;-256.0;135.0
233.0;12.0;-186.0;6;154.0;-184.0;-33.0;241.0;-41.0;-127.0;266.0
876.0;147.0;-67.0;-88;199.0;-23.0;-145.0;13.0;-129.0;71.0;312.0
22.0;-386.0;-641.0;-7;-69.0;-458.0;291.0;-8.0;199.0;-155.0;221.0
59.0;-384.0;-642.0;-13;-69.0;-460.0;291.0;40.0;200.0;-154.0;219.0
42.0;-382.0;-641.0;-1;-70.0;-460.0;292.0;-20.0;201.0;-153.0;197.0
-69.0;-384.0;-637.0;4;-68.0;-454.0;286.0;10.0;196.0;-146.0;368.0
236.0;-252.0;-479.0;7;-219.0;-647.0;635.0;2.0;275.0;-403.0;68.0
-182.0;-214.0;-441.0;14;-212.0;-648.0;641.0;17.0;275.0;-404.0;57.0
13.0;-229.0;-428.0;6;-216.0;-644.0;629.0;6.0;269.0;-401.0;74.0
-31.0;-383.0;-510.0;-1;-199.0;-627.0;606.0;-49.0;267.0;-466.0;102.0
-22.0;-384.0;-511.0;-3;-199.0;-628.0;607.0;-15.0;267.0;-465.0;99.0
-144.0;-234.0;-450.0;5;-197.0;-640.0;631.0;41.0;270.0;-387.0;150.0
-153.0;-293.0;-534.0;-3;-185.0;-563.0;572.0;17.0;291.0;-519.0;145.0
-24.0;-231.0;-543.0;0;-182.0;-562.0;569.0;-23.0;293.0;-535.0;153.0
105.0;-192.0;-537.0;-1;-179.0;-561.0;569.0;-32.0;293.0;-537.0;147.0
-88.0;-65.0;-369.0;-3;-172.0;-576.0;602.0;-64.0;282.0;-343.0;33.0
140.0;5.0;-195.0;90;211.0;-313.0;47.0;-319.0;-212.0;-83.0;404.0
485.0;34.0;-163.0;75;120.0;-14.0;-81.0;344.0;-79.0;51.0;303.0
-391.0;-515.0;-454.0;-67;-65.0;-386.0;209.0;-205.0;197.0;-275.0;309.0
361.0;-413.0;-380.0;-13;-14.0;-401.0;193.0;114.0;143.0;-167.0;292.0
517.0;-391.0;-372.0;-6;-5.0;-367.0;165.0;122.0;142.0;-143.0;292.0
591.0;-359.0;-356.0;22;3.0;-328.0;136.0;114.0;139.0;-107.0;166.0
-236.0;505.0;492.0;799;615.0;442.0;-696.0;-275.0;-689.0;624.0;75.0
102.0;9.0;-323.0;-15;213.0;-97.0;-119.0;4.0;-112.0;226.0;110.0
-111.0;-216.0;-308.0;-116;110.0;-213.0;-18.0;-134.0;-61.0;17.0;177.0
-285.0;-268.0;-308.0;-147;104.0;-253.0;7.0;-52.0;-87.0;59.0;148.0
-124.0;-273.0;-313.0;-56;106.0;-256.0;10.0;-32.0;-91.0;68.0;228.0
-6.0;-276.0;-319.0;-135;110.0;-257.0;11.0;-4.0;-90.0;71.0;241.0
122.0;112.0;-158.0;-129;81.0;-236.0;14.0;302.0;-1.0;-91.0;452.0
-149.0;-125.0;-344.0;-580;225.0;-372.0;65.0;-377.0;-80.0;-304.0;243.0
208.0;189.0;-84.0;-157;174.0;12.0;-191.0;-50.0;-71.0;-66.0;1.0
-499.0;489.0;528.0;-2121;544.0;753.0;-836.0;362.0;-632.0;718.0;122.0
-93.0;-194.0;-283.0;53;40.0;-235.0;44.0;362.0;18.0;-190.0;293.0
-93.0;-321.0;-356.0;71;-61.0;-318.0;179.0;-198.0;157.0;-261.0;502.0
-387.0;-332.0;-362.0;72;-95.0;-447.0;251.0;-245.0;259.0;-300.0;528.0
9.0;-396.0;-362.0;-7;-43.0;-361.0;218.0;-52.0;143.0;-339.0;410.0
138.0;-414.0;-366.0;-6;-42.0;-386.0;235.0;-186.0;125.0;-337.0;396.0
184.0;-288.0;-458.0;72;-96.0;-380.0;191.0;-508.0;272.0;-207.0;723.0
-353.0;-140.0;-267.0;-5;36.0;-272.0;113.0;-91.0;51.0;-226.0;271.0
-67.0;-114.0;-258.0;-5;55.0;-260.0;96.0;-66.0;29.0;-196.0;323.0
-33.0;-105.0;-257.0;-1;63.0;-252.0;85.0;6.0;17.0;-179.0;315.0
-162.0;-4.0;-212.0;-6;105.0;-226.0;58.0;30.0;-20.0;-115.0;322.0
47.0;14.0;-221.0;0;101.0;-244.0;73.0;28.0;-42.0;-105.0;375.0
-272.0;3.0;-233.0;6;68.0;-240.0;75.0;-3.0;-12.0;-117.0;362.0
-80.0;5.0;-239.0;-6;62.0;-239.0;76.0;-8.0;-6.0;-107.0;356.0
-268.0;-204.0;-144.0;236;-142.0;203.0;256.0;-220.0;26.0;-53.0;-59.0
171.0;-385.0;-472.0;13;-129.0;-33.0;258.0;63.0;278.0;-95.0;65.0
182.0;2.0;-224.0;3;63.0;-236.0;74.0;-14.0;-7.0;-106.0;327.0
61.0;-13.0;-249.0;-4;58.0;-239.0;77.0;-14.0;-3.0;-111.0;316.0
-276.0;-13.0;-242.0;-8;55.0;-240.0;78.0;-2.0;2.0;-131.0;305.0
134.0;-43.0;-247.0;1;52.0;-252.0;90.0;56.0;1.0;-145.0;316.0
1126.0;26.0;-223.0;-54;42.0;-284.0;114.0;293.0;68.0;-56.0;249.0
246.0;-296.0;-284.0;-1;32.0;-270.0;110.0;48.0;27.0;-287.0;336.0
-436.0;-406.0;-353.0;-2;22.0;-295.0;128.0;114.0;38.0;-285.0;331.0
-203.0;-301.0;-380.0;0;38.0;-287.0;115.0;-53.0;26.0;-238.0;355.0
-1961.0;-363.0;-414.0;-170;67.0;-300.0;82.0;-114.0;88.0;-94.0;253.0
54.0;-293.0;-432.0;1;37.0;-301.0;130.0;-92.0;30.0;-165.0;365.0
215.0;-231.0;-387.0;-3;-6.0;-338.0;170.0;25.0;66.0;-350.0;434.0
-12.0;-384.0;-471.0;-2;-143.0;-56.0;257.0;130.0;325.0;-85.0;-66.0
-24.0;-211.0;-388.0;-2;-10.0;-346.0;176.0;73.0;70.0;-369.0;443.0
-143.0;-300.0;-426.0;-4;-198.0;-517.0;409.0;17.0;219.0;-364.0;128.0
-153.0;-361.0;-245.0;-332;-520.0;-136.0;441.0;-291.0;483.0;-357.0;347.0
-245.0;-313.0;-145.0;-295;-375.0;-140.0;379.0;-180.0;325.0;-187.0;311.0
-45.0;-294.0;-429.0;-20;-194.0;-518.0;407.0;-5.0;215.0;-364.0;81.0
-116.0;-293.0;-430.0;-1;-189.0;-518.0;404.0;15.0;210.0;-365.0;104.0
-417.0;-250.0;-417.0;0;-141.0;-541.0;379.0;53.0;151.0;-332.0;80.0
-20.0;-284.0;-428.0;3;-127.0;-539.0;378.0;63.0;140.0;-313.0;115.0
-23.0;-3.0;-28.0;136;-245.0;12.0;261.0;326.0;216.0;-7.0;30.0
107.0;-298.0;-440.0;-1;-120.0;-533.0;380.0;77.0;136.0;-311.0;116.0
35.0;-301.0;-475.0;0;-155.0;-515.0;445.0;62.0;223.0;-553.0;245.0
-1.0;-307.0;-477.0;-2;-156.0;-518.0;452.0;9.0;226.0;-556.0;252.0
299.0;20.0;310.0;-36;-143.0;69.0;201.0;161.0;69.0;-174.0;473.0
10.0;106.0;338.0;-75;-119.0;109.0;157.0;-31.0;60.0;-140.0;525.0
19.0;-299.0;-476.0;-5;-167.0;-517.0;453.0;-40.0;236.0;-562.0;237.0
-16.0;-291.0;-474.0;-2;-173.0;-511.0;451.0;37.0;240.0;-564.0;249.0
29.0;-287.0;-477.0;-6;-179.0;-508.0;451.0;-10.0;244.0;-567.0;226.0
-10.0;-138.0;-346.0;2;0.0;-536.0;234.0;-15.0;15.0;-13.0;292.0
25.0;-135.0;-343.0;0;-1.0;-536.0;235.0;-28.0;16.0;-11.0;252.0
4.0;-142.0;-341.0;-2;1.0;-544.0;236.0;-32.0;13.0;-15.0;203.0
-87.0;-134.0;-337.0;-2;2.0;-548.0;236.0;-15.0;13.0;-14.0;190.0
-146.0;-126.0;-332.0;-1;3.0;-550.0;237.0;-15.0;12.0;-11.0;200.0
20.0;-131.0;-336.0;0;1.0;-546.0;238.0;-8.0;12.0;-8.0;186.0
-54.0;-91.0;-315.0;2;5.0;-551.0;239.0;-17.0;8.0;-7.0;165.0
-85.0;-357.0;-456.0;7;-125.0;-90.0;270.0;110.0;343.0;-77.0;-294.0
37.0;-53.0;-307.0;6;3.0;-544.0;236.0;5.0;2.0;10.0;195.0
53.0;-121.0;-349.0;-4;8.0;-550.0;236.0;0.0;-16.0;-11.0;163.0
189.0;-135.0;-359.0;0;4.0;-553.0;233.0;11.0;-17.0;-25.0;172.0
73.0;-137.0;-356.0;-3;-20.0;-548.0;250.0;10.0;14.0;-37.0;209.0
-380.0;-33.0;-355.0;-5;-154.0;-564.0;401.0;193.0;211.0;-222.0;180.0
423.0;26.0;-393.0;-18;-191.0;-606.0;451.0;157.0;269.0;-180.0;271.0
373.0;-441.0;-511.0;3;-286.0;-709.0;621.0;3.0;428.0;-471.0;622.0
14.0;-416.0;-420.0;91;-166.0;-453.0;333.0;-211.0;269.0;-417.0;119.0
-25.0;-411.0;-388.0;3;-73.0;-348.0;211.0;11.0;157.0;-231.0;211.0
27.0;-387.0;-390.0;-11;-77.0;-340.0;205.0;0.0;156.0;-230.0;211.0
-191.0;-363.0;-378.0;-36;-75.0;-343.0;204.0;-56.0;147.0;-232.0;197.0
20.0;-115.0;263.0;-19;-263.0;24.0;180.0;-10.0;177.0;-325.0;129.0
-123.0;-95.0;270.0;-13;-226.0;17.0;177.0;-17.0;142.0;-291.0;58.0
447.0;-275.0;-303.0;-93;32.0;-254.0;104.0;-156.0;42.0;-144.0;170.0
427.0;-261.0;-293.0;-457;35.0;-253.0;100.0;-169.0;40.0;-143.0;156.0
-237.0;-195.0;-275.0;140;45.0;-241.0;86.0;-37.0;29.0;-149.0;60.0
110.0;-96.0;-275.0;181;68.0;-225.0;67.0;100.0;-2.0;-143.0;101.0
286.0;-23.0;-279.0;-14;62.0;-244.0;82.0;164.0;-4.0;-170.0;176.0
338.0;-10.0;-285.0;3;56.0;-256.0;94.0;173.0;5.0;-186.0;309.0
333.0;-308.0;-237.0;134;-86.0;-567.0;295.0;-54.0;118.0;-198.0;-201.0
384.0;-8.0;-290.0;-1;54.0;-260.0;99.0;134.0;10.0;-195.0;312.0
119.0;-75.0;-360.0;44;52.0;-436.0;154.0;-504.0;92.0;-333.0;274.0
379.0;-2.0;-291.0;2;51.0;-265.0;103.0;129.0;13.0;-204.0;324.0
368.0;69.0;-264.0;7;32.0;-287.0;129.0;130.0;47.0;-224.0;321.0
-55.0;-371.0;-298.0;26;-198.0;-519.0;447.0;-90.0;173.0;-391.0;143.0
-434.0;-404.0;-292.0;23;-205.0;-486.0;332.0;5.0;155.0;-398.0;105.0
-260.0;-412.0;-289.0;23;-208.0;-487.0;318.0;72.0;156.0;-400.0;119.0
61.0;-423.0;-298.0;20;-221.0;-483.0;301.0;114.0;148.0;-406.0;124.0
190.0;-389.0;-303.0;12;-209.0;-511.0;307.0;66.0;120.0;-408.0;138.0
109.0;-348.0;-337.0;-1;-215.0;-529.0;330.0;-54.0;140.0;-394.0;165.0
-418.0;-217.0;-431.0;2;53.0;-310.0;130.0;-15.0;26.0;-347.0;235.0
88.0;-347.0;-337.0;-2;-216.0;-528.0;331.0;-50.0;142.0;-393.0;167.0
-205.0;-133.0;-392.0;1;68.0;-282.0;96.0;30.0;16.0;-300.0;270.0
169.0;-335.0;-381.0;10;-206.0;-526.0;326.0;36.0;142.0;-352.0;178.0
122.0;-333.0;-398.0;7;-196.0;-512.0;305.0;-35.0;125.0;-346.0;30.0
-56.0;37.0;-330.0;-2;-155.0;-576.0;587.0;-11.0;222.0;-248.0;-53.0
-58.0;34.0;-333.0;-6;-155.0;-574.0;586.0;-14.0;222.0;-249.0;-40.0
-32.0;-339.0;-400.0;6;-162.0;-512.0;303.0;43.0;88.0;-351.0;18.0
-192.0;14.0;-345.0;-2;-149.0;-523.0;561.0;-32.0;212.0;-262.0;-81.0
-810.0;-472.0;-533.0;-46;-501.0;-467.0;621.0;-95.0;563.0;-720.0;-290.0
-182.0;-277.0;-422.0;1;-153.0;-489.0;592.0;-75.0;294.0;-400.0;-65.0
-268.0;-336.0;-395.0;7;-144.0;-520.0;313.0;37.0;78.0;-357.0;17.0
-119.0;-323.0;-230.0;2;-163.0;-519.0;470.0;-6.0;174.0;-415.0;77.0
-227.0;-312.0;-201.0;1;-178.0;-536.0;402.0;92.0;153.0;-437.0;42.0
87.0;-297.0;-170.0;1;-182.0;-399.0;315.0;34.0;109.0;-444.0;84.0
33.0;-299.0;-167.0;-10;-145.0;-478.0;338.0;-53.0;72.0;-445.0;58.0
68.0;-294.0;-419.0;-6;-159.0;-494.0;613.0;-15.0;325.0;-395.0;-65.0
214.0;-227.0;-414.0;-1;-160.0;-511.0;621.0;26.0;325.0;-379.0;-65.0
-43.0;-474.0;-480.0;-667;9.0;-354.0;159.0;-76.0;107.0;-515.0;95.0
91.0;-194.0;-404.0;7;-160.0;-518.0;626.0;-19.0;329.0;-366.0;-81.0
64.0;-172.0;-400.0;3;-159.0;-509.0;629.0;-10.0;341.0;-358.0;-58.0
-532.0;-123.0;-487.0;1;-268.0;-450.0;468.0;116.0;318.0;-626.0;424.0
-64.0;-184.0;-395.0;-11;-158.0;-478.0;626.0;-1.0;359.0;-358.0;-67.0
-215.0;-255.0;-416.0;1;-157.0;-381.0;624.0;-11.0;419.0;-391.0;-82.0
297.0;-229.0;-497.0;-48;-161.0;-481.0;335.0;-203.0;273.0;-456.0;45.0
-408.0;-167.0;-322.0;3;-385.0;-176.0;406.0;-340.0;567.0;-400.0;-195.0
-28.0;-444.0;-382.0;172;-599.0;-339.0;575.0;-195.0;574.0;-539.0;-33.0
55.0;-203.0;-450.0;2;-155.0;-124.0;566.0;-142.0;347.0;-428.0;56.0
108.0;-205.0;-452.0;3;-152.0;-128.0;565.0;-148.0;327.0;-426.0;48.0
-163.0;-276.0;-426.0;6;-6.0;-360.0;184.0;18.0;102.0;-234.0;273.0
170.0;-258.0;-421.0;0;-10.0;-356.0;185.0;-3.0;107.0;-224.0;257.0
458.0;-353.0;-367.0;2;1.0;-332.0;167.0;156.0;119.0;-335.0;217.0
-465.0;-369.0;-350.0;-5;-1.0;-339.0;171.0;185.0;117.0;-322.0;205.0
-19.0;-300.0;-171.0;-7;-161.0;-540.0;368.0;-80.0;130.0;-451.0;92.0
78.0;-209.0;-456.0;-5;-152.0;-115.0;566.0;-117.0;311.0;-425.0;46.0
81.0;-305.0;-179.0;-6;-150.0;-535.0;378.0;-63.0;117.0;-456.0;202.0
-111.0;-354.0;-557.0;-4;-78.0;-607.0;603.0;-46.0;145.0;-502.0;140.0
774.0;194.0;312.0;1136;-135.0;107.0;123.0;-437.0;62.0;217.0;535.0
-97.0;-357.0;-590.0;-2;-92.0;-387.0;664.0;24.0;304.0;-499.0;89.0
-127.0;-348.0;-580.0;1;-136.0;-257.0;650.0;75.0;317.0;-518.0;99.0
-48.0;-352.0;-574.0;1;-141.0;-243.0;643.0;32.0;305.0;-532.0;91.0
298.0;-175.0;-425.0;-46;-61.0;-350.0;181.0;362.0;176.0;-40.0;250.0
-66.0;-353.0;-571.0;-1;-140.0;-234.0;642.0;25.0;304.0;-537.0;115.0
-119.0;47.0;-227.0;378;73.0;-391.0;194.0;-331.0;4.0;-171.0;468.0
-36.0;-377.0;-394.0;25;-61.0;-254.0;62.0;90.0;208.0;-248.0;666.0
-26.0;-352.0;-568.0;-4;-138.0;-215.0;638.0;34.0;305.0;-541.0;63.0
54.0;-298.0;-509.0;4;-237.0;-620.0;586.0;-86.0;234.0;-484.0;141.0
4.0;-303.0;-493.0;-2;-252.0;-615.0;579.0;-17.0;225.0;-488.0;106.0
-5.0;-294.0;-491.0;-2;-251.0;-613.0;580.0;-5.0;224.0;-478.0;107.0
147.0;-279.0;-431.0;-38;-164.0;-483.0;332.0;-186.0;328.0;-464.0;87.0
30.0;-203.0;-459.0;58;-267.0;-530.0;424.0;-295.0;386.0;-610.0;447.0
378.0;-159.0;-371.0;-312;-103.0;-485.0;305.0;-27.0;263.0;-408.0;400.0
-281.0;-150.0;-362.0;232;-13.0;-371.0;149.0;122.0;207.0;-352.0;8.0
25.0;-349.0;-563.0;-2;-143.0;-228.0;636.0;-45.0;286.0;-545.0;222.0
-281.0;73.0;-194.0;17;175.0;-445.0;164.0;-339.0;-127.0;-103.0;309.0
-34.0;-7.0;-208.0;-3;98.0;-90.0;-100.0;325.0;32.0;-220.0;380.0
-89.0;-414.0;-493.0;10;-80.0;-384.0;220.0;2.0;145.0;-548.0;328.0
78.0;-349.0;-565.0;-1;-144.0;-251.0;637.0;-81.0;273.0;-542.0;85.0
-128.0;3.0;-418.0;99;219.0;-170.0;-57.0;-6.0;-168.0;198.0;-29.0
15.0;-296.0;-492.0;2;-251.0;-612.0;580.0;23.0;224.0;-476.0;107.0
-379.0;162.0;21.0;-1;310.0;226.0;-392.0;156.0;-213.0;51.0;249.0
-655.0;-12.0;-210.0;769;135.0;3.0;-98.0;-121.0;-85.0;-99.0;86.0
233.0;161.0;-106.0;-84;168.0;-247.0;-8.0;308.0;-13.0;-35.0;330.0
-55.0;-339.0;-212.0;-77;57.0;-213.0;113.0;-265.0;-104.0;-446.0;3.0
916.0;75.0;-190.0;130;175.0;2.0;-168.0;338.0;-102.0;-7.0;100.0
16.0;129.0;92.0;-67;89.0;130.0;-343.0;-713.0;-41.0;23.0;-161.0
-433.0;-29.0;-322.0;354;38.0;-174.0;53.0;-275.0;53.0;-284.0;22.0
-362.0;-109.0;-392.0;87;-80.0;-479.0;336.0;-375.0;89.0;-394.0;215.0
-120.0;-379.0;-394.0;27;-58.0;-254.0;61.0;51.0;206.0;-248.0;669.0
-28.0;-165.0;-360.0;-41;-82.0;-384.0;244.0;104.0;140.0;-557.0;134.0
-58.0;-135.0;-363.0;-34;-87.0;-371.0;240.0;4.0;150.0;-558.0;13.0
452.0;-152.0;-14.0;675;198.0;-275.0;-98.0;666.0;-112.0;-17.0;181.0
-233.0;-100.0;-498.0;70;123.0;-64.0;-32.0;61.0;-128.0;-192.0;-1.0
-527.0;12.0;-225.0;168;61.0;-213.0;49.0;-268.0;-1.0;-173.0;26.0
263.0;-190.0;-489.0;-4;79.0;-206.0;39.0;402.0;-126.0;-182.0;64.0
-93.0;-355.0;-526.0;27;60.0;-71.0;6.0;-8.0;-95.0;-101.0;286.0
-33.0;65.0;-135.0;-2;-553.0;-527.0;722.0;20.0;570.0;-521.0;278.0
136.0;-222.0;-516.0;5;-168.0;-618.0;674.0;45.0;334.0;-294.0;85.0
61.0;66.0;-183.0;-44;157.0;-205.0;-5.0;-519.0;-51.0;-131.0;84.0
-77.0;65.0;-185.0;-44;180.0;-234.0;22.0;-590.0;-75.0;-137.0;178.0
-6.0;-18.0;-263.0;339;121.0;-41.0;-58.0;351.0;-86.0;-114.0;88.0
386.0;-35.0;-322.0;3;-46.0;-249.0;182.0;250.0;93.0;-225.0;272.0
