PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT)
866.0;23.5;9.1;30.1;0.9869;985.0;944.0;1541.0;833.0;1.6;102.0;97.0;-200.0
813.0;26.3;11.5;27.7;0.9652;1156.0;1034.0;1640.0;1123.0;2.1;154.0;122.0;-200.0
767.0;22.5;12.7;34.4;1.205;1085.0;1075.0;1786.0;913.0;1.9;126.0;110.0;-200.0
1080.0;52.6;3.1;20.4;1.247;842.0;656.0;1427.0;620.0;0.4;40.0;48.0;-200.0
565.0;49.1;23.3;22.9;1.3546;1337.0;1386.0;2196.0;1596.0;3.8;274.0;115.0;-200.0
921.0;23.4;12.1;30.7;1.015;1006.0;1054.0;1636.0;769.0;1.2;115.0;111.0;-200.0
1155.0;18.1;5.8;21.7;0.4642;847.0;800.0;1179.0;649.0;1.0;116.0;90.0;-200.0
966.0;35.7;8.1;28.9;1.3985;1010.0;902.0;1676.0;724.0;-200.0;59.0;44.0;-200.0
748.0;33.8;15.9;22.9;0.9322;1341.0;1176.0;1825.0;1347.0;3.1;167.0;135.0;454.0
949.0;33.5;8.3;25.5;1.0767;1053.0;911.0;1603.0;683.0;2.0;98.0;91.0;-200.0
818.0;30.9;9.7;25.3;0.9815;1011.0;967.0;1565.0;748.0;1.6;111.0;116.0;-200.0
802.0;30.3;12.7;23.1;0.8425;1157.0;1072.0;1653.0;1327.0;2.6;191.0;127.0;-200.0
946.0;15.2;7.4;36.6;0.9177;912.0;873.0;1436.0;614.0;1.3;89.0;86.0;-200.0
826.0;25.6;11.2;31.8;1.1868;1040.0;1022.0;1747.0;812.0;1.7;115.0;98.0;-200.0
992.0;43.6;6.3;22.4;1.1637;929.0;825.0;1561.0;692.0;1.4;115.0;87.0;-200.0
772.0;20.1;11.6;39.9;1.4495;1148.0;1037.0;1720.0;835.0;1.8;110.0;130.0;-200.0
802.0;23.9;11.1;33.3;1.2085;1075.0;1020.0;1732.0;797.0;2.1;109.0;103.0;-200.0
735.0;22.4;14.4;34.3;1.1907;1111.0;1131.0;1825.0;1085.0;2.5;171.0;137.0;-200.0
1208.0;62.6;3.6;9.4;0.7398;974.0;690.0;1313.0;733.0;1.2;67.0;83.0;61.0
776.0;52.3;12.5;15.0;0.8881;1425.0;1068.0;1764.0;1341.0;2.6;166.0;107.0;-200.0
-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;0.8;44.0;55.0;-200.0
816.0;46.6;10.2;25.2;1.4733;1062.0;984.0;1796.0;842.0;1.7;84.0;98.0;-200.0
