PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT)
983.0;81.1;11.5;8.0;0.8736;1371.0;1034.0;1730.0;1037.0;?;207.0;128.0;164.0
?;79.8;8.8;8.3;0.8778;?;933.0;1647.0;?;?;184.0;126.0;79.0
?;71.2;8.3;9.7;0.8569;1292.0;912.0;?;957.0;2.2;193.0;131.0;95.0
1008.0;67.6;11.2;9.8;0.8185;1383.0;1020.0;1719.0;1104.0;?;243.0;135.0;150.0
799.0;64.2;20.8;10.3;0.8065;1581.0;1319.0;2083.0;1409.0;4.8;281.0;151.0;307.0
702.0;69.3;27.4;9.7;0.8319;1776.0;1488.0;2333.0;1704.0;6.9;383.0;172.0;461.0
743.0;67.8;24.0;9.6;0.8133;1640.0;1404.0;2191.0;?;?;351.0;165.0;401.0
957.0;64.0;12.8;9.1;0.7419;1313.0;1076.0;1707.0;1285.0;3.9;240.0;136.0;197.0
1325.0;?;4.7;8.2;0.6905;965.0;749.0;1333.0;821.0;1.5;94.0;85.0;61.0
1565.0;60.8;2.6;8.2;0.6657;913.0;629.0;1252.0;552.0;1.0;47.0;53.0;26.0
?;58.5;5.9;8.3;?;1080.0;805.0;1375.0;816.0;1.7;122.0;97.0;55.0
1247.0;59.7;6.4;7.7;?;1044.0;829.0;1378.0;832.0;1.9;133.0;?;53.0
1396.0;61.8;4.1;7.1;0.6276;988.0;718.0;1304.0;?;1.4;82.0;91.0;?
1680.0;62.3;1.9;7.0;0.6261;889.0;574.0;1187.0;512.0;?;-200.0;-200.0;21.0
1893.0;65.9;1.1;6.1;0.6248;831.0;506.0;1134.0;384.0;-200.0;21.0;32.0;10.0
?;65.0;1.0;6.3;0.6233;?;501.0;1155.0;?;0.6;30.0;?;?
1685.0;62.9;1.8;6.8;?;927.0;571.0;1223.0;?;0.8;56.0;71.0;17.0
1387.0;65.1;4.4;6.4;0.6316;1091.0;?;1361.0;748.0;1.4;109.0;104.0;33.0
?;63.1;17.9;7.3;0.6499;1587.0;1236.0;1900.0;1400.0;4.4;307.0;141.0;202.0
767.0;?;22.1;?;0.6561;1545.0;1353.0;?;1588.0;-200.0;-200.0;-200.0;-200.0
?;41.7;?;13.2;0.632;1350.0;1118.0;1712.0;1237.0;3.1;187.0;122.0;208.0
969.0;38.4;11.6;14.3;0.6243;1263.0;1037.0;1598.0;1167.0;2.7;216.0;143.0;166.0
1035.0;36.5;10.2;15.0;0.6195;1206.0;986.0;1537.0;959.0;?;143.0;113.0;114.0
1008.0;34.5;11.0;16.1;0.6262;1252.0;?;?;983.0;2.5;160.0;116.0;140.0
?;35.7;12.8;16.3;0.656;1287.0;1078.0;?;1061.0;2.7;163.0;123.0;169.0
922.0;37.0;14.2;15.8;0.661;1353.0;1122.0;1740.0;1139.0;2.9;?;126.0;185.0
954.0;37.2;12.7;15.9;?;1309.0;?;?;1112.0;2.8;178.0;120.0;165.0
1006.0;34.3;11.7;16.9;0.6549;1274.0;?;1610.0;994.0;2.4;150.0;119.0;133.0
?;39.6;19.3;15.1;0.6766;1510.0;1277.0;1910.0;1410.0;3.9;206.0;149.0;233.0
821.0;43.4;18.2;14.4;0.7084;1525.0;1246.0;1847.0;1448.0;3.7;202.0;145.0;242.0
624.0;50.5;32.6;12.9;0.7478;1843.0;1610.0;2390.0;1887.0;?;340.0;170.0;488.0
752.0;?;20.1;?;0.7536;1598.0;1299.0;1941.0;1627.0;4.4;274.0;149.0;333.0
839.0;59.1;14.3;?;0.774;1484.0;?;1723.0;1491.0;3.5;253.0;139.0;215.0
741.0;64.6;21.8;9.7;0.7771;?;1346.0;2062.0;1657.0;5.4;300.0;134.0;367.0
?;64.1;9.6;9.5;0.7597;1280.0;964.0;1544.0;1285.0;2.7;?;113.0;122.0
?;63.9;7.4;9.1;0.7423;1196.0;873.0;1463.0;1144.0;1.9;139.0;97.0;67.0
1176.0;63.9;5.4;8.8;0.7256;1184.0;782.0;1365.0;1043.0;1.6;83.0;82.0;43.0
1179.0;67.5;5.4;7.8;0.7173;1172.0;783.0;1380.0;996.0;1.7;-200.0;-200.0;?
1132.0;71.1;6.2;7.0;0.7158;?;821.0;1412.0;992.0;-200.0;109.0;83.0;56.0
1420.0;63.6;2.6;8.3;0.6982;?;?;1274.0;?;1.0;62.0;65.0;30.0
1406.0;67.5;2.9;7.2;0.6887;1100.0;646.0;1268.0;835.0;1.2;53.0;60.0;27.0
1228.0;71.9;5.1;6.3;0.6932;1112.0;770.0;1409.0;940.0;1.5;139.0;?;47.0
935.0;?;11.8;6.5;0.6945;1336.0;1043.0;1678.0;1192.0;2.7;256.0;?;132.0
830.0;59.7;15.1;9.6;0.7124;1408.0;1153.0;1777.0;1411.0;3.7;295.0;119.0;239.0
869.0;51.2;12.9;12.4;0.7335;1447.0;1081.0;1667.0;1465.0;3.2;250.0;?;160.0
808.0;42.2;16.1;15.6;0.7451;1542.0;1184.0;1780.0;1583.0;4.1;296.0;158.0;283.0
875.0;?;14.0;18.4;0.709;1451.0;1117.0;1679.0;?;3.6;239.0;161.0;210.0
987.0;31.3;12.3;19.4;0.695;1328.0;1059.0;1600.0;1101.0;2.8;153.0;124.0;154.0
1088.0;34.8;8.6;18.0;0.7127;1207.0;924.0;1488.0;850.0;2.0;118.0;102.0;112.0
?;?;9.2;18.4;0.7042;1240.0;947.0;1532.0;?;2.0;119.0;116.0;108.0
1004.0;35.1;10.2;17.6;0.7012;1306.0;987.0;?;1078.0;2.5;?;124.0;111.0
?;37.8;10.6;16.7;0.7117;1326.0;1000.0;1602.0;1084.0;2.3;148.0;125.0;97.0
831.0;41.0;?;16.1;0.7451;1473.0;1163.0;1779.0;1395.0;3.2;227.0;148.0;191.0
758.0;42.4;19.6;15.8;0.7569;1609.0;1286.0;1922.0;1612.0;?;?;165.0;258.0
754.0;44.1;19.2;15.7;0.7786;1611.0;1274.0;1915.0;1697.0;4.2;279.0;161.0;284.0
762.0;46.8;18.3;15.3;0.8091;1621.0;1247.0;1860.0;1886.0;4.2;283.0;159.0;269.0
844.0;48.6;13.1;?;0.806;1444.0;1089.0;1748.0;1624.0;3.1;214.0;143.0;180.0
892.0;49.3;10.9;14.7;0.8193;?;1010.0;?;1536.0;2.6;172.0;130.0;116.0
889.0;53.6;11.0;13.9;0.8498;1534.0;?;1611.0;1535.0;2.9;190.0;129.0;93.0
880.0;51.5;11.9;14.6;0.8536;1484.0;1045.0;?;1530.0;2.8;174.0;119.0;131.0
953.0;58.9;?;12.5;0.8537;1367.0;925.0;1543.0;?;2.5;128.0;104.0;92.0
921.0;?;9.7;11.6;0.8674;1344.0;968.0;1620.0;?;2.4;-200.0;-200.0;132.0
?;61.1;5.2;12.1;?;1130.0;773.0;1452.0;1051.0;-200.0;70.0;82.0;56.0
1272.0;63.1;3.7;?;0.8533;1062.0;691.0;1377.0;929.0;1.2;53.0;70.0;32.0
1395.0;62.2;2.5;11.6;0.8473;1076.0;618.0;1333.0;872.0;1.0;44.0;63.0;?
1384.0;67.6;2.4;10.4;0.853;1028.0;615.0;1340.0;853.0;0.9;74.0;67.0;27.0
1225.0;62.7;?;11.6;0.853;1155.0;722.0;1414.0;959.0;1.4;101.0;84.0;36.0
1055.0;60.0;6.4;?;0.8627;1235.0;?;1527.0;1093.0;1.6;118.0;83.0;57.0
?;53.1;8.6;14.5;0.8728;1332.0;923.0;1614.0;1225.0;2.2;144.0;98.0;129.0
878.0;46.1;10.9;16.9;0.8789;1445.0;1009.0;1696.0;1355.0;2.8;176.0;114.0;148.0
907.0;38.3;10.7;19.3;0.8474;1416.0;1002.0;?;1262.0;2.8;161.0;?;145.0
1084.0;31.4;7.5;21.2;0.7812;1281.0;880.0;1525.0;?;?;113.0;104.0;93.0
1104.0;30.2;7.5;21.4;0.7616;1207.0;879.0;1490.0;872.0;1.8;103.0;102.0;84.0
1081.0;29.0;8.2;21.9;0.7525;1258.0;?;1511.0;900.0;1.9;112.0;107.0;99.0
974.0;28.4;11.9;?;0.7516;1458.0;1045.0;1646.0;1099.0;3.0;?;129.0;150.0
943.0;30.8;12.0;?;0.7696;1438.0;1051.0;1668.0;1206.0;2.9;?;?;156.0
?;36.7;?;19.7;0.8307;?;1055.0;1671.0;1262.0;2.5;160.0;121.0;122.0
753.0;41.7;20.6;18.4;0.8732;1808.0;1312.0;?;1698.0;4.6;261.0;157.0;262.0
681.0;46.1;23.1;17.6;?;1898.0;1381.0;2103.0;1905.0;5.9;325.0;173.0;?
784.0;49.6;14.7;?;0.932;1560.0;1140.0;1818.0;1648.0;3.4;217.0;146.0;214.0
924.0;51.0;9.0;16.3;?;1324.0;940.0;1587.0;?;2.1;146.0;121.0;100.0
933.0;?;8.8;?;0.9314;1349.0;933.0;1617.0;1349.0;2.2;152.0;119.0;79.0
985.0;54.7;7.4;14.8;?;1239.0;872.0;1547.0;1250.0;1.8;104.0;99.0;66.0
1010.0;57.0;6.9;14.0;0.9094;1239.0;?;1543.0;1174.0;?;106.0;93.0;73.0
?;61.3;7.0;13.4;0.9361;1224.0;?;1566.0;?;1.8;108.0;88.0;66.0
1128.0;63.5;4.4;12.6;?;1078.0;734.0;1487.0;?;1.1;-200.0;-200.0;44.0
?;65.4;4.0;12.3;0.9351;?;711.0;1468.0;1013.0;-200.0;66.0;?;44.0
1156.0;67.4;3.9;11.9;0.9375;1075.0;703.0;1464.0;1010.0;1.0;88.0;74.0;39.0
1030.0;70.5;?;11.4;0.9475;1157.0;830.0;1584.0;1083.0;1.4;138.0;80.0;51.0
897.0;70.2;9.7;11.3;0.9401;1314.0;966.0;1710.0;?;2.2;228.0;89.0;107.0
652.0;63.9;25.9;12.4;0.917;1797.0;1451.0;2323.0;1680.0;5.5;360.0;114.0;336.0
537.0;54.3;36.7;14.8;0.9076;1961.0;?;2665.0;?;?;478.0;149.0;618.0
622.0;45.6;26.6;17.4;0.8993;1771.0;1470.0;2262.0;1973.0;?;394.0;157.0;438.0
710.0;38.5;20.1;19.8;?;1564.0;1300.0;2029.0;1798.0;4.2;319.0;155.0;334.0
831.0;34.1;14.1;22.0;0.8904;1430.0;1120.0;1783.0;1522.0;3.1;201.0;134.0;221.0
830.0;?;14.9;23.3;0.9096;1417.0;1146.0;1831.0;1404.0;2.9;171.0;119.0;207.0
?;?;?;23.9;0.8757;1400.0;1162.0;1829.0;1263.0;2.9;159.0;111.0;?
926.0;28.9;12.1;24.4;0.8736;1317.0;1053.0;1707.0;1137.0;?;153.0;104.0;185.0
950.0;29.4;11.5;24.4;0.8848;1318.0;?;1675.0;?;?;143.0;99.0;?
857.0;31.3;14.8;?;0.9137;1445.0;?;1824.0;1252.0;2.8;156.0;110.0;214.0
631.0;?;32.1;22.5;0.9547;1917.0;1601.0;2447.0;?;6.1;314.0;162.0;471.0
542.0;42.5;39.2;20.4;1.0086;2040.0;1754.0;2679.0;2122.0;8.0;404.0;187.0;685.0
565.0;52.6;31.0;18.3;1.0945;1895.0;1573.0;2443.0;1992.0;6.5;320.0;165.0;538.0
678.0;57.4;19.9;16.7;1.0786;?;1294.0;2058.0;1707.0;4.2;256.0;145.0;319.0
764.0;60.2;15.3;15.7;1.0654;1439.0;1159.0;1856.0;1494.0;3.2;193.0;125.0;224.0
1008.0;61.4;6.9;15.3;1.058;1142.0;852.0;1547.0;1164.0;1.4;89.0;101.0;67.0
852.0;65.7;11.1;14.1;1.0494;1304.0;1019.0;1731.0;1272.0;2.1;127.0;?;155.0
1098.0;60.6;5.4;14.8;1.0148;1074.0;784.0;1483.0;1040.0;1.2;79.0;88.0;49.0
1320.0;59.2;2.8;14.8;0.9879;968.0;640.0;1386.0;867.0;0.8;43.0;61.0;29.0
1376.0;62.1;2.3;13.6;0.9636;929.0;?;1364.0;826.0;0.7;-200.0;-200.0;25.0
1316.0;66.2;2.6;12.3;?;941.0;626.0;1373.0;840.0;-200.0;59.0;59.0;25.0
1412.0;63.2;2.0;12.8;0.9283;937.0;?;1348.0;793.0;0.6;38.0;52.0;17.0
1246.0;68.5;3.5;11.2;0.9081;1017.0;681.0;?;870.0;0.9;82.0;?;?
1162.0;66.5;5.1;11.0;0.8705;1171.0;770.0;1467.0;930.0;1.3;99.0;70.0;?
770.0;63.7;16.2;11.7;0.8719;1541.0;1185.0;1889.0;?;3.4;263.0;97.0;218.0
698.0;56.3;19.7;13.6;0.8743;1539.0;1287.0;2055.0;1507.0;3.7;229.0;95.0;285.0
628.0;?;25.1;?;0.8672;?;?;2211.0;1843.0;5.3;396.0;150.0;437.0
730.0;33.3;20.0;21.4;?;1571.0;1297.0;1973.0;1729.0;4.1;314.0;162.0;327.0
776.0;27.4;18.3;24.4;0.8231;?;1250.0;1868.0;1583.0;3.3;217.0;154.0;283.0
724.0;26.1;22.3;25.3;0.8264;1579.0;1359.0;1998.0;1671.0;4.0;252.0;161.0;366.0
773.0;23.2;20.4;?;0.7589;1466.0;1309.0;1897.0;1491.0;3.8;?;161.0;318.0
893.0;20.2;14.6;27.0;0.7094;1280.0;?;1675.0;1240.0;2.8;180.0;128.0;228.0
905.0;18.6;16.6;28.2;?;1407.0;?;1759.0;1313.0;2.9;?;129.0;201.0
898.0;?;15.8;28.0;0.7098;1389.0;?;1739.0;1363.0;2.9;190.0;133.0;199.0
859.0;25.7;17.8;?;0.7519;1447.0;?;1778.0;1296.0;3.4;184.0;139.0;237.0
800.0;34.8;19.1;21.3;0.873;1551.0;1271.0;1875.0;1432.0;3.9;181.0;137.0;261.0
854.0;36.7;15.8;?;0.8704;1474.0;1173.0;1776.0;1432.0;3.2;166.0;143.0;230.0
700.0;41.3;24.9;19.0;0.9007;1800.0;1426.0;2106.0;2034.0;5.1;317.0;177.0;349.0
818.0;45.9;?;?;0.9342;1379.0;1101.0;1710.0;1602.0;2.6;184.0;138.0;183.0
935.0;48.9;9.1;16.7;0.9226;1201.0;943.0;1560.0;1362.0;1.7;130.0;117.0;?
922.0;52.9;8.6;15.5;0.9271;1205.0;925.0;1547.0;1314.0;1.7;132.0;107.0;85.0
1066.0;51.9;5.4;15.5;0.9059;1072.0;784.0;1442.0;1114.0;1.2;95.0;?;47.0
1169.0;55.6;?;14.1;0.891;998.0;714.0;1383.0;992.0;0.9;?;79.0;?
1292.0;57.9;?;?;0.8666;933.0;625.0;1332.0;?;0.7;-200.0;-200.0;26.0
?;57.9;1.9;12.7;?;883.0;577.0;1303.0;808.0;-200.0;54.0;60.0;17.0
1460.0;58.0;?;11.8;0.8026;?;554.0;1268.0;667.0;0.5;28.0;40.0;11.0
1417.0;57.4;1.9;11.9;0.7978;891.0;576.0;1289.0;733.0;0.5;46.0;53.0;18.0
1038.0;65.2;7.5;9.9;?;1173.0;878.0;1556.0;1052.0;1.6;160.0;84.0;84.0
?;?;21.4;11.1;0.7958;1587.0;1334.0;1999.0;1534.0;4.1;320.0;108.0;260.0
553.0;50.0;36.4;14.1;0.802;1852.0;1696.0;2535.0;1931.0;6.6;377.0;127.0;534.0
703.0;40.1;21.3;17.7;0.8048;1522.0;1331.0;2026.0;1734.0;4.3;280.0;134.0;368.0
819.0;33.4;15.4;21.1;0.8265;?;1161.0;1782.0;1595.0;2.9;221.0;135.0;200.0
905.0;28.3;12.5;24.3;0.8471;1393.0;?;1654.0;1490.0;2.5;210.0;142.0;145.0
861.0;?;15.1;?;0.8254;1452.0;1152.0;?;1508.0;2.8;?;153.0;188.0
887.0;25.9;13.7;25.9;0.8503;1389.0;1108.0;1712.0;1334.0;2.6;161.0;123.0;152.0
1013.0;18.7;10.4;26.8;0.65;?;?;1520.0;1045.0;2.0;135.0;104.0;103.0
940.0;?;15.2;?;0.6309;1365.0;1154.0;1679.0;1221.0;2.9;186.0;?;193.0
1032.0;14.9;12.3;28.5;0.5708;?;1060.0;1525.0;1069.0;2.5;147.0;114.0;134.0
793.0;16.0;27.0;25.9;0.5237;1557.0;1478.0;1981.0;1569.0;5.0;299.0;158.0;386.0
617.0;26.5;?;23.1;0.7403;1973.0;1737.0;2414.0;2306.0;7.6;?;194.0;577.0
597.0;38.2;35.1;20.5;0.9133;1975.0;?;2416.0;2359.0;6.7;347.0;182.0;523.0
653.0;42.6;27.2;19.1;0.9294;1795.0;1485.0;2174.0;2050.0;5.7;336.0;180.0;472.0
770.0;44.1;15.0;17.2;0.8558;1444.0;1150.0;1727.0;1727.0;?;202.0;?;206.0
731.0;50.9;15.7;16.0;0.9206;1488.0;1171.0;1778.0;1705.0;?;?;127.0;?
796.0;53.9;?;?;0.9024;1371.0;?;1669.0;1551.0;2.3;154.0;116.0;159.0
947.0;55.4;8.1;14.3;0.8975;?;904.0;1502.0;1240.0;1.4;92.0;107.0;70.0
1057.0;52.1;5.5;14.8;0.8686;?;787.0;1407.0;1115.0;1.0;61.0;88.0;44.0
1196.0;?;3.6;13.9;0.8501;970.0;687.0;1351.0;969.0;0.7;-200.0;-200.0;42.0
1260.0;61.9;2.9;?;0.8442;954.0;645.0;1334.0;925.0;-200.0;?;78.0;28.0
?;58.9;2.5;12.0;0.8233;?;623.0;1307.0;828.0;0.6;37.0;57.0;20.0
1251.0;62.1;3.0;10.9;0.8113;938.0;650.0;1333.0;893.0;0.7;68.0;71.0;26.0
1005.0;63.3;7.7;10.6;0.8067;1166.0;885.0;1551.0;1075.0;1.5;139.0;85.0;78.0
667.0;?;23.3;11.5;?;1643.0;1384.0;2094.0;1610.0;4.7;339.0;124.0;319.0
541.0;50.6;35.8;14.3;0.8186;1934.0;1682.0;2468.0;2051.0;6.6;421.0;151.0;506.0
?;?;21.3;17.8;0.821;1617.0;1333.0;2010.0;1819.0;4.5;349.0;?;-200.0
831.0;34.4;14.3;20.8;0.8365;1473.0;1127.0;1752.0;?;2.8;224.0;?;-200.0
899.0;28.2;12.5;23.8;0.8219;1379.0;1068.0;1663.0;1374.0;2.2;171.0;139.0;-200.0
891.0;28.7;12.2;24.2;0.8515;1385.0;1056.0;1648.0;1268.0;2.2;149.0;133.0;-200.0
901.0;24.9;13.1;25.2;0.7829;1379.0;1087.0;1660.0;1144.0;2.3;137.0;126.0;-200.0
934.0;17.8;14.4;27.0;0.6275;1322.0;1129.0;1639.0;1109.0;2.2;149.0;128.0;?
822.0;23.1;16.8;27.1;0.818;1496.0;1205.0;1767.0;1347.0;2.8;172.0;169.0;-200.0
873.0;23.9;14.5;25.8;?;1409.0;1131.0;1689.0;1206.0;?;166.0;149.0;-200.0
764.0;26.8;?;23.0;0.7446;1513.0;?;1957.0;1397.0;3.7;?;156.0;-200.0
683.0;31.1;26.4;20.7;0.7523;1667.0;1464.0;2118.0;1588.0;5.1;280.0;?;-200.0
684.0;?;26.0;18.6;0.7676;1667.0;1453.0;2051.0;1569.0;?;276.0;176.0;-200.0
814.0;?;14.1;16.0;?;?;1121.0;1732.0;?;3.2;178.0;135.0;-200.0
?;57.8;10.3;14.5;0.9456;1333.0;989.0;1621.0;1194.0;2.1;129.0;121.0;?
?;64.2;8.3;?;0.9606;?;911.0;1545.0;1062.0;1.7;95.0;99.0;-200.0
918.0;69.7;8.9;12.0;0.9735;1287.0;936.0;1606.0;?;2.0;126.0;106.0;-200.0
1021.0;71.1;6.6;11.9;0.9915;1134.0;840.0;1501.0;917.0;1.6;103.0;96.0;-200.0
?;69.3;3.6;12.5;1.0029;999.0;688.0;1380.0;594.0;0.9;48.0;63.0;?
1382.0;67.5;2.5;12.5;0.9768;961.0;622.0;1301.0;430.0;0.7;-200.0;-200.0;?
1440.0;67.7;1.8;12.3;0.9665;934.0;569.0;1280.0;397.0;?;20.0;32.0;-200.0
1620.0;66.8;?;12.5;0.962;?;525.0;1260.0;370.0;?;18.0;28.0;-200.0
1373.0;66.3;?;12.3;0.9487;969.0;607.0;1324.0;438.0;0.7;56.0;61.0;-200.0
1054.0;64.9;6.7;12.4;0.9332;1182.0;845.0;1539.0;704.0;1.5;115.0;99.0;-200.0
671.0;?;22.8;?;0.9209;?;1372.0;2144.0;1476.0;4.8;320.0;157.0;-200.0
575.0;58.8;31.3;13.6;0.912;1819.0;1582.0;2456.0;?;6.2;357.0;166.0;-200.0
701.0;?;19.2;13.9;0.9032;1427.0;1275.0;1980.0;1398.0;4.0;253.0;149.0;-200.0
759.0;54.4;16.4;14.5;0.8917;1390.0;1191.0;1879.0;1268.0;3.3;218.0;135.0;-200.0
813.0;50.1;14.0;15.5;0.8744;1283.0;1117.0;1751.0;1188.0;2.8;192.0;127.0;?
793.0;47.6;15.3;16.1;0.8655;1304.0;1157.0;1801.0;1171.0;3.0;176.0;122.0;-200.0
771.0;47.1;16.7;16.3;0.864;1364.0;1202.0;1875.0;1250.0;3.3;198.0;135.0;-200.0
724.0;47.5;19.0;16.4;0.8791;1410.0;1268.0;1957.0;1344.0;3.5;212.0;139.0;-200.0
708.0;50.2;19.4;16.1;0.9094;?;1280.0;?;1378.0;4.0;249.0;147.0;-200.0
690.0;50.7;20.9;?;0.9142;1522.0;1320.0;2005.0;1435.0;4.6;270.0;158.0;-200.0
704.0;50.3;20.2;?;0.8989;1442.0;1301.0;1952.0;1372.0;4.1;231.0;?;-200.0
677.0;50.6;21.7;15.5;0.884;1469.0;1344.0;1997.0;1471.0;4.5;251.0;144.0;-200.0
698.0;51.4;19.8;15.4;0.8956;1467.0;1292.0;1942.0;1439.0;3.9;210.0;?;-200.0
748.0;53.1;?;15.2;0.9117;1421.0;1202.0;?;1429.0;4.0;249.0;143.0;-200.0
904.0;57.6;9.1;14.7;0.9573;1175.0;?;1604.0;1081.0;2.2;143.0;116.0;?
948.0;58.3;8.3;14.2;0.938;1215.0;912.0;1547.0;993.0;2.1;127.0;109.0;-200.0
1064.0;57.9;?;13.8;0.9085;1127.0;802.0;1447.0;?;?;104.0;92.0;-200.0
1105.0;?;5.2;13.9;0.8842;1090.0;?;1429.0;761.0;1.6;86.0;83.0;-200.0
1182.0;55.6;4.1;13.9;0.8765;1017.0;718.0;1382.0;650.0;1.3;74.0;81.0;?
1252.0;55.1;3.4;13.8;0.8666;997.0;677.0;1359.0;591.0;1.3;-200.0;-200.0;?
1308.0;54.6;2.9;13.8;0.8574;945.0;646.0;1332.0;?;-200.0;44.0;55.0;-200.0
1260.0;55.1;3.1;13.6;0.856;956.0;661.0;1351.0;518.0;0.8;?;53.0;-200.0
1317.0;59.0;2.5;13.6;0.9129;966.0;?;1342.0;571.0;0.8;?;67.0;-200.0
1161.0;58.4;4.3;?;0.896;1064.0;728.0;1461.0;842.0;?;115.0;91.0;-200.0
902.0;58.0;8.9;13.8;0.9083;1300.0;935.0;1623.0;1145.0;2.1;170.0;113.0;-200.0
834.0;53.1;10.5;14.6;0.8765;?;998.0;1689.0;?;2.4;?;102.0;-200.0
776.0;52.3;12.5;15.0;0.8881;1425.0;1068.0;1764.0;1341.0;2.6;166.0;107.0;-200.0
768.0;52.1;12.3;15.4;?;?;1061.0;1768.0;?;2.8;195.0;?;?
782.0;50.0;11.7;16.3;0.9158;1490.0;1039.0;1757.0;1422.0;2.6;182.0;108.0;-200.0
809.0;47.9;11.7;17.1;0.9281;1495.0;?;1735.0;1373.0;2.6;?;105.0;-200.0
900.0;42.9;9.3;19.0;0.937;1376.0;953.0;1636.0;1153.0;2.1;125.0;93.0;-200.0
980.0;42.3;7.6;19.5;0.9476;1305.0;884.0;1573.0;927.0;1.7;95.0;?;-200.0
1036.0;42.3;?;19.5;0.9493;1283.0;844.0;1539.0;766.0;1.6;79.0;76.0;-200.0
?;43.8;9.7;19.1;0.9556;1392.0;967.0;1649.0;941.0;?;119.0;94.0;-200.0
?;46.3;12.4;18.5;0.9744;1452.0;1063.0;1774.0;1146.0;2.3;?;110.0;?
734.0;51.6;16.6;17.4;1.0159;1633.0;1199.0;1919.0;1417.0;3.5;215.0;136.0;-200.0
733.0;51.3;16.4;17.1;0.9914;1625.0;1191.0;1885.0;1442.0;3.9;229.0;139.0;-200.0
?;53.8;13.7;?;?;1535.0;1108.0;1820.0;1323.0;3.3;?;?;?
864.0;55.4;?;?;1.0132;1323.0;973.0;1712.0;1125.0;2.3;147.0;111.0;-200.0
905.0;57.7;?;15.9;1.0356;1309.0;937.0;1672.0;1036.0;2.1;?;97.0;-200.0
835.0;58.6;10.6;15.7;1.0396;1456.0;?;1714.0;1202.0;2.8;175.0;107.0;-200.0
941.0;60.9;7.4;15.1;1.0398;1300.0;872.0;1577.0;1054.0;2.1;?;90.0;-200.0
1004.0;56.6;6.2;15.6;?;1203.0;823.0;1526.0;903.0;1.6;89.0;84.0;-200.0
987.0;?;6.5;15.2;0.9941;1195.0;836.0;1554.0;885.0;1.6;?;-200.0;-200.0
1029.0;57.8;5.8;15.4;1.0021;1117.0;802.0;1539.0;818.0;-200.0;85.0;87.0;?
1136.0;?;?;14.9;1.0196;1062.0;711.0;1461.0;700.0;1.1;55.0;66.0;-200.0
1300.0;?;2.1;14.5;1.0316;947.0;594.0;1390.0;580.0;0.7;24.0;36.0;-200.0
1143.0;66.2;3.6;?;1.063;1065.0;687.0;1492.0;815.0;0.8;72.0;62.0;-200.0
1062.0;65.3;4.4;14.5;1.0704;1155.0;734.0;1528.0;1035.0;1.2;122.0;91.0;-200.0
996.0;62.1;5.4;15.3;1.073;?;782.0;?;1067.0;1.4;111.0;89.0;-200.0
914.0;59.0;7.1;16.3;1.0868;1301.0;862.0;1633.0;1114.0;1.7;123.0;93.0;-200.0
