PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);NMHC(GT);CO(GT);NOx(GT);NO2(GT)
1261.0;46.8;3.3;12.3;0.6686;968.0;669.0;1246.0;538.0;75.0;1.1;67.0;81.0
903.0;49.3;7.1;18.0;1.0086;1031.0;861.0;1534.0;825.0;-200.0;1.6;97.0;94.0
850.0;41.8;8.9;21.3;1.0449;1003.0;937.0;1622.0;1005.0;-200.0;1.3;125.0;81.0
849.0;38.9;11.0;22.3;1.0324;1124.0;1013.0;1676.0;733.0;-200.0;2.4;114.0;104.0
815.0;32.4;11.1;22.8;0.887;1095.0;1019.0;1618.0;1181.0;-200.0;2.5;186.0;113.0
886.0;44.5;8.7;21.5;1.129;993.0;927.0;1665.0;842.0;-200.0;1.8;151.0;96.0
791.0;16.1;11.1;40.1;1.1699;1087.0;1018.0;1624.0;883.0;-200.0;1.8;130.0;132.0
911.0;23.6;10.8;28.4;0.8983;1051.0;1008.0;1561.0;921.0;-200.0;1.7;102.0;90.0
882.0;70.4;8.4;11.3;0.9443;1035.0;917.0;1606.0;968.0;-200.0;1.4;135.0;64.0
848.0;34.6;6.2;27.5;1.2518;990.0;821.0;1511.0;1079.0;-200.0;0.6;57.0;62.0
856.0;18.4;9.5;33.9;0.9587;995.0;959.0;1544.0;690.0;-200.0;1.5;111.0;116.0
846.0;41.2;10.2;23.5;1.1759;1000.0;985.0;1726.0;879.0;-200.0;2.3;157.0;103.0
822.0;51.0;9.9;20.9;1.2446;1017.0;975.0;1722.0;1014.0;-200.0;2.1;109.0;95.0
927.0;64.6;7.7;13.4;0.9864;1027.0;887.0;1568.0;876.0;-200.0;2.0;133.0;97.0
922.0;65.2;8.0;13.4;0.9996;1041.0;898.0;1595.0;891.0;-200.0;2.0;130.0;97.0
869.0;53.1;8.8;15.0;0.8993;1112.0;931.0;1588.0;1011.0;157.0;2.0;124.0;84.0
767.0;57.2;13.8;13.9;0.9029;1234.0;1109.0;1729.0;1194.0;-200.0;-200.0;-200.0;-200.0
864.0;40.8;7.1;27.0;1.4286;1020.0;860.0;1649.0;875.0;-200.0;1.3;93.0;74.0
870.0;65.8;8.9;13.7;1.0254;1034.0;935.0;1605.0;941.0;-200.0;2.2;122.0;98.0
936.0;65.8;5.5;18.4;1.3802;1065.0;789.0;1620.0;929.0;-200.0;1.3;79.0;81.0
898.0;54.8;7.9;20.3;1.2867;1035.0;895.0;1657.0;863.0;-200.0;1.3;84.0;65.0
892.0;58.3;9.4;15.6;1.0266;1008.0;954.0;1626.0;834.0;-200.0;1.8;92.0;92.0
843.0;35.9;8.6;29.3;1.4411;1095.0;923.0;1736.0;999.0;-200.0;1.6;109.0;98.0
869.0;42.8;9.8;18.5;0.9026;992.0;970.0;1624.0;884.0;-200.0;2.1;135.0;100.0
844.0;24.8;9.0;35.2;1.3854;1055.0;941.0;1648.0;932.0;-200.0;1.7;100.0;110.0
1032.0;38.4;6.9;17.9;0.7793;1074.0;854.0;1484.0;772.0;-200.0;1.8;115.0;83.0
881.0;63.9;8.5;17.5;1.2667;1000.0;918.0;1661.0;802.0;-200.0;1.6;68.0;67.0
878.0;40.9;8.2;25.8;1.3389;976.0;909.0;1675.0;830.0;-200.0;1.7;103.0;97.0
738.0;32.4;14.6;27.2;1.1493;1391.0;1136.0;1840.0;1296.0;350.0;2.6;134.0;105.0
-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;1.2;53.0;64.0
952.0;53.1;8.6;14.5;0.8728;1332.0;923.0;1614.0;1225.0;129.0;2.2;144.0;98.0
810.0;52.9;11.3;15.2;0.9087;1253.0;1026.0;1681.0;1048.0;263.0;2.4;128.0;103.0
816.0;46.6;10.2;25.2;1.4733;1062.0;984.0;1796.0;842.0;-200.0;1.7;84.0;98.0
789.0;49.6;11.1;18.2;1.0268;1105.0;1016.0;1736.0;930.0;-200.0;2.4;142.0;98.0
684.0;60.8;16.4;17.5;1.2029;1242.0;1193.0;1945.0;1175.0;-200.0;3.5;221.0;125.0
912.0;78.3;6.9;14.5;1.2851;1060.0;851.0;1673.0;805.0;-200.0;1.3;108.0;81.0
797.0;26.0;12.2;33.0;1.2877;1101.0;1057.0;1772.0;863.0;-200.0;2.3;122.0;113.0
955.0;45.5;5.8;25.4;1.457;972.0;804.0;1620.0;734.0;-200.0;1.0;47.0;53.0
1158.0;79.9;3.0;12.6;1.1619;902.0;652.0;1437.0;661.0;-200.0;-200.0;-200.0;-200.0
920.0;18.8;7.5;35.9;1.0912;951.0;880.0;1539.0;637.0;-200.0;1.6;89.0;84.0
1098.0;28.5;5.6;20.3;0.6686;934.0;795.0;1328.0;673.0;-200.0;1.4;88.0;93.0
890.0;36.8;7.5;22.5;0.988;904.0;877.0;1488.0;781.0;-200.0;1.5;117.0;95.0
925.0;18.9;12.0;21.2;0.471;1006.0;1048.0;1416.0;966.0;-200.0;2.1;147.0;114.0
854.0;37.3;7.4;24.2;1.1118;953.0;874.0;1528.0;899.0;-200.0;1.1;72.0;84.0
914.0;60.9;8.7;21.9;1.5799;1036.0;928.0;1787.0;909.0;-200.0;-200.0;89.0;59.0
954.0;44.4;8.2;23.4;1.2646;989.0;906.0;1681.0;826.0;-200.0;1.8;118.0;102.0
828.0;28.0;9.1;32.9;1.3789;1090.0;942.0;1713.0;876.0;-200.0;1.9;145.0;102.0
916.0;31.3;11.2;17.1;0.6038;1119.0;1022.0;1508.0;853.0;221.0;2.3;137.0;117.0
789.0;37.7;12.5;20.2;0.8833;1043.0;1066.0;1692.0;1014.0;-200.0;2.5;161.0;114.0
921.0;23.4;12.1;30.7;1.015;1006.0;1054.0;1636.0;769.0;-200.0;1.2;115.0;111.0
874.0;32.4;7.2;31.1;1.4351;1029.0;866.0;1651.0;727.0;-200.0;1.5;93.0;83.0
735.0;22.4;14.4;34.3;1.1907;1111.0;1131.0;1825.0;1085.0;-200.0;2.5;171.0;137.0
802.0;18.6;11.7;36.2;1.0945;1033.0;1038.0;1690.0;826.0;-200.0;2.1;127.0;111.0
1426.0;35.2;1.8;23.5;1.0019;794.0;567.0;1306.0;406.0;-200.0;0.5;35.0;40.0
781.0;44.2;10.4;23.1;1.2317;1075.0;993.0;1682.0;946.0;-200.0;1.9;139.0;110.0
887.0;56.6;8.7;20.0;1.3095;949.0;929.0;1711.0;973.0;-200.0;1.2;101.0;78.0
969.0;61.0;6.0;16.8;1.1599;1033.0;810.0;1526.0;864.0;-200.0;-200.0;-200.0;-200.0
868.0;45.6;11.6;12.1;0.6403;1168.0;1037.0;1580.0;990.0;239.0;2.4;125.0;105.0
857.0;56.0;8.3;18.6;1.1865;934.0;911.0;1639.0;863.0;-200.0;1.3;85.0;64.0
936.0;48.3;6.0;23.5;1.3777;886.0;813.0;1592.0;918.0;-200.0;1.0;63.0;81.0
813.0;50.1;14.0;15.5;0.8744;1283.0;1117.0;1751.0;1188.0;-200.0;2.8;192.0;127.0
652.0;56.9;23.7;11.2;0.7565;1597.0;1395.0;2080.0;1519.0;553.0;4.4;235.0;110.0
623.0;53.2;21.6;15.2;0.9107;1403.0;1340.0;2003.0;1502.0;-200.0;-200.0;-200.0;-200.0
823.0;41.8;9.3;20.8;1.0155;1197.0;950.0;1592.0;918.0;-200.0;2.0;110.0;118.0
868.0;43.0;8.7;25.2;1.358;1016.0;929.0;1724.0;853.0;-200.0;1.7;87.0;94.0
1134.0;37.0;3.8;25.6;1.2006;855.0;698.0;1449.0;526.0;-200.0;1.0;66.0;62.0
1026.0;38.1;9.6;19.4;0.8511;1038.0;961.0;1530.0;949.0;-200.0;-200.0;-200.0;-200.0
1031.0;52.1;6.5;16.6;0.9785;909.0;834.0;1527.0;763.0;-200.0;0.5;82.0;60.0
897.0;51.8;7.5;19.9;1.1911;915.0;877.0;1651.0;937.0;-200.0;1.0;92.0;69.0
764.0;40.0;12.9;24.4;1.2079;1075.0;1079.0;1798.0;1111.0;-200.0;2.5;166.0;117.0
612.0;47.9;21.7;19.8;1.092;1378.0;1342.0;2076.0;1489.0;-200.0;3.9;204.0;133.0
762.0;22.9;13.6;33.5;1.1649;1076.0;1105.0;1782.0;959.0;-200.0;2.2;169.0;120.0
912.0;18.9;9.0;34.5;1.0168;961.0;939.0;1508.0;846.0;-200.0;1.6;118.0;101.0
1210.0;72.4;3.0;7.7;0.7655;952.0;654.0;1312.0;832.0;52.0;0.8;72.0;73.0
966.0;23.2;12.2;28.0;0.8613;1039.0;1055.0;1590.0;845.0;-200.0;1.7;131.0;117.0
