PT08.S3(NOx);PT08.S1(CO);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT);PT08.S2(NMHC);PT08.S4(NO2);RH;C6H6(GT);T;AH
847.0;1086.0;945.0;2.0;126.0;89.0;-200.0;946.0;1729.0;45.2;9.2;25.2;1.4262
990.0;936.0;921.0;1.3;108.0;97.0;-200.0;871.0;1430.0;27.2;7.3;24.9;0.8429
826.0;1056.0;1078.0;2.4;163.0;116.0;-200.0;1051.0;1758.0;32.6;12.0;27.5;1.176
863.0;1060.0;836.0;1.5;116.0;119.0;-200.0;1122.0;1721.0;24.4;14.2;30.9;1.0724
900.0;1046.0;823.0;0.8;48.0;73.0;-200.0;803.0;1490.0;53.0;5.8;18.0;1.0832
796.0;1192.0;971.0;2.0;118.0;113.0;-200.0;1097.0;1688.0;22.1;13.4;30.1;0.9281
862.0;1158.0;775.0;1.9;96.0;105.0;-200.0;981.0;1573.0;19.5;10.1;31.7;0.8981
975.0;1093.0;816.0;1.6;96.0;95.0;-200.0;858.0;1495.0;37.0;7.0;22.9;1.0197
1015.0;988.0;835.0;1.6;113.0;93.0;-200.0;924.0;1463.0;24.2;8.6;25.0;0.7568
918.0;1023.0;744.0;1.8;111.0;89.0;-200.0;854.0;1637.0;75.1;6.9;15.1;1.2799
892.0;1030.0;996.0;1.1;76.0;69.0;95.0;880.0;1539.0;60.7;7.5;13.9;0.9597
843.0;1120.0;1126.0;1.4;112.0;76.0;111.0;935.0;1593.0;53.1;8.9;14.4;0.8677
876.0;905.0;776.0;1.7;124.0;90.0;-200.0;931.0;1460.0;21.3;8.8;28.3;0.8054
1043.0;956.0;701.0;0.5;38.0;59.0;-200.0;661.0;1398.0;51.7;3.1;18.4;1.0819
1079.0;1351.0;1028.0;2.2;129.0;101.0;87.0;960.0;1583.0;60.6;9.5;10.5;0.7691
974.0;1458.0;1099.0;3.0;170.0;129.0;150.0;1045.0;1646.0;28.4;11.9;22.2;0.7516
740.0;1072.0;1340.0;1.3;144.0;88.0;-200.0;976.0;1673.0;39.3;9.9;23.9;1.1522
1191.0;905.0;820.0;0.9;79.0;62.0;47.0;670.0;1346.0;65.8;3.3;10.2;0.8196
1246.0;1017.0;870.0;0.9;82.0;64.0;27.0;681.0;1418.0;68.5;3.5;11.2;0.9081
964.0;1060.0;1089.0;-200.0;-200.0;-200.0;-200.0;805.0;1418.0;54.2;5.8;13.4;0.8319
1007.0;936.0;523.0;0.8;40.0;52.0;-200.0;757.0;1459.0;22.4;4.9;35.8;1.2933
905.0;947.0;659.0;1.4;81.0;90.0;-200.0;926.0;1484.0;20.4;8.7;31.9;0.9462
803.0;1235.0;1095.0;2.7;166.0;103.0;159.0;963.0;1680.0;80.1;9.6;13.1;1.2016
1169.0;998.0;992.0;0.9;70.0;79.0;34.0;714.0;1383.0;55.6;4.1;14.1;0.891
811.0;1105.0;947.0;-200.0;-200.0;-200.0;-200.0;1010.0;1709.0;46.7;10.9;18.0;0.9569
892.0;1088.0;741.0;-200.0;-200.0;-200.0;-200.0;893.0;1565.0;75.6;7.9;12.1;1.0662
952.0;901.0;800.0;0.7;-200.0;-200.0;-200.0;697.0;1586.0;51.9;3.7;26.8;1.8058
976.0;1005.0;952.0;-200.0;-200.0;-200.0;-200.0;802.0;1474.0;67.7;5.8;12.2;0.9625
761.0;1109.0;1274.0;2.3;187.0;144.0;-200.0;1074.0;1734.0;25.6;12.7;30.0;1.0674
990.0;977.0;926.0;-200.0;-200.0;-200.0;-200.0;800.0;1474.0;64.1;5.7;12.2;0.9062
1137.0;1045.0;902.0;1.2;70.0;85.0;55.0;756.0;1411.0;62.2;4.9;11.1;0.8199
736.0;1043.0;967.0;2.7;149.0;126.0;-200.0;1121.0;1793.0;35.7;14.1;24.5;1.0807
669.0;1417.0;1403.0;3.9;263.0;94.0;478.0;1246.0;1921.0;64.0;18.2;10.8;0.8307
1045.0;948.0;939.0;-200.0;45.0;60.0;55.0;700.0;1430.0;49.8;3.8;16.9;0.9514
714.0;1326.0;1431.0;4.1;259.0;134.0;743.0;1289.0;1806.0;44.1;19.7;10.9;0.5748
1186.0;1045.0;800.0;1.2;79.0;75.0;84.0;751.0;1403.0;59.2;4.8;10.4;0.7455
906.0;1169.0;873.0;2.0;88.0;79.0;202.0;850.0;1584.0;73.5;6.8;15.6;1.2953
756.0;1090.0;902.0;2.2;117.0;107.0;-200.0;1119.0;1811.0;25.7;14.1;32.4;1.2271
1134.0;851.0;561.0;1.0;57.0;67.0;-200.0;718.0;1471.0;44.9;4.1;22.0;1.1699
836.0;1240.0;991.0;2.9;158.0;103.0;374.0;1137.0;1748.0;40.5;14.6;14.9;0.6835
982.0;1053.0;786.0;1.9;116.0;91.0;155.0;880.0;1464.0;43.6;7.5;14.4;0.7113
811.0;1163.0;977.0;3.0;135.0;111.0;334.0;1068.0;1616.0;37.5;12.5;17.8;0.7568
1130.0;1005.0;924.0;0.9;103.0;78.0;64.0;713.0;1363.0;71.8;4.0;8.0;0.7711
1087.0;965.0;827.0;1.1;56.0;72.0;83.0;716.0;1383.0;79.6;4.1;8.2;0.8672
849.0;1143.0;710.0;1.9;109.0;98.0;226.0;988.0;1590.0;36.8;10.3;18.8;0.7883
841.0;1258.0;1244.0;2.8;174.0;119.0;270.0;1057.0;1633.0;44.9;12.2;13.6;0.6991
939.0;1274.0;1188.0;2.3;111.0;97.0;101.0;912.0;1451.0;58.1;8.3;10.3;0.7278
728.0;1160.0;1330.0;2.9;220.0;149.0;-200.0;1208.0;1925.0;28.6;16.9;31.4;1.298
950.0;1009.0;938.0;1.3;-200.0;-200.0;-200.0;825.0;1629.0;73.1;6.3;15.7;1.2902
689.0;1358.0;1192.0;3.4;176.0;149.0;-200.0;1278.0;1899.0;26.3;19.3;28.8;1.0271
871.0;1022.0;979.0;2.3;172.0;113.0;-200.0;1155.0;1840.0;19.4;15.2;34.3;1.0279
871.0;922.0;728.0;1.1;-200.0;-200.0;-200.0;859.0;1739.0;78.6;7.0;17.6;1.5722
793.0;1124.0;1021.0;2.3;134.0;105.0;-200.0;1118.0;1915.0;35.0;14.0;27.8;1.282
1135.0;841.0;609.0;1.0;61.0;62.0;-200.0;811.0;1463.0;25.4;6.0;30.1;1.0641
950.0;993.0;790.0;-200.0;-200.0;-200.0;-200.0;985.0;1680.0;32.6;10.2;25.8;1.072
1053.0;945.0;637.0;-200.0;-200.0;-200.0;-200.0;726.0;1432.0;55.3;4.3;16.3;1.0146
879.0;993.0;989.0;-200.0;-200.0;-200.0;-200.0;913.0;1601.0;65.4;8.3;12.6;0.9529
876.0;1043.0;1001.0;-200.0;-200.0;-200.0;-200.0;1139.0;1756.0;28.3;14.7;27.2;1.0016
1025.0;905.0;707.0;-200.0;-200.0;-200.0;-200.0;923.0;1582.0;27.7;8.6;28.7;1.071
963.0;1280.0;1285.0;2.7;193.0;113.0;122.0;964.0;1544.0;64.1;9.6;9.5;0.7597
822.0;1148.0;1168.0;1.6;136.0;75.0;-200.0;1048.0;1883.0;66.9;12.0;20.5;1.5914
843.0;1131.0;1223.0;1.9;107.0;103.0;-200.0;965.0;1520.0;38.3;9.7;19.1;0.8381
964.0;935.0;954.0;1.0;55.0;71.0;-200.0;786.0;1389.0;43.4;5.4;17.4;0.8553
1091.0;873.0;756.0;0.6;41.0;49.0;-200.0;704.0;1322.0;49.7;3.9;15.3;0.8552
989.0;1113.0;646.0;-200.0;-200.0;-200.0;-200.0;772.0;1493.0;56.1;5.2;16.6;1.0481
986.0;1141.0;1060.0;1.2;69.0;83.0;88.0;777.0;1455.0;58.2;5.3;15.1;0.9886
1247.0;873.0;589.0;0.6;73.0;79.0;-200.0;792.0;1397.0;30.2;5.6;23.2;0.8442
1014.0;964.0;735.0;1.2;69.0;73.0;-200.0;861.0;1398.0;28.8;7.1;20.9;0.7014
913.0;1047.0;1103.0;2.1;159.0;114.0;-200.0;1101.0;1391.0;9.8;13.5;29.2;0.3914
949.0;1037.0;740.0;2.0;122.0;111.0;165.0;927.0;1426.0;31.6;8.7;18.3;0.6562
1024.0;941.0;777.0;0.5;50.0;59.0;-200.0;687.0;1374.0;53.8;3.6;15.8;0.9615
771.0;1251.0;1280.0;2.9;181.0;143.0;-200.0;1097.0;1680.0;34.4;13.4;22.2;0.9072
1192.0;893.0;515.0;1.1;55.0;57.0;66.0;703.0;1283.0;44.9;3.9;14.1;0.7206
559.0;1387.0;1677.0;4.5;309.0;192.0;-200.0;1419.0;2113.0;26.4;24.6;33.6;1.3515
1130.0;861.0;500.0;1.1;56.0;67.0;-200.0;695.0;1438.0;72.5;3.7;13.9;1.1502
1417.0;897.0;472.0;0.6;23.0;33.0;-200.0;563.0;1355.0;57.0;1.7;16.3;1.0491
1453.0;922.0;432.0;0.6;45.0;57.0;39.0;541.0;1246.0;53.6;1.5;13.3;0.8169
1061.0;833.0;705.0;0.7;-200.0;-200.0;-200.0;671.0;1482.0;47.4;3.3;23.1;1.3208
1242.0;843.0;727.0;-200.0;-200.0;-200.0;-200.0;597.0;1341.0;59.2;2.2;14.3;0.9601
1071.0;821.0;457.0;0.6;48.0;62.0;-200.0;766.0;1323.0;16.8;5.0;33.1;0.8391
