PT08.S3(NOx);PT08.S1(CO);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT);PT08.S2(NMHC);PT08.S4(NO2);RH;C6H6(GT);T;AH
741.0;1677.0;1657.0;5.4;300.0;134.0;367.0;1346.0;2062.0;64.6;?;?;0.7771
963.0;1280.0;1285.0;2.7;193.0;113.0;122.0;964.0;1544.0;64.1;9.6;9.5;0.7597
1071.0;1196.0;1144.0;?;139.0;97.0;?;873.0;?;?;7.4;9.1;0.7423
1176.0;1184.0;1043.0;1.6;83.0;82.0;43.0;?;1365.0;63.9;5.4;8.8;0.7256
1179.0;?;?;1.7;-200.0;-200.0;?;783.0;1380.0;67.5;5.4;7.8;0.7173
1132.0;1147.0;992.0;-200.0;109.0;83.0;?;?;?;71.1;6.2;7.0;0.7158
?;978.0;?;1.0;62.0;65.0;30.0;625.0;?;63.6;2.6;8.3;?
1406.0;?;835.0;1.2;?;60.0;27.0;646.0;1268.0;67.5;?;7.2;0.6887
1228.0;1112.0;940.0;1.5;139.0;77.0;?;770.0;1409.0;71.9;5.1;6.3;0.6932
935.0;1336.0;?;2.7;256.0;96.0;132.0;?;1678.0;71.6;11.8;6.5;0.6945
830.0;1408.0;1411.0;?;295.0;119.0;239.0;1153.0;?;59.7;15.1;9.6;0.7124
869.0;?;1465.0;3.2;?;126.0;?;1081.0;1667.0;51.2;?;12.4;0.7335
808.0;1542.0;1583.0;4.1;296.0;?;283.0;1184.0;1780.0;42.2;?;15.6;0.7451
875.0;1451.0;1387.0;3.6;239.0;161.0;210.0;1117.0;1679.0;33.8;14.0;18.4;0.709
?;1328.0;1101.0;2.8;153.0;124.0;154.0;1059.0;1600.0;31.3;12.3;?;0.695
1088.0;1207.0;850.0;2.0;?;102.0;112.0;924.0;1488.0;34.8;8.6;18.0;?
1049.0;1240.0;?;2.0;?;116.0;?;947.0;?;?;9.2;?;0.7042
1004.0;1306.0;1078.0;2.5;138.0;124.0;111.0;987.0;?;35.1;?;17.6;0.7012
?;1326.0;1084.0;2.3;148.0;125.0;97.0;1000.0;?;37.8;10.6;16.7;0.7117
831.0;?;?;3.2;227.0;148.0;191.0;1163.0;1779.0;41.0;?;?;0.7451
758.0;?;1612.0;4.2;277.0;165.0;?;1286.0;1922.0;42.4;19.6;?;0.7569
754.0;1611.0;1697.0;4.2;279.0;161.0;284.0;1274.0;1915.0;44.1;?;15.7;0.7786
762.0;1621.0;1886.0;4.2;283.0;159.0;269.0;1247.0;1860.0;46.8;18.3;15.3;?
844.0;1444.0;1624.0;3.1;214.0;143.0;180.0;?;1748.0;48.6;13.1;14.6;0.806
892.0;?;?;2.6;172.0;130.0;116.0;1010.0;?;49.3;?;14.7;?
889.0;1534.0;1535.0;2.9;190.0;129.0;93.0;1013.0;1611.0;53.6;11.0;13.9;0.8498
880.0;1484.0;1530.0;2.8;?;119.0;131.0;1045.0;1624.0;51.5;11.9;14.6;0.8536
953.0;1367.0;1337.0;2.5;128.0;104.0;?;?;1543.0;58.9;?;?;?
921.0;1344.0;1278.0;2.4;?;-200.0;132.0;968.0;?;?;9.7;11.6;0.8674
1130.0;1130.0;1051.0;-200.0;70.0;82.0;56.0;?;1452.0;?;5.2;12.1;0.8603
1272.0;1062.0;929.0;1.2;53.0;70.0;32.0;?;1377.0;63.1;3.7;11.5;?
1395.0;?;872.0;1.0;?;63.0;29.0;618.0;1333.0;62.2;2.5;11.6;0.8473
1384.0;1028.0;853.0;0.9;74.0;67.0;27.0;?;?;?;2.4;10.4;0.853
1225.0;1155.0;959.0;1.4;101.0;?;36.0;722.0;1414.0;62.7;4.2;11.6;0.853
?;1235.0;1093.0;1.6;118.0;83.0;57.0;?;1527.0;60.0;6.4;12.4;0.8627
952.0;1332.0;1225.0;?;?;98.0;129.0;?;1614.0;53.1;8.6;14.5;0.8728
878.0;1445.0;1355.0;2.8;176.0;114.0;148.0;1009.0;?;46.1;10.9;16.9;0.8789
907.0;?;?;?;161.0;119.0;145.0;?;?;38.3;10.7;?;?
?;1281.0;980.0;2.0;113.0;104.0;93.0;880.0;1525.0;?;?;21.2;0.7812
?;?;?;1.8;103.0;102.0;84.0;879.0;1490.0;30.2;7.5;21.4;0.7616
1081.0;1258.0;900.0;1.9;112.0;107.0;99.0;906.0;?;29.0;?;?;0.7525
974.0;1458.0;1099.0;3.0;170.0;129.0;150.0;1045.0;1646.0;28.4;11.9;22.2;0.7516
943.0;1438.0;1206.0;2.9;180.0;128.0;?;1051.0;?;30.8;12.0;21.3;0.7696
929.0;?;1262.0;2.5;160.0;121.0;122.0;1055.0;?;36.7;?;19.7;0.8307
753.0;1808.0;1698.0;?;261.0;?;262.0;1312.0;?;41.7;20.6;18.4;0.8732
681.0;1898.0;1905.0;?;325.0;173.0;?;1381.0;2103.0;46.1;23.1;17.6;?
?;1560.0;1648.0;3.4;217.0;?;?;1140.0;?;49.6;14.7;16.7;0.932
924.0;1324.0;?;2.1;146.0;121.0;100.0;940.0;1587.0;51.0;?;16.3;?
933.0;?;1349.0;2.2;152.0;119.0;?;?;1617.0;55.9;8.8;?;0.9314
985.0;1239.0;?;1.8;104.0;99.0;66.0;872.0;1547.0;54.7;7.4;14.8;0.9164
1010.0;1239.0;1174.0;1.8;?;93.0;73.0;853.0;1543.0;57.0;6.9;14.0;0.9094
998.0;?;1149.0;?;?;88.0;66.0;855.0;1566.0;61.3;7.0;13.4;0.9361
1128.0;1078.0;1021.0;1.1;-200.0;-200.0;44.0;734.0;?;63.5;4.4;12.6;0.923
1150.0;1078.0;?;-200.0;?;71.0;44.0;?;1468.0;?;4.0;12.3;0.9351
1156.0;1075.0;1010.0;1.0;88.0;74.0;?;703.0;1464.0;67.4;3.9;11.9;0.9375
1030.0;1157.0;1083.0;1.4;138.0;80.0;51.0;830.0;?;70.5;?;11.4;0.9475
897.0;1314.0;1235.0;2.2;?;?;107.0;966.0;1710.0;70.2;9.7;11.3;0.9401
652.0;1797.0;1680.0;5.5;360.0;114.0;336.0;1451.0;2323.0;63.9;25.9;12.4;?
537.0;?;2184.0;8.1;478.0;149.0;618.0;1701.0;2665.0;54.3;36.7;14.8;0.9076
622.0;1771.0;1973.0;5.8;394.0;157.0;438.0;?;?;45.6;26.6;17.4;0.8993
710.0;1564.0;1798.0;4.2;319.0;155.0;334.0;1300.0;?;38.5;20.1;19.8;?
831.0;1430.0;1522.0;?;201.0;134.0;221.0;?;1783.0;?;14.1;22.0;0.8904
830.0;1417.0;1404.0;?;171.0;119.0;207.0;1146.0;1831.0;32.2;14.9;23.3;0.9096
838.0;1400.0;1263.0;2.9;159.0;?;191.0;1162.0;1829.0;30.0;15.4;23.9;0.8757
?;1317.0;1137.0;2.5;153.0;104.0;185.0;1053.0;?;28.9;12.1;24.4;?
950.0;1318.0;1068.0;2.3;143.0;99.0;?;1033.0;1675.0;29.4;11.5;24.4;0.8848
857.0;1445.0;1252.0;2.8;?;110.0;214.0;?;1824.0;?;14.8;?;0.9137
631.0;1917.0;?;?;314.0;162.0;471.0;1601.0;2447.0;35.4;32.1;22.5;?
542.0;2040.0;2122.0;?;404.0;?;?;1754.0;2679.0;42.5;39.2;20.4;1.0086
565.0;?;1992.0;?;320.0;165.0;538.0;1573.0;?;52.6;31.0;18.3;1.0945
678.0;1595.0;1707.0;?;256.0;?;319.0;?;2058.0;57.4;19.9;16.7;1.0786
764.0;1439.0;1494.0;3.2;?;125.0;224.0;1159.0;?;?;15.3;?;1.0654
1008.0;1142.0;1164.0;1.4;?;?;67.0;852.0;1547.0;?;6.9;15.3;1.058
852.0;?;1272.0;2.1;127.0;103.0;155.0;1019.0;1731.0;65.7;11.1;14.1;1.0494
?;1074.0;1040.0;1.2;?;88.0;49.0;784.0;1483.0;60.6;?;14.8;1.0148
?;968.0;867.0;0.8;43.0;?;29.0;640.0;1386.0;59.2;2.8;14.8;0.9879
1376.0;?;826.0;0.7;-200.0;?;?;608.0;1364.0;?;2.3;13.6;0.9636
1316.0;941.0;?;?;59.0;59.0;25.0;626.0;?;?;2.6;12.3;?
?;937.0;793.0;0.6;?;?;17.0;585.0;?;?;?;12.8;0.9283
1246.0;1017.0;870.0;0.9;82.0;64.0;27.0;681.0;1418.0;68.5;3.5;11.2;0.9081
1162.0;1171.0;930.0;1.3;99.0;?;?;770.0;1467.0;?;5.1;11.0;0.8705
?;1541.0;1407.0;3.4;263.0;?;218.0;1185.0;1889.0;63.7;16.2;?;0.8719
698.0;1539.0;1507.0;3.7;229.0;95.0;285.0;?;2055.0;56.3;19.7;13.6;0.8743
?;1735.0;1843.0;5.3;396.0;150.0;437.0;1431.0;2211.0;42.9;25.1;17.8;0.8672
730.0;1571.0;1729.0;4.1;?;162.0;?;1297.0;1973.0;33.3;20.0;21.4;0.8417
776.0;1452.0;1583.0;3.3;217.0;154.0;283.0;1250.0;1868.0;27.4;18.3;24.4;0.8231
?;1579.0;1671.0;4.0;252.0;?;?;1359.0;1998.0;26.1;?;25.3;0.8264
773.0;1466.0;1491.0;3.8;263.0;?;318.0;1309.0;1897.0;23.2;?;25.8;?
893.0;1280.0;1240.0;2.8;180.0;?;228.0;1136.0;1675.0;20.2;14.6;27.0;?
?;1407.0;1313.0;2.9;184.0;129.0;201.0;1197.0;1759.0;18.6;16.6;28.2;0.7014
898.0;?;1363.0;2.9;190.0;133.0;199.0;1173.0;1739.0;19.1;15.8;28.0;0.7098
859.0;1447.0;1296.0;3.4;184.0;?;?;1235.0;1778.0;25.7;17.8;23.9;0.7519
800.0;1551.0;1432.0;?;181.0;137.0;?;1271.0;1875.0;34.8;19.1;21.3;?
854.0;1474.0;?;?;166.0;143.0;230.0;?;1776.0;?;15.8;20.4;0.8704
700.0;1800.0;2034.0;5.1;317.0;177.0;?;1426.0;2106.0;41.3;24.9;19.0;?
818.0;1379.0;?;2.6;184.0;138.0;183.0;?;1710.0;45.9;13.5;17.9;?
935.0;1201.0;1362.0;1.7;130.0;?;?;943.0;1560.0;48.9;9.1;16.7;0.9226
922.0;?;1314.0;1.7;132.0;107.0;85.0;925.0;1547.0;52.9;?;15.5;0.9271
1066.0;?;1114.0;1.2;95.0;90.0;47.0;784.0;1442.0;51.9;5.4;15.5;0.9059
1169.0;998.0;992.0;0.9;70.0;79.0;34.0;714.0;1383.0;55.6;4.1;14.1;0.891
1292.0;933.0;884.0;0.7;-200.0;-200.0;26.0;?;?;57.9;2.6;?;0.8666
1396.0;?;808.0;?;54.0;60.0;17.0;577.0;1303.0;57.9;1.9;12.7;0.8447
1460.0;869.0;667.0;?;28.0;40.0;?;554.0;?;?;?;?;0.8026
1417.0;891.0;733.0;0.5;46.0;?;18.0;?;?;57.4;?;11.9;0.7978
1038.0;1173.0;1052.0;1.6;160.0;84.0;84.0;?;1556.0;?;?;9.9;0.7956
702.0;1587.0;1534.0;?;320.0;108.0;260.0;1334.0;1999.0;60.2;21.4;11.1;0.7958
553.0;1852.0;1931.0;6.6;?;127.0;534.0;1696.0;2535.0;50.0;36.4;14.1;0.802
703.0;?;1734.0;4.3;280.0;134.0;368.0;1331.0;2026.0;?;21.3;?;0.8048
?;1438.0;1595.0;2.9;221.0;135.0;200.0;1161.0;1782.0;?;15.4;?;?
905.0;?;1490.0;2.5;210.0;142.0;?;1067.0;1654.0;28.3;12.5;24.3;0.8471
861.0;1452.0;1508.0;2.8;204.0;153.0;188.0;1152.0;1747.0;?;?;25.6;?
887.0;?;1334.0;2.6;161.0;?;152.0;1108.0;1712.0;25.9;13.7;25.9;0.8503
1013.0;1207.0;?;2.0;?;104.0;103.0;994.0;?;18.7;10.4;?;0.65
940.0;1365.0;1221.0;2.9;186.0;129.0;193.0;1154.0;1679.0;15.8;?;?;0.6309
1032.0;?;1069.0;2.5;147.0;114.0;134.0;1060.0;1525.0;?;?;28.5;0.5708
?;1557.0;1569.0;?;299.0;158.0;386.0;?;?;16.0;?;?;0.5237
617.0;1973.0;2306.0;7.6;411.0;194.0;577.0;1737.0;2414.0;26.5;38.4;?;?
597.0;1975.0;?;6.7;347.0;182.0;?;?;?;38.2;?;20.5;?
653.0;1795.0;?;5.7;336.0;?;472.0;1485.0;?;42.6;27.2;19.1;0.9294
770.0;1444.0;1727.0;2.8;?;136.0;206.0;1150.0;?;44.1;?;?;0.8558
?;1488.0;1705.0;2.6;178.0;127.0;216.0;?;1778.0;50.9;15.7;16.0;?
?;?;1551.0;2.3;154.0;116.0;159.0;1083.0;1669.0;53.9;13.0;14.8;0.9024
?;1161.0;1240.0;1.4;92.0;107.0;70.0;904.0;?;55.4;8.1;14.3;?
1057.0;1064.0;1115.0;?;61.0;88.0;44.0;787.0;1407.0;?;5.5;14.8;0.8686
1196.0;970.0;969.0;0.7;-200.0;-200.0;42.0;687.0;1351.0;53.9;?;13.9;0.8501
?;954.0;?;-200.0;?;78.0;28.0;645.0;1334.0;61.9;?;?;0.8442
1293.0;?;828.0;0.6;37.0;57.0;?;623.0;1307.0;58.9;2.5;?;?
?;938.0;?;0.7;68.0;?;26.0;650.0;1333.0;62.1;3.0;10.9;0.8113
1005.0;?;1075.0;1.5;139.0;85.0;78.0;885.0;?;63.3;7.7;10.6;0.8067
667.0;1643.0;1610.0;4.7;339.0;124.0;319.0;1384.0;2094.0;60.0;23.3;11.5;0.8117
541.0;1934.0;?;6.6;421.0;151.0;506.0;1682.0;2468.0;50.6;35.8;14.3;0.8186
686.0;1617.0;1819.0;4.5;?;150.0;-200.0;1333.0;2010.0;40.5;?;17.8;0.821
831.0;1473.0;1568.0;?;224.0;152.0;?;1127.0;1752.0;34.4;?;20.8;?
?;1379.0;1374.0;2.2;?;?;-200.0;?;1663.0;?;12.5;23.8;0.8219
891.0;?;1268.0;2.2;149.0;133.0;-200.0;1056.0;?;28.7;12.2;?;?
901.0;1379.0;1144.0;2.3;137.0;126.0;-200.0;1087.0;?;24.9;13.1;25.2;0.7829
934.0;1322.0;?;2.2;149.0;128.0;-200.0;1129.0;?;17.8;14.4;?;?
?;1496.0;1347.0;2.8;172.0;?;-200.0;?;?;?;16.8;27.1;0.818
873.0;1409.0;1206.0;2.7;166.0;149.0;-200.0;1131.0;1689.0;?;14.5;25.8;0.7832
764.0;1513.0;1397.0;3.7;214.0;156.0;-200.0;1338.0;1957.0;?;21.5;23.0;?
683.0;1667.0;1588.0;5.1;280.0;?;?;?;2118.0;31.1;26.4;20.7;0.7523
684.0;1667.0;1569.0;5.1;276.0;176.0;-200.0;1453.0;?;36.2;26.0;?;0.7676
814.0;1430.0;1322.0;3.2;178.0;135.0;?;1121.0;?;48.4;14.1;?;0.8768
885.0;1333.0;1194.0;2.1;129.0;121.0;-200.0;989.0;?;?;10.3;14.5;0.9456
948.0;1262.0;?;1.7;?;99.0;-200.0;911.0;1545.0;?;8.3;?;0.9606
918.0;1287.0;1040.0;2.0;126.0;106.0;?;936.0;1606.0;69.7;8.9;12.0;0.9735
1021.0;?;917.0;1.6;?;96.0;-200.0;840.0;1501.0;71.1;6.6;11.9;0.9915
1229.0;?;?;0.9;48.0;63.0;-200.0;688.0;1380.0;?;3.6;12.5;?
1382.0;961.0;430.0;0.7;?;-200.0;-200.0;?;1301.0;67.5;2.5;12.5;0.9768
1440.0;?;?;?;20.0;32.0;-200.0;569.0;?;67.7;?;?;0.9665
1620.0;913.0;?;0.5;18.0;?;?;?;1260.0;66.8;1.3;?;0.962
1373.0;?;438.0;0.7;56.0;?;?;607.0;1324.0;66.3;2.3;?;0.9487
1054.0;1182.0;704.0;1.5;115.0;?;-200.0;845.0;1539.0;?;?;12.4;0.9332
671.0;1740.0;1476.0;4.8;?;?;-200.0;1372.0;2144.0;61.6;?;13.0;?
?;1819.0;?;6.2;?;166.0;-200.0;1582.0;?;58.8;?;?;0.912
?;1427.0;1398.0;4.0;253.0;149.0;-200.0;1275.0;?;57.1;?;13.9;?
759.0;?;1268.0;3.3;218.0;135.0;?;1191.0;1879.0;54.4;16.4;14.5;0.8917
813.0;1283.0;1188.0;2.8;192.0;?;-200.0;1117.0;1751.0;50.1;14.0;15.5;0.8744
?;?;1171.0;?;176.0;122.0;-200.0;?;1801.0;?;?;16.1;?
771.0;1364.0;1250.0;3.3;198.0;?;-200.0;1202.0;1875.0;47.1;?;16.3;0.864
724.0;1410.0;1344.0;3.5;212.0;139.0;-200.0;?;1957.0;47.5;19.0;16.4;0.8791
?;1476.0;?;4.0;249.0;147.0;-200.0;?;1955.0;50.2;19.4;16.1;0.9094
690.0;1522.0;1435.0;?;270.0;?;-200.0;1320.0;2005.0;50.7;20.9;16.0;0.9142
?;?;1372.0;4.1;?;146.0;-200.0;1301.0;1952.0;?;20.2;15.8;?
?;1469.0;?;?;?;144.0;?;1344.0;1997.0;?;21.7;?;0.884
698.0;1467.0;1439.0;?;210.0;138.0;-200.0;1292.0;1942.0;51.4;19.8;15.4;?
748.0;1421.0;1429.0;4.0;249.0;143.0;?;?;?;53.1;16.7;15.2;0.9117
?;1175.0;1081.0;?;143.0;116.0;-200.0;945.0;1604.0;57.6;9.1;?;0.9573
948.0;1215.0;993.0;2.1;127.0;109.0;-200.0;912.0;1547.0;58.3;8.3;14.2;0.938
?;1127.0;837.0;1.7;104.0;92.0;?;802.0;1447.0;57.9;?;13.8;0.9085
?;1090.0;?;1.6;86.0;83.0;-200.0;773.0;1429.0;55.9;5.2;13.9;0.8842
1182.0;1017.0;?;1.3;74.0;81.0;-200.0;718.0;1382.0;55.6;4.1;13.9;0.8765
1252.0;997.0;591.0;1.3;-200.0;-200.0;-200.0;?;?;55.1;?;13.8;0.8666
1308.0;945.0;505.0;-200.0;?;55.0;?;?;1332.0;54.6;?;?;0.8574
?;956.0;518.0;0.8;42.0;53.0;-200.0;661.0;1351.0;55.1;3.1;13.6;0.856
1317.0;966.0;571.0;?;63.0;67.0;-200.0;622.0;?;59.0;2.5;13.6;0.9129
1161.0;1064.0;842.0;1.1;115.0;91.0;-200.0;728.0;1461.0;?;4.3;?;0.896
902.0;1300.0;1145.0;2.1;?;113.0;?;935.0;1623.0;58.0;8.9;13.8;0.9083
834.0;1348.0;1218.0;2.4;?;102.0;-200.0;998.0;1689.0;53.1;10.5;14.6;0.8765
776.0;1425.0;1341.0;2.6;166.0;107.0;-200.0;1068.0;?;52.3;12.5;15.0;0.8881
768.0;1474.0;1406.0;2.8;195.0;113.0;?;?;1768.0;52.1;12.3;15.4;?
782.0;1490.0;?;2.6;182.0;?;-200.0;1039.0;1757.0;50.0;11.7;16.3;0.9158
809.0;1495.0;1373.0;2.6;168.0;?;-200.0;1040.0;1735.0;47.9;11.7;17.1;0.9281
900.0;1376.0;1153.0;2.1;125.0;93.0;-200.0;?;1636.0;42.9;9.3;19.0;0.937
980.0;1305.0;927.0;1.7;95.0;87.0;-200.0;884.0;1573.0;42.3;7.6;19.5;?
?;1283.0;?;1.6;79.0;76.0;-200.0;844.0;1539.0;42.3;6.7;19.5;0.9493
?;1392.0;941.0;2.1;119.0;94.0;-200.0;967.0;1649.0;43.8;9.7;19.1;0.9556
856.0;1452.0;?;?;142.0;110.0;-200.0;1063.0;1774.0;46.3;?;18.5;0.9744
734.0;1633.0;1417.0;3.5;215.0;?;?;1199.0;?;?;16.6;17.4;1.0159
733.0;1625.0;1442.0;3.9;?;139.0;-200.0;1191.0;1885.0;51.3;16.4;?;?
785.0;1535.0;1323.0;3.3;?;125.0;?;1108.0;1820.0;53.8;13.7;?;0.9964
864.0;1323.0;1125.0;2.3;147.0;?;-200.0;973.0;1712.0;55.4;9.9;?;1.0132
?;1309.0;1036.0;2.1;122.0;97.0;?;937.0;1672.0;57.7;8.9;15.9;1.0356
?;1456.0;1202.0;2.8;175.0;107.0;-200.0;999.0;1714.0;58.6;10.6;?;1.0396
941.0;?;1054.0;2.1;133.0;90.0;-200.0;872.0;?;60.9;7.4;15.1;1.0398
1004.0;1203.0;903.0;1.6;89.0;84.0;?;823.0;1526.0;56.6;6.2;15.6;0.9951
?;?;885.0;1.6;-200.0;-200.0;-200.0;836.0;?;57.9;6.5;15.2;?
1029.0;1117.0;818.0;?;?;?;?;802.0;1539.0;?;5.8;15.4;1.0021
1136.0;?;?;1.1;55.0;66.0;-200.0;711.0;1461.0;60.6;4.0;14.9;?
1300.0;947.0;580.0;0.7;24.0;36.0;-200.0;594.0;?;63.0;2.1;14.5;1.0316
1143.0;1065.0;815.0;0.8;72.0;62.0;-200.0;687.0;1492.0;66.2;3.6;?;1.063
?;1155.0;1035.0;1.2;122.0;91.0;?;734.0;1528.0;?;4.4;14.5;1.0704
996.0;1220.0;1067.0;?;?;89.0;-200.0;782.0;1560.0;62.1;5.4;15.3;?
914.0;1301.0;1114.0;?;123.0;?;-200.0;?;?;?;7.1;16.3;?
?;1279.0;1000.0;1.8;106.0;81.0;?;870.0;1646.0;49.6;7.3;18.9;?
953.0;1267.0;906.0;?;103.0;82.0;-200.0;?;1617.0;46.1;7.6;19.4;1.0249
981.0;?;?;1.9;102.0;?;-200.0;848.0;1568.0;41.6;6.8;20.8;1.0091
1144.0;?;?;1.3;48.0;48.0;-200.0;742.0;1507.0;?;4.6;?;1.0126
962.0;1243.0;657.0;1.6;63.0;?;-200.0;916.0;1669.0;39.3;8.4;21.2;0.9791
1060.0;1208.0;?;1.9;98.0;?;-200.0;?;1506.0;38.0;?;20.3;?
961.0;1306.0;762.0;2.3;132.0;105.0;-200.0;938.0;1607.0;41.3;9.0;?;?
769.0;1546.0;1122.0;?;173.0;?;-200.0;1151.0;1874.0;43.8;?;18.5;0.9252
823.0;1501.0;?;3.5;185.0;?;?;1071.0;1744.0;?;12.6;17.8;0.9689
769.0;1605.0;1637.0;4.3;?;144.0;-200.0;?;1840.0;46.9;15.1;17.9;0.952
883.0;1316.0;?;2.8;188.0;123.0;?;974.0;1673.0;49.1;9.9;17.4;?
933.0;1195.0;?;?;122.0;?;-200.0;898.0;?;51.7;8.0;?;0.9914
920.0;?;1066.0;1.9;?;93.0;?;896.0;1624.0;?;7.9;16.4;1.0198
995.0;1161.0;?;1.7;93.0;86.0;-200.0;815.0;1582.0;60.0;6.1;16.1;?
?;1095.0;818.0;1.5;?;76.0;-200.0;767.0;1547.0;60.5;5.1;15.8;1.0805
1417.0;897.0;472.0;0.6;23.0;33.0;-200.0;563.0;1355.0;57.0;1.7;16.3;1.0491
