InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
187.0;18.0;498.0;-139.0;-421.0;99.0;-599.0;74;-599.0;-472.0
183.0;40.0;487.0;-150.0;-420.0;110.0;-602.0;74;-606.0;-461.0
183.0;55.0;473.0;-154.0;-416.0;121.0;?;74;?;-450.0
185.0;?;459.0;-168.0;-415.0;?;-611.0;74;-618.0;-442.0
182.0;89.0;448.0;-179.0;-415.0;141.0;-616.0;74;-621.0;-434.0
179.0;119.0;433.0;?;-418.0;153.0;-619.0;74;-630.0;-421.0
616.0;578.0;-405.0;-666.0;-252.0;685.0;-623.0;74;-262.0;243.0
?;?;-400.0;-669.0;-249.0;690.0;?;74;?;243.0
613.0;600.0;-395.0;-671.0;-246.0;?;-633.0;74;-262.0;243.0
607.0;589.0;-387.0;-672.0;-245.0;698.0;-643.0;74;-263.0;243.0
599.0;589.0;-374.0;-676.0;-247.0;701.0;?;74;-264.0;241.0
585.0;593.0;-355.0;-680.0;-252.0;705.0;-678.0;74;-267.0;?
570.0;606.0;-331.0;-684.0;-258.0;706.0;-701.0;74;-273.0;223.0
558.0;615.0;-302.0;-689.0;?;702.0;-721.0;74;?;201.0
541.0;617.0;?;-698.0;-281.0;691.0;?;74;-288.0;171.0
521.0;627.0;-217.0;-702.0;-298.0;674.0;-768.0;74;-304.0;134.0
493.0;631.0;-159.0;?;-315.0;649.0;-791.0;74;-324.0;92.0
466.0;632.0;-96.0;-699.0;-331.0;614.0;-810.0;74;-344.0;46.0
439.0;?;?;-685.0;-346.0;572.0;-821.0;74;?;-3.0
412.0;582.0;37.0;-669.0;-361.0;524.0;-826.0;74;-384.0;-55.0
381.0;536.0;103.0;-636.0;-372.0;472.0;?;74;-406.0;-110.0
351.0;482.0;167.0;-593.0;-385.0;413.0;-816.0;74;?;-166.0
325.0;417.0;225.0;-533.0;?;352.0;-800.0;74;-452.0;-220.0
302.0;355.0;277.0;-476.0;?;291.0;-777.0;74;-477.0;-272.0
286.0;295.0;322.0;-428.0;-406.0;234.0;-750.0;74;-501.0;-321.0
271.0;235.0;362.0;-371.0;?;181.0;?;74;-527.0;-366.0
247.0;181.0;?;?;-405.0;136.0;-687.0;74;-552.0;-407.0
226.0;125.0;436.0;?;-401.0;102.0;-654.0;?;-575.0;-440.0
?;79.0;455.0;-209.0;-395.0;78.0;-628.0;74;-589.0;-464.0
234.0;38.0;471.0;-175.0;-389.0;63.0;-608.0;74;-595.0;-479.0
229.0;16.0;488.0;-147.0;-384.0;57.0;-597.0;74;-595.0;-483.0
222.0;?;495.0;-131.0;-384.0;58.0;-593.0;74;?;-478.0
213.0;13.0;493.0;-141.0;-388.0;63.0;-594.0;74;-599.0;-470.0
?;27.0;?;-150.0;-393.0;73.0;-598.0;74;-604.0;?
208.0;?;474.0;?;-398.0;85.0;-605.0;74;-605.0;-451.0
203.0;58.0;464.0;-168.0;-404.0;100.0;-611.0;74;-609.0;-439.0
200.0;86.0;447.0;-184.0;-410.0;117.0;-615.0;74;-619.0;-422.0
587.0;597.0;-292.0;-701.0;-141.0;684.0;-699.0;74;-285.0;205.0
584.0;?;?;-707.0;?;?;-712.0;74;-279.0;198.0
580.0;597.0;-239.0;?;-130.0;?;-731.0;74;-269.0;184.0
580.0;?;-197.0;-717.0;-118.0;698.0;-749.0;74;-254.0;159.0
?;584.0;-146.0;-726.0;-99.0;692.0;-761.0;74;-234.0;?
?;581.0;-83.0;-734.0;-71.0;680.0;-765.0;74;-212.0;79.0
629.0;567.0;-6.0;-728.0;-30.0;659.0;-756.0;74;-183.0;32.0
661.0;547.0;86.0;-697.0;28.0;623.0;-730.0;74;-148.0;?
692.0;514.0;192.0;-603.0;97.0;571.0;-686.0;74;?;-53.0
?;488.0;303.0;-481.0;176.0;506.0;-630.0;?;?;-89.0
717.0;477.0;409.0;-343.0;?;?;-562.0;74;-47.0;-119.0
719.0;?;503.0;-147.0;310.0;?;-480.0;74;-11.0;-145.0
712.0;471.0;584.0;60.0;359.0;321.0;-390.0;74;17.0;-172.0
689.0;475.0;656.0;287.0;406.0;?;-305.0;74;34.0;-196.0
664.0;478.0;?;?;445.0;203.0;-227.0;74;46.0;?
645.0;472.0;746.0;551.0;474.0;149.0;-159.0;74;49.0;-247.0
636.0;459.0;763.0;613.0;499.0;99.0;-110.0;74;45.0;-275.0
635.0;439.0;767.0;?;517.0;58.0;-80.0;74;40.0;-297.0
640.0;418.0;765.0;621.0;528.0;29.0;-63.0;74;35.0;-316.0
?;402.0;759.0;?;536.0;10.0;-55.0;74;28.0;-330.0
658.0;391.0;751.0;624.0;?;0.0;-49.0;74;17.0;-337.0
668.0;390.0;?;610.0;544.0;0.0;-45.0;74;4.0;-338.0
677.0;398.0;734.0;596.0;543.0;8.0;-49.0;74;-8.0;-335.0
686.0;412.0;725.0;?;540.0;19.0;-64.0;74;-13.0;-329.0
693.0;428.0;715.0;550.0;534.0;33.0;-87.0;74;-15.0;-322.0
701.0;444.0;704.0;550.0;527.0;47.0;-114.0;74;-15.0;-316.0
708.0;?;692.0;?;?;?;-142.0;74;?;?
716.0;?;677.0;504.0;506.0;78.0;-169.0;74;-26.0;?
724.0;487.0;662.0;454.0;495.0;91.0;-191.0;74;-36.0;-306.0
732.0;494.0;646.0;419.0;486.0;101.0;-210.0;74;-50.0;-302.0
740.0;504.0;631.0;?;479.0;110.0;-226.0;74;-63.0;-298.0
745.0;514.0;618.0;357.0;?;119.0;-240.0;74;-74.0;-292.0
750.0;521.0;607.0;323.0;472.0;125.0;-251.0;73;-81.0;-285.0
753.0;526.0;598.0;291.0;471.0;130.0;-262.0;73;-84.0;-279.0
754.0;532.0;593.0;271.0;473.0;133.0;-270.0;73;-83.0;-275.0
755.0;537.0;591.0;259.0;475.0;133.0;-274.0;73;-78.0;-274.0
754.0;540.0;592.0;257.0;479.0;129.0;?;73;-70.0;-273.0
753.0;541.0;597.0;259.0;486.0;123.0;-270.0;73;-61.0;-271.0
?;540.0;604.0;?;492.0;117.0;-263.0;73;-50.0;-271.0
747.0;539.0;614.0;299.0;497.0;111.0;-253.0;73;-38.0;-273.0
742.0;538.0;?;318.0;?;?;-241.0;73;-25.0;-276.0
733.0;535.0;639.0;349.0;?;98.0;-230.0;73;-11.0;-280.0
724.0;535.0;654.0;381.0;?;93.0;-220.0;73;?;-283.0
715.0;531.0;667.0;421.0;512.0;89.0;-209.0;74;12.0;-286.0
707.0;524.0;679.0;447.0;513.0;87.0;-197.0;74;19.0;-287.0
700.0;520.0;689.0;466.0;513.0;88.0;-187.0;74;22.0;-289.0
?;?;?;484.0;513.0;89.0;-182.0;74;23.0;-290.0
690.0;506.0;702.0;500.0;511.0;92.0;-177.0;74;20.0;-290.0
687.0;499.0;706.0;508.0;509.0;94.0;?;?;?;-289.0
685.0;492.0;?;512.0;508.0;98.0;-168.0;74;2.0;-287.0
685.0;487.0;709.0;519.0;?;103.0;-167.0;?;-11.0;-283.0
686.0;485.0;?;521.0;508.0;?;?;74;-23.0;-277.0
687.0;?;706.0;517.0;510.0;?;-170.0;74;-28.0;-270.0
690.0;482.0;701.0;505.0;?;130.0;-178.0;74;-29.0;-261.0
691.0;482.0;696.0;495.0;511.0;143.0;-190.0;74;-31.0;?
694.0;489.0;690.0;490.0;509.0;155.0;-200.0;74;-33.0;-244.0
698.0;492.0;683.0;477.0;504.0;168.0;-210.0;?;-41.0;-243.0
704.0;504.0;676.0;460.0;503.0;176.0;-215.0;75;-43.0;-230.0
706.0;522.0;673.0;448.0;499.0;181.0;-217.0;75;-41.0;-214.0
712.0;537.0;666.0;437.0;?;186.0;-218.0;75;-39.0;-212.0
725.0;553.0;652.0;416.0;489.0;187.0;-218.0;?;-41.0;-212.0
739.0;569.0;635.0;379.0;482.0;187.0;-220.0;75;-42.0;-216.0
749.0;575.0;618.0;338.0;476.0;185.0;-234.0;75;-40.0;?
752.0;578.0;605.0;293.0;472.0;179.0;-260.0;75;-33.0;-225.0
753.0;583.0;596.0;?;?;172.0;-277.0;75;-23.0;-226.0
754.0;584.0;593.0;?;473.0;167.0;?;75;-18.0;-227.0
753.0;589.0;594.0;?;477.0;165.0;?;75;-16.0;-228.0
748.0;591.0;?;241.0;?;166.0;-288.0;75;-11.0;-229.0
741.0;589.0;604.0;250.0;485.0;163.0;-293.0;75;-4.0;?
734.0;588.0;612.0;264.0;489.0;157.0;-294.0;75;0.0;-235.0
729.0;585.0;621.0;275.0;494.0;149.0;-289.0;75;2.0;-239.0
723.0;583.0;630.0;292.0;498.0;141.0;-282.0;74;2.0;-243.0
718.0;577.0;639.0;311.0;500.0;134.0;?;?;2.0;-246.0
712.0;569.0;648.0;340.0;501.0;128.0;-270.0;74;4.0;-251.0
?;563.0;657.0;359.0;502.0;123.0;-264.0;74;6.0;-255.0
700.0;556.0;?;378.0;502.0;119.0;-257.0;?;10.0;-258.0
696.0;552.0;673.0;399.0;?;116.0;-250.0;?;13.0;-261.0
?;545.0;679.0;419.0;502.0;114.0;-244.0;74;17.0;-263.0
?;541.0;684.0;436.0;?;110.0;-239.0;74;21.0;-265.0
688.0;538.0;687.0;450.0;503.0;107.0;?;74;23.0;-268.0
689.0;532.0;?;457.0;503.0;105.0;-229.0;74;25.0;-271.0
?;529.0;687.0;461.0;504.0;?;-227.0;74;27.0;-273.0
693.0;?;684.0;?;504.0;105.0;-227.0;75;29.0;-275.0
694.0;?;681.0;456.0;506.0;105.0;-230.0;75;31.0;-277.0
697.0;521.0;677.0;450.0;?;105.0;-234.0;75;33.0;-278.0
699.0;519.0;673.0;448.0;510.0;106.0;-239.0;75;33.0;-278.0
702.0;520.0;?;441.0;512.0;?;-243.0;75;33.0;-277.0
704.0;522.0;?;433.0;515.0;115.0;?;?;?;-276.0
706.0;521.0;660.0;?;516.0;123.0;-254.0;75;30.0;-274.0
708.0;522.0;656.0;413.0;517.0;?;?;75;30.0;-274.0
708.0;524.0;654.0;408.0;517.0;133.0;-264.0;75;30.0;?
709.0;528.0;652.0;404.0;517.0;134.0;-268.0;75;31.0;-275.0
709.0;528.0;651.0;400.0;517.0;134.0;-269.0;75;31.0;-274.0
710.0;531.0;650.0;397.0;515.0;135.0;-270.0;75;29.0;-273.0
?;?;648.0;389.0;514.0;135.0;-271.0;75;28.0;-271.0
713.0;533.0;646.0;386.0;513.0;135.0;-271.0;?;27.0;-270.0
714.0;531.0;645.0;380.0;513.0;134.0;-271.0;75;26.0;-269.0
714.0;534.0;646.0;378.0;512.0;134.0;-270.0;75;26.0;-267.0
713.0;533.0;?;380.0;511.0;135.0;-267.0;75;24.0;-265.0
711.0;533.0;652.0;?;509.0;136.0;-264.0;75;23.0;-264.0
708.0;534.0;656.0;389.0;508.0;138.0;-262.0;75;22.0;-264.0
704.0;?;661.0;?;?;139.0;-259.0;75;21.0;-262.0
701.0;533.0;666.0;407.0;507.0;141.0;-256.0;75;18.0;-259.0
697.0;530.0;671.0;414.0;508.0;144.0;?;75;13.0;-256.0
694.0;527.0;675.0;421.0;508.0;?;-250.0;75;8.0;-253.0
692.0;526.0;678.0;424.0;508.0;151.0;-248.0;75;1.0;-249.0
692.0;524.0;679.0;428.0;509.0;155.0;-245.0;75;-7.0;-246.0
692.0;524.0;679.0;427.0;506.0;160.0;-243.0;?;-18.0;?
694.0;522.0;?;421.0;506.0;164.0;-243.0;75;-26.0;-243.0
694.0;526.0;?;424.0;507.0;164.0;-239.0;74;-24.0;-229.0
692.0;528.0;682.0;428.0;506.0;?;-236.0;74;-22.0;-232.0
696.0;535.0;678.0;425.0;505.0;?;-237.0;75;-22.0;-235.0
702.0;543.0;?;411.0;503.0;170.0;-245.0;75;-17.0;-236.0
707.0;544.0;658.0;386.0;501.0;173.0;-259.0;75;-14.0;-236.0
711.0;546.0;648.0;359.0;501.0;172.0;-274.0;75;-11.0;-231.0
?;546.0;639.0;335.0;502.0;?;-281.0;75;-12.0;-226.0
722.0;548.0;632.0;314.0;505.0;164.0;-283.0;75;-18.0;-226.0
724.0;550.0;?;297.0;508.0;166.0;-287.0;75;-23.0;-225.0
722.0;550.0;626.0;286.0;?;174.0;-293.0;75;-24.0;-223.0
719.0;549.0;629.0;?;511.0;184.0;-295.0;75;-23.0;?
714.0;?;634.0;287.0;512.0;?;-295.0;75;-20.0;?
709.0;550.0;?;297.0;514.0;191.0;-295.0;75;-15.0;-228.0
703.0;?;647.0;310.0;515.0;191.0;-294.0;75;-9.0;-230.0
697.0;546.0;655.0;332.0;517.0;191.0;-291.0;75;-4.0;-230.0
693.0;543.0;662.0;351.0;519.0;191.0;?;75;-2.0;-230.0
689.0;541.0;669.0;363.0;?;190.0;-278.0;74;-1.0;-230.0
685.0;537.0;676.0;381.0;?;188.0;?;?;-2.0;-231.0
683.0;533.0;682.0;398.0;525.0;185.0;-263.0;74;-2.0;-232.0
680.0;526.0;687.0;416.0;527.0;182.0;-256.0;?;-3.0;-234.0
679.0;522.0;691.0;?;528.0;178.0;-248.0;?;-4.0;-235.0
678.0;519.0;695.0;441.0;529.0;175.0;-239.0;74;-3.0;-237.0
678.0;512.0;697.0;452.0;528.0;169.0;-232.0;74;-2.0;-240.0
679.0;510.0;699.0;463.0;528.0;164.0;?;74;1.0;?
679.0;506.0;?;471.0;526.0;159.0;-222.0;74;4.0;?
680.0;504.0;699.0;476.0;?;156.0;?;74;9.0;-254.0
681.0;?;?;479.0;522.0;152.0;-219.0;74;14.0;?
682.0;500.0;697.0;483.0;520.0;149.0;-219.0;74;19.0;-260.0
684.0;501.0;695.0;?;518.0;145.0;-221.0;74;24.0;-262.0
686.0;504.0;691.0;480.0;516.0;142.0;-225.0;?;28.0;?
690.0;508.0;686.0;474.0;?;141.0;-228.0;?;30.0;-267.0
695.0;511.0;680.0;469.0;511.0;140.0;-232.0;73;31.0;-270.0
699.0;516.0;674.0;?;510.0;139.0;-237.0;73;?;-273.0
704.0;520.0;667.0;446.0;508.0;138.0;-243.0;?;34.0;-276.0
708.0;523.0;660.0;429.0;507.0;135.0;-249.0;74;37.0;-279.0
?;?;?;415.0;507.0;132.0;-255.0;74;39.0;-281.0
714.0;524.0;?;407.0;508.0;129.0;-262.0;74;43.0;-283.0
714.0;525.0;644.0;?;509.0;125.0;?;74;46.0;-286.0
714.0;524.0;641.0;386.0;510.0;?;-276.0;74;48.0;-288.0
714.0;524.0;640.0;?;512.0;120.0;-281.0;74;49.0;-290.0
713.0;522.0;640.0;373.0;513.0;118.0;-283.0;74;49.0;-291.0
711.0;522.0;641.0;371.0;514.0;117.0;-285.0;75;48.0;-292.0
709.0;521.0;?;372.0;514.0;116.0;-285.0;75;48.0;-292.0
706.0;518.0;646.0;375.0;?;115.0;-285.0;75;49.0;-295.0
702.0;516.0;650.0;382.0;514.0;114.0;-285.0;75;?;?
?;513.0;?;392.0;?;113.0;?;75;52.0;-301.0
693.0;512.0;661.0;399.0;?;113.0;-284.0;75;52.0;-303.0
689.0;512.0;666.0;408.0;?;114.0;-281.0;75;48.0;-302.0
687.0;510.0;670.0;412.0;517.0;118.0;-279.0;75;41.0;?
686.0;?;673.0;415.0;518.0;124.0;-276.0;74;31.0;-292.0
686.0;507.0;674.0;416.0;519.0;133.0;-274.0;74;19.0;-288.0
686.0;?;676.0;416.0;523.0;137.0;-269.0;74;?;?
685.0;511.0;679.0;421.0;522.0;142.0;-263.0;74;?;-263.0
688.0;?;678.0;421.0;519.0;145.0;-258.0;75;9.0;?
694.0;524.0;672.0;413.0;514.0;?;-257.0;75;10.0;-262.0
698.0;525.0;665.0;396.0;507.0;151.0;-265.0;75;16.0;?
701.0;527.0;655.0;377.0;500.0;150.0;-280.0;75;?;-266.0
705.0;529.0;646.0;354.0;497.0;146.0;-292.0;75;?;-264.0
710.0;529.0;637.0;335.0;495.0;142.0;-299.0;75;29.0;-262.0
712.0;526.0;631.0;312.0;495.0;140.0;?;75;29.0;-261.0
712.0;527.0;626.0;295.0;496.0;144.0;-317.0;75;30.0;-258.0
712.0;526.0;622.0;284.0;498.0;152.0;-324.0;75;29.0;-256.0
711.0;527.0;621.0;276.0;499.0;160.0;-327.0;75;28.0;-255.0
?;530.0;623.0;277.0;500.0;?;-328.0;75;29.0;-257.0
706.0;526.0;627.0;281.0;502.0;160.0;-327.0;75;30.0;-259.0
703.0;524.0;632.0;291.0;505.0;155.0;-326.0;75;32.0;-262.0
699.0;529.0;637.0;300.0;?;151.0;-324.0;75;36.0;-263.0
696.0;527.0;642.0;311.0;511.0;147.0;-320.0;75;39.0;-264.0
693.0;?;647.0;325.0;515.0;143.0;-314.0;75;?;-265.0
690.0;526.0;654.0;?;518.0;137.0;-308.0;75;43.0;-267.0
687.0;523.0;660.0;363.0;521.0;131.0;-301.0;?;44.0;-269.0
685.0;521.0;666.0;376.0;523.0;126.0;-292.0;75;45.0;-273.0
?;519.0;?;392.0;525.0;123.0;-283.0;74;45.0;-275.0
682.0;515.0;676.0;408.0;527.0;122.0;-275.0;74;45.0;-276.0
681.0;509.0;680.0;423.0;526.0;121.0;-267.0;?;46.0;-277.0
680.0;508.0;?;435.0;526.0;120.0;-261.0;74;49.0;-277.0
679.0;502.0;687.0;447.0;525.0;121.0;?;?;?;-278.0
678.0;499.0;690.0;459.0;524.0;122.0;-248.0;74;53.0;?
678.0;497.0;692.0;465.0;521.0;123.0;-243.0;74;56.0;-281.0
678.0;494.0;692.0;471.0;519.0;123.0;-240.0;75;60.0;-282.0
678.0;493.0;692.0;474.0;517.0;124.0;-240.0;75;?;-282.0
680.0;493.0;690.0;477.0;514.0;?;-240.0;75;65.0;-283.0
682.0;492.0;687.0;479.0;511.0;125.0;-241.0;75;67.0;-285.0
684.0;496.0;?;475.0;509.0;125.0;-245.0;75;68.0;-287.0
688.0;499.0;678.0;466.0;507.0;124.0;-250.0;74;68.0;-288.0
692.0;500.0;672.0;457.0;506.0;124.0;-256.0;?;69.0;-289.0
695.0;502.0;665.0;451.0;505.0;124.0;-263.0;74;70.0;-289.0
698.0;504.0;659.0;437.0;?;124.0;-272.0;74;72.0;-292.0
700.0;505.0;?;426.0;503.0;123.0;-282.0;74;75.0;?
702.0;504.0;645.0;409.0;503.0;118.0;-292.0;74;77.0;-298.0
703.0;506.0;639.0;397.0;504.0;113.0;-301.0;74;78.0;-301.0
705.0;509.0;634.0;386.0;505.0;109.0;-307.0;74;77.0;-304.0
708.0;512.0;629.0;?;507.0;109.0;-312.0;74;75.0;-304.0
710.0;512.0;625.0;358.0;510.0;109.0;-316.0;74;72.0;-302.0
712.0;512.0;621.0;345.0;512.0;108.0;-320.0;74;70.0;-301.0
712.0;512.0;620.0;334.0;513.0;106.0;-323.0;74;68.0;-301.0
711.0;509.0;620.0;329.0;?;106.0;-324.0;?;67.0;-300.0
710.0;509.0;624.0;330.0;516.0;109.0;-321.0;74;66.0;-298.0
706.0;509.0;629.0;333.0;516.0;115.0;-318.0;74;67.0;-295.0
701.0;505.0;636.0;345.0;516.0;118.0;-315.0;74;68.0;?
696.0;502.0;644.0;360.0;?;119.0;-312.0;74;69.0;-290.0
690.0;502.0;653.0;?;514.0;?;-306.0;74;69.0;-288.0
684.0;501.0;662.0;386.0;514.0;?;-299.0;74;?;-286.0
?;499.0;670.0;400.0;513.0;129.0;-294.0;74;64.0;-283.0
672.0;496.0;678.0;414.0;513.0;135.0;-291.0;74;60.0;-279.0
667.0;493.0;684.0;?;?;143.0;-290.0;74;52.0;-278.0
662.0;493.0;691.0;435.0;513.0;?;-286.0;74;53.0;-265.0
?;?;696.0;446.0;511.0;148.0;-284.0;74;55.0;-261.0
?;502.0;692.0;447.0;508.0;146.0;-285.0;74;55.0;-264.0
667.0;509.0;682.0;433.0;505.0;144.0;-293.0;74;59.0;-267.0
674.0;511.0;668.0;406.0;499.0;139.0;-309.0;?;62.0;-271.0
682.0;514.0;651.0;376.0;495.0;130.0;-327.0;74;64.0;-272.0
692.0;516.0;634.0;341.0;494.0;120.0;-340.0;74;65.0;-272.0
?;518.0;619.0;307.0;?;109.0;-352.0;74;?;-276.0
704.0;519.0;604.0;263.0;496.0;103.0;?;74;60.0;-280.0
707.0;520.0;591.0;230.0;499.0;105.0;-384.0;74;58.0;-282.0
710.0;523.0;580.0;204.0;501.0;112.0;?;74;56.0;-281.0
713.0;529.0;573.0;179.0;503.0;117.0;-400.0;74;52.0;-280.0
715.0;532.0;569.0;160.0;505.0;119.0;-403.0;74;49.0;-279.0
715.0;537.0;568.0;147.0;506.0;119.0;-404.0;74;48.0;-278.0
715.0;540.0;569.0;144.0;507.0;118.0;-403.0;74;?;-277.0
714.0;542.0;574.0;147.0;508.0;120.0;-399.0;74;52.0;?
712.0;542.0;581.0;160.0;?;123.0;-391.0;74;57.0;-275.0
708.0;543.0;590.0;180.0;506.0;125.0;-383.0;74;?;-275.0
703.0;541.0;602.0;216.0;505.0;123.0;-373.0;74;72.0;-276.0
695.0;541.0;?;248.0;?;120.0;-363.0;74;82.0;-278.0
688.0;541.0;628.0;?;503.0;?;-352.0;?;91.0;-278.0
680.0;539.0;?;306.0;503.0;116.0;-341.0;74;99.0;-278.0
673.0;535.0;654.0;338.0;503.0;114.0;-330.0;74;104.0;-279.0
?;531.0;664.0;370.0;505.0;109.0;-322.0;?;108.0;?
661.0;?;672.0;393.0;?;105.0;-314.0;74;109.0;-283.0
?;?;678.0;411.0;509.0;103.0;-306.0;74;107.0;-285.0
658.0;510.0;683.0;?;511.0;103.0;-299.0;74;104.0;-287.0
?;504.0;687.0;439.0;?;104.0;-293.0;74;100.0;-288.0
656.0;498.0;689.0;445.0;515.0;105.0;-291.0;74;99.0;-289.0
?;493.0;689.0;451.0;517.0;105.0;-291.0;74;99.0;-289.0
657.0;488.0;688.0;461.0;518.0;106.0;-292.0;74;?;-291.0
660.0;?;684.0;463.0;518.0;107.0;-293.0;74;100.0;-292.0
665.0;485.0;679.0;460.0;517.0;108.0;-294.0;74;?;-294.0
670.0;483.0;672.0;451.0;516.0;107.0;-297.0;75;100.0;-296.0
676.0;483.0;665.0;444.0;515.0;108.0;-302.0;75;101.0;-298.0
681.0;482.0;657.0;437.0;514.0;?;?;75;103.0;-300.0
686.0;?;650.0;427.0;513.0;110.0;-311.0;75;104.0;-301.0
690.0;482.0;644.0;418.0;513.0;111.0;-314.0;75;105.0;-301.0
693.0;484.0;638.0;405.0;514.0;110.0;-319.0;75;108.0;-302.0
695.0;482.0;?;397.0;516.0;110.0;-325.0;75;112.0;-302.0
696.0;487.0;627.0;389.0;519.0;110.0;-330.0;75;116.0;-302.0
698.0;487.0;622.0;379.0;521.0;110.0;-335.0;?;119.0;-302.0
?;486.0;617.0;368.0;523.0;?;-336.0;75;120.0;?
704.0;486.0;614.0;357.0;525.0;104.0;-336.0;75;118.0;-305.0
707.0;487.0;612.0;349.0;526.0;102.0;-335.0;75;?;-307.0
706.0;486.0;613.0;347.0;?;101.0;-335.0;75;118.0;-309.0
703.0;485.0;616.0;348.0;525.0;?;-335.0;76;119.0;-310.0
699.0;485.0;621.0;353.0;525.0;101.0;-333.0;75;?;-310.0
694.0;483.0;628.0;366.0;525.0;102.0;-331.0;75;121.0;-309.0
689.0;481.0;634.0;379.0;526.0;104.0;-329.0;?;122.0;-308.0
?;?;641.0;386.0;526.0;?;-326.0;75;123.0;-306.0
679.0;479.0;648.0;398.0;527.0;110.0;-323.0;75;122.0;?
676.0;?;653.0;407.0;527.0;113.0;-319.0;75;119.0;-305.0
674.0;473.0;658.0;415.0;527.0;114.0;-316.0;75;116.0;-303.0
671.0;470.0;661.0;422.0;527.0;116.0;-315.0;75;114.0;-301.0
669.0;466.0;664.0;429.0;528.0;123.0;-315.0;75;111.0;-296.0
666.0;467.0;666.0;432.0;527.0;132.0;-318.0;75;108.0;-290.0
665.0;466.0;666.0;435.0;525.0;140.0;-321.0;75;104.0;-287.0
664.0;475.0;668.0;437.0;?;142.0;-320.0;75;105.0;-277.0
665.0;484.0;667.0;435.0;518.0;141.0;-320.0;?;104.0;-275.0
671.0;499.0;658.0;429.0;512.0;138.0;-324.0;75;103.0;-276.0
679.0;507.0;?;402.0;504.0;132.0;-337.0;75;104.0;-280.0
