InertialMeasurementUnit L-SHOE EuX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LWR accX;Accelerometer LUA_ accY;Accelerometer LH accY
-66;324.0;-473.0;362.0;-230.0;703.0;759.0
-23;406.0;-87.0;349.0;-312.0;904.0;986.0
-63;369.0;-288.0;103.0;-192.0;706.0;775.0
-31;421.0;-160.0;346.0;-260.0;890.0;979.0
-30;530.0;-291.0;398.0;-257.0;881.0;979.0
-100;633.0;-271.0;701.0;-81.0;966.0;974.0
-151;457.0;-221.0;782.0;-267.0;943.0;1022.0
-133;450.0;-380.0;726.0;-291.0;925.0;985.0
-25;324.0;-576.0;682.0;-232.0;871.0;1065.0
97;519.0;-238.0;83.0;-394.0;1030.0;616.0
-20;169.0;-505.0;120.0;-599.0;892.0;682.0
-14;448.0;-329.0;272.0;-111.0;858.0;1035.0
-31;328.0;-138.0;318.0;-508.0;964.0;864.0
-33;340.0;-393.0;393.0;-420.0;1022.0;954.0
-155;518.0;-529.0;800.0;-519.0;836.0;821.0
-68;435.0;-278.0;705.0;30.0;791.0;1049.0
-58;666.0;-314.0;195.0;-188.0;951.0;1091.0
112;426.0;-260.0;521.0;-209.0;981.0;1087.0
27;548.0;-502.0;-57.0;-387.0;1019.0;1091.0
-88;304.0;-338.0;747.0;-280.0;821.0;853.0
2;473.0;-442.0;-139.0;-478.0;1047.0;1343.0
46;486.0;-304.0;-49.0;-506.0;1069.0;1156.0
-39;484.0;-220.0;261.0;-254.0;1257.0;1408.0
8;387.0;-409.0;479.0;-542.0;1381.0;1467.0
-52;113.0;-268.0;462.0;-402.0;808.0;843.0
91;609.0;-462.0;-27.0;-142.0;755.0;787.0
166;329.0;-193.0;749.0;-250.0;715.0;788.0
-101;466.0;-364.0;746.0;-289.0;986.0;1079.0
-24;389.0;-412.0;177.0;-409.0;968.0;880.0
-26;516.0;-403.0;207.0;-463.0;1242.0;1199.0
-79;348.0;-340.0;224.0;-470.0;969.0;879.0
4;360.0;-632.0;-148.0;-457.0;1253.0;670.0
-19;278.0;-446.0;375.0;-297.0;666.0;987.0
-24;424.0;-400.0;167.0;-418.0;925.0;858.0
-24;447.0;-388.0;129.0;-579.0;1039.0;930.0
28;313.0;-460.0;188.0;-466.0;979.0;1048.0
61;304.0;-562.0;-42.0;-307.0;858.0;953.0
-24;421.0;-398.0;152.0;-387.0;948.0;890.0
137;285.0;-390.0;396.0;-342.0;970.0;971.0
-58;427.0;-837.0;-804.0;-960.0;85.0;-287.0
98;321.0;-230.0;717.0;-305.0;1126.0;1189.0
-50;644.0;-673.0;417.0;-399.0;812.0;617.0
45;422.0;-347.0;68.0;-305.0;781.0;824.0
101;660.0;-339.0;63.0;-360.0;949.0;505.0
-17;602.0;-868.0;286.0;-761.0;522.0;403.0
102;391.0;-540.0;252.0;-406.0;898.0;920.0
-9;560.0;-721.0;149.0;-798.0;474.0;69.0
-23;328.0;-201.0;113.0;-328.0;703.0;749.0
-1;533.0;-387.0;110.0;-277.0;978.0;1062.0
-23;454.0;-286.0;143.0;-367.0;863.0;896.0
99;413.0;-631.0;-652.0;-40.0;-712.0;-552.0
122;502.0;-377.0;721.0;-328.0;1024.0;1275.0
134;430.0;-366.0;701.0;-355.0;938.0;967.0
