InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;Accelerometer RUA_ accY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LH accZ;InertialMeasurementUnit R-SHOE Body_Ax
509.0;1136.0;739.0;?;515.0;-954.0;8;-159;8;320.0;309
506.0;935.0;?;957.0;489.0;-756.0;27;-159;27;391.0;310
?;?;770.0;?;?;?;-4;-159;-4;219.0;316
?;664.0;696.0;955.0;322.0;-370.0;23;-159;23;398.0;314
507.0;710.0;?;?;343.0;?;?;-160;57;730.0;309
511.0;821.0;651.0;?;436.0;-412.0;1;-159;1;649.0;?
513.0;975.0;649.0;1050.0;562.0;?;-28;-159;-28;?;304
504.0;953.0;641.0;?;267.0;?;?;-159;-32;-370.0;312
506.0;?;?;1036.0;353.0;-629.0;21;-159;21;-775.0;311
505.0;?;573.0;1063.0;?;?;-23;-159;?;?;308
505.0;857.0;590.0;1115.0;501.0;?;?;?;-67;-1087.0;307
?;817.0;627.0;1064.0;519.0;-523.0;?;-159;-31;-989.0;313
?;732.0;?;1030.0;486.0;-428.0;-18;-159;-18;-853.0;314
503.0;628.0;683.0;1084.0;463.0;?;33;-159;33;?;310
?;?;686.0;1104.0;?;-163.0;45;?;45;-704.0;312
503.0;631.0;727.0;?;491.0;-151.0;-23;-159;-23;?;309
501.0;640.0;726.0;1068.0;561.0;-201.0;?;-160;-6;?;303
502.0;676.0;732.0;1047.0;627.0;-242.0;12;-159;12;-410.0;?
500.0;?;770.0;987.0;650.0;?;-9;-159;-9;?;?
?;702.0;?;996.0;703.0;-358.0;34;-159;34;-74.0;312
509.0;700.0;860.0;942.0;710.0;-367.0;14;-159;14;46.0;306
514.0;686.0;870.0;884.0;649.0;-388.0;-36;?;-36;225.0;303
517.0;673.0;902.0;895.0;635.0;-385.0;3;-160;?;328.0;310
?;?;912.0;836.0;577.0;-394.0;16;-159;16;385.0;?
?;?;871.0;?;540.0;-444.0;25;-159;25;308.0;309
531.0;611.0;846.0;?;493.0;-427.0;?;-159;34;1369.0;309
534.0;670.0;808.0;905.0;474.0;-448.0;8;-159;8;?;?
534.0;740.0;?;1060.0;471.0;-531.0;6;-159;6;303.0;312
?;940.0;763.0;?;557.0;-624.0;15;-159;15;289.0;305
529.0;?;761.0;1257.0;627.0;-826.0;12;?;12;?;299
526.0;?;839.0;1173.0;626.0;-948.0;-19;?;-19;144.0;307
523.0;1247.0;?;?;591.0;-979.0;?;-159;-19;108.0;310
523.0;1123.0;821.0;1040.0;?;-867.0;-4;-159;-4;79.0;?
520.0;?;805.0;1000.0;433.0;-714.0;8;?;8;140.0;?
518.0;?;?;958.0;?;-548.0;43;?;?;344.0;309
517.0;?;751.0;?;367.0;-459.0;34;-159;34;?;305
516.0;829.0;690.0;991.0;?;?;15;-159;?;852.0;310
?;906.0;681.0;1020.0;?;?;11;-159;11;1100.0;308
506.0;764.0;681.0;809.0;?;?;43;-159;43;?;308
505.0;575.0;662.0;660.0;360.0;-404.0;33;-159;33;-394.0;322
502.0;?;614.0;641.0;344.0;-210.0;19;?;19;-483.0;310
500.0;267.0;572.0;709.0;?;-8.0;?;-160;?;-411.0;306
498.0;278.0;534.0;840.0;459.0;17.0;-5;-159;-5;112.0;309
499.0;293.0;605.0;952.0;545.0;-41.0;?;-159;-13;102.0;308
?;?;683.0;893.0;654.0;-118.0;?;-159;-6;398.0;308
?;152.0;699.0;956.0;974.0;-155.0;21;-159;21;?;309
501.0;?;870.0;?;1349.0;-114.0;?;-159;?;756.0;308
501.0;?;921.0;694.0;1282.0;-80.0;-34;-160;-34;636.0;308
499.0;-454.0;950.0;?;1306.0;-29.0;-44;-159;-44;780.0;319
501.0;-678.0;?;721.0;1299.0;402.0;?;-159;-117;852.0;319
502.0;?;1149.0;608.0;1203.0;610.0;-47;-159;?;669.0;320
503.0;-880.0;1002.0;449.0;1097.0;641.0;68;-159;?;510.0;322
506.0;?;?;447.0;?;851.0;-27;-159;-27;203.0;326
505.0;-965.0;953.0;415.0;1154.0;1000.0;-40;-159;-40;-141.0;343
?;-975.0;?;465.0;?;978.0;-26;-159;-26;-211.0;?
?;-941.0;777.0;478.0;?;1037.0;-41;-159;-41;-150.0;349
511.0;?;739.0;?;972.0;1066.0;43;-159;43;-75.0;?
511.0;-813.0;688.0;409.0;893.0;1018.0;53;?;53;51.0;315
516.0;-767.0;657.0;380.0;820.0;979.0;-19;-159;-19;154.0;331
?;-757.0;602.0;?;791.0;979.0;-9;-159;-9;212.0;328
517.0;-762.0;?;306.0;684.0;970.0;6;-159;6;?;328
516.0;-825.0;452.0;270.0;721.0;1003.0;14;-159;14;?;336
515.0;-883.0;334.0;218.0;582.0;1043.0;28;-159;28;164.0;322
513.0;?;314.0;225.0;579.0;1066.0;9;-159;9;148.0;318
510.0;-875.0;272.0;271.0;563.0;1059.0;-6;?;-6;71.0;327
507.0;-849.0;265.0;290.0;518.0;?;-40;-159;-40;88.0;323
507.0;-815.0;278.0;296.0;529.0;?;?;-159;-75;101.0;326
?;-781.0;?;351.0;536.0;934.0;-66;-159;?;155.0;?
503.0;-747.0;335.0;330.0;543.0;?;-57;-159;-57;167.0;322
500.0;?;360.0;306.0;497.0;883.0;?;-159;-70;95.0;338
500.0;-708.0;371.0;?;523.0;868.0;-56;-159;-56;63.0;362
495.0;-723.0;343.0;238.0;?;859.0;-29;-159;?;?;345
497.0;-736.0;320.0;270.0;582.0;875.0;?;-159;?;56.0;342
498.0;-742.0;320.0;250.0;607.0;905.0;-34;-158;-34;38.0;342
500.0;-759.0;?;251.0;606.0;915.0;4;-158;4;?;333
502.0;-795.0;351.0;220.0;579.0;924.0;40;-159;40;-10.0;346
?;?;?;?;620.0;?;?;-159;?;?;346
?;?;290.0;229.0;601.0;987.0;30;-159;30;44.0;324
508.0;?;288.0;185.0;597.0;942.0;21;-158;21;?;?
510.0;-828.0;293.0;227.0;576.0;995.0;71;-158;71;58.0;?
?;-809.0;?;219.0;637.0;973.0;?;-159;76;36.0;329
517.0;-819.0;?;?;?;?;30;-159;30;30.0;?
518.0;-845.0;288.0;?;582.0;978.0;25;-159;25;34.0;?
?;-855.0;287.0;246.0;?;1018.0;24;?;24;68.0;323
519.0;-829.0;273.0;247.0;610.0;?;47;?;47;93.0;309
518.0;-811.0;270.0;266.0;580.0;982.0;55;-159;55;108.0;314
?;-807.0;?;305.0;575.0;964.0;44;-159;44;-1.0;303
?;-797.0;316.0;?;571.0;?;44;-159;44;133.0;313
517.0;-786.0;?;297.0;546.0;934.0;26;-159;26;159.0;323
515.0;-796.0;?;288.0;582.0;943.0;4;-159;4;?;306
516.0;-795.0;338.0;176.0;571.0;942.0;-21;?;?;108.0;352
514.0;?;328.0;238.0;483.0;967.0;33;-159;33;172.0;305
513.0;?;264.0;66.0;606.0;961.0;40;-159;40;51.0;193
512.0;?;?;351.0;793.0;977.0;-41;?;-41;?;289
?;-681.0;119.0;301.0;612.0;884.0;-1;?;-1;?;375
?;-1035.0;289.0;-33.0;428.0;873.0;78;-159;78;191.0;294
502.0;?;529.0;215.0;488.0;?;82;-160;82;-97.0;?
499.0;?;191.0;91.0;469.0;1389.0;41;-160;41;-293.0;310
?;?;?;124.0;477.0;?;9;-160;9;-275.0;292
?;-800.0;?;234.0;?;?;?;?;?;-216.0;?
498.0;-753.0;?;306.0;558.0;898.0;-4;-160;-4;-54.0;?
497.0;-788.0;245.0;287.0;555.0;850.0;-5;-160;?;-9.0;?
500.0;-868.0;?;306.0;581.0;960.0;-12;-160;-12;18.0;309
499.0;-806.0;349.0;313.0;571.0;995.0;-12;-160;-12;16.0;308
499.0;-756.0;?;273.0;582.0;909.0;9;-160;9;60.0;?
495.0;?;?;?;617.0;895.0;-10;-160;-10;97.0;308
500.0;-785.0;320.0;?;?;908.0;-54;-160;-54;139.0;308
498.0;-803.0;310.0;296.0;628.0;954.0;-36;?;-36;152.0;311
500.0;?;?;?;?;?;11;-160;?;152.0;?
500.0;-817.0;345.0;295.0;652.0;?;-19;?;-19;153.0;312
504.0;-820.0;342.0;301.0;?;980.0;-47;?;?;176.0;307
?;-829.0;334.0;310.0;637.0;991.0;-36;-160;-36;?;303
505.0;?;?;330.0;?;989.0;?;?;-21;159.0;?
508.0;-824.0;339.0;332.0;656.0;985.0;30;-160;30;?;318
510.0;-816.0;359.0;317.0;629.0;?;11;-160;11;150.0;309
513.0;?;351.0;309.0;?;989.0;-14;-160;-14;115.0;323
?;?;354.0;?;?;1024.0;19;-160;19;60.0;331
?;-872.0;356.0;295.0;579.0;1048.0;-18;-160;?;27.0;324
521.0;-810.0;316.0;306.0;?;?;-49;-160;-49;13.0;318
524.0;?;309.0;286.0;595.0;?;?;?;-22;41.0;319
526.0;-785.0;?;299.0;599.0;?;-15;-160;-15;13.0;307
?;-797.0;?;301.0;570.0;933.0;10;?;?;52.0;308
531.0;-821.0;?;271.0;?;944.0;50;-160;50;72.0;314
533.0;-830.0;317.0;?;561.0;975.0;?;-160;35;51.0;315
?;?;300.0;?;570.0;987.0;6;-160;6;?;330
533.0;-831.0;294.0;232.0;559.0;980.0;16;-160;16;?;?
531.0;?;266.0;212.0;561.0;?;34;-160;34;149.0;306
531.0;-855.0;254.0;226.0;572.0;991.0;26;-160;26;?;?
528.0;?;?;253.0;575.0;?;-25;-160;?;?;318
527.0;?;?;238.0;541.0;1001.0;-36;-160;-36;73.0;309
527.0;-825.0;?;223.0;547.0;?;3;-160;3;?;?
527.0;-816.0;300.0;230.0;?;982.0;-9;-160;-9;?;309
526.0;?;289.0;217.0;?;955.0;28;-160;28;25.0;?
529.0;-845.0;258.0;209.0;539.0;992.0;66;-160;66;29.0;325
528.0;-843.0;243.0;188.0;523.0;992.0;19;?;19;51.0;?
528.0;-848.0;242.0;228.0;540.0;997.0;23;?;?;50.0;321
?;-847.0;234.0;215.0;537.0;990.0;40;?;40;58.0;316
?;-845.0;?;223.0;558.0;999.0;5;-160;5;79.0;320
527.0;-829.0;253.0;266.0;533.0;978.0;-31;-160;?;91.0;308
526.0;-813.0;252.0;287.0;547.0;960.0;?;-160;-17;81.0;315
525.0;-800.0;278.0;268.0;?;948.0;-8;-160;?;72.0;317
524.0;?;300.0;253.0;562.0;945.0;-17;-160;-17;78.0;300
523.0;-806.0;269.0;237.0;486.0;939.0;35;-160;?;83.0;?
523.0;?;281.0;170.0;495.0;980.0;?;?;30;174.0;319
523.0;-841.0;?;?;857.0;968.0;?;-160;-24;280.0;301
523.0;-721.0;231.0;334.0;579.0;985.0;?;?;-2;324.0;323
524.0;-751.0;137.0;67.0;415.0;?;-10;-160;-10;?;292
?;-1324.0;?;116.0;468.0;?;-40;-160;-40;-7.0;?
525.0;-1020.0;286.0;195.0;458.0;?;23;-160;?;?;?
528.0;-741.0;63.0;126.0;531.0;937.0;41;-160;?;-201.0;300
530.0;-725.0;?;177.0;621.0;835.0;-26;-160;-26;?;296
529.0;-764.0;237.0;156.0;547.0;?;5;-160;5;-21.0;?
533.0;-921.0;297.0;118.0;528.0;925.0;?;?;55;-52.0;304
535.0;?;329.0;104.0;534.0;1093.0;28;-160;28;?;?
536.0;?;215.0;77.0;529.0;1070.0;40;-160;?;5.0;307
536.0;-885.0;144.0;66.0;491.0;1004.0;30;-160;30;81.0;?
534.0;-934.0;158.0;120.0;509.0;?;-4;-160;-4;100.0;?
532.0;-940.0;148.0;168.0;?;1068.0;24;?;?;77.0;308
?;-902.0;158.0;?;538.0;1029.0;22;-160;22;?;310
531.0;-853.0;207.0;220.0;?;999.0;?;-160;-29;64.0;303
531.0;-830.0;?;215.0;529.0;?;?;-160;-35;91.0;307
528.0;-822.0;?;216.0;518.0;961.0;16;?;?;98.0;307
?;-832.0;?;232.0;558.0;957.0;-10;-160;-10;93.0;?
530.0;?;277.0;231.0;?;973.0;?;-160;-48;111.0;?
529.0;-854.0;263.0;218.0;598.0;984.0;-26;-160;-26;144.0;303
529.0;-855.0;266.0;224.0;?;1006.0;-19;-160;-19;171.0;320
?;-860.0;281.0;247.0;602.0;1007.0;16;-160;16;125.0;317
529.0;-876.0;279.0;198.0;581.0;1034.0;3;?;?;?;?
526.0;-910.0;300.0;?;579.0;1045.0;-71;-159;-71;63.0;315
?;?;252.0;191.0;574.0;1075.0;?;-159;-58;78.0;307
527.0;-854.0;241.0;218.0;542.0;1034.0;-37;-159;-37;91.0;318
528.0;-848.0;247.0;?;550.0;1006.0;-58;-159;-58;61.0;322
527.0;-846.0;293.0;?;550.0;991.0;-25;-159;-25;?;?
526.0;-849.0;?;198.0;557.0;1011.0;?;?;-1;142.0;328
527.0;?;256.0;213.0;?;1006.0;-22;-159;-22;148.0;330
?;-851.0;260.0;218.0;557.0;990.0;2;-159;2;154.0;340
525.0;-847.0;261.0;214.0;?;981.0;35;?;35;119.0;329
525.0;-840.0;238.0;222.0;526.0;?;35;-159;?;128.0;327
?;-820.0;238.0;193.0;507.0;967.0;51;-159;51;58.0;328
525.0;-821.0;236.0;214.0;502.0;953.0;?;-159;79;40.0;320
526.0;-799.0;?;240.0;513.0;951.0;63;-159;63;2.0;322
528.0;-799.0;?;218.0;?;945.0;?;?;20;4.0;317
529.0;-804.0;?;218.0;553.0;948.0;23;-159;23;39.0;307
533.0;-822.0;?;207.0;568.0;969.0;54;-159;54;?;315
?;-834.0;224.0;237.0;?;971.0;36;-159;?;79.0;319
?;-826.0;?;216.0;562.0;980.0;-1;-159;-1;89.0;310
?;?;253.0;231.0;567.0;979.0;-5;-159;-5;92.0;?
538.0;-832.0;262.0;?;562.0;981.0;?;?;-7;?;309
538.0;-831.0;?;221.0;520.0;989.0;-7;-160;-7;60.0;303
?;-818.0;249.0;203.0;592.0;978.0;?;-160;12;?;?
?;-837.0;240.0;?;528.0;997.0;8;-160;8;?;?
541.0;-825.0;229.0;252.0;?;990.0;-22;-160;-22;56.0;313
545.0;-826.0;?;286.0;539.0;980.0;-36;-160;-36;87.0;312
547.0;-799.0;258.0;245.0;?;968.0;-14;-160;-14;77.0;308
?;-770.0;287.0;295.0;?;935.0;-12;-160;-12;?;309
551.0;?;?;152.0;682.0;907.0;-89;-160;-89;269.0;278
549.0;-772.0;331.0;344.0;763.0;913.0;-135;-159;-135;319.0;?
549.0;-708.0;210.0;52.0;453.0;872.0;-64;-159;-64;302.0;333
547.0;-1169.0;?;-29.0;?;980.0;-9;-159;?;68.0;308
545.0;-1164.0;374.0;?;480.0;1344.0;17;-159;17;?;319
546.0;-941.0;82.0;?;454.0;1179.0;53;-159;53;-240.0;?
550.0;-903.0;87.0;37.0;507.0;999.0;18;-159;?;-194.0;304
551.0;?;?;177.0;?;976.0;7;-159;7;?;322
553.0;-829.0;126.0;?;500.0;920.0;36;-159;36;?;313
556.0;-940.0;267.0;152.0;509.0;?;46;-159;46;-16.0;315
558.0;-990.0;291.0;108.0;?;1079.0;?;-159;33;?;308
560.0;?;195.0;97.0;486.0;?;-4;?;-4;53.0;306
559.0;-883.0;197.0;41.0;462.0;998.0;?;-159;12;?;310
560.0;-904.0;?;112.0;468.0;998.0;-9;?;-9;100.0;310
?;-906.0;?;?;526.0;?;-41;-159;?;90.0;311
?;?;174.0;?;?;1020.0;?;-159;-21;59.0;307
?;-845.0;201.0;224.0;548.0;969.0;4;-159;4;53.0;301
553.0;-820.0;251.0;253.0;562.0;955.0;?;-159;26;?;306
553.0;?;291.0;193.0;561.0;936.0;-2;-159;-2;?;309
552.0;-820.0;296.0;223.0;593.0;?;?;-159;18;121.0;313
549.0;?;280.0;227.0;597.0;969.0;?;?;38;?;306
550.0;-850.0;282.0;228.0;?;?;?;-159;?;85.0;305
?;-856.0;?;249.0;?;1009.0;-58;-159;-58;?;318
?;?;?;269.0;619.0;?;-26;-159;?;111.0;309
548.0;-835.0;280.0;262.0;622.0;1006.0;-43;?;?;?;308
549.0;-853.0;297.0;?;592.0;992.0;-40;-159;?;91.0;324
548.0;-868.0;310.0;230.0;609.0;1010.0;?;-159;-42;90.0;315
548.0;-895.0;308.0;215.0;?;1030.0;-54;-159;-54;92.0;312
547.0;-872.0;274.0;?;589.0;1065.0;-27;-159;-27;85.0;320
548.0;-853.0;249.0;241.0;547.0;1013.0;-9;?;-9;70.0;?
547.0;-853.0;255.0;239.0;524.0;1000.0;12;-159;12;91.0;296
?;-861.0;275.0;?;538.0;1018.0;-5;?;-5;?;296
547.0;?;272.0;?;529.0;?;-60;-159;-60;103.0;300
548.0;-837.0;?;222.0;?;?;-41;?;?;119.0;311
550.0;?;232.0;254.0;536.0;979.0;-26;-159;-26;?;307
547.0;-811.0;256.0;240.0;518.0;946.0;?;-159;-36;76.0;308
?;?;263.0;208.0;497.0;957.0;17;-159;17;107.0;?
548.0;-821.0;?;158.0;?;?;27;?;27;71.0;319
551.0;-822.0;233.0;182.0;535.0;?;4;-159;4;100.0;319
552.0;-846.0;183.0;209.0;?;972.0;?;-159;39;81.0;314
553.0;-863.0;?;219.0;500.0;991.0;47;-159;47;112.0;314
549.0;-856.0;210.0;?;541.0;997.0;24;-159;24;109.0;?
?;-820.0;250.0;?;552.0;972.0;1;?;1;110.0;306
?;-792.0;265.0;?;?;946.0;19;-159;?;?;306
552.0;-783.0;293.0;246.0;553.0;944.0;17;-159;17;33.0;300
552.0;-798.0;292.0;203.0;571.0;958.0;-4;-159;-4;77.0;?
?;-830.0;?;221.0;569.0;985.0;?;-159;23;?;306
?;?;223.0;223.0;?;1002.0;-3;-159;-3;57.0;305
556.0;-824.0;234.0;202.0;?;?;-22;-159;-22;19.0;304
558.0;-818.0;257.0;209.0;547.0;958.0;?;-159;-19;52.0;302
557.0;-819.0;?;230.0;?;?;?;-159;-40;16.0;298
557.0;?;240.0;215.0;533.0;?;?;-159;-36;-4.0;?
557.0;-844.0;213.0;?;535.0;984.0;-43;-159;-43;-6.0;?
557.0;?;?;207.0;535.0;?;-68;-159;-68;44.0;310
560.0;-812.0;223.0;?;444.0;961.0;-100;-159;-100;?;?
559.0;-823.0;244.0;134.0;692.0;940.0;-151;-159;-151;?;297
560.0;-818.0;245.0;269.0;?;960.0;-189;-159;?;?;320
561.0;?;154.0;56.0;458.0;850.0;-91;-159;?;254.0;370
562.0;?;?;-5.0;?;1051.0;79;-158;?;46.0;?
559.0;-1097.0;327.0;80.0;472.0;1492.0;76;-158;76;-153.0;291
559.0;-902.0;82.0;51.0;497.0;1008.0;1;-159;1;-168.0;320
?;-861.0;150.0;?;?;996.0;-21;?;-21;-27.0;?
558.0;-799.0;?;197.0;566.0;920.0;-9;?;-9;?;316
556.0;-866.0;232.0;188.0;535.0;905.0;35;-159;35;?;321
558.0;?;293.0;?;572.0;1043.0;38;-159;?;13.0;311
556.0;-983.0;277.0;180.0;587.0;1125.0;35;-159;?;10.0;310
?;-883.0;194.0;204.0;543.0;1029.0;26;-159;26;?;309
556.0;-865.0;211.0;217.0;549.0;973.0;-11;-159;-11;73.0;306
551.0;-876.0;266.0;199.0;551.0;986.0;-39;-159;-39;69.0;307
547.0;-849.0;282.0;217.0;590.0;999.0;-18;?;-18;82.0;?
?;?;?;239.0;561.0;971.0;3;-159;3;61.0;317
?;?;273.0;251.0;590.0;?;-48;-159;-48;70.0;313
540.0;-826.0;291.0;192.0;?;993.0;-3;-159;-3;29.0;319
?;?;275.0;220.0;558.0;963.0;43;-159;43;42.0;317
537.0;-856.0;248.0;250.0;535.0;995.0;-23;-159;-23;43.0;314
?;-860.0;238.0;244.0;604.0;999.0;0;?;0;49.0;321
?;-835.0;239.0;259.0;?;992.0;42;-159;42;43.0;305
534.0;-829.0;282.0;284.0;583.0;?;7;-159;7;52.0;308
?;-818.0;323.0;286.0;582.0;973.0;16;-159;16;76.0;?
?;-816.0;?;289.0;?;?;-2;?;-2;?;303
?;?;302.0;?;605.0;?;?;-159;?;76.0;307
536.0;?;305.0;309.0;603.0;998.0;-88;-159;?;113.0;312
?;-840.0;305.0;338.0;621.0;998.0;-68;-159;-68;123.0;319
538.0;-821.0;319.0;?;?;993.0;-22;?;-22;142.0;?
?;?;?;295.0;?;?;-2;?;-2;157.0;325
540.0;-814.0;340.0;248.0;585.0;969.0;15;-159;15;173.0;327
543.0;?;?;228.0;562.0;990.0;47;-159;47;?;324
?;-832.0;299.0;223.0;550.0;980.0;36;-159;36;121.0;?
?;-840.0;277.0;196.0;560.0;992.0;52;-159;52;?;323
547.0;?;247.0;182.0;539.0;?;47;?;?;111.0;320
552.0;-854.0;217.0;173.0;539.0;?;39;-159;39;?;322
555.0;?;218.0;205.0;482.0;986.0;57;-159;57;?;310
556.0;?;220.0;188.0;?;?;?;-159;?;82.0;?
?;-845.0;231.0;201.0;489.0;997.0;12;?;12;82.0;295
?;-818.0;217.0;222.0;483.0;?;40;-159;40;?;297
564.0;-810.0;208.0;199.0;480.0;951.0;5;-159;5;98.0;292
567.0;-825.0;?;178.0;501.0;?;?;-159;-14;112.0;?
569.0;-823.0;218.0;?;512.0;?;23;-159;23;82.0;294
?;-846.0;209.0;170.0;541.0;958.0;24;-159;24;18.0;284
574.0;-877.0;210.0;152.0;545.0;?;14;-159;14;-31.0;283
574.0;?;206.0;137.0;531.0;1030.0;13;-159;13;5.0;?
574.0;-886.0;195.0;168.0;526.0;1009.0;-16;?;-16;1.0;301
574.0;-883.0;?;169.0;549.0;1037.0;?;?;?;40.0;299
576.0;-858.0;?;188.0;540.0;1008.0;-15;-159;?;?;301
575.0;-838.0;201.0;192.0;550.0;?;-26;-159;-26;100.0;296
576.0;-832.0;225.0;218.0;?;967.0;-19;?;?;?;288
577.0;-847.0;258.0;?;520.0;?;-23;?;-23;118.0;299
578.0;?;?;189.0;506.0;1003.0;-51;-159;-51;83.0;296
577.0;-851.0;?;185.0;513.0;?;-17;-159;-17;65.0;298
579.0;-838.0;?;?;521.0;977.0;-16;-159;-16;45.0;301
579.0;?;210.0;184.0;532.0;972.0;-67;-159;-67;36.0;?
580.0;-832.0;209.0;168.0;512.0;969.0;-48;?;?;?;?
580.0;-807.0;232.0;142.0;?;978.0;-106;?;-106;?;313
582.0;?;212.0;36.0;658.0;?;-187;-159;-187;318.0;343
583.0;-835.0;203.0;195.0;573.0;?;-57;-158;-57;316.0;400
584.0;-819.0;74.0;44.0;?;889.0;90;-158;90;195.0;339
581.0;-1221.0;?;20.0;499.0;1263.0;117;-159;117;-33.0;285
579.0;-1084.0;203.0;41.0;450.0;1291.0;115;-159;115;-203.0;314
?;?;97.0;92.0;482.0;1104.0;?;?;?;-214.0;?
576.0;?;?;174.0;547.0;?;39;-159;?;-55.0;286
575.0;-826.0;159.0;257.0;?;925.0;?;-159;51;84.0;303
575.0;-843.0;?;271.0;557.0;888.0;-15;-159;-15;131.0;306
575.0;?;330.0;241.0;542.0;951.0;-28;-159;-28;51.0;304
573.0;-869.0;?;214.0;545.0;989.0;17;?;17;-14.0;?
?;-864.0;355.0;138.0;530.0;959.0;37;-159;?;-132.0;302
570.0;-866.0;275.0;135.0;559.0;958.0;53;-159;53;-83.0;?
567.0;-879.0;207.0;196.0;594.0;998.0;34;?;?;?;302
563.0;-870.0;197.0;244.0;612.0;?;6;-159;6;140.0;289
?;?;213.0;302.0;609.0;1004.0;33;-159;33;?;286
554.0;-842.0;260.0;328.0;577.0;1003.0;29;-159;29;?;?
550.0;-836.0;311.0;298.0;599.0;991.0;-25;-159;-25;?;294
548.0;-820.0;360.0;251.0;619.0;981.0;-44;?;-44;?;288
546.0;-841.0;325.0;247.0;554.0;988.0;?;-159;33;344.0;286
548.0;?;319.0;228.0;567.0;?;50;-159;50;?;287
543.0;-839.0;300.0;198.0;561.0;990.0;-14;-159;-14;385.0;290
540.0;-827.0;251.0;188.0;560.0;990.0;?;-159;?;305.0;?
537.0;-834.0;253.0;187.0;539.0;990.0;-4;-159;-4;275.0;296
533.0;?;223.0;180.0;541.0;1003.0;11;-159;11;6.0;297
530.0;-868.0;199.0;219.0;536.0;1015.0;50;-159;50;?;296
?;?;226.0;218.0;?;996.0;?;-159;-39;-707.0;297
?;?;229.0;232.0;569.0;1013.0;-34;-159;-34;-680.0;297
525.0;-834.0;?;231.0;502.0;975.0;2;-159;2;-842.0;295
525.0;-817.0;?;203.0;502.0;947.0;15;-159;15;?;?
526.0;-817.0;297.0;?;?;956.0;?;-159;21;-607.0;287
527.0;-832.0;250.0;220.0;528.0;968.0;-12;?;-12;-551.0;285
527.0;?;198.0;?;545.0;963.0;-5;-159;-5;-620.0;291
?;-844.0;?;199.0;566.0;?;6;-159;6;-555.0;293
528.0;-837.0;?;238.0;?;?;?;-159;2;-632.0;292
531.0;-840.0;242.0;244.0;571.0;?;?;?;10;-724.0;288
