Accelerometer LH accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer BACK accX;Accelerometer LUA_ accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer HIP accZ
?;-137.0;11;230.0;876.0;-30.0;-723.0;1051.0;418.0
?;?;6;244.0;920.0;?;-699.0;718.0;406.0
496.0;-133.0;0;227.0;?;-40.0;-720.0;995.0;413.0
560.0;-154.0;0;187.0;917.0;58.0;?;896.0;425.0
?;-126.0;-11;?;904.0;148.0;-813.0;1007.0;425.0
676.0;?;-3;166.0;935.0;283.0;-907.0;989.0;?
?;-104.0;-1;144.0;?;367.0;-890.0;970.0;409.0
?;-112.0;4;215.0;994.0;409.0;-943.0;944.0;448.0
?;-95.0;10;?;909.0;374.0;-984.0;944.0;428.0
742.0;-122.0;0;77.0;890.0;300.0;-1008.0;871.0;426.0
926.0;-125.0;10;?;?;216.0;-1027.0;782.0;?
744.0;-148.0;4;114.0;?;148.0;-1018.0;?;416.0
685.0;-122.0;?;147.0;735.0;72.0;-1069.0;875.0;413.0
696.0;?;28;102.0;703.0;-14.0;-1145.0;855.0;388.0
507.0;-116.0;18;101.0;653.0;-80.0;-1137.0;890.0;396.0
460.0;-125.0;0;63.0;656.0;-131.0;-1045.0;861.0;356.0
287.0;-126.0;6;9.0;?;-191.0;-961.0;843.0;377.0
86.0;?;18;47.0;774.0;-217.0;-867.0;857.0;?
-419.0;-128.0;-11;-67.0;?;?;-719.0;813.0;381.0
-45.0;?;-53;11.0;824.0;-265.0;-715.0;812.0;?
408.0;-109.0;-26;37.0;?;-266.0;-636.0;?;334.0
223.0;-119.0;10;113.0;816.0;-167.0;-486.0;?;385.0
104.0;-129.0;7;28.0;762.0;-222.0;?;751.0;338.0
?;-147.0;?;51.0;690.0;-357.0;-890.0;?;339.0
82.0;-141.0;12;?;639.0;?;-930.0;872.0;355.0
-22.0;-121.0;-28;62.0;642.0;-286.0;-944.0;1044.0;368.0
-50.0;-105.0;-21;38.0;?;-118.0;?;1197.0;354.0
-136.0;-118.0;-13;48.0;855.0;77.0;-754.0;1300.0;?
68.0;-129.0;12;53.0;923.0;62.0;-730.0;1200.0;348.0
173.0;-123.0;-7;59.0;922.0;-89.0;-590.0;1084.0;327.0
333.0;-110.0;7;?;947.0;-284.0;-544.0;981.0;?
71.0;-152.0;2;144.0;644.0;161.0;-712.0;1037.0;395.0
?;?;-1;208.0;?;?;?;726.0;?
?;-90.0;0;238.0;762.0;356.0;-482.0;972.0;431.0
11.0;?;0;138.0;?;335.0;-414.0;874.0;415.0
159.0;-125.0;0;144.0;886.0;292.0;?;795.0;410.0
?;?;?;139.0;1005.0;191.0;?;678.0;411.0
1630.0;-129.0;-10;167.0;970.0;69.0;-341.0;595.0;420.0
2102.0;-121.0;24;136.0;?;-156.0;-367.0;488.0;?
1668.0;-118.0;14;73.0;838.0;-283.0;-649.0;494.0;417.0
1696.0;-116.0;?;?;596.0;-295.0;-976.0;541.0;391.0
1738.0;-125.0;-3;142.0;546.0;-126.0;-1087.0;630.0;418.0
1668.0;?;?;78.0;507.0;52.0;-1188.0;940.0;407.0
?;-118.0;-20;77.0;579.0;14.0;-1314.0;998.0;395.0
1395.0;-118.0;?;106.0;?;87.0;-1287.0;863.0;426.0
1061.0;-118.0;1;81.0;?;367.0;?;?;389.0
770.0;-127.0;?;93.0;548.0;?;-1028.0;694.0;365.0
718.0;-173.0;-13;163.0;502.0;571.0;?;546.0;375.0
710.0;-149.0;142;?;469.0;381.0;?;389.0;413.0
669.0;-116.0;?;?;440.0;203.0;-779.0;487.0;390.0
602.0;-107.0;273;81.0;371.0;100.0;-701.0;306.0;450.0
523.0;-110.0;346;?;322.0;41.0;-612.0;210.0;463.0
459.0;-90.0;-933;61.0;?;40.0;-595.0;344.0;?
398.0;-111.0;-1565;?;281.0;93.0;-659.0;386.0;487.0
346.0;-138.0;-1731;64.0;321.0;123.0;?;397.0;?
?;-142.0;-2134;33.0;308.0;182.0;-534.0;386.0;493.0
225.0;-133.0;-2010;0.0;?;229.0;-441.0;358.0;433.0
200.0;-138.0;-1877;-17.0;314.0;254.0;-340.0;286.0;?
195.0;-135.0;?;?;339.0;?;-281.0;304.0;489.0
185.0;-130.0;-785;-30.0;?;206.0;-249.0;232.0;447.0
128.0;-146.0;-671;-28.0;383.0;179.0;-250.0;164.0;?
100.0;-128.0;?;-38.0;370.0;150.0;-254.0;?;459.0
96.0;-127.0;?;-20.0;385.0;171.0;-240.0;?;?
145.0;-127.0;-519;?;405.0;185.0;-222.0;147.0;?
187.0;-127.0;-513;61.0;426.0;191.0;-211.0;134.0;416.0
231.0;-129.0;-402;88.0;454.0;?;?;168.0;?
?;-148.0;-330;95.0;450.0;180.0;-248.0;150.0;397.0
306.0;-138.0;-248;?;413.0;181.0;-241.0;161.0;401.0
358.0;?;-106;?;397.0;190.0;-243.0;230.0;365.0
420.0;-134.0;-2;55.0;417.0;?;?;225.0;355.0
469.0;-124.0;-79;68.0;395.0;185.0;?;?;?
503.0;-110.0;-34;63.0;381.0;162.0;-380.0;276.0;375.0
553.0;-121.0;?;47.0;?;162.0;-421.0;285.0;375.0
560.0;-126.0;108;27.0;?;188.0;-411.0;271.0;381.0
520.0;-136.0;111;44.0;?;226.0;-379.0;267.0;421.0
508.0;-121.0;181;42.0;378.0;230.0;-399.0;271.0;411.0
?;-126.0;259;?;388.0;228.0;-457.0;225.0;398.0
?;-110.0;?;20.0;344.0;207.0;-451.0;226.0;?
453.0;-126.0;496;19.0;?;185.0;-397.0;245.0;413.0
514.0;-89.0;61;49.0;326.0;172.0;?;215.0;?
444.0;-46.0;540;69.0;415.0;?;-413.0;198.0;385.0
385.0;-89.0;960;89.0;228.0;170.0;-404.0;221.0;372.0
264.0;-110.0;?;126.0;?;?;-382.0;215.0;391.0
?;?;4975;?;?;180.0;-315.0;222.0;306.0
236.0;-227.0;3266;56.0;422.0;186.0;-361.0;215.0;286.0
395.0;?;?;224.0;272.0;118.0;?;?;409.0
434.0;-484.0;233;454.0;359.0;136.0;?;244.0;287.0
532.0;?;327;?;404.0;161.0;-304.0;256.0;?
669.0;?;-58;143.0;473.0;-47.0;-251.0;223.0;?
?;-217.0;385;122.0;539.0;139.0;-410.0;?;281.0
269.0;?;-106;80.0;459.0;363.0;-312.0;194.0;197.0
92.0;?;?;69.0;424.0;475.0;-255.0;226.0;?
183.0;-220.0;-29;59.0;?;429.0;-338.0;493.0;394.0
355.0;-270.0;?;48.0;440.0;?;?;337.0;378.0
?;-291.0;0;67.0;422.0;?;?;292.0;429.0
260.0;-152.0;?;58.0;387.0;?;-269.0;309.0;?
?;-107.0;10;70.0;375.0;?;-297.0;281.0;354.0
317.0;-170.0;10;88.0;393.0;152.0;-387.0;?;?
336.0;-121.0;24;97.0;407.0;164.0;-415.0;?;385.0
350.0;?;0;93.0;408.0;143.0;-371.0;403.0;369.0
?;-203.0;-62;86.0;398.0;137.0;-303.0;274.0;355.0
333.0;-172.0;53;104.0;408.0;138.0;-299.0;273.0;365.0
375.0;-67.0;-62;96.0;417.0;153.0;-330.0;275.0;361.0
426.0;?;-200;84.0;418.0;?;?;276.0;346.0
445.0;-93.0;-740;86.0;413.0;109.0;-362.0;273.0;359.0
455.0;-27.0;-1915;97.0;396.0;98.0;-358.0;?;411.0
463.0;?;-2128;124.0;400.0;99.0;-363.0;294.0;429.0
?;-96.0;-1950;110.0;413.0;103.0;-374.0;266.0;?
487.0;?;-1933;88.0;411.0;109.0;-382.0;?;404.0
443.0;-120.0;-1665;68.0;?;113.0;-376.0;308.0;385.0
422.0;-137.0;-1361;67.0;?;141.0;-392.0;325.0;329.0
433.0;?;-1073;66.0;366.0;157.0;-411.0;312.0;?
412.0;-86.0;-1019;70.0;367.0;?;-413.0;322.0;384.0
388.0;?;?;74.0;378.0;134.0;-424.0;329.0;384.0
358.0;-10.0;288;?;370.0;?;-405.0;301.0;?
303.0;-293.0;83;74.0;?;?;-376.0;286.0;362.0
292.0;?;-56;68.0;361.0;153.0;?;267.0;390.0
292.0;?;-41;56.0;349.0;159.0;-347.0;254.0;433.0
294.0;-412.0;-66;64.0;?;163.0;-336.0;244.0;397.0
326.0;-849.0;?;97.0;?;156.0;-330.0;?;408.0
325.0;-223.0;-121;99.0;380.0;129.0;?;244.0;401.0
309.0;?;?;110.0;?;122.0;-326.0;241.0;?
293.0;-111.0;-166;?;376.0;?;-300.0;220.0;365.0
297.0;-117.0;-94;?;409.0;198.0;-286.0;227.0;376.0
274.0;-213.0;-48;95.0;412.0;220.0;-297.0;220.0;341.0
305.0;-173.0;-81;78.0;410.0;219.0;-310.0;235.0;?
333.0;-144.0;-3;67.0;391.0;181.0;-310.0;243.0;385.0
360.0;-145.0;?;78.0;376.0;146.0;-312.0;?;394.0
392.0;-137.0;177;84.0;379.0;?;-313.0;221.0;?
?;-143.0;199;?;386.0;133.0;-331.0;232.0;?
?;-141.0;409;61.0;381.0;141.0;-355.0;249.0;391.0
?;-164.0;341;?;395.0;?;-360.0;?;353.0
418.0;-174.0;848;100.0;337.0;156.0;-355.0;252.0;381.0
417.0;?;1235;108.0;349.0;154.0;-364.0;265.0;350.0
?;-196.0;2899;195.0;561.0;156.0;?;254.0;379.0
304.0;-141.0;?;?;404.0;165.0;-361.0;?;?
248.0;-126.0;2191;319.0;334.0;169.0;?;262.0;405.0
391.0;-304.0;-669;321.0;364.0;?;?;245.0;194.0
505.0;-256.0;402;219.0;368.0;179.0;-365.0;252.0;111.0
611.0;-77.0;-43;250.0;?;?;-280.0;?;218.0
470.0;-136.0;-139;161.0;?;96.0;?;234.0;74.0
255.0;-167.0;89;277.0;400.0;?;?;239.0;156.0
201.0;-153.0;-54;283.0;447.0;457.0;-376.0;165.0;29.0
365.0;?;51;203.0;475.0;?;-376.0;468.0;321.0
281.0;?;-22;234.0;471.0;237.0;?;408.0;369.0
148.0;-116.0;14;247.0;425.0;194.0;-370.0;154.0;283.0
156.0;-104.0;15;265.0;391.0;231.0;-283.0;249.0;233.0
259.0;-23.0;6;236.0;404.0;?;-341.0;?;?
?;?;?;?;409.0;200.0;-403.0;?;?
321.0;-69.0;?;224.0;398.0;156.0;-388.0;281.0;328.0
301.0;?;-12;225.0;?;166.0;?;294.0;315.0
353.0;-145.0;-10;200.0;421.0;186.0;-331.0;267.0;265.0
378.0;-172.0;?;197.0;419.0;?;-334.0;298.0;285.0
383.0;?;-49;203.0;407.0;222.0;-342.0;305.0;324.0
387.0;-180.0;-102;208.0;452.0;201.0;-335.0;305.0;346.0
396.0;-163.0;-666;212.0;428.0;194.0;-319.0;301.0;318.0
?;-115.0;-1134;220.0;425.0;190.0;?;?;359.0
382.0;?;-1288;240.0;413.0;173.0;-364.0;228.0;?
395.0;-122.0;?;?;423.0;?;-371.0;256.0;360.0
?;?;-1851;237.0;?;154.0;?;?;383.0
?;-82.0;-1539;208.0;420.0;136.0;-378.0;?;394.0
430.0;-104.0;-1488;214.0;411.0;135.0;-379.0;302.0;395.0
427.0;-67.0;-1260;?;386.0;?;-405.0;286.0;375.0
438.0;?;-1002;?;336.0;150.0;-413.0;?;?
439.0;?;-754;118.0;?;132.0;-401.0;389.0;370.0
?;-180.0;-575;124.0;379.0;114.0;?;347.0;?
426.0;-36.0;?;112.0;349.0;112.0;-399.0;326.0;384.0
?;?;?;105.0;?;128.0;?;326.0;372.0
351.0;936.0;?;?;?;147.0;-390.0;328.0;362.0
341.0;302.0;-168;68.0;379.0;?;-359.0;318.0;391.0
?;-987.0;-94;72.0;368.0;169.0;-337.0;276.0;?
?;139.0;-9;?;361.0;171.0;-348.0;241.0;389.0
313.0;-64.0;-9;59.0;354.0;169.0;?;243.0;?
308.0;-225.0;14;29.0;342.0;174.0;-325.0;224.0;409.0
?;?;54;?;319.0;172.0;?;240.0;?
284.0;-147.0;52;36.0;339.0;171.0;-323.0;262.0;384.0
258.0;?;81;43.0;?;170.0;-328.0;260.0;422.0
260.0;-36.0;178;56.0;376.0;166.0;-310.0;251.0;415.0
255.0;-122.0;171;51.0;372.0;?;-290.0;238.0;425.0
?;-142.0;294;?;?;187.0;-277.0;198.0;395.0
?;?;214;43.0;?;192.0;-283.0;203.0;?
343.0;-156.0;363;45.0;330.0;190.0;?;174.0;439.0
361.0;-140.0;?;34.0;332.0;178.0;-281.0;184.0;457.0
401.0;-145.0;?;2.0;311.0;171.0;-295.0;206.0;436.0
375.0;-198.0;1406;21.0;326.0;163.0;-315.0;226.0;403.0
374.0;-208.0;1165;?;442.0;167.0;-309.0;222.0;384.0
348.0;-205.0;1924;72.0;400.0;197.0;-307.0;227.0;305.0
217.0;-170.0;?;139.0;?;211.0;-306.0;215.0;372.0
310.0;-268.0;1656;435.0;410.0;?;-307.0;200.0;?
408.0;-238.0;-781;512.0;407.0;202.0;?;163.0;305.0
531.0;-83.0;?;318.0;396.0;162.0;-327.0;161.0;225.0
543.0;-105.0;-216;272.0;461.0;125.0;?;160.0;231.0
376.0;-182.0;-43;?;374.0;264.0;?;?;179.0
296.0;-161.0;32;353.0;?;403.0;-336.0;136.0;110.0
373.0;-160.0;-80;241.0;394.0;?;-394.0;331.0;152.0
342.0;?;68;210.0;411.0;339.0;-550.0;?;283.0
?;-157.0;-56;?;410.0;261.0;?;250.0;369.0
169.0;?;34;195.0;388.0;260.0;-296.0;324.0;?
?;-153.0;11;191.0;?;289.0;?;208.0;?
225.0;-148.0;-9;210.0;368.0;311.0;-364.0;119.0;274.0
250.0;-110.0;-11;206.0;371.0;278.0;-341.0;255.0;354.0
275.0;?;-2;?;376.0;223.0;-306.0;?;361.0
256.0;?;-36;172.0;?;215.0;-283.0;168.0;337.0
277.0;-119.0;-31;174.0;383.0;236.0;-284.0;197.0;300.0
307.0;-99.0;-29;163.0;400.0;267.0;-293.0;184.0;327.0
336.0;-124.0;-75;?;417.0;275.0;-302.0;?;363.0
334.0;?;-41;166.0;398.0;253.0;-291.0;212.0;?
?;-137.0;-72;168.0;401.0;227.0;-290.0;211.0;334.0
363.0;-100.0;-6;143.0;433.0;212.0;?;?;349.0
?;-90.0;-497;172.0;446.0;200.0;-331.0;?;392.0
381.0;-73.0;-1627;163.0;?;205.0;-333.0;224.0;?
379.0;-81.0;-2008;160.0;390.0;209.0;?;215.0;?
?;-59.0;-1986;?;?;209.0;-350.0;240.0;407.0
412.0;-97.0;-1943;165.0;417.0;186.0;-369.0;265.0;414.0
452.0;-164.0;-1596;164.0;?;160.0;-386.0;255.0;420.0
450.0;-126.0;-1344;157.0;414.0;150.0;-391.0;?;416.0
423.0;-137.0;?;147.0;384.0;?;?;289.0;401.0
437.0;?;-1145;129.0;?;172.0;-396.0;319.0;443.0
?;-318.0;-996;115.0;?;?;-411.0;316.0;400.0
?;-213.0;-795;115.0;369.0;152.0;-403.0;327.0;377.0
432.0;444.0;-649;96.0;330.0;149.0;-388.0;?;344.0
?;-991.0;-505;?;324.0;?;-402.0;278.0;?
376.0;-605.0;?;84.0;329.0;159.0;-403.0;297.0;371.0
353.0;66.0;-106;77.0;?;179.0;-369.0;272.0;?
350.0;?;-167;74.0;329.0;182.0;-371.0;280.0;418.0
318.0;-195.0;?;65.0;?;?;-360.0;?;?
273.0;-124.0;67;?;?;180.0;-346.0;240.0;435.0
272.0;-159.0;100;23.0;300.0;191.0;-329.0;231.0;434.0
273.0;-32.0;99;13.0;?;186.0;-317.0;220.0;416.0
268.0;-97.0;129;18.0;?;183.0;-299.0;?;407.0
240.0;-119.0;122;44.0;330.0;196.0;-269.0;?;383.0
213.0;-110.0;153;33.0;347.0;213.0;-242.0;205.0;422.0
184.0;?;-36;2.0;386.0;?;?;190.0;?
198.0;-167.0;53;69.0;371.0;227.0;?;179.0;400.0
242.0;-179.0;296;?;386.0;223.0;-254.0;146.0;399.0
?;-164.0;50;77.0;?;?;-239.0;162.0;430.0
296.0;-170.0;581;78.0;393.0;159.0;-244.0;152.0;461.0
333.0;-179.0;-185;?;392.0;?;?;?;?
?;-211.0;1175;59.0;401.0;185.0;-287.0;164.0;431.0
435.0;-245.0;855;83.0;339.0;182.0;?;218.0;431.0
?;-167.0;1064;165.0;491.0;179.0;-309.0;230.0;?
458.0;-100.0;9111;105.0;448.0;185.0;-310.0;229.0;299.0
295.0;-109.0;3551;153.0;332.0;181.0;-351.0;229.0;348.0
?;-134.0;?;567.0;388.0;181.0;?;?;354.0
570.0;-76.0;1075;446.0;?;202.0;?;204.0;189.0
683.0;-38.0;75;339.0;?;158.0;-400.0;204.0;?
512.0;-185.0;-369;271.0;435.0;158.0;-367.0;215.0;250.0
310.0;?;352;?;395.0;352.0;-465.0;253.0;146.0
318.0;-244.0;-353;326.0;388.0;?;-397.0;171.0;207.0
377.0;-199.0;183;205.0;?;495.0;-413.0;342.0;324.0
270.0;-217.0;-81;?;394.0;317.0;-491.0;414.0;459.0
187.0;-163.0;-29;192.0;405.0;?;-382.0;168.0;367.0
102.0;-72.0;35;192.0;375.0;247.0;-310.0;296.0;280.0
115.0;?;-7;179.0;375.0;284.0;-388.0;156.0;295.0
191.0;?;?;168.0;401.0;302.0;-358.0;131.0;?
160.0;-35.0;10;189.0;408.0;254.0;?;273.0;?
124.0;-71.0;1;174.0;422.0;222.0;-277.0;258.0;367.0
?;?;?;200.0;458.0;236.0;-264.0;170.0;284.0
223.0;-85.0;-2;217.0;444.0;263.0;-261.0;?;296.0
?;-125.0;-34;186.0;490.0;250.0;-256.0;201.0;384.0
307.0;-90.0;-47;171.0;478.0;231.0;-263.0;232.0;356.0
350.0;-129.0;-30;202.0;466.0;?;-286.0;?;?
384.0;-152.0;?;173.0;?;185.0;-300.0;?;390.0
451.0;-160.0;-151;?;463.0;?;-334.0;255.0;448.0
507.0;-161.0;-190;149.0;437.0;170.0;-384.0;256.0;405.0
529.0;-171.0;?;143.0;446.0;163.0;-407.0;295.0;?
497.0;-156.0;-1300;127.0;436.0;172.0;-421.0;335.0;499.0
492.0;-74.0;-1264;115.0;430.0;195.0;-448.0;?;444.0
482.0;?;-1349;114.0;?;203.0;-465.0;?;?
457.0;-44.0;?;?;409.0;?;-459.0;333.0;473.0
439.0;-101.0;-1515;?;388.0;186.0;?;320.0;415.0
?;-45.0;-1422;?;358.0;158.0;-435.0;270.0;399.0
409.0;-52.0;-1388;155.0;349.0;125.0;?;312.0;?
391.0;-284.0;-1234;133.0;341.0;111.0;-442.0;?;432.0
379.0;?;-964;128.0;341.0;126.0;?;322.0;391.0
378.0;1425.0;-776;?;?;150.0;-400.0;334.0;384.0
346.0;-1326.0;?;91.0;358.0;173.0;-371.0;355.0;415.0
?;-235.0;?;109.0;?;193.0;-343.0;?;403.0
236.0;?;67;64.0;329.0;209.0;-337.0;?;398.0
297.0;-225.0;-13;63.0;310.0;200.0;-346.0;276.0;414.0
291.0;-290.0;-64;?;?;177.0;-322.0;269.0;404.0
307.0;?;-120;70.0;331.0;168.0;-299.0;244.0;399.0
306.0;-57.0;?;?;326.0;167.0;-296.0;219.0;366.0
273.0;?;-63;96.0;347.0;175.0;?;222.0;391.0
254.0;-137.0;?;86.0;383.0;197.0;-293.0;?;?
?;-109.0;?;?;358.0;227.0;?;197.0;414.0
243.0;?;21;89.0;362.0;256.0;-265.0;196.0;431.0
?;-137.0;-3;81.0;354.0;267.0;?;181.0;403.0
243.0;-198.0;?;100.0;?;?;-237.0;?;380.0
299.0;-182.0;249;88.0;352.0;254.0;-268.0;?;356.0
?;-181.0;189;77.0;358.0;204.0;?;149.0;371.0
321.0;-152.0;288;91.0;342.0;?;?;180.0;?
336.0;-155.0;?;67.0;348.0;181.0;-306.0;174.0;395.0
367.0;-157.0;?;69.0;340.0;192.0;-301.0;183.0;392.0
353.0;-174.0;320;?;319.0;213.0;-310.0;215.0;?
370.0;-137.0;-27;107.0;336.0;?;?;?;?
377.0;?;?;85.0;314.0;229.0;-308.0;?;397.0
385.0;-162.0;1522;63.0;355.0;231.0;-304.0;202.0;337.0
411.0;-116.0;5084;124.0;484.0;240.0;?;?;348.0
363.0;-11.0;9651;130.0;397.0;226.0;-321.0;191.0;311.0
291.0;134.0;3614;332.0;369.0;203.0;?;204.0;460.0
468.0;-148.0;-1294;433.0;384.0;173.0;-358.0;228.0;192.0
608.0;-279.0;511;?;333.0;183.0;-342.0;192.0;111.0
657.0;-179.0;-94;?;362.0;152.0;-297.0;174.0;273.0
534.0;-307.0;-15;216.0;298.0;236.0;-311.0;159.0;?
334.0;?;132;222.0;307.0;407.0;-440.0;169.0;215.0
234.0;-158.0;-131;214.0;?;567.0;-445.0;112.0;?
255.0;-122.0;78;?;417.0;537.0;-498.0;389.0;250.0
307.0;-104.0;-80;207.0;506.0;?;-509.0;274.0;373.0
474.0;-46.0;-3;227.0;688.0;285.0;-361.0;203.0;374.0
746.0;?;-2;211.0;786.0;257.0;-229.0;199.0;?
930.0;?;-28;219.0;974.0;253.0;-277.0;?;?
1085.0;-133.0;-2;?;1008.0;?;-356.0;135.0;406.0
1162.0;-130.0;-5;182.0;?;333.0;-462.0;?;?
1241.0;-180.0;-14;?;1013.0;358.0;-513.0;163.0;392.0
1432.0;-159.0;?;166.0;1059.0;298.0;-762.0;?;374.0
1469.0;-180.0;16;239.0;1008.0;253.0;-954.0;153.0;355.0
1340.0;-166.0;28;189.0;965.0;173.0;-1099.0;197.0;334.0
1075.0;?;34;243.0;926.0;155.0;-1107.0;250.0;459.0
956.0;-111.0;-31;217.0;976.0;196.0;-1147.0;326.0;430.0
988.0;-115.0;-24;258.0;880.0;200.0;-1173.0;?;411.0
755.0;-172.0;13;284.0;876.0;179.0;-1180.0;516.0;430.0
?;-125.0;-25;266.0;740.0;111.0;-1135.0;523.0;?
?;-113.0;0;263.0;728.0;108.0;-1006.0;?;406.0
460.0;-110.0;19;234.0;550.0;121.0;-927.0;546.0;424.0
383.0;-112.0;-7;222.0;466.0;70.0;-823.0;560.0;405.0
?;-115.0;-19;179.0;382.0;?;-843.0;622.0;416.0
253.0;-174.0;8;185.0;328.0;-32.0;-776.0;674.0;415.0
?;-131.0;41;218.0;277.0;-74.0;?;735.0;426.0
42.0;?;-20;?;249.0;-89.0;-663.0;730.0;?
118.0;-17.0;1;259.0;286.0;-73.0;-576.0;762.0;385.0
103.0;-407.0;18;238.0;276.0;?;-365.0;825.0;421.0
250.0;858.0;?;247.0;?;-70.0;-301.0;?;411.0
?;834.0;5;277.0;308.0;?;-367.0;?;418.0
520.0;-1022.0;-5;274.0;?;-149.0;-288.0;846.0;407.0
?;-693.0;5;282.0;322.0;?;-288.0;733.0;415.0
584.0;61.0;-25;276.0;337.0;-264.0;-403.0;?;430.0
?;-168.0;?;275.0;348.0;?;-434.0;812.0;?
545.0;?;14;246.0;341.0;-298.0;-543.0;842.0;492.0
490.0;-140.0;?;276.0;378.0;-292.0;-578.0;847.0;394.0
609.0;?;44;301.0;427.0;-253.0;-572.0;?;421.0
597.0;-191.0;36;?;388.0;-230.0;-566.0;886.0;425.0
?;-209.0;-13;271.0;399.0;-207.0;-569.0;907.0;?
553.0;-176.0;?;236.0;?;-213.0;-558.0;914.0;394.0
615.0;-132.0;30;?;?;-225.0;-617.0;908.0;?
646.0;-130.0;16;242.0;420.0;-218.0;?;?;?
615.0;?;-8;221.0;421.0;-198.0;?;926.0;432.0
530.0;-116.0;11;231.0;408.0;-197.0;-649.0;958.0;442.0
471.0;-137.0;7;231.0;401.0;?;-631.0;898.0;434.0
418.0;-145.0;-9;?;398.0;-203.0;?;893.0;429.0
391.0;-153.0;-7;215.0;331.0;-192.0;-654.0;881.0;403.0
140.0;-140.0;-7;?;?;?;-604.0;?;424.0
?;-135.0;?;236.0;413.0;-173.0;?;865.0;?
?;-136.0;23;228.0;543.0;-165.0;-535.0;858.0;411.0
70.0;-136.0;-17;187.0;546.0;-109.0;-534.0;874.0;432.0
126.0;-137.0;?;236.0;?;-21.0;?;876.0;437.0
174.0;-157.0;?;194.0;734.0;32.0;-308.0;848.0;398.0
408.0;-162.0;-40;?;?;30.0;?;805.0;414.0
?;-154.0;3;192.0;964.0;?;-430.0;740.0;433.0
?;-154.0;15;170.0;992.0;-57.0;-457.0;698.0;400.0
1004.0;?;?;193.0;1010.0;?;-342.0;671.0;473.0
984.0;?;5;155.0;673.0;-130.0;-447.0;?;?
1011.0;-174.0;6;?;420.0;-147.0;?;680.0;?
?;-149.0;25;196.0;542.0;-33.0;-1168.0;?;422.0
844.0;-157.0;?;231.0;349.0;?;-1236.0;789.0;450.0
1159.0;-160.0;9;205.0;?;87.0;-950.0;782.0;414.0
1462.0;-146.0;37;?;?;87.0;-959.0;828.0;423.0
