InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax
?;-10;-431.0;-670.0;?;-581.0;645;-3
588.0;-1;-433.0;-667.0;17;-585.0;648;6
584.0;-13;-433.0;-665.0;21;-588.0;645;1
581.0;-26;-430.0;-664.0;20;-589.0;641;-4
?;14;?;-666.0;20;-586.0;645;-1
547.0;-10;-433.0;-667.0;19;-584.0;648;?
514.0;?;-434.0;-668.0;19;-582.0;?;3
488.0;-1;-436.0;-668.0;21;-579.0;642;3
?;-28;-438.0;?;18;-578.0;644;?
470.0;-8;-439.0;-671.0;24;-577.0;642;?
471.0;-20;-443.0;?;19;-573.0;643;-1
475.0;-34;-450.0;?;21;-569.0;?;-13
478.0;-25;-451.0;-677.0;14;-564.0;648;3
472.0;?;-457.0;-680.0;16;-560.0;640;-11
?;?;-457.0;-683.0;25;-555.0;?;-16
439.0;-72;?;-686.0;-23;-550.0;670;49
418.0;-65;-464.0;-689.0;40;-545.0;?;-54
402.0;?;-465.0;-691.0;-33;-539.0;652;?
391.0;-515;-471.0;?;?;?;694;343
390.0;649;-470.0;-695.0;11;-530.0;?;-38
398.0;812;-471.0;-697.0;99;-530.0;255;-216
412.0;?;-472.0;-698.0;-19;-531.0;453;-120
428.0;186;?;-699.0;14;?;?;-31
444.0;155;-471.0;?;105;-536.0;667;138
?;531;-472.0;?;48;?;732;84
471.0;745;-471.0;?;71;-543.0;?;43
487.0;?;-466.0;-701.0;270;-547.0;833;80
494.0;452;-468.0;-701.0;133;?;385;-141
504.0;269;-468.0;-701.0;-3;-555.0;94;-192
514.0;356;?;-701.0;85;-557.0;262;-33
521.0;271;?;-700.0;-1;-560.0;?;-45
?;68;?;-699.0;?;?;241;9
532.0;?;?;-699.0;56;-560.0;183;40
537.0;221;-470.0;-699.0;16;-559.0;161;?
540.0;274;-469.0;-699.0;105;-557.0;136;?
541.0;?;-472.0;-701.0;144;-554.0;68;?
540.0;186;-470.0;-703.0;18;-551.0;186;-121
539.0;-66;-471.0;?;26;-548.0;186;?
?;-262;-467.0;-708.0;68;?;97;18
535.0;-169;?;-709.0;54;-546.0;?;?
535.0;69;-463.0;-710.0;73;?;?;?
?;229;-460.0;-712.0;47;?;140;52
524.0;389;-457.0;?;85;-542.0;139;-4
520.0;392;-456.0;-713.0;118;-543.0;123;-38
514.0;299;-455.0;-712.0;-53;-543.0;299;?
506.0;276;-457.0;?;261;?;-38;-53
499.0;280;-455.0;?;?;-546.0;341;32
492.0;278;-459.0;-706.0;270;?;-49;-37
487.0;259;-456.0;?;428;-547.0;?;-123
485.0;210;-460.0;-701.0;?;-548.0;?;?
?;-15;-466.0;-698.0;3042;-547.0;-2890;-447
482.0;?;-464.0;-696.0;-709;-547.0;1070;127
482.0;?;?;?;-3745;-545.0;4699;599
489.0;-249;-473.0;?;481;-543.0;?;?
?;52;-479.0;-693.0;162;?;?;43
504.0;17;-483.0;-690.0;?;-539.0;?;71
522.0;-10;-491.0;-681.0;345;-543.0;440;-2
537.0;7;-493.0;-678.0;-206;-547.0;?;29
553.0;?;-492.0;-675.0;131;?;522;?
569.0;18;-488.0;-675.0;?;-553.0;675;-27
575.0;?;-486.0;-678.0;4;?;667;?
578.0;-21;-484.0;-682.0;58;?;?;-38
583.0;14;-482.0;?;8;-553.0;672;-23
?;?;?;-685.0;25;-555.0;646;-23
589.0;?;?;-684.0;30;?;641;-16
?;-1;-482.0;-683.0;14;-558.0;655;-18
589.0;-1;-479.0;?;11;?;666;-10
588.0;11;-479.0;-685.0;41;-559.0;?;-13
585.0;22;-476.0;-686.0;-19;-559.0;688;-16
583.0;-5;-474.0;?;55;-559.0;623;0
577.0;?;-473.0;-687.0;?;-560.0;826;9
569.0;202;-470.0;?;-435;-560.0;1072;16
?;239;-469.0;-691.0;-103;-559.0;734;37
556.0;63;-464.0;-693.0;24;?;599;?
?;66;-463.0;-695.0;-52;-558.0;?;74
545.0;188;-458.0;-697.0;161;-557.0;309;26
541.0;154;-459.0;?;170;-555.0;264;-61
538.0;0;-451.0;-703.0;108;-554.0;213;?
532.0;?;-449.0;?;172;?;?;?
529.0;-109;-450.0;?;118;-551.0;219;-66
525.0;-173;-444.0;?;163;?;-25;?
522.0;?;-442.0;-715.0;?;-546.0;-36;26
?;240;-441.0;?;17;-543.0;294;91
?;?;-441.0;-720.0;46;-540.0;218;12
520.0;53;-442.0;-721.0;?;-537.0;211;-19
?;56;?;-721.0;-25;-536.0;276;?
?;-2;-448.0;-720.0;25;?;222;-34
522.0;-56;-453.0;-719.0;9;-533.0;243;-82
524.0;-133;?;-718.0;13;-533.0;?;-85
?;-236;-459.0;-717.0;61;-532.0;190;-49
?;?;-463.0;-716.0;65;-531.0;158;9
531.0;-125;-462.0;-715.0;63;-531.0;?;?
532.0;-124;?;-714.0;8;?;197;47
?;39;?;-713.0;113;?;?;19
531.0;130;-465.0;-713.0;12;?;206;?
534.0;155;-465.0;-711.0;51;-531.0;172;11
533.0;250;?;-709.0;254;-532.0;?;-32
533.0;-155;-467.0;?;?;?;?;21
534.0;?;-467.0;-705.0;640;-536.0;?;-87
532.0;-386;-466.0;-703.0;-431;?;?;8
?;?;-469.0;?;1341;?;-918;-284
530.0;19;-470.0;?;2292;-539.0;?;?
527.0;-5439;-471.0;-695.0;-6144;-540.0;4561;837
526.0;?;-470.0;-692.0;-3905;-540.0;?;576
524.0;1037;-473.0;-690.0;?;?;-371;?
524.0;-553;-473.0;-688.0;-735;-538.0;1212;11
522.0;102;-477.0;?;157;-537.0;572;-3
526.0;80;?;-687.0;147;-538.0;563;?
?;?;-478.0;-687.0;-228;-532.0;827;34
535.0;159;-477.0;-687.0;226;-528.0;509;-13
543.0;-109;-481.0;-686.0;-106;?;740;?
?;29;-477.0;-687.0;82;-520.0;604;3
546.0;?;-478.0;-689.0;14;?;658;6
546.0;?;-480.0;?;?;-511.0;?;6
548.0;-44;-480.0;-688.0;29;-507.0;?;7
550.0;-41;-484.0;-685.0;17;?;654;-2
550.0;-4;-487.0;-683.0;?;-506.0;?;8
?;-10;-488.0;-681.0;?;-506.0;653;6
?;-29;-490.0;-680.0;14;-506.0;661;2
550.0;47;-491.0;-679.0;?;-508.0;667;3
544.0;58;-491.0;-678.0;?;?;670;-18
546.0;?;-491.0;-677.0;-22;-510.0;714;21
543.0;99;-490.0;-676.0;-107;-512.0;?;-85
541.0;338;-493.0;-675.0;?;-512.0;1009;-318
537.0;322;-491.0;-675.0;-384;?;1074;?
533.0;?;-493.0;-674.0;-37;?;?;69
526.0;44;-494.0;-674.0;68;?;?;17
?;?;-494.0;-675.0;-33;?;487;-80
?;-144;?;-676.0;44;-515.0;358;?
512.0;-181;?;?;?;-516.0;207;-11
510.0;-77;-492.0;-679.0;?;-516.0;150;-52
506.0;-146;-491.0;-682.0;93;?;?;?
504.0;-262;?;-685.0;?;-519.0;154;-52
?;?;-486.0;-689.0;?;?;132;-20
500.0;-168;-486.0;?;?;-522.0;152;?
?;-170;-483.0;-695.0;65;-523.0;155;20
504.0;-139;?;-699.0;?;-524.0;161;5
508.0;4;?;-701.0;47;?;174;39
511.0;75;-482.0;-705.0;42;-525.0;177;26
516.0;46;-481.0;-708.0;55;-526.0;163;-29
520.0;18;-481.0;-711.0;?;-526.0;148;-39
523.0;-21;-475.0;-714.0;52;?;164;-25
522.0;-72;-474.0;?;?;?;192;-2
524.0;-51;-468.0;-720.0;?;-527.0;187;?
525.0;87;-465.0;-722.0;75;-527.0;153;47
524.0;199;-462.0;-724.0;44;?;?;35
524.0;159;?;?;110;-528.0;120;11
522.0;?;-457.0;-725.0;?;-529.0;185;20
522.0;304;-455.0;-725.0;66;-530.0;223;27
521.0;?;-455.0;?;195;-531.0;?;-15
518.0;?;-450.0;?;-73;-532.0;390;-58
516.0;131;?;-727.0;625;-532.0;-345;-193
513.0;-277;?;-727.0;824;-533.0;-531;-348
512.0;-206;-442.0;-727.0;1044;-534.0;-783;-306
512.0;-345;-446.0;-724.0;2151;-534.0;-1987;-146
510.0;?;-446.0;-721.0;571;-533.0;?;-26
507.0;-95;-448.0;?;-379;-532.0;1059;-25
507.0;30;-455.0;-715.0;261;-530.0;435;?
508.0;-87;-457.0;-710.0;-22;-533.0;792;?
?;36;-457.0;-707.0;?;-531.0;643;18
?;31;-456.0;-708.0;81;-529.0;632;?
524.0;?;-450.0;?;5;-529.0;707;27
525.0;?;-446.0;-711.0;71;-527.0;625;26
527.0;-43;-445.0;-714.0;17;?;682;21
529.0;-37;-437.0;-718.0;44;-523.0;647;-1
529.0;-42;?;-722.0;36;-522.0;?;?
526.0;-36;-433.0;-725.0;?;-519.0;661;?
527.0;-16;?;?;?;-518.0;662;?
526.0;-39;-433.0;-725.0;20;-519.0;660;16
527.0;-28;-437.0;-725.0;12;-520.0;675;-3
530.0;15;-437.0;-724.0;?;-521.0;?;?
?;?;-440.0;?;22;-522.0;664;18
524.0;1;-439.0;-724.0;-1;-523.0;676;?
529.0;-36;?;-722.0;34;-524.0;635;11
527.0;42;-439.0;-721.0;-34;-526.0;703;?
525.0;-8;-442.0;-719.0;58;-527.0;?;77
526.0;76;-443.0;-718.0;-99;-528.0;762;20
523.0;244;-442.0;?;?;-529.0;?;-233
521.0;12;-447.0;-715.0;?;-529.0;677;225
519.0;-40;?;-714.0;?;-529.0;526;488
515.0;-86;-447.0;?;34;?;578;129
509.0;?;-449.0;-715.0;147;-528.0;343;-17
508.0;160;-446.0;-715.0;?;-527.0;328;-49
502.0;-82;-447.0;-716.0;39;-528.0;368;-118
?;?;-447.0;-717.0;73;-527.0;262;-74
?;-136;-448.0;-719.0;95;?;179;-65
494.0;-289;-447.0;-721.0;112;-529.0;?;-64
493.0;-338;?;-721.0;92;?;154;9
?;-349;-446.0;-722.0;88;?;139;36
492.0;-313;-439.0;-724.0;76;-534.0;104;?
?;-293;-442.0;-726.0;71;-535.0;124;34
499.0;-186;?;?;55;-534.0;196;?
500.0;36;-438.0;-731.0;71;-533.0;133;57
502.0;236;-437.0;-734.0;88;?;104;?
504.0;250;?;-736.0;51;-534.0;?;-7
?;172;-430.0;?;29;?;182;-4
?;130;?;-740.0;39;-538.0;178;-27
506.0;35;-430.0;-741.0;53;-538.0;159;-62
509.0;?;-425.0;-742.0;18;-538.0;213;-51
512.0;-57;-426.0;?;31;-538.0;222;-106
512.0;-284;-424.0;-742.0;84;-538.0;116;?
512.0;80;?;-741.0;87;-537.0;133;88
512.0;221;-423.0;-741.0;?;-538.0;?;?
509.0;293;-425.0;?;-18;-538.0;204;243
509.0;330;-421.0;?;125;?;211;?
509.0;505;-421.0;-737.0;169;-539.0;55;78
?;-53;-419.0;-735.0;410;-541.0;?;?
502.0;-565;-419.0;-733.0;1285;-543.0;-990;?
?;?;-414.0;?;1290;-545.0;-1008;554
?;-1767;-414.0;-729.0;?;-547.0;?;-3346
?;-2011;?;-728.0;0;-548.0;3047;-3927
496.0;?;-412.0;-727.0;?;-548.0;254;549
493.0;-19;-411.0;-727.0;-2;-547.0;722;0
?;-114;-413.0;?;8;-551.0;784;-207
494.0;215;-407.0;-723.0;26;-550.0;505;223
502.0;-31;-404.0;-723.0;6;?;?;-200
509.0;?;-399.0;?;?;-553.0;587;?
511.0;-1;-392.0;-725.0;?;-554.0;691;-41
514.0;-1;-391.0;-727.0;17;-555.0;658;-14
516.0;14;-384.0;-728.0;19;-558.0;?;?
518.0;7;-378.0;?;10;-561.0;?;?
519.0;3;?;-728.0;?;-562.0;?;10
520.0;-11;-376.0;-728.0;21;-564.0;?;-11
523.0;?;-379.0;-726.0;19;-567.0;?;-3
529.0;?;-382.0;?;20;-569.0;658;?
532.0;?;-386.0;-720.0;13;-570.0;665;-2
537.0;50;-396.0;-717.0;19;-571.0;660;9
540.0;59;-401.0;-716.0;19;-571.0;?;-27
542.0;-4;-402.0;-713.0;13;-572.0;652;4
?;?;?;-712.0;?;-572.0;?;-18
543.0;?;-406.0;-711.0;-9;-572.0;683;-15
?;0;-408.0;-711.0;?;-573.0;?;85
541.0;349;-408.0;?;-104;-574.0;806;-113
541.0;-106;-408.0;-711.0;-40;-575.0;?;3
539.0;-706;-405.0;-712.0;?;-575.0;?;250
535.0;-602;-405.0;-712.0;17;-576.0;613;215
531.0;-622;-404.0;-712.0;15;-576.0;553;185
524.0;-485;-401.0;?;?;-576.0;?;-152
518.0;-548;-403.0;?;56;-575.0;368;?
510.0;-493;-402.0;-714.0;79;?;312;14
504.0;-240;-404.0;-716.0;126;-571.0;232;-60
?;-312;-407.0;-718.0;?;-568.0;193;?
?;-248;-407.0;-721.0;103;-565.0;173;?
488.0;-233;-404.0;-724.0;89;-561.0;192;71
486.0;?;?;-728.0;153;?;73;-25
?;21;?;-732.0;79;-555.0;94;-46
?;12;-400.0;-736.0;?;-552.0;?;39
483.0;166;-400.0;?;94;-550.0;156;-2
482.0;?;?;-743.0;21;?;128;?
480.0;105;?;?;-28;-545.0;?;-105
482.0;?;-397.0;-750.0;36;-542.0;191;-57
?;?;-396.0;?;?;-537.0;165;?
482.0;?;-394.0;-757.0;25;?;?;42
?;?;-395.0;-758.0;57;?;?;24
487.0;86;?;-760.0;64;-531.0;172;?
?;-40;-393.0;?;51;-531.0;152;-64
486.0;-47;-394.0;?;9;-531.0;185;-3
487.0;39;?;-760.0;?;-531.0;128;34
?;223;-388.0;-760.0;32;?;230;85
485.0;425;-387.0;-760.0;43;-532.0;208;48
485.0;547;-389.0;-760.0;107;-533.0;?;-64
483.0;595;-386.0;-759.0;?;-534.0;400;-2
481.0;420;-388.0;-759.0;342;-535.0;-144;-182
?;?;?;-758.0;19;-535.0;323;?
479.0;959;-382.0;-756.0;993;-536.0;-988;-318
476.0;99;-383.0;-756.0;?;-536.0;-1578;-313
473.0;-108;-380.0;-755.0;-1069;-536.0;2785;?
470.0;-581;-384.0;-756.0;-1027;-534.0;1972;?
466.0;-725;-384.0;-756.0;?;-533.0;-146;-779
467.0;?;-382.0;-755.0;-238;-532.0;?;274
466.0;37;?;-750.0;90;-537.0;562;-77
475.0;-121;-385.0;?;40;-541.0;636;-56
484.0;?;?;-743.0;-41;-544.0;762;27
?;2;?;-740.0;65;-548.0;581;-81
?;-30;?;-737.0;-18;-552.0;724;17
509.0;?;-368.0;-736.0;34;-554.0;631;-51
506.0;-20;-362.0;-736.0;15;-555.0;?;-39
503.0;7;-365.0;-734.0;27;-555.0;658;-37
506.0;33;-370.0;?;23;-554.0;657;-18
505.0;?;-374.0;-729.0;22;-553.0;653;-14
507.0;9;-385.0;-724.0;26;-553.0;652;-12
507.0;13;-395.0;-719.0;19;-554.0;?;-9
510.0;21;-404.0;-714.0;17;-555.0;659;-18
511.0;12;-412.0;-709.0;?;-556.0;656;?
511.0;?;?;?;13;?;664;-19
510.0;-11;-429.0;?;17;-559.0;662;-15
510.0;-11;-445.0;-695.0;21;?;655;-9
511.0;-8;-454.0;-691.0;19;?;657;?
512.0;?;-460.0;-686.0;20;-547.0;658;-1
519.0;-9;-469.0;-682.0;?;-546.0;656;-7
533.0;-6;-478.0;-677.0;?;-544.0;659;-6
546.0;13;-480.0;-673.0;18;-544.0;656;-1
559.0;21;-485.0;-670.0;22;-545.0;653;?
573.0;3;-491.0;-667.0;20;?;659;?
586.0;-10;-490.0;-665.0;17;-546.0;?;-2
603.0;0;?;-663.0;20;-547.0;658;-4
626.0;-3;-496.0;-661.0;18;-548.0;657;2
651.0;?;-497.0;-658.0;19;-548.0;657;?
672.0;-3;-500.0;-656.0;19;-547.0;657;?
?;-17;?;?;19;-546.0;658;?
700.0;10;?;-653.0;?;-545.0;660;-8
?;-6;-500.0;-653.0;21;-544.0;660;0
708.0;-3;-499.0;-652.0;25;-544.0;655;4
708.0;?;-496.0;?;?;-544.0;654;0
?;?;-496.0;-652.0;23;?;655;-2
?;-18;-497.0;-651.0;24;-544.0;653;?
705.0;-20;-494.0;-650.0;21;-544.0;654;?
?;18;-495.0;-649.0;?;-544.0;657;1
706.0;5;-493.0;-648.0;?;-544.0;?;7
704.0;4;-495.0;-648.0;?;-544.0;659;5
703.0;-15;-496.0;-649.0;16;-544.0;?;?
701.0;-37;?;-651.0;19;-544.0;?;-1
699.0;19;?;-652.0;?;-544.0;656;?
698.0;28;-489.0;-653.0;?;-544.0;660;?
698.0;5;-493.0;?;18;-545.0;661;-4
695.0;19;-491.0;-652.0;24;-545.0;654;-3
694.0;-2;-497.0;-653.0;20;-546.0;655;-2
?;-7;-495.0;-653.0;?;?;658;?
694.0;1;-495.0;-653.0;20;?;660;?
696.0;-38;-496.0;-653.0;?;-547.0;660;0
695.0;-17;-500.0;-652.0;?;-547.0;658;?
693.0;?;?;-652.0;15;-548.0;664;0
690.0;-8;-502.0;-652.0;?;-549.0;666;2
683.0;23;-501.0;-653.0;19;?;?;4
671.0;21;-498.0;-654.0;20;-551.0;660;9
649.0;26;-498.0;-655.0;16;-553.0;659;10
621.0;25;-494.0;-658.0;14;-554.0;?;?
589.0;-5;-486.0;-660.0;?;-556.0;659;1
?;?;-485.0;-664.0;21;-557.0;656;4
526.0;?;-475.0;-668.0;20;-557.0;654;-2
497.0;13;-470.0;-672.0;11;-557.0;658;-2
474.0;?;-465.0;-676.0;13;-559.0;657;0
469.0;-2;?;-678.0;21;-561.0;655;1
467.0;?;-453.0;-682.0;23;?;656;?
477.0;-13;-449.0;-686.0;22;-564.0;?;?
494.0;1;?;-689.0;18;-566.0;?;?
?;1;-437.0;-693.0;14;?;662;?
526.0;-10;?;-698.0;21;-569.0;656;-1
534.0;-6;-424.0;-700.0;25;-570.0;657;1
?;0;-422.0;-702.0;18;-571.0;?;?
518.0;-13;-421.0;?;16;-570.0;?;6
504.0;12;-428.0;-701.0;21;-568.0;656;6
493.0;18;-431.0;-699.0;21;?;654;-1
489.0;-45;-434.0;-697.0;19;?;651;-6
487.0;18;-442.0;?;21;-563.0;654;?
?;50;-443.0;-692.0;?;-562.0;659;3
493.0;-18;-447.0;-690.0;19;-561.0;?;-1
496.0;21;?;-690.0;18;-561.0;658;-4
495.0;29;?;-689.0;17;?;660;?
497.0;-11;?;-689.0;18;-561.0;657;2
502.0;10;?;-688.0;22;-562.0;?;?
505.0;34;-451.0;?;24;-563.0;?;0
?;-1;-452.0;?;20;-565.0;656;4
511.0;-31;-452.0;?;?;?;?;?
515.0;-4;-450.0;-687.0;25;-568.0;650;7
518.0;-1;-448.0;-687.0;19;-570.0;654;3
523.0;9;-449.0;-687.0;17;-572.0;657;?
527.0;-1;?;-686.0;22;?;652;5
530.0;-19;?;-686.0;20;-576.0;?;4
537.0;0;-447.0;-685.0;?;-577.0;662;5
542.0;-11;-449.0;-685.0;13;-577.0;657;-3
546.0;16;-445.0;-684.0;16;-578.0;654;-1
552.0;?;-448.0;?;?;-578.0;657;1
551.0;-9;?;-684.0;18;?;656;0
553.0;-9;-447.0;-685.0;19;-577.0;656;-1
550.0;-1;-449.0;-685.0;?;-576.0;660;-6
545.0;19;-451.0;-686.0;16;?;654;?
540.0;8;-451.0;-686.0;22;-572.0;649;?
539.0;6;-451.0;-686.0;21;-572.0;652;-1
538.0;39;-450.0;-686.0;?;-571.0;?;0
535.0;26;?;?;17;-571.0;655;-1
532.0;1;-449.0;-686.0;20;-571.0;?;?
?;-6;-446.0;-686.0;16;-572.0;663;5
527.0;-18;-448.0;-686.0;16;-573.0;?;0
527.0;11;?;-686.0;14;-573.0;660;-6
?;26;-447.0;-686.0;18;?;657;-1
522.0;-12;-445.0;-686.0;27;-572.0;650;2
524.0;-4;-449.0;-686.0;23;-572.0;?;0
524.0;26;-445.0;-686.0;?;?;?;1
528.0;26;?;-685.0;18;-572.0;659;3
532.0;?;-449.0;?;22;-571.0;656;4
534.0;-41;-450.0;-684.0;?;-570.0;?;1
533.0;-8;-452.0;-684.0;20;?;660;-2
538.0;?;-453.0;-684.0;?;?;658;1
537.0;-11;-451.0;-684.0;19;-569.0;656;-3
?;-28;-456.0;-683.0;15;-569.0;655;-9
?;-10;-458.0;-682.0;18;-570.0;658;-2
540.0;-2;?;-683.0;18;-570.0;658;4
538.0;?;-454.0;-683.0;16;-570.0;654;-1
?;?;-455.0;?;15;?;657;-4
539.0;1;-452.0;?;?;-570.0;657;0
537.0;-21;-452.0;-687.0;15;-570.0;661;-3
536.0;?;-454.0;?;13;-569.0;661;?
536.0;?;-452.0;-689.0;17;?;656;0
536.0;?;-453.0;?;18;-568.0;660;-4
536.0;?;-451.0;-692.0;?;-569.0;658;-7
534.0;-8;-448.0;?;17;-570.0;658;2
537.0;0;-444.0;-696.0;20;?;?;3
535.0;6;?;-698.0;?;-571.0;660;-7
?;-11;-435.0;-700.0;?;?;655;-3
?;0;-436.0;-702.0;33;-569.0;?;11
532.0;14;-435.0;-703.0;5;-569.0;679;14
530.0;?;-432.0;-704.0;3;-569.0;672;8
530.0;29;-429.0;-704.0;?;-569.0;?;1
?;-6;-428.0;-705.0;13;?;661;-2
528.0;-2;-426.0;?;17;-570.0;658;-1
527.0;-29;-430.0;-704.0;24;-571.0;656;?
528.0;-28;-430.0;-703.0;?;-571.0;658;-5
528.0;-3;-431.0;?;?;-572.0;655;-7
530.0;2;-431.0;-700.0;24;-573.0;?;-1
531.0;15;-435.0;-698.0;21;-573.0;655;3
530.0;19;-435.0;-696.0;?;-574.0;658;-2
533.0;10;-440.0;-694.0;21;-574.0;654;0
534.0;3;-446.0;-692.0;22;-573.0;650;5
534.0;-10;-448.0;-688.0;?;-572.0;651;-3
537.0;-5;?;-684.0;18;-570.0;655;-3
537.0;-2;-466.0;-680.0;19;-569.0;653;1
?;?;-473.0;-676.0;21;-566.0;?;?
540.0;-1;-478.0;-672.0;21;-564.0;656;2
543.0;-7;-485.0;-669.0;24;-561.0;650;1
543.0;?;-491.0;-667.0;?;-560.0;653;0
543.0;?;-495.0;?;19;-558.0;?;1
543.0;28;?;-663.0;17;-557.0;652;0
545.0;8;?;?;17;-557.0;?;2
?;-9;-503.0;-661.0;22;-556.0;653;0
542.0;?;-502.0;?;22;?;650;?
540.0;15;-504.0;-660.0;18;?;?;-1
539.0;18;?;?;?;-555.0;653;-3
539.0;9;-504.0;-660.0;24;?;651;-1
536.0;10;-502.0;-660.0;23;-554.0;?;-2
533.0;10;?;-660.0;14;-553.0;657;-3
534.0;11;?;-660.0;18;?;656;3
530.0;8;?;-660.0;22;?;651;-1
530.0;13;-502.0;-661.0;17;?;?;?
528.0;6;-499.0;-661.0;17;-548.0;658;5
526.0;-10;?;?;17;?;?;?
526.0;?;?;-661.0;15;-549.0;658;-2
525.0;14;-495.0;-661.0;18;-550.0;656;0
?;3;-496.0;-661.0;21;-551.0;656;2
524.0;?;?;?;21;-551.0;654;6
?;1;-491.0;-660.0;?;?;652;2
521.0;20;?;-660.0;?;-553.0;654;?
522.0;10;-492.0;?;17;?;?;?
?;-39;-490.0;-659.0;19;-555.0;?;2
522.0;-16;-490.0;-659.0;17;?;661;-8
523.0;13;?;-660.0;18;-557.0;656;-6
525.0;?;-488.0;-660.0;23;-559.0;656;?
521.0;-10;-483.0;-660.0;17;-560.0;662;4
521.0;-45;-484.0;-662.0;?;-560.0;661;?
?;-39;-481.0;-662.0;22;?;655;?
523.0;-1;?;-662.0;24;-562.0;654;?
523.0;12;-481.0;-663.0;?;-562.0;?;-2
