InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;Accelerometer LWR accY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RLA Quaternion4;Accelerometer LUA_ accY
160.0;-256.0;957.0;13.0;-148.0;239.0;-156.0;-88.0;923.0
201.0;-272.0;942.0;84.0;-368.0;244.0;-120.0;-138.0;1008.0
571.0;-265.0;736.0;23.0;-479.0;333.0;-357.0;-259.0;815.0
-402.0;510.0;872.0;-1329.0;-1530.0;-451.0;51.0;805.0;998.0
585.0;-548.0;1014.0;-493.0;-320.0;651.0;59.0;-844.0;1082.0
576.0;-142.0;856.0;62.0;-223.0;185.0;-22.0;-227.0;914.0
571.0;-39.0;912.0;-630.0;-179.0;203.0;191.0;-181.0;933.0
537.0;-112.0;766.0;-171.0;-51.0;225.0;178.0;-238.0;763.0
131.0;-635.0;-354.0;21.0;-700.0;593.0;141.0;-843.0;-41.0
-446.0;557.0;959.0;536.0;214.0;-570.0;16.0;860.0;900.0
312.0;-1.0;843.0;-1782.0;-834.0;168.0;-15.0;113.0;892.0
407.0;-93.0;705.0;-242.0;-95.0;63.0;-635.0;-180.0;836.0
456.0;-97.0;828.0;205.0;134.0;148.0;-236.0;-157.0;967.0
328.0;-480.0;771.0;-623.0;-1086.0;534.0;38.0;-728.0;867.0
127.0;-315.0;934.0;-109.0;1498.0;203.0;-157.0;-7.0;1013.0
-132.0;-196.0;823.0;-991.0;-859.0;66.0;40.0;-301.0;892.0
-37.0;396.0;145.0;-779.0;269.0;-603.0;-505.0;865.0;531.0
-405.0;309.0;969.0;-54.0;8.0;-404.0;-13.0;320.0;1018.0
577.0;-600.0;1237.0;305.0;551.0;666.0;-97.0;-844.0;1269.0
248.0;-268.0;971.0;91.0;-416.0;239.0;-95.0;-154.0;1035.0
-108.0;80.0;707.0;80.0;230.0;-45.0;299.0;-502.0;878.0
-52.0;-14.0;473.0;-83.0;-1201.0;138.0;103.0;-425.0;738.0
-97.0;48.0;682.0;128.0;14.0;-12.0;286.0;-467.0;886.0
386.0;8.0;1255.0;-169.0;29.0;179.0;26.0;97.0;1032.0
360.0;-21.0;1000.0;174.0;506.0;142.0;-5.0;-6.0;902.0
-10.0;317.0;883.0;1716.0;1033.0;-149.0;22.0;510.0;848.0
415.0;-250.0;1010.0;-354.0;2034.0;391.0;-69.0;-169.0;956.0
210.0;104.0;897.0;2121.0;169.0;41.0;-143.0;429.0;730.0
625.0;-116.0;733.0;-215.0;218.0;281.0;144.0;-223.0;828.0
-119.0;401.0;904.0;-538.0;-528.0;-308.0;-21.0;673.0;949.0
610.0;-580.0;831.0;2050.0;337.0;653.0;-40.0;-838.0;791.0
262.0;-69.0;831.0;1.0;-26.0;254.0;-103.0;315.0;994.0
209.0;59.0;696.0;360.0;-246.0;101.0;133.0;273.0;703.0
415.0;-123.0;794.0;-160.0;-348.0;271.0;147.0;-146.0;919.0
439.0;-108.0;868.0;-1627.0;-105.0;273.0;-119.0;-114.0;861.0
308.0;47.0;1063.0;385.0;315.0;16.0;-46.0;199.0;1058.0
287.0;-84.0;776.0;-270.0;-182.0;274.0;-53.0;286.0;928.0
437.0;13.0;757.0;-340.0;9.0;283.0;-123.0;59.0;831.0
83.0;-462.0;766.0;-83.0;298.0;485.0;121.0;-541.0;938.0
281.0;-78.0;814.0;-177.0;-161.0;265.0;-43.0;294.0;942.0
373.0;-25.0;697.0;29.0;576.0;-58.0;-532.0;-153.0;826.0
353.0;29.0;1198.0;-546.0;-424.0;147.0;53.0;204.0;1053.0
606.0;-530.0;159.0;2.0;49.0;829.0;-411.0;-814.0;475.0
569.0;-603.0;-294.0;74.0;-41.0;553.0;306.0;-848.0;-338.0
409.0;-333.0;749.0;30.0;240.0;403.0;-679.0;275.0;897.0
576.0;-560.0;943.0;-144.0;477.0;641.0;73.0;-822.0;1016.0
301.0;-110.0;822.0;-195.0;-15.0;305.0;-46.0;266.0;929.0
288.0;-123.0;807.0;-117.0;149.0;323.0;-70.0;286.0;926.0
161.0;157.0;770.0;304.0;509.0;-108.0;-6.0;391.0;943.0
-278.0;585.0;864.0;416.0;749.0;-593.0;-75.0;887.0;937.0
587.0;-147.0;928.0;30.0;-110.0;193.0;-73.0;-257.0;991.0
561.0;-596.0;869.0;-1781.0;-1227.0;670.0;-115.0;-854.0;1059.0
489.0;-198.0;489.0;-104.0;-555.0;368.0;259.0;-205.0;593.0
-124.0;78.0;573.0;-54.0;-50.0;-42.0;245.0;-553.0;760.0
-385.0;55.0;856.0;-543.0;-429.0;-196.0;181.0;-45.0;911.0
602.0;-511.0;895.0;1.0;-433.0;621.0;42.0;-568.0;952.0
420.0;-538.0;952.0;-521.0;707.0;662.0;-72.0;-746.0;1035.0
411.0;-567.0;687.0;-100.0;-45.0;701.0;-104.0;-867.0;811.0
544.0;-577.0;653.0;-17.0;-315.0;643.0;-18.0;-780.0;856.0
-273.0;-117.0;735.0;1250.0;365.0;-44.0;39.0;-104.0;920.0
358.0;-91.0;788.0;-189.0;-1527.0;118.0;-189.0;116.0;853.0
-112.0;81.0;672.0;-4.0;-121.0;-43.0;271.0;-568.0;911.0
282.0;-162.0;982.0;448.0;-669.0;151.0;-231.0;199.0;938.0
544.0;-642.0;877.0;283.0;96.0;696.0;0.0;-821.0;943.0
-271.0;7.0;129.0;234.0;786.0;-64.0;-220.0;-725.0;448.0
-320.0;568.0;960.0;-563.0;-140.0;-676.0;-2.0;780.0;944.0
571.0;-636.0;882.0;-128.0;-113.0;683.0;22.0;-848.0;953.0
448.0;-87.0;979.0;784.0;567.0;274.0;58.0;-33.0;1017.0
-119.0;27.0;601.0;-117.0;-564.0;-3.0;287.0;-429.0;866.0
-552.0;541.0;767.0;-295.0;-805.0;-632.0;125.0;711.0;813.0
596.0;-613.0;889.0;684.0;1063.0;695.0;25.0;-834.0;959.0
572.0;-642.0;888.0;-11.0;86.0;693.0;16.0;-858.0;968.0
