InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;Accelerometer RUA_ accY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LH accZ;InertialMeasurementUnit R-SHOE Body_Ax
535.0;-831.0;290.0;233.0;586.0;980.0;9;-159;9;33.0;304
433.0;-699.0;368.0;207.0;755.0;1099.0;-535;-167;-535;-126.0;168
423.0;-812.0;339.0;337.0;687.0;966.0;6;-175;6;50.0;273
534.0;-835.0;314.0;272.0;588.0;974.0;37;-159;37;51.0;301
518.0;-848.0;266.0;247.0;604.0;1010.0;-72;-159;-72;82.0;304
643.0;-776.0;217.0;288.0;531.0;895.0;65;-157;65;109.0;284
516.0;-838.0;295.0;236.0;609.0;981.0;1;-159;1;9.0;311
513.0;-842.0;271.0;269.0;604.0;998.0;8;-159;8;55.0;315
433.0;-677.0;285.0;326.0;467.0;810.0;-28;-157;-28;193.0;271
514.0;-843.0;269.0;267.0;575.0;991.0;16;-159;16;43.0;307
839.0;-567.0;158.0;348.0;613.0;764.0;-320;-144;-320;-11.0;313
494.0;284.0;942.0;777.0;882.0;31.0;-26;-155;-26;-86.0;353
509.0;-862.0;231.0;230.0;547.0;994.0;-28;-159;-28;227.0;306
361.0;-1064.0;37.0;239.0;477.0;980.0;7;-170;7;140.0;171
506.0;-834.0;265.0;236.0;592.0;976.0;4;-159;4;24.0;309
527.0;-836.0;271.0;207.0;551.0;990.0;33;-159;33;63.0;306
508.0;-839.0;285.0;272.0;550.0;985.0;0;-159;0;62.0;304
509.0;-843.0;304.0;280.0;575.0;1001.0;-23;-159;-23;63.0;304
516.0;-836.0;274.0;277.0;587.0;990.0;22;-160;22;3.0;298
238.0;-885.0;290.0;295.0;524.0;812.0;106;-150;106;253.0;259
630.0;-747.0;282.0;357.0;610.0;925.0;81;-156;81;-55.0;304
353.0;-967.0;501.0;424.0;779.0;956.0;57;-179;57;89.0;249
818.0;-987.0;70.0;198.0;506.0;1194.0;-71;-157;-71;130.0;297
-355.0;-886.0;128.0;-26.0;542.0;1030.0;0;-155;0;191.0;259
472.0;-519.0;448.0;-64.0;646.0;891.0;200;-164;200;29.0;288
521.0;-195.0;813.0;309.0;1002.0;559.0;8;-157;8;18.0;295
1053.0;-814.0;170.0;296.0;503.0;769.0;5;-150;5;77.0;245
412.0;-812.0;19.0;122.0;456.0;946.0;-34;-156;-34;-65.0;266
392.0;-827.0;166.0;143.0;509.0;1149.0;-1140;-103;-1140;196.0;-152
496.0;-784.0;89.0;144.0;445.0;985.0;168;-168;168;338.0;242
489.0;-526.0;737.0;420.0;798.0;595.0;92;-155;92;309.0;259
1032.0;-1124.0;79.0;128.0;383.0;1024.0;233;-110;233;122.0;241
692.0;-1110.0;78.0;114.0;469.0;1145.0;161;-156;161;66.0;335
556.0;-865.0;211.0;217.0;549.0;973.0;-11;-159;-11;73.0;306
514.0;-741.0;187.0;99.0;676.0;1436.0;-3215;-145;-3215;66.0;62
