InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;Accelerometer LWR accY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RLA Quaternion4;Accelerometer LUA_ accY
225.0;-489.0;-529.0;-206.0;713.0;466.0;537.0;-599.0;-429.0
188.0;-451.0;-559.0;-67.0;?;439.0;?;-645.0;-409.0
151.0;-412.0;-553.0;?;900.0;412.0;311.0;-690.0;-476.0
113.0;-374.0;-526.0;47.0;1017.0;381.0;155.0;-733.0;-568.0
?;-338.0;-562.0;-27.0;980.0;351.0;2.0;-771.0;-767.0
?;-306.0;-686.0;-284.0;1023.0;325.0;-117.0;-804.0;-1093.0
15.0;-278.0;-755.0;?;998.0;302.0;-237.0;-830.0;?
-9.0;-255.0;-1140.0;-455.0;813.0;286.0;?;-850.0;-1121.0
?;-235.0;-1311.0;-728.0;745.0;?;-287.0;?;?
-40.0;-220.0;-1369.0;-820.0;529.0;247.0;-298.0;-876.0;-856.0
-45.0;-205.0;-1343.0;-615.0;?;226.0;-458.0;-882.0;-737.0
-44.0;-190.0;-1206.0;294.0;-222.0;227.0;-408.0;-886.0;-672.0
-39.0;-182.0;-1030.0;?;-612.0;?;-52.0;-890.0;?
?;-175.0;-914.0;591.0;-559.0;?;-63.0;-892.0;-756.0
-33.0;-172.0;-836.0;166.0;-161.0;?;21.0;-890.0;-870.0
-32.0;-174.0;-889.0;-179.0;134.0;213.0;68.0;-886.0;?
-30.0;-177.0;-1006.0;-166.0;?;210.0;124.0;?;-971.0
-29.0;-182.0;-1161.0;-131.0;-2.0;208.0;212.0;-876.0;-934.0
-28.0;?;-1256.0;-285.0;-10.0;203.0;81.0;?;-828.0
?;-199.0;?;?;2.0;200.0;?;-862.0;-777.0
488.0;-674.0;45.0;-21.0;?;?;476.0;-381.0;-2.0
480.0;?;93.0;202.0;-455.0;584.0;432.0;-397.0;-87.0
474.0;-648.0;183.0;443.0;?;?;389.0;-421.0;-224.0
471.0;-630.0;269.0;?;-163.0;580.0;354.0;-451.0;246.0
469.0;-612.0;391.0;501.0;379.0;587.0;311.0;?;567.0
466.0;-596.0;?;403.0;728.0;603.0;218.0;-523.0;962.0
464.0;-582.0;968.0;431.0;939.0;?;48.0;-568.0;1097.0
463.0;-572.0;1386.0;330.0;473.0;?;-14.0;-620.0;?
466.0;-563.0;1562.0;507.0;274.0;692.0;-128.0;?;1447.0
468.0;-560.0;?;2.0;279.0;?;-342.0;-722.0;1384.0
470.0;-562.0;1770.0;?;?;717.0;?;-761.0;1253.0
483.0;-567.0;1585.0;-1479.0;-352.0;719.0;-770.0;-796.0;1156.0
499.0;-573.0;1316.0;-1389.0;?;712.0;-563.0;-821.0;1115.0
511.0;-583.0;971.0;-1169.0;-98.0;689.0;-500.0;-834.0;1043.0
525.0;?;932.0;?;91.0;664.0;-507.0;-841.0;986.0
?;?;853.0;-1060.0;620.0;645.0;?;?;929.0
545.0;-579.0;?;?;737.0;?;-233.0;-841.0;919.0
550.0;-570.0;765.0;?;446.0;635.0;-26.0;-837.0;973.0
554.0;-563.0;748.0;?;461.0;640.0;?;-834.0;1081.0
555.0;-559.0;791.0;-368.0;261.0;648.0;-30.0;-832.0;?
555.0;-560.0;893.0;-152.0;49.0;658.0;-43.0;-829.0;1070.0
555.0;?;1006.0;?;-230.0;668.0;-14.0;-830.0;1067.0
556.0;-573.0;1025.0;375.0;-360.0;677.0;20.0;-832.0;1019.0
?;-581.0;?;777.0;-478.0;?;20.0;-835.0;982.0
556.0;?;1001.0;1103.0;-446.0;693.0;?;-838.0;997.0
555.0;-597.0;965.0;1212.0;-320.0;?;?;-842.0;967.0
552.0;-604.0;962.0;1088.0;-162.0;708.0;4.0;?;956.0
548.0;-610.0;?;?;19.0;716.0;4.0;-849.0;889.0
543.0;-615.0;935.0;675.0;?;724.0;-16.0;-851.0;875.0
539.0;-619.0;908.0;439.0;40.0;732.0;-23.0;-854.0;892.0
536.0;?;848.0;230.0;6.0;?;-48.0;-855.0;861.0
535.0;-630.0;814.0;99.0;-190.0;745.0;-64.0;-856.0;868.0
535.0;-634.0;820.0;46.0;-370.0;750.0;-63.0;-857.0;?
?;-637.0;829.0;55.0;-459.0;753.0;-56.0;-858.0;872.0
537.0;-640.0;?;108.0;-315.0;754.0;-40.0;-859.0;?
538.0;-643.0;816.0;100.0;-178.0;755.0;-36.0;-859.0;923.0
?;?;797.0;?;-162.0;?;-37.0;-859.0;957.0
542.0;-645.0;855.0;-16.0;-284.0;?;-29.0;?;962.0
545.0;-644.0;896.0;?;-265.0;?;-19.0;-857.0;990.0
547.0;-644.0;899.0;59.0;-94.0;747.0;0.0;-856.0;1001.0
548.0;-643.0;908.0;11.0;54.0;742.0;16.0;-855.0;1019.0
549.0;-643.0;921.0;-86.0;151.0;733.0;15.0;-853.0;1007.0
549.0;-641.0;914.0;-269.0;202.0;724.0;5.0;-853.0;1011.0
549.0;-639.0;891.0;?;137.0;715.0;6.0;?;?
549.0;-635.0;?;-175.0;47.0;707.0;16.0;?;980.0
549.0;?;879.0;-145.0;35.0;700.0;21.0;-852.0;963.0
549.0;-626.0;854.0;-208.0;?;?;7.0;-852.0;914.0
549.0;-621.0;?;-396.0;?;690.0;-14.0;-852.0;?
548.0;-617.0;842.0;-506.0;127.0;687.0;?;-853.0;863.0
548.0;-614.0;793.0;-532.0;?;685.0;-21.0;-853.0;841.0
549.0;-612.0;787.0;-539.0;-77.0;685.0;-29.0;-852.0;?
550.0;-610.0;747.0;-469.0;-190.0;686.0;-34.0;-851.0;907.0
552.0;?;626.0;-324.0;-303.0;687.0;-52.0;-849.0;?
555.0;-608.0;585.0;166.0;-505.0;690.0;-80.0;-847.0;1252.0
559.0;-610.0;1184.0;300.0;-575.0;691.0;-17.0;-846.0;?
?;?;1289.0;128.0;?;?;?;?;?
561.0;-615.0;?;56.0;-210.0;698.0;-44.0;-845.0;815.0
?;-626.0;779.0;?;-186.0;?;-81.0;?;903.0
569.0;?;827.0;119.0;-900.0;?;-129.0;-846.0;956.0
569.0;-646.0;810.0;-161.0;-40.0;712.0;-170.0;-848.0;940.0
?;-655.0;900.0;-284.0;163.0;725.0;-30.0;-850.0;906.0
559.0;?;868.0;311.0;451.0;739.0;171.0;-854.0;?
?;?;820.0;768.0;617.0;749.0;184.0;-857.0;945.0
?;-665.0;?;434.0;?;?;88.0;-859.0;958.0
546.0;?;839.0;343.0;393.0;753.0;40.0;-860.0;952.0
547.0;-672.0;?;362.0;157.0;?;67.0;-859.0;929.0
548.0;-673.0;877.0;390.0;-18.0;753.0;94.0;-858.0;893.0
550.0;-673.0;863.0;?;-10.0;748.0;93.0;-856.0;917.0
552.0;-671.0;834.0;231.0;?;741.0;71.0;?;942.0
554.0;-669.0;833.0;-9.0;?;734.0;29.0;?;943.0
555.0;-666.0;841.0;-216.0;224.0;729.0;-7.0;-853.0;?
557.0;?;855.0;-260.0;?;723.0;-24.0;?;?
557.0;-658.0;851.0;?;209.0;718.0;?;-852.0;1006.0
557.0;-654.0;858.0;-245.0;288.0;?;-36.0;?;1023.0
556.0;-651.0;875.0;-183.0;?;706.0;?;-853.0;?
554.0;-647.0;?;-126.0;272.0;700.0;-72.0;-853.0;930.0
?;-645.0;875.0;-93.0;181.0;?;-78.0;-854.0;933.0
553.0;-642.0;839.0;-8.0;?;?;-76.0;-854.0;918.0
552.0;-641.0;840.0;-45.0;183.0;688.0;-87.0;-854.0;956.0
552.0;-638.0;?;-49.0;129.0;688.0;-83.0;-854.0;936.0
552.0;?;830.0;41.0;?;689.0;-56.0;-854.0;?
552.0;-635.0;839.0;211.0;47.0;690.0;-38.0;-854.0;917.0
552.0;?;823.0;311.0;?;693.0;-21.0;-853.0;926.0
553.0;-633.0;?;279.0;-50.0;694.0;-7.0;-852.0;?
?;-633.0;828.0;301.0;-123.0;697.0;-5.0;?;977.0
556.0;-633.0;845.0;333.0;-304.0;699.0;-1.0;?;990.0
559.0;-633.0;869.0;311.0;-416.0;702.0;4.0;-849.0;1000.0
561.0;?;?;?;-528.0;704.0;7.0;-847.0;1000.0
564.0;?;920.0;190.0;-496.0;706.0;1.0;-845.0;986.0
566.0;-636.0;915.0;?;-406.0;?;-7.0;-844.0;958.0
566.0;-637.0;892.0;202.0;-174.0;708.0;-11.0;-844.0;?
566.0;-639.0;876.0;76.0;?;709.0;?;-844.0;926.0
565.0;-641.0;880.0;-37.0;-73.0;709.0;-21.0;?;927.0
565.0;-642.0;853.0;-41.0;-117.0;?;-11.0;-845.0;932.0
565.0;-642.0;849.0;-23.0;?;711.0;-1.0;?;936.0
564.0;-642.0;831.0;?;-84.0;713.0;?;-846.0;948.0
563.0;-642.0;858.0;-116.0;-50.0;714.0;18.0;-847.0;?
?;-642.0;868.0;-182.0;?;714.0;24.0;-847.0;979.0
563.0;-642.0;868.0;-205.0;-21.0;713.0;5.0;-848.0;956.0
562.0;-641.0;879.0;-268.0;85.0;?;8.0;-849.0;949.0
562.0;?;870.0;-227.0;109.0;708.0;8.0;?;883.0
?;-640.0;871.0;-306.0;95.0;?;3.0;-849.0;779.0
562.0;-639.0;812.0;-350.0;24.0;701.0;3.0;-849.0;658.0
563.0;-637.0;792.0;-385.0;-62.0;697.0;?;-848.0;1385.0
565.0;-636.0;?;-451.0;-116.0;?;-16.0;-847.0;1150.0
567.0;-634.0;1048.0;-480.0;?;692.0;?;?;877.0
569.0;-633.0;1271.0;-509.0;-174.0;692.0;-21.0;-845.0;790.0
569.0;?;759.0;-544.0;-116.0;692.0;10.0;-846.0;?
568.0;-630.0;737.0;-559.0;40.0;?;-62.0;-845.0;1042.0
573.0;?;760.0;?;-607.0;694.0;-89.0;-845.0;1067.0
574.0;?;932.0;90.0;60.0;692.0;-54.0;?;896.0
573.0;-638.0;1034.0;160.0;-20.0;696.0;?;-846.0;810.0
571.0;-637.0;904.0;549.0;-172.0;?;126.0;-846.0;836.0
570.0;-636.0;?;385.0;-6.0;707.0;205.0;-846.0;879.0
570.0;-637.0;775.0;-52.0;?;?;91.0;-847.0;911.0
571.0;-637.0;776.0;?;-226.0;716.0;35.0;-848.0;922.0
573.0;-638.0;813.0;-62.0;?;722.0;109.0;-847.0;924.0
?;-638.0;848.0;-47.0;-377.0;724.0;175.0;-844.0;924.0
578.0;?;858.0;?;-408.0;722.0;158.0;-842.0;?
?;-638.0;856.0;-45.0;-143.0;719.0;?;-839.0;907.0
582.0;-637.0;842.0;?;?;714.0;60.0;?;935.0
584.0;-636.0;867.0;94.0;83.0;709.0;55.0;-835.0;929.0
586.0;-634.0;839.0;?;162.0;703.0;52.0;-834.0;?
588.0;-633.0;848.0;-115.0;77.0;?;42.0;-832.0;?
589.0;-631.0;?;-274.0;?;693.0;17.0;-831.0;968.0
591.0;-629.0;848.0;-338.0;-55.0;689.0;?;-831.0;962.0
592.0;-627.0;?;-376.0;-2.0;685.0;3.0;-830.0;?
593.0;-625.0;868.0;-362.0;?;?;-9.0;?;867.0
594.0;-623.0;821.0;-344.0;-4.0;680.0;-19.0;-829.0;908.0
593.0;-621.0;811.0;-304.0;?;679.0;-19.0;-829.0;920.0
593.0;-619.0;791.0;-237.0;39.0;678.0;-39.0;-830.0;923.0
591.0;-617.0;808.0;-128.0;128.0;678.0;?;-831.0;958.0
588.0;-616.0;820.0;-12.0;211.0;?;-16.0;-833.0;978.0
585.0;-614.0;825.0;156.0;211.0;679.0;-19.0;-835.0;999.0
?;-614.0;847.0;263.0;188.0;680.0;-22.0;-837.0;1010.0
?;-614.0;867.0;344.0;132.0;681.0;?;-838.0;1018.0
575.0;-616.0;908.0;448.0;190.0;682.0;-19.0;?;999.0
572.0;-618.0;?;?;183.0;?;-29.0;?;?
568.0;-621.0;?;?;159.0;686.0;-38.0;-844.0;?
565.0;?;932.0;305.0;114.0;?;-36.0;-846.0;961.0
562.0;-628.0;?;322.0;107.0;695.0;-32.0;-847.0;971.0
559.0;-631.0;903.0;399.0;143.0;699.0;-20.0;-848.0;975.0
556.0;?;905.0;?;?;704.0;?;-850.0;978.0
554.0;-635.0;905.0;486.0;158.0;708.0;-2.0;-851.0;992.0
?;-636.0;896.0;?;101.0;?;6.0;-851.0;976.0
?;-637.0;904.0;476.0;?;714.0;16.0;-851.0;?
550.0;-638.0;885.0;421.0;172.0;714.0;23.0;-851.0;954.0
550.0;-638.0;884.0;339.0;?;?;22.0;-851.0;?
550.0;-637.0;876.0;169.0;?;?;26.0;-850.0;978.0
550.0;-637.0;875.0;12.0;126.0;?;23.0;-850.0;972.0
551.0;-635.0;886.0;-57.0;143.0;711.0;?;-849.0;962.0
551.0;-634.0;910.0;-145.0;104.0;?;0.0;?;930.0
551.0;-632.0;892.0;-59.0;227.0;706.0;?;-849.0;885.0
552.0;-630.0;874.0;13.0;298.0;702.0;-4.0;-849.0;741.0
551.0;-629.0;?;-86.0;371.0;697.0;-6.0;?;1006.0
550.0;?;?;-231.0;?;693.0;-8.0;?;1244.0
551.0;-625.0;759.0;-407.0;91.0;689.0;-7.0;-848.0;854.0
554.0;-623.0;1184.0;?;-118.0;687.0;-11.0;?;?
559.0;-621.0;879.0;-715.0;-348.0;686.0;-1.0;-844.0;?
?;-618.0;754.0;-717.0;-294.0;686.0;2.0;-843.0;880.0
569.0;-620.0;773.0;-690.0;-598.0;686.0;?;-840.0;981.0
576.0;-621.0;?;-370.0;-705.0;?;-53.0;?;1037.0
577.0;-622.0;868.0;?;44.0;688.0;?;-842.0;?
575.0;-623.0;989.0;?;-20.0;694.0;86.0;?;?
571.0;-622.0;888.0;551.0;324.0;698.0;193.0;-848.0;866.0
566.0;?;?;242.0;492.0;701.0;134.0;-851.0;?
562.0;-623.0;?;379.0;?;705.0;61.0;?;933.0
561.0;?;852.0;478.0;145.0;?;95.0;-854.0;932.0
560.0;-624.0;888.0;?;-6.0;712.0;145.0;?;913.0
562.0;-622.0;874.0;324.0;-333.0;712.0;?;-852.0;912.0
564.0;-622.0;856.0;189.0;-413.0;?;129.0;-850.0;919.0
566.0;-622.0;838.0;28.0;-198.0;711.0;70.0;-849.0;931.0
566.0;-623.0;849.0;?;12.0;?;?;?;942.0
566.0;-623.0;832.0;14.0;186.0;706.0;40.0;-847.0;961.0
566.0;-623.0;846.0;-23.0;241.0;703.0;45.0;?;?
567.0;?;868.0;-128.0;?;699.0;?;-845.0;931.0
568.0;-622.0;877.0;-221.0;15.0;696.0;?;?;927.0
569.0;-622.0;865.0;-262.0;68.0;693.0;?;-843.0;938.0
570.0;-622.0;849.0;-241.0;?;690.0;?;?;?
571.0;?;860.0;-272.0;135.0;687.0;?;-842.0;955.0
?;-621.0;873.0;-320.0;139.0;685.0;?;-841.0;936.0
570.0;-619.0;882.0;-366.0;86.0;683.0;0.0;-841.0;923.0
570.0;-618.0;836.0;-266.0;22.0;682.0;?;-840.0;962.0
570.0;-616.0;826.0;-177.0;-4.0;681.0;-8.0;-840.0;951.0
569.0;-615.0;845.0;-103.0;-40.0;?;-13.0;?;943.0
568.0;-614.0;828.0;-48.0;?;679.0;-13.0;-841.0;944.0
567.0;-614.0;844.0;-7.0;?;678.0;-10.0;-842.0;952.0
564.0;-613.0;842.0;129.0;?;678.0;-10.0;-843.0;956.0
563.0;-614.0;851.0;?;94.0;678.0;-16.0;-845.0;993.0
561.0;-614.0;883.0;201.0;52.0;?;-15.0;?;993.0
?;?;895.0;252.0;69.0;680.0;?;-847.0;995.0
556.0;-618.0;905.0;326.0;148.0;?;-14.0;-849.0;998.0
553.0;-620.0;913.0;333.0;?;684.0;?;-850.0;1007.0
551.0;-622.0;906.0;366.0;17.0;688.0;?;-852.0;1001.0
549.0;-625.0;?;402.0;-97.0;?;-7.0;?;1013.0
548.0;-627.0;917.0;551.0;-106.0;695.0;-2.0;-853.0;?
546.0;-628.0;922.0;551.0;-17.0;698.0;3.0;?;989.0
544.0;-629.0;943.0;613.0;?;700.0;1.0;-854.0;991.0
542.0;-631.0;944.0;548.0;?;?;?;-855.0;971.0
540.0;?;?;336.0;282.0;703.0;-2.0;?;959.0
539.0;-633.0;895.0;153.0;192.0;705.0;?;-855.0;934.0
?;-634.0;896.0;50.0;-53.0;708.0;-7.0;-854.0;?
541.0;-634.0;892.0;-8.0;?;710.0;3.0;-852.0;929.0
542.0;-633.0;855.0;?;?;712.0;6.0;-852.0;979.0
543.0;?;?;-136.0;57.0;712.0;8.0;-851.0;912.0
543.0;-631.0;865.0;?;70.0;711.0;?;-850.0;909.0
544.0;-631.0;?;-295.0;-94.0;710.0;-1.0;-849.0;823.0
547.0;-629.0;?;-278.0;-103.0;706.0;12.0;-848.0;874.0
549.0;-628.0;?;-215.0;?;701.0;?;-848.0;612.0
551.0;?;790.0;-315.0;126.0;696.0;14.0;-848.0;1271.0
553.0;-623.0;590.0;-449.0;?;690.0;22.0;-848.0;1279.0
554.0;-621.0;824.0;-472.0;164.0;684.0;26.0;-847.0;874.0
556.0;?;1397.0;-444.0;29.0;679.0;26.0;-846.0;883.0
558.0;-614.0;767.0;-441.0;-130.0;672.0;40.0;-846.0;891.0
559.0;-611.0;766.0;-409.0;-14.0;667.0;34.0;-845.0;943.0
?;-614.0;764.0;-208.0;-369.0;662.0;-47.0;?;1050.0
568.0;?;862.0;160.0;-269.0;658.0;-60.0;-844.0;?
566.0;-618.0;1021.0;109.0;302.0;661.0;-42.0;?;?
563.0;-618.0;1008.0;539.0;?;667.0;108.0;-848.0;882.0
559.0;-618.0;863.0;552.0;545.0;674.0;178.0;-852.0;921.0
554.0;?;?;317.0;539.0;682.0;81.0;-855.0;939.0
550.0;-622.0;868.0;519.0;475.0;?;44.0;-857.0;925.0
546.0;-624.0;884.0;?;?;699.0;121.0;-858.0;?
544.0;-626.0;904.0;571.0;?;704.0;142.0;?;?
544.0;-627.0;846.0;412.0;-61.0;707.0;?;-856.0;?
546.0;-629.0;816.0;195.0;?;710.0;102.0;-854.0;848.0
?;-632.0;781.0;-34.0;-190.0;713.0;67.0;-852.0;863.0
550.0;-635.0;785.0;-173.0;-104.0;715.0;65.0;-851.0;888.0
552.0;-637.0;?;-226.0;-63.0;?;?;-850.0;920.0
554.0;?;?;?;?;715.0;?;-850.0;943.0
555.0;-638.0;830.0;-283.0;-178.0;714.0;31.0;-850.0;?
556.0;-638.0;?;-287.0;-149.0;712.0;19.0;-850.0;?
555.0;-638.0;865.0;-257.0;?;708.0;15.0;-850.0;989.0
554.0;-638.0;891.0;-158.0;153.0;703.0;26.0;-851.0;976.0
?;-638.0;?;-157.0;211.0;695.0;29.0;?;963.0
552.0;-638.0;888.0;-188.0;169.0;688.0;33.0;-852.0;?
551.0;-636.0;885.0;-116.0;95.0;680.0;45.0;-853.0;960.0
550.0;-633.0;878.0;-112.0;122.0;?;42.0;-853.0;958.0
550.0;-630.0;?;-172.0;156.0;666.0;?;-853.0;949.0
?;-626.0;?;-271.0;112.0;661.0;40.0;?;957.0
549.0;-622.0;831.0;-300.0;34.0;659.0;26.0;-851.0;964.0
550.0;?;?;?;-81.0;658.0;-2.0;-850.0;947.0
?;?;828.0;-168.0;-206.0;658.0;-13.0;-849.0;?
?;?;859.0;24.0;-250.0;656.0;?;-848.0;?
554.0;-611.0;?;198.0;?;656.0;?;-848.0;943.0
554.0;-610.0;?;213.0;-205.0;657.0;-25.0;-847.0;933.0
555.0;-610.0;858.0;?;-197.0;?;-18.0;-847.0;952.0
554.0;-610.0;869.0;199.0;-137.0;665.0;-16.0;?;991.0
?;-611.0;846.0;296.0;-53.0;670.0;-5.0;-849.0;?
552.0;-612.0;900.0;?;-55.0;676.0;-7.0;-849.0;?
552.0;-613.0;907.0;364.0;?;681.0;?;-850.0;?
552.0;-615.0;931.0;329.0;-52.0;686.0;6.0;-850.0;1041.0
551.0;-617.0;966.0;357.0;-131.0;690.0;?;?;965.0
?;?;989.0;402.0;-147.0;693.0;-5.0;-849.0;937.0
?;-621.0;917.0;470.0;?;?;5.0;?;?
?;-622.0;868.0;437.0;-208.0;?;14.0;?;?
556.0;-623.0;869.0;289.0;?;698.0;20.0;-846.0;915.0
557.0;-623.0;863.0;19.0;7.0;701.0;25.0;?;943.0
557.0;?;853.0;-84.0;72.0;704.0;50.0;-844.0;985.0
557.0;-622.0;880.0;-60.0;136.0;707.0;56.0;-844.0;992.0
556.0;-622.0;893.0;-60.0;131.0;706.0;?;-844.0;972.0
556.0;-621.0;917.0;-64.0;179.0;703.0;42.0;-844.0;963.0
556.0;-621.0;918.0;-100.0;118.0;699.0;41.0;-844.0;933.0
557.0;-619.0;927.0;-115.0;?;694.0;23.0;?;911.0
558.0;-618.0;843.0;-147.0;0.0;?;22.0;-843.0;888.0
559.0;-616.0;827.0;-190.0;-51.0;684.0;?;?;830.0
561.0;?;778.0;-283.0;-89.0;679.0;-1.0;-842.0;849.0
562.0;-611.0;785.0;-315.0;13.0;?;?;?;1223.0
564.0;?;688.0;-309.0;-11.0;674.0;2.0;-841.0;1239.0
565.0;?;?;-217.0;-90.0;671.0;1.0;-840.0;?
567.0;?;1168.0;-133.0;?;669.0;3.0;-839.0;898.0
?;?;982.0;-162.0;-407.0;666.0;?;-838.0;932.0
571.0;-606.0;831.0;-286.0;?;665.0;-33.0;-838.0;1011.0
574.0;-612.0;859.0;-151.0;-189.0;664.0;?;-839.0;1004.0
?;-619.0;942.0;?;160.0;665.0;-37.0;-842.0;947.0
?;-626.0;1003.0;?;?;671.0;47.0;-846.0;?
562.0;-628.0;1019.0;565.0;742.0;679.0;208.0;-851.0;947.0
554.0;-627.0;948.0;601.0;972.0;686.0;215.0;-855.0;980.0
546.0;?;917.0;544.0;862.0;691.0;?;-858.0;971.0
542.0;?;?;408.0;471.0;?;56.0;-858.0;878.0
542.0;-630.0;873.0;159.0;3.0;705.0;113.0;-857.0;?
?;-630.0;803.0;?;?;711.0;?;-855.0;678.0
551.0;-627.0;632.0;?;-581.0;714.0;?;-852.0;658.0
556.0;?;515.0;-799.0;-450.0;720.0;78.0;-849.0;639.0
560.0;-619.0;461.0;-1251.0;-260.0;730.0;57.0;-847.0;514.0
563.0;-614.0;450.0;?;?;741.0;?;-844.0;?
565.0;?;383.0;-1072.0;-30.0;748.0;-82.0;-842.0;2.0
568.0;?;?;-865.0;-96.0;752.0;?;-840.0;-39.0
570.0;-600.0;150.0;?;-417.0;756.0;-245.0;-838.0;?
?;-596.0;?;-853.0;-579.0;760.0;-363.0;-836.0;?
580.0;-592.0;-66.0;-1066.0;-683.0;764.0;-418.0;-835.0;-281.0
583.0;-591.0;-183.0;-1405.0;-662.0;763.0;?;-834.0;-515.0
585.0;-589.0;?;-1281.0;?;758.0;-388.0;-834.0;-577.0
585.0;-585.0;-409.0;-1312.0;-415.0;749.0;-441.0;-835.0;-634.0
?;?;-451.0;-1384.0;-245.0;735.0;?;?;-667.0
582.0;-581.0;?;-1322.0;-153.0;718.0;?;-839.0;-672.0
578.0;-580.0;-539.0;-1140.0;4.0;698.0;-413.0;-842.0;-661.0
575.0;-583.0;?;-1292.0;52.0;675.0;-294.0;-844.0;-764.0
?;-588.0;-656.0;-1733.0;31.0;652.0;-133.0;-846.0;-749.0
571.0;-595.0;-706.0;-2014.0;-12.0;618.0;?;-846.0;-811.0
570.0;?;-736.0;-1886.0;-185.0;588.0;132.0;-846.0;-835.0
?;-602.0;-796.0;?;-193.0;563.0;?;?;-860.0
571.0;-604.0;-858.0;-981.0;-137.0;545.0;?;-846.0;?
