Accelerometer LH accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer BACK accX;Accelerometer LUA_ accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer HIP accZ
377.0;-115.0;15;186.0;360.0;211.0;-325.0;276.0;482.0
411.0;-110.0;-14;171.0;387.0;198.0;-333.0;223.0;437.0
361.0;-107.0;-8;158.0;379.0;196.0;-308.0;253.0;464.0
309.0;-118.0;-21;135.0;398.0;198.0;-305.0;238.0;415.0
337.0;-128.0;19;151.0;352.0;193.0;-319.0;209.0;428.0
339.0;-27.0;-23;338.0;483.0;291.0;-334.0;277.0;394.0
171.0;-186.0;14;258.0;310.0;348.0;-218.0;77.0;263.0
612.0;-101.0;958;356.0;665.0;307.0;-454.0;175.0;230.0
263.0;-117.0;21;130.0;316.0;202.0;-268.0;244.0;441.0
366.0;-108.0;19;215.0;330.0;183.0;-336.0;303.0;460.0
172.0;-109.0;30;162.0;294.0;190.0;-250.0;218.0;447.0
320.0;-119.0;21;161.0;328.0;192.0;-306.0;243.0;458.0
341.0;-99.0;-31;169.0;366.0;200.0;-306.0;253.0;492.0
347.0;-97.0;18;135.0;343.0;181.0;-344.0;297.0;454.0
290.0;-109.0;1;211.0;348.0;226.0;-281.0;203.0;477.0
256.0;-108.0;16;173.0;371.0;181.0;-344.0;236.0;434.0
347.0;-114.0;2;151.0;357.0;197.0;-311.0;244.0;476.0
276.0;-109.0;48;169.0;338.0;192.0;-333.0;241.0;445.0
336.0;-115.0;-4;151.0;322.0;181.0;-338.0;265.0;466.0
325.0;-79.0;-13;147.0;340.0;171.0;-328.0;269.0;438.0
321.0;-80.0;3;134.0;324.0;194.0;-300.0;243.0;448.0
304.0;-115.0;25;99.0;283.0;191.0;-300.0;244.0;447.0
435.0;-249.0;-21;312.0;400.0;443.0;-274.0;134.0;207.0
284.0;-98.0;-20;57.0;304.0;203.0;-244.0;210.0;456.0
389.0;32.0;20;396.0;397.0;287.0;-223.0;205.0;343.0
293.0;-281.0;-25;274.0;394.0;264.0;-308.0;176.0;390.0
244.0;76.0;-7;270.0;406.0;382.0;-347.0;183.0;341.0
274.0;-100.0;10;174.0;347.0;202.0;-317.0;281.0;444.0
330.0;-119.0;-2;156.0;349.0;180.0;-328.0;283.0;463.0
235.0;-61.0;15;386.0;436.0;379.0;-463.0;176.0;252.0
429.0;-66.0;25;421.0;402.0;74.0;-373.0;164.0;282.0
199.0;17.0;-4;343.0;291.0;374.0;-341.0;95.0;395.0
287.0;-100.0;-6;157.0;344.0;235.0;-299.0;202.0;496.0
220.0;6.0;110;158.0;375.0;315.0;-286.0;150.0;421.0
330.0;15.0;-9;204.0;348.0;235.0;-278.0;128.0;395.0
291.0;-186.0;5;211.0;356.0;198.0;-311.0;176.0;457.0
241.0;-70.0;25;361.0;329.0;220.0;-268.0;190.0;381.0
299.0;-261.0;-7;221.0;358.0;240.0;-299.0;222.0;396.0
159.0;-95.0;44;373.0;345.0;221.0;-251.0;156.0;364.0
339.0;-123.0;12;167.0;334.0;173.0;-370.0;328.0;443.0
306.0;-30.0;1071;131.0;294.0;186.0;-356.0;122.0;448.0
311.0;27.0;-5;328.0;382.0;259.0;-344.0;234.0;437.0
309.0;-238.0;-58;230.0;344.0;221.0;-305.0;210.0;389.0
231.0;88.0;-101;306.0;369.0;405.0;-355.0;122.0;329.0
451.0;-36.0;1690;138.0;436.0;273.0;-510.0;274.0;437.0
256.0;-115.0;95;210.0;444.0;353.0;-246.0;133.0;344.0
337.0;37.0;5;309.0;385.0;278.0;-328.0;212.0;419.0
315.0;-17.0;-9;70.0;296.0;211.0;-308.0;215.0;421.0
283.0;-52.0;2;146.0;318.0;178.0;-243.0;181.0;431.0
284.0;-147.0;52;36.0;339.0;171.0;-323.0;262.0;384.0
485.0;30.0;278;118.0;260.0;374.0;-221.0;155.0;451.0
444.0;-209.0;-99;48.0;252.0;45.0;-177.0;172.0;552.0
308.0;-225.0;14;29.0;342.0;174.0;-325.0;224.0;409.0
327.0;93.0;-56;199.0;392.0;380.0;-300.0;173.0;327.0
314.0;-382.0;-11;130.0;301.0;268.0;-324.0;141.0;265.0
284.0;32.0;-17;279.0;376.0;274.0;-338.0;202.0;409.0
536.0;-173.0;19;190.0;456.0;255.0;-266.0;303.0;381.0
530.0;-306.0;-5;259.0;496.0;199.0;-687.0;240.0;349.0
327.0;-311.0;177;282.0;294.0;176.0;-259.0;110.0;118.0
-133.0;-82.0;21;372.0;335.0;223.0;-245.0;242.0;298.0
279.0;-419.0;1;29.0;289.0;182.0;-317.0;156.0;466.0
386.0;-170.0;-19;170.0;369.0;251.0;-205.0;143.0;281.0
358.0;-554.0;-7;299.0;359.0;387.0;-320.0;137.0;346.0
312.0;-606.0;1;191.0;357.0;222.0;-302.0;193.0;385.0
148.0;-116.0;14;247.0;425.0;194.0;-370.0;154.0;283.0
492.0;-155.0;129;173.0;354.0;230.0;-414.0;24.0;219.0
547.0;-64.0;163;164.0;352.0;229.0;-476.0;230.0;282.0
340.0;-24.0;-13;289.0;300.0;342.0;-230.0;87.0;392.0
284.0;39.0;7;333.0;387.0;290.0;-382.0;223.0;385.0
331.0;-68.0;-92;409.0;306.0;241.0;-268.0;17.0;273.0
533.0;-17.0;32;270.0;647.0;502.0;-572.0;149.0;274.0
381.0;-216.0;11;336.0;431.0;386.0;-522.0;282.0;325.0
502.0;130.0;-63;597.0;299.0;533.0;-365.0;61.0;-31.0
589.0;-659.0;-43;300.0;550.0;283.0;-435.0;206.0;271.0
333.0;-90.0;81;115.0;459.0;404.0;-272.0;-51.0;282.0
472.0;-174.0;-20;366.0;349.0;361.0;-305.0;194.0;232.0
260.0;3.0;-12;380.0;408.0;324.0;-344.0;217.0;384.0
364.0;27.0;3;387.0;420.0;317.0;-334.0;153.0;404.0
272.0;-159.0;100;23.0;300.0;191.0;-329.0;231.0;434.0
696.0;-228.0;18;175.0;460.0;462.0;-492.0;174.0;443.0
605.0;-118.0;12;215.0;433.0;249.0;-444.0;203.0;364.0
386.0;-70.0;204;290.0;389.0;298.0;-221.0;305.0;378.0
259.0;-97.0;14;119.0;447.0;261.0;-124.0;60.0;378.0
610.0;-93.0;1;191.0;406.0;269.0;-395.0;220.0;373.0
251.0;30.0;3;425.0;356.0;375.0;-266.0;74.0;332.0
241.0;-122.0;1;373.0;330.0;395.0;-284.0;92.0;337.0
595.0;-120.0;21;59.0;396.0;94.0;-385.0;118.0;427.0
270.0;-183.0;46;173.0;413.0;177.0;-308.0;295.0;422.0
296.0;40.0;-42;142.0;504.0;394.0;-359.0;357.0;354.0
272.0;-59.0;-33;138.0;505.0;418.0;-382.0;410.0;332.0
240.0;24.0;23;127.0;522.0;387.0;-372.0;354.0;328.0
302.0;-62.0;3;84.0;551.0;391.0;-353.0;377.0;336.0
339.0;44.0;11;163.0;482.0;390.0;-390.0;354.0;285.0
254.0;-170.0;-17;191.0;434.0;350.0;-227.0;188.0;344.0
620.0;22.0;17;299.0;690.0;404.0;-471.0;353.0;304.0
243.0;-20.0;36;258.0;325.0;146.0;-481.0;301.0;328.0
324.0;-174.0;14;152.0;372.0;138.0;-357.0;303.0;438.0
311.0;9.0;33;317.0;383.0;301.0;-319.0;130.0;409.0
247.0;25.0;7;344.0;375.0;335.0;-357.0;132.0;400.0
299.0;-29.0;53;288.0;273.0;227.0;-251.0;188.0;447.0
453.0;91.0;164;295.0;428.0;431.0;-367.0;217.0;301.0
326.0;-82.0;73;256.0;390.0;436.0;-352.0;24.0;174.0
375.0;100.0;334;316.0;453.0;215.0;-367.0;197.0;228.0
269.0;-245.0;70;171.0;417.0;330.0;-150.0;186.0;278.0
362.0;-251.0;194;281.0;285.0;444.0;-151.0;193.0;208.0
290.0;-165.0;-21;143.0;394.0;160.0;-350.0;274.0;413.0
270.0;-64.0;-23;76.0;329.0;160.0;-246.0;226.0;465.0
224.0;-173.0;32;126.0;490.0;267.0;-319.0;154.0;480.0
370.0;-91.0;-49;238.0;529.0;116.0;-197.0;225.0;477.0
280.0;-189.0;-16;142.0;387.0;163.0;-327.0;267.0;435.0
272.0;-156.0;-11;143.0;378.0;164.0;-318.0;256.0;417.0
333.0;-367.0;272;195.0;387.0;221.0;-374.0;300.0;364.0
189.0;-16.0;66;182.0;351.0;336.0;-225.0;110.0;366.0
271.0;-36.0;124;183.0;387.0;314.0;-229.0;81.0;386.0
305.0;-164.0;29;145.0;393.0;162.0;-297.0;285.0;411.0
487.0;-137.0;22;368.0;504.0;434.0;-380.0;208.0;379.0
175.0;-152.0;-19;248.0;389.0;334.0;-334.0;166.0;402.0
390.0;-295.0;3;205.0;327.0;327.0;-359.0;235.0;368.0
247.0;-159.0;12;154.0;362.0;170.0;-367.0;232.0;438.0
283.0;-205.0;15;134.0;437.0;159.0;-331.0;275.0;434.0
348.0;-19.0;111;154.0;390.0;367.0;-365.0;344.0;347.0
475.0;-50.0;354;259.0;439.0;416.0;-180.0;270.0;353.0
284.0;-166.0;-13;145.0;370.0;170.0;-326.0;285.0;430.0
212.0;-111.0;-31;180.0;398.0;323.0;-370.0;235.0;238.0
539.0;846.0;46;275.0;350.0;239.0;-268.0;174.0;292.0
328.0;-227.0;171;238.0;591.0;97.0;-263.0;169.0;277.0
333.0;-144.0;-3;67.0;391.0;181.0;-310.0;243.0;385.0
330.0;-54.0;43;417.0;319.0;440.0;-330.0;84.0;315.0
292.0;-196.0;49;413.0;321.0;444.0;-380.0;38.0;294.0
274.0;-213.0;-48;95.0;412.0;220.0;-297.0;220.0;341.0
434.0;-38.0;-200;35.0;378.0;317.0;-347.0;265.0;595.0
303.0;-27.0;12;305.0;249.0;404.0;-274.0;48.0;384.0
426.0;-182.0;18;313.0;389.0;277.0;-269.0;332.0;345.0
201.0;-126.0;56;407.0;369.0;376.0;-320.0;211.0;384.0
65.0;35.0;62;386.0;337.0;661.0;-677.0;53.0;222.0
375.0;55.0;22;335.0;448.0;567.0;-915.0;273.0;336.0
349.0;-268.0;55;164.0;393.0;161.0;-345.0;277.0;425.0
474.0;-123.0;-21;274.0;443.0;313.0;-223.0;115.0;357.0
393.0;-251.0;-45;248.0;300.0;116.0;-286.0;205.0;329.0
281.0;-82.0;-69;164.0;339.0;257.0;-288.0;242.0;457.0
340.0;-18.0;24;292.0;304.0;388.0;-276.0;20.0;423.0
221.0;-143.0;22;60.0;343.0;205.0;-356.0;230.0;465.0
266.0;28.0;-46;156.0;276.0;197.0;-394.0;153.0;403.0
244.0;-16.0;-32;76.0;394.0;162.0;-406.0;278.0;397.0
362.0;20.0;1;163.0;414.0;110.0;-220.0;265.0;435.0
261.0;-24.0;23;345.0;285.0;418.0;-245.0;76.0;237.0
498.0;-384.0;61;149.0;326.0;96.0;-275.0;252.0;451.0
301.0;0.0;23;381.0;316.0;427.0;-235.0;72.0;298.0
494.0;-109.0;-59;211.0;563.0;278.0;-310.0;130.0;283.0
462.0;-55.0;-11;308.0;444.0;235.0;-247.0;344.0;375.0
152.0;-95.0;53;314.0;372.0;176.0;-466.0;295.0;373.0
275.0;-113.0;9;248.0;655.0;331.0;-394.0;206.0;332.0
502.0;-118.0;-43;173.0;481.0;219.0;-244.0;82.0;356.0
408.0;-114.0;10;239.0;479.0;197.0;-134.0;76.0;326.0
141.0;-411.0;1;105.0;382.0;31.0;-159.0;193.0;283.0
23.0;-133.0;-28;171.0;445.0;203.0;-566.0;113.0;295.0
543.0;-145.0;13;130.0;507.0;211.0;-529.0;128.0;272.0
512.0;-12.0;140;304.0;396.0;425.0;-301.0;299.0;302.0
972.0;-123.0;18;221.0;746.0;211.0;-713.0;310.0;371.0
604.0;-3.0;130;270.0;562.0;288.0;-928.0;-86.0;79.0
375.0;-67.0;-62;96.0;417.0;153.0;-330.0;275.0;361.0
192.0;-108.0;-10;158.0;348.0;189.0;-233.0;206.0;433.0
563.0;16.0;9;301.0;583.0;246.0;-517.0;157.0;282.0
637.0;54.0;118;250.0;501.0;303.0;-950.0;-71.0;329.0
645.0;-47.0;8;177.0;587.0;230.0;-519.0;125.0;257.0
333.0;-172.0;53;104.0;408.0;138.0;-299.0;273.0;365.0
348.0;-55.0;7;115.0;400.0;151.0;-327.0;253.0;435.0
320.0;-15.0;17;162.0;353.0;191.0;-341.0;252.0;441.0
537.0;27.0;26;201.0;548.0;329.0;-465.0;245.0;433.0
522.0;27.0;26;220.0;565.0;339.0;-528.0;251.0;384.0
466.0;25.0;9;234.0;591.0;318.0;-505.0;268.0;388.0
389.0;8.0;70;306.0;404.0;385.0;-276.0;133.0;272.0
400.0;-11.0;11;190.0;385.0;271.0;-253.0;252.0;461.0
234.0;10.0;-11;274.0;346.0;299.0;-244.0;208.0;212.0
234.0;13.0;-20;212.0;360.0;314.0;-238.0;142.0;302.0
294.0;8.0;14;347.0;352.0;339.0;-350.0;132.0;398.0
282.0;23.0;-1;331.0;526.0;222.0;-377.0;339.0;431.0
215.0;26.0;33;310.0;517.0;222.0;-385.0;318.0;450.0
210.0;26.0;-34;206.0;458.0;211.0;-369.0;286.0;446.0
349.0;34.0;5;306.0;370.0;328.0;-236.0;235.0;316.0
211.0;28.0;-10;258.0;356.0;311.0;-262.0;131.0;320.0
348.0;21.0;195;358.0;393.0;180.0;-314.0;234.0;222.0
350.0;-135.0;53;369.0;404.0;115.0;-342.0;135.0;223.0
172.0;25.0;-32;212.0;420.0;216.0;-372.0;275.0;456.0
206.0;-169.0;19;385.0;396.0;327.0;-299.0;1.0;202.0
227.0;-173.0;29;222.0;349.0;162.0;-365.0;174.0;315.0
179.0;-214.0;35;180.0;351.0;363.0;-337.0;198.0;403.0
288.0;18.0;16;307.0;391.0;342.0;-355.0;153.0;381.0
508.0;-121.0;181;42.0;378.0;230.0;-399.0;271.0;411.0
225.0;-109.0;-67;140.0;242.0;531.0;-68.0;-249.0;312.0
289.0;-1659.0;1629;261.0;145.0;106.0;-228.0;292.0;578.0
331.0;1.0;34;364.0;366.0;408.0;-318.0;120.0;367.0
233.0;127.0;206;191.0;406.0;170.0;-261.0;264.0;504.0
352.0;-12.0;177;189.0;453.0;178.0;-372.0;275.0;432.0
326.0;27.0;24;360.0;379.0;401.0;-306.0;128.0;334.0
232.0;-20.0;46;249.0;341.0;324.0;-285.0;156.0;323.0
323.0;-109.0;-35;162.0;379.0;170.0;-370.0;301.0;439.0
302.0;-118.0;-2;136.0;386.0;173.0;-322.0;270.0;469.0
341.0;-259.0;24;167.0;368.0;249.0;-269.0;234.0;404.0
468.0;-85.0;-18;95.0;332.0;140.0;-359.0;290.0;368.0
319.0;37.0;26;168.0;278.0;223.0;-337.0;182.0;299.0
255.0;-5.0;-24;194.0;364.0;260.0;-236.0;107.0;307.0
587.0;-142.0;-53;290.0;502.0;268.0;-360.0;395.0;429.0
185.0;22.0;0;222.0;451.0;212.0;-357.0;280.0;463.0
187.0;20.0;37;211.0;452.0;228.0;-398.0;248.0;464.0
183.0;26.0;-8;209.0;408.0;227.0;-362.0;275.0;462.0
242.0;16.0;11;214.0;415.0;214.0;-371.0;287.0;446.0
215.0;24.0;26;230.0;417.0;213.0;-380.0;294.0;453.0
301.0;15.0;-8;205.0;437.0;217.0;-355.0;264.0;472.0
263.0;-47.0;226;356.0;331.0;490.0;-125.0;228.0;338.0
302.0;31.0;-17;217.0;436.0;215.0;-385.0;291.0;475.0
350.0;-131.0;9;149.0;377.0;170.0;-285.0;283.0;457.0
296.0;-109.0;8;112.0;354.0;181.0;-330.0;269.0;490.0
310.0;-372.0;4;237.0;295.0;402.0;-327.0;135.0;280.0
288.0;-236.0;-17;231.0;456.0;276.0;-347.0;228.0;443.0
208.0;-124.0;24;156.0;359.0;122.0;-309.0;130.0;389.0
515.0;-288.0;-17;232.0;350.0;134.0;-476.0;261.0;362.0
320.0;-126.0;2;129.0;378.0;189.0;-341.0;264.0;477.0
342.0;-120.0;-33;112.0;359.0;184.0;-351.0;252.0;476.0
346.0;-100.0;25;144.0;350.0;181.0;-307.0;273.0;475.0
379.0;-106.0;22;84.0;349.0;173.0;-310.0;232.0;465.0
303.0;-96.0;-18;114.0;343.0;158.0;-324.0;239.0;413.0
337.0;-105.0;-2;143.0;358.0;163.0;-315.0;293.0;427.0
350.0;-117.0;-19;146.0;364.0;171.0;-308.0;330.0;412.0
276.0;-90.0;15;192.0;371.0;170.0;-303.0;286.0;414.0
283.0;-128.0;13;135.0;348.0;174.0;-313.0;195.0;405.0
327.0;-1.0;29;352.0;370.0;391.0;-303.0;112.0;354.0
281.0;-101.0;4;109.0;348.0;177.0;-303.0;213.0;424.0
291.0;-110.0;7;117.0;333.0;178.0;-300.0;191.0;417.0
300.0;-109.0;-8;105.0;340.0;179.0;-294.0;206.0;407.0
297.0;-116.0;-10;79.0;356.0;168.0;-308.0;187.0;406.0
279.0;-110.0;-36;97.0;316.0;173.0;-313.0;194.0;424.0
244.0;-109.0;1;327.0;411.0;298.0;-269.0;122.0;257.0
474.0;-184.0;11;231.0;407.0;168.0;-393.0;310.0;450.0
269.0;-242.0;25;334.0;346.0;435.0;-277.0;75.0;237.0
420.0;-166.0;15;239.0;391.0;158.0;-364.0;328.0;450.0
