InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LLA magneticY
459.0;-179;135.0;53.0;305.0;?;37.0;-279.0;405.0
471.0;-179;132.0;48.0;300.0;-35.0;39.0;?;415.0
?;-178;129.0;42.0;?;?;?;?;429.0
485.0;-178;125.0;36.0;293.0;-35.0;?;-286.0;?
?;-178;123.0;32.0;291.0;-35.0;48.0;?;453.0
505.0;?;120.0;30.0;290.0;-35.0;49.0;-290.0;464.0
516.0;-178;118.0;?;289.0;-35.0;49.0;-291.0;470.0
525.0;-178;117.0;?;289.0;-36.0;48.0;-292.0;473.0
526.0;-178;116.0;?;?;?;48.0;-292.0;476.0
526.0;?;115.0;36.0;289.0;-39.0;49.0;?;477.0
?;-177;114.0;36.0;?;-43.0;51.0;-298.0;?
503.0;-177;113.0;37.0;289.0;-48.0;?;?;475.0
484.0;-177;113.0;39.0;?;-53.0;52.0;-303.0;477.0
474.0;-177;114.0;44.0;295.0;?;48.0;?;472.0
468.0;-178;118.0;51.0;302.0;-56.0;41.0;-298.0;467.0
483.0;-178;124.0;61.0;309.0;-53.0;31.0;-292.0;?
447.0;?;133.0;?;315.0;-50.0;19.0;-288.0;451.0
557.0;-178;?;84.0;325.0;-44.0;14.0;-273.0;443.0
608.0;-178;142.0;87.0;337.0;-36.0;11.0;?;?
418.0;-178;145.0;89.0;342.0;-35.0;?;-262.0;?
395.0;-178;148.0;86.0;345.0;-40.0;?;-262.0;416.0
397.0;-178;?;?;346.0;?;16.0;-264.0;422.0
309.0;-178;150.0;74.0;?;-62.0;?;?;435.0
302.0;-178;146.0;71.0;343.0;?;?;-264.0;458.0
338.0;-178;142.0;64.0;340.0;-78.0;29.0;-262.0;467.0
321.0;-178;140.0;59.0;338.0;-81.0;29.0;-261.0;482.0
332.0;?;144.0;?;336.0;-82.0;30.0;-258.0;496.0
382.0;?;152.0;54.0;335.0;-80.0;29.0;-256.0;506.0
399.0;?;160.0;55.0;?;-76.0;?;-255.0;512.0
?;?;163.0;56.0;?;-75.0;29.0;-257.0;515.0
423.0;-178;160.0;56.0;?;-77.0;30.0;-259.0;518.0
428.0;-178;155.0;?;333.0;-78.0;32.0;-262.0;520.0
437.0;-178;?;56.0;333.0;-76.0;36.0;?;517.0
?;-178;147.0;57.0;333.0;?;?;-264.0;513.0
479.0;-178;143.0;58.0;333.0;-65.0;41.0;-265.0;507.0
497.0;-178;137.0;60.0;?;-60.0;?;-267.0;?
519.0;-178;?;60.0;335.0;-56.0;44.0;-269.0;?
525.0;-178;126.0;62.0;?;-52.0;45.0;-273.0;480.0
?;-178;123.0;64.0;336.0;-49.0;45.0;?;?
533.0;-178;122.0;65.0;?;-46.0;?;-276.0;?
547.0;-178;121.0;65.0;334.0;-43.0;46.0;-277.0;?
551.0;-178;120.0;64.0;333.0;-41.0;?;?;423.0
535.0;-178;?;62.0;331.0;-40.0;?;-278.0;410.0
521.0;-177;122.0;61.0;328.0;-40.0;53.0;-279.0;?
?;-177;?;57.0;324.0;-42.0;56.0;?;393.0
506.0;-177;123.0;53.0;320.0;?;?;-282.0;384.0
503.0;-176;124.0;50.0;315.0;-45.0;63.0;-282.0;?
510.0;-176;125.0;?;311.0;-46.0;65.0;-283.0;383.0
?;-176;125.0;?;306.0;-48.0;67.0;-285.0;?
484.0;-177;125.0;37.0;301.0;-50.0;68.0;-287.0;390.0
480.0;-177;?;33.0;297.0;-50.0;?;-288.0;400.0
479.0;-177;124.0;?;293.0;-48.0;69.0;-289.0;?
474.0;-177;?;23.0;288.0;-46.0;70.0;?;421.0
471.0;-177;124.0;18.0;283.0;-45.0;72.0;-292.0;437.0
472.0;-177;123.0;12.0;277.0;-45.0;75.0;-294.0;457.0
473.0;-177;118.0;?;?;-47.0;77.0;-298.0;477.0
?;-177;?;3.0;268.0;-49.0;78.0;-301.0;495.0
480.0;-177;?;1.0;266.0;?;77.0;-304.0;509.0
501.0;-177;109.0;1.0;266.0;?;75.0;?;?
516.0;-177;?;1.0;266.0;-41.0;72.0;?;525.0
526.0;?;108.0;?;267.0;-36.0;70.0;-301.0;532.0
524.0;-177;106.0;4.0;268.0;-34.0;68.0;-301.0;?
505.0;-177;106.0;5.0;271.0;-34.0;67.0;-300.0;538.0
?;?;109.0;8.0;274.0;-34.0;66.0;-298.0;535.0
?;-176;?;?;278.0;-33.0;67.0;-295.0;529.0
504.0;-176;118.0;14.0;283.0;-35.0;68.0;?;?
508.0;-176;119.0;?;?;-40.0;69.0;?;516.0
486.0;-176;121.0;22.0;291.0;-46.0;69.0;-288.0;506.0
?;?;124.0;?;294.0;-53.0;67.0;-286.0;?
471.0;?;129.0;35.0;299.0;-58.0;?;?;485.0
470.0;-180;135.0;43.0;303.0;-63.0;?;-279.0;475.0
408.0;?;143.0;?;304.0;-67.0;52.0;-278.0;469.0
507.0;-179;146.0;?;310.0;-67.0;53.0;-265.0;?
544.0;-180;148.0;?;318.0;?;55.0;?;461.0
?;-179;146.0;?;321.0;-66.0;55.0;-264.0;461.0
368.0;-179;144.0;52.0;322.0;-70.0;?;-267.0;?
361.0;-179;?;44.0;321.0;-76.0;62.0;-271.0;485.0
?;-179;130.0;?;320.0;-81.0;64.0;-272.0;?
340.0;-179;120.0;38.0;316.0;-84.0;65.0;-272.0;532.0
356.0;-179;109.0;31.0;313.0;?;63.0;-276.0;548.0
344.0;?;?;?;310.0;-90.0;?;-280.0;?
375.0;-179;105.0;22.0;?;-92.0;58.0;-282.0;591.0
414.0;?;112.0;21.0;307.0;-90.0;56.0;-281.0;603.0
447.0;-179;117.0;22.0;308.0;-86.0;52.0;-280.0;610.0
458.0;?;119.0;24.0;309.0;-83.0;49.0;-279.0;613.0
471.0;-178;119.0;25.0;310.0;-82.0;?;-278.0;614.0
?;?;?;26.0;312.0;-80.0;49.0;-277.0;615.0
514.0;?;120.0;?;314.0;-78.0;52.0;-276.0;610.0
506.0;?;?;28.0;314.0;?;57.0;-275.0;604.0
495.0;-180;125.0;28.0;315.0;-76.0;64.0;-275.0;?
496.0;?;123.0;?;314.0;-79.0;72.0;?;?
?;?;120.0;25.0;313.0;-82.0;?;-278.0;578.0
468.0;-156;119.0;23.0;312.0;-83.0;?;?;?
477.0;-207;116.0;21.0;311.0;-82.0;?;?;549.0
485.0;-146;114.0;20.0;309.0;?;104.0;-279.0;?
493.0;157;109.0;19.0;307.0;-81.0;108.0;-281.0;519.0
503.0;203;?;20.0;305.0;?;109.0;-283.0;506.0
515.0;155;103.0;23.0;304.0;?;107.0;?;495.0
516.0;190;103.0;26.0;303.0;-75.0;104.0;-287.0;482.0
531.0;168;104.0;29.0;301.0;?;100.0;-288.0;472.0
532.0;?;105.0;29.0;299.0;-65.0;99.0;-289.0;468.0
531.0;177;?;27.0;297.0;-59.0;99.0;-289.0;464.0
522.0;173;106.0;23.0;?;-54.0;?;-291.0;467.0
513.0;?;107.0;?;?;-50.0;100.0;-292.0;469.0
499.0;?;108.0;17.0;?;-48.0;?;-294.0;?
481.0;176;?;?;280.0;?;100.0;-296.0;?
482.0;?;108.0;6.0;275.0;-48.0;101.0;-298.0;?
483.0;176;109.0;1.0;?;-48.0;103.0;-300.0;495.0
455.0;176;110.0;-4.0;?;-46.0;?;-301.0;504.0
441.0;?;111.0;?;259.0;-44.0;105.0;?;511.0
?;?;110.0;-15.0;254.0;-42.0;108.0;?;522.0
473.0;176;110.0;-22.0;252.0;-40.0;112.0;-302.0;533.0
?;176;110.0;-28.0;251.0;-35.0;116.0;-302.0;542.0
489.0;?;110.0;?;251.0;-31.0;?;-302.0;552.0
497.0;175;107.0;-36.0;251.0;-29.0;120.0;-303.0;555.0
490.0;178;104.0;-36.0;?;?;118.0;-305.0;556.0
493.0;173;?;-35.0;?;-29.0;?;-307.0;?
?;179;101.0;-35.0;?;?;?;-309.0;554.0
474.0;176;100.0;?;252.0;-33.0;119.0;-310.0;554.0
478.0;172;101.0;-33.0;?;-36.0;?;-310.0;552.0
475.0;?;102.0;?;253.0;-37.0;121.0;-309.0;551.0
?;?;104.0;-29.0;254.0;?;122.0;?;548.0
484.0;?;107.0;-27.0;257.0;?;123.0;-306.0;542.0
479.0;130;110.0;-24.0;260.0;?;122.0;-305.0;538.0
472.0;-175;113.0;-20.0;262.0;-43.0;119.0;-305.0;530.0
463.0;-197;114.0;-16.0;?;-45.0;116.0;-303.0;520.0
448.0;-157;116.0;-12.0;266.0;-46.0;114.0;-301.0;516.0
448.0;-191;?;-9.0;269.0;-46.0;?;-296.0;517.0
469.0;-169;132.0;-6.0;273.0;-43.0;?;?;519.0
415.0;-179;140.0;1.0;280.0;-44.0;?;-287.0;526.0
567.0;-177;142.0;7.0;288.0;?;?;-277.0;527.0
494.0;-175;141.0;4.0;297.0;-47.0;104.0;-275.0;?
391.0;-179;138.0;2.0;?;-53.0;103.0;-276.0;529.0
377.0;-176;132.0;-1.0;307.0;-63.0;104.0;-280.0;543.0
314.0;-177;124.0;-5.0;309.0;?;106.0;?;573.0
267.0;?;114.0;-6.0;309.0;-91.0;109.0;-291.0;608.0
276.0;?;105.0;-9.0;311.0;-99.0;107.0;-292.0;640.0
?;-177;101.0;-9.0;315.0;-100.0;100.0;-290.0;660.0
344.0;-177;103.0;-7.0;319.0;-93.0;88.0;-285.0;670.0
385.0;-177;?;-1.0;?;-83.0;72.0;?;679.0
?;-177;117.0;?;?;-75.0;52.0;-277.0;681.0
?;?;123.0;30.0;334.0;?;21.0;-276.0;674.0
472.0;-177;126.0;56.0;?;-71.0;-14.0;-276.0;662.0
498.0;-177;129.0;81.0;340.0;?;-49.0;-277.0;643.0
508.0;-177;131.0;?;345.0;-72.0;-83.0;-276.0;620.0
?;-177;?;127.0;350.0;-69.0;-119.0;-273.0;579.0
530.0;-177;140.0;151.0;355.0;-62.0;?;?;534.0
?;-177;147.0;180.0;362.0;?;?;-263.0;485.0
563.0;-177;154.0;214.0;367.0;-44.0;-220.0;-257.0;417.0
?;-177;161.0;?;373.0;-36.0;?;-252.0;344.0
544.0;-177;166.0;282.0;377.0;-33.0;-268.0;-248.0;263.0
529.0;-177;170.0;315.0;381.0;-31.0;-284.0;-244.0;?
508.0;-177;173.0;347.0;382.0;-31.0;-296.0;-242.0;129.0
476.0;-177;175.0;375.0;384.0;-32.0;?;-240.0;66.0
459.0;-177;?;401.0;385.0;-35.0;?;-239.0;-2.0
440.0;-177;176.0;430.0;386.0;-38.0;-313.0;-237.0;-77.0
425.0;-177;177.0;459.0;390.0;-39.0;-318.0;-235.0;-137.0
?;-177;180.0;?;392.0;-39.0;-324.0;-231.0;-188.0
441.0;-177;182.0;?;395.0;-37.0;-328.0;?;-231.0
442.0;-177;?;516.0;399.0;-36.0;-328.0;?;-259.0
450.0;-177;185.0;523.0;401.0;?;-331.0;-226.0;-273.0
452.0;-177;?;527.0;402.0;-39.0;-332.0;-226.0;?
435.0;?;?;529.0;403.0;-41.0;?;?;-287.0
448.0;-177;?;529.0;405.0;-42.0;-328.0;-227.0;-283.0
461.0;-177;179.0;528.0;?;-42.0;-323.0;-228.0;-281.0
479.0;-177;176.0;527.0;409.0;?;-319.0;-229.0;-273.0
492.0;-177;174.0;526.0;410.0;-40.0;-315.0;-230.0;-270.0
?;-177;174.0;524.0;411.0;-38.0;-311.0;-230.0;-271.0
508.0;-177;173.0;522.0;?;-36.0;-307.0;?;?
507.0;-177;173.0;520.0;411.0;-35.0;-304.0;-230.0;?
510.0;-177;172.0;517.0;409.0;-35.0;-300.0;-230.0;-256.0
?;-177;170.0;514.0;407.0;-35.0;-298.0;-230.0;-250.0
500.0;-177;170.0;511.0;405.0;-36.0;-296.0;-230.0;-250.0
499.0;-177;172.0;509.0;405.0;-36.0;-294.0;-229.0;-247.0
498.0;-177;176.0;?;?;-36.0;?;-229.0;?
503.0;-177;?;506.0;401.0;?;-294.0;-228.0;-245.0
?;-177;180.0;505.0;400.0;-38.0;?;?;-242.0
491.0;-177;182.0;502.0;398.0;?;-297.0;-225.0;-240.0
502.0;-177;183.0;500.0;397.0;?;-299.0;?;-242.0
?;?;184.0;495.0;396.0;-36.0;-301.0;?;?
487.0;-177;184.0;489.0;395.0;-35.0;-301.0;-221.0;-233.0
486.0;-177;?;?;?;-35.0;?;-221.0;-224.0
?;-177;184.0;?;393.0;-35.0;-308.0;-221.0;-206.0
470.0;?;183.0;452.0;391.0;-37.0;-314.0;?;?
?;-177;?;?;389.0;-40.0;-317.0;-224.0;-111.0
464.0;?;178.0;?;387.0;-43.0;-321.0;-224.0;?
452.0;-177;?;379.0;384.0;-45.0;-318.0;-225.0;65.0
457.0;?;173.0;346.0;381.0;-47.0;-301.0;?;171.0
453.0;-177;170.0;313.0;377.0;?;-273.0;-229.0;281.0
?;-177;166.0;277.0;?;-53.0;-238.0;-233.0;?
