InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA^ accY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA accX;InertialMeasurementUnit RUA accY
18;785;?;309.0;26;67;?;174.0
18;791;1024.0;305.0;-3;?;-916.0;148.0
?;?;1065.0;301.0;-11;?;-925.0;162.0
?;785;1072.0;321.0;9;-25;-945.0;189.0
17;780;1094.0;306.0;?;13;-961.0;167.0
?;785;?;313.0;-25;-21;-974.0;113.0
?;?;1090.0;?;-35;?;-970.0;83.0
17;799;1055.0;333.0;-13;-38;-963.0;106.0
17;?;1043.0;334.0;28;-124;?;?
17;786;1089.0;343.0;30;-140;-934.0;121.0
17;790;1108.0;340.0;27;-92;?;145.0
17;799;1103.0;329.0;54;-123;?;133.0
16;?;1082.0;340.0;?;?;-977.0;98.0
16;795;?;331.0;?;-114;-955.0;126.0
16;795;1070.0;332.0;30;-66;?;?
16;800;?;338.0;43;-29;?;186.0
?;798;1053.0;?;49;-28;-948.0;?
15;?;1063.0;?;29;-30;?;227.0
14;801;1029.0;?;-34;-60;-945.0;213.0
15;?;1028.0;?;54;60;?;223.0
15;805;1068.0;333.0;-2;?;-933.0;169.0
15;818;?;305.0;-117;?;-934.0;113.0
15;?;967.0;314.0;-23;48;?;61.0
15;?;1573.0;269.0;-30;-12;-748.0;-7.0
15;?;1515.0;249.0;-30;?;-1337.0;457.0
15;795;1085.0;?;53;-27;-1412.0;39.0
15;797;1008.0;295.0;28;3;-1086.0;-13.0
?;800;938.0;277.0;-8;?;-922.0;10.0
15;799;933.0;292.0;-18;31;-861.0;15.0
15;801;?;512.0;-61;14;-850.0;118.0
15;793;?;670.0;-36;-23;-938.0;234.0
15;799;1040.0;?;19;6;-1027.0;291.0
?;804;?;279.0;0;14;-971.0;272.0
15;794;1001.0;258.0;-12;2;-925.0;236.0
15;797;1035.0;?;19;43;-916.0;192.0
15;?;1054.0;261.0;?;44;-928.0;184.0
?;796;1072.0;267.0;2;22;-955.0;228.0
15;805;1069.0;284.0;-2;20;-966.0;239.0
?;?;?;295.0;13;25;-962.0;222.0
15;803;?;304.0;14;45;-967.0;213.0
15;807;1083.0;304.0;-16;?;-976.0;221.0
15;799;1072.0;303.0;?;-30;?;237.0
15;791;1073.0;291.0;?;0;-974.0;254.0
?;797;1107.0;267.0;-33;?;-971.0;260.0
14;796;1149.0;259.0;-40;-57;?;252.0
14;?;1108.0;?;9;-30;-1040.0;275.0
14;789;1043.0;280.0;36;-11;-1025.0;253.0
?;793;?;?;10;-23;-958.0;?
?;799;?;272.0;13;?;-910.0;228.0
14;?;1033.0;300.0;43;-13;?;?
14;797;?;313.0;?;3;-942.0;245.0
14;?;1075.0;306.0;10;-1;-970.0;254.0
14;793;1069.0;296.0;46;-62;-975.0;235.0
13;800;1070.0;?;?;-7;-966.0;196.0
13;797;1089.0;?;?;31;-956.0;166.0
?;794;?;275.0;20;8;-961.0;132.0
13;797;1090.0;290.0;32;?;-975.0;107.0
13;797;1069.0;315.0;-13;?;?;106.0
14;?;1073.0;314.0;-44;-11;-975.0;148.0
14;?;1051.0;?;-31;?;-960.0;164.0
14;792;1073.0;261.0;1;-24;-953.0;165.0
14;801;1081.0;275.0;?;-31;-950.0;147.0
14;?;?;323.0;35;-12;?;?
?;804;1080.0;?;38;0;-963.0;117.0
14;?;1071.0;?;37;0;-966.0;119.0
14;796;?;341.0;24;-7;-961.0;115.0
?;?;1065.0;308.0;38;?;-962.0;127.0
?;?;?;?;23;1;-954.0;148.0
13;806;?;275.0;18;8;-942.0;186.0
13;802;1038.0;303.0;?;-12;-937.0;204.0
14;798;1057.0;?;-66;?;-926.0;193.0
15;819;?;315.0;-25;?;-940.0;?
15;808;1079.0;300.0;-159;-82;-961.0;?
?;787;825.0;299.0;-203;-73;-961.0;137.0
?;786;1400.0;329.0;-131;-70;-813.0;?
15;780;1503.0;310.0;-44;-26;-940.0;238.0
15;789;1020.0;318.0;189;134;-1412.0;196.0
15;?;901.0;317.0;178;83;-1110.0;-51.0
?;807;?;259.0;?;1;-858.0;?
15;?;?;216.0;28;13;?;?
15;794;1222.0;334.0;3;-19;-883.0;?
15;799;1189.0;559.0;?;?;-1060.0;191.0
15;799;1105.0;568.0;13;-16;-1107.0;?
15;796;1116.0;?;-26;-31;-1021.0;60.0
15;799;?;?;-6;?;?;18.0
15;803;1116.0;372.0;8;-1;-1004.0;-28.0
15;796;?;428.0;7;-2;?;-3.0
?;?;?;365.0;?;64;-1000.0;83.0
15;804;?;332.0;-3;?;-968.0;103.0
15;800;1051.0;323.0;?;23;-960.0;135.0
?;?;1076.0;351.0;?;60;-954.0;163.0
15;799;1077.0;358.0;44;63;-973.0;168.0
15;795;1095.0;371.0;65;39;-993.0;157.0
15;801;1107.0;395.0;-24;?;-997.0;157.0
?;798;1128.0;?;-13;-6;-998.0;162.0
15;798;1130.0;361.0;6;-6;?;165.0
14;800;1150.0;336.0;-10;2;-1018.0;159.0
14;794;1105.0;334.0;?;26;?;144.0
14;795;1080.0;324.0;-2;66;-1020.0;?
14;797;?;323.0;-33;82;-978.0;127.0
14;?;1097.0;306.0;-16;112;-977.0;140.0
14;796;1089.0;304.0;?;84;-979.0;150.0
14;?;1087.0;294.0;-43;44;-975.0;142.0
15;?;1091.0;286.0;-44;18;-970.0;?
15;788;1079.0;294.0;-43;?;-971.0;132.0
15;793;1062.0;283.0;-25;-1;-967.0;141.0
15;793;1048.0;287.0;?;1;-961.0;141.0
15;796;1035.0;300.0;-11;-12;-938.0;136.0
15;?;?;321.0;62;-67;-945.0;?
15;796;1045.0;315.0;110;-87;?;145.0
15;?;1029.0;298.0;?;?;-932.0;162.0
15;795;1058.0;289.0;55;?;?;?
?;792;1070.0;?;74;-41;-942.0;127.0
15;?;1060.0;?;?;-75;?;132.0
15;803;1083.0;?;20;?;-949.0;?
15;796;1086.0;315.0;66;-5;-951.0;144.0
15;800;1066.0;305.0;53;-10;-958.0;143.0
14;?;1055.0;313.0;11;0;-954.0;144.0
?;799;1054.0;334.0;-47;-18;-938.0;136.0
13;800;1075.0;340.0;-37;-10;-948.0;119.0
13;?;?;324.0;-5;-3;?;106.0
13;803;1035.0;331.0;-16;-7;?;130.0
13;798;1008.0;?;21;22;-939.0;193.0
?;798;1048.0;?;24;22;?;209.0
?;809;958.0;310.0;-95;26;-906.0;211.0
12;789;1111.0;331.0;?;27;-903.0;156.0
12;775;1475.0;?;-78;?;-817.0;?
?;?;1261.0;351.0;-28;-16;-1330.0;260.0
12;769;?;335.0;33;34;-1227.0;-160.0
12;811;1056.0;?;108;64;-1014.0;-52.0
13;803;1010.0;291.0;?;?;-965.0;-90.0
?;787;1100.0;407.0;-27;-45;-909.0;-64.0
14;798;1227.0;549.0;43;-8;?;82.0
14;794;?;582.0;41;?;-1074.0;?
14;799;1113.0;?;36;?;?;120.0
14;799;1090.0;463.0;13;-12;?;98.0
?;799;1122.0;?;-5;-13;-992.0;64.0
14;?;1101.0;?;26;1;-990.0;8.0
15;799;1087.0;?;-6;-15;-997.0;2.0
15;799;1080.0;417.0;-15;-25;-991.0;?
15;799;1050.0;389.0;57;20;-975.0;105.0
15;793;?;400.0;23;5;-961.0;?
15;797;1038.0;374.0;-17;7;-957.0;177.0
15;802;1095.0;386.0;47;29;?;163.0
15;799;1091.0;?;5;17;-969.0;153.0
14;799;1071.0;389.0;-12;36;-983.0;163.0
14;?;1092.0;393.0;47;51;-989.0;167.0
14;812;1097.0;?;-35;35;-986.0;180.0
14;810;1094.0;353.0;-44;?;?;191.0
?;797;1143.0;352.0;?;0;?;197.0
15;800;1137.0;371.0;-14;-16;?;184.0
14;807;1099.0;351.0;-27;-34;-1030.0;183.0
14;809;1102.0;338.0;?;-51;-995.0;?
14;?;?;311.0;?;-81;-977.0;139.0
14;786;1087.0;?;11;-102;-981.0;165.0
15;?;1062.0;?;-19;?;-994.0;173.0
15;798;?;327.0;?;51;-975.0;162.0
15;?;1041.0;309.0;-6;8;-959.0;140.0
16;797;?;317.0;44;47;-951.0;146.0
16;791;?;305.0;53;57;-938.0;175.0
16;799;1049.0;311.0;25;-1;-941.0;?
16;809;1050.0;307.0;?;?;-941.0;143.0
16;?;1063.0;309.0;27;-5;-934.0;101.0
16;789;1091.0;?;2;-32;-951.0;67.0
15;796;1086.0;322.0;?;-14;-976.0;90.0
15;805;1045.0;315.0;11;1;-981.0;137.0
15;805;1037.0;286.0;?;?;?;172.0
?;801;1044.0;313.0;-10;-23;-932.0;211.0
15;?;1053.0;321.0;19;-19;?;211.0
15;803;1065.0;?;6;-39;-928.0;163.0
16;801;1071.0;327.0;15;15;-945.0;113.0
16;802;1062.0;368.0;10;16;?;118.0
16;?;1050.0;342.0;?;12;-945.0;150.0
15;803;1070.0;?;5;?;?;?
15;?;?;320.0;23;-29;-928.0;123.0
14;807;1094.0;305.0;14;0;-941.0;?
?;804;1041.0;287.0;0;-1;-949.0;?
?;796;1040.0;315.0;46;18;-940.0;141.0
16;795;1053.0;287.0;-76;5;-922.0;158.0
16;?;964.0;324.0;?;21;-935.0;159.0
16;?;1137.0;343.0;-98;74;-911.0;106.0
16;765;1576.0;324.0;-144;-3;-842.0;84.0
16;766;1145.0;305.0;-6;-40;-1393.0;?
?;?;?;321.0;225;?;-1183.0;-129.0
16;809;1010.0;304.0;?;12;-992.0;13.0
16;804;1031.0;303.0;-9;-45;?;4.0
16;803;?;415.0;22;-24;?;47.0
?;791;1236.0;685.0;6;-11;-993.0;156.0
16;794;1137.0;625.0;-20;-4;-1128.0;167.0
?;?;1071.0;505.0;?;?;?;148.0
16;793;1086.0;439.0;?;-12;-986.0;155.0
16;797;1082.0;402.0;?;18;-984.0;142.0
16;?;1070.0;446.0;42;38;-997.0;167.0
16;793;1090.0;?;76;20;?;170.0
16;797;1085.0;398.0;35;49;-968.0;184.0
16;804;1030.0;407.0;38;35;-983.0;184.0
16;804;1067.0;417.0;30;44;-949.0;205.0
16;801;1080.0;418.0;-8;38;-943.0;144.0
16;796;?;?;32;?;-967.0;144.0
16;?;1083.0;370.0;?;1;?;143.0
16;804;1077.0;?;10;-54;-970.0;173.0
16;?;1059.0;355.0;28;-32;-969.0;221.0
16;?;?;327.0;?;9;-965.0;?
16;?;1097.0;326.0;-42;-14;-962.0;?
?;801;1101.0;333.0;?;39;?;241.0
17;?;1084.0;340.0;5;54;-1003.0;256.0
17;799;1079.0;?;22;17;-989.0;273.0
17;797;1071.0;330.0;-18;47;-972.0;274.0
17;804;1079.0;386.0;-25;?;-961.0;287.0
18;?;1080.0;377.0;-6;?;?;262.0
18;801;1070.0;329.0;-36;-70;-964.0;221.0
18;800;?;299.0;?;-53;-964.0;191.0
18;796;?;286.0;-2;-41;?;166.0
18;807;?;266.0;-37;-48;-954.0;139.0
?;809;1089.0;287.0;?;-54;-967.0;121.0
?;798;?;?;50;-87;-969.0;130.0
?;?;1066.0;350.0;40;-123;-969.0;127.0
18;787;1033.0;341.0;?;?;-950.0;136.0
18;790;?;322.0;?;?;-928.0;143.0
18;796;1048.0;294.0;35;-26;?;161.0
18;801;1066.0;323.0;?;?;-944.0;152.0
18;807;?;?;?;-20;-930.0;118.0
18;805;1113.0;309.0;28;-22;-955.0;111.0
18;799;1098.0;296.0;42;-42;-988.0;98.0
18;794;1128.0;296.0;-16;-6;-993.0;?
18;793;1091.0;345.0;-9;19;-984.0;60.0
18;?;1070.0;372.0;-43;25;-980.0;77.0
18;811;1072.0;?;-77;12;-966.0;98.0
?;799;1090.0;384.0;-14;-21;-951.0;125.0
17;799;1092.0;?;-14;30;-952.0;149.0
?;804;?;313.0;?;44;-966.0;153.0
17;797;1059.0;303.0;?;26;-970.0;143.0
16;?;1065.0;305.0;20;68;?;130.0
15;?;1076.0;316.0;?;?;-945.0;113.0
15;?;1079.0;326.0;28;?;-954.0;114.0
16;793;1009.0;337.0;-1;131;-948.0;126.0
16;802;1084.0;363.0;-104;41;-919.0;130.0
15;?;?;366.0;?;19;-904.0;88.0
16;773;1345.0;355.0;-93;7;?;?
16;780;1385.0;313.0;-50;-88;-918.0;-19.0
?;800;?;311.0;12;-35;-1298.0;83.0
16;800;1105.0;?;?;?;-1160.0;-125.0
16;?;?;326.0;22;?;-1049.0;?
16;810;1014.0;369.0;-14;-40;-950.0;12.0
16;?;1102.0;536.0;4;9;-916.0;?
16;799;1125.0;683.0;31;?;-973.0;237.0
16;805;1106.0;639.0;?;-37;-1038.0;?
16;?;1079.0;465.0;?;?;-1014.0;?
?;796;1094.0;428.0;-8;-4;?;?
16;?;1100.0;430.0;-20;?;?;127.0
16;794;1094.0;415.0;-4;?;-979.0;79.0
16;793;1087.0;?;?;?;-975.0;108.0
16;804;1086.0;416.0;-51;?;-992.0;?
?;?;1075.0;529.0;?;-28;-982.0;204.0
16;804;1082.0;525.0;27;-4;-987.0;273.0
?;802;?;496.0;?;19;?;276.0
16;798;1101.0;?;-36;?;-988.0;?
?;801;1071.0;386.0;8;-19;-974.0;?
?;801;1090.0;?;9;6;-967.0;145.0
?;?;1089.0;516.0;-4;34;-945.0;117.0
16;804;1092.0;471.0;-2;-4;-952.0;101.0
16;804;1099.0;494.0;-9;-32;-966.0;?
16;798;1100.0;396.0;-32;12;-976.0;105.0
16;795;1093.0;466.0;-54;30;-985.0;?
16;800;1055.0;498.0;-30;?;?;?
16;797;1058.0;388.0;-2;-45;-959.0;177.0
16;800;1064.0;384.0;-12;?;?;201.0
16;805;1037.0;393.0;?;-6;?;177.0
16;?;1058.0;454.0;17;?;-946.0;139.0
16;797;1073.0;384.0;-45;8;-952.0;120.0
16;800;?;?;?;-39;-966.0;?
?;801;1086.0;372.0;7;-5;-958.0;146.0
16;799;1098.0;320.0;?;3;-968.0;182.0
16;798;1119.0;300.0;?;-3;-992.0;202.0
16;796;1090.0;251.0;?;18;-995.0;202.0
16;797;1051.0;239.0;?;?;-995.0;210.0
?;?;1056.0;?;4;1;-985.0;202.0
16;?;1046.0;266.0;-3;12;-961.0;?
16;?;?;276.0;-26;?;-930.0;183.0
16;801;1158.0;299.0;?;-8;-956.0;172.0
?;798;?;322.0;-45;-13;-1022.0;191.0
16;795;1101.0;314.0;-44;?;-1031.0;?
?;797;1088.0;326.0;-30;?;-1000.0;190.0
16;794;1062.0;337.0;?;-20;-999.0;?
16;798;1079.0;343.0;1;41;-966.0;181.0
?;802;1076.0;?;-17;25;-960.0;186.0
16;796;1095.0;363.0;1;-11;-964.0;191.0
16;?;1093.0;?;17;18;?;191.0
?;800;1072.0;350.0;6;27;?;?
16;?;1060.0;352.0;24;5;?;179.0
16;796;1070.0;364.0;42;26;?;175.0
16;804;1060.0;359.0;32;?;?;160.0
16;800;1072.0;362.0;14;?;-951.0;?
16;797;1077.0;352.0;?;-13;-949.0;153.0
16;?;1053.0;382.0;24;10;?;?
16;799;1023.0;400.0;-3;?;?;208.0
16;797;1046.0;439.0;34;-10;-941.0;197.0
16;?;1088.0;459.0;?;-40;?;?
16;?;1088.0;458.0;-52;-39;-979.0;187.0
?;800;1085.0;451.0;27;-21;-995.0;210.0
16;807;1075.0;363.0;?;-33;-977.0;213.0
16;?;1089.0;388.0;16;-7;-970.0;207.0
16;798;1076.0;?;-3;?;-984.0;201.0
16;?;1073.0;395.0;8;-29;-976.0;226.0
16;794;1115.0;519.0;?;-7;-967.0;?
16;798;1103.0;501.0;24;21;-990.0;?
16;801;1061.0;406.0;-11;-4;-997.0;243.0
16;799;1050.0;186.0;-13;-12;-967.0;252.0
?;802;1037.0;?;10;-14;-955.0;300.0
?;802;1036.0;804.0;?;-21;-945.0;362.0
16;?;?;979.0;-14;-10;-922.0;356.0
16;804;1064.0;699.0;?;-10;-928.0;317.0
16;805;1114.0;463.0;-36;-17;-946.0;267.0
16;803;1116.0;307.0;0;-25;-957.0;210.0
16;798;1124.0;274.0;16;-15;-981.0;?
16;800;1105.0;199.0;?;-28;-994.0;?
16;807;1107.0;185.0;-32;?;-990.0;119.0
16;802;1096.0;289.0;19;?;?;130.0
16;800;1088.0;331.0;-18;5;-989.0;148.0
16;806;1082.0;347.0;?;?;?;170.0
16;804;1080.0;377.0;1;?;-966.0;181.0
16;803;1062.0;?;-9;10;-971.0;174.0
16;805;?;348.0;?;31;?;195.0
16;801;1049.0;317.0;18;35;?;203.0
16;802;1041.0;296.0;-16;23;?;207.0
?;?;1065.0;304.0;-7;?;-955.0;225.0
?;795;1104.0;323.0;-21;?;?;222.0
16;804;1089.0;324.0;-21;4;-981.0;209.0
16;805;1069.0;333.0;-13;11;-979.0;225.0
16;800;1082.0;351.0;?;-40;-973.0;226.0
16;?;1071.0;383.0;14;?;-963.0;236.0
16;807;1049.0;?;-18;-5;-962.0;226.0
16;801;1065.0;379.0;-5;-6;?;219.0
16;804;1093.0;370.0;49;52;-972.0;243.0
16;807;1093.0;352.0;28;?;-974.0;288.0
16;801;1035.0;325.0;29;-10;-966.0;287.0
16;803;1061.0;?;-9;58;-945.0;241.0
16;804;1080.0;292.0;?;41;?;183.0
16;802;1089.0;292.0;-19;0;-957.0;165.0
16;803;1090.0;295.0;-11;?;-971.0;178.0
16;803;1089.0;313.0;-2;-1;-969.0;163.0
16;?;1067.0;304.0;-41;?;-985.0;192.0
?;802;1078.0;?;-12;-50;?;?
16;804;?;350.0;24;-30;-970.0;?
16;807;?;343.0;?;2;-963.0;306.0
16;807;1065.0;323.0;37;-10;-959.0;?
16;?;1075.0;?;3;25;-961.0;248.0
16;809;?;339.0;?;?;-969.0;?
16;806;?;?;?;?;-977.0;214.0
16;801;1103.0;311.0;30;-11;-987.0;204.0
16;804;?;312.0;16;-13;-992.0;190.0
16;805;?;370.0;?;?;-991.0;?
16;797;1078.0;357.0;?;-5;?;203.0
?;798;?;333.0;0;-20;-973.0;213.0
16;798;1078.0;310.0;-6;13;?;187.0
16;801;1080.0;341.0;?;?;-965.0;?
16;807;1071.0;306.0;6;-31;-964.0;?
16;805;1090.0;?;-4;-40;?;?
16;805;?;305.0;3;-5;-967.0;152.0
16;?;1106.0;?;28;4;-975.0;124.0
16;806;1139.0;?;44;-11;-980.0;165.0
?;805;1142.0;330.0;23;-24;?;99.0
16;803;1080.0;327.0;?;-1;-1008.0;147.0
16;807;1042.0;?;?;41;-978.0;353.0
16;802;1067.0;330.0;11;36;-955.0;390.0
16;797;1075.0;345.0;33;15;?;210.0
16;801;1020.0;337.0;0;1;-978.0;136.0
16;802;1014.0;316.0;-27;?;-966.0;?
16;801;1029.0;300.0;-10;-7;-939.0;?
16;805;?;299.0;-3;10;-949.0;275.0
?;802;992.0;?;?;-4;-951.0;?
16;800;1000.0;341.0;?;-21;-931.0;301.0
?;800;1031.0;324.0;5;?;-926.0;301.0
?;797;1061.0;333.0;37;?;-940.0;?
16;800;1059.0;?;3;12;-970.0;258.0
16;803;1059.0;296.0;?;?;-980.0;244.0
16;798;?;320.0;15;-13;-974.0;248.0
16;799;1001.0;360.0;-16;?;-963.0;263.0
16;?;1028.0;348.0;1;6;-944.0;292.0
16;799;1023.0;?;3;7;-938.0;296.0
16;798;1026.0;333.0;10;-43;?;276.0
16;803;1055.0;315.0;18;-14;-939.0;?
16;?;1056.0;?;-31;6;-954.0;278.0
16;799;1093.0;304.0;?;-15;-965.0;278.0
16;807;1131.0;287.0;19;6;-968.0;?
?;803;1119.0;320.0;-34;19;-1011.0;187.0
?;803;?;?;16;-1;-1022.0;157.0
16;805;?;362.0;?;17;?;184.0
16;798;1080.0;299.0;17;30;-990.0;?
16;796;?;?;-1;-2;-976.0;167.0
16;800;1101.0;?;-7;22;-959.0;199.0
16;800;?;336.0;5;?;?;175.0
16;801;1041.0;324.0;26;18;-963.0;185.0
16;?;1064.0;294.0;?;0;?;174.0
16;802;1052.0;305.0;-15;?;-958.0;?
16;805;1054.0;289.0;18;-10;-959.0;167.0
16;806;?;308.0;0;5;-954.0;181.0
16;802;1045.0;325.0;?;-24;-964.0;171.0
16;803;1058.0;321.0;-32;?;-955.0;216.0
?;807;1058.0;324.0;-14;-20;-942.0;201.0
16;805;1068.0;311.0;-7;11;-951.0;191.0
16;805;1061.0;?;?;?;-964.0;170.0
?;803;1085.0;322.0;-34;-26;-969.0;162.0
16;?;?;306.0;?;?;-966.0;149.0
16;803;1089.0;?;-4;10;-998.0;?
?;803;1061.0;304.0;-53;-8;-1003.0;209.0
16;801;?;352.0;-49;?;?;221.0
16;804;1091.0;?;2;12;?;197.0
16;803;1099.0;324.0;-9;-20;-989.0;188.0
16;?;1083.0;?;2;-20;-1001.0;186.0
16;801;?;298.0;27;?;?;222.0
16;798;1074.0;321.0;9;1;-971.0;?
16;803;1072.0;318.0;-62;-4;-966.0;?
16;801;?;313.0;-54;?;-967.0;?
16;797;1084.0;318.0;-16;-8;-983.0;?
16;803;1060.0;?;-26;-36;?;226.0
16;799;1036.0;307.0;-43;29;?;214.0
16;797;1065.0;316.0;-73;20;-963.0;224.0
16;802;1078.0;325.0;-44;-57;-957.0;?
16;797;1099.0;314.0;-18;-5;-955.0;231.0
16;799;1080.0;323.0;-40;25;-966.0;213.0
16;805;1089.0;304.0;-31;-11;-989.0;225.0
16;797;?;327.0;?;?;-987.0;?
16;794;1063.0;358.0;-40;-13;-977.0;218.0
?;796;?;319.0;-1;18;-957.0;179.0
16;802;1112.0;328.0;28;-9;?;?
?;807;1089.0;349.0;40;?;-994.0;176.0
16;800;1072.0;359.0;34;11;-997.0;201.0
?;?;1056.0;326.0;?;-18;-987.0;210.0
16;799;1093.0;317.0;22;8;-978.0;?
?;797;1085.0;354.0;-13;18;-979.0;178.0
16;797;1087.0;349.0;-7;?;-986.0;?
?;798;1074.0;347.0;34;-12;-981.0;179.0
16;797;?;347.0;14;-32;-982.0;197.0
16;?;?;332.0;?;-32;-981.0;203.0
?;?;1070.0;334.0;12;?;?;?
16;?;1090.0;332.0;?;14;?;?
?;803;1080.0;?;11;7;-973.0;201.0
?;802;1092.0;342.0;-15;-26;-979.0;202.0
?;805;?;353.0;?;?;-975.0;188.0
16;802;1091.0;?;37;-21;-970.0;208.0
?;795;1100.0;328.0;29;-12;-971.0;206.0
16;802;1080.0;340.0;15;-16;-995.0;?
16;803;?;318.0;-19;-18;?;228.0
