InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax
-554.0;-20;241.0;131.0;22;167.0;657;-21
-531.0;-21;173.0;130.0;10;118.0;674;-31
-678.0;-668;452.0;326.0;3314;341.0;1878;-1711
-74.0;-174;-150.0;617.0;49;404.0;664;87
-265.0;-124;-328.0;652.0;34;441.0;651;-3
-3.0;-1321;-55.0;630.0;-602;442.0;1742;-291
18.0;-17;-22.0;642.0;48;436.0;639;202
12.0;-33;-48.0;631.0;49;428.0;640;181
-52.0;-108;-90.0;615.0;43;417.0;666;213
-12.0;-45;11.0;720.0;26;502.0;689;123
-133.0;-211;-268.0;383.0;-12;203.0;692;7
-515.0;14;176.0;-53.0;20;91.0;660;10
-514.0;15;169.0;-54.0;22;89.0;667;4
4.0;40;-240.0;-378.0;26;-178.0;659;2
-190.0;23;-33.0;-229.0;54;-52.0;679;-21
-376.0;-15;165.0;58.0;21;-102.0;661;9
-380.0;-6;163.0;57.0;17;-103.0;658;3
-376.0;1;160.0;53.0;18;-96.0;654;7
223.0;-12;-295.0;451.0;16;270.0;670;-20
50.0;32;-291.0;384.0;42;225.0;620;17
-470.0;27;142.0;-98.0;19;77.0;663;6
-346.0;-30;177.0;-149.0;10;24.0;675;41
-473.0;-26;141.0;-78.0;20;81.0;660;-6
159.0;-56;-286.0;461.0;26;263.0;671;-33
-499.0;6;163.0;-68.0;21;95.0;663;4
84.0;49;-331.0;414.0;-815;269.0;1702;-443
128.0;134;-312.0;314.0;71;231.0;619;28
-501.0;-6;174.0;-55.0;19;107.0;663;1
1.0;145;-307.0;277.0;24;207.0;659;48
-463.0;-46;156.0;-53.0;19;90.0;674;115
-519.0;2212;125.0;42.0;314;-41.0;2201;-1702
-548.0;78;199.0;10.0;24;176.0;697;-7
-181.0;-320;-303.0;243.0;20;108.0;645;-4
-84.0;3000;385.0;-678.0;129;-644.0;1054;165
-409.0;110;-174.0;225.0;-19;118.0;657;-69
-546.0;-25;340.0;216.0;13;224.0;672;5
-473.0;-31;120.0;59.0;0;-59.0;689;1
-476.0;-33;124.0;62.0;16;-59.0;679;-4
-454.0;22;125.0;74.0;29;-65.0;655;-68
-424.0;-17;205.0;66.0;20;-131.0;651;-2
-513.0;-26;321.0;15.0;17;215.0;666;6
-512.0;-39;322.0;15.0;18;214.0;665;5
-511.0;-1;325.0;14.0;17;214.0;667;2
-512.0;3;325.0;14.0;20;218.0;661;2
-478.0;-8;177.0;-14.0;12;121.0;678;31
-480.0;15;201.0;-12.0;21;136.0;680;8
-514.0;-37;225.0;-15.0;16;148.0;678;7
-540.0;14;223.0;-13.0;19;138.0;666;2
-558.0;-65;287.0;80.0;15;190.0;664;7
-480.0;24;365.0;418.0;14;250.0;652;19
-446.0;-8;339.0;395.0;3;226.0;678;-24
-522.0;-32;309.0;324.0;11;211.0;679;-8
-539.0;-36;323.0;328.0;14;222.0;673;1
-553.0;-37;334.0;333.0;13;232.0;671;0
-532.0;-1;343.0;225.0;29;251.0;665;-102
-509.0;1116;166.0;-39.0;-147;98.0;653;60
-23.0;-36;155.0;860.0;21;494.0;677;80
140.0;23;110.0;757.0;13;649.0;765;5
170.0;-8;130.0;760.0;15;643.0;759;4
176.0;-8;133.0;760.0;17;642.0;756;1
245.0;22;172.0;761.0;10;639.0;760;1
194.0;-25;123.0;760.0;18;643.0;755;4
195.0;10;124.0;758.0;13;645.0;760;3
194.0;-12;112.0;758.0;7;648.0;764;4
196.0;-27;109.0;758.0;13;647.0;763;13
208.0;12;103.0;755.0;11;651.0;759;4
206.0;-5;100.0;755.0;11;652.0;758;4
211.0;-4;98.0;753.0;14;654.0;757;3
-587.0;86;346.0;163.0;-3;222.0;730;4
-664.0;66;416.0;174.0;10;262.0;712;5
-939.0;795;552.0;242.0;670;264.0;492;471
-572.0;-33;382.0;244.0;17;280.0;659;-31
137.0;15;108.0;756.0;11;649.0;761;-4
157.0;-41;74.0;762.0;14;644.0;760;-1
150.0;7;-20.0;807.0;20;590.0;744;0
-607.0;16;373.0;76.0;12;215.0;700;-4
-596.0;-38;377.0;352.0;17;262.0;663;-7
153.0;9;67.0;764.0;21;642.0;756;3
150.0;30;63.0;764.0;17;641.0;762;3
145.0;2;62.0;764.0;12;641.0;764;4
17.0;-3;101.0;825.0;13;561.0;753;4
249.0;1;-30.0;834.0;9;543.0;760;4
-534.0;2546;375.0;364.0;-1124;364.0;2189;-740
-759.0;-34;759.0;464.0;17;283.0;663;-6
176.0;-11;-10.0;811.0;16;585.0;749;1
-601.0;79;435.0;324.0;17;342.0;667;-72
184.0;-14;-8.0;813.0;15;583.0;751;2
-563.0;-148;420.0;307.0;67;329.0;659;1
163.0;-20;55.0;765.0;14;640.0;760;6
166.0;6;50.0;770.0;11;634.0;761;4
-737.0;3;674.0;653.0;16;236.0;652;-3
-739.0;-160;495.0;166.0;19;245.0;662;25
-612.0;-48;356.0;127.0;10;238.0;669;1
157.0;-2;52.0;772.0;6;632.0;764;4
153.0;-4;48.0;771.0;19;633.0;758;3
-562.0;16;232.0;-11.0;19;148.0;664;4
-572.0;49;232.0;-11.0;24;150.0;663;3
-572.0;-33;230.0;-18.0;24;149.0;666;3
-546.0;-7;225.0;-16.0;19;147.0;672;4
154.0;-27;41.0;770.0;15;635.0;758;-1
158.0;-21;42.0;769.0;12;636.0;760;-1
193.0;-22;32.0;821.0;11;571.0;753;0
-420.0;-12;512.0;660.0;7;559.0;677;-7
-609.0;25;391.0;134.0;15;238.0;705;1
-124.0;4;266.0;753.0;13;632.0;757;-5
70.0;10;182.0;770.0;13;625.0;753;-4
100.0;8;174.0;768.0;13;628.0;754;-4
160.0;-15;198.0;716.0;25;686.0;639;28
85.0;1;185.0;765.0;13;631.0;757;-2
87.0;-61;182.0;764.0;9;633.0;755;-4
-553.0;-548;524.0;456.0;11;470.0;487;-506
-583.0;-28;382.0;139.0;17;235.0;700;-4
-591.0;-31;378.0;139.0;26;234.0;692;1
-594.0;-7;389.0;158.0;20;247.0;695;3
-606.0;-15;411.0;173.0;17;265.0;700;6
-379.0;-125;406.0;446.0;48;437.0;633;-22
123.0;38;200.0;758.0;12;639.0;756;3
18.0;36;206.0;757.0;12;638.0;755;2
-79.0;3;218.0;756.0;17;638.0;748;1
157.0;-23;178.0;751.0;11;649.0;760;-3
-688.0;1678;410.0;289.0;45;313.0;791;400
-609.0;-25;410.0;174.0;23;266.0;697;-2
215.0;-6;103.0;764.0;13;641.0;757;-4
216.0;-22;103.0;764.0;11;641.0;760;2
227.0;-39;100.0;756.0;8;651.0;759;0
215.0;19;112.0;763.0;13;642.0;759;-2
-247.0;-11;516.0;731.0;14;596.0;660;-7
-225.0;-26;246.0;771.0;16;614.0;752;0
-268.0;7;332.0;767.0;10;601.0;752;0
29.0;-3;195.0;747.0;11;649.0;765;-6
116.0;1;170.0;748.0;10;652.0;765;-7
164.0;-3;54.0;769.0;12;636.0;763;2
-541.0;-18;378.0;25.0;25;233.0;662;-3
-558.0;-31;409.0;39.0;47;245.0;637;12
-562.0;0;413.0;40.0;35;245.0;649;9
-552.0;26;382.0;31.0;25;239.0;657;9
-553.0;-45;378.0;25.0;17;241.0;671;-2
-517.0;-25;330.0;13.0;25;221.0;652;8
162.0;-2;58.0;769.0;13;636.0;763;4
164.0;11;48.0;763.0;12;643.0;763;-7
-511.0;-37;325.0;14.0;15;214.0;666;6
176.0;-2;54.0;766.0;13;640.0;760;3
163.0;8;70.0;764.0;19;642.0;750;-9
-519.0;-7;330.0;17.0;21;217.0;674;-10
-517.0;-24;327.0;18.0;18;217.0;671;-3
-520.0;-30;331.0;20.0;21;217.0;671;-3
-522.0;-44;334.0;20.0;21;217.0;674;-6
-519.0;-23;329.0;20.0;20;217.0;670;0
-520.0;-15;334.0;20.0;20;217.0;671;-1
-522.0;5;337.0;21.0;17;217.0;675;-3
-547.0;3;364.0;39.0;26;224.0;662;-3
-578.0;-32;416.0;75.0;22;234.0;661;0
-625.0;-24;478.0;58.0;24;266.0;668;-53
-597.0;19;483.0;82.0;23;273.0;661;-5
-599.0;44;67.0;105.0;22;-35.0;639;9
-657.0;9;73.0;115.0;23;-37.0;641;3
267.0;-4;36.0;803.0;17;590.0;656;-8
-616.0;-25;415.0;175.0;22;268.0;698;-1
-576.0;27;317.0;146.0;26;240.0;677;-23
-552.0;-21;188.0;-5.0;55;95.0;664;-117
-633.0;15;72.0;133.0;15;-40.0;650;-3
-632.0;28;209.0;-47.0;2;95.0;634;65
-564.0;55;217.0;-53.0;48;98.0;651;49
-552.0;7;212.0;-55.0;40;93.0;662;45
-578.0;-10;124.0;83.0;12;-65.0;671;-57
-21.0;99;32.0;778.0;54;601.0;635;85
-48.0;131;108.0;790.0;35;577.0;632;56
-611.0;-57;344.0;177.0;39;261.0;686;-94
-553.0;51;105.0;73.0;14;-57.0;662;-28
-535.0;0;84.0;81.0;17;-52.0;667;-37
-61.0;51;119.0;787.0;27;581.0;643;53
-45.0;62;117.0;787.0;16;581.0;645;40
-537.0;2;96.0;91.0;18;-68.0;675;-17
-543.0;13;97.0;88.0;14;-76.0;682;-21
-592.0;35;400.0;118.0;29;229.0;671;-89
166.0;24;62.0;763.0;9;644.0;765;2
448.0;-2;-154.0;726.0;14;651.0;661;-1
2.0;54;60.0;789.0;17;587.0;672;31
11.0;-1;43.0;787.0;18;585.0;667;23
-318.0;-64;245.0;832.0;-27;535.0;764;19
105.0;10;-167.0;715.0;20;670.0;651;2
91.0;3;-158.0;719.0;18;668.0;652;0
72.0;-32;-143.0;723.0;17;668.0;655;3
74.0;5;-142.0;723.0;15;670.0;656;2
73.0;2;-140.0;722.0;18;671.0;656;5
65.0;4;-146.0;723.0;18;671.0;647;0
-30.0;338;30.0;-749.0;679;-623.0;527;-627
-500.0;-12;228.0;-82.0;12;-154.0;668;0
-370.0;2;635.0;678.0;19;590.0;666;-1
-482.0;-25;239.0;66.0;13;-159.0;656;4
-573.0;-23;130.0;78.0;16;-102.0;669;-16
-662.0;-39;323.0;260.0;10;213.0;652;-16
-664.0;-43;314.0;249.0;19;206.0;649;-5
-667.0;-46;309.0;247.0;16;204.0;652;-1
-670.0;0;301.0;244.0;14;201.0;652;7
-670.0;5;301.0;244.0;24;201.0;643;-2
-675.0;-43;317.0;242.0;13;213.0;658;-8
-626.0;-9;388.0;82.0;21;223.0;693;-5
233.0;-11;5.0;838.0;11;541.0;759;-1
232.0;17;34.0;838.0;19;542.0;748;-1
-135.0;-192;1.0;674.0;58;468.0;691;124
260.0;69;-342.0;685.0;-39;234.0;730;95
-676.0;-33;324.0;235.0;18;221.0;657;-2
163.0;-13;72.0;762.0;17;644.0;756;0
-622.0;-40;205.0;59.0;15;-109.0;683;-9
-614.0;-23;195.0;63.0;18;-102.0;681;-8
-582.0;14;159.0;67.0;19;-79.0;681;-5
151.0;-12;73.0;762.0;17;644.0;755;-1
160.0;-5;74.0;759.0;15;648.0;760;-3
-505.0;-24;152.0;28.0;22;-85.0;670;-13
-580.0;31;220.0;-9.0;24;-135.0;669;0
-470.0;-89;136.0;717.0;5;554.0;828;59
-275.0;123;11.0;675.0;27;462.0;689;-40
-287.0;123;29.0;683.0;54;471.0;661;-48
-613.0;-36;174.0;64.0;26;-131.0;666;-6
-644.0;24;337.0;168.0;21;242.0;661;0
309.0;-23;-58.0;740.0;19;667.0;699;2
-26.0;-29;110.0;795.0;4;546.0;624;66
-153.0;6;67.0;779.0;39;549.0;675;97
-152.0;16;50.0;775.0;21;548.0;688;85
195.0;-2;-35.0;804.0;13;592.0;754;2
-615.0;-485;585.0;404.0;128;444.0;527;230
-588.0;6;582.0;552.0;20;441.0;682;129
-573.0;-7;515.0;432.0;20;478.0;690;-44
405.0;2024;-343.0;660.0;38;565.0;715;-213
222.0;-96;-522.0;466.0;17;254.0;666;-10
-212.0;-1847;-105.0;228.0;345;124.0;475;547
-38.0;14;18.0;757.0;-33;529.0;680;-10
-602.0;3;417.0;166.0;22;271.0;705;-11
-647.0;-150;414.0;381.0;-5;288.0;674;-9
320.0;-10;-273.0;-811.0;34;-372.0;674;18
6.0;1428;5.0;-756.0;140;-611.0;970;11
-542.0;-39;170.0;-70.0;12;-101.0;666;58
-584.0;-38;167.0;-63.0;9;-105.0;679;10
-606.0;-24;162.0;-55.0;24;-104.0;661;5
-615.0;-22;161.0;-53.0;13;-103.0;672;4
-625.0;8;154.0;-53.0;14;-100.0;672;7
-633.0;27;131.0;-44.0;20;-85.0;666;7
-628.0;-29;113.0;-42.0;16;-76.0;669;0
-620.0;9;124.0;-56.0;17;-83.0;665;-11
-619.0;3;131.0;-58.0;18;-86.0;665;-3
-618.0;26;130.0;-57.0;15;-85.0;669;-1
-623.0;-16;140.0;-62.0;15;-95.0;668;-3
-625.0;14;145.0;-62.0;25;-99.0;658;12
-625.0;-11;150.0;-61.0;26;-102.0;658;4
-624.0;0;148.0;-57.0;15;-104.0;665;-6
-627.0;59;147.0;-46.0;22;-107.0;666;1
-628.0;45;119.0;57.0;18;-95.0;677;2
169.0;20;74.0;758.0;13;650.0;768;5
-577.0;3;387.0;239.0;14;258.0;672;19
-574.0;-12;404.0;268.0;26;271.0;664;25
-523.0;55;331.0;358.0;39;375.0;669;-43
-523.0;-647;388.0;336.0;-1292;334.0;2264;639
259.0;-4;80.0;771.0;16;634.0;751;0
-572.0;4;402.0;271.0;29;271.0;662;25
-465.0;108;316.0;362.0;198;376.0;605;189
-703.0;-4;502.0;277.0;44;316.0;651;8
-628.0;-6;440.0;274.0;14;265.0;680;9
-579.0;26;287.0;-26.0;12;175.0;666;0
-613.0;15;322.0;-27.0;21;198.0;667;5
-522.0;2238;322.0;293.0;-48;307.0;802;48
525.0;-7;-423.0;-687.0;18;-583.0;653;-3
-589.0;27;470.0;191.0;19;298.0;708;-45
-502.0;-47;288.0;2.0;22;-204.0;669;-11
-620.0;34;168.0;77.0;47;-172.0;659;116
-740.0;-30;598.0;186.0;19;306.0;681;-124
-591.0;16;138.0;-32.0;25;-119.0;652;125
-580.0;-16;130.0;-26.0;13;-114.0;666;77
-572.0;-30;126.0;-21.0;29;-108.0;653;99
-548.0;-20;107.0;-5.0;29;-94.0;658;60
-521.0;-27;92.0;12.0;15;-84.0;669;19
-519.0;-23;94.0;15.0;18;-83.0;661;34
-520.0;15;91.0;27.0;20;-80.0;681;9
-523.0;-9;90.0;28.0;19;-79.0;685;2
-527.0;-11;92.0;27.0;20;-79.0;683;3
-547.0;-8;99.0;23.0;32;-82.0;628;39
-549.0;-12;100.0;23.0;2;-81.0;680;2
-544.0;25;101.0;19.0;-18;-77.0;528;42
335.0;0;106.0;757.0;13;649.0;755;0
298.0;5;131.0;748.0;13;656.0;767;-2
216.0;-7;104.0;765.0;16;639.0;758;0
-647.0;31;379.0;67.0;20;243.0;653;-14
-641.0;-9;374.0;65.0;15;242.0;660;-11
-660.0;-5;499.0;276.0;16;376.0;653;5
225.0;-22;89.0;763.0;14;643.0;759;2
-642.0;2;336.0;139.0;545;210.0;475;-29
-608.0;54;410.0;118.0;15;252.0;689;15
-583.0;-8;418.0;241.0;15;315.0;652;8
-22.0;8;127.0;780.0;16;554.0;687;31
-733.0;-1209;399.0;385.0;-184;380.0;1784;1143
-590.0;0;260.0;-8.0;20;-172.0;667;2
-602.0;-6;293.0;-23.0;17;-188.0;670;-7
166.0;-24;120.0;759.0;13;646.0;756;-2
-574.0;-1163;199.0;10.0;416;134.0;487;298
-653.0;-26;394.0;38.0;24;253.0;657;-1
-646.0;-4;372.0;56.0;20;243.0;662;2
-694.0;-36;457.0;5.0;17;294.0;666;1
-12.0;130;109.0;783.0;134;601.0;650;121
222.0;-18;91.0;763.0;11;643.0;763;5
218.0;2;104.0;764.0;9;640.0;760;0
252.0;-7;116.0;754.0;16;651.0;751;-3
215.0;-12;103.0;762.0;11;643.0;762;4
-35.0;13;100.0;780.0;28;582.0;682;27
-89.0;-22;41.0;759.0;52;576.0;642;-80
-536.0;-89;360.0;-42.0;16;-214.0;662;-21
-494.0;-33;279.0;14.0;12;-206.0;689;-3
-495.0;-42;275.0;12.0;21;-203.0;681;-1
-494.0;11;280.0;11.0;19;-202.0;674;-9
-186.0;-99;99.0;780.0;29;578.0;704;86
-521.0;-27;336.0;-32.0;24;-210.0;672;-7
-526.0;38;434.0;-87.0;16;-239.0;670;1
38.0;-416;-17.0;732.0;-498;528.0;1547;1553
-520.0;-7;178.0;-62.0;13;103.0;667;1
-528.0;-17;179.0;-59.0;19;105.0;660;0
-549.0;-7;191.0;-46.0;20;117.0;660;3
-69.0;-47;101.0;782.0;-9;597.0;801;310
149.0;-11;-28.0;808.0;14;588.0;750;3
-596.0;67;425.0;256.0;18;313.0;654;-17
-495.0;56;175.0;-90.0;24;100.0;659;6
-515.0;53;204.0;-81.0;23;122.0;659;-1
-562.0;-19;264.0;-75.0;20;163.0;663;9
146.0;101;43.0;876.0;8;374.0;673;7
249.0;-6;-35.0;889.0;65;402.0;679;80
-606.0;62;435.0;260.0;17;324.0;654;-17
-135.0;-16;0.0;745.0;30;543.0;685;67
-658.0;35;487.0;280.0;15;369.0;656;-3
-577.0;-15;284.0;-71.0;19;177.0;663;9
67.0;7;89.0;890.0;20;326.0;679;0
-608.0;25;318.0;-56.0;18;203.0;665;14
-616.0;-14;333.0;-39.0;21;216.0;664;14
-562.0;-5;145.0;1.0;21;-107.0;665;90
323.0;-75;-60.0;811.0;72;566.0;530;-92
141.0;-43;-1.0;784.0;28;611.0;641;-21
111.0;-72;9.0;786.0;9;610.0;671;-41
81.0;-106;23.0;792.0;14;601.0;667;-21
91.0;-17;29.0;799.0;22;591.0;653;-25
76.0;-35;22.0;809.0;-24;579.0;634;85
-822.0;-942;407.0;98.0;-801;174.0;2131;-1961
-682.0;69;454.0;333.0;12;358.0;612;140
-463.0;-2429;125.0;-80.0;-164;53.0;1000;-91
-581.0;-11;267.0;-22.0;16;176.0;660;40
-63.0;633;-293.0;341.0;-500;218.0;1778;-863
-555.0;-437;293.0;-65.0;-489;-134.0;1464;-510
-515.0;-58;155.0;-55.0;28;82.0;656;2
161.0;-36;-81.0;816.0;16;576.0;752;1
180.0;-35;80.0;787.0;19;615.0;748;-6
-596.0;-38;276.0;-42.0;16;155.0;668;9
-625.0;13;319.0;-32.0;21;185.0;666;12
-557.0;29;439.0;76.0;0;202.0;715;-115
-707.0;33;440.0;89.0;40;210.0;652;47
-598.0;14;314.0;-2.0;41;183.0;653;80
-575.0;-40;292.0;-9.0;-15;167.0;709;108
-526.0;-18;126.0;75.0;97;-37.0;671;412
190.0;-7;-42.0;805.0;13;592.0;753;0
202.0;-69;-107.0;816.0;64;403.0;650;-191
125.0;22;-79.0;849.0;22;256.0;666;-113
224.0;-67;-42.0;926.0;31;300.0;673;50
300.0;8;-170.0;951.0;15;251.0;670;-5
306.0;-31;-142.0;949.0;18;256.0;664;-3
227.0;-28;-324.0;435.0;12;282.0;629;-37
-500.0;6;283.0;-19.0;14;-175.0;666;8
437.0;-9;-279.0;748.0;19;558.0;671;-5
506.0;795;-188.0;849.0;18;514.0;664;-31
310.0;-2;-296.0;724.0;29;458.0;651;-7
-494.0;-5;258.0;-11.0;22;-166.0;661;-2
132.0;-43;-171.0;727.0;42;495.0;664;116
626.0;-495;-457.0;689.0;-51;613.0;834;153
325.0;593;-137.0;798.0;43;568.0;662;224
26.0;-12;-126.0;702.0;29;469.0;697;121
-487.0;6;216.0;-16.0;20;-135.0;657;-1
-462.0;106;340.0;-56.0;10;-196.0;676;3
-539.0;12;588.0;-554.0;-9;-551.0;694;-81
-20.0;-24;103.0;-772.0;22;-625.0;683;-12
215.0;4;-323.0;433.0;-4;287.0;697;44
201.0;-24;-10.0;797.0;18;603.0;751;0
85.0;-46;74.0;848.0;25;525.0;654;136
15.0;-89;123.0;863.0;22;495.0;665;91
197.0;-4;-56.0;806.0;17;590.0;752;-1
198.0;26;-58.0;806.0;8;590.0;752;-3
-101.0;866;-80.0;669.0;731;490.0;346;-508
191.0;-30;-105.0;700.0;19;492.0;706;156
-263.0;-1267;-51.0;704.0;5;511.0;681;-317
253.0;21;-243.0;782.0;16;361.0;658;-1
219.0;53;-228.0;794.0;20;317.0;658;1
217.0;18;-226.0;795.0;18;314.0;659;-3
335.0;-19;-170.0;947.0;15;239.0;675;8
388.0;-4;-233.0;943.0;19;233.0;664;-3
233.0;-49;-241.0;786.0;18;316.0;660;0
136.0;-70;-44.0;758.0;43;539.0;647;71
-720.0;4;486.0;-250.0;17;-211.0;663;3
50.0;-1870;216.0;757.0;366;642.0;242;-557
-596.0;-35;253.0;20.0;29;-153.0;682;86
382.0;-2;-168.0;757.0;14;608.0;648;7
-164.0;-118;-241.0;619.0;13;407.0;727;145
59.0;-57;-243.0;677.0;42;461.0;683;130
245.0;1139;-400.0;738.0;-219;297.0;1208;490
223.0;44;-248.0;739.0;22;605.0;664;10
419.0;14;-631.0;580.0;21;368.0;653;-13
589.0;53;-582.0;669.0;19;512.0;682;53
184.0;-4;-57.0;803.0;16;594.0;750;-3
253.0;84;-62.0;719.0;32;507.0;819;452
405.0;-36;-496.0;649.0;-135;455.0;405;-432
399.0;-482;-178.0;763.0;-38;614.0;594;-59
124.0;39;-69.0;694.0;40;469.0;670;192
186.0;10;-70.0;808.0;11;586.0;755;-4
195.0;-22;-67.0;807.0;11;588.0;758;3
278.0;-34;-88.0;792.0;14;584.0;660;-19
474.0;2304;-452.0;656.0;-359;519.0;2428;1417
329.0;1341;-539.0;-506.0;2081;-390.0;2805;2369
95.0;-1442;35.0;777.0;3864;604.0;2241;3272
-64.0;-3108;-81.0;667.0;-2017;487.0;2971;-186
9.0;-72;131.0;864.0;24;492.0;665;93
-149.0;8;-86.0;705.0;136;517.0;474;-332
-315.0;-245;38.0;616.0;-23;527.0;658;-85
-160.0;-75;64.0;727.0;112;529.0;618;226
58.0;-64;104.0;886.0;21;370.0;681;1
-162.0;-820;-363.0;390.0;854;271.0;282;7
-20.0;-24;152.0;861.0;19;493.0;681;99
407.0;-1450;-285.0;773.0;20;559.0;688;-78
200.0;4;-62.0;806.0;15;590.0;750;-5
21.0;18;111.0;884.0;22;397.0;674;5
-11.0;-48;151.0;876.0;18;453.0;660;-4
-37.0;-24;167.0;871.0;24;465.0;660;-2
-610.0;-36;189.0;76.0;19;-181.0;679;96
495.0;-11;-395.0;730.0;18;509.0;659;1
455.0;-1;40.0;761.0;11;644.0;772;4
-666.0;4;344.0;-50.0;20;-226.0;673;10
296.0;5;122.0;709.0;13;697.0;646;3
237.0;19;56.0;838.0;11;542.0;761;2
231.0;1;93.0;839.0;14;539.0;752;0
-171.0;148;-69.0;810.0;25;516.0;643;-76
-14.0;-7;330.0;746.0;18;633.0;646;1
109.0;12;-169.0;713.0;21;672.0;645;-3
231.0;-9;95.0;838.0;13;541.0;752;1
229.0;0;100.0;839.0;16;540.0;755;5
660.0;-8;-59.0;754.0;12;653.0;757;-1
-641.0;768;319.0;190.0;786;231.0;396;-203
326.0;-272;9.0;761.0;-39;646.0;760;103
444.0;-5;-325.0;698.0;12;228.0;663;6
110.0;-37;-174.0;712.0;18;673.0;656;-1
229.0;-4;98.0;839.0;17;539.0;753;0
292.0;-29;-47.0;858.0;18;446.0;664;-6
236.0;13;109.0;838.0;16;541.0;754;-4
230.0;9;96.0;839.0;15;540.0;755;0
-742.0;-13;429.0;137.0;12;262.0;714;1
234.0;-38;90.0;839.0;13;540.0;754;-1
-670.0;-4;345.0;-111.0;17;-168.0;673;-8
232.0;2;99.0;839.0;12;539.0;756;1
230.0;8;104.0;838.0;16;541.0;754;-4
233.0;-5;98.0;838.0;12;541.0;758;7
231.0;-21;104.0;838.0;13;541.0;754;-2
234.0;-15;97.0;838.0;16;541.0;752;2
-608.0;-27;247.0;22.0;31;-147.0;662;122
298.0;23;-13.0;804.0;19;587.0;652;-7
