InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA^ accY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA accX;InertialMeasurementUnit RUA accY
16;806;1079.0;364.0;-15;-5;-965.0;194.0
16;797;1046.0;439.0;34;-10;-941.0;197.0
16;796;1083.0;322.0;-27;-2;-971.0;209.0
-145;-3087;1022.0;384.0;1131;1164;-974.0;219.0
67;807;1142.0;438.0;-4;32;-1122.0;97.0
16;808;1070.0;337.0;-19;-29;-976.0;231.0
16;800;1061.0;323.0;1;-34;-966.0;221.0
101;795;306.0;385.0;-12;1;-233.0;942.0
46;682;1200.0;561.0;-206;-610;-1122.0;-14.0
16;803;1077.0;322.0;13;-9;-974.0;211.0
6;866;951.0;484.0;5925;87;-991.0;10.0
26;811;1110.0;326.0;7;-38;-1083.0;243.0
-21;785;860.0;313.0;-99;-29;-1175.0;241.0
16;794;1063.0;349.0;34;35;-958.0;228.0
16;803;1095.0;324.0;18;22;-974.0;201.0
16;799;1070.0;329.0;36;-9;-980.0;181.0
16;805;1077.0;333.0;31;-8;-973.0;219.0
167;623;1019.0;350.0;3400;1047;-1138.0;179.0
76;795;1097.0;487.0;1013;1635;-1139.0;324.0
17;793;1080.0;593.0;-61;-2;-998.0;-19.0
16;491;959.0;568.0;-812;1903;-894.0;434.0
16;801;1088.0;322.0;-14;0;-980.0;228.0
17;812;1052.0;440.0;14;-8;-1061.0;73.0
16;801;1118.0;316.0;-2;2;-979.0;221.0
23;815;1016.0;266.0;-28;5;-1011.0;305.0
16;803;1068.0;324.0;28;-15;-963.0;241.0
16;794;1040.0;321.0;22;-30;-953.0;269.0
168;801;1076.0;291.0;9;-1;-966.0;207.0
16;801;1067.0;519.0;-15;-12;-975.0;212.0
17;799;1085.0;389.0;-10;12;-849.0;364.0
-5;979;1177.0;436.0;-6912;-839;-1076.0;318.0
44;773;1152.0;377.0;-3803;-1182;-895.0;171.0
74;827;900.0;356.0;-15;-2;-866.0;55.0
136;804;1079.0;397.0;-6;12;-981.0;-145.0
16;793;1130.0;383.0;393;546;-1049.0;28.0
17;789;1093.0;399.0;-23;-43;-998.0;376.0
-17;798;1047.0;217.0;-26;15;-910.0;143.0
16;800;1088.0;331.0;-18;5;-989.0;148.0
110;804;1060.0;339.0;-8;-3;-959.0;283.0
16;797;1085.0;346.0;21;5;-975.0;215.0
15;805;1069.0;284.0;-2;20;-966.0;239.0
113;796;1069.0;454.0;-64;11;-925.0;233.0
16;804;1089.0;324.0;-21;4;-981.0;209.0
16;805;1060.0;308.0;-31;-16;-964.0;250.0
-146;800;948.0;426.0;-37;18;-862.0;464.0
16;803;1079.0;333.0;17;9;-966.0;226.0
16;799;1088.0;324.0;-21;-19;-978.0;203.0
-12;804;1039.0;309.0;-58;-1;-1345.0;195.0
16;803;1080.0;335.0;0;11;-976.0;227.0
112;512;1204.0;656.0;989;-2807;-882.0;175.0
28;804;988.0;355.0;-97;-8;-955.0;-84.0
15;800;1066.0;305.0;53;-10;-958.0;143.0
-176;422;1154.0;466.0;3945;-473;-946.0;92.0
16;797;1085.0;398.0;35;49;-968.0;184.0
113;800;1050.0;411.0;8;13;-987.0;156.0
16;809;1072.0;311.0;-20;26;-964.0;240.0
16;797;1099.0;314.0;-18;-5;-955.0;231.0
174;1273;1080.0;521.0;-1835;751;-1283.0;181.0
16;799;1079.0;335.0;17;-18;-972.0;222.0
21;804;1449.0;419.0;-39;-22;-859.0;354.0
16;803;1079.0;322.0;27;-2;-955.0;228.0
-104;830;1086.0;213.0;-48;85;-1004.0;237.0
16;802;1088.0;307.0;-18;-17;-970.0;216.0
-30;815;935.0;226.0;38;-48;-1026.0;157.0
16;802;1081.0;318.0;10;7;-973.0;246.0
16;804;1068.0;324.0;3;-34;-976.0;251.0
19;765;955.0;291.0;4;-65;-920.0;16.0
