InertialMeasurementUnit BACK accZ;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Compass;Accelerometer LUA_ accX
194.0;29.0;-562.0;948.0;-8;84.0
216.0;40.0;-595.0;?;-8;117.0
222.0;20.0;-566.0;506.0;?;107.0
?;?;-544.0;180.0;-8;?
?;?;-517.0;-183.0;-8;44.0
209.0;58.0;-514.0;-513.0;?;-28.0
?;63.0;-525.0;?;-8;-80.0
177.0;64.0;?;-720.0;?;-73.0
171.0;45.0;-512.0;-765.0;-8;-68.0
176.0;?;-512.0;-766.0;-8;-68.0
174.0;105.0;?;-796.0;-8;-66.0
175.0;?;-497.0;?;-8;-46.0
165.0;179.0;-481.0;-690.0;-8;-42.0
157.0;283.0;-502.0;?;?;-50.0
166.0;355.0;?;?;-8;-46.0
151.0;474.0;?;-296.0;-8;-50.0
154.0;?;-507.0;?;-8;-26.0
?;581.0;-548.0;14.0;?;23.0
174.0;53.0;?;176.0;?;?
?;-32.0;-554.0;389.0;-8;58.0
198.0;-151.0;-554.0;507.0;-8;59.0
207.0;3.0;-559.0;497.0;-8;70.0
?;59.0;-566.0;463.0;-8;76.0
225.0;172.0;-559.0;481.0;?;50.0
234.0;217.0;-545.0;525.0;-8;22.0
237.0;312.0;?;457.0;?;5.0
230.0;?;-554.0;348.0;-8;-5.0
227.0;?;-540.0;231.0;-7;-40.0
225.0;142.0;?;158.0;-7;-56.0
?;310.0;?;?;-7;-9.0
?;374.0;-526.0;-12.0;-7;14.0
?;232.0;-505.0;-105.0;-7;64.0
?;285.0;-563.0;-186.0;-7;-90.0
194.0;277.0;-375.0;?;-7;-213.0
203.0;278.0;-571.0;?;-7;94.0
216.0;228.0;?;-338.0;-7;310.0
?;285.0;-426.0;-313.0;-7;224.0
238.0;352.0;-570.0;-276.0;-7;75.0
70.0;363.0;?;-605.0;?;-42.0
169.0;341.0;-381.0;-396.0;?;-29.0
?;312.0;-436.0;81.0;-7;-32.0
133.0;259.0;-607.0;382.0;-7;?
138.0;?;?;516.0;?;3.0
148.0;?;?;151.0;-7;28.0
218.0;?;-430.0;-5.0;-7;29.0
157.0;309.0;-431.0;-116.0;-7;14.0
133.0;265.0;-454.0;-137.0;-7;-13.0
?;391.0;?;-49.0;-7;-6.0
151.0;327.0;-448.0;?;?;-35.0
146.0;425.0;-433.0;-209.0;-7;-46.0
137.0;179.0;-455.0;-127.0;-7;?
141.0;349.0;-442.0;-54.0;-7;-39.0
135.0;-994.0;-440.0;0.0;-7;-46.0
144.0;100.0;-411.0;?;?;?
152.0;0.0;?;76.0;-8;-27.0
146.0;?;-430.0;?;-7;8.0
?;-18.0;-461.0;?;-8;2.0
140.0;?;-449.0;177.0;-7;-10.0
128.0;355.0;-403.0;212.0;-7;8.0
140.0;298.0;?;245.0;-7;3.0
136.0;200.0;-471.0;?;-7;13.0
140.0;220.0;-489.0;322.0;?;41.0
152.0;207.0;-478.0;?;-7;25.0
?;225.0;-472.0;?;-7;5.0
?;220.0;-494.0;109.0;-7;-16.0
199.0;219.0;-489.0;?;-7;?
?;208.0;?;38.0;-7;-1.0
211.0;208.0;?;-32.0;-7;29.0
211.0;200.0;-547.0;-57.0;-7;39.0
242.0;?;-558.0;-106.0;?;41.0
252.0;?;-547.0;-138.0;-7;31.0
?;300.0;?;-190.0;-7;-19.0
237.0;208.0;?;-179.0;-7;-27.0
227.0;41.0;-549.0;-109.0;-7;-14.0
221.0;55.0;-541.0;-79.0;-7;-12.0
223.0;162.0;-540.0;?;-7;4.0
?;225.0;-539.0;38.0;-7;23.0
227.0;206.0;-519.0;-1.0;-7;?
222.0;?;-521.0;31.0;-7;1.0
?;323.0;-517.0;29.0;-7;7.0
210.0;375.0;-510.0;?;-7;24.0
203.0;362.0;?;0.0;-7;23.0
205.0;407.0;?;?;-7;35.0
208.0;241.0;-475.0;-7.0;-7;0.0
192.0;250.0;-478.0;-81.0;-7;-226.0
182.0;265.0;?;-90.0;-7;23.0
?;255.0;-656.0;-104.0;-7;?
171.0;?;-440.0;-92.0;?;281.0
190.0;264.0;-465.0;-52.0;?;192.0
?;246.0;?;-172.0;-7;104.0
?;242.0;-401.0;-232.0;?;?
203.0;240.0;?;193.0;-7;104.0
?;?;?;?;-7;83.0
204.0;238.0;-560.0;?;-7;?
249.0;263.0;?;-141.0;?;24.0
300.0;261.0;-524.0;-141.0;-7;?
259.0;248.0;-504.0;-77.0;?;18.0
218.0;263.0;-530.0;96.0;-7;34.0
?;?;-551.0;?;-7;85.0
234.0;286.0;?;-146.0;-7;?
?;263.0;-509.0;-209.0;?;47.0
217.0;140.0;?;?;?;?
207.0;560.0;-496.0;-104.0;-7;?
?;156.0;-467.0;-79.0;-7;25.0
184.0;-324.0;?;-28.0;-7;4.0
177.0;178.0;-452.0;14.0;-7;-17.0
?;-161.0;?;63.0;?;?
152.0;90.0;-470.0;118.0;-7;20.0
146.0;?;-429.0;?;-8;5.0
150.0;115.0;-431.0;203.0;?;-31.0
?;183.0;-444.0;236.0;-8;-37.0
142.0;236.0;-461.0;314.0;?;-12.0
124.0;200.0;-481.0;362.0;-8;?
139.0;136.0;?;387.0;-8;27.0
162.0;121.0;?;?;-8;11.0
170.0;117.0;-533.0;?;-8;10.0
183.0;198.0;-526.0;279.0;-8;1.0
199.0;165.0;-540.0;215.0;?;20.0
213.0;146.0;-525.0;149.0;-8;17.0
?;114.0;?;110.0;-8;6.0
209.0;140.0;-547.0;79.0;-8;4.0
205.0;128.0;-576.0;55.0;-8;22.0
214.0;210.0;-581.0;?;-8;21.0
204.0;234.0;?;-6.0;-8;?
?;98.0;-588.0;-17.0;-8;22.0
247.0;99.0;-573.0;-44.0;-8;19.0
239.0;154.0;-585.0;-93.0;-8;15.0
245.0;256.0;-560.0;-100.0;-8;?
245.0;206.0;-562.0;-132.0;-7;-39.0
248.0;?;-545.0;-143.0;-7;-15.0
247.0;232.0;-576.0;-123.0;-7;26.0
?;257.0;-563.0;?;-8;58.0
?;?;-557.0;?;-7;48.0
?;209.0;-545.0;-70.0;?;47.0
254.0;252.0;-504.0;-74.0;-7;58.0
247.0;264.0;-558.0;-113.0;?;-88.0
?;262.0;-410.0;-107.0;-7;?
215.0;272.0;-734.0;-112.0;-7;?
?;222.0;-607.0;-101.0;-7;?
217.0;228.0;?;-95.0;-7;170.0
?;240.0;?;-130.0;-7;168.0
298.0;260.0;-474.0;-303.0;-7;?
259.0;256.0;-512.0;108.0;-7;?
282.0;253.0;?;281.0;?;155.0
242.0;?;-644.0;?;-7;?
246.0;309.0;?;?;-7;100.0
294.0;333.0;-617.0;-22.0;-7;61.0
321.0;286.0;?;-134.0;-7;10.0
294.0;?;-570.0;-87.0;-7;41.0
289.0;?;-595.0;?;?;71.0
263.0;?;-589.0;-134.0;-7;86.0
258.0;400.0;-553.0;-231.0;?;44.0
274.0;216.0;-558.0;?;-7;18.0
?;308.0;-551.0;-172.0;-7;15.0
261.0;-88.0;-530.0;-120.0;?;16.0
?;?;-531.0;?;-7;?
228.0;356.0;-539.0;-17.0;-7;38.0
224.0;-221.0;-513.0;30.0;-7;7.0
?;-189.0;-489.0;92.0;-7;2.0
198.0;-73.0;?;128.0;-7;-12.0
183.0;?;-495.0;193.0;?;?
178.0;?;?;252.0;?;13.0
171.0;191.0;-524.0;321.0;-8;18.0
170.0;194.0;-482.0;346.0;?;0.0
182.0;200.0;-527.0;352.0;-7;1.0
186.0;129.0;-515.0;352.0;?;-2.0
?;168.0;-514.0;408.0;-7;5.0
183.0;149.0;-530.0;383.0;?;32.0
192.0;195.0;-520.0;324.0;-7;?
187.0;162.0;?;285.0;-7;19.0
181.0;135.0;?;242.0;?;18.0
193.0;85.0;?;180.0;-7;20.0
207.0;95.0;-550.0;95.0;-7;14.0
207.0;181.0;-552.0;52.0;-7;9.0
241.0;179.0;-576.0;-14.0;?;14.0
239.0;193.0;-592.0;?;-7;?
?;?;-588.0;-124.0;-7;40.0
263.0;303.0;?;-203.0;-7;?
260.0;289.0;-600.0;-227.0;-7;19.0
257.0;155.0;-597.0;-295.0;-7;10.0
265.0;?;-578.0;-288.0;-7;-28.0
274.0;208.0;-597.0;-262.0;?;-1.0
249.0;172.0;-578.0;-230.0;?;-34.0
?;100.0;-574.0;-201.0;-7;-23.0
275.0;157.0;-591.0;-146.0;-7;-3.0
259.0;189.0;-552.0;-125.0;?;?
249.0;254.0;-530.0;-65.0;-7;14.0
253.0;291.0;-539.0;8.0;?;54.0
240.0;299.0;?;?;-7;13.0
229.0;299.0;-523.0;16.0;-7;106.0
223.0;?;?;33.0;-7;?
215.0;218.0;-406.0;82.0;-7;?
211.0;225.0;?;69.0;?;273.0
?;?;?;?;-7;226.0
?;?;-500.0;?;-7;208.0
373.0;230.0;-586.0;?;?;145.0
331.0;?;-444.0;?;-7;66.0
293.0;198.0;-590.0;-44.0;-7;?
?;210.0;-674.0;?;-7;139.0
224.0;?;-601.0;3.0;-7;?
233.0;238.0;-570.0;-222.0;-7;91.0
286.0;205.0;-560.0;?;-7;?
257.0;183.0;-549.0;?;-7;?
246.0;223.0;-530.0;-315.0;-7;48.0
210.0;295.0;-528.0;-322.0;-7;?
220.0;293.0;?;?;-7;14.0
187.0;445.0;-485.0;-481.0;-7;2.0
?;284.0;-465.0;?;?;-12.0
212.0;?;-493.0;-248.0;-7;?
189.0;362.0;-469.0;-130.0;?;?
144.0;-253.0;-477.0;14.0;-7;10.0
?;?;-480.0;128.0;-7;?
158.0;-207.0;?;241.0;?;57.0
120.0;-197.0;?;300.0;-7;61.0
?;-30.0;?;352.0;-7;89.0
126.0;?;-443.0;392.0;-7;64.0
109.0;125.0;-420.0;410.0;?;6.0
?;194.0;-420.0;453.0;-7;-14.0
93.0;208.0;?;395.0;-7;-20.0
88.0;?;-433.0;372.0;-7;-13.0
79.0;?;-468.0;356.0;-8;?
?;89.0;-487.0;332.0;-8;35.0
103.0;?;-484.0;283.0;-8;49.0
113.0;131.0;-480.0;?;-8;33.0
164.0;111.0;?;193.0;-8;29.0
?;85.0;?;142.0;-7;19.0
177.0;41.0;?;123.0;?;20.0
170.0;84.0;-520.0;?;-7;0.0
?;189.0;-540.0;115.0;-7;-13.0
204.0;?;-565.0;112.0;-7;-29.0
224.0;218.0;-573.0;13.0;?;65.0
235.0;283.0;-591.0;32.0;-7;59.0
239.0;300.0;?;34.0;-7;?
281.0;267.0;-630.0;?;?;72.0
248.0;?;-598.0;?;-7;11.0
261.0;22.0;-602.0;?;-7;-21.0
282.0;145.0;-597.0;-88.0;?;-2.0
287.0;?;-606.0;-63.0;-7;5.0
?;207.0;-601.0;?;-7;16.0
284.0;233.0;-591.0;102.0;-7;28.0
283.0;228.0;?;71.0;-7;?
?;255.0;-598.0;54.0;-7;45.0
?;?;?;62.0;?;48.0
272.0;256.0;-575.0;21.0;-7;?
268.0;314.0;?;21.0;?;18.0
?;299.0;-587.0;14.0;-7;-13.0
245.0;287.0;-607.0;28.0;-7;27.0
242.0;266.0;-621.0;60.0;-7;?
?;272.0;-605.0;?;-7;?
295.0;295.0;-573.0;78.0;-7;61.0
326.0;290.0;-847.0;3.0;?;328.0
308.0;292.0;?;-97.0;-7;?
300.0;274.0;?;?;-7;194.0
?;256.0;-575.0;-302.0;-7;156.0
417.0;285.0;-521.0;-434.0;-7;70.0
320.0;326.0;-553.0;-114.0;?;113.0
?;?;-559.0;?;-7;105.0
?;306.0;-580.0;-298.0;-7;?
251.0;201.0;-500.0;-545.0;-7;135.0
294.0;220.0;-547.0;-667.0;-7;78.0
246.0;202.0;-459.0;-628.0;-7;?
229.0;266.0;-428.0;-531.0;-7;-157.0
?;?;?;-460.0;-7;-181.0
140.0;419.0;-478.0;-327.0;-7;-180.0
154.0;517.0;?;?;-7;-282.0
148.0;346.0;-431.0;-245.0;?;-298.0
160.0;?;-460.0;-420.0;-7;?
141.0;344.0;-451.0;?;?;-271.0
?;-907.0;-470.0;-762.0;?;-259.0
156.0;415.0;-422.0;-986.0;-7;-147.0
100.0;-165.0;?;-1132.0;-7;?
?;-60.0;-384.0;-1323.0;?;-149.0
121.0;?;-390.0;-1456.0;-7;-35.0
140.0;124.0;-420.0;?;-7;143.0
128.0;113.0;-396.0;-1612.0;-7;52.0
112.0;141.0;-452.0;-1638.0;-7;202.0
110.0;181.0;?;-1598.0;-7;?
92.0;225.0;-406.0;-1608.0;-7;?
110.0;?;-399.0;?;?;262.0
117.0;?;-386.0;?;-7;276.0
112.0;200.0;-440.0;-1278.0;-7;296.0
93.0;229.0;-400.0;-1156.0;-7;316.0
86.0;232.0;-406.0;-985.0;-7;?
?;245.0;?;?;?;366.0
?;?;?;?;?;384.0
81.0;?;-404.0;?;-7;386.0
?;?;-398.0;-234.0;-7;401.0
?;220.0;-378.0;-137.0;?;394.0
60.0;236.0;-350.0;-70.0;?;399.0
74.0;213.0;-396.0;?;-7;394.0
62.0;?;-425.0;-43.0;-7;?
25.0;175.0;-423.0;4.0;-7;407.0
38.0;154.0;-428.0;10.0;?;396.0
82.0;138.0;-399.0;?;-7;367.0
?;148.0;-427.0;50.0;?;380.0
90.0;?;-430.0;75.0;-7;358.0
92.0;?;-470.0;99.0;-7;337.0
89.0;167.0;-456.0;?;-7;?
?;?;?;78.0;-7;319.0
106.0;157.0;-457.0;?;-7;349.0
86.0;143.0;?;153.0;-7;332.0
109.0;140.0;-436.0;186.0;-7;285.0
104.0;137.0;?;231.0;?;286.0
88.0;142.0;-459.0;?;-7;224.0
89.0;?;-436.0;454.0;-7;139.0
73.0;128.0;?;593.0;-7;46.0
98.0;144.0;-436.0;853.0;-7;-63.0
78.0;134.0;?;1096.0;-7;?
67.0;157.0;?;1321.0;?;-324.0
62.0;149.0;-446.0;1597.0;?;-224.0
?;?;-424.0;?;?;-666.0
72.0;109.0;-410.0;?;-7;?
104.0;117.0;-420.0;2002.0;-7;-406.0
84.0;64.0;?;1900.0;-7;93.0
75.0;66.0;-418.0;1885.0;-7;?
89.0;106.0;-425.0;1714.0;-7;655.0
101.0;119.0;?;1465.0;-7;509.0
80.0;121.0;-432.0;?;-7;264.0
?;?;-416.0;1721.0;-7;86.0
113.0;115.0;-459.0;2069.0;-7;-18.0
118.0;112.0;-502.0;1928.0;-7;-54.0
94.0;120.0;-493.0;1749.0;-7;?
125.0;?;-471.0;1350.0;-7;?
146.0;115.0;-455.0;?;?;87.0
160.0;136.0;-448.0;525.0;-7;?
177.0;?;-450.0;126.0;-7;58.0
139.0;110.0;-450.0;-262.0;-7;?
132.0;128.0;-450.0;-541.0;-7;15.0
132.0;149.0;-460.0;-738.0;-7;-50.0
133.0;181.0;-450.0;-754.0;-7;-31.0
124.0;184.0;?;-732.0;-7;?
120.0;?;-427.0;?;-7;-68.0
114.0;149.0;-432.0;?;-7;-50.0
111.0;144.0;?;?;-7;-47.0
112.0;143.0;-423.0;-377.0;-7;?
100.0;167.0;-432.0;-293.0;-7;57.0
?;161.0;-427.0;-164.0;-7;57.0
?;?;?;-48.0;-7;?
117.0;167.0;-452.0;29.0;-7;85.0
104.0;176.0;-442.0;145.0;-7;48.0
107.0;?;-439.0;203.0;?;60.0
?;167.0;-432.0;284.0;-7;74.0
111.0;160.0;-411.0;346.0;-7;16.0
111.0;167.0;-390.0;?;-7;?
113.0;208.0;-372.0;342.0;?;2.0
?;186.0;-426.0;?;-7;20.0
115.0;?;-453.0;142.0;-7;?
31.0;185.0;-459.0;133.0;-7;2.0
64.0;181.0;-468.0;?;-7;25.0
118.0;184.0;-489.0;64.0;-7;1.0
112.0;165.0;-458.0;-16.0;-7;-15.0
142.0;169.0;-467.0;?;-7;2.0
145.0;171.0;?;-135.0;-7;?
140.0;185.0;-375.0;-158.0;-7;-10.0
123.0;189.0;-431.0;-138.0;-7;?
?;187.0;-432.0;-147.0;-7;9.0
91.0;184.0;-445.0;-122.0;-7;39.0
?;152.0;-451.0;?;-7;50.0
?;156.0;-431.0;16.0;-7;29.0
93.0;?;-431.0;74.0;?;7.0
122.0;148.0;-449.0;50.0;-7;40.0
113.0;157.0;?;41.0;?;7.0
?;?;-461.0;82.0;-7;-21.0
101.0;141.0;-428.0;?;-7;6.0
107.0;150.0;-426.0;?;-7;27.0
120.0;?;-428.0;67.0;-7;19.0
114.0;179.0;-458.0;72.0;?;?
?;177.0;-432.0;72.0;-7;1.0
?;?;-453.0;73.0;-7;14.0
?;207.0;-476.0;38.0;-7;7.0
119.0;203.0;-453.0;?;-7;38.0
111.0;191.0;-470.0;38.0;-7;19.0
138.0;162.0;-477.0;?;-7;-11.0
121.0;119.0;-490.0;32.0;-7;-20.0
124.0;?;-480.0;-12.0;-7;-29.0
131.0;?;?;?;-7;-14.0
?;188.0;-446.0;?;-7;3.0
170.0;190.0;-432.0;?;-7;15.0
172.0;227.0;-438.0;-14.0;-7;11.0
?;194.0;?;-32.0;-7;-24.0
?;169.0;?;?;-7;?
123.0;137.0;-470.0;-43.0;-7;16.0
96.0;151.0;-452.0;9.0;-7;64.0
?;150.0;-449.0;23.0;-7;25.0
109.0;?;-465.0;117.0;?;28.0
119.0;166.0;-476.0;68.0;-7;?
135.0;187.0;-441.0;36.0;-7;19.0
141.0;183.0;?;0.0;-7;-28.0
159.0;163.0;-463.0;45.0;-7;?
?;?;-469.0;?;?;-37.0
138.0;167.0;-450.0;-32.0;-7;10.0
142.0;168.0;-480.0;-18.0;-7;39.0
?;168.0;-457.0;2.0;-7;24.0
126.0;168.0;-464.0;?;-7;?
?;170.0;-467.0;-16.0;?;?
120.0;?;?;-73.0;-7;26.0
122.0;193.0;-490.0;?;-7;13.0
108.0;?;-474.0;?;-7;-2.0
114.0;162.0;-463.0;-58.0;?;-10.0
122.0;167.0;-464.0;-48.0;-7;-24.0
133.0;197.0;-478.0;-1.0;-7;5.0
122.0;?;-519.0;76.0;-7;4.0
131.0;?;?;150.0;?;?
118.0;238.0;-494.0;189.0;-7;10.0
?;232.0;-492.0;216.0;-7;11.0
124.0;185.0;-489.0;261.0;-7;?
115.0;168.0;-500.0;227.0;?;-12.0
116.0;186.0;-499.0;212.0;-7;?
126.0;170.0;-478.0;203.0;-7;-4.0
115.0;139.0;-482.0;157.0;-7;28.0
122.0;?;-473.0;96.0;?;64.0
125.0;168.0;-464.0;66.0;-7;47.0
115.0;179.0;?;-11.0;-7;31.0
110.0;177.0;-438.0;-19.0;-7;?
104.0;178.0;?;-35.0;-7;1.0
111.0;179.0;-513.0;-11.0;-7;25.0
112.0;171.0;-440.0;?;-7;25.0
107.0;150.0;-410.0;?;-7;?
110.0;148.0;-463.0;?;-7;9.0
101.0;153.0;?;-99.0;?;10.0
89.0;?;-426.0;-90.0;-7;?
92.0;?;-469.0;-66.0;-7;-27.0
102.0;165.0;-470.0;-115.0;-7;14.0
94.0;?;?;?;-7;10.0
89.0;148.0;-450.0;-95.0;?;17.0
90.0;?;-513.0;-42.0;-7;-5.0
78.0;139.0;-446.0;5.0;-7;5.0
80.0;140.0;-444.0;33.0;-7;19.0
85.0;149.0;-452.0;36.0;-7;27.0
?;147.0;-468.0;?;-7;?
82.0;148.0;-463.0;?;-7;26.0
86.0;150.0;-461.0;47.0;-7;59.0
?;164.0;-456.0;30.0;-7;?
82.0;168.0;-464.0;-11.0;-7;?
103.0;?;-462.0;3.0;-7;-4.0
?;161.0;-485.0;-47.0;-7;39.0
86.0;158.0;-491.0;-66.0;-7;19.0
94.0;152.0;-480.0;-59.0;-7;31.0
112.0;140.0;-440.0;?;-7;26.0
113.0;131.0;?;?;-7;?
104.0;119.0;-451.0;-18.0;-7;26.0
105.0;138.0;?;?;-7;4.0
111.0;157.0;-452.0;-80.0;-7;20.0
?;139.0;-453.0;-33.0;-7;26.0
105.0;148.0;-427.0;2.0;-7;10.0
112.0;138.0;-475.0;35.0;-7;-7.0
114.0;152.0;-457.0;33.0;-7;24.0
111.0;138.0;-432.0;3.0;-7;15.0
118.0;109.0;?;7.0;-7;16.0
107.0;99.0;-435.0;17.0;-7;?
103.0;121.0;-425.0;7.0;-7;?
94.0;98.0;-418.0;16.0;?;?
?;99.0;-448.0;?;-7;?
95.0;?;-460.0;61.0;-7;2.0
88.0;?;?;?;-7;?
98.0;125.0;-463.0;46.0;-7;40.0
?;99.0;-440.0;41.0;-7;31.0
98.0;109.0;-428.0;74.0;-7;9.0
104.0;78.0;-481.0;18.0;-7;19.0
109.0;83.0;-431.0;-11.0;-7;?
98.0;?;-429.0;-4.0;-7;7.0
?;112.0;-459.0;-5.0;?;0.0
102.0;131.0;-429.0;14.0;-7;?
97.0;132.0;-460.0;15.0;-7;-12.0
94.0;?;-443.0;?;-7;1.0
98.0;99.0;?;32.0;?;21.0
96.0;?;-481.0;46.0;-7;1.0
?;96.0;-470.0;57.0;?;0.0
96.0;?;-452.0;68.0;?;0.0
107.0;122.0;-451.0;48.0;-7;-13.0
107.0;?;-476.0;28.0;-7;-11.0
105.0;102.0;-458.0;26.0;?;32.0
106.0;97.0;-476.0;43.0;-7;12.0
?;128.0;-412.0;-36.0;-7;-6.0
107.0;?;-486.0;0.0;-7;?
?;?;-458.0;?;-7;28.0
115.0;142.0;-460.0;?;-7;25.0
?;121.0;-444.0;27.0;-7;11.0
101.0;144.0;-459.0;54.0;-8;?
?;?;-457.0;?;-8;5.0
?;159.0;-469.0;0.0;-8;43.0
99.0;133.0;-449.0;13.0;-8;17.0
102.0;149.0;-406.0;-8.0;-8;-1.0
83.0;162.0;-380.0;3.0;-8;10.0
80.0;141.0;-409.0;-20.0;-8;9.0
73.0;123.0;-419.0;-34.0;-8;-12.0
?;151.0;-412.0;-56.0;-8;-16.0
?;167.0;-445.0;-58.0;?;33.0
?;168.0;?;-79.0;-8;?
50.0;177.0;-445.0;?;-8;1.0
82.0;188.0;-422.0;-95.0;-8;22.0
77.0;198.0;-423.0;-66.0;-8;20.0
79.0;184.0;-407.0;-15.0;-8;6.0
?;158.0;?;-1.0;-8;15.0
69.0;184.0;?;54.0;-8;38.0
56.0;185.0;-446.0;7.0;-8;42.0
66.0;193.0;-422.0;?;-8;15.0
67.0;175.0;-449.0;?;?;?
66.0;179.0;-473.0;85.0;-7;2.0
68.0;174.0;-450.0;63.0;-7;?
67.0;?;-470.0;73.0;-7;10.0
75.0;128.0;-439.0;104.0;-7;-1.0
76.0;?;?;?;-7;?
81.0;144.0;-448.0;?;?;23.0
75.0;?;-439.0;?;-7;?
81.0;159.0;-442.0;83.0;-7;3.0
?;168.0;-470.0;?;-7;10.0
79.0;158.0;-456.0;?;-7;16.0
?;168.0;?;?;-7;13.0
89.0;143.0;-471.0;71.0;-7;22.0
88.0;131.0;-457.0;65.0;-7;24.0
87.0;156.0;-453.0;21.0;-7;18.0
91.0;167.0;-463.0;16.0;-7;12.0
86.0;?;-465.0;25.0;-7;16.0
90.0;158.0;-465.0;6.0;-7;?
87.0;173.0;-491.0;-5.0;-7;19.0
95.0;156.0;-420.0;8.0;?;30.0
91.0;132.0;-432.0;?;-7;37.0
80.0;?;-450.0;18.0;-7;17.0
103.0;137.0;-448.0;?;?;7.0
84.0;152.0;-442.0;?;-7;4.0
94.0;146.0;-483.0;36.0;?;?
87.0;158.0;?;49.0;-7;31.0
?;148.0;-446.0;?;-7;20.0
91.0;158.0;-462.0;52.0;-8;8.0
95.0;170.0;-452.0;19.0;-7;10.0
84.0;161.0;-413.0;25.0;-7;21.0
