InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA magneticX
228.0;182.0;442.0;536.0;129.0;309.0;543.0;?
283.0;179.0;441.0;578.0;114.0;372.0;542.0;81.0
352.0;170.0;439.0;620.0;87.0;442.0;541.0;-17.0
432.0;?;436.0;659.0;72.0;516.0;533.0;-116.0
521.0;157.0;438.0;701.0;?;581.0;521.0;-210.0
604.0;188.0;443.0;738.0;99.0;?;509.0;-287.0
654.0;236.0;453.0;757.0;117.0;637.0;511.0;-355.0
673.0;281.0;465.0;764.0;134.0;638.0;514.0;-400.0
683.0;316.0;472.0;?;152.0;627.0;513.0;-438.0
?;355.0;476.0;768.0;?;616.0;515.0;-458.0
660.0;?;475.0;770.0;184.0;604.0;521.0;-459.0
639.0;449.0;472.0;771.0;?;?;531.0;?
620.0;498.0;470.0;773.0;215.0;571.0;?;-462.0
?;543.0;473.0;773.0;229.0;536.0;547.0;-455.0
613.0;585.0;?;777.0;237.0;517.0;547.0;-444.0
611.0;611.0;472.0;776.0;?;507.0;548.0;?
?;624.0;470.0;?;234.0;501.0;546.0;-434.0
?;631.0;468.0;779.0;223.0;504.0;545.0;-436.0
-266.0;448.0;?;-27.0;-355.0;?;425.0;-36.0
-262.0;447.0;529.0;-24.0;-356.0;260.0;?;-35.0
-259.0;?;529.0;-21.0;-356.0;?;?;-38.0
?;448.0;528.0;-11.0;-352.0;258.0;434.0;-46.0
?;452.0;528.0;10.0;-343.0;275.0;441.0;-59.0
-198.0;462.0;525.0;44.0;-327.0;?;450.0;-80.0
-165.0;475.0;?;85.0;-304.0;329.0;462.0;-110.0
-116.0;489.0;517.0;142.0;?;364.0;468.0;?
-45.0;502.0;512.0;211.0;-244.0;407.0;?;-190.0
28.0;514.0;506.0;286.0;?;448.0;483.0;-233.0
?;522.0;?;378.0;?;498.0;490.0;-279.0
204.0;529.0;496.0;460.0;?;541.0;494.0;-316.0
292.0;535.0;492.0;525.0;-73.0;574.0;500.0;-337.0
385.0;542.0;?;596.0;-19.0;599.0;507.0;-356.0
466.0;553.0;489.0;655.0;41.0;612.0;512.0;-362.0
554.0;571.0;488.0;703.0;103.0;602.0;520.0;-363.0
623.0;587.0;487.0;?;165.0;?;532.0;?
667.0;610.0;480.0;765.0;226.0;521.0;?;?
694.0;?;472.0;778.0;?;455.0;544.0;-275.0
709.0;650.0;463.0;780.0;328.0;385.0;?;-231.0
710.0;665.0;?;778.0;371.0;309.0;550.0;-183.0
709.0;682.0;446.0;773.0;409.0;241.0;549.0;-134.0
707.0;695.0;439.0;777.0;438.0;191.0;548.0;-84.0
?;?;?;774.0;454.0;152.0;?;-47.0
?;?;426.0;770.0;457.0;133.0;?;-29.0
?;711.0;?;765.0;?;117.0;545.0;-18.0
?;?;430.0;766.0;448.0;?;?;?
704.0;715.0;431.0;?;438.0;124.0;?;?
704.0;?;?;775.0;429.0;133.0;547.0;?
705.0;721.0;432.0;775.0;421.0;146.0;549.0;-62.0
?;722.0;?;774.0;?;?;549.0;-73.0
706.0;721.0;431.0;775.0;405.0;178.0;550.0;?
703.0;?;430.0;?;396.0;195.0;549.0;?
698.0;723.0;430.0;?;381.0;215.0;550.0;?
695.0;726.0;431.0;?;361.0;238.0;550.0;-116.0
?;731.0;433.0;777.0;?;?;551.0;-133.0
-384.0;503.0;564.0;-116.0;-339.0;250.0;?;-47.0
?;500.0;561.0;?;?;256.0;447.0;?
-364.0;?;558.0;-95.0;-337.0;253.0;449.0;-44.0
-361.0;495.0;555.0;-93.0;-335.0;244.0;?;-42.0
-352.0;492.0;553.0;-83.0;-333.0;244.0;456.0;-43.0
-332.0;?;549.0;-65.0;-324.0;251.0;462.0;-45.0
-299.0;491.0;542.0;-32.0;-311.0;?;469.0;-50.0
-253.0;?;535.0;13.0;?;297.0;?;-65.0
-198.0;?;529.0;68.0;?;?;495.0;-87.0
-115.0;513.0;523.0;?;-222.0;350.0;498.0;-119.0
-21.0;524.0;515.0;?;-168.0;377.0;503.0;-156.0
96.0;536.0;505.0;357.0;-105.0;426.0;511.0;-200.0
?;547.0;497.0;466.0;-35.0;472.0;517.0;-234.0
321.0;559.0;491.0;552.0;40.0;489.0;523.0;-246.0
?;572.0;488.0;634.0;?;483.0;530.0;-257.0
537.0;580.0;484.0;696.0;192.0;?;540.0;?
600.0;589.0;476.0;744.0;263.0;?;547.0;?
653.0;600.0;466.0;765.0;327.0;333.0;?;-206.0
683.0;611.0;456.0;?;384.0;279.0;562.0;-160.0
695.0;624.0;443.0;771.0;430.0;218.0;566.0;?
695.0;639.0;429.0;765.0;467.0;169.0;563.0;-65.0
689.0;652.0;?;746.0;495.0;127.0;560.0;-14.0
686.0;?;417.0;739.0;513.0;95.0;559.0;23.0
687.0;?;410.0;740.0;520.0;?;556.0;42.0
686.0;?;407.0;736.0;521.0;?;552.0;?
686.0;674.0;405.0;737.0;520.0;55.0;?;59.0
690.0;676.0;402.0;731.0;516.0;63.0;553.0;61.0
?;679.0;403.0;732.0;?;?;552.0;54.0
693.0;679.0;?;740.0;505.0;71.0;554.0;41.0
694.0;?;402.0;744.0;500.0;81.0;554.0;34.0
?;681.0;402.0;746.0;495.0;90.0;556.0;26.0
?;685.0;401.0;?;488.0;100.0;557.0;19.0
?;691.0;401.0;?;476.0;117.0;558.0;13.0
698.0;697.0;406.0;750.0;461.0;133.0;559.0;?
700.0;701.0;416.0;755.0;443.0;157.0;562.0;-1.0
704.0;708.0;428.0;764.0;?;182.0;564.0;-9.0
-254.0;420.0;516.0;-5.0;-366.0;264.0;516.0;-62.0
-252.0;419.0;?;-4.0;?;263.0;516.0;-59.0
-250.0;419.0;512.0;0.0;?;258.0;515.0;?
-245.0;418.0;?;1.0;-364.0;252.0;515.0;-53.0
-238.0;417.0;509.0;7.0;?;253.0;515.0;-51.0
-235.0;418.0;508.0;?;-360.0;256.0;515.0;-50.0
?;421.0;506.0;?;-352.0;?;516.0;-56.0
-211.0;428.0;?;34.0;-337.0;278.0;518.0;-67.0
-187.0;439.0;?;62.0;-312.0;301.0;521.0;-89.0
-147.0;?;500.0;108.0;?;334.0;525.0;-117.0
-100.0;?;496.0;?;-229.0;?;528.0;-145.0
?;492.0;492.0;261.0;-167.0;412.0;532.0;-177.0
?;514.0;486.0;?;-95.0;?;?;-203.0
205.0;?;481.0;480.0;-16.0;?;541.0;?
323.0;?;479.0;577.0;?;?;544.0;-250.0
?;566.0;477.0;?;146.0;506.0;548.0;-240.0
524.0;577.0;475.0;709.0;230.0;466.0;555.0;-222.0
?;585.0;470.0;751.0;310.0;396.0;?;-185.0
652.0;?;462.0;774.0;?;304.0;564.0;-135.0
693.0;?;?;778.0;445.0;218.0;563.0;-74.0
708.0;603.0;438.0;771.0;497.0;?;561.0;-17.0
709.0;606.0;428.0;759.0;?;80.0;556.0;42.0
701.0;606.0;423.0;747.0;573.0;29.0;559.0;98.0
683.0;612.0;417.0;?;588.0;-11.0;569.0;143.0
?;624.0;408.0;722.0;589.0;?;572.0;166.0
686.0;636.0;405.0;?;580.0;-44.0;567.0;164.0
?;647.0;?;733.0;?;-40.0;563.0;147.0
?;653.0;409.0;737.0;548.0;-27.0;564.0;?
688.0;655.0;412.0;736.0;?;-8.0;564.0;?
690.0;654.0;415.0;738.0;?;?;565.0;?
692.0;654.0;416.0;744.0;516.0;33.0;?;63.0
696.0;656.0;?;745.0;508.0;48.0;565.0;53.0
695.0;?;415.0;747.0;?;66.0;565.0;?
698.0;658.0;416.0;746.0;?;92.0;?;?
699.0;661.0;418.0;?;465.0;120.0;568.0;16.0
704.0;667.0;421.0;758.0;434.0;?;571.0;-4.0
?;674.0;?;765.0;?;197.0;574.0;?
-242.0;481.0;517.0;20.0;-245.0;?;516.0;-19.0
-239.0;479.0;517.0;?;-247.0;251.0;517.0;-20.0
-235.0;?;517.0;34.0;-247.0;254.0;?;-25.0
-223.0;?;?;?;-243.0;259.0;522.0;-26.0
-205.0;477.0;516.0;?;-234.0;?;525.0;?
-185.0;479.0;515.0;86.0;-223.0;286.0;527.0;-40.0
-157.0;?;514.0;117.0;-204.0;?;530.0;-58.0
-123.0;494.0;513.0;166.0;?;351.0;531.0;?
-73.0;509.0;511.0;240.0;-129.0;397.0;532.0;-116.0
?;523.0;509.0;317.0;?;448.0;533.0;-156.0
?;540.0;?;?;?;494.0;533.0;-188.0
?;558.0;?;483.0;?;523.0;?;-224.0
258.0;574.0;?;567.0;137.0;532.0;542.0;-247.0
374.0;590.0;499.0;?;212.0;527.0;543.0;-260.0
485.0;607.0;496.0;710.0;285.0;496.0;551.0;-253.0
581.0;?;483.0;747.0;352.0;447.0;560.0;?
641.0;?;476.0;773.0;417.0;370.0;?;-193.0
675.0;?;470.0;781.0;475.0;283.0;580.0;-139.0
?;643.0;?;775.0;522.0;185.0;580.0;-74.0
?;648.0;453.0;763.0;562.0;107.0;579.0;-13.0
?;648.0;440.0;754.0;591.0;?;572.0;45.0
?;?;439.0;740.0;607.0;7.0;579.0;90.0
688.0;?;432.0;732.0;614.0;-19.0;?;?
680.0;?;429.0;721.0;609.0;-23.0;583.0;?
680.0;661.0;428.0;721.0;597.0;-20.0;?;137.0
680.0;?;?;737.0;585.0;?;580.0;121.0
682.0;670.0;428.0;?;574.0;-4.0;578.0;106.0
686.0;673.0;431.0;?;?;5.0;578.0;91.0
?;673.0;431.0;742.0;558.0;15.0;579.0;81.0
690.0;674.0;?;?;554.0;21.0;579.0;76.0
692.0;674.0;431.0;?;?;?;580.0;71.0
?;674.0;430.0;750.0;?;31.0;579.0;?
691.0;673.0;?;750.0;548.0;37.0;579.0;?
696.0;672.0;426.0;747.0;?;41.0;?;60.0
694.0;673.0;423.0;749.0;?;50.0;581.0;58.0
694.0;677.0;423.0;?;529.0;65.0;582.0;55.0
697.0;685.0;423.0;755.0;?;89.0;?;42.0
-264.0;380.0;544.0;-26.0;?;261.0;512.0;?
-258.0;378.0;540.0;-22.0;?;?;515.0;-69.0
-254.0;376.0;537.0;-16.0;-356.0;?;516.0;-59.0
-251.0;?;534.0;?;?;240.0;518.0;-50.0
-242.0;375.0;532.0;?;-350.0;236.0;520.0;-47.0
-238.0;?;530.0;0.0;?;236.0;522.0;-46.0
-231.0;375.0;528.0;8.0;-341.0;238.0;523.0;-45.0
?;378.0;525.0;21.0;-330.0;237.0;524.0;-46.0
-210.0;382.0;522.0;38.0;-315.0;245.0;?;-46.0
?;388.0;517.0;59.0;-295.0;258.0;?;-54.0
-167.0;398.0;512.0;86.0;-269.0;271.0;530.0;-61.0
-135.0;409.0;506.0;124.0;-235.0;282.0;531.0;-69.0
-91.0;420.0;501.0;175.0;?;294.0;531.0;-82.0
-34.0;428.0;497.0;244.0;-155.0;309.0;535.0;-100.0
25.0;?;493.0;?;?;?;541.0;-107.0
97.0;437.0;491.0;364.0;-62.0;343.0;548.0;-107.0
193.0;?;488.0;433.0;-14.0;353.0;?;-108.0
302.0;433.0;487.0;501.0;33.0;354.0;560.0;-104.0
408.0;427.0;487.0;?;76.0;?;?;-97.0
492.0;421.0;489.0;617.0;121.0;294.0;569.0;-76.0
?;416.0;487.0;654.0;163.0;259.0;573.0;-51.0
602.0;410.0;486.0;684.0;203.0;217.0;575.0;-32.0
617.0;410.0;485.0;703.0;240.0;169.0;?;-17.0
616.0;?;482.0;708.0;268.0;?;583.0;7.0
606.0;420.0;480.0;711.0;286.0;56.0;581.0;19.0
579.0;423.0;480.0;722.0;?;14.0;582.0;26.0
531.0;427.0;480.0;722.0;298.0;-30.0;584.0;?
486.0;429.0;?;?;?;-70.0;584.0;34.0
?;433.0;480.0;712.0;311.0;-105.0;?;46.0
349.0;436.0;479.0;711.0;320.0;-145.0;586.0;?
272.0;440.0;480.0;?;330.0;-187.0;587.0;75.0
187.0;438.0;?;710.0;337.0;-215.0;587.0;93.0
117.0;?;480.0;706.0;339.0;-217.0;590.0;112.0
41.0;409.0;480.0;?;334.0;?;592.0;131.0
0.0;382.0;479.0;687.0;323.0;-154.0;594.0;150.0
-19.0;?;479.0;?;306.0;-102.0;595.0;168.0
-40.0;317.0;478.0;?;284.0;-43.0;598.0;191.0
-48.0;?;477.0;642.0;268.0;3.0;601.0;?
-51.0;267.0;475.0;?;251.0;48.0;602.0;242.0
-57.0;249.0;473.0;607.0;235.0;72.0;?;264.0
-57.0;233.0;472.0;590.0;223.0;85.0;600.0;280.0
-55.0;222.0;470.0;571.0;211.0;?;600.0;299.0
?;?;469.0;551.0;202.0;105.0;598.0;311.0
-37.0;205.0;468.0;527.0;195.0;103.0;?;327.0
-18.0;200.0;?;509.0;?;?;594.0;?
6.0;197.0;467.0;496.0;187.0;95.0;?;348.0
42.0;194.0;?;482.0;184.0;88.0;?;358.0
?;?;466.0;?;187.0;81.0;588.0;369.0
123.0;197.0;466.0;456.0;190.0;?;586.0;376.0
154.0;198.0;466.0;450.0;189.0;55.0;586.0;?
179.0;199.0;467.0;452.0;190.0;51.0;586.0;385.0
197.0;200.0;468.0;?;191.0;48.0;587.0;385.0
205.0;200.0;469.0;452.0;192.0;46.0;587.0;386.0
206.0;200.0;?;454.0;194.0;45.0;588.0;?
202.0;201.0;471.0;455.0;?;45.0;589.0;387.0
?;202.0;471.0;?;197.0;47.0;590.0;?
194.0;203.0;471.0;456.0;198.0;46.0;591.0;386.0
193.0;?;471.0;459.0;200.0;?;593.0;?
192.0;?;471.0;?;201.0;41.0;?;385.0
196.0;203.0;470.0;?;201.0;40.0;597.0;385.0
203.0;?;469.0;460.0;202.0;38.0;?;385.0
209.0;198.0;?;?;203.0;41.0;?;384.0
?;194.0;467.0;461.0;204.0;40.0;605.0;382.0
225.0;190.0;466.0;463.0;207.0;43.0;609.0;381.0
235.0;186.0;465.0;465.0;211.0;43.0;613.0;378.0
243.0;181.0;464.0;?;?;?;618.0;376.0
257.0;177.0;463.0;468.0;225.0;44.0;624.0;375.0
268.0;173.0;460.0;467.0;233.0;45.0;629.0;?
282.0;?;459.0;469.0;242.0;49.0;635.0;368.0
290.0;164.0;?;469.0;251.0;49.0;641.0;?
296.0;160.0;456.0;?;?;53.0;648.0;368.0
297.0;158.0;456.0;468.0;270.0;53.0;?;368.0
291.0;156.0;?;470.0;280.0;?;659.0;366.0
282.0;156.0;457.0;471.0;289.0;47.0;?;365.0
?;154.0;458.0;472.0;?;44.0;668.0;364.0
270.0;153.0;459.0;472.0;?;40.0;672.0;364.0
?;154.0;459.0;473.0;317.0;38.0;675.0;?
269.0;154.0;460.0;474.0;327.0;34.0;?;364.0
269.0;155.0;?;473.0;336.0;?;685.0;359.0
269.0;156.0;?;?;?;?;690.0;?
274.0;156.0;?;474.0;353.0;29.0;?;360.0
281.0;157.0;466.0;476.0;360.0;31.0;699.0;359.0
286.0;?;468.0;?;368.0;28.0;703.0;?
?;?;?;479.0;376.0;25.0;707.0;365.0
?;?;473.0;480.0;384.0;16.0;710.0;368.0
315.0;166.0;475.0;484.0;390.0;10.0;?;369.0
325.0;?;477.0;485.0;395.0;3.0;?;373.0
330.0;171.0;478.0;489.0;400.0;?;720.0;374.0
?;173.0;?;488.0;403.0;?;723.0;381.0
339.0;175.0;480.0;492.0;?;-14.0;725.0;384.0
346.0;177.0;481.0;495.0;407.0;-15.0;?;387.0
?;179.0;483.0;497.0;409.0;?;?;?
351.0;182.0;?;497.0;410.0;?;727.0;391.0
356.0;185.0;?;?;412.0;?;727.0;395.0
307.0;209.0;486.0;477.0;344.0;-51.0;675.0;?
309.0;?;?;481.0;?;-47.0;674.0;400.0
?;206.0;484.0;479.0;342.0;-46.0;673.0;399.0
307.0;204.0;483.0;479.0;341.0;-44.0;673.0;399.0
306.0;203.0;483.0;481.0;340.0;-43.0;?;398.0
304.0;201.0;482.0;480.0;339.0;?;?;398.0
302.0;200.0;481.0;480.0;339.0;-37.0;674.0;399.0
?;?;479.0;481.0;340.0;-36.0;675.0;397.0
299.0;196.0;478.0;482.0;?;-35.0;675.0;396.0
297.0;195.0;477.0;?;343.0;-32.0;677.0;396.0
296.0;193.0;477.0;485.0;346.0;-32.0;678.0;394.0
298.0;192.0;?;483.0;349.0;-31.0;?;397.0
296.0;192.0;478.0;483.0;353.0;-29.0;682.0;396.0
300.0;192.0;481.0;?;357.0;-29.0;684.0;393.0
?;193.0;484.0;481.0;?;-29.0;687.0;?
312.0;194.0;487.0;482.0;369.0;-27.0;690.0;390.0
320.0;196.0;490.0;?;376.0;?;694.0;387.0
329.0;?;495.0;478.0;385.0;?;697.0;387.0
?;202.0;499.0;479.0;394.0;?;701.0;?
349.0;205.0;?;479.0;403.0;?;705.0;384.0
?;208.0;506.0;481.0;413.0;?;709.0;385.0
?;?;509.0;482.0;422.0;-62.0;713.0;389.0
376.0;215.0;513.0;?;431.0;-70.0;717.0;391.0
383.0;?;515.0;484.0;440.0;-78.0;721.0;391.0
388.0;220.0;517.0;?;447.0;?;725.0;?
392.0;?;520.0;485.0;453.0;-94.0;727.0;395.0
397.0;224.0;521.0;490.0;?;?;?;?
?;227.0;522.0;?;464.0;-118.0;731.0;402.0
400.0;?;522.0;490.0;?;?;732.0;407.0
399.0;231.0;521.0;?;466.0;?;732.0;410.0
397.0;232.0;?;492.0;463.0;-138.0;731.0;411.0
397.0;232.0;?;494.0;459.0;-138.0;729.0;411.0
395.0;232.0;520.0;495.0;454.0;-135.0;727.0;413.0
392.0;232.0;521.0;495.0;?;-130.0;724.0;412.0
387.0;?;520.0;?;441.0;-123.0;722.0;411.0
383.0;232.0;?;?;434.0;-120.0;718.0;413.0
381.0;234.0;513.0;492.0;430.0;?;717.0;414.0
381.0;?;505.0;496.0;423.0;-129.0;720.0;?
359.0;236.0;504.0;499.0;?;-141.0;711.0;429.0
334.0;228.0;499.0;?;399.0;-134.0;?;429.0
338.0;225.0;495.0;495.0;394.0;?;703.0;437.0
352.0;223.0;492.0;?;398.0;-96.0;702.0;437.0
367.0;224.0;488.0;501.0;399.0;-107.0;702.0;?
370.0;227.0;487.0;505.0;392.0;?;701.0;?
373.0;?;487.0;506.0;380.0;?;700.0;443.0
368.0;222.0;486.0;503.0;370.0;-118.0;699.0;443.0
357.0;?;486.0;499.0;363.0;-107.0;?;441.0
361.0;217.0;486.0;498.0;?;-96.0;695.0;439.0
361.0;?;487.0;497.0;357.0;-93.0;694.0;436.0
367.0;220.0;487.0;494.0;355.0;-93.0;693.0;434.0
?;221.0;487.0;491.0;354.0;-92.0;692.0;430.0
359.0;222.0;488.0;490.0;354.0;-93.0;691.0;428.0
?;223.0;490.0;487.0;355.0;-92.0;691.0;422.0
354.0;223.0;491.0;489.0;?;-94.0;691.0;418.0
?;?;493.0;489.0;358.0;?;690.0;?
356.0;226.0;494.0;487.0;361.0;-92.0;691.0;407.0
?;225.0;?;486.0;363.0;-96.0;691.0;?
?;225.0;494.0;487.0;364.0;-92.0;692.0;403.0
351.0;223.0;494.0;485.0;365.0;-88.0;691.0;399.0
345.0;222.0;493.0;483.0;366.0;-86.0;690.0;396.0
337.0;220.0;493.0;482.0;367.0;-85.0;690.0;396.0
331.0;?;492.0;482.0;368.0;-83.0;690.0;395.0
?;217.0;?;484.0;368.0;-77.0;690.0;397.0
327.0;?;492.0;483.0;368.0;?;691.0;392.0
325.0;216.0;493.0;483.0;368.0;?;690.0;389.0
326.0;216.0;?;481.0;368.0;-73.0;?;389.0
?;215.0;?;481.0;367.0;-69.0;690.0;388.0
320.0;211.0;491.0;?;?;-63.0;?;385.0
?;?;490.0;480.0;367.0;?;?;?
316.0;208.0;490.0;?;369.0;-56.0;?;381.0
317.0;?;?;481.0;372.0;-59.0;695.0;382.0
319.0;?;490.0;481.0;374.0;-58.0;698.0;383.0
322.0;203.0;491.0;?;377.0;-55.0;700.0;384.0
323.0;200.0;?;481.0;381.0;-53.0;703.0;384.0
327.0;198.0;491.0;483.0;?;-51.0;706.0;384.0
?;198.0;492.0;484.0;390.0;-50.0;708.0;382.0
334.0;197.0;?;484.0;396.0;?;?;?
339.0;197.0;494.0;487.0;?;-59.0;713.0;384.0
345.0;200.0;?;?;410.0;-68.0;715.0;?
346.0;203.0;498.0;?;416.0;-76.0;716.0;384.0
348.0;205.0;499.0;?;?;-80.0;716.0;386.0
346.0;208.0;501.0;481.0;424.0;-83.0;?;?
344.0;211.0;502.0;479.0;427.0;?;?;387.0
332.0;238.0;?;472.0;373.0;-102.0;673.0;397.0
332.0;236.0;512.0;473.0;371.0;-98.0;672.0;395.0
326.0;?;511.0;474.0;371.0;?;672.0;395.0
324.0;233.0;510.0;473.0;?;?;673.0;393.0
323.0;232.0;509.0;476.0;370.0;-91.0;673.0;?
322.0;?;509.0;477.0;369.0;-91.0;674.0;393.0
324.0;228.0;?;477.0;368.0;-86.0;674.0;389.0
323.0;227.0;507.0;?;?;-83.0;674.0;390.0
322.0;226.0;507.0;477.0;369.0;-78.0;676.0;385.0
323.0;226.0;507.0;480.0;?;-80.0;677.0;385.0
325.0;226.0;?;480.0;370.0;-80.0;676.0;384.0
325.0;226.0;507.0;478.0;370.0;?;677.0;?
325.0;225.0;508.0;479.0;?;-80.0;677.0;384.0
323.0;224.0;?;478.0;368.0;-79.0;677.0;384.0
323.0;224.0;508.0;478.0;368.0;?;677.0;384.0
?;?;509.0;477.0;366.0;-76.0;677.0;385.0
319.0;222.0;?;?;365.0;-77.0;?;381.0
?;221.0;510.0;476.0;365.0;-73.0;?;381.0
315.0;?;511.0;475.0;364.0;-71.0;677.0;381.0
316.0;221.0;512.0;473.0;365.0;-70.0;678.0;379.0
317.0;221.0;513.0;474.0;366.0;-69.0;678.0;376.0
?;221.0;513.0;471.0;367.0;?;679.0;375.0
317.0;221.0;513.0;471.0;369.0;?;680.0;374.0
318.0;222.0;513.0;469.0;372.0;-67.0;681.0;372.0
318.0;222.0;513.0;469.0;374.0;-66.0;681.0;?
316.0;221.0;513.0;469.0;376.0;?;681.0;373.0
?;221.0;?;467.0;378.0;-72.0;682.0;372.0
314.0;221.0;513.0;469.0;379.0;?;682.0;372.0
?;220.0;514.0;470.0;381.0;-74.0;682.0;377.0
317.0;221.0;515.0;471.0;382.0;-77.0;681.0;379.0
314.0;222.0;?;471.0;383.0;?;680.0;?
320.0;222.0;516.0;471.0;385.0;-89.0;681.0;381.0
?;222.0;516.0;472.0;390.0;-97.0;681.0;383.0
322.0;227.0;511.0;471.0;?;-107.0;?;386.0
317.0;228.0;509.0;?;387.0;?;676.0;?
286.0;?;508.0;475.0;373.0;-128.0;673.0;?
252.0;229.0;507.0;?;?;-119.0;672.0;397.0
249.0;224.0;507.0;474.0;364.0;-102.0;675.0;400.0
259.0;?;506.0;476.0;364.0;-91.0;678.0;400.0
280.0;221.0;505.0;480.0;?;-83.0;680.0;401.0
289.0;224.0;?;484.0;362.0;?;682.0;401.0
306.0;226.0;506.0;485.0;361.0;?;682.0;404.0
305.0;?;?;482.0;358.0;?;?;401.0
292.0;225.0;503.0;480.0;357.0;-85.0;677.0;?
?;226.0;?;?;355.0;-88.0;674.0;?
285.0;227.0;501.0;481.0;353.0;-91.0;670.0;401.0
286.0;228.0;499.0;480.0;350.0;?;668.0;402.0
284.0;?;498.0;480.0;347.0;-94.0;665.0;399.0
281.0;228.0;497.0;480.0;344.0;-96.0;?;399.0
?;228.0;498.0;479.0;340.0;-93.0;663.0;398.0
285.0;227.0;499.0;?;336.0;-90.0;662.0;396.0
?;227.0;499.0;480.0;333.0;-88.0;661.0;394.0
294.0;227.0;501.0;480.0;?;-91.0;659.0;?
294.0;228.0;502.0;?;329.0;-91.0;658.0;?
?;?;503.0;478.0;328.0;?;656.0;393.0
295.0;227.0;?;477.0;327.0;-86.0;654.0;392.0
292.0;226.0;?;?;?;-76.0;654.0;?
290.0;227.0;502.0;477.0;326.0;-72.0;652.0;?
285.0;229.0;502.0;?;326.0;?;651.0;?
285.0;230.0;?;478.0;325.0;-74.0;650.0;380.0
288.0;231.0;502.0;478.0;324.0;?;650.0;376.0
289.0;231.0;502.0;477.0;323.0;-75.0;?;?
291.0;?;502.0;476.0;321.0;-73.0;650.0;369.0
?;?;?;478.0;320.0;-70.0;?;367.0
290.0;?;502.0;478.0;?;-71.0;650.0;367.0
?;?;502.0;479.0;318.0;-69.0;?;?
288.0;231.0;?;477.0;318.0;-71.0;649.0;362.0
287.0;230.0;501.0;477.0;?;-68.0;649.0;363.0
286.0;229.0;500.0;478.0;315.0;?;649.0;?
284.0;227.0;498.0;?;315.0;-65.0;649.0;362.0
?;?;496.0;480.0;315.0;-65.0;650.0;366.0
282.0;223.0;496.0;?;?;-63.0;649.0;365.0
?;222.0;?;?;315.0;-63.0;650.0;365.0
279.0;?;496.0;480.0;315.0;?;?;366.0
280.0;220.0;496.0;480.0;318.0;-60.0;652.0;365.0
281.0;218.0;?;479.0;320.0;-58.0;654.0;?
?;215.0;499.0;479.0;323.0;-62.0;656.0;?
?;213.0;500.0;482.0;326.0;-63.0;660.0;360.0
286.0;212.0;501.0;?;332.0;-60.0;?;360.0
289.0;211.0;?;480.0;340.0;-62.0;668.0;363.0
