Accelerometer LUA^ accX;InertialMeasurementUnit LUA accY;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit LLA accY;Accelerometer LUA_ accX;Accelerometer LUA^ accZ;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX;Accelerometer LUA_ accZ
-406.0;-610.0;-389.0;-824.0;-596.0;-868.0;683.0;-680.0;675.0;690.0;338.0
-413.0;-631.0;?;-732.0;-549.0;-819.0;661.0;-671.0;698.0;735.0;318.0
-459.0;-710.0;-441.0;-710.0;-578.0;-803.0;661.0;-721.0;566.0;827.0;?
?;-780.0;-481.0;-762.0;?;-836.0;?;-811.0;548.0;?;231.0
?;-735.0;-541.0;-808.0;-674.0;-899.0;724.0;-896.0;545.0;852.0;207.0
-610.0;-747.0;?;-796.0;-660.0;-940.0;661.0;-846.0;549.0;859.0;115.0
-370.0;?;-812.0;-869.0;-142.0;-448.0;?;-857.0;207.0;953.0;390.0
-428.0;-941.0;-819.0;-868.0;-162.0;-471.0;?;-862.0;302.0;951.0;352.0
-422.0;-924.0;-830.0;?;-142.0;?;?;?;243.0;?;385.0
-417.0;-910.0;-824.0;-879.0;-161.0;-474.0;881.0;-834.0;264.0;902.0;363.0
?;-924.0;-781.0;-856.0;-208.0;-459.0;892.0;-825.0;238.0;832.0;412.0
-253.0;?;?;-819.0;?;-432.0;946.0;?;290.0;634.0;529.0
-91.0;-824.0;-671.0;-754.0;-362.0;-380.0;918.0;-638.0;337.0;?;673.0
46.0;-755.0;-490.0;-603.0;-398.0;-406.0;916.0;-412.0;434.0;?;860.0
95.0;-680.0;-388.0;-468.0;?;-355.0;852.0;-346.0;456.0;378.0;933.0
73.0;-637.0;-334.0;?;?;-371.0;?;-264.0;471.0;365.0;960.0
-3.0;-643.0;-238.0;-372.0;-583.0;-525.0;727.0;?;617.0;322.0;913.0
-162.0;-711.0;-217.0;-391.0;-808.0;-638.0;710.0;-159.0;?;261.0;909.0
-261.0;-681.0;-169.0;-394.0;?;?;?;-38.0;795.0;307.0;882.0
-337.0;-678.0;?;-328.0;-1311.0;-831.0;?;-136.0;962.0;?;826.0
-483.0;-717.0;?;-315.0;-1474.0;?;557.0;-178.0;1138.0;?;740.0
-594.0;-707.0;-35.0;-358.0;-1347.0;-1194.0;?;-73.0;1389.0;?;?
-545.0;?;26.0;-316.0;?;-1304.0;504.0;?;1544.0;245.0;554.0
-724.0;-721.0;-5.0;-331.0;-1586.0;-1297.0;451.0;-112.0;1410.0;?;430.0
-761.0;-716.0;90.0;?;-1333.0;-1406.0;455.0;-83.0;1447.0;250.0;314.0
-502.0;-682.0;26.0;-213.0;-1373.0;?;523.0;-77.0;1350.0;314.0;252.0
?;-818.0;-2.0;-360.0;?;-1221.0;500.0;-211.0;1364.0;463.0;?
-521.0;?;?;-406.0;?;-1192.0;706.0;-290.0;1165.0;710.0;156.0
-498.0;?;-322.0;-364.0;-968.0;?;691.0;-499.0;938.0;?;83.0
?;-836.0;-409.0;-871.0;-657.0;-1245.0;749.0;-809.0;662.0;966.0;11.0
?;?;-500.0;?;-707.0;-1230.0;792.0;-979.0;?;?;-8.0
?;-711.0;-590.0;-934.0;-779.0;-1083.0;728.0;-966.0;572.0;836.0;83.0
-604.0;-683.0;-488.0;-981.0;-725.0;-1049.0;666.0;-854.0;?;?;165.0
?;?;-440.0;-956.0;?;-974.0;715.0;-804.0;773.0;?;231.0
-390.0;?;-431.0;?;-788.0;?;?;?;795.0;683.0;396.0
-369.0;-591.0;-339.0;-884.0;?;-881.0;691.0;?;739.0;634.0;381.0
-317.0;-555.0;?;-798.0;-699.0;-918.0;700.0;-673.0;622.0;610.0;430.0
-324.0;-576.0;-299.0;-799.0;-649.0;?;647.0;-569.0;704.0;653.0;396.0
-395.0;-649.0;?;-745.0;?;?;645.0;?;741.0;?;323.0
?;-690.0;-354.0;-721.0;-671.0;-867.0;645.0;-699.0;621.0;801.0;231.0
?;?;-449.0;-782.0;?;-890.0;655.0;?;628.0;822.0;108.0
-674.0;-743.0;-437.0;-846.0;?;-991.0;535.0;-819.0;581.0;886.0;-26.0
-330.0;-891.0;?;-979.0;?;-538.0;940.0;?;?;849.0;540.0
-291.0;-902.0;?;?;-333.0;-511.0;898.0;-782.0;446.0;854.0;569.0
-320.0;-909.0;?;-971.0;?;-540.0;?;?;428.0;?;?
-292.0;-904.0;-689.0;?;-352.0;-506.0;915.0;?;455.0;841.0;598.0
-306.0;-890.0;-676.0;-919.0;?;?;918.0;-765.0;384.0;838.0;554.0
-297.0;-864.0;-687.0;-929.0;-374.0;-520.0;916.0;-762.0;472.0;756.0;572.0
-202.0;-770.0;-647.0;?;-424.0;-493.0;928.0;-687.0;513.0;615.0;643.0
-114.0;-677.0;-550.0;-871.0;?;-445.0;892.0;-582.0;516.0;486.0;718.0
40.0;-666.0;-397.0;-855.0;-489.0;-379.0;879.0;?;?;430.0;?
125.0;-703.0;-337.0;?;-514.0;-397.0;?;-308.0;554.0;363.0;?
102.0;?;-266.0;-627.0;-540.0;-432.0;878.0;-294.0;?;317.0;?
95.0;?;-233.0;-409.0;-690.0;-435.0;772.0;-232.0;?;?;986.0
-33.0;-629.0;-138.0;-535.0;-872.0;-534.0;?;?;681.0;290.0;980.0
?;-598.0;-105.0;-512.0;-932.0;-718.0;?;-210.0;790.0;284.0;862.0
?;-598.0;-51.0;-314.0;?;-815.0;578.0;-187.0;?;?;742.0
?;-569.0;-16.0;-390.0;-1517.0;-1040.0;452.0;-200.0;1103.0;122.0;643.0
-599.0;-658.0;?;?;-1497.0;-1192.0;361.0;-32.0;?;?;528.0
-649.0;?;177.0;-290.0;-1922.0;-1319.0;420.0;-4.0;1593.0;196.0;?
-802.0;?;71.0;-330.0;-1822.0;-1463.0;332.0;?;1604.0;135.0;265.0
?;-606.0;218.0;-515.0;-1481.0;-1488.0;?;?;1513.0;?;?
?;-601.0;?;-329.0;-1256.0;-1453.0;?;-114.0;1425.0;?;111.0
-482.0;-803.0;?;-268.0;-981.0;-1274.0;483.0;?;1155.0;792.0;76.0
-625.0;-903.0;-185.0;-404.0;-762.0;-1222.0;584.0;-537.0;885.0;1053.0;-5.0
?;-908.0;-541.0;-848.0;-503.0;-1271.0;705.0;-992.0;?;1101.0;-119.0
-942.0;-886.0;-684.0;-924.0;-473.0;-1161.0;?;?;503.0;1091.0;-223.0
-912.0;?;-721.0;-960.0;-615.0;-1094.0;736.0;-1074.0;?;1032.0;-198.0
-659.0;-791.0;-678.0;?;-690.0;-1019.0;?;-1075.0;571.0;?;46.0
?;-601.0;-641.0;?;-827.0;?;?;-944.0;?;705.0;116.0
-356.0;-493.0;-409.0;-840.0;-923.0;-960.0;716.0;-690.0;765.0;562.0;340.0
-333.0;-461.0;-264.0;-881.0;?;-891.0;?;-534.0;807.0;?;428.0
-256.0;-539.0;?;-757.0;-710.0;-883.0;632.0;-489.0;932.0;593.0;509.0
-291.0;-597.0;-255.0;-800.0;-684.0;-765.0;?;-522.0;802.0;667.0;501.0
-327.0;?;-337.0;?;?;-789.0;?;-607.0;684.0;755.0;475.0
-388.0;-684.0;-423.0;-809.0;-698.0;?;743.0;?;685.0;810.0;380.0
-519.0;?;-455.0;-832.0;-710.0;-900.0;688.0;-771.0;787.0;856.0;?
-620.0;-726.0;-435.0;-870.0;-770.0;-968.0;633.0;-801.0;644.0;911.0;100.0
?;-754.0;-483.0;-849.0;-831.0;?;?;-906.0;704.0;881.0;22.0
-296.0;?;-637.0;-941.0;-413.0;-542.0;902.0;-746.0;471.0;?;?
-240.0;-851.0;-637.0;-921.0;-465.0;?;906.0;-694.0;?;737.0;593.0
?;-816.0;?;-875.0;-508.0;-502.0;905.0;-694.0;451.0;669.0;613.0
-166.0;-781.0;-532.0;?;-548.0;-505.0;863.0;-611.0;572.0;647.0;660.0
-136.0;-776.0;-490.0;-902.0;-625.0;?;852.0;-548.0;684.0;606.0;693.0
-130.0;-817.0;-450.0;-919.0;-665.0;-515.0;869.0;-499.0;688.0;605.0;808.0
-52.0;-765.0;-417.0;-867.0;-714.0;?;?;-503.0;693.0;558.0;884.0
-17.0;-781.0;-400.0;-873.0;-789.0;-565.0;?;?;808.0;519.0;?
-42.0;-754.0;?;-876.0;-807.0;?;912.0;-423.0;765.0;?;954.0
-32.0;?;-282.0;-824.0;-911.0;?;?;-391.0;881.0;462.0;936.0
?;-670.0;-233.0;?;-952.0;-674.0;808.0;-455.0;873.0;427.0;910.0
?;-644.0;-184.0;-748.0;-1025.0;?;715.0;-371.0;945.0;433.0;?
-287.0;?;-160.0;-707.0;-1035.0;-871.0;674.0;-391.0;932.0;?;731.0
-360.0;-594.0;-92.0;-653.0;-1166.0;-952.0;631.0;-360.0;942.0;295.0;?
-549.0;-543.0;-50.0;?;-1339.0;-997.0;431.0;-288.0;1095.0;144.0;523.0
-592.0;?;70.0;-523.0;-1350.0;-1139.0;398.0;-195.0;1182.0;-26.0;390.0
?;-546.0;94.0;?;-1468.0;-1173.0;307.0;11.0;1269.0;-69.0;253.0
-645.0;-672.0;251.0;-142.0;-1397.0;-1132.0;?;153.0;1438.0;?;250.0
-613.0;-722.0;206.0;-11.0;-1161.0;-1284.0;?;157.0;1456.0;243.0;?
-489.0;-850.0;91.0;101.0;-932.0;?;514.0;5.0;?;618.0;2.0
-651.0;-840.0;-139.0;54.0;-655.0;-1257.0;569.0;?;733.0;?;-175.0
-843.0;-936.0;-348.0;-328.0;-491.0;-1313.0;563.0;?;?;1137.0;-299.0
-973.0;-920.0;-530.0;?;?;?;724.0;-1193.0;167.0;1186.0;?
-994.0;-821.0;-786.0;?;-763.0;-1193.0;738.0;-1221.0;343.0;1077.0;-362.0
-822.0;-669.0;-698.0;-881.0;-981.0;-1123.0;744.0;-1096.0;798.0;866.0;?
-533.0;-567.0;-492.0;-968.0;?;-1120.0;720.0;?;854.0;679.0;233.0
?;-512.0;?;-985.0;-920.0;-1074.0;?;-696.0;?;598.0;458.0
?;?;-200.0;-879.0;-866.0;-971.0;701.0;?;956.0;?;506.0
-237.0;-465.0;-202.0;-788.0;-854.0;-877.0;685.0;-532.0;865.0;528.0;540.0
-307.0;-483.0;-177.0;-714.0;-767.0;-869.0;608.0;-504.0;779.0;546.0;467.0
-270.0;-512.0;-198.0;-757.0;-753.0;-844.0;650.0;-510.0;781.0;?;?
-274.0;-529.0;-217.0;-695.0;?;-824.0;712.0;-536.0;829.0;594.0;471.0
-298.0;-570.0;?;-747.0;-712.0;-823.0;684.0;-561.0;?;630.0;?
-284.0;-599.0;-289.0;-759.0;-677.0;-834.0;710.0;?;?;?;503.0
-382.0;-650.0;-338.0;-772.0;-652.0;-842.0;711.0;-675.0;697.0;788.0;412.0
-454.0;-722.0;-396.0;-785.0;-694.0;-888.0;709.0;-773.0;679.0;849.0;306.0
-560.0;-691.0;-478.0;-741.0;?;-927.0;723.0;-827.0;641.0;900.0;194.0
-249.0;-907.0;?;-970.0;-358.0;?;922.0;-696.0;?;799.0;532.0
-246.0;-920.0;-644.0;-923.0;?;-437.0;937.0;-698.0;?;?;656.0
-271.0;-915.0;-697.0;?;-339.0;-511.0;923.0;-723.0;523.0;805.0;537.0
-218.0;-880.0;-679.0;-953.0;-385.0;-477.0;?;?;564.0;799.0;?
-206.0;?;-648.0;?;?;-475.0;931.0;-689.0;428.0;789.0;630.0
-256.0;-844.0;-638.0;?;-395.0;-492.0;906.0;-700.0;524.0;724.0;612.0
-206.0;-798.0;-631.0;-904.0;-408.0;-462.0;875.0;-681.0;501.0;666.0;603.0
?;-783.0;-545.0;-871.0;-423.0;-455.0;885.0;-575.0;488.0;?;?
-114.0;-743.0;?;-841.0;-446.0;-439.0;861.0;?;?;?;?
-53.0;?;-453.0;-782.0;?;-439.0;?;-453.0;626.0;?;729.0
-68.0;-672.0;-411.0;-732.0;-454.0;-424.0;778.0;-457.0;524.0;502.0;736.0
-64.0;-758.0;-370.0;-716.0;-487.0;-431.0;770.0;?;530.0;558.0;787.0
-168.0;-806.0;-407.0;-758.0;-548.0;?;828.0;-488.0;610.0;528.0;755.0
-186.0;-716.0;-393.0;?;?;-590.0;842.0;-507.0;569.0;489.0;703.0
-166.0;-688.0;-328.0;-564.0;-593.0;-560.0;733.0;-401.0;536.0;?;?
-261.0;-720.0;-321.0;-593.0;-642.0;?;701.0;-409.0;575.0;435.0;663.0
-324.0;-718.0;-290.0;?;?;?;685.0;-443.0;541.0;379.0;608.0
-327.0;?;-265.0;-460.0;-691.0;-787.0;691.0;-304.0;599.0;336.0;550.0
-296.0;-696.0;-195.0;-271.0;-742.0;-794.0;673.0;?;684.0;?;555.0
-378.0;-688.0;-182.0;-311.0;-913.0;-785.0;690.0;-148.0;756.0;210.0;524.0
-407.0;?;?;-266.0;-1047.0;-828.0;672.0;?;798.0;186.0;553.0
-464.0;?;-79.0;-192.0;-1210.0;-988.0;789.0;-53.0;950.0;75.0;530.0
-356.0;-629.0;?;-108.0;-1415.0;?;747.0;134.0;1191.0;63.0;550.0
-273.0;-718.0;179.0;-240.0;-1307.0;-1071.0;?;137.0;1239.0;?;646.0
?;?;152.0;-334.0;-1113.0;-1117.0;751.0;36.0;1169.0;36.0;572.0
?;-637.0;121.0;?;-962.0;-1024.0;761.0;117.0;?;?;517.0
-252.0;-591.0;180.0;-44.0;-1361.0;-845.0;624.0;131.0;1063.0;-201.0;498.0
-310.0;-545.0;297.0;-60.0;-1141.0;?;620.0;262.0;1057.0;-229.0;559.0
-129.0;-572.0;?;?;-875.0;-942.0;690.0;?;1011.0;-358.0;669.0
68.0;-558.0;433.0;?;-786.0;-778.0;776.0;462.0;993.0;?;707.0
-45.0;?;486.0;339.0;-914.0;?;591.0;?;888.0;-671.0;638.0
-71.0;?;591.0;512.0;-1001.0;-588.0;484.0;756.0;757.0;-726.0;663.0
16.0;-282.0;672.0;642.0;?;-525.0;406.0;820.0;761.0;-676.0;?
94.0;-269.0;707.0;785.0;-800.0;-447.0;268.0;817.0;658.0;?;?
?;-361.0;708.0;853.0;-755.0;-355.0;280.0;810.0;673.0;-700.0;496.0
53.0;-521.0;731.0;828.0;-718.0;-385.0;362.0;?;557.0;-664.0;?
-51.0;-354.0;?;?;-767.0;-436.0;453.0;?;?;-701.0;516.0
-41.0;-220.0;?;?;?;-430.0;410.0;809.0;?;-743.0;?
155.0;-367.0;?;946.0;?;?;357.0;904.0;738.0;-765.0;569.0
?;-338.0;777.0;?;-562.0;-307.0;418.0;879.0;556.0;-856.0;586.0
45.0;?;848.0;1064.0;-507.0;-304.0;305.0;1028.0;557.0;-887.0;585.0
150.0;-198.0;899.0;?;-431.0;-217.0;232.0;?;497.0;-871.0;616.0
161.0;-145.0;886.0;1028.0;-394.0;-150.0;261.0;1007.0;?;-879.0;593.0
185.0;?;853.0;985.0;?;?;167.0;967.0;378.0;-905.0;?
141.0;?;885.0;1039.0;-403.0;-126.0;181.0;990.0;409.0;-932.0;517.0
92.0;-86.0;938.0;1086.0;-357.0;-121.0;128.0;1023.0;?;?;486.0
113.0;-51.0;987.0;1042.0;?;-119.0;31.0;1059.0;325.0;-978.0;487.0
?;-41.0;1022.0;1132.0;-365.0;28.0;?;?;298.0;-940.0;?
166.0;-72.0;?;1132.0;-290.0;10.0;108.0;1057.0;321.0;-1006.0;572.0
?;-138.0;1009.0;1187.0;-241.0;?;27.0;1093.0;310.0;-989.0;?
162.0;?;1021.0;1220.0;?;?;21.0;1088.0;281.0;-993.0;525.0
76.0;-67.0;990.0;1132.0;?;?;4.0;?;216.0;-976.0;?
56.0;-33.0;970.0;1092.0;-218.0;?;?;1051.0;229.0;-960.0;453.0
67.0;-34.0;962.0;1093.0;-241.0;?;-49.0;1016.0;197.0;?;?
57.0;-75.0;971.0;1098.0;?;-52.0;?;997.0;183.0;-943.0;339.0
?;-78.0;?;?;-311.0;-86.0;-21.0;?;212.0;-938.0;?
11.0;-79.0;958.0;1023.0;-338.0;-125.0;-42.0;980.0;220.0;-928.0;312.0
11.0;-105.0;964.0;1003.0;-347.0;-139.0;-29.0;?;?;?;322.0
-31.0;-87.0;936.0;?;-358.0;?;-32.0;969.0;?;-920.0;336.0
18.0;-77.0;949.0;986.0;-336.0;-173.0;?;?;298.0;-924.0;313.0
26.0;-61.0;?;988.0;?;?;-28.0;975.0;261.0;-929.0;335.0
44.0;-56.0;939.0;991.0;-324.0;-137.0;?;987.0;?;?;328.0
?;-74.0;?;1040.0;?;-109.0;?;993.0;?;-929.0;?
59.0;?;956.0;1009.0;-336.0;-113.0;-34.0;?;?;-923.0;347.0
94.0;-54.0;949.0;1015.0;-351.0;-110.0;-39.0;?;286.0;-922.0;341.0
136.0;-72.0;?;991.0;?;-111.0;-20.0;960.0;300.0;-933.0;?
33.0;-59.0;?;?;-339.0;-179.0;-34.0;977.0;239.0;-933.0;332.0
26.0;-31.0;981.0;1006.0;-325.0;?;?;?;299.0;-914.0;?
35.0;16.0;931.0;996.0;-298.0;?;-80.0;950.0;190.0;-892.0;272.0
111.0;6.0;924.0;978.0;?;-116.0;?;940.0;?;-899.0;?
75.0;47.0;912.0;987.0;?;-114.0;-112.0;921.0;190.0;-949.0;269.0
83.0;?;934.0;990.0;?;-90.0;-137.0;961.0;241.0;-971.0;266.0
157.0;?;?;1028.0;-258.0;-61.0;?;1014.0;?;-1019.0;299.0
172.0;138.0;?;1079.0;-309.0;-65.0;?;1044.0;?;-1022.0;273.0
?;137.0;1070.0;1102.0;-336.0;-78.0;-237.0;1051.0;181.0;-970.0;233.0
132.0;120.0;1019.0;?;-325.0;-88.0;-222.0;973.0;265.0;-939.0;235.0
125.0;123.0;991.0;984.0;-313.0;-123.0;?;955.0;?;-939.0;223.0
?;125.0;985.0;1005.0;-299.0;-115.0;-211.0;955.0;217.0;-914.0;?
?;133.0;?;986.0;-303.0;?;-190.0;926.0;?;-939.0;184.0
?;167.0;?;960.0;-304.0;-122.0;-230.0;?;?;-992.0;192.0
133.0;196.0;1002.0;1009.0;-283.0;?;?;1004.0;186.0;-999.0;186.0
?;?;1035.0;1078.0;-263.0;-75.0;-261.0;1029.0;?;-995.0;?
186.0;214.0;1038.0;1056.0;-259.0;-30.0;-280.0;1026.0;213.0;?;204.0
?;217.0;1029.0;1063.0;-228.0;-48.0;?;1046.0;198.0;-985.0;194.0
?;253.0;?;1035.0;-195.0;-37.0;-283.0;979.0;153.0;-983.0;194.0
199.0;280.0;1012.0;1042.0;-173.0;-19.0;-334.0;981.0;81.0;-1000.0;170.0
229.0;272.0;1029.0;1028.0;-175.0;-3.0;?;997.0;127.0;-996.0;145.0
237.0;?;1015.0;1067.0;-178.0;?;-334.0;1014.0;116.0;-1008.0;145.0
?;287.0;1025.0;1048.0;-168.0;?;-318.0;1018.0;70.0;?;132.0
237.0;?;1020.0;1071.0;-186.0;32.0;-338.0;998.0;99.0;?;144.0
225.0;250.0;1013.0;1045.0;-195.0;26.0;?;998.0;124.0;?;157.0
199.0;241.0;1014.0;1043.0;-191.0;?;?;996.0;36.0;-972.0;?
215.0;?;1007.0;1039.0;-182.0;-12.0;-308.0;976.0;126.0;-970.0;152.0
214.0;289.0;?;?;?;-11.0;-345.0;?;142.0;-998.0;137.0
130.0;114.0;972.0;998.0;-300.0;-87.0;-191.0;971.0;223.0;?;?
114.0;96.0;1010.0;?;?;-117.0;-211.0;964.0;181.0;-956.0;204.0
114.0;?;979.0;?;-301.0;?;-197.0;969.0;?;?;?
?;75.0;980.0;1034.0;-280.0;-113.0;?;?;195.0;?;218.0
?;89.0;?;1019.0;?;-97.0;-163.0;974.0;148.0;-959.0;245.0
127.0;?;990.0;1009.0;-290.0;-109.0;-176.0;969.0;231.0;-960.0;241.0
163.0;90.0;?;1042.0;-301.0;-87.0;?;961.0;?;-979.0;226.0
