InertialMeasurementUnit RUA magneticZ;Accelerometer RUA^ accY;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;InertialMeasurementUnit RUA accX
-588.0;517.0;86;-813.0;?;308.0;-505.0
-571.0;567.0;?;-823.0;?;243.0;-491.0
-546.0;587.0;86;?;421.0;220.0;-566.0
-517.0;?;86;-712.0;433.0;-53.0;-606.0
-487.0;700.0;86;-871.0;438.0;250.0;-581.0
-455.0;722.0;86;-994.0;431.0;482.0;-661.0
?;752.0;86;-1111.0;410.0;?;?
-360.0;683.0;?;-1219.0;386.0;737.0;-683.0
-292.0;810.0;86;?;330.0;787.0;?
-222.0;808.0;86;?;258.0;1250.0;-795.0
-139.0;886.0;86;-759.0;186.0;?;?
-53.0;?;86;-519.0;121.0;1086.0;-656.0
32.0;841.0;86;-205.0;83.0;725.0;-704.0
114.0;796.0;86;-64.0;53.0;661.0;-678.0
186.0;764.0;86;34.0;?;?;-738.0
246.0;847.0;86;265.0;89.0;327.0;-624.0
293.0;647.0;86;694.0;?;-113.0;-550.0
311.0;749.0;86;1062.0;60.0;584.0;-711.0
313.0;869.0;86;?;64.0;333.0;-763.0
312.0;?;86;427.0;88.0;112.0;-703.0
310.0;772.0;86;153.0;94.0;?;-715.0
?;794.0;86;59.0;94.0;514.0;-748.0
302.0;?;86;?;86.0;577.0;-726.0
298.0;753.0;86;91.0;86.0;482.0;-722.0
290.0;795.0;86;?;?;475.0;-728.0
282.0;753.0;86;295.0;109.0;?;-684.0
267.0;728.0;?;?;133.0;137.0;?
252.0;712.0;86;278.0;156.0;?;?
232.0;740.0;86;?;183.0;328.0;?
-606.0;535.0;86;-399.0;?;-31.0;-329.0
?;518.0;86;?;348.0;-87.0;-353.0
?;535.0;86;-439.0;?;-44.0;?
?;540.0;86;-395.0;?;-37.0;-378.0
-608.0;?;86;-444.0;337.0;-68.0;-381.0
-607.0;484.0;86;-536.0;330.0;?;-405.0
-601.0;?;86;?;326.0;?;-460.0
-600.0;523.0;86;-879.0;325.0;181.0;-466.0
-594.0;520.0;86;-1029.0;324.0;224.0;?
-579.0;535.0;86;?;335.0;470.0;?
-554.0;?;86;-966.0;349.0;642.0;?
-514.0;?;86;-1003.0;374.0;?;-882.0
-468.0;957.0;?;-957.0;?;534.0;-813.0
-415.0;903.0;86;-928.0;410.0;946.0;-932.0
-348.0;1087.0;86;-934.0;?;1274.0;?
-273.0;1039.0;86;-781.0;389.0;?;?
-188.0;1045.0;86;-351.0;?;1709.0;-893.0
-104.0;?;86;-76.0;?;1639.0;-926.0
-27.0;?;86;?;252.0;?;-818.0
50.0;1014.0;86;?;177.0;?;-827.0
122.0;?;86;?;105.0;?;-669.0
191.0;786.0;86;771.0;53.0;1329.0;?
238.0;867.0;86;971.0;?;900.0;-705.0
?;781.0;86;898.0;11.0;461.0;-686.0
?;786.0;86;580.0;-5.0;527.0;-769.0
284.0;829.0;86;345.0;-11.0;14.0;-728.0
?;779.0;86;319.0;-38.0;?;?
279.0;806.0;?;182.0;-36.0;518.0;-796.0
286.0;?;86;113.0;-18.0;453.0;-810.0
285.0;813.0;86;61.0;-20.0;288.0;-767.0
284.0;776.0;86;22.0;?;?;-728.0
?;?;86;109.0;?;530.0;-710.0
277.0;781.0;86;286.0;-9.0;?;-737.0
278.0;801.0;?;?;10.0;347.0;-755.0
?;850.0;86;683.0;43.0;274.0;-799.0
248.0;920.0;86;613.0;76.0;257.0;-754.0
-643.0;501.0;86;-392.0;272.0;-6.0;-347.0
-642.0;489.0;86;-372.0;273.0;34.0;-363.0
-644.0;518.0;86;-440.0;?;17.0;-387.0
?;539.0;86;-423.0;273.0;-50.0;-387.0
-648.0;?;86;?;273.0;-34.0;-389.0
-646.0;?;86;-367.0;?;11.0;-390.0
-645.0;506.0;86;-515.0;?;-31.0;-436.0
-638.0;497.0;86;-732.0;293.0;?;-456.0
-630.0;507.0;86;-876.0;311.0;?;-501.0
?;?;?;-979.0;338.0;?;?
-587.0;?;86;-1148.0;?;263.0;-668.0
-550.0;684.0;86;-947.0;400.0;?;-765.0
-501.0;847.0;86;-894.0;431.0;?;-874.0
-432.0;?;?;?;?;?;?
?;?;86;-979.0;463.0;780.0;-915.0
-288.0;1029.0;?;?;463.0;920.0;-1008.0
-203.0;1105.0;86;-817.0;449.0;?;-1080.0
-114.0;?;?;-680.0;?;1797.0;?
-23.0;1277.0;86;-453.0;320.0;2025.0;-1105.0
59.0;?;86;?;201.0;2250.0;-960.0
130.0;1080.0;86;?;100.0;2028.0;-865.0
191.0;977.0;86;?;16.0;1568.0;-841.0
?;921.0;86;565.0;-47.0;1191.0;-760.0
?;794.0;86;695.0;?;599.0;-670.0
279.0;813.0;?;466.0;-112.0;339.0;-617.0
?;764.0;86;?;-104.0;-19.0;?
306.0;798.0;86;585.0;-92.0;5.0;-831.0
307.0;889.0;86;343.0;-74.0;?;-839.0
300.0;831.0;86;-25.0;-50.0;330.0;-836.0
?;808.0;86;-413.0;-52.0;?;?
282.0;?;86;-370.0;?;833.0;-775.0
277.0;778.0;86;-310.0;?;?;-786.0
268.0;789.0;?;18.0;-31.0;408.0;-714.0
254.0;742.0;86;273.0;?;358.0;?
237.0;796.0;86;218.0;18.0;315.0;-715.0
219.0;798.0;86;347.0;54.0;370.0;-687.0
?;836.0;86;423.0;?;420.0;-733.0
-634.0;?;86;-412.0;261.0;70.0;-487.0
-635.0;?;86;-386.0;258.0;?;-486.0
-638.0;622.0;?;-387.0;261.0;49.0;?
?;565.0;86;-683.0;261.0;87.0;?
-636.0;?;86;?;277.0;156.0;-484.0
-630.0;590.0;86;-568.0;297.0;245.0;-497.0
?;544.0;86;-808.0;?;408.0;?
?;?;86;-916.0;356.0;548.0;-613.0
-586.0;658.0;?;-825.0;?;551.0;-703.0
-550.0;773.0;?;-927.0;423.0;553.0;-840.0
-506.0;?;?;-1006.0;450.0;700.0;-862.0
-441.0;906.0;86;?;?;781.0;?
-365.0;?;86;?;479.0;888.0;-898.0
-273.0;1015.0;86;?;471.0;?;-894.0
-172.0;1065.0;?;-856.0;442.0;961.0;-955.0
-76.0;1202.0;?;-755.0;390.0;1318.0;-1064.0
26.0;1157.0;?;-466.0;?;?;-943.0
123.0;?;86;-319.0;256.0;1715.0;-858.0
?;?;86;19.0;180.0;1918.0;-819.0
287.0;?;86;323.0;126.0;1658.0;-754.0
338.0;853.0;?;712.0;?;1201.0;?
358.0;795.0;86;894.0;43.0;503.0;?
362.0;858.0;86;854.0;15.0;187.0;?
352.0;739.0;?;613.0;14.0;-78.0;-645.0
352.0;856.0;86;500.0;30.0;-71.0;-758.0
358.0;?;86;133.0;46.0;266.0;?
353.0;904.0;?;?;55.0;676.0;-901.0
348.0;881.0;86;-193.0;65.0;676.0;-822.0
?;850.0;?;?;69.0;540.0;-855.0
?;826.0;86;-265.0;?;618.0;-796.0
?;819.0;86;-298.0;?;589.0;-813.0
341.0;?;86;-168.0;58.0;377.0;?
338.0;774.0;?;-76.0;55.0;385.0;-749.0
338.0;770.0;86;?;?;416.0;-721.0
332.0;736.0;86;227.0;?;336.0;?
328.0;795.0;86;?;51.0;312.0;-708.0
?;?;86;498.0;64.0;165.0;-696.0
-638.0;?;86;-256.0;199.0;?;-392.0
-640.0;516.0;86;-288.0;201.0;45.0;?
?;?;86;?;204.0;?;-425.0
-645.0;566.0;86;?;?;102.0;-437.0
?;564.0;86;-330.0;205.0;106.0;-433.0
-644.0;557.0;86;-319.0;208.0;?;?
?;562.0;?;-358.0;213.0;?;-450.0
-642.0;541.0;86;-401.0;218.0;?;-459.0
-640.0;?;86;-559.0;227.0;221.0;-496.0
?;590.0;86;-618.0;247.0;?;-531.0
-621.0;618.0;86;-615.0;270.0;271.0;-580.0
-607.0;603.0;?;-414.0;301.0;308.0;-593.0
-590.0;658.0;?;-394.0;335.0;278.0;-614.0
-568.0;675.0;86;-377.0;368.0;310.0;-664.0
?;781.0;86;-307.0;402.0;402.0;-769.0
-527.0;842.0;?;-404.0;435.0;346.0;?
-511.0;852.0;86;-534.0;458.0;393.0;-778.0
-493.0;?;?;-611.0;464.0;?;-807.0
?;943.0;86;-510.0;464.0;573.0;-751.0
-464.0;944.0;86;?;461.0;460.0;-897.0
-449.0;983.0;?;-412.0;?;642.0;-864.0
-431.0;858.0;86;-409.0;441.0;?;-772.0
-413.0;876.0;86;-228.0;?;1049.0;-811.0
-388.0;?;86;-262.0;383.0;?;-843.0
-368.0;?;86;-255.0;342.0;1525.0;-783.0
-353.0;821.0;?;-165.0;?;1352.0;?
-346.0;1010.0;86;-238.0;303.0;?;-820.0
-338.0;825.0;86;?;258.0;?;-744.0
-332.0;786.0;?;-213.0;?;1479.0;?
-323.0;842.0;?;-22.0;192.0;1093.0;-844.0
-309.0;816.0;?;109.0;177.0;823.0;-839.0
?;831.0;86;174.0;?;745.0;-854.0
-314.0;867.0;86;?;?;1015.0;-850.0
-335.0;880.0;86;275.0;147.0;1146.0;?
-374.0;918.0;86;244.0;?;1097.0;-957.0
-417.0;933.0;86;33.0;?;1129.0;?
-470.0;934.0;86;-25.0;199.0;961.0;-938.0
-507.0;980.0;86;-135.0;237.0;?;-953.0
?;947.0;86;-179.0;286.0;715.0;-917.0
-563.0;922.0;86;-196.0;322.0;761.0;-959.0
-576.0;977.0;86;-174.0;354.0;517.0;-953.0
-585.0;1019.0;86;-39.0;391.0;601.0;-995.0
-593.0;1017.0;?;6.0;427.0;577.0;?
-598.0;962.0;86;4.0;468.0;414.0;-983.0
-599.0;1002.0;86;?;503.0;353.0;-996.0
-600.0;1035.0;?;91.0;529.0;357.0;?
-598.0;1069.0;86;101.0;555.0;375.0;-1027.0
-595.0;?;86;?;571.0;?;-1000.0
?;1031.0;86;94.0;584.0;?;-988.0
-587.0;1006.0;?;?;590.0;370.0;-990.0
-585.0;?;86;31.0;595.0;288.0;-997.0
?;?;86;33.0;594.0;263.0;-987.0
?;1010.0;86;80.0;592.0;202.0;-990.0
-582.0;?;86;72.0;589.0;140.0;-1001.0
-582.0;1059.0;86;146.0;590.0;?;-996.0
-581.0;?;?;109.0;591.0;?;-994.0
-581.0;1041.0;86;?;591.0;?;-992.0
-580.0;1030.0;86;176.0;593.0;260.0;-981.0
-580.0;?;?;160.0;594.0;303.0;-991.0
-582.0;1051.0;86;217.0;592.0;?;-1001.0
-582.0;1048.0;?;129.0;594.0;338.0;-1004.0
-586.0;1051.0;86;149.0;595.0;313.0;-997.0
-589.0;1027.0;86;105.0;596.0;323.0;-992.0
-593.0;1001.0;?;181.0;600.0;?;?
-596.0;1042.0;86;114.0;602.0;281.0;?
-600.0;?;86;139.0;604.0;334.0;-1017.0
?;?;86;142.0;605.0;350.0;-1013.0
-603.0;1041.0;?;86.0;609.0;312.0;?
-608.0;1001.0;?;75.0;609.0;292.0;-967.0
-610.0;1000.0;86;?;609.0;289.0;-964.0
?;1006.0;86;62.0;610.0;258.0;?
-611.0;?;86;84.0;?;208.0;-976.0
-611.0;1016.0;?;?;612.0;160.0;?
-609.0;1058.0;86;79.0;618.0;171.0;-1027.0
?;1040.0;86;10.0;?;?;-998.0
-609.0;997.0;86;13.0;621.0;?;?
-607.0;981.0;86;52.0;622.0;?;-947.0
-603.0;957.0;?;46.0;625.0;340.0;?
-601.0;909.0;86;?;?;317.0;-915.0
?;?;86;107.0;627.0;?;-933.0
-599.0;974.0;86;112.0;628.0;?;-950.0
-596.0;?;86;53.0;626.0;292.0;-942.0
-592.0;955.0;86;103.0;627.0;?;?
-587.0;?;86;62.0;620.0;253.0;-895.0
-585.0;?;86;17.0;615.0;252.0;-887.0
-579.0;905.0;86;108.0;613.0;?;-895.0
-575.0;?;?;93.0;?;189.0;?
-570.0;930.0;?;?;602.0;163.0;-913.0
-567.0;929.0;86;?;600.0;?;-916.0
?;930.0;86;?;596.0;156.0;-929.0
-560.0;950.0;86;59.0;593.0;171.0;-931.0
-557.0;?;86;10.0;591.0;176.0;-929.0
-554.0;931.0;85;-43.0;?;169.0;-925.0
-551.0;953.0;85;7.0;?;168.0;-914.0
?;968.0;85;74.0;606.0;?;-949.0
-547.0;982.0;85;74.0;607.0;?;-966.0
?;1012.0;85;118.0;606.0;?;-967.0
-552.0;993.0;?;122.0;608.0;243.0;-958.0
?;?;85;?;609.0;?;-967.0
-555.0;1006.0;85;65.0;607.0;?;-959.0
-554.0;987.0;?;38.0;609.0;217.0;?
-559.0;?;85;63.0;610.0;240.0;?
-559.0;1050.0;85;-36.0;610.0;226.0;-1001.0
-559.0;1019.0;85;119.0;608.0;256.0;-955.0
?;977.0;?;32.0;610.0;268.0;-932.0
?;962.0;85;66.0;611.0;272.0;-949.0
-561.0;995.0;85;9.0;?;268.0;-972.0
-560.0;996.0;85;117.0;610.0;244.0;-986.0
-560.0;1007.0;85;?;612.0;?;-978.0
-557.0;994.0;85;39.0;?;276.0;-955.0
?;963.0;85;?;610.0;243.0;-939.0
-550.0;951.0;85;-10.0;606.0;242.0;-931.0
-545.0;958.0;85;?;605.0;204.0;-936.0
?;939.0;85;?;603.0;229.0;-931.0
-530.0;930.0;85;63.0;597.0;226.0;-921.0
-525.0;905.0;?;?;593.0;183.0;-910.0
-519.0;?;85;-2.0;592.0;?;?
?;941.0;85;50.0;588.0;145.0;-922.0
-507.0;930.0;85;?;585.0;124.0;-909.0
-502.0;?;?;-1.0;580.0;121.0;?
-496.0;?;85;-3.0;577.0;126.0;-893.0
-490.0;911.0;85;-38.0;574.0;123.0;-899.0
?;919.0;85;-1.0;?;?;?
-485.0;925.0;?;-19.0;569.0;138.0;?
-484.0;956.0;84;?;?;156.0;?
-483.0;959.0;84;?;571.0;157.0;-934.0
-485.0;950.0;84;21.0;571.0;146.0;-918.0
-487.0;918.0;84;33.0;570.0;174.0;-900.0
-493.0;921.0;84;24.0;574.0;?;-879.0
-496.0;878.0;84;?;571.0;128.0;-847.0
-495.0;795.0;84;-9.0;?;151.0;-693.0
-488.0;586.0;84;-44.0;574.0;154.0;-555.0
-492.0;906.0;84;60.0;584.0;155.0;?
-506.0;1564.0;84;?;586.0;-51.0;-1407.0
?;1346.0;84;513.0;?;207.0;?
?;1040.0;84;298.0;566.0;512.0;-959.0
?;883.0;84;70.0;556.0;?;-793.0
-506.0;863.0;84;-24.0;553.0;244.0;-801.0
?;990.0;84;-6.0;550.0;17.0;?
?;?;84;204.0;551.0;16.0;-1038.0
-520.0;1037.0;84;161.0;557.0;158.0;-999.0
-526.0;1004.0;84;132.0;557.0;?;?
-528.0;1032.0;84;-29.0;?;311.0;-979.0
-528.0;1010.0;84;-43.0;560.0;161.0;-986.0
-527.0;1004.0;84;?;?;198.0;-966.0
-530.0;?;84;74.0;?;204.0;-952.0
-531.0;999.0;84;?;569.0;163.0;-960.0
-532.0;1001.0;85;51.0;572.0;?;-964.0
-534.0;990.0;?;113.0;571.0;228.0;-966.0
-531.0;999.0;84;66.0;574.0;245.0;-964.0
-533.0;973.0;85;91.0;575.0;231.0;-949.0
-534.0;979.0;85;137.0;579.0;255.0;?
-535.0;1009.0;?;77.0;584.0;229.0;-955.0
-535.0;992.0;85;119.0;587.0;?;?
-536.0;1019.0;85;?;591.0;162.0;-966.0
?;?;84;142.0;595.0;?;?
-538.0;?;84;126.0;599.0;305.0;-967.0
?;986.0;84;31.0;?;302.0;-963.0
?;980.0;84;37.0;?;292.0;-957.0
-540.0;?;84;-16.0;602.0;250.0;-969.0
-539.0;989.0;84;46.0;603.0;235.0;-954.0
-543.0;?;84;?;?;259.0;-928.0
-547.0;966.0;84;86.0;?;282.0;-950.0
-546.0;?;?;68.0;609.0;235.0;-965.0
-547.0;970.0;84;82.0;608.0;239.0;-969.0
-547.0;987.0;84;44.0;611.0;261.0;-954.0
-547.0;973.0;84;?;608.0;259.0;-935.0
?;960.0;85;12.0;?;272.0;-931.0
-550.0;970.0;85;?;605.0;253.0;-952.0
-548.0;958.0;85;43.0;605.0;244.0;-952.0
-547.0;?;85;80.0;?;212.0;-940.0
-544.0;935.0;84;-17.0;602.0;247.0;-936.0
-542.0;952.0;84;87.0;601.0;230.0;-946.0
-533.0;975.0;84;20.0;?;195.0;?
-530.0;937.0;84;72.0;600.0;195.0;-910.0
-525.0;924.0;84;40.0;602.0;186.0;?
-522.0;917.0;84;48.0;603.0;194.0;-885.0
?;993.0;83;108.0;593.0;223.0;-947.0
-518.0;1009.0;83;35.0;598.0;238.0;-980.0
-518.0;?;83;37.0;598.0;228.0;-967.0
-520.0;980.0;83;136.0;599.0;?;-953.0
?;1001.0;83;124.0;597.0;293.0;-962.0
-522.0;?;83;97.0;599.0;?;-961.0
-522.0;1008.0;83;51.0;596.0;297.0;-957.0
-523.0;?;83;105.0;598.0;268.0;-967.0
-524.0;1012.0;83;170.0;598.0;?;-979.0
-525.0;?;83;56.0;598.0;291.0;-965.0
-524.0;984.0;83;115.0;598.0;271.0;?
?;1001.0;83;28.0;597.0;258.0;-962.0
?;1009.0;83;?;598.0;?;?
-525.0;1016.0;83;18.0;?;272.0;-983.0
?;1013.0;83;21.0;?;?;-988.0
-526.0;?;83;114.0;601.0;?;-979.0
-529.0;995.0;?;21.0;?;278.0;-972.0
-529.0;978.0;83;79.0;606.0;255.0;-968.0
?;999.0;83;88.0;606.0;247.0;-961.0
-530.0;990.0;83;-7.0;609.0;?;?
-531.0;979.0;?;43.0;?;261.0;?
-533.0;971.0;83;?;?;270.0;?
?;977.0;84;33.0;?;272.0;-935.0
?;942.0;84;112.0;611.0;264.0;-920.0
-529.0;?;84;42.0;611.0;233.0;-936.0
?;961.0;84;?;612.0;233.0;-932.0
-526.0;979.0;83;?;610.0;233.0;?
-525.0;982.0;83;41.0;612.0;262.0;-943.0
-524.0;965.0;?;68.0;613.0;274.0;-926.0
?;969.0;83;34.0;611.0;257.0;-927.0
?;936.0;83;74.0;611.0;267.0;-908.0
?;891.0;83;?;607.0;?;-836.0
?;?;?;?;604.0;240.0;-644.0
-514.0;?;83;-35.0;602.0;189.0;-601.0
?;?;83;106.0;601.0;63.0;-811.0
?;?;83;309.0;616.0;164.0;-1308.0
-523.0;1635.0;83;480.0;633.0;207.0;-1645.0
-524.0;1504.0;83;?;?;383.0;-1323.0
-531.0;1040.0;83;115.0;624.0;?;-927.0
-530.0;885.0;83;-97.0;612.0;477.0;?
-528.0;852.0;83;?;605.0;282.0;?
-526.0;909.0;83;-39.0;591.0;166.0;-906.0
-525.0;966.0;83;125.0;592.0;199.0;-978.0
-525.0;1031.0;83;103.0;595.0;?;-989.0
-524.0;?;83;155.0;597.0;198.0;-974.0
?;1018.0;83;155.0;601.0;?;?
-522.0;?;?;219.0;603.0;228.0;-970.0
-522.0;1012.0;83;205.0;601.0;230.0;-955.0
?;995.0;83;?;605.0;284.0;?
-524.0;994.0;83;?;605.0;322.0;-962.0
?;978.0;?;?;603.0;308.0;-971.0
-525.0;1009.0;83;130.0;603.0;248.0;-979.0
-524.0;1000.0;83;56.0;?;241.0;-981.0
-522.0;?;?;109.0;?;267.0;-980.0
-523.0;1026.0;83;127.0;603.0;226.0;-973.0
-523.0;1023.0;?;81.0;606.0;242.0;?
-525.0;1026.0;?;?;603.0;?;?
-525.0;1021.0;?;63.0;607.0;235.0;-961.0
-523.0;?;83;65.0;607.0;254.0;-958.0
?;998.0;83;158.0;607.0;295.0;-980.0
-522.0;1054.0;83;178.0;605.0;345.0;-998.0
?;1043.0;83;123.0;603.0;?;-980.0
?;?;83;147.0;?;307.0;-961.0
-521.0;?;83;153.0;602.0;270.0;-971.0
?;1051.0;83;?;602.0;250.0;?
-522.0;1015.0;?;160.0;602.0;227.0;-970.0
?;1018.0;83;83.0;603.0;283.0;?
?;1020.0;83;149.0;604.0;?;-978.0
?;?;83;149.0;601.0;274.0;-979.0
?;1021.0;83;101.0;603.0;292.0;-978.0
-525.0;1028.0;83;120.0;604.0;300.0;-976.0
-526.0;?;83;?;604.0;?;-991.0
-527.0;1096.0;83;163.0;603.0;?;-1043.0
-527.0;1119.0;83;122.0;605.0;274.0;?
?;1096.0;83;103.0;?;315.0;-1047.0
-531.0;1051.0;83;81.0;606.0;321.0;-992.0
-531.0;1008.0;84;16.0;608.0;331.0;-958.0
-533.0;984.0;84;116.0;605.0;?;-957.0
-533.0;995.0;?;87.0;606.0;256.0;?
-530.0;966.0;83;?;603.0;275.0;-931.0
-528.0;946.0;83;100.0;602.0;278.0;-921.0
-524.0;926.0;83;205.0;601.0;267.0;-915.0
-516.0;951.0;83;?;599.0;245.0;-896.0
-509.0;?;83;137.0;597.0;220.0;-865.0
?;850.0;83;162.0;593.0;260.0;-779.0
-497.0;721.0;83;86.0;589.0;308.0;-644.0
-484.0;717.0;83;-28.0;?;?;-648.0
?;731.0;83;100.0;?;203.0;-767.0
-476.0;1244.0;?;274.0;577.0;?;-1303.0
-478.0;1566.0;83;408.0;581.0;68.0;?
-473.0;1537.0;83;?;?;336.0;-1448.0
?;1200.0;83;63.0;572.0;642.0;-1051.0
-479.0;976.0;?;-64.0;564.0;502.0;-860.0
?;872.0;83;?;557.0;199.0;-823.0
?;892.0;83;133.0;?;156.0;-887.0
-469.0;931.0;83;218.0;556.0;242.0;-915.0
-471.0;961.0;83;170.0;559.0;239.0;-926.0
-473.0;?;?;79.0;?;278.0;-924.0
-473.0;986.0;83;113.0;?;227.0;-947.0
-472.0;1018.0;83;138.0;560.0;230.0;-969.0
-470.0;1000.0;83;218.0;558.0;189.0;-959.0
-474.0;1002.0;83;130.0;557.0;218.0;-975.0
-474.0;1028.0;83;98.0;558.0;225.0;?
-475.0;?;83;112.0;559.0;253.0;-983.0
-477.0;1030.0;83;66.0;559.0;241.0;?
?;?;83;?;?;235.0;-975.0
-472.0;1016.0;83;189.0;561.0;242.0;?
-475.0;?;?;189.0;561.0;247.0;-972.0
-477.0;999.0;83;?;563.0;249.0;-970.0
-478.0;1000.0;?;?;?;248.0;-968.0
-478.0;1032.0;83;169.0;565.0;265.0;-982.0
?;1020.0;83;221.0;569.0;?;-982.0
-478.0;1020.0;?;172.0;?;268.0;-968.0
-475.0;1018.0;83;?;568.0;312.0;?
-476.0;1029.0;83;140.0;570.0;303.0;-980.0
-476.0;?;83;117.0;568.0;288.0;-978.0
-476.0;1029.0;83;160.0;569.0;300.0;-983.0
-475.0;1049.0;?;134.0;568.0;302.0;-988.0
?;1029.0;83;90.0;570.0;292.0;-976.0
-475.0;1031.0;83;163.0;567.0;292.0;-974.0
-476.0;1025.0;83;159.0;568.0;263.0;-974.0
-475.0;1023.0;83;?;?;270.0;-980.0
-475.0;1026.0;83;170.0;?;253.0;-992.0
-475.0;?;83;147.0;?;277.0;-1000.0
-473.0;?;83;110.0;?;283.0;?
?;?;83;132.0;?;295.0;-977.0
-471.0;?;83;163.0;?;290.0;-973.0
-470.0;1010.0;83;127.0;570.0;297.0;-969.0
?;1038.0;?;159.0;?;?;-980.0
-470.0;?;?;179.0;571.0;333.0;-977.0
-473.0;?;83;176.0;573.0;?;-976.0
?;1029.0;83;?;571.0;?;-968.0
-473.0;1039.0;83;182.0;572.0;294.0;-989.0
-474.0;1060.0;83;136.0;574.0;?;-1006.0
-473.0;1027.0;?;189.0;?;302.0;-986.0
-475.0;?;83;172.0;574.0;301.0;-964.0
?;1014.0;83;141.0;574.0;?;-980.0
-476.0;?;83;97.0;572.0;300.0;-993.0
-475.0;1049.0;83;141.0;574.0;305.0;-991.0
-472.0;1046.0;83;?;575.0;338.0;-999.0
-473.0;1034.0;83;88.0;573.0;316.0;-985.0
-472.0;1030.0;83;121.0;573.0;313.0;-975.0
-470.0;1051.0;83;138.0;571.0;340.0;-993.0
-466.0;1032.0;83;89.0;?;307.0;-988.0
-466.0;1044.0;83;152.0;572.0;?;?
?;1036.0;83;?;?;328.0;?
-465.0;1028.0;83;159.0;568.0;341.0;-961.0
-464.0;1014.0;83;113.0;570.0;317.0;-954.0
-460.0;981.0;83;120.0;567.0;?;-932.0
-460.0;1030.0;?;151.0;564.0;314.0;-1001.0
?;1087.0;83;221.0;560.0;?;-1020.0
-460.0;1025.0;?;245.0;556.0;340.0;-976.0
-461.0;1020.0;83;268.0;558.0;316.0;-989.0
-465.0;?;83;?;560.0;241.0;?
