InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
?;-509.0;10;-16.0;-1511.0;10;?
6;-444.0;15;-307.0;-2048.0;?;2786.0
?;-417.0;28;-343.0;?;?;2659.0
-3;-333.0;12;-637.0;-1793.0;12;2718.0
-3;?;16;-544.0;-968.0;16;?
4;-147.0;32;-581.0;-29.0;32;1667.0
-6;?;-28;-412.0;292.0;-28;?
-3;-4.0;-31;?;-307.0;-31;22.0
2;?;6;108.0;?;6;-156.0
2;?;12;57.0;269.0;12;-174.0
0;?;8;93.0;390.0;8;-160.0
?;?;-9;104.0;?;-9;?
1;?;?;?;?;-7;?
-3;?;-27;-43.0;900.0;-27;-351.0
-1;-52.0;?;-70.0;?;?;-455.0
9;-39.0;26;?;1091.0;26;?
8;21.0;?;38.0;1385.0;-4;-564.0
1;75.0;-20;?;1775.0;?;-571.0
-1;-213.0;-2;39.0;73.0;-2;?
2;?;?;-14.0;?;-19;?
5;-184.0;-37;-20.0;97.0;-37;-33.0
-1;?;-46;6.0;62.0;-46;?
-5;?;-32;89.0;?;-32;-93.0
?;-394.0;?;46.0;-399.0;20;80.0
?;-646.0;?;50.0;-823.0;13;202.0
10;-971.0;29;?;-1399.0;29;363.0
6;-890.0;36;?;-1449.0;36;553.0
?;-473.0;3;-84.0;-1553.0;3;738.0
?;?;13;-116.0;?;13;1075.0
?;?;11;-12.0;-3296.0;11;1233.0
1;-657.0;-7;14.0;-3620.0;-7;1378.0
-3;?;-12;196.0;-3290.0;?;1798.0
-3;?;-6;246.0;-3440.0;?;2183.0
-1;-531.0;2;414.0;-2871.0;?;2151.0
1;-612.0;-1;-67.0;-2209.0;-1;2440.0
2;-740.0;?;-24.0;?;0;2708.0
?;-489.0;3;-295.0;-2665.0;3;2816.0
2;-653.0;-8;-404.0;-2077.0;-8;2780.0
4;-459.0;?;-1046.0;-1313.0;-11;2813.0
7;-259.0;-28;-518.0;?;-28;2473.0
1;?;-39;-539.0;-557.0;-39;1611.0
-4;-145.0;-22;-541.0;-752.0;-22;885.0
3;-103.0;-34;-437.0;-336.0;-34;?
1;?;-39;-153.0;-14.0;-39;?
-5;-185.0;-27;-93.0;135.0;-27;116.0
1;0.0;?;43.0;23.0;-30;17.0
5;-3.0;2;?;97.0;?;?
?;-7.0;6;-1.0;202.0;6;-54.0
8;-38.0;-33;?;201.0;-33;-57.0
5;?;-3;30.0;555.0;-3;-36.0
1;-1.0;-29;62.0;1244.0;?;-78.0
7;?;?;274.0;1650.0;-98;?
?;342.0;-48;564.0;1565.0;-48;-694.0
-23;446.0;7;628.0;?;7;?
2;-142.0;23;-80.0;?;?;95.0
2;-83.0;-16;-96.0;124.0;-16;36.0
-6;-37.0;?;-99.0;128.0;-18;?
?;-50.0;-33;-128.0;77.0;-33;-45.0
4;?;-31;-58.0;31.0;?;-61.0
-5;?;23;-48.0;-35.0;23;42.0
?;-71.0;?;?;-451.0;23;211.0
-4;-167.0;?;62.0;-840.0;15;478.0
?;?;30;63.0;-1191.0;30;794.0
-1;-263.0;33;138.0;-1599.0;33;1163.0
?;-285.0;40;64.0;-2068.0;40;1344.0
3;-370.0;-27;73.0;-2620.0;-27;1666.0
-5;-416.0;-75;-8.0;-3300.0;-75;2126.0
-4;-421.0;1;92.0;-4034.0;?;2307.0
7;-187.0;-23;?;-4497.0;-23;?
7;-243.0;-32;228.0;-4912.0;-32;2399.0
-4;-340.0;56;327.0;-4562.0;?;2744.0
?;-410.0;18;-60.0;-3595.0;?;2787.0
4;-408.0;-22;?;?;?;2971.0
-4;-564.0;6;-700.0;-3647.0;6;?
-2;-518.0;4;-797.0;?;4;2785.0
4;-261.0;6;-1145.0;-2094.0;6;2537.0
1;-542.0;23;-224.0;-1378.0;23;1670.0
5;-870.0;10;226.0;-1166.0;?;1173.0
4;-887.0;0;?;-940.0;0;976.0
0;18.0;3;-298.0;-56.0;3;?
2;?;-2;-89.0;731.0;-2;?
4;157.0;25;80.0;490.0;?;?
0;128.0;?;108.0;350.0;37;-409.0
-3;?;?;222.0;446.0;-9;-533.0
4;-32.0;-18;99.0;?;-18;-410.0
5;-100.0;23;56.0;775.0;23;-262.0
-1;-69.0;?;?;1232.0;25;-359.0
0;?;2;39.0;?;2;-591.0
-1;-2.0;?;?;1492.0;-24;-907.0
-4;51.0;-22;317.0;2103.0;-22;-1100.0
?;95.0;-3;445.0;2673.0;-3;-1318.0
?;-60.0;32;107.0;-140.0;32;-46.0
-4;-39.0;44;?;?;44;-61.0
2;-44.0;?;101.0;-163.0;13;?
5;-110.0;?;200.0;-374.0;?;97.0
3;-175.0;?;129.0;-517.0;0;?
2;-173.0;-6;?;?;-6;388.0
-2;?;-18;144.0;-1540.0;-18;619.0
?;-131.0;?;24.0;-2037.0;16;1067.0
-3;-241.0;27;-41.0;?;?;1417.0
-4;?;-6;56.0;?;?;1544.0
-4;-145.0;?;13.0;-3547.0;-10;2072.0
-2;-255.0;8;140.0;-3261.0;?;2361.0
1;?;24;167.0;-3524.0;24;2563.0
?;-183.0;40;-1.0;-3950.0;40;2876.0
?;-335.0;39;330.0;-4224.0;39;3213.0
2;?;28;-256.0;-4616.0;?;?
0;?;1;?;-4254.0;1;3213.0
?;-602.0;-28;278.0;?;-28;3301.0
5;-397.0;-23;-517.0;-2817.0;-23;3139.0
-1;?;-35;?;-2272.0;-35;2809.0
-12;-477.0;-86;-1314.0;-1512.0;-86;1877.0
-7;-103.0;-60;?;-830.0;-60;722.0
3;-642.0;?;?;-85.0;?;231.0
0;?;?;?;?;-50;-80.0
?;-167.0;-51;-56.0;?;-51;-68.0
1;?;?;-50.0;115.0;?;-137.0
?;-15.0;-25;28.0;528.0;?;?
-2;?;-16;144.0;331.0;-16;-349.0
0;?;18;32.0;-65.0;18;?
-1;-86.0;27;88.0;87.0;27;-108.0
2;?;7;7.0;?;?;-63.0
-3;-92.0;24;?;?;?;-21.0
-9;-118.0;28;-69.0;-26.0;28;38.0
?;-213.0;34;-126.0;25.0;?;-135.0
-9;?;?;-52.0;717.0;37;-164.0
?;-83.0;-54;23.0;?;?;-383.0
-15;13.0;-64;34.0;?;-64;-671.0
-1;-229.0;9;-33.0;?;?;-4.0
?;-251.0;-7;-63.0;?;-7;-74.0
-10;-218.0;-33;?;210.0;-33;-44.0
-2;-167.0;-31;-51.0;151.0;-31;-77.0
2;-168.0;9;-31.0;?;9;-61.0
-5;-179.0;44;?;61.0;44;-57.0
?;-150.0;22;-16.0;15.0;22;?
0;?;-2;-94.0;?;?;300.0
-3;-256.0;13;-56.0;-559.0;13;412.0
-2;-274.0;11;-136.0;-616.0;11;603.0
0;-347.0;-12;-211.0;-509.0;-12;859.0
?;-324.0;-39;-297.0;-674.0;-39;?
-2;-209.0;-26;-233.0;-939.0;-26;1150.0
-4;-314.0;7;-74.0;-1311.0;7;1037.0
-4;-440.0;?;137.0;-1509.0;-3;1035.0
-5;-382.0;-20;359.0;-1665.0;-20;897.0
?;-427.0;-14;373.0;-1801.0;-14;826.0
-6;-288.0;1;237.0;-1573.0;1;676.0
-4;-264.0;25;397.0;?;?;576.0
-7;-79.0;59;276.0;-897.0;59;743.0
-4;-224.0;47;158.0;-1225.0;47;807.0
3;?;3;40.0;-1123.0;?;?
-5;-224.0;-1;118.0;-300.0;-1;1067.0
-2;-281.0;?;32.0;185.0;-3;1086.0
?;-84.0;11;-221.0;28.0;11;946.0
-4;-17.0;?;21.0;130.0;?;521.0
?;21.0;-21;36.0;348.0;-21;254.0
4;17.0;-22;-14.0;355.0;-22;327.0
1;-44.0;-13;-38.0;564.0;-13;431.0
0;?;1;67.0;?;?;466.0
-2;38.0;15;?;1166.0;?;501.0
0;?;?;?;420.0;23;52.0
0;-11.0;20;156.0;-543.0;20;-657.0
?;?;?;55.0;-1291.0;-16;-1314.0
1;-76.0;?;?;-1972.0;-17;-1987.0
-1;-73.0;-7;63.0;-2339.0;?;-2538.0
0;-116.0;-12;104.0;-2255.0;-12;-2614.0
0;-172.0;?;102.0;?;-10;?
0;?;-10;-44.0;?;-10;?
0;-86.0;?;-110.0;-1080.0;-9;-1505.0
0;-12.0;-20;-137.0;-975.0;-20;-1313.0
5;?;?;?;-859.0;-8;?
8;25.0;16;-188.0;-589.0;16;?
5;1.0;8;-189.0;-300.0;?;-620.0
2;42.0;0;?;-127.0;?;?
-5;34.0;0;-121.0;-93.0;?;?
-7;49.0;-1;-183.0;-63.0;-1;-273.0
6;77.0;5;-236.0;113.0;?;?
5;30.0;?;-89.0;239.0;7;168.0
0;-2.0;-26;-26.0;186.0;-26;47.0
?;14.0;-42;?;?;-42;26.0
2;?;7;72.0;70.0;7;86.0
-2;48.0;29;75.0;96.0;29;82.0
?;41.0;12;74.0;73.0;12;69.0
-4;13.0;?;71.0;?;29;89.0
1;5.0;15;98.0;?;15;78.0
3;8.0;-28;71.0;?;-28;108.0
-4;-40.0;-53;?;116.0;-53;?
5;-66.0;-122;95.0;?;-122;51.0
22;-107.0;-155;83.0;0.0;-155;-26.0
-22;-93.0;-316;41.0;?;?;-81.0
-28;-76.0;-574;63.0;-71.0;-574;?
-132;-149.0;-613;167.0;-48.0;?;-120.0
-293;?;-517;208.0;-27.0;-517;-94.0
-40;?;-261;216.0;7.0;-261;-40.0
18;-275.0;-79;339.0;44.0;-79;18.0
-64;-301.0;-72;333.0;69.0;-72;?
145;?;-25;225.0;50.0;-25;132.0
82;-399.0;-52;334.0;53.0;?;158.0
16;-381.0;-88;407.0;?;-88;182.0
63;-393.0;-67;?;?;-67;229.0
?;-352.0;-66;467.0;208.0;-66;300.0
?;?;?;437.0;351.0;?;?
?;?;-130;420.0;443.0;-130;347.0
9;-255.0;-193;417.0;401.0;-193;321.0
-32;-226.0;?;385.0;404.0;-201;362.0
27;?;-139;337.0;385.0;-139;467.0
?;-230.0;-116;?;296.0;-116;444.0
-35;-243.0;-108;?;314.0;?;439.0
-23;-205.0;?;?;?;-80;?
-14;-203.0;-51;493.0;?;-51;340.0
22;-139.0;?;?;253.0;?;331.0
-48;-45.0;-9;446.0;?;-9;340.0
64;-17.0;-57;445.0;407.0;-57;460.0
-29;-16.0;96;414.0;444.0;?;474.0
18;-21.0;62;424.0;413.0;62;399.0
1247;?;687;356.0;399.0;687;338.0
1025;?;?;290.0;326.0;?;289.0
?;-42.0;-1296;354.0;294.0;-1296;245.0
-3139;31.0;?;?;?;-3192;180.0
?;27.0;-932;?;?;-932;?
?;48.0;?;?;148.0;-225;?
?;?;?;49.0;212.0;-255;183.0
-102;95.0;-5;28.0;?;-5;234.0
71;-19.0;-348;-117.0;?;-348;?
-11;-13.0;?;?;-138.0;-282;-130.0
?;-65.0;-188;-112.0;-99.0;-188;-109.0
2;?;?;-58.0;-153.0;-12;-119.0
-56;-47.0;54;-46.0;?;54;-100.0
?;-85.0;?;-44.0;-82.0;60;-95.0
56;-65.0;?;?;-47.0;46;-39.0
?;-104.0;-141;3.0;?;?;-26.0
?;-118.0;-162;-3.0;23.0;-162;?
6;-149.0;-142;?;4.0;?;9.0
11;?;-166;?;10.0;-166;71.0
-35;-100.0;-152;198.0;?;-152;118.0
7;-61.0;-351;268.0;46.0;-351;141.0
61;-37.0;-415;357.0;63.0;?;212.0
2;?;-116;?;137.0;-116;301.0
45;-51.0;33;493.0;159.0;33;330.0
-39;-58.0;-31;544.0;251.0;-31;405.0
-131;-15.0;-63;568.0;333.0;-63;530.0
?;-7.0;-71;?;434.0;-71;582.0
-22;-7.0;-10;604.0;504.0;-10;592.0
?;-69.0;46;?;510.0;46;?
46;-55.0;-34;606.0;555.0;-34;?
-48;?;193;563.0;512.0;?;609.0
-3;?;4;552.0;?;4;523.0
?;?;-1;?;436.0;-1;451.0
?;-22.0;290;?;521.0;290;413.0
736;-34.0;-355;282.0;562.0;-355;427.0
-1853;-12.0;1655;156.0;508.0;1655;336.0
-2364;-17.0;2890;40.0;423.0;2890;223.0
261;-7.0;637;-51.0;225.0;637;54.0
128;61.0;?;?;?;?;-80.0
-100;79.0;226;-293.0;-92.0;226;-167.0
253;96.0;-148;-296.0;?;-148;-221.0
-50;?;?;-331.0;?;?;-314.0
76;108.0;-15;-417.0;-393.0;-15;-349.0
39;126.0;42;-604.0;?;42;?
43;1.0;44;-663.0;45.0;?;-50.0
55;-370.0;-47;?;485.0;-47;231.0
22;?;-75;-867.0;?;-75;-926.0
?;?;?;-750.0;-547.0;?;-850.0
34;100.0;21;-512.0;-901.0;21;-506.0
25;?;23;?;-240.0;23;-13.0
32;-49.0;43;-223.0;148.0;43;126.0
28;13.0;15;-160.0;36.0;15;-48.0
?;?;69;-193.0;-340.0;69;-486.0
37;30.0;68;-190.0;?;68;-735.0
46;16.0;-22;-151.0;-818.0;?;-562.0
?;96.0;?;-139.0;-523.0;-9;-267.0
22;57.0;-66;-93.0;-141.0;-66;-40.0
44;14.0;-257;?;7.0;?;42.0
?;?;?;-60.0;-28.0;-438;34.0
-135;18.0;-369;?;-31.0;-369;65.0
-24;28.0;-269;?;?;?;111.0
-29;-13.0;-270;39.0;21.0;-270;89.0
?;28.0;-149;77.0;116.0;-149;200.0
3;-39.0;-126;50.0;240.0;-126;224.0
-5;-84.0;-73;82.0;122.0;-73;138.0
?;-97.0;?;47.0;?;72;48.0
174;-54.0;52;-48.0;-73.0;52;?
225;-41.0;?;-116.0;46.0;-27;72.0
134;-51.0;-80;-73.0;45.0;?;6.0
97;-87.0;?;0.0;-66.0;-74;?
?;-97.0;-59;?;-111.0;-59;-31.0
134;-118.0;?;65.0;-46.0;?;8.0
85;-28.0;-412;24.0;38.0;?;?
30;?;-551;-21.0;1.0;?;47.0
83;-97.0;-168;?;-178.0;-168;?
96;-139.0;-72;31.0;?;-72;-168.0
?;?;-65;82.0;-90.0;-65;?
31;-102.0;-160;120.0;?;-160;46.0
84;-121.0;?;176.0;24.0;-21;40.0
?;-119.0;-34;242.0;-30.0;-34;47.0
-52;-111.0;-242;256.0;-17.0;-242;?
?;?;566;273.0;-61.0;566;26.0
-13;?;-535;?;?;-535;78.0
628;?;?;298.0;112.0;1200;?
1572;-123.0;861;293.0;226.0;861;242.0
662;-70.0;-4202;284.0;409.0;-4202;349.0
353;-39.0;-303;?;?;-303;427.0
576;-26.0;?;?;405.0;1986;415.0
413;2.0;?;154.0;263.0;-654;?
532;51.0;?;88.0;189.0;77;327.0
489;41.0;?;21.0;181.0;-202;248.0
276;-47.0;?;-68.0;-154.0;-93;-144.0
?;-14.0;-109;-63.0;-72.0;-109;?
270;-38.0;-196;-86.0;-23.0;-196;-82.0
201;-47.0;-168;-62.0;-67.0;-168;-71.0
183;-49.0;-142;-18.0;-63.0;-142;?
241;?;-291;-36.0;-21.0;?;-76.0
199;-49.0;?;-44.0;?;-316;-112.0
226;-51.0;-46;?;?;-46;?
326;-81.0;96;57.0;1.0;96;2.0
255;-73.0;8;?;85.0;?;?
228;26.0;?;-3.0;?;-2;21.0
294;-18.0;-23;?;?;-23;26.0
285;-19.0;-68;?;?;-68;-18.0
?;-39.0;?;-15.0;-35.0;-45;-33.0
332;-40.0;-91;-37.0;-42.0;-91;-35.0
244;-21.0;-124;11.0;-105.0;-124;-58.0
209;-7.0;-63;?;-129.0;?;-91.0
432;?;-101;-9.0;-103.0;-101;-27.0
97;-68.0;-19;69.0;?;?;-8.0
507;-81.0;-131;113.0;?;-131;?
?;-77.0;?;99.0;-6.0;-53;79.0
61;?;88;30.0;74.0;88;75.0
1359;-61.0;172;50.0;83.0;172;134.0
-66;-59.0;1164;38.0;85.0;1164;146.0
?;-49.0;-205;51.0;128.0;-205;109.0
6730;-22.0;-1620;17.0;?;-1620;80.0
?;-26.0;184;21.0;112.0;?;75.0
-332;17.0;?;-1.0;69.0;506;?
764;52.0;?;10.0;47.0;-154;?
-234;74.0;?;-35.0;101.0;-198;?
511;132.0;-188;?;56.0;-188;64.0
88;?;?;-36.0;78.0;126;43.0
205;125.0;?;-256.0;214.0;?;?
307;-34.0;?;-364.0;400.0;283;366.0
240;168.0;205;-338.0;466.0;205;-7.0
325;377.0;?;?;148.0;197;-632.0
257;191.0;126;-210.0;?;126;?
228;-82.0;?;182.0;-592.0;?;?
233;-203.0;-10;243.0;?;-10;?
235;-151.0;?;158.0;-189.0;-5;132.0
?;-42.0;-5;119.0;55.0;-5;171.0
236;-29.0;22;-56.0;162.0;?;81.0
?;-80.0;3;-190.0;?;3;-96.0
229;110.0;17;-449.0;-49.0;17;-72.0
234;108.0;?;-390.0;-21.0;41;-19.0
?;127.0;?;-348.0;23.0;19;-20.0
224;98.0;?;-315.0;-3.0;-2;-63.0
217;79.0;6;-318.0;-22.0;6;-47.0
201;14.0;-7;-158.0;?;-7;-158.0
193;?;7;-39.0;-221.0;7;-206.0
183;92.0;41;-9.0;?;41;-191.0
159;34.0;24;?;?;24;-120.0
158;120.0;24;-61.0;-31.0;24;-54.0
126;86.0;?;?;-30.0;13;?
?;105.0;36;-133.0;-79.0;36;-66.0
96;61.0;45;-154.0;-94.0;45;-70.0
74;-32.0;-8;?;-63.0;-8;-19.0
?;63.0;11;-168.0;41.0;11;100.0
41;62.0;-43;-47.0;120.0;?;?
28;34.0;?;?;80.0;-127;48.0
24;27.0;-226;?;-32.0;-226;14.0
?;?;-399;15.0;-57.0;-399;-38.0
-15;-7.0;-385;-38.0;-20.0;-385;-21.0
-36;-35.0;-218;53.0;-34.0;-218;-28.0
64;17.0;-98;-17.0;-9.0;-98;-23.0
90;-1.0;-64;-63.0;-4.0;-64;-1.0
48;-21.0;-68;-53.0;17.0;-68;12.0
101;?;-150;?;?;-150;?
65;?;-254;-71.0;-106.0;?;-85.0
18;-57.0;?;-108.0;-70.0;-158;-76.0
213;-98.0;-98;?;-59.0;?;-62.0
-41;-39.0;-38;?;?;-38;-64.0
?;-38.0;-107;47.0;?;-107;-56.0
-17;-61.0;13;?;-65.0;13;-22.0
17;?;158;?;?;158;46.0
1391;-133.0;?;263.0;?;310;32.0
-604;?;1298;299.0;-125.0;1298;53.0
1434;-149.0;-215;379.0;?;-215;61.0
4182;-188.0;-1683;371.0;11.0;-1683;158.0
77;-200.0;85;431.0;190.0;85;303.0
?;-105.0;?;407.0;362.0;182;411.0
469;?;-348;441.0;526.0;?;497.0
-307;-67.0;?;286.0;567.0;-108;?
183;-70.0;-165;?;506.0;-165;484.0
-76;2.0;95;?;461.0;95;405.0
13;73.0;144;?;510.0;?;516.0
101;-66.0;94;?;833.0;94;637.0
?;?;?;149.0;900.0;47;218.0
47;601.0;-11;-290.0;306.0;-11;-624.0
25;468.0;8;-481.0;-545.0;?;141.0
36;42.0;24;184.0;?;24;-31.0
45;-14.0;?;252.0;-72.0;32;-10.0
38;99.0;-1;145.0;?;?;?
24;9.0;-20;136.0;?;?;?
27;7.0;?;?;?;14;11.0
24;-23.0;?;?;60.0;49;-98.0
17;?;37;-86.0;-55.0;37;-76.0
20;?;?;-149.0;?;11;-43.0
?;66.0;?;-100.0;-12.0;10;-29.0
27;58.0;11;-121.0;32.0;11;1.0
?;54.0;12;-133.0;-95.0;?;-93.0
27;92.0;7;?;-169.0;7;-191.0
25;114.0;-12;-127.0;-228.0;-12;-190.0
?;83.0;-11;-87.0;-159.0;-11;-99.0
18;51.0;1;-56.0;-20.0;?;?
14;64.0;-8;-92.0;-7.0;-8;-9.0
16;?;-9;-83.0;-54.0;?;-69.0
12;55.0;-14;-118.0;-141.0;?;-115.0
9;59.0;-7;?;-98.0;-7;-73.0
14;?;28;-128.0;-31.0;28;?
4;18.0;19;-92.0;-19.0;19;1.0
?;13.0;13;?;-3.0;13;18.0
?;81.0;45;?;-21.0;45;9.0
4;17.0;31;-105.0;-37.0;31;?
-8;-18.0;0;?;-25.0;0;-36.0
-5;42.0;0;-55.0;-24.0;?;?
-1;13.0;5;?;?;5;?
4;21.0;19;?;-6.0;?;12.0
5;-16.0;-6;-8.0;-44.0;-6;-16.0
-1;31.0;-15;-34.0;-29.0;-15;-22.0
?;34.0;-1;-66.0;-48.0;-1;?
3;28.0;-29;-38.0;?;-29;-9.0
?;105.0;2;-144.0;?;?;?
3;24.0;?;-40.0;?;?;97.0
?;55.0;5;-59.0;61.0;5;58.0
-2;97.0;9;?;20.0;9;87.0
2;61.0;?;-106.0;?;-30;44.0
4;-28.0;-40;?;8.0;-40;22.0
2;-22.0;9;1.0;-75.0;9;-42.0
3;17.0;-16;-106.0;-144.0;-16;-87.0
3;?;-38;?;?;?;-66.0
-3;34.0;-7;-119.0;18.0;-7;-27.0
-4;69.0;-10;-163.0;-55.0;?;?
-3;?;17;-90.0;?;17;-122.0
-8;-16.0;?;-66.0;?;55;?
-3;-40.0;33;-53.0;?;33;-100.0
?;-11.0;22;-5.0;-66.0;22;-35.0
-1;-13.0;29;?;-8.0;29;?
-6;-2.0;2;39.0;42.0;2;39.0
-1;-35.0;?;50.0;92.0;-28;?
1;?;-25;?;32.0;-25;?
?;81.0;-22;-4.0;108.0;-22;159.0
2;56.0;-52;-24.0;129.0;-52;133.0
-5;34.0;-43;-45.0;87.0;-43;101.0
-10;75.0;26;-36.0;?;26;37.0
?;51.0;28;-53.0;-60.0;28;?
0;?;-38;-114.0;-9.0;-38;5.0
?;110.0;-71;-98.0;18.0;-71;-9.0
-2;?;-68;-99.0;-34.0;-68;1.0
-6;?;-49;-113.0;-13.0;?;-33.0
-6;14.0;-49;-43.0;98.0;?;?
-4;-114.0;-46;-39.0;69.0;-46;-46.0
-5;-192.0;-1;-56.0;-129.0;-1;-176.0
-3;?;-40;-57.0;-330.0;-40;-166.0
1;-289.0;-32;-100.0;-246.0;-32;-218.0
?;-109.0;29;-121.0;-98.0;29;?
-1;20.0;-32;-144.0;28.0;?;?
-6;?;?;?;?;-23;79.0
-5;96.0;-17;-152.0;4.0;-17;42.0
?;-10.0;-44;?;?;-44;37.0
-8;28.0;-13;?;28.0;?;?
-5;24.0;1;-142.0;?;1;-9.0
?;47.0;20;-143.0;-62.0;20;?
?;?;-13;-175.0;-110.0;-13;?
-8;77.0;-38;-189.0;-163.0;-38;-132.0
-10;69.0;-4;?;-178.0;-4;-177.0
-4;81.0;25;-208.0;-155.0;25;-134.0
-1;106.0;30;-165.0;-89.0;30;-86.0
1;?;19;-146.0;-1.0;19;-34.0
1;117.0;32;-62.0;?;?;39.0
-8;130.0;11;5.0;?;11;80.0
?;?;-11;2.0;145.0;-11;132.0
-4;129.0;18;12.0;160.0;18;145.0
-6;130.0;42;?;145.0;42;203.0
2;173.0;46;17.0;146.0;46;208.0
?;155.0;9;62.0;154.0;9;210.0
-6;171.0;?;?;?;?;240.0
?;159.0;?;-14.0;146.0;-5;192.0
?;143.0;?;?;97.0;-11;167.0
?;75.0;-1;-53.0;56.0;-1;84.0
0;-10.0;37;-37.0;-29.0;?;-8.0
-1;-22.0;30;-88.0;-74.0;30;-57.0
-1;-44.0;-13;-91.0;-66.0;-13;-38.0
-6;-28.0;-33;-43.0;-80.0;-33;-48.0
-11;73.0;-28;-78.0;-93.0;?;-79.0
-9;89.0;?;-63.0;13.0;-2;59.0
-7;157.0;21;-84.0;88.0;21;67.0
?;206.0;8;?;60.0;8;86.0
-7;159.0;-2;?;63.0;-2;?
-8;?;2;?;141.0;?;138.0
1;161.0;23;-4.0;56.0;?;?
4;216.0;?;-135.0;90.0;15;137.0
?;?;-33;72.0;176.0;?;125.0
-12;190.0;14;?;-113.0;14;?
-7;105.0;36;6.0;-225.0;?;-163.0
4;32.0;8;105.0;-219.0;8;-245.0
9;104.0;31;?;-96.0;31;-117.0
8;46.0;?;?;?;15;-115.0
4;19.0;1;-82.0;-79.0;1;?
?;-15.0;?;-77.0;41.0;-4;?
9;106.0;-11;-246.0;30.0;-11;100.0
?;77.0;?;-171.0;-7.0;-13;63.0
