InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;Accelerometer RKN^ accY;Accelerometer HIP accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit RLA gyroY;Accelerometer RKN_ accX
-836;338.0;-70.0;972.0;-80.0;-242;345;20;986.0;64;30.0;284.0
-848;308.0;-73.0;969.0;-79.0;-232;338;12;1011.0;58;-6.0;270.0
-834;293.0;-58.0;1015.0;-92.0;-243;345;6;1011.0;66;-23.0;271.0
-817;272.0;-29.0;1019.0;-49.0;-242;368;-1;1003.0;72;19.0;312.0
-822;245.0;-19.0;1020.0;-79.0;-247;369;1;984.0;66;74.0;352.0
-812;280.0;-77.0;1010.0;-98.0;-252;372;-5;1024.0;72;88.0;366.0
-798;278.0;-42.0;991.0;-44.0;-247;386;-4;1025.0;80;6.0;353.0
-813;262.0;-49.0;1028.0;-10.0;-238;383;7;1043.0;70;0.0;336.0
-806;290.0;-43.0;1024.0;-92.0;-240;384;4;978.0;76;115.0;338.0
-812;238.0;-30.0;1011.0;-85.0;-254;377;5;1002.0;69;-144.0;363.0
-821;318.0;-30.0;1005.0;-24.0;-245;361;2;1011.0;71;-23.0;312.0
-824;303.0;-66.0;990.0;-27.0;-257;360;0;1034.0;65;43.0;339.0
-829;289.0;-42.0;1017.0;-39.0;-235;364;7;1023.0;65;187.0;338.0
-820;288.0;-60.0;992.0;-81.0;-261;360;0;1025.0;68;70.0;353.0
-821;287.0;-71.0;1021.0;-90.0;-261;361;-1;1017.0;66;160.0;336.0
-820;291.0;-14.0;1007.0;-94.0;-250;360;0;1026.0;70;-41.0;357.0
-821;321.0;-39.0;1013.0;-90.0;-252;361;-2;1012.0;68;-7.0;317.0
-819;306.0;-32.0;996.0;-84.0;-257;359;-2;1017.0;70;24.0;345.0
-815;311.0;-18.0;1014.0;-86.0;-255;363;-7;1009.0;72;13.0;316.0
-823;308.0;-20.0;1001.0;-91.0;-252;359;0;1013.0;67;-32.0;335.0
-825;316.0;-22.0;1004.0;-90.0;-250;364;1;1015.0;64;-52.0;301.0
-825;328.0;-3.0;1003.0;-91.0;-253;357;4;995.0;66;-107.0;311.0
-816;288.0;-40.0;1022.0;-37.0;-265;366;-3;1012.0;69;113.0;314.0
-827;270.0;12.0;1022.0;-69.0;-247;361;7;998.0;64;-46.0;348.0
-819;320.0;-18.0;992.0;-47.0;-246;365;0;986.0;70;-13.0;334.0
-821;288.0;-50.0;1000.0;-76.0;-255;364;-2;1004.0;67;-28.0;345.0
-826;278.0;-20.0;1011.0;-81.0;-249;367;-2;1015.0;62;12.0;327.0
-823;287.0;-42.0;1010.0;-74.0;-253;363;-1;1016.0;65;32.0;328.0
-826;277.0;-43.0;999.0;-86.0;-245;358;3;1015.0;67;42.0;325.0
-821;314.0;-14.0;997.0;-104.0;-253;356;-3;1024.0;71;137.0;326.0
-822;307.0;-50.0;991.0;-103.0;-248;355;0;1013.0;70;116.0;317.0
-821;325.0;-27.0;990.0;-110.0;-249;358;-3;1013.0;70;-39.0;325.0
-822;277.0;-50.0;999.0;-119.0;-251;360;-2;1021.0;68;89.0;336.0
-841;264.0;-19.0;1010.0;-222.0;-224;371;6;988.0;55;190.0;309.0
-855;283.0;-55.0;1008.0;-243.0;-282;349;19;980.0;35;265.0;333.0
-744;986.0;43.0;264.0;-132.0;-314;428;3;1015.0;86;59.0;298.0
-736;999.0;10.0;255.0;-144.0;-314;446;5;1004.0;84;83.0;282.0
-735;1001.0;0.0;275.0;-159.0;-323;442;-6;1008.0;83;195.0;276.0
-769;1001.0;8.0;308.0;-221.0;-311;397;0;977.0;81;-26.0;313.0
-852;253.0;37.0;982.0;-291.0;-232;375;-89;911.0;54;-295.0;307.0
-618;453.0;-102.0;921.0;-204.0;-569;557;-340;883.0;263;-37.0;378.0
-777;1000.0;22.0;304.0;-210.0;-314;390;-4;990.0;76;103.0;313.0
-776;1010.0;24.0;295.0;-188.0;-315;390;-5;975.0;76;209.0;312.0
-775;1006.0;21.0;293.0;-237.0;-314;391;-2;981.0;77;160.0;306.0
-730;996.0;40.0;249.0;-96.0;-320;448;-4;1022.0;86;-67.0;286.0
-728;1016.0;54.0;272.0;-134.0;-334;439;-3;1008.0;87;35.0;315.0
-726;1006.0;31.0;248.0;-121.0;-335;441;-2;1008.0;87;-50.0;300.0
-728;989.0;11.0;272.0;-138.0;-323;443;5;986.0;89;26.0;296.0
-730;1010.0;25.0;265.0;-148.0;-330;441;-1;1010.0;86;34.0;296.0
-748;1000.0;46.0;272.0;-107.0;-319;430;2;1005.0;80;123.0;290.0
-748;1020.0;30.0;285.0;-128.0;-316;425;4;1015.0;84;-24.0;297.0
-751;982.0;26.0;278.0;-109.0;-323;422;-5;1048.0;80;27.0;306.0
-749;1013.0;24.0;271.0;-104.0;-319;419;-2;989.0;84;33.0;299.0
-751;1002.0;48.0;286.0;-108.0;-319;427;0;1014.0;79;-154.0;308.0
-752;1001.0;30.0;284.0;-179.0;-320;417;2;994.0;82;-87.0;315.0
-759;1013.0;23.0;286.0;-195.0;-320;419;3;1003.0;76;-167.0;304.0
-753;992.0;30.0;284.0;-186.0;-325;417;-2;997.0;80;-154.0;298.0
-757;990.0;15.0;285.0;-193.0;-321;417;3;1023.0;78;-4.0;307.0
-753;997.0;29.0;288.0;-191.0;-323;413;-3;1019.0;83;-140.0;308.0
-724;982.0;46.0;261.0;-149.0;-330;445;-5;994.0;89;45.0;283.0
-732;994.0;56.0;264.0;-147.0;-322;445;2;1006.0;84;-9.0;305.0
-736;990.0;30.0;256.0;-147.0;-331;435;-6;1010.0;84;-126.0;282.0
-729;1008.0;21.0;273.0;-151.0;-328;441;-7;1020.0;87;-110.0;290.0
-884;457.0;202.0;684.0;-405.0;-181;340;76;1248.0;44;191.0;82.0
-735;1006.0;29.0;274.0;-142.0;-319;438;4;1004.0;87;88.0;299.0
-731;1000.0;23.0;255.0;-147.0;-327;438;-3;1023.0;87;-112.0;285.0
-775;984.0;18.0;299.0;-245.0;-325;384;-2;995.0;76;276.0;314.0
-768;1007.0;24.0;292.0;-272.0;-330;391;-4;987.0;77;185.0;300.0
-771;990.0;33.0;303.0;-256.0;-324;386;3;996.0;78;-251.0;329.0
-752;994.0;24.0;282.0;-145.0;-326;417;-7;994.0;81;-49.0;304.0
-753;1001.0;20.0;283.0;-156.0;-313;420;7;1015.0;82;-93.0;310.0
-751;990.0;22.0;284.0;-128.0;-314;421;7;1007.0;84;-184.0;309.0
-748;988.0;29.0;271.0;-128.0;-321;413;-1;1025.0;87;-114.0;307.0
-775;999.0;0.0;304.0;-245.0;-313;388;2;985.0;79;95.0;317.0
-776;984.0;43.0;304.0;-290.0;-320;386;-6;1009.0;77;222.0;309.0
-823;339.0;107.0;1000.0;-245.0;-264;357;4;1005.0;65;470.0;370.0
-821;319.0;89.0;983.0;-316.0;-266;353;2;987.0;67;-230.0;345.0
-822;339.0;141.0;989.0;-308.0;-265;355;1;1000.0;66;-392.0;344.0
-822;486.0;126.0;941.0;-368.0;-271;354;-3;931.0;65;77.0;302.0
-815;413.0;184.0;969.0;-316.0;-272;353;-4;975.0;71;212.0;278.0
-738;999.0;63.0;254.0;-104.0;-330;432;2;1010.0;84;-7.0;301.0
-737;1002.0;51.0;254.0;-122.0;-330;426;0;1009.0;87;11.0;295.0
-734;996.0;21.0;274.0;-100.0;-332;432;-1;1024.0;86;-12.0;299.0
-735;961.0;30.0;266.0;-108.0;-338;431;-54;1007.0;86;-65.0;282.0
-812;982.0;-187.0;356.0;-136.0;-299;431;-44;1021.0;35;-16.0;292.0
-791;1001.0;-140.0;334.0;-159.0;-267;405;0;1013.0;73;-69.0;317.0
-813;957.0;-169.0;376.0;-178.0;-266;377;1;996.0;65;32.0;300.0
-811;953.0;-206.0;404.0;-248.0;-262;370;-4;966.0;71;-44.0;301.0
-755;383.0;7.0;986.0;-183.0;-307;453;141;1037.0;73;359.0;390.0
-807;980.0;-181.0;373.0;-184.0;-261;382;1;987.0;70;177.0;318.0
-814;966.0;-153.0;363.0;-202.0;-259;379;4;981.0;65;106.0;309.0
-813;975.0;-168.0;372.0;-177.0;-261;379;2;985.0;66;183.0;319.0
-807;984.0;-165.0;364.0;-167.0;-261;379;-2;1022.0;71;-282.0;309.0
-814;961.0;-180.0;365.0;-141.0;-256;380;7;1029.0;67;229.0;301.0
-808;950.0;-171.0;363.0;-125.0;-263;374;-3;1016.0;71;-28.0;310.0
-812;954.0;-175.0;375.0;-130.0;-260;383;0;1014.0;66;38.0;314.0
-809;970.0;-179.0;354.0;-115.0;-260;375;-2;1014.0;71;34.0;307.0
-808;965.0;-173.0;361.0;-128.0;-254;378;5;1023.0;73;-15.0;311.0
-810;950.0;-162.0;368.0;-117.0;-263;380;-3;1010.0;68;174.0;312.0
-751;345.0;50.0;1110.0;-234.0;-294;428;-93;945.0;121;182.0;358.0
-807;945.0;-176.0;364.0;-158.0;-262;376;-2;1016.0;72;-65.0;301.0
-805;968.0;-210.0;381.0;-187.0;-263;373;-6;993.0;75;-15.0;303.0
-810;949.0;-184.0;373.0;-175.0;-258;371;-1;1009.0;72;-67.0;308.0
-810;946.0;-165.0;384.0;-203.0;-260;378;0;985.0;69;-24.0;342.0
-815;979.0;-193.0;375.0;-187.0;-252;373;6;992.0;69;119.0;316.0
-808;951.0;-188.0;392.0;-206.0;-262;373;-2;987.0;73;-32.0;321.0
-810;953.0;-186.0;367.0;-186.0;-261;377;-1;996.0;69;118.0;318.0
-809;945.0;-197.0;386.0;-186.0;-262;370;-1;1004.0;73;-6.0;307.0
-810;950.0;-173.0;383.0;-172.0;-263;375;-3;1006.0;69;-54.0;307.0
-824;462.0;161.0;955.0;-398.0;-270;349;2;915.0;66;-108.0;354.0
-833;356.0;30.0;986.0;-423.0;-242;351;-4;918.0;64;-126.0;345.0
-835;392.0;-10.0;987.0;-434.0;-248;355;-9;916.0;59;-184.0;375.0
-831;351.0;-11.0;988.0;-423.0;-233;353;-5;892.0;67;-61.0;365.0
-814;959.0;-188.0;374.0;-180.0;-261;374;1;1001.0;68;74.0;316.0
-809;963.0;-182.0;382.0;-197.0;-261;372;-1;997.0;72;156.0;311.0
-810;944.0;-187.0;370.0;-177.0;-262;375;-2;1004.0;70;38.0;309.0
-833;272.0;70.0;1010.0;-402.0;-255;337;35;923.0;68;191.0;345.0
-834;441.0;173.0;961.0;-422.0;-257;345;2;897.0;63;-216.0;328.0
-831;411.0;135.0;966.0;-435.0;-266;338;3;904.0;64;-441.0;359.0
-834;426.0;131.0;969.0;-414.0;-259;335;7;943.0;66;-168.0;333.0
-825;435.0;109.0;942.0;-408.0;-270;342;-7;943.0;67;-176.0;347.0
-827;397.0;123.0;966.0;-393.0;-277;338;-4;941.0;64;59.0;303.0
-807;961.0;-171.0;375.0;-164.0;-259;370;-1;1002.0;76;32.0;319.0
-806;958.0;-191.0;363.0;-166.0;-262;375;-3;1000.0;74;-39.0;318.0
-809;960.0;-171.0;373.0;-170.0;-264;372;-2;1006.0;71;75.0;317.0
-807;936.0;-173.0;383.0;-185.0;-259;374;-1;1013.0;74;-164.0;320.0
-808;955.0;-188.0;392.0;-162.0;-259;378;-3;1003.0;71;-258.0;300.0
-815;953.0;-180.0;371.0;-193.0;-235;379;9;1005.0;72;77.0;315.0
-820;954.0;-170.0;363.0;-197.0;-242;375;4;986.0;66;-159.0;308.0
-820;949.0;-174.0;379.0;-197.0;-243;380;1;1008.0;64;81.0;314.0
-810;953.0;-153.0;386.0;-175.0;-244;372;-3;993.0;76;-287.0;332.0
-813;940.0;-213.0;393.0;-190.0;-246;381;-4;995.0;69;-200.0;316.0
-809;966.0;-116.0;348.0;-147.0;-246;389;-1;1015.0;69;42.0;324.0
-802;981.0;-112.0;323.0;-139.0;-249;392;-3;1012.0;73;7.0;313.0
-811;954.0;-149.0;354.0;-164.0;-242;389;3;1005.0;69;279.0;301.0
-805;968.0;-172.0;365.0;-188.0;-244;388;-1;995.0;74;334.0;325.0
-807;973.0;-141.0;359.0;-159.0;-248;399;-3;1016.0;66;-227.0;300.0
-146;282.0;166.0;997.0;-435.0;-44;846;145;935.0;163;-376.0;480.0
-827;512.0;-199.0;839.0;-301.0;-247;346;-108;904.0;79;160.0;88.0
-816;941.0;-177.0;361.0;-173.0;-239;378;-2;988.0;69;271.0;303.0
-817;943.0;-202.0;394.0;-183.0;-242;383;-5;981.0;66;281.0;307.0
-821;943.0;-193.0;405.0;-193.0;-233;382;4;994.0;66;272.0;317.0
-806;986.0;-126.0;362.0;-151.0;-243;387;-4;987.0;74;148.0;320.0
-809;980.0;-160.0;360.0;-222.0;-241;390;-2;997.0;71;-131.0;305.0
-777;344.0;-97.0;972.0;-399.0;-296;345;-175;910.0;119;-35.0;417.0
-807;960.0;-165.0;372.0;-216.0;-238;393;-4;976.0;72;-216.0;306.0
-812;972.0;-161.0;374.0;-207.0;-233;387;3;991.0;71;370.0;320.0
-818;960.0;-159.0;362.0;-217.0;-233;380;2;985.0;68;377.0;311.0
-814;967.0;-192.0;393.0;-216.0;-240;387;-5;994.0;67;-60.0;309.0
-815;970.0;-166.0;373.0;-226.0;-236;385;-1;979.0;68;88.0;305.0
-822;960.0;-177.0;375.0;-226.0;-235;385;2;967.0;62;-188.0;310.0
-706;501.0;-102.0;865.0;-276.0;-355;338;-11;871.0;145;41.0;71.0
-770;716.0;213.0;639.0;-467.0;-399;295;14;939.0;93;-77.0;115.0
-799;846.0;194.0;633.0;-429.0;-383;300;14;1016.0;81;26.0;21.0
-816;971.0;-152.0;370.0;-226.0;-238;384;-1;985.0;67;-164.0;312.0
-849;623.0;143.0;855.0;-459.0;-219;340;-22;913.0;67;-397.0;268.0
-829;446.0;89.0;949.0;-468.0;-261;336;-7;942.0;73;-294.0;407.0
-805;406.0;145.0;992.0;-518.0;-271;365;-31;848.0;80;60.0;344.0
-818;954.0;-189.0;367.0;-231.0;-232;387;5;997.0;66;-90.0;320.0
-814;949.0;-171.0;372.0;-192.0;-237;380;-4;983.0;71;109.0;303.0
-965;701.0;-37.0;915.0;-178.0;-409;135;45;986.0;11;-209.0;311.0
-771;964.0;-151.0;349.0;-237.0;-246;435;-2;978.0;82;-243.0;301.0
-783;971.0;-175.0;361.0;-205.0;-247;423;-6;988.0;76;0.0;313.0
-779;975.0;-116.0;349.0;-141.0;-252;421;-4;935.0;79;220.0;376.0
-781;1027.0;-73.0;338.0;-219.0;-243;430;5;866.0;76;85.0;328.0
-775;970.0;-157.0;363.0;-170.0;-231;433;7;939.0;83;10.0;293.0
-772;958.0;-175.0;363.0;-259.0;-248;442;-7;1005.0;76;180.0;289.0
-738;1002.0;-129.0;383.0;-172.0;-268;459;-22;1048.0;91;196.0;331.0
-835;897.0;-57.0;257.0;-125.0;-237;367;5;1018.0;59;196.0;287.0
-805;958.0;-192.0;374.0;-223.0;-225;401;11;939.0;73;-377.0;317.0
-816;937.0;-205.0;380.0;-259.0;-234;386;6;1018.0;67;-37.0;269.0
-812;962.0;-161.0;357.0;-259.0;-234;388;-1;965.0;70;176.0;300.0
-810;999.0;-158.0;353.0;-244.0;-227;391;7;980.0;73;-30.0;319.0
-814;967.0;-160.0;351.0;-220.0;-237;385;-4;965.0;68;201.0;314.0
-817;962.0;-187.0;361.0;-246.0;-233;383;-3;957.0;68;81.0;305.0
-816;979.0;-202.0;364.0;-244.0;-231;382;-2;982.0;70;73.0;302.0
-817;956.0;-170.0;365.0;-244.0;-235;385;-3;986.0;66;34.0;300.0
-808;982.0;-178.0;394.0;-255.0;-237;394;-5;1005.0;71;24.0;301.0
-814;940.0;-189.0;373.0;-289.0;-235;380;-8;950.0;72;37.0;283.0
-777;1004.0;-129.0;317.0;-144.0;-226;422;10;971.0;88;-238.0;288.0
-797;1001.0;-198.0;373.0;-210.0;-243;399;-2;1000.0;76;122.0;292.0
-777;980.0;-94.0;301.0;-130.0;-259;424;-5;1020.0;79;190.0;314.0
-786;989.0;-220.0;384.0;-172.0;-245;406;3;983.0;82;23.0;289.0
-815;972.0;-171.0;379.0;-212.0;-241;383;8;984.0;68;-56.0;316.0
-813;951.0;-187.0;380.0;-181.0;-247;377;1;983.0;71;58.0;303.0
-814;971.0;-161.0;361.0;-189.0;-245;382;3;1008.0;67;-226.0;300.0
-813;947.0;-170.0;358.0;-177.0;-245;381;3;995.0;69;-133.0;309.0
-808;952.0;-161.0;357.0;-159.0;-251;388;1;997.0;69;-254.0;292.0
-811;970.0;-150.0;354.0;-186.0;-250;379;-1;1013.0;71;234.0;312.0
-794;968.0;-148.0;374.0;-228.0;-251;399;-5;980.0;76;-61.0;323.0
-800;929.0;-131.0;323.0;-197.0;-266;397;-13;1005.0;68;-60.0;275.0
-787;960.0;-181.0;363.0;-109.0;-258;411;1;981.0;76;-216.0;282.0
-787;984.0;-123.0;342.0;-120.0;-260;404;-1;1027.0;78;-38.0;313.0
-786;948.0;-110.0;295.0;-30.0;-264;410;2;1022.0;75;-46.0;283.0
-893;467.0;109.0;892.0;-209.0;-226;400;-25;947.0;-7;-131.0;394.0
-789;949.0;-170.0;353.0;-127.0;-256;407;34;1011.0;77;-242.0;283.0
-825;494.0;0.0;689.0;-265.0;-267;360;8;885.0;68;-9.0;320.0
-839;794.0;229.0;595.0;-206.0;-250;361;-7;991.0;59;-238.0;-35.0
-821;633.0;48.0;829.0;-245.0;-239;367;-9;962.0;69;18.0;173.0
-634;709.0;132.0;820.0;-306.0;-218;708;254;983.0;75;161.0;106.0
-801;916.0;-260.0;456.0;-223.0;-260;391;-6;991.0;71;36.0;354.0
-808;913.0;-280.0;463.0;-249.0;-249;388;5;983.0;70;-77.0;345.0
-750;967.0;-178.0;411.0;-100.0;-277;445;6;997.0;85;-190.0;371.0
-753;960.0;-242.0;433.0;-178.0;-292;435;-4;1008.0;84;300.0;355.0
-746;960.0;-225.0;402.0;-135.0;-283;456;8;991.0;82;-171.0;327.0
-733;964.0;-218.0;382.0;-119.0;-288;463;13;1013.0;86;169.0;345.0
-730;943.0;-252.0;384.0;-65.0;-311;464;-16;975.0;81;-184.0;291.0
-725;944.0;-252.0;377.0;-86.0;-301;472;-9;988.0;85;-253.0;290.0
-799;940.0;-231.0;453.0;-284.0;-267;393;1;968.0;71;34.0;377.0
-783;957.0;-242.0;467.0;-278.0;-271;400;-3;974.0;81;-118.0;355.0
-782;921.0;-221.0;435.0;-246.0;-269;408;1;983.0;78;152.0;363.0
-786;921.0;-263.0;460.0;-259.0;-267;405;0;966.0;77;391.0;325.0
-780;942.0;-246.0;473.0;-281.0;-271;408;-3;1009.0;79;-77.0;367.0
-791;936.0;-243.0;471.0;-258.0;-268;393;-1;987.0;77;307.0;354.0
-768;945.0;-147.0;385.0;-184.0;-288;418;-7;1091.0;79;-180.0;341.0
-780;927.0;-222.0;404.0;-271.0;-276;413;-2;974.0;75;119.0;344.0
-778;948.0;-211.0;427.0;-276.0;-271;417;1;947.0;77;166.0;342.0
-771;925.0;-201.0;429.0;-256.0;-277;425;-4;972.0;77;8.0;335.0
-772;929.0;-204.0;441.0;-278.0;-267;423;4;989.0;80;-34.0;340.0
-771;941.0;-220.0;404.0;-275.0;-278;430;-4;968.0;75;8.0;343.0
-769;946.0;-212.0;425.0;-267.0;-276;421;-4;984.0;81;8.0;354.0
-769;945.0;-228.0;435.0;-276.0;-273;431;0;990.0;77;-76.0;343.0
-771;931.0;-203.0;423.0;-265.0;-273;421;-2;985.0;79;-198.0;328.0
-807;921.0;-219.0;453.0;-324.0;-259;380;6;962.0;72;140.0;343.0
-802;930.0;-211.0;450.0;-314.0;-266;388;1;967.0;70;179.0;358.0
-780;913.0;-193.0;419.0;-245.0;-273;417;-2;995.0;75;-93.0;354.0
-774;930.0;-200.0;424.0;-177.0;-272;424;0;996.0;77;18.0;330.0
-775;929.0;-217.0;442.0;-178.0;-274;422;-2;995.0;76;-34.0;358.0
-776;957.0;-181.0;439.0;-181.0;-268;419;2;1022.0;79;-80.0;336.0
-777;939.0;-195.0;414.0;-196.0;-271;416;-4;1006.0;78;-159.0;344.0
-775;926.0;-222.0;422.0;-194.0;-273;412;-6;1011.0;81;-136.0;341.0
-776;948.0;-207.0;401.0;-188.0;-272;414;-5;990.0;79;-23.0;353.0
-784;930.0;-190.0;415.0;-210.0;-270;404;1;1009.0;78;-160.0;342.0
-797;891.0;-266.0;481.0;-344.0;-263;379;-3;937.0;79;18.0;364.0
-782;940.0;-210.0;402.0;-147.0;-270;415;5;1014.0;74;348.0;343.0
-781;943.0;-214.0;407.0;-153.0;-273;417;3;993.0;73;382.0;338.0
-781;950.0;-172.0;415.0;-164.0;-274;414;-1;1020.0;74;-197.0;363.0
-788;936.0;-210.0;421.0;-186.0;-278;397;-5;996.0;75;246.0;328.0
-799;886.0;-258.0;490.0;-324.0;-269;387;-3;975.0;72;-20.0;348.0
-807;902.0;-222.0;494.0;-349.0;-268;386;-3;950.0;67;143.0;389.0
-805;896.0;-233.0;492.0;-360.0;-267;384;-1;950.0;70;45.0;354.0
-802;901.0;-254.0;481.0;-379.0;-265;383;3;952.0;73;26.0;358.0
-799;901.0;-246.0;490.0;-364.0;-271;382;-3;958.0;74;34.0;372.0
-804;908.0;-240.0;485.0;-382.0;-272;378;-4;926.0;71;-20.0;350.0
-804;914.0;-252.0;467.0;-390.0;-272;380;-4;938.0;71;-141.0;373.0
-799;905.0;-262.0;477.0;-383.0;-269;384;1;954.0;74;15.0;355.0
-799;915.0;-260.0;500.0;-368.0;-269;383;1;936.0;74;8.0;364.0
-800;892.0;-233.0;481.0;-387.0;-269;387;3;937.0;72;-42.0;364.0
-803;912.0;-219.0;471.0;-392.0;-271;386;1;945.0;69;-89.0;368.0
-775;941.0;-179.0;424.0;-122.0;-268;418;5;1018.0;79;-33.0;324.0
-780;952.0;-179.0;430.0;-88.0;-272;413;1;1005.0;77;-283.0;345.0
-778;888.0;-199.0;414.0;-96.0;-187;451;74;992.0;88;-204.0;269.0
-815;877.0;-259.0;571.0;-324.0;-236;381;15;920.0;70;-351.0;391.0
-804;529.0;55.0;834.0;-305.0;-233;350;-9;840.0;94;-504.0;183.0
-815;436.0;25.0;962.0;-410.0;-265;360;-6;933.0;71;30.0;260.0
-823;468.0;37.0;933.0;-324.0;-263;363;-11;937.0;63;-4.0;237.0
-815;480.0;36.0;937.0;-410.0;-268;368;4;927.0;66;188.0;235.0
-812;387.0;12.0;980.0;-382.0;-278;367;1;928.0;67;50.0;270.0
-800;320.0;49.0;981.0;-344.0;-291;370;-126;971.0;83;-327.0;320.0
-616;463.0;-135.0;961.0;-472.0;-394;406;-277;919.0;215;34.0;665.0
-719;525.0;-60.0;883.0;-477.0;-306;392;-216;869.0;157;215.0;475.0
-785;530.0;-80.0;944.0;-510.0;-213;454;-3;898.0;70;377.0;384.0
-787;497.0;-117.0;931.0;-520.0;-206;432;-1;867.0;80;350.0;385.0
-761;396.0;-171.0;937.0;-497.0;-288;442;-64;887.0;77;116.0;382.0
-782;491.0;-139.0;905.0;-503.0;-255;433;-28;841.0;70;28.0;370.0
-799;547.0;-74.0;975.0;-565.0;-246;412;-10;893.0;69;94.0;394.0
-774;538.0;-26.0;886.0;-581.0;-260;424;-17;821.0;80;-175.0;294.0
-778;531.0;-62.0;894.0;-608.0;-243;426;0;800.0;80;-123.0;314.0
-775;497.0;-57.0;948.0;-647.0;-244;441;2;786.0;76;-110.0;302.0
-760;464.0;-77.0;933.0;-649.0;-251;445;-6;798.0;84;-53.0;332.0
-750;514.0;-31.0;894.0;-697.0;-243;469;3;705.0;84;14.0;297.0
-744;490.0;-34.0;930.0;-689.0;-258;470;-7;717.0;83;146.0;302.0
-792;507.0;-76.0;917.0;-606.0;-250;414;-2;823.0;72;-160.0;321.0
-822;507.0;-50.0;915.0;-613.0;-231;371;8;825.0;69;-138.0;318.0
-819;502.0;-62.0;930.0;-580.0;-250;367;-4;828.0;68;-345.0;306.0
-815;516.0;-40.0;912.0;-598.0;-248;373;-7;835.0;70;-106.0;302.0
-787;536.0;-54.0;903.0;-617.0;-249;424;2;804.0;73;422.0;271.0
-782;473.0;-77.0;928.0;-593.0;-238;422;2;792.0;80;400.0;299.0
-776;496.0;-70.0;923.0;-634.0;-247;423;6;768.0;82;-90.0;312.0
