InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;Accelerometer RKN^ accY;Accelerometer HIP accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit RLA gyroY;Accelerometer RKN_ accX
-836;248.0;83.0;?;-93.0;-240;352;?;1003.0;62;?;193.0
-835;351.0;-46.0;985.0;-115.0;-241;358;-5;996.0;60;1184.0;367.0
-832;377.0;-129.0;908.0;?;-235;343;?;966.0;?;?;421.0
-827;267.0;-149.0;1004.0;-122.0;-238;338;?;1009.0;75;956.0;403.0
-830;160.0;?;1034.0;-66.0;-235;?;5;1039.0;74;172.0;294.0
-829;185.0;-30.0;1042.0;-30.0;-237;340;7;999.0;74;-141.0;284.0
-827;281.0;6.0;968.0;-66.0;-244;352;?;?;69;?;?
-833;?;9.0;988.0;-101.0;-238;351;3;1051.0;65;?;274.0
-842;?;?;971.0;-58.0;-230;347;-1;975.0;60;-112.0;291.0
-835;387.0;-87.0;977.0;-110.0;-238;?;2;1034.0;62;?;297.0
-829;311.0;-133.0;981.0;-36.0;-247;?;10;?;?;?;278.0
-836;317.0;-85.0;978.0;-33.0;-237;349;3;983.0;64;-242.0;446.0
-837;195.0;-78.0;1013.0;?;-228;354;-7;1041.0;63;-322.0;498.0
-836;?;?;1052.0;?;-235;352;0;1013.0;62;-536.0;334.0
-830;310.0;-23.0;?;-86.0;-231;?;-2;1003.0;70;-799.0;361.0
-830;318.0;-63.0;1005.0;-95.0;?;350;?;?;71;-1239.0;413.0
-832;297.0;-79.0;982.0;-109.0;-242;360;0;?;?;-1499.0;343.0
?;317.0;?;1011.0;?;-252;363;5;1043.0;66;-1767.0;284.0
?;295.0;-109.0;1000.0;-59.0;-244;350;?;1139.0;72;-1832.0;379.0
?;296.0;?;987.0;-173.0;-246;?;6;1254.0;68;-2194.0;444.0
-826;268.0;-112.0;1004.0;-231.0;-249;?;7;?;66;-2833.0;374.0
-823;261.0;-91.0;1036.0;-62.0;-248;359;5;1203.0;68;-3721.0;353.0
-818;?;-79.0;1009.0;103.0;-249;366;0;1045.0;70;-4176.0;338.0
-822;276.0;-88.0;1013.0;35.0;?;365;?;684.0;68;?;352.0
?;311.0;-125.0;980.0;?;-245;?;1;871.0;65;-4445.0;?
-822;342.0;?;?;-113.0;?;361;-1;818.0;70;-4464.0;450.0
-820;292.0;-142.0;1018.0;-168.0;?;361;7;?;69;?;?
-817;260.0;-166.0;1009.0;-203.0;?;365;6;1001.0;70;?;439.0
-819;201.0;-176.0;1046.0;?;-233;369;-13;902.0;73;-3749.0;394.0
-827;171.0;-137.0;?;?;-230;?;-13;1030.0;66;-3268.0;437.0
-822;165.0;-67.0;1047.0;?;?;?;3;1004.0;68;-2757.0;360.0
-828;197.0;-60.0;1052.0;-107.0;?;?;8;1003.0;?;-2024.0;363.0
-835;198.0;?;?;-107.0;?;353;4;1000.0;61;-1254.0;?
-828;300.0;-89.0;991.0;-109.0;-246;359;5;?;64;-673.0;349.0
-820;279.0;?;1040.0;-139.0;-236;358;0;?;75;91.0;363.0
-827;201.0;-84.0;1029.0;-146.0;-234;354;0;1003.0;70;86.0;326.0
-836;197.0;-84.0;1019.0;-126.0;-233;?;?;?;61;154.0;350.0
-821;208.0;-88.0;1026.0;-148.0;-248;360;8;998.0;69;329.0;?
-818;179.0;-86.0;1022.0;-161.0;-253;357;?;994.0;72;337.0;?
-825;188.0;-73.0;1041.0;-139.0;?;363;?;?;66;290.0;?
-822;158.0;?;1041.0;?;?;362;7;979.0;68;463.0;341.0
?;179.0;-77.0;1027.0;-99.0;-248;358;8;1032.0;71;756.0;371.0
?;166.0;-92.0;1016.0;-128.0;?;?;?;1053.0;68;920.0;373.0
-827;183.0;-91.0;1039.0;?;-244;360;3;1060.0;66;1022.0;354.0
-824;169.0;-85.0;1036.0;-54.0;?;355;8;1032.0;69;1226.0;337.0
-823;164.0;-37.0;?;?;-239;361;-2;1017.0;70;1234.0;341.0
?;204.0;-103.0;989.0;?;-249;360;?;982.0;63;983.0;332.0
-830;193.0;-46.0;1030.0;?;-246;?;?;1018.0;64;804.0;353.0
?;178.0;-60.0;1020.0;-71.0;?;356;?;?;64;327.0;349.0
?;199.0;?;?;-83.0;-239;358;-1;974.0;66;-277.0;344.0
?;194.0;-72.0;1037.0;-94.0;-234;360;-5;1068.0;68;-685.0;353.0
?;203.0;-74.0;1035.0;?;-240;367;-4;1074.0;55;-1054.0;367.0
-838;170.0;?;1043.0;-89.0;-241;370;-5;992.0;53;-1598.0;381.0
-835;195.0;-54.0;?;-76.0;-237;351;?;992.0;64;-1933.0;?
-839;180.0;-49.0;1022.0;-112.0;-239;340;10;1042.0;64;-2052.0;357.0
?;188.0;?;1021.0;-93.0;-248;347;?;1035.0;?;-2107.0;351.0
?;196.0;-75.0;?;-121.0;-249;344;15;994.0;69;-1782.0;350.0
?;177.0;-80.0;1052.0;-146.0;-241;347;5;?;63;-1216.0;355.0
-831;?;-61.0;1041.0;-167.0;-244;352;3;1024.0;66;-795.0;362.0
?;219.0;?;1013.0;-137.0;?;344;13;1032.0;?;-282.0;373.0
-837;215.0;-49.0;1044.0;-145.0;-244;348;3;980.0;61;3.0;371.0
-837;?;?;1003.0;?;-231;?;?;?;61;-20.0;340.0
-837;247.0;-74.0;1016.0;-101.0;-236;355;-8;1007.0;61;?;314.0
?;?;-96.0;?;-79.0;?;355;-2;1016.0;62;-70.0;328.0
-840;?;-101.0;?;-66.0;-246;?;4;1008.0;59;20.0;358.0
?;?;-97.0;?;-38.0;-248;343;7;?;66;?;344.0
-832;162.0;-67.0;1031.0;-53.0;-241;?;?;1040.0;66;393.0;300.0
-836;?;-65.0;?;-80.0;-234;342;?;975.0;67;371.0;348.0
-832;233.0;-75.0;999.0;?;-241;337;?;1006.0;71;304.0;?
-834;248.0;-101.0;?;?;-239;?;?;1022.0;?;155.0;371.0
?;278.0;?;1037.0;-145.0;-245;359;-1;1020.0;68;91.0;346.0
-826;?;-87.0;1018.0;-139.0;-240;360;-6;?;67;48.0;332.0
-827;209.0;-76.0;1033.0;-164.0;-239;359;-6;?;67;125.0;375.0
-826;204.0;?;1031.0;-158.0;-256;354;?;997.0;?;114.0;401.0
-823;218.0;-73.0;1025.0;-153.0;-262;356;12;981.0;66;220.0;345.0
-825;207.0;?;1051.0;-167.0;-245;?;-4;1008.0;?;319.0;359.0
-829;238.0;?;1016.0;-147.0;-243;?;-6;?;65;131.0;377.0
-835;?;?;1035.0;-116.0;-242;356;?;962.0;60;279.0;353.0
-829;204.0;-66.0;?;-81.0;?;355;-5;979.0;66;528.0;321.0
-818;265.0;-41.0;1020.0;-74.0;-250;358;-1;1046.0;72;?;351.0
?;247.0;-64.0;1001.0;?;-248;357;?;1077.0;?;318.0;345.0
-829;247.0;?;?;-78.0;-244;355;-4;1022.0;?;?;361.0
-828;?;-60.0;1017.0;-21.0;-245;?;-4;1014.0;65;355.0;346.0
?;225.0;-71.0;1017.0;-58.0;?;354;2;952.0;?;86.0;363.0
-821;220.0;-59.0;1040.0;0.0;-256;349;8;966.0;?;?;353.0
-827;245.0;-49.0;1013.0;-43.0;-252;?;2;1035.0;65;-475.0;347.0
-831;245.0;?;1026.0;?;-248;?;-3;1035.0;62;-1192.0;364.0
-828;249.0;-29.0;?;-90.0;-248;352;?;1107.0;67;-1874.0;348.0
-826;?;-19.0;1024.0;-144.0;-249;?;?;1046.0;?;-2192.0;350.0
-829;261.0;-53.0;1013.0;-164.0;?;353;-2;?;65;?;346.0
?;257.0;-40.0;1002.0;-170.0;?;?;-7;1061.0;63;?;342.0
-833;232.0;?;1020.0;-120.0;-239;354;-6;?;64;-2321.0;354.0
-831;220.0;-64.0;1026.0;-127.0;-250;353;3;1005.0;63;-1784.0;361.0
-830;210.0;-36.0;?;-119.0;-256;353;7;1027.0;63;?;350.0
-826;223.0;-35.0;1023.0;-124.0;?;348;4;1020.0;?;-756.0;362.0
-823;?;-89.0;1001.0;-82.0;-253;347;7;1007.0;71;-500.0;?
-828;?;-36.0;?;-96.0;-264;351;12;961.0;?;-270.0;321.0
-831;211.0;-6.0;?;?;?;351;6;1032.0;63;-177.0;332.0
?;241.0;-39.0;984.0;-123.0;?;349;1;994.0;71;-15.0;?
-825;?;?;1011.0;-117.0;?;349;1;1009.0;71;-7.0;327.0
-825;241.0;-52.0;1016.0;?;-243;349;-3;1006.0;?;?;317.0
-826;?;?;1023.0;-129.0;-245;351;-3;1006.0;?;-31.0;324.0
-828;245.0;-47.0;1000.0;-136.0;-247;357;?;?;65;30.0;364.0
-831;?;-81.0;1010.0;-127.0;?;353;-8;1009.0;65;220.0;352.0
-821;207.0;?;1022.0;-112.0;-265;354;?;983.0;68;441.0;349.0
?;200.0;-64.0;1019.0;-85.0;-277;359;12;1003.0;75;?;319.0
-828;265.0;-63.0;1023.0;-154.0;-251;348;5;1010.0;68;-115.0;359.0
?;237.0;-32.0;1058.0;-142.0;-246;349;?;1009.0;70;-114.0;313.0
-823;241.0;?;1003.0;-150.0;-255;353;5;1023.0;68;-53.0;300.0
-829;255.0;-81.0;?;-160.0;-249;352;0;1016.0;65;-75.0;327.0
-833;213.0;-78.0;1028.0;-137.0;-246;?;-3;?;63;?;335.0
-827;182.0;-38.0;1024.0;-147.0;-257;355;5;985.0;64;3.0;337.0
-827;181.0;?;1042.0;-150.0;?;355;5;967.0;64;-34.0;318.0
-827;218.0;-43.0;1019.0;-172.0;?;356;3;1020.0;64;?;309.0
-827;245.0;-48.0;1030.0;-111.0;-258;?;?;987.0;65;-124.0;351.0
-827;247.0;-40.0;1016.0;-105.0;-253;?;3;975.0;65;-129.0;324.0
?;240.0;-40.0;1017.0;-72.0;?;357;?;1064.0;63;-2.0;320.0
-829;249.0;-71.0;1007.0;?;-247;?;-2;1011.0;66;-96.0;334.0
-820;255.0;-67.0;998.0;-54.0;-251;?;0;1020.0;71;-180.0;?
-823;?;-69.0;1009.0;?;-258;?;?;?;68;-51.0;333.0
?;?;-43.0;1029.0;?;-253;344;7;1013.0;67;-1.0;320.0
-828;218.0;?;1021.0;-101.0;-246;349;-1;1033.0;68;-33.0;303.0
-823;248.0;-38.0;1001.0;-93.0;?;358;?;1002.0;68;-79.0;334.0
?;254.0;-59.0;1012.0;?;-250;?;?;1038.0;71;-533.0;320.0
-829;226.0;-41.0;?;-64.0;-246;?;-4;?;67;-990.0;318.0
-825;234.0;-19.0;1005.0;-111.0;-252;356;-1;1031.0;?;-1297.0;327.0
-825;263.0;-14.0;975.0;-137.0;-254;352;3;?;68;-1550.0;335.0
-830;?;?;1014.0;-118.0;-247;?;-3;1024.0;65;-1420.0;315.0
-824;251.0;-66.0;1047.0;-110.0;-247;352;-3;?;71;-1112.0;340.0
-826;223.0;?;1002.0;-171.0;-248;?;?;1020.0;71;-965.0;400.0
-830;196.0;-85.0;?;?;-246;353;-4;996.0;?;-906.0;394.0
-825;?;?;1058.0;-120.0;-253;350;?;999.0;69;?;370.0
-829;?;-34.0;1046.0;-136.0;-251;?;0;995.0;65;-469.0;329.0
?;175.0;-52.0;?;-96.0;?;?;-1;1037.0;61;-150.0;339.0
-828;243.0;-69.0;1001.0;-103.0;?;350;?;999.0;?;47.0;334.0
-830;263.0;?;1018.0;-90.0;-250;359;?;994.0;63;113.0;?
-832;210.0;-88.0;1021.0;-86.0;-249;353;?;1003.0;63;33.0;365.0
-827;228.0;-93.0;1041.0;-63.0;?;350;?;1012.0;69;67.0;384.0
?;197.0;-58.0;1031.0;?;?;354;-1;?;68;?;350.0
-825;199.0;-38.0;1041.0;?;-254;353;3;1022.0;67;368.0;344.0
-828;227.0;-80.0;1012.0;-157.0;?;?;?;1015.0;65;?;354.0
-826;265.0;-81.0;994.0;-132.0;-256;357;2;1007.0;65;474.0;362.0
-816;213.0;-82.0;1013.0;-127.0;?;?;0;994.0;75;428.0;346.0
-821;236.0;-86.0;1042.0;-193.0;-247;362;?;?;69;88.0;363.0
-827;171.0;-87.0;1000.0;-189.0;-248;?;-1;?;?;212.0;?
-829;?;-85.0;1038.0;-185.0;-246;?;?;?;64;214.0;382.0
-829;168.0;-81.0;1041.0;?;-240;357;-4;1000.0;?;-53.0;397.0
-832;177.0;-64.0;1052.0;?;-247;357;1;986.0;63;?;313.0
-825;173.0;-68.0;1055.0;-151.0;-247;354;?;980.0;?;-290.0;334.0
-817;235.0;-91.0;1019.0;-130.0;-247;355;2;964.0;75;?;336.0
-824;?;-60.0;1018.0;-58.0;-245;?;-5;?;65;-281.0;372.0
?;200.0;?;1012.0;?;-249;362;0;1058.0;65;-245.0;348.0
-821;?;-65.0;1019.0;-98.0;-249;360;2;1028.0;69;-97.0;380.0
-823;212.0;-68.0;1008.0;?;?;?;-3;?;?;29.0;339.0
?;190.0;-88.0;1014.0;-66.0;-260;349;16;1013.0;70;-48.0;345.0
-830;189.0;-47.0;1029.0;?;-259;?;12;1009.0;62;-284.0;338.0
-824;224.0;-63.0;?;-99.0;?;357;2;1028.0;67;-627.0;355.0
-814;242.0;-67.0;1024.0;?;-251;350;8;1013.0;79;-1009.0;338.0
-828;231.0;?;994.0;-143.0;?;353;-1;1049.0;69;-1273.0;325.0
-837;211.0;-50.0;1028.0;?;-240;361;-7;996.0;58;-1541.0;302.0
-838;223.0;-70.0;?;-136.0;-248;354;?;1054.0;57;-1668.0;368.0
-829;256.0;?;983.0;-143.0;-248;342;?;1000.0;69;-1907.0;?
?;?;?;?;-133.0;-252;345;?;1035.0;72;-1758.0;359.0
-828;187.0;?;1049.0;-122.0;-258;356;6;950.0;62;-1238.0;380.0
?;179.0;-82.0;1040.0;-152.0;-256;?;7;?;67;-696.0;383.0
-825;?;-101.0;1028.0;?;-249;343;?;1038.0;73;?;363.0
-829;192.0;-90.0;1038.0;-118.0;-244;353;-6;1006.0;67;-84.0;343.0
-828;?;-67.0;1041.0;-125.0;-247;352;?;?;67;-220.0;307.0
-825;231.0;-52.0;997.0;?;-248;350;-2;1006.0;70;?;309.0
-822;313.0;-74.0;989.0;-138.0;-246;?;-7;976.0;71;?;?
?;320.0;-89.0;?;-97.0;-246;?;-6;1024.0;70;?;371.0
?;?;?;1020.0;-80.0;-244;357;?;1013.0;64;72.0;359.0
-831;183.0;-138.0;1021.0;-85.0;?;357;-8;1023.0;?;-11.0;373.0
-830;158.0;-103.0;?;-56.0;-240;?;-12;1004.0;?;-50.0;373.0
-826;164.0;-80.0;1059.0;-78.0;-246;356;-5;1031.0;?;-51.0;329.0
-822;192.0;-71.0;1023.0;-90.0;-255;355;4;1010.0;69;-29.0;329.0
-823;216.0;?;1021.0;-130.0;-255;?;3;?;68;86.0;368.0
-823;237.0;?;?;-161.0;-255;355;?;?;68;?;386.0
-821;228.0;-76.0;?;?;-245;?;-7;1015.0;71;357.0;375.0
-813;?;-83.0;1021.0;-171.0;-251;364;-5;1025.0;74;380.0;334.0
-829;227.0;-96.0;1018.0;-203.0;-250;361;-2;996.0;?;-128.0;377.0
-828;154.0;-93.0;1030.0;-151.0;-249;361;?;1013.0;63;-90.0;336.0
-819;190.0;-106.0;1049.0;?;-253;363;-2;1007.0;69;-56.0;361.0
-827;?;-82.0;1046.0;?;-251;358;-1;1024.0;65;30.0;373.0
-825;161.0;-70.0;1013.0;-146.0;-249;352;1;?;69;?;336.0
-821;164.0;?;1037.0;-144.0;-247;?;-5;1001.0;70;?;?
?;216.0;-66.0;1032.0;?;-247;?;-4;?;?;59.0;326.0
-826;228.0;-89.0;?;-131.0;-249;350;3;991.0;68;-62.0;379.0
-825;234.0;-83.0;1023.0;-143.0;-250;353;?;992.0;68;?;349.0
-827;166.0;-60.0;1039.0;-119.0;-250;351;2;1043.0;67;?;345.0
-829;?;-71.0;1034.0;-139.0;?;352;0;1011.0;65;-411.0;318.0
-826;212.0;?;1047.0;-131.0;?;352;?;1025.0;68;-417.0;?
-824;?;-66.0;?;?;-249;352;0;1028.0;?;-256.0;324.0
-825;250.0;-90.0;1039.0;-105.0;-250;356;-2;991.0;?;-92.0;341.0
-825;212.0;-64.0;1007.0;?;-250;355;-1;973.0;68;?;327.0
-825;191.0;?;1028.0;-88.0;-250;355;-1;1053.0;68;275.0;339.0
-825;195.0;-83.0;1033.0;?;-253;355;1;?;66;568.0;345.0
?;226.0;-60.0;1008.0;-73.0;-256;354;4;1044.0;67;856.0;324.0
-825;218.0;-70.0;1026.0;-95.0;-251;356;-1;1033.0;67;895.0;322.0
-821;?;-55.0;1018.0;-68.0;-252;357;0;1041.0;70;?;327.0
-824;206.0;-63.0;999.0;-78.0;-249;357;?;1019.0;68;911.0;333.0
-828;245.0;-71.0;1028.0;-50.0;-239;357;-8;1021.0;68;1162.0;325.0
?;210.0;-73.0;1022.0;-55.0;-246;354;0;999.0;77;1167.0;?
-823;208.0;-51.0;?;-82.0;?;353;1;?;71;1062.0;331.0
-831;220.0;-70.0;?;-81.0;-246;356;-1;?;63;1114.0;301.0
-824;247.0;-51.0;1010.0;?;-252;354;5;1021.0;69;1320.0;326.0
-828;237.0;-71.0;1012.0;-108.0;-244;353;?;1020.0;?;1441.0;337.0
-828;234.0;?;1023.0;?;-244;353;-2;998.0;68;1335.0;342.0
-825;217.0;-40.0;1034.0;-98.0;-248;354;1;993.0;69;1145.0;308.0
-825;233.0;-39.0;?;?;?;356;0;1003.0;67;?;318.0
-825;243.0;-27.0;996.0;-98.0;-250;357;0;1022.0;67;823.0;308.0
?;243.0;-41.0;1006.0;-80.0;-251;355;1;1024.0;65;851.0;?
-832;237.0;?;1016.0;?;-250;355;1;1006.0;62;1064.0;322.0
-830;232.0;-69.0;1016.0;-81.0;?;?;-1;1031.0;65;?;?
-824;216.0;?;1006.0;-83.0;-252;?;7;1018.0;70;1717.0;?
-822;?;?;1027.0;-59.0;-255;347;11;1035.0;71;1946.0;347.0
-823;?;?;1038.0;-68.0;-254;347;?;993.0;71;1977.0;333.0
-823;208.0;-81.0;1034.0;-59.0;-254;?;9;1034.0;?;1795.0;324.0
-824;199.0;?;992.0;-69.0;-255;347;10;1013.0;71;1514.0;?
?;199.0;-47.0;1031.0;-54.0;-255;346;11;1023.0;72;1297.0;?
-827;228.0;?;1030.0;?;?;?;?;1030.0;67;1115.0;327.0
-829;?;-60.0;1031.0;-71.0;?;350;-2;986.0;?;904.0;?
-829;?;?;1016.0;?;-247;345;4;1011.0;68;?;327.0
-832;?;-77.0;1015.0;-71.0;-246;352;?;1023.0;?;572.0;318.0
-830;198.0;-26.0;1033.0;-82.0;-248;351;0;1040.0;66;455.0;?
-823;?;-49.0;1026.0;?;-258;350;9;1019.0;?;377.0;324.0
-820;?;-75.0;1015.0;-77.0;-262;350;?;1013.0;70;252.0;319.0
-827;228.0;-59.0;1011.0;-88.0;-256;343;?;996.0;68;151.0;329.0
-828;222.0;-38.0;?;?;-251;349;4;985.0;67;113.0;323.0
-826;222.0;-41.0;1030.0;-78.0;?;357;-5;1006.0;67;?;314.0
?;237.0;?;1010.0;-70.0;-243;?;-8;1014.0;62;?;306.0
?;238.0;-54.0;1012.0;-65.0;-248;?;-5;1014.0;?;59.0;321.0
-829;231.0;-68.0;1017.0;-65.0;-253;360;0;1011.0;61;34.0;328.0
?;?;-53.0;?;-76.0;-246;365;?;1005.0;58;16.0;321.0
-816;228.0;-76.0;1001.0;?;-251;359;0;1035.0;74;-34.0;322.0
?;?;-63.0;1031.0;-81.0;-247;362;-5;1013.0;65;-23.0;345.0
-830;218.0;?;1019.0;?;-247;360;-4;?;?;?;319.0
-811;220.0;-40.0;1011.0;-90.0;-258;347;13;1015.0;79;-68.0;336.0
-876;223.0;-50.0;1012.0;?;-229;403;-46;1019.0;?;-45.0;336.0
-834;195.0;-52.0;1022.0;-116.0;-241;347;-3;1014.0;60;-26.0;335.0
-960;193.0;-56.0;1021.0;?;-228;507;-122;987.0;?;5.0;317.0
?;182.0;?;1031.0;-124.0;-222;?;-185;978.0;?;69.0;345.0
-834;223.0;-89.0;1009.0;-107.0;?;431;-31;974.0;-9;65.0;332.0
?;201.0;-90.0;1031.0;?;-452;596;?;1003.0;-128;67.0;322.0
-812;217.0;-65.0;1049.0;-128.0;?;205;11;1024.0;69;66.0;300.0
-714;222.0;-55.0;1026.0;-127.0;-420;-34;168;1023.0;203;71.0;317.0
?;?;-47.0;1011.0;-145.0;-408;130;?;1010.0;15;60.0;344.0
-780;235.0;?;1012.0;-182.0;-301;-153;91;967.0;170;89.0;353.0
-801;193.0;?;?;-140.0;-327;-107;53;950.0;137;63.0;385.0
?;170.0;-116.0;1058.0;-135.0;-360;-30;-10;970.0;40;?;391.0
-835;149.0;?;1041.0;-130.0;-369;-143;63;1002.0;?;96.0;393.0
-851;159.0;-75.0;1070.0;-130.0;-386;?;40;1062.0;54;107.0;323.0
-890;190.0;-51.0;1057.0;-128.0;-352;-152;-2;?;35;?;?
-858;239.0;-20.0;1025.0;-187.0;?;-172;20;1017.0;57;56.0;273.0
-825;291.0;-90.0;999.0;-185.0;?;-183;73;999.0;52;29.0;270.0
-863;339.0;-176.0;996.0;-178.0;-479;-165;?;964.0;?;-40.0;266.0
-848;?;?;?;-216.0;-437;-211;59;?;25;-71.0;422.0
?;?;-50.0;1033.0;?;-437;?;30;?;9;-112.0;405.0
-949;222.0;-91.0;?;-214.0;-453;-127;?;?;-62;-116.0;400.0
-897;276.0;?;1063.0;-253.0;-433;-145;-19;975.0;-5;-56.0;405.0
-832;171.0;-107.0;1057.0;-245.0;-443;-192;27;1005.0;?;-54.0;295.0
-968;?;-127.0;1018.0;?;?;?;7;964.0;-111;4.0;251.0
?;294.0;-147.0;982.0;-234.0;?;-238;46;947.0;234;-16.0;?
-1002;281.0;?;983.0;-241.0;-527;-188;94;946.0;-209;-39.0;311.0
-701;262.0;-90.0;980.0;-267.0;?;?;49;949.0;?;?;?
?;325.0;?;999.0;-264.0;?;-233;61;?;33;-20.0;252.0
-160;249.0;-72.0;992.0;?;-128;-1375;919;966.0;585;21.0;217.0
2375;?;-46.0;961.0;-267.0;631;-1969;1100;947.0;3617;36.0;197.0
-3506;348.0;?;952.0;-282.0;-974;3559;?;?;-3313;22.0;244.0
-4426;?;?;?;?;-1090;5603;-2826;967.0;-4861;?;?
?;374.0;-10.0;?;-252.0;812;?;?;959.0;?;42.0;198.0
-650;386.0;?;980.0;-241.0;24;267;-296;971.0;372;31.0;?
-1397;374.0;-47.0;974.0;?;-420;566;-241;974.0;-564;-13.0;231.0
-250;364.0;-17.0;979.0;-208.0;?;183;-21;946.0;686;-78.0;?
-794;314.0;?;989.0;-156.0;-317;-16;?;1013.0;151;17.0;?
-839;?;?;1028.0;?;-377;35;-91;981.0;88;?;253.0
-874;316.0;-101.0;?;-158.0;?;?;-109;989.0;34;?;245.0
?;289.0;-75.0;970.0;-141.0;-411;?;-58;?;?;92.0;240.0
-857;306.0;-87.0;991.0;-141.0;-464;-38;-51;?;24;29.0;?
?;285.0;-75.0;993.0;-144.0;?;-71;-67;?;47;6.0;286.0
?;271.0;?;1017.0;-135.0;-302;?;-175;1083.0;55;50.0;281.0
-928;325.0;-60.0;994.0;-147.0;-276;-114;?;1046.0;50;?;?
-891;329.0;-61.0;?;-191.0;-367;-136;-136;978.0;37;?;?
-865;?;-44.0;976.0;-177.0;-402;?;?;965.0;36;?;207.0
-863;305.0;?;991.0;-170.0;-410;?;-86;923.0;?;-42.0;350.0
-873;410.0;-131.0;970.0;-191.0;-432;?;?;?;22;-58.0;488.0
-862;235.0;-114.0;1064.0;-213.0;-378;-166;-126;1011.0;53;-61.0;?
-867;118.0;-135.0;1078.0;?;-350;?;?;1004.0;52;-96.0;?
-878;317.0;?;?;-235.0;-405;?;-124;986.0;25;?;272.0
-802;271.0;-70.0;?;-216.0;-426;-257;-36;985.0;58;-177.0;?
?;289.0;-62.0;?;-208.0;-468;-177;-81;966.0;10;-190.0;294.0
?;320.0;-78.0;993.0;-237.0;-477;-59;-192;985.0;-55;-210.0;275.0
-876;292.0;?;994.0;?;-443;-206;?;974.0;0;-230.0;318.0
-893;267.0;-141.0;?;-222.0;-469;-186;-85;974.0;-6;?;253.0
-954;306.0;-117.0;?;-233.0;-373;-70;?;948.0;-36;-178.0;227.0
-850;275.0;-82.0;?;-229.0;-526;-299;?;967.0;23;-63.0;239.0
?;271.0;-110.0;980.0;-230.0;?;-108;-125;964.0;70;-157.0;262.0
-853;?;-99.0;989.0;-212.0;-478;?;?;945.0;?;-136.0;298.0
-841;295.0;-59.0;1003.0;-206.0;-359;-206;?;?;95;?;264.0
-406;297.0;-90.0;989.0;?;212;-440;?;966.0;486;-42.0;?
163;?;-101.0;1013.0;?;-407;-1144;1001;994.0;1113;-15.0;225.0
231;307.0;-15.0;?;-206.0;1899;?;-3090;985.0;1387;?;?
200;?;17.0;1002.0;-200.0;2567;4003;?;1001.0;?;87.0;96.0
-69;387.0;?;938.0;-208.0;-672;-604;?;988.0;?;128.0;222.0
-765;423.0;-58.0;962.0;-213.0;-371;?;?;993.0;145;188.0;209.0
-885;287.0;?;955.0;-236.0;-22;668;-556;985.0;52;141.0;183.0
-795;418.0;-74.0;967.0;-216.0;?;-34;194;944.0;130;?;231.0
?;359.0;-57.0;971.0;-200.0;?;525;-371;920.0;70;110.0;219.0
-788;317.0;?;?;-163.0;-385;?;-7;868.0;96;64.0;169.0
-837;?;-77.0;964.0;?;-226;373;?;773.0;85;?;?
