Accelerometer HIP accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit BACK magneticX;Accelerometer RUA_ accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;Accelerometer BACK accZ;Accelerometer BACK accX
20.0;149.0;632.0;316.0;-54.0;978.0;435.0;-47.0;87.0;-310.0;96.0
67.0;214.0;?;277.0;-49.0;966.0;?;-32.0;157.0;?;?
42.0;?;?;241.0;-66.0;974.0;397.0;65.0;?;-309.0;?
8.0;?;630.0;217.0;-53.0;983.0;484.0;?;17.0;-295.0;103.0
23.0;536.0;630.0;219.0;-65.0;960.0;372.0;142.0;-156.0;-317.0;89.0
21.0;638.0;630.0;93.0;-71.0;947.0;298.0;165.0;-320.0;-316.0;87.0
?;739.0;631.0;-42.0;-3.0;952.0;292.0;118.0;?;-340.0;?
?;571.0;632.0;-64.0;-76.0;950.0;?;180.0;-485.0;-312.0;95.0
?;659.0;633.0;?;-85.0;944.0;551.0;234.0;-484.0;-338.0;?
51.0;662.0;636.0;-30.0;-106.0;958.0;?;359.0;-552.0;-256.0;67.0
25.0;733.0;639.0;?;-156.0;1075.0;375.0;603.0;-244.0;?;77.0
126.0;862.0;638.0;50.0;?;?;62.0;496.0;?;-263.0;133.0
?;605.0;?;-99.0;-122.0;1055.0;-116.0;403.0;-375.0;-252.0;206.0
133.0;264.0;624.0;-89.0;-26.0;1000.0;?;189.0;?;-221.0;40.0
13.0;165.0;621.0;?;-115.0;?;360.0;?;-351.0;-151.0;-54.0
159.0;?;623.0;189.0;?;949.0;487.0;-99.0;-130.0;-26.0;94.0
131.0;158.0;620.0;10.0;?;872.0;?;-87.0;-105.0;-107.0;132.0
15.0;231.0;626.0;182.0;?;902.0;146.0;-125.0;?;-21.0;?
101.0;167.0;631.0;-102.0;-7.0;?;-103.0;-39.0;-125.0;-4.0;?
12.0;-353.0;643.0;?;-86.0;1036.0;-98.0;282.0;-241.0;-50.0;-13.0
62.0;-456.0;652.0;?;-200.0;?;?;?;-218.0;-38.0;-4.0
?;-557.0;660.0;?;?;973.0;-210.0;113.0;341.0;-90.0;-5.0
39.0;?;665.0;-354.0;22.0;?;-79.0;129.0;1295.0;?;45.0
33.0;-554.0;671.0;-303.0;?;1080.0;-167.0;38.0;1313.0;?;60.0
38.0;-326.0;672.0;-340.0;?;1041.0;-238.0;?;?;-52.0;58.0
?;441.0;736.0;-320.0;-292.0;998.0;?;-42.0;-538.0;83.0;-28.0
83.0;425.0;737.0;?;?;992.0;-219.0;-10.0;-406.0;88.0;-31.0
63.0;?;738.0;-391.0;-306.0;?;-232.0;88.0;-411.0;31.0;-26.0
85.0;749.0;739.0;?;-295.0;1034.0;-218.0;?;-398.0;69.0;-26.0
55.0;879.0;736.0;-342.0;-264.0;1002.0;?;201.0;?;?;-14.0
81.0;943.0;727.0;-390.0;-220.0;982.0;-216.0;215.0;?;?;-25.0
?;904.0;719.0;-465.0;?;979.0;-178.0;?;-966.0;?;-30.0
91.0;?;712.0;-403.0;-275.0;1017.0;?;126.0;?;90.0;0.0
101.0;639.0;698.0;?;-258.0;1016.0;-168.0;21.0;-938.0;61.0;-20.0
93.0;562.0;?;-294.0;?;?;-154.0;-62.0;-700.0;63.0;9.0
133.0;498.0;675.0;-236.0;-295.0;1048.0;?;-58.0;-715.0;24.0;31.0
103.0;520.0;671.0;-186.0;-275.0;1024.0;?;-142.0;-749.0;65.0;17.0
93.0;439.0;671.0;-144.0;-174.0;?;-24.0;-260.0;-567.0;114.0;32.0
69.0;?;671.0;-96.0;-164.0;1068.0;78.0;-186.0;?;69.0;?
69.0;?;671.0;?;-186.0;1078.0;?;-292.0;-609.0;?;1.0
55.0;316.0;670.0;31.0;-58.0;?;220.0;-318.0;?;?;24.0
50.0;?;670.0;?;-19.0;935.0;459.0;-338.0;-347.0;-126.0;23.0
50.0;58.0;670.0;177.0;-131.0;1006.0;614.0;-379.0;-229.0;-104.0;?
64.0;-94.0;674.0;221.0;-62.0;994.0;?;-278.0;?;-127.0;56.0
110.0;?;676.0;438.0;?;966.0;971.0;-88.0;-216.0;?;40.0
86.0;?;?;?;-38.0;979.0;843.0;-42.0;?;-261.0;43.0
113.0;-557.0;684.0;503.0;?;1017.0;793.0;-215.0;397.0;?;100.0
43.0;-737.0;683.0;513.0;43.0;1008.0;798.0;-229.0;761.0;-110.0;184.0
17.0;?;682.0;510.0;1.0;1016.0;711.0;-331.0;1500.0;-190.0;37.0
80.0;-581.0;680.0;?;-81.0;949.0;755.0;-351.0;?;-167.0;65.0
?;-461.0;676.0;663.0;?;964.0;797.0;?;?;?;144.0
?;-258.0;674.0;666.0;-28.0;973.0;?;-202.0;?;?;136.0
84.0;-182.0;673.0;484.0;-32.0;1005.0;587.0;-108.0;728.0;?;?
?;-101.0;673.0;490.0;-46.0;1018.0;512.0;-50.0;603.0;-56.0;122.0
?;-70.0;673.0;?;-74.0;1012.0;?;-39.0;467.0;-69.0;118.0
104.0;-94.0;674.0;377.0;?;1030.0;468.0;-64.0;?;?;67.0
?;?;674.0;371.0;?;?;497.0;-89.0;255.0;?;?
124.0;-219.0;672.0;387.0;-44.0;978.0;517.0;-93.0;252.0;-111.0;122.0
100.0;-303.0;670.0;428.0;-43.0;973.0;522.0;?;379.0;-99.0;99.0
106.0;-335.0;672.0;470.0;-34.0;992.0;561.0;-172.0;505.0;-134.0;95.0
85.0;-358.0;672.0;501.0;-18.0;1017.0;616.0;?;603.0;?;112.0
52.0;?;705.0;-219.0;-340.0;?;-155.0;-85.0;-476.0;29.0;-2.0
54.0;335.0;705.0;-224.0;-336.0;998.0;-142.0;-71.0;-422.0;15.0;15.0
71.0;320.0;707.0;?;-339.0;?;-136.0;-63.0;-398.0;7.0;-21.0
?;356.0;708.0;-227.0;-318.0;984.0;-113.0;12.0;-456.0;-11.0;-18.0
8.0;446.0;707.0;-193.0;-301.0;1006.0;-108.0;125.0;-411.0;?;-43.0
70.0;593.0;710.0;-235.0;-280.0;1051.0;-205.0;259.0;?;4.0;-10.0
36.0;791.0;705.0;-261.0;-277.0;971.0;-204.0;384.0;?;?;-6.0
59.0;951.0;?;?;-203.0;976.0;-145.0;391.0;-566.0;84.0;-16.0
81.0;947.0;691.0;-340.0;-346.0;1023.0;-190.0;280.0;-812.0;72.0;?
54.0;?;673.0;-339.0;-345.0;1027.0;-160.0;164.0;?;85.0;20.0
63.0;953.0;653.0;-318.0;-204.0;?;96.0;?;-1066.0;84.0;-1.0
?;880.0;?;?;?;?;182.0;-60.0;?;21.0;67.0
140.0;693.0;636.0;?;?;?;158.0;-109.0;?;?;-20.0
160.0;?;633.0;133.0;?;1040.0;352.0;-285.0;-919.0;72.0;38.0
?;255.0;634.0;339.0;-155.0;1014.0;704.0;-369.0;?;42.0;26.0
93.0;81.0;636.0;517.0;-90.0;1040.0;948.0;-316.0;-469.0;-60.0;3.0
?;40.0;642.0;?;-74.0;1032.0;1236.0;-395.0;-82.0;-135.0;36.0
32.0;-240.0;646.0;894.0;57.0;945.0;1496.0;-416.0;128.0;-150.0;21.0
118.0;-390.0;651.0;1056.0;?;1032.0;1373.0;-215.0;391.0;-158.0;197.0
103.0;-474.0;657.0;999.0;-20.0;982.0;1232.0;-256.0;643.0;-175.0;?
?;-737.0;662.0;835.0;48.0;950.0;1097.0;?;972.0;-201.0;?
66.0;-802.0;665.0;?;-39.0;976.0;961.0;?;?;-225.0;114.0
79.0;-799.0;668.0;757.0;90.0;?;913.0;?;1074.0;-192.0;157.0
42.0;-813.0;668.0;789.0;?;1019.0;788.0;-63.0;1729.0;-207.0;?
24.0;?;664.0;724.0;12.0;959.0;661.0;-82.0;1172.0;?;109.0
?;-197.0;661.0;612.0;?;955.0;?;?;1323.0;-48.0;178.0
?;-134.0;661.0;502.0;-87.0;?;571.0;-120.0;857.0;-21.0;?
?;-34.0;660.0;503.0;-96.0;1008.0;602.0;-18.0;330.0;-71.0;?
65.0;?;659.0;519.0;1.0;1015.0;564.0;30.0;66.0;?;135.0
78.0;?;?;467.0;?;965.0;564.0;52.0;309.0;?;136.0
?;-43.0;?;479.0;-21.0;973.0;519.0;-8.0;137.0;-95.0;162.0
63.0;-123.0;662.0;449.0;?;963.0;?;-64.0;?;?;165.0
90.0;-292.0;664.0;495.0;?;949.0;591.0;-102.0;161.0;-188.0;145.0
66.0;-458.0;665.0;557.0;?;1021.0;717.0;-159.0;?;-228.0;142.0
?;-675.0;666.0;?;?;1067.0;798.0;-299.0;402.0;-242.0;94.0
82.0;-888.0;?;?;?;?;?;?;778.0;-189.0;145.0
?;461.0;700.0;-235.0;-207.0;1008.0;-81.0;?;-218.0;-10.0;0.0
20.0;453.0;700.0;-194.0;-196.0;999.0;-84.0;74.0;-242.0;2.0;11.0
61.0;443.0;701.0;?;-206.0;1027.0;-78.0;104.0;-300.0;16.0;18.0
24.0;452.0;?;-192.0;-206.0;1001.0;-82.0;103.0;-280.0;-10.0;8.0
29.0;?;700.0;?;-198.0;1006.0;-87.0;113.0;-312.0;2.0;?
?;559.0;701.0;-231.0;-183.0;1023.0;-92.0;198.0;?;36.0;34.0
41.0;809.0;700.0;-237.0;-191.0;986.0;-84.0;?;-270.0;?;57.0
39.0;958.0;699.0;-227.0;-201.0;998.0;-107.0;328.0;-434.0;?;22.0
?;950.0;695.0;-267.0;-164.0;?;?;424.0;-715.0;39.0;17.0
?;866.0;690.0;-263.0;-202.0;994.0;?;378.0;-980.0;54.0;56.0
50.0;963.0;686.0;-243.0;-236.0;?;-143.0;345.0;-914.0;85.0;24.0
72.0;928.0;?;-202.0;-232.0;988.0;-100.0;144.0;?;87.0;65.0
60.0;690.0;666.0;-72.0;-193.0;1007.0;71.0;26.0;?;-4.0;33.0
74.0;?;?;97.0;-154.0;1055.0;242.0;-103.0;-994.0;29.0;70.0
52.0;509.0;655.0;238.0;-163.0;1092.0;454.0;-277.0;-1039.0;93.0;35.0
109.0;284.0;653.0;392.0;-207.0;1048.0;826.0;-487.0;-818.0;-5.0;73.0
25.0;-44.0;654.0;554.0;-67.0;1037.0;?;-443.0;?;?;57.0
?;-216.0;654.0;619.0;13.0;1062.0;1234.0;?;-478.0;-172.0;119.0
25.0;-638.0;655.0;825.0;-37.0;1044.0;1462.0;-456.0;128.0;-115.0;?
102.0;-843.0;655.0;1020.0;-84.0;1005.0;1561.0;-274.0;849.0;-133.0;?
67.0;?;653.0;?;-3.0;1025.0;1373.0;-109.0;1036.0;-308.0;96.0
?;-996.0;?;?;162.0;909.0;1178.0;?;1264.0;-332.0;25.0
1.0;-942.0;649.0;659.0;94.0;806.0;1017.0;-176.0;1435.0;?;120.0
56.0;-712.0;643.0;675.0;145.0;941.0;870.0;?;1678.0;-85.0;246.0
57.0;?;641.0;?;-153.0;910.0;?;-360.0;1271.0;-111.0;211.0
69.0;-366.0;640.0;491.0;-159.0;?;544.0;?;?;-131.0;125.0
74.0;?;641.0;?;-50.0;1011.0;?;21.0;724.0;-122.0;152.0
25.0;?;639.0;?;92.0;1004.0;630.0;85.0;758.0;-82.0;105.0
?;41.0;?;386.0;42.0;1017.0;?;5.0;666.0;-91.0;123.0
63.0;156.0;?;287.0;-30.0;992.0;385.0;34.0;554.0;-40.0;117.0
73.0;177.0;640.0;188.0;-27.0;1005.0;263.0;38.0;53.0;?;107.0
69.0;116.0;?;?;-51.0;999.0;?;14.0;-16.0;-109.0;96.0
76.0;-36.0;640.0;146.0;-30.0;990.0;?;7.0;-151.0;-132.0;106.0
47.0;-208.0;640.0;?;10.0;995.0;587.0;-100.0;20.0;-180.0;128.0
53.0;-416.0;641.0;442.0;?;970.0;679.0;-197.0;261.0;-183.0;155.0
65.0;-530.0;642.0;483.0;56.0;993.0;710.0;-207.0;485.0;-199.0;?
40.0;-594.0;643.0;534.0;34.0;985.0;811.0;-285.0;723.0;?;144.0
0.0;?;705.0;?;-209.0;1011.0;-20.0;?;?;-47.0;56.0
3.0;509.0;703.0;-114.0;-198.0;1014.0;-25.0;139.0;-162.0;-50.0;49.0
-10.0;555.0;700.0;-134.0;-198.0;1035.0;-29.0;153.0;-215.0;-41.0;40.0
?;621.0;695.0;?;?;1008.0;-40.0;?;-252.0;-30.0;0.0
10.0;695.0;689.0;-144.0;?;990.0;-48.0;192.0;-335.0;-8.0;40.0
47.0;?;686.0;?;?;1006.0;?;262.0;?;-3.0;?
35.0;730.0;677.0;-134.0;-196.0;?;55.0;256.0;-607.0;12.0;40.0
30.0;705.0;671.0;-138.0;-175.0;992.0;-78.0;275.0;-661.0;43.0;34.0
20.0;635.0;663.0;-232.0;-235.0;1012.0;-69.0;312.0;-632.0;10.0;36.0
77.0;622.0;?;-125.0;-217.0;999.0;-31.0;241.0;?;31.0;79.0
91.0;586.0;?;-60.0;-248.0;1032.0;43.0;114.0;-551.0;29.0;?
39.0;461.0;?;-17.0;-160.0;1049.0;158.0;22.0;-573.0;77.0;57.0
?;345.0;652.0;?;?;1056.0;412.0;-126.0;-572.0;51.0;19.0
-10.0;295.0;650.0;?;-249.0;1066.0;727.0;-316.0;-470.0;77.0;35.0
-39.0;4.0;?;511.0;-115.0;1141.0;933.0;-434.0;-452.0;60.0;88.0
6.0;?;657.0;?;51.0;1053.0;1092.0;-477.0;-398.0;-114.0;?
20.0;-247.0;662.0;?;-52.0;904.0;1166.0;-576.0;?;-208.0;92.0
?;-642.0;666.0;752.0;?;892.0;1225.0;-405.0;43.0;-159.0;?
20.0;-1120.0;673.0;807.0;?;?;1318.0;?;309.0;-156.0;81.0
8.0;?;677.0;894.0;97.0;1073.0;1167.0;-11.0;?;-290.0;164.0
32.0;-1372.0;676.0;793.0;85.0;?;1057.0;?;1762.0;-202.0;225.0
32.0;-1294.0;668.0;813.0;179.0;946.0;897.0;?;2370.0;-145.0;?
-28.0;-833.0;665.0;?;146.0;878.0;780.0;-465.0;1949.0;?;143.0
43.0;-459.0;662.0;?;?;970.0;649.0;-334.0;1742.0;-40.0;186.0
56.0;-230.0;661.0;?;-210.0;?;617.0;-140.0;?;-22.0;?
?;?;660.0;?;-88.0;1036.0;?;-8.0;974.0;?;?
-10.0;-28.0;660.0;?;-43.0;1033.0;460.0;78.0;647.0;-27.0;110.0
62.0;-7.0;659.0;360.0;-42.0;1013.0;?;69.0;491.0;-39.0;96.0
?;63.0;658.0;441.0;?;1021.0;493.0;?;455.0;-37.0;?
?;50.0;660.0;328.0;-33.0;1041.0;396.0;29.0;228.0;-47.0;127.0
55.0;54.0;659.0;275.0;-31.0;1015.0;371.0;44.0;173.0;?;110.0
42.0;?;658.0;?;-30.0;997.0;357.0;34.0;190.0;-74.0;111.0
56.0;?;659.0;265.0;-10.0;986.0;384.0;?;173.0;-89.0;133.0
49.0;?;?;313.0;20.0;?;427.0;-19.0;184.0;-117.0;143.0
7.0;-210.0;661.0;325.0;9.0;979.0;525.0;-53.0;281.0;-149.0;144.0
19.0;-446.0;662.0;405.0;22.0;949.0;680.0;?;346.0;-212.0;145.0
?;-646.0;?;?;34.0;904.0;829.0;-237.0;614.0;?;175.0
-29.0;513.0;683.0;?;-215.0;1018.0;54.0;121.0;-313.0;10.0;?
-11.0;?;682.0;-34.0;?;1002.0;?;125.0;-364.0;-16.0;31.0
-47.0;491.0;?;-19.0;-215.0;1002.0;69.0;161.0;-233.0;32.0;39.0
-26.0;504.0;684.0;1.0;-216.0;1017.0;69.0;163.0;?;?;39.0
?;?;681.0;-15.0;-214.0;993.0;110.0;139.0;?;-2.0;37.0
-6.0;534.0;683.0;42.0;-200.0;996.0;105.0;151.0;-245.0;-9.0;39.0
14.0;576.0;677.0;13.0;?;?;75.0;220.0;-313.0;0.0;-10.0
7.0;?;?;-13.0;-184.0;998.0;48.0;209.0;-368.0;-20.0;49.0
?;?;668.0;-8.0;?;1016.0;25.0;257.0;?;6.0;1.0
-14.0;689.0;?;-77.0;-180.0;981.0;?;?;-516.0;18.0;43.0
?;699.0;655.0;-65.0;-176.0;1002.0;13.0;227.0;-682.0;23.0;?
31.0;?;650.0;-19.0;-186.0;1019.0;33.0;132.0;-683.0;-21.0;19.0
70.0;486.0;642.0;?;-130.0;981.0;119.0;?;-569.0;18.0;70.0
?;491.0;640.0;100.0;-87.0;1022.0;?;149.0;?;23.0;33.0
89.0;529.0;638.0;170.0;?;1045.0;143.0;52.0;-502.0;-94.0;78.0
61.0;416.0;?;219.0;?;1022.0;195.0;-1.0;?;-25.0;?
102.0;317.0;634.0;260.0;?;?;304.0;15.0;-338.0;-41.0;?
77.0;303.0;635.0;303.0;-154.0;?;?;44.0;-592.0;-24.0;?
74.0;351.0;632.0;270.0;?;1040.0;292.0;?;-372.0;-86.0;46.0
?;276.0;632.0;349.0;-86.0;1017.0;518.0;-87.0;-347.0;-108.0;62.0
?;157.0;?;457.0;-20.0;980.0;676.0;-71.0;?;-147.0;?
93.0;?;627.0;516.0;-39.0;1007.0;784.0;-19.0;-414.0;-121.0;59.0
101.0;119.0;627.0;419.0;-38.0;979.0;840.0;77.0;-193.0;-171.0;68.0
82.0;0.0;627.0;485.0;?;?;?;80.0;159.0;-190.0;75.0
99.0;-6.0;626.0;560.0;-56.0;1000.0;991.0;84.0;196.0;-229.0;71.0
142.0;?;627.0;581.0;-23.0;960.0;820.0;128.0;112.0;-242.0;94.0
115.0;217.0;625.0;512.0;39.0;984.0;?;62.0;46.0;-185.0;44.0
101.0;171.0;625.0;482.0;-16.0;994.0;866.0;109.0;-5.0;-157.0;67.0
133.0;164.0;623.0;435.0;-20.0;1021.0;786.0;232.0;-27.0;-182.0;?
104.0;?;?;?;-40.0;990.0;699.0;198.0;-12.0;-181.0;98.0
92.0;206.0;625.0;281.0;-49.0;980.0;?;235.0;?;-173.0;85.0
90.0;134.0;627.0;322.0;?;?;?;189.0;-24.0;-178.0;?
141.0;44.0;627.0;356.0;6.0;1002.0;720.0;229.0;?;-165.0;96.0
?;19.0;626.0;346.0;-5.0;1023.0;602.0;302.0;84.0;?;92.0
97.0;99.0;626.0;291.0;8.0;992.0;599.0;290.0;?;?;82.0
91.0;201.0;?;286.0;-18.0;982.0;476.0;?;?;-237.0;91.0
146.0;311.0;629.0;219.0;-2.0;962.0;348.0;65.0;241.0;-223.0;107.0
113.0;326.0;626.0;108.0;32.0;961.0;294.0;101.0;42.0;?;?
124.0;274.0;628.0;48.0;?;971.0;?;212.0;-115.0;-239.0;127.0
127.0;?;628.0;3.0;-62.0;996.0;173.0;197.0;-347.0;-210.0;131.0
151.0;405.0;627.0;17.0;?;?;225.0;185.0;-189.0;-207.0;108.0
152.0;439.0;629.0;-9.0;?;981.0;180.0;154.0;-217.0;-206.0;109.0
141.0;409.0;629.0;-40.0;-2.0;962.0;142.0;179.0;-172.0;?;105.0
121.0;334.0;630.0;?;-28.0;965.0;?;155.0;?;-220.0;135.0
122.0;341.0;631.0;-10.0;-19.0;970.0;226.0;?;-215.0;-230.0;114.0
?;429.0;632.0;65.0;0.0;992.0;?;95.0;-165.0;-213.0;143.0
163.0;437.0;632.0;91.0;-41.0;987.0;?;54.0;-132.0;-205.0;93.0
122.0;486.0;634.0;41.0;?;984.0;214.0;126.0;-177.0;?;115.0
142.0;437.0;633.0;15.0;-54.0;983.0;218.0;85.0;-272.0;-220.0;137.0
118.0;449.0;633.0;87.0;-24.0;979.0;289.0;124.0;-367.0;-218.0;106.0
103.0;447.0;633.0;144.0;-42.0;?;285.0;29.0;-375.0;-230.0;?
124.0;354.0;633.0;96.0;?;996.0;252.0;-11.0;-247.0;-204.0;104.0
115.0;269.0;632.0;?;-22.0;990.0;303.0;9.0;?;-208.0;125.0
118.0;217.0;631.0;?;-19.0;989.0;327.0;13.0;-188.0;-220.0;115.0
108.0;190.0;630.0;166.0;?;989.0;347.0;17.0;-124.0;?;134.0
95.0;189.0;635.0;?;-22.0;988.0;350.0;-6.0;-53.0;-230.0;115.0
94.0;?;635.0;184.0;-6.0;979.0;346.0;5.0;?;?;141.0
?;167.0;635.0;174.0;-13.0;993.0;357.0;3.0;22.0;-236.0;139.0
?;159.0;632.0;193.0;-1.0;995.0;361.0;14.0;10.0;-237.0;?
91.0;?;632.0;173.0;15.0;1003.0;351.0;24.0;26.0;-249.0;141.0
119.0;?;?;172.0;20.0;997.0;329.0;?;3.0;-256.0;139.0
115.0;186.0;631.0;?;24.0;974.0;306.0;54.0;-11.0;-257.0;167.0
100.0;179.0;?;143.0;?;984.0;282.0;53.0;-17.0;?;169.0
131.0;?;630.0;135.0;16.0;969.0;272.0;67.0;-12.0;-261.0;161.0
101.0;166.0;629.0;133.0;39.0;979.0;275.0;87.0;-32.0;-324.0;161.0
114.0;144.0;?;124.0;45.0;959.0;293.0;62.0;4.0;-313.0;135.0
156.0;130.0;?;126.0;25.0;941.0;296.0;61.0;21.0;-341.0;158.0
171.0;129.0;?;135.0;54.0;927.0;?;43.0;0.0;?;156.0
162.0;117.0;629.0;152.0;46.0;886.0;?;60.0;?;?;?
179.0;155.0;627.0;?;76.0;895.0;?;?;?;-410.0;134.0
214.0;209.0;628.0;136.0;?;905.0;272.0;55.0;-61.0;-444.0;107.0
?;187.0;?;118.0;93.0;926.0;275.0;77.0;-106.0;-466.0;124.0
211.0;130.0;?;126.0;85.0;926.0;284.0;?;-126.0;-439.0;117.0
240.0;89.0;630.0;?;?;900.0;281.0;100.0;?;-468.0;121.0
250.0;63.0;629.0;97.0;107.0;888.0;275.0;82.0;-18.0;-461.0;?
204.0;40.0;628.0;86.0;125.0;872.0;?;74.0;?;-435.0;115.0
205.0;?;?;?;143.0;856.0;?;?;73.0;-478.0;100.0
206.0;?;?;?;173.0;854.0;262.0;?;?;-517.0;?
210.0;22.0;?;?;178.0;875.0;236.0;64.0;80.0;-506.0;105.0
222.0;44.0;627.0;64.0;184.0;870.0;245.0;?;105.0;-552.0;92.0
233.0;55.0;628.0;77.0;201.0;858.0;257.0;?;84.0;-551.0;92.0
213.0;61.0;628.0;80.0;202.0;851.0;?;?;50.0;-571.0;90.0
208.0;72.0;630.0;32.0;?;831.0;209.0;109.0;61.0;-583.0;?
?;66.0;629.0;?;?;829.0;?;100.0;61.0;-578.0;?
220.0;55.0;631.0;18.0;?;?;196.0;102.0;59.0;-581.0;85.0
224.0;?;631.0;27.0;253.0;829.0;196.0;125.0;?;-560.0;?
228.0;14.0;635.0;28.0;241.0;838.0;221.0;134.0;58.0;-580.0;87.0
?;22.0;636.0;45.0;?;839.0;225.0;128.0;71.0;-581.0;95.0
?;29.0;638.0;?;246.0;833.0;?;135.0;87.0;-588.0;99.0
226.0;36.0;639.0;29.0;241.0;817.0;224.0;132.0;89.0;-563.0;117.0
202.0;40.0;642.0;?;?;818.0;215.0;134.0;97.0;-562.0;97.0
206.0;31.0;?;37.0;248.0;819.0;198.0;130.0;96.0;-559.0;?
?;23.0;645.0;4.0;?;820.0;182.0;128.0;94.0;-583.0;85.0
182.0;20.0;?;-6.0;251.0;826.0;208.0;131.0;110.0;?;65.0
150.0;40.0;637.0;109.0;?;914.0;267.0;80.0;100.0;?;142.0
157.0;?;636.0;?;?;896.0;260.0;88.0;101.0;-453.0;153.0
180.0;63.0;637.0;76.0;?;?;251.0;99.0;72.0;-440.0;?
159.0;87.0;638.0;93.0;130.0;895.0;252.0;101.0;89.0;?;162.0
?;?;637.0;84.0;127.0;906.0;237.0;105.0;?;-443.0;141.0
173.0;89.0;637.0;68.0;118.0;940.0;230.0;?;46.0;-461.0;151.0
162.0;78.0;639.0;68.0;117.0;956.0;?;?;31.0;-458.0;?
152.0;?;639.0;78.0;143.0;907.0;252.0;104.0;?;?;165.0
151.0;74.0;638.0;96.0;?;878.0;235.0;133.0;63.0;-428.0;170.0
190.0;90.0;?;78.0;112.0;?;228.0;115.0;80.0;-434.0;167.0
158.0;76.0;640.0;76.0;130.0;874.0;?;88.0;?;-473.0;169.0
204.0;64.0;639.0;55.0;132.0;907.0;214.0;82.0;36.0;-487.0;?
190.0;?;640.0;43.0;133.0;895.0;205.0;?;2.0;-478.0;164.0
180.0;36.0;637.0;25.0;141.0;?;?;111.0;81.0;?;144.0
182.0;?;635.0;15.0;?;883.0;181.0;97.0;90.0;-467.0;139.0
192.0;24.0;634.0;33.0;?;865.0;162.0;76.0;128.0;-479.0;118.0
205.0;34.0;635.0;20.0;154.0;875.0;152.0;71.0;103.0;-480.0;107.0
?;28.0;?;-10.0;162.0;?;154.0;?;92.0;?;87.0
?;10.0;?;-16.0;?;876.0;155.0;77.0;134.0;-510.0;67.0
221.0;2.0;629.0;-13.0;191.0;866.0;167.0;?;126.0;-498.0;65.0
220.0;?;629.0;?;203.0;857.0;143.0;71.0;101.0;?;?
222.0;-3.0;628.0;-1.0;?;870.0;186.0;69.0;?;?;49.0
211.0;-3.0;?;0.0;?;873.0;?;64.0;99.0;-527.0;31.0
